qstr_Received_{reg0}_dama|Recebeu {reg0} de dano.
qstr_{s13}^^You_have_succ|{s13}^^Você entrou furtivamente com sucesso.
qstr_The_tomb_is_destroye|O túmulo foi destruído. Uma luta feroz ocorreu aqui.
qstr_Nothing_of_interest|Nada de interessante
qstr_the_place|o lugar
qstr_the_castle|o castelo
qstr_the_Throne_Room|a Sala do Trono
qstr_the_Secret_Cave|a Caverna Secreta
qstr_Meduseld_the_Golden_|Meduseld, o Salão Dourado
qstr_the_Lord_Halls|os Salões do Senhor
qstr_the_Leader_s_Cave|a Caverna do Líder
qstr_the_Tower|a Torre
qstr_the_tower_of_Orthanc|a torre de Orthanc
qstr_Beorn_s_Hall|Salão de Beorn
qstr_the_Hall|o Salão
qstr_the_Great_Chamber_of|a Grande Câmara de Thrór
qstr_Stay_indoors_for_som|Fique em casa por algum tempo ({reg1} pontos de recurso por noite)
qstr_Camp_outside_for_som|Acampe ao ar livre por algum tempo (grátis)
qstr_You_are_not_allowed_|Você não tem permissão para entrar.
qstr_As_the_party_member_|Como membro do grupo com a maior habilidade de Negociação ({reg2}), {reg3?você estima:{s3} estima} que levará {reg4} horas para encontrar as pessoas mais notáveis da cidade. [Custa {reg5}/{reg6} de influência]
qstr_You_have_already_fou|Você já encontrou todas as pessoas de interesse.
qstr_the_captain_of_the_g|o capitão da guarnição e a autoridade civil.
qstr_and_the_captain_of_t|e o capitão da guarnição. Como este local foi recentemente capturado, não possui autoridade civil.
qstr_You_also_heard_of_a_|Você também ouviu falar de um curandeiro, mas terá que encontrá-lo sozinho.
qstr_{s4}_s_scouts_have_s|Os batedores de {s4} viram e relataram seu fracasso. Você envergonhou {s4} e a responsabilidade por esse fracasso é exclusivamente sua.
qstr_{s1}_s_Ship|Navio de {s1}
qstr_Time_passes...|O tempo passa...
qstr_Forces_of_Good|Forças do Bem
qstr_Forces_of_Mordor|Forças de Mordor
qstr_Forces_of_Isengard|Forças de Isengard
qstr_their_enemies|seus inimigos
qstr_{s11}_and_{s13}|{s11} e {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|um grupo de batedores de {s3}
qstr_two_scout_parties_an|dois grupos de batedores e um grupo de forrageadores de {s3}
qstr_two_scout_parties_and|dois grupos de batedores e um grupo de invasores de {s3}
qstr_three_scouts_two_for|três batedores, dois forrageadores e uma patrulha de {s3}
qstr_three_scouts_two_rai|três batedores, dois invasores e um grupo de guerra de {s3}
qstr_You_see_the_village_|Você vê a vila sendo invadida por bandidos. Você pede à maioria das suas tropas que tomem cuidado com os outros invasores enquanto você reúne um pequeno grupo e se prepara para defender os aldeões.
qstr_You_see_the_village_y|Você vê a vila que foi encarregado de invadir. Você e um pequeno grupo dos seus invasores se preparam para atacar a aldeia para não serem vistos.
qstr_The_raiders_are_defe|Os invasores foram derrotados! Os poucos que permaneceram vivos e conscientes fugiram para a escuridão de onde vieram, aterrorizados pelos aldeões e seu novo campeão.
qstr_Try_as_you_might_you|Por mais que tentasse, não conseguiu derrotar os invasores. Eles arrasaram a vila e escravizaram os camponeses restantes.
qstr_The_village_has_been|A aldeia foi arrasada, aldeões mortos ou levados como escravos. O Senhor do Escuro ficará satisfeito.
qstr_You_failed_to_raid_t|Você falhou em atacar a vila e foi expulso às pressas com seus homens. Você ouve os vitoriosos comemorando enquanto sente o olhar desaprovador do Olho.
qstr_The_Scout_Camp_has_b|O acampamento de batedores foi destruido, isso vai retardar o avanço do inimigo.
qstr_You_failed_to_destro|Você falhou em destruir o Acampamento de Batedores. O inimigo avaliou sua facção e a manteve vigilante.
qstr_You_have_defeated_the|Você derrotou a frota de ataque! Este é um golpe pesado para os planos do inimigo!
qstr_You_defeated_the_int|Você derrotou a frota interceptadora! Mesmo sem ter forças suficientes para atacar a cidade, esta é uma grande vitória!
qstr_You_drove_back_the_e|Você repeliu a frota inimiga, mas perdeu a maioria dos seus navios!
qstr_You_were_defeated_by|Você foi derrotado pela frota interceptadora e não conseguiu invadir a cidade!
qstr_^^^^^^^You_come_upon|^^^^^^^Você se depara com os refugiados saindo de {s2} e a caminho de {s3}. ^^Eles são em sua maioria idosos e enfermos, acompanhados por mulheres e crianças.^^ Há guardas, mas não o suficiente para proteger todos de um ataque.
qstr_^^^^^^^You_come_upon_|^^^^^^^Você encontra os refugiados que estava rastreando desde {s2}. Eles parecem estar a caminho de {s3} e são, em sua maioria, idosos e enfermos. ^^ Há poucos guardas, mas não o suficiente para impedir que você e seus homens matem todos eles.
qstr_^^At_last_the_Master|^^Finalmente, o Mestre está fazendo Sua jogada! As tochas queimam intensamente. As armas afiadas reluzem. Você e seus robustos rapazes receberão ordens de marcha em breve. Ai, haverá luta, muita luta, e glória suficiente para todos!^^Você tem a honra de ser convocado para uma audiência com o Mestre em Sua torre. Provavelmente suas primeiras ordens serão obra de snaga - invadir uma aldeia aqui, emboscar uma caravana ali. Mas você provará seu valor em breve. Quem pode dizer que você não desempenhará um papel tão importante quanto qualquer comandante de {s2} em {s3}?^^A Guerra começou; a queda da Humanidade e de seus aliados começa!
qstr_^^Your_head_suddenly|^^Sua cabeça de repente se enche com uma visão - o Olho flamejante. Ao seu redor, seus guerreiros param de repente. De alguma forma, você sabe naquele momento que todos vocês estão ouvindo o mesmo chamado, tendo a mesma visão. Grande é a arte do Olho Sem Pálpebra - grande é o poder de Barad-dûr!.^^O conhecimento, não dito, penetra em seus ossos. Chegou a hora. O Lorde das Trevas ordena - todos vocês marcharão sobre seus inimigos em guerra aberta. Ordens de {s2} em {s3} virão. Sua parte no início não será grande, mas vocês provarão seu valor em breve.^^ A Guerra começou; a queda do Oeste começa!
qstr_You_defeated_{reg5}_|Você derrotou {reg5} inimigos e impressionou seu comandante.
qstr_You_defeated_{reg5}_e|Você derrotou {reg5} inimigos.
qstr_You_failed_to_defeat|Você não conseguiu derrotar nenhum inimigo.
qstr_The_sorcerer_slain_y|Com o feiticeiro morto, você e seus companheiros enfaixam os ferimentos às pressas e escapam para a noite. Vozes horríveis gritam às suas costas e você sente muitos olhos ardentes procurando por você nas sombras. Logo a raiva se transforma em decepção e os sons da perseguição são abafados, substituídos pelo silêncio pesado de sempre da Floresta das Trevas. Você escapou.
qstr_The_sorcerer_slipped|O feiticeiro escapou de suas mãos e deslizou para a escuridão de seu domínio. Com o coração pesado pelo fracasso, você e seus companheiros rapidamente enfaixam os ferimentos e se retiram para a noite. Vozes zombeteiras gritam às suas costas e você pode sentir muitos olhos ardentes tentando perfurar as sombras. Risos e insultos logo são misericordiosamente abafados, substituídos pelo silêncio pesado de sempre da Floresta das Trevas. Você escapou.
qstr_You_approach_a_heavi|Você se aproxima de uma região fortemente protegida da floresta... ^^ Você precisa decidir se avança sozinho ou levar algumas tropas com você. ^Escolha suas ações com cuidado, pois quanto mais atenção você atrair, melhor o feiticeiro estará protegido.^A velocidade será mais importante do que uma armadura pesada.
qstr_You_have_a_good_chan|Você tem uma boa chance de evitar os guardas e passar despercebido.
qstr_You_may_have_a_chanc|Você pode ter uma chance de evitar os guardas.
qstr_You_will_probably_ha|Você provavelmente terá que lutar com os guardas.
qstr_You_wait_for_darknes|Você espera a noite cair...
qstr_You_are_quickly_disc|Você é rapidamente descoberto pelo inimigo.
qstr_You_advance_stealthi|Você avança furtivamente para o interior da floresta.
qstr_You_cannot_leave_unt|Você não pode sair até que os guardas o percam!
; qstr_You_hear_that_{s1}_h|You hear that {s1} has already been avenged by the death of {s28}.
; qstr_Enraged_by_the_death|Enraged by the death of {s4}, you have sworn an oath of vengeance against {s3}. You must now seek out and fight {s3} and kill {reg11?her:him} if possible. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
qstr_flooded._Somebody_or|inundadas. Alguém ou alguma coisa deve ter destruído as barragens do Isen.
qstr_destroyed._Only_smol|destruída. Restaram apenas ruínas fumegantes.
qstr_^^^You_lost_your_fig|^^^Você perdeu a luta contra o motim! ^Parece que seus orcs têm um novo comandante agora.
qstr_^^^You_have_slain_th|^^^Você matou o ofensor, e os outros orcs rapidamente recuam na linha. ^ Por algum tempo, os vermes certamente ficarão quietos.
qstr_You_cover_up_your_tr|Você cobre seus rastros e segue em frente.
; qstr_the_Eye|the Eye
; qstr_the_Hand|the Hand
; qstr_{s1}_has_joined_{s12|{s1} has joined {s12}
qstr_Breaking_camp...|Desmontando acampamento...
qstr_Party_morale_is_low.|A moral do grupo está baixa. As tropas desertam do seu grupo.
qstr_Desertion|Deserção
qstr_{s1}_has_deserted_fr|{s1} desertou do seu grupo.
qstr_You_don_t_have_enoug|Você não tem tropas suficientes para proteger todos os seus prisioneiros. A chance deles escaparem aumenta.
qstr_{s1}_has_escaped_fro|{s1} escapou do seu grupo.
qstr_You_have_left_{s1}.|Você deixou {s1}.
qstr_You_are_entering_{s1|Você está entrando em {s1} ({s2})
qstr_You_are_entering_{s1}|Você está entrando em {s1}
qstr_The_war_expands_comm|A guerra se expande, os comandantes estão ficando mais ousados! (requisitos de cerco reduzidos)
qstr_Your_party_is_spotte|Seu grupo foi avistado por {s1}.
qstr_The_effects_of_the_O|Os efeitos da Cerveja Orc foram dissipados.
qstr_The_effects_of_the_M|Os efeitos do Miruvor se dissiparam.
qstr_Athelas_used_up.|Athelas esgotou-se.
qstr_Party_has_nothing_to|Grupo não tem nada para comer!
qstr_You_pay_for_accommod|Você paga pela acomodação.
qstr_The_troll_outside_{s|O troll fora de {s2} foi morto. Missão cancelada.
qstr_{s1}_was_killed_on_t|{s1} foi morto no campo de batalha. Missão cancelada.
qstr_{s1}_has_been_defeat|{s1} foi derrotado. Missão cancelada.
qstr_You_must_follow_{s1}|Você deve seguir {s1}!
qstr_You_must_follow_{s1}!|Você deve seguir {s1}! Este é seu último aviso!
qstr_{s1}_parties_defeate|{s1} grupos derrotados: {reg1} de {reg2}
; qstr_Your_progress_to_ful|Your progress to fulfill your oath is considered not very great. (Progress less than a third.)
; qstr_You_have_made_some_p|You have made some progress to fulfill your oath, but there is still a long way to go. (Progress about half.) ^^ The enemies are starting to look out for you.
; qstr_You_have_won_the_hat|You have won the hatred of your enemies, press on further and you will fulfill your oath! (Progress more than two thirds.) ^^ The enemies are starting to dispatch additional parties around their fortresses and camps.
; qstr_You_have_made_yourse|You have made yourself a name as one of the enemy's worst foes. Your oath is almost fulfilled!
; qstr_Your_enemies_tremble|Your enemies tremble at the mentioning of you name! Your oath is fulfilled!
; qstr_King_Dain_values_you|King Dain values your effort to fulfill your oath, but acknowledges that events unfolded too quickly. As a result, 
qstr_{s22}You_have_fulfil|{s22}Você cumpriu seu juramento de vingar Balin e sua companhia!
; qstr_{s23}You_are_release|{s23}You are released from your oath.
; qstr_Oath_Score:_{reg65}_|Oath Score: {reg65} (Counter refreshes every hour)
qstr_{reg66}_{s5}_troops_|{reg66} {s5} tropas mortas. (O contador é atualizado a cada hora)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} {s8} tropas mortas. (O contador é atualizado a cada hora)
qstr_{s8}_in_{s9}_asked_y|{s8} em {s9} pediu para você matar {reg67} {s10}.^ {reg68} {s11} morto. (O contador é atualizado a cada hora)
qstr_{s1}_is_scouted.|{s1} é observado.
; qstr_{s1}_managed_to_esca|{s1} managed to escape the downfall of {s2} and found refuge in {s3}.
; qstr_{s3}_gained_faction_|{s3} gained faction strength.
qstr_{s2}_was_defeated!|{s2} foi derrotado!
; qstr_The_Age_of_Men_has_f|The Age of Men has finally passed. Now the Two Towers gather their remaining hosts and allies to decide who will be the sole ruler of Middle Earth! Whom will you serve?
qstr_The_War_of_the_Two_T|A Guerra das Duas Torres começou!
qstr_The_forces_of_{s22}_|As forças de {s22} se reuniram! {s22} agora é {s23}.
qstr_The_might_of_{s22}_h|O poder de {s22} diminuiu! {s22} agora é {s23}.
qstr_In_a_desperate_attem|Em uma tentativa desesperada de se defender de seus inimigos, Sauron envia suas legiões de Mordor!
qstr_The_forces_of_{s2}_e|As forças de {s2} estabeleceram um acampamento avançado em {s15}!
qstr_The_hosts_of_{s2}_ma|As hostes de {s2} marcham de volta para defender suas casas!
qstr_{playername}_s_Reser|Reservas de {playername}
qstr_Gondor_has_called_fo|Gondor clama por ajuda!
qstr_Gondor_is_accompanyi|Gondor está acompanhando o marechal!
qstr_{s5}_has_stopped_fol|{s5} parou de seguir você.
qstr_You_have_{reg69}_all|Você tem {reg69} grupo aliado seguindo você
qstr_You_have_{reg69}_ally|Você tem {reg69} grupos aliados seguindo você
qstr_The_forces_of_{s2}_h|As forças de {s2} se reagruparam e marcham para {s15}!
qstr_Your_scouts_report_s|Seus batedores relatam sinais de um {s2} próximo.
; qstr_{s5}_sent_out_a_host|{s5} sent out a host against you!
; qstr_Your_troops_value_yo|Your troops value your effort to fulfill your oath, but acknowledge that events unfolded too quickly. The general consensus is that you are released from your oath.
; qstr_You_hear_rumors_that|You hear rumors that {s1}
qstr_{s1}_from_{s2}|{s1} de {s2}
qstr_When_dealing_with_lo|Ao lidar com os habitantes locais em {s11}, lembre-se de que eles não o conhecem e eles não necessariamente reconhecem os méritos que você conquistou em {s10}.^^(os Pontos de Recursos que você pode eliminar entre as pessoas de {s11} não são os que você ganhou em {s10}, mas os que você ganhará em {s11} -- veja também a tela de relatório)
qstr_Info|Info
qstr_You_came_into_a_poss|Você se deparou com uma tigela estranha e enorme de água aparentemente fresca. Ela cheira um pouco a almíscar.
qstr_Obtained:_Ent_water.|Obtido: Entágua.
qstr_A_little_after_you_f|Um pouco depois de se recuperar totalmente de beber a água envenenada que você recebeu das árvores que andam, você começa a perceber um efeito colateral estranho. Os vermes do seu grupo parecem ... respeitar e temer mais você, como se você se tornasse ... maior. E você juraria que é, de fato, um pouco mais alto. Isso é realmente possível?
qstr_Ent_water_effect.|Efeito da Entágua.
qstr_The_water_you_drank_|A água que você bebeu dos Ents teve um efeito estranho em seu corpo. Inicialmente, você não acreditou, mas agora, diante das evidências, você deve admitir: de alguma forma, você cresceu mais alto! Ainda assim, o veneno quase te matou. Você nunca vai correr esse risco novamente
qstr_Ent_water_effect:_in|Efeito da Entágua: aumentar a estatura
qstr__+1_to_Strength__per|+1 para Força (permanente)
qstr__+1_to_Charisma__per|+1 para Carisma (permanente)
; qstr_The_dark_shadow_fina|The dark shadow finally broke into a storm, and evil hordes started their march on the free people of Middle Earth. Mordor against Gondor in the South, Isengard against Rohan in the West, Dol Guldur against the Elves... Even in the far North there is a war of its own.
qstr_The_War_has_started!|A guerra começou!
qstr_The_forest_seems_pea|A floresta parece pacífica.
qstr_There_is_a_sense_of_|Há uma sensação de perigo no ar.
qstr_You_have_a_feeling_y|Você tem a sensação de ter perturbado a floresta por tempo suficiente.
qstr_Get_out_now!|Saia, agora!
qstr_You_are_inside_Fango|Você está dentro de Fangorn. {s11}
qstr_Your_party_witnessed|Seu grupo testemunhou orcs comendo prisioneiros.
qstr_Your_party_s_morale_|O moral do seu partido aumentou por causa do ódio.
qstr_Your_party_s_morale_h|moral do seu partido caiu por causa do medo.
qstr_{s27}:_Influence_wit|{s27}: A influência com {s1} aumenta de {reg2} para {reg1}.
qstr_{s27}:_Influence_with|{s27}: A influência com {s1} diminui de {reg2} para {reg1}.
qstr_{s27}:_Party_morale_|{s27}: A moral do grupo aumentou.
qstr_{s27}:_Party_morale_d|{s27}: A moral do grupo diminuiu.
; qstr_Avoided_animal_ambus|Avoided animal ambush via Spotting.
; qstr_Avoided_animal_ambush|Avoided animal ambush via Wildcraft.
qstr_Reinforcements|Reforços
qstr_Refugees_Escaped:_{r|Refugiados escapados: {reg10} --- Refugiados mortos: {reg11}
qstr_Raider_Parties_Kille|Grupos de Invasores Mortos: {reg12}
qstr_One_of_the_target_ce|Um dos alvos dos trens de refugiados foi destruído. Os refugiados se espalharam e não foram encontrados em lugar nenhum.
qstr_As_an_Orc_or_a_Dwarf|Como Orc ou Anão, você pode aproveitar a Câmera Personalizada que implementamos para melhorar sua experiência com as corridas mais curtas do TLD. Consulte os Conceitos do Jogo para obter mais informações sobre como usá-la.
qstr_Custom_Camera|Câmera personalizada
qstr_{reg65?my_Lady:my_Lo|{reg65?minha Senhora:meu Senhor}
qstr_{reg65?My_Lady:My_Lo|{reg65?Minha Senhora:Meu Senhor}
qstr_{reg65?mistress:mast|{reg65?mestra:mestre}
qstr_{reg65?Mistress:Mast|{reg65?Mestra:Mestre}
qstr_{reg65?madame:sir}|{reg65?senhora:senhor}
qstr_{reg65?Madame:Sir}|{reg65?Senhora:Senhor}
qstr_How_do_magnets_work?|Como os ímãs funcionam?
qstr_Um..._by_enchanting_|Hum... por ferro encantado?
qstr_Magnets_are_made_of_|Ímãs são feitos de metal extraído do solo. Eles são magnéticos porque o metal ainda contém partículas de gravidade em seu interior.
qstr_i_wont_a_bonerlrord_|eu não vou a um porto bonerlrord nao!!!!!
qstr_Install_TLD_in_your_|Instale o TLD na sua pasta Bannerlord Modules, adicione a linha 'compatible with wfas = 1' ao module.ini e você poderá jogá-lo no Warband E no Warrider 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord roda em um motor diferente. Não poderemos portar o TLD para o Bannerlord como fizemos para o Warband.
qstr_dis_mod_takes_2_long|dis mod leva 2 longos 2 lançamento! é uma merda!!!!!
qstr_Well_there_s_a_lot_o|Bom, há muitos gráficos novos e outras coisas, acho que isso leva tempo.
qstr_It_has_been_recently|Foi lançado recentemente. Se você perdeu o link, pode baixá-lo em lemonparty.org.
qstr_i_wont_decapitated_e|Eu não vou decapitar elefantes no multi, não!!!!!
qstr_I_don_t_think_there_|Não acho que haja multijogador no TLD, mas elefantes seriam legais.
qstr_There_is_a_hidden_el|Há um modo oculto de mata-mata com elefantes em TLD, mas você precisa remover todos os seus jogos salvos primeiro, jogar por 100 dias sem salvar, depois ir para a tela de personagem e pressionar Alt+F4. Vale muito a pena!
qstr_Y_NO_ChINESE??|VOCÊ NÃO É CHINÊS??
qstr_Just_to_troll_you_tr|Só para trollar você, troll!
qstr_Thanks_to_our_volunt|Graças aos nossos tradutores voluntários, traduções para chinês tradicional e simplificado estão disponíveis. Mas você precisa seguir nosso guia no Steam Workshop para usá-las.
qstr_Wai_no_plate_armour_|Wai, não há armadura de placas no mod???
qstr_What_is_plate_armour|O que é blindagem de placas? Nunca ouvi falar.
qstr_Wai_no_female_trolls|Ei, sem trolls mulheres? Hein? Hein? Sua vadia!
qstr_WHEN_U_REALSE_MOD?!!|QUANDO VOCÊ LANÇARÁ O MOD?!!?
qstr_But_we_did_release._|Mas nós liberamos. Você está nisso. E por que você está gritando?
qstr_YES!_ALSO_SOMETIMES_|SIM! ÀS VEZES TAMBÉM É!
qstr_Wai_u_no_work_wiht_o|Você não precisa trabalhar com outros mods para fazer um mod super LOTR?
qstr_Every_mod_team_works|Cada equipe de moderação trabalha de acordo com seus padrões. Você não pode fazer os mods cooperarem se a visão deles for diferente.
qstr_Because_we_don_t_hav|Porque não temos senso de humor e a maioria delas é engraçada demais para nós.
qstr_In_movies_trolls_are|Nos filmes os trolls são grandes e gordos, quer me deixar magro?
qstr_We_interpreted_Tolki|Nós interpretamos Tolkien assim.
qstr_But_we_did_make_you_|Mas nós te deixamos tão burro quanto nos filmes. Isso tem que valer alguma coisa.
qstr_What_is_news?_Got_an|Quais são as novidades? Tem alguma captura de tela?
qstr_Well_just_look_aroun|Bem, olhe ao seu redor, para que você precisa de capturas de tela?
qstr_Say_cheese!|Diga xis!
qstr_Why_did_you_make_mod|Por que você tornou a instalação do mod tão complexa?
qstr_Well_if_you_are_here|Bem, se você está aqui e falando comigo, você deve ter 'LIDO A P. DO MANUAL' com sucesso, afinal
qstr_You_just_got_windyfl|Você acabou de ficar florido e ventoso!
qstr_Merry|Merry
qstr_Pippin|Pippin
qstr_the_Citadel|a Cidadela
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Regente Denethor
qstr_the_Golden_Hall|o Salão Dourado
qstr_Edoras|Edoras
qstr_King_Theoden|Rei Theoden
qstr_Merry_asked_you_to_d|Merry pediu que você entregasse uma mensagem ao primo dele, Pippin, em Minas Tirith.
qstr_Pippin_asked_you_to_|Pippin pediu que você entregasse uma mensagem ao primo dele, Merry, em Edoras.
qstr_Tell_him_I_ve_grown_|Diga a ele que cresci mais um centímetro!
qstr_Tell_Pip_he_smokes_t|Diga ao Pip que ele fuma muito!
qstr_Tell_him_I_can_ride_|Diga a ele que agora eu posso montar num cavalo adulto!
qstr_Ask_him_if_he_has_an|Pergunte a ele se ainda tem alguma erva de cachimbo!
qstr_Tell_him_I_ll_be_the|Diga a ele que eu serei o mais alto quando nos vermos novamente!
qstr_Ask_if_he_s_seen_Gan|Pergunte se ele viu Gandalf!
qstr_You_gained_250_exper|Você ganhou 250 de experiência.
qstr_Hrooom..._Hmmm...Who|Hroom... Hmmm...Quem é você?
qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Ah, é você de novo, {playername}.
qstr_Treebeard_wants_you_|Barbárvore quer que você encontre e derrote os orcs que estão cortando árvores em Fangorn.
qstr_my_home_town|minha cidade natal
qstr_I_am_in_perfect_heal|Estou com saúde perfeita.
qstr_I_am_suffering_from_|Estou sofrendo de {s1}.
qstr_I_am_suffering_from_{|Estou sofrendo de {s1} e {s2}.
qstr_I_am_suffering_from_{s|Estou sofrendo de {s1}, {s2} e {s3}.
qstr_I_am_suffering_from_{s1|Estou sofrendo de {s1}, {s2}, {s3} e {s4}.
qstr_I_don_t_have_any_ser|Não tenho nenhum ferimento grave, obrigado.
qstr_Good_day_to_you.|Bom dia para você.
qstr_Ah_it_s_you_again._G|Ah, é você de novo. Adeus.
qstr_My_apologies_if_I_wa|Peço desculpas se fui rude antes. Qual foi a sua história mesmo?
qstr_I_was_reconsidering_|Eu estava reconsiderando nossa última conversa. Qual foi a sua história mesmo?
qstr_Zigrphel_gained_{reg|Zigûrphel ganhou {reg78} experiência.
qstr_Greetings_{s23}_{s24|Saudações, {s23}, {s24}.
qstr_Greetings_{s23}.|Saudações, {s23}.
qstr_So_you_are_{s23}._I_|Então, você é {s23}. Ouvi dizer que você luta pelos nossos amigos {s25}, então acho que devo considerá-lo um aliado.
qstr_I_need_volunteers_wi|Preciso de voluntários dispostos a me seguir em missões perigosas.
qstr_I_need_some_soldiers|Preciso de alguns soldados para substituir meus mortos.
; qstr_I_need_a_captain_who|I need a captain who can keep my men in check and make sure they don't run away during battle.
; qstr_I_am_looking_for_a_c|I am looking for a captain able to carry out my orders in battle!.
; qstr_One_{s5}_joined_your|One {s5} joined your party.
qstr_Maybe_the_weaklings_|Talvez os fracos do sul tenham colocado armaduras em seus Trolls de pele macia. Nós não — nossos Trolls são de Gundabad!
qstr_Do_I_look_like_a_smi|Eu pareço um ferreiro para você? Ah, vá falar com um.
qstr_Excellent_job_{s23}!|Excelente trabalho, {s23}! Gostaria que todos os nossos comandantes fossem tão dedicados quanto você.^
qstr_Nicely_done_{s23}.|Muito bem, {s23}.
qstr_Good_work_{s23}.|Bom trabalho, {s23}.
qstr_The_more_you_capture|Quanto mais você captura, melhor, {s23}.
qstr_Caught_a_few_straggl|Pegou alguns vagabundos, {s23}?
qstr_I_am_sorry_no_one_el|Sinto muito, ninguém mais está pronto para ir.^Eles servirão {s22} mantendo as defesas aqui.
qstr_Tough_luck_but_we_do|Que azar, mas não temos nenhum. Volte mais tarde.
qstr_There_are_brave_sold|Há soldados corajosos dispostos a arriscar suas vidas, mas nestes tempos sombrios não posso me dar ao luxo de deixá-los abandonar as defesas aqui.^^^[Pontos de Recurso insuficientes]
qstr_We_have_some_spare_t|Temos algumas tropas sobrando, mas não podemos perdê-las para gente como você.^^^[Pontos de Recurso insuficientes]
qstr_There_are_brave_soldi|Há soldados corajosos aqui se voluntariando para serviço de campo.^^Acho que posso deixar alguns deles irem com você.
qstr_There_are_spare_troo|Há tropas extras aqui que não se importariam com um pouco de derramamento de sangue.^^Posso deixar alguns deles irem com você.
qstr_Strenghten_defences_|Reforçar as defesas em {s21}? Isso é certamente bem-vindo. Observe que só podemos aceitar nosso próprio povo.
qstr_Strenghten_defences_i|Fortalecer as defesas em {s21}? Bem, contanto que não sejam prejudicadas, por que não? Só não se esqueça de entregar nossas próprias tropas, pois não temos utilidade para forasteiros aqui.
qstr_Please_return_them_i|Por favor, devolva-os inteiros. Conheço pessoalmente o valor de cada um deles. E aqui precisamos de todas as almas.
qstr_Don_t_let_them_all_d|Não deixe todos morrerem no mesmo lugar. Exceto os covardes. Coloque-os na sua linha de frente, você já sabe o que fazer.
qstr_Thank_you_commander.|Obrigado, comandante.^
qstr_^{s22}_is_grateful_t|^{s22} é grato a você, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Aqueles:Aquele} bravo {reg28?soldados:soldado} certamente nos ajudará a defender {s21}.{s32}^^[ganhou {reg14} Pontos de Recursos de {s14}]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Essas:Essa} boa{reg28?s tropas: tropa} nos ajudará a manter {s21}.{s32}^^[ganhou {reg14} Pontos de Recursos de {s14}]
qstr_{s4}_^Oh_and_take_ba|{s4} ^Ah, e leve de volta aqueles de seus soldados que não são nossos parentes.
qstr_You_have_reinforced_|Você reforçou {s8} com {reg55} tropas.
qstr_I_don_t_need_them_an|De qualquer forma, eu não preciso deles, então guarde-os.
qstr_It_is_my_duty_to_pro|É meu dever proteger nosso povo.
qstr_It_is_my_duty_to_prot|É meu dever proteger nossos aliados.
qstr_I_am_{s4}_{s15}_of_{|Eu sou {s4}, {s15} de {s6}
qstr_I_am_{s4}_a_commande|Eu sou {s4}, um comandante de {s6}
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? e o governante de {s8}.:.
qstr__{s3}_gained_{reg78}|{s3} ganhou {reg78} experiência.
qstr_{playername}_our_sco|{playername}, nossos batedores trouxeram notícias do seu sucesso. Que você viva além deste dia em anos de bênçãos! Com as hostes de {s7} repelidas pela sua vitória, o grande avanço do inimigo vacilou. Podemos esperar que agora haja contenda dentro de suas fileiras e entre seus capitães. E também podemos esperar que eles agora tenham um medo saudável de você! Você nos garantiu um breve descanso do cansaço, pelo menos.
qstr_Well_{playername}_yo|Bem, {playername}, você retornou, e com boas notícias para nós, ao que parece. Vejo agora que você não é feito apenas de vaidade e conversa fiada — ah, se eu pudesse ter visto {s7} cair diante de você com meus próprios olhos! Nossos inimigos estão agora desesperadamente desanimados, sem dúvida. Perderam a cabeça, eu garanto. Corte a cabeça de uma serpente, como dizem, e o acordo está fechado. Bem, agora devo liderar meu exército para conquistar a verdadeira vitória. Sua contribuição será relatada, {playername}, aos seus superiores. Não tenha medo disso.
qstr_Alas_that_I_could_no|Infelizmente não consegui dar um fim definitivo a {s7} de {s8}, mas se nos encontrarmos novamente, que tomem cuidado.
qstr__I_should_rather_mak|Prefiro relatar minha vitória sobre {s7} de {s8} eu mesmo - a maior glória é minha, e você não a esquecerá!
qstr_Very_well_done_{play|Muito bem, {playername}! Você capturou o espião e seu encarregado, exatamente como eu esperava, e os dois agora estão presos em segurança, aguardando para serem interrogados. Eles terão que dar algumas explicações! De qualquer forma, estou muito satisfeito com o seu sucesso, {playername}, e lhe dou esta bolsa como prova da minha gratidão.
qstr_Beautiful_work_{play|Belo trabalho, {playername}! Você capturou o espião e seu manipulador, exatamente como lhe foi ordenado, e os dois agora estão trancados em segurança na minha masmorra, aguardando para serem interrogados. Meu torturador estará ocupado esta noite! De qualquer forma, estou muito satisfeito com o seu sucesso, {playername}, e lhe dou esta bolsa como prova da minha gratidão.
qstr_Foiling_the_enemy_s_|Frustrar as tentativas do inimigo de atacar os comboios de refugiados enfraqueceu sua determinação ({s1} perdeu {reg19} força da facção devido à sua vitória contra os invasores {reg18}).
