
str_yes|Tak.
str_woodelf_rumor_begin|Elficka pokojówka była ze starego, / lśniąca gwiazda w dzień: / Jej płaszcz biały był obrębiony złotem, / Jej buty srebrno-szare.
str_woodelf_rumor_2|Czas nie trwa nigdy, ale zmiana i wzrost nie są we wszystkich rzeczach i miejscach. Dla Elfów świat się porusza, porusza się bardzo szybko i bardzo wolno. Szybko, ponieważ oni sami niewiele się zmieniają, a wszystkie inne floty: to dla nich żal. Powolne, ponieważ nie liczą lat, nie dla siebie.
str_woodelf_rumor_3|Ciemność i zło pełzają po tych niegdyś pięknych lasach. Dopóki nie zostaną zatrzymani, będą tłumić wszelką nadzieję, całe światło.
str_woodelf_rumor_4|Szybko i zwinnie, cicho i precyzyjnie, możemy jeszcze powstrzymać Ciemność. Ale na jak długo?
str_woodelf_rumor_5|Shhh, no dhínen! Tutaj wciąż mogą czaić się orkowie. Musimy być gotowi!
str_woodelf_rumor_6|*gapi się na ciebie, wyglądający na zirytowanego twoją obecnością*
str_woodelf_rumor_7|Oduleg hi am man theled? Musimy wiedzieć jaki jest twój cel. Szpiedzy Czarnoksiężnika są wszędzie.
str_woodelf_rumor_8|W dzisiejszych czasach Edain z Dale tworzą takie wymyślne zabawki. Dużo się nauczyli od Naugrima.
str_woodelf_rumor_9|Cień Dol Guldur się rozprzestrzenia. Mroczne istoty zostały zauważone w lesie, nasze placówki zaatakowane, myścy znikają i nigdy więcej nie są widziane. Nasze patrole liczą teraz co najmniej 35 żołnierzy, przeraziliśmy się!
str_dale_rumor_begin|Na początku smok, teraz to...
str_dale_rumor_2|Tak jakby orki przybywające z północy nie były wystarczająco złe, teraz hordy ze wschodu są na nas!
str_dale_rumor_3|Od kiedy pokonaliśmy smoka, wiemy jak szukać słabego punktu u przeciwnika.
str_dale_rumor_4|Ludzie ze wschodu nigdy nie przebiją się przez nas i naszych krasnoludzkich sojuszników.
str_dale_rumor_5|Widziałeś kiedyś słońce wznoszące się ponad Długim Jeziorem? Te kolory sprawiały że moje serce śpiewało. Ale teraz widzę tylko czerwony świt. To zły omen.
str_dale_rumor_6|Krasnoludy są zbyt przywiązani do swoich skarbów. Nadal nie wiemy co myśleć o Thorinie Dębowej Tarczy.
str_dale_rumor_7|Ludzie z Rohanu są naszymi kuzynami i nasz język jest bardzo podobny to ich.
str_dale_rumor_8|Esgaroth wziął swoją nazwę od elfickiego słowa oznaczającego trzcinę, z powodu trzcinowych brzegów. Czy wiedziałeś o tym?
str_dale_rumor_9|Smok jest jednym z tych rodzajów potworów których nikt nie chcę widzieć ponownie
str_dale_rumor_10|Nasz dobrobyt pochodzi z handlu z krasnoludami i elfami. Ale ciężko targować się z krasnoludami. Bardzo mały zysk z tego.
str_harad_rumor_begin|Czarny wąż uderzy zwinnie i śmiertelnie.
str_harad_rumor_2|Na Węża! Nasze bestie wdeptają Gondorczyków w ziemię.
str_harad_rumor_3|Odum vermajál otí verthaba av daranaja-e-jatánus!  (Morduj i pal za złoto Czarnoksiężnika)
str_harad_rumor_4|W Gondorze jest masa złota oraz świecidełek. I pewnie jeszcze więcej na ziemiach za nim
str_harad_rumor_5|Złapiemy słabeuszy z zachodu i złorzymy ich w ofierze Wężowemu Bogu.
str_harad_rumor_6|Korsarze są użyteczni, umieją dobrze żeglować, ale są brudni i opryszczkowi z wyglądu i podstępni w zachowaniu.
str_harad_rumor_7|Pantery z Far Harad polują na ofiarę w osłonie nocy. Nasi wrogowie nie zobaczą ich przyjścia. . .
str_harad_rumor_8|Khandyjscy Wojownicy są dzicy i nieustraszeni, ale ich strategia jest zbyt prosta.
str_harad_rumor_9|Liczę na dobre łupy na Zachodzie. Obiecano nam to. Potem mogę wracać do domu i spokojnie prowadzić sklep z dywanami.
str_harad_rumor_10|Trzymaj się z dala od Mumakila. Te bestie mają dziki temperament i zmiażdżą cię w mgnieniu oka.
str_harad_rumor_11|W Harad mamy pustynie i dżungle, góry i morza. Nasi ludzie są tak różnorodni jak nasze ziemie i tak liczni jak ziarna piasku.
str_harad_rumor_12|Wielu rycerzy z Harondor woli szable od prostych ostrzy. Są one dobre do cięcia uciekających wieśniaków, ale potrzebujesz włóczni, lub dobrego miecza by przebić twardą zbroję.
str_harad_rumor_13|Mój brat krwi zapisał się do Karki - teraz jest zwiadowcą. Jeźdźcy "The Fang" prowadzą niebezpieczne życie, ale jest to dobre doświadczenie dla młodych, gorących chłopców.
str_harad_rumor_14|Nigdy nie zaczynaj walki z Bractwem Lwa! Zasłużyli na taką reputację.
str_harad_rumor_15|Chciałbym żebyśmy mieli więcej broni zrobionych z czarnego żelaza. Wielu nadal musi radzić sobie z brązem, kilku nawet z drewnianymi maczugami i dzidami z czarnego szkła, biegnąc do bitwy nago.
str_gunda_rumor_begin|Bierz ciepłe ziemie od mężczyzn, których przybywamy!
str_gunda_rumor_2|Sharkû obiecał ciepłe jaskinie 
str_gunda_rumor_3|Dosć chowania się w lodowatych górach! Czas wyruszyć do ciepłych ziem ludzi.
str_gunda_rumor_4|W naszych górskich tunelach widzieliśmy śliskiego skulkera, ale nigdy go nie złapiemy. Po prostu zniknął, kiedy się zbliżyliśmy.
str_gunda_rumor_5|Isengardczycy myślą, że są czymś specjalnym ponieważ stary człowiek ich zaopatrza.
str_gunda_rumor_6|Spalimy ludzkie wioski by było nam ciepło 
str_gunda_rumor_7|Człowieczki poczują odmrożenia jakie im sprawimy. A potem ogień. Ha ha ha!
str_gunda_rumor_8|Azog i Bolg niemal pokonali krasnoludów, elfy i ludzi ostatnim razem. Ale ptasie bestie i niedźwiedzio-ludzie ich uratowały. *tfu*
str_gunda_rumor_9|Mięso krasnoludów jest twarde i łykowate. Ludzkie jest lepsze.
str_gunda_rumor_10|Człowiek-niedźwiedź wyszedł z lasu i pożarł Boldusha. Boldush ma pecha! Ha ha ha!
str_gunda_rumor_11|Niektórzy przenieśli się do Morii, gdzie było dużo miejsca. Ale także Ghâsh w głębi. Najlepszy pobyt z dala!
str_moria_rumor_begin|Kiedy usłyszysz bębny- uciekaj!
str_moria_rumor_2|Ghâsh jest w głębinach!
str_moria_rumor_3|Zguba! Zguba! Zguba! Bębny w głębinach.
str_moria_rumor_4|Moria jest wielka, lecz żaden krasnolud już się tu nie panoszy.
str_moria_rumor_5|Krasnoludy kopały zbyt głęboko. Tym lepiej dla nas. HA HA HA!
str_moria_rumor_6|Jest wiele tunelów w Morii. Nie odwiedzamy każdego z nich. 
str_moria_rumor_7|Niektóre manlings i krasnoludki przemykały obok naszych strażników w kopalniach jakiś czas temu. Od tego czasu podwoiliśmy straże.
str_moria_rumor_8|Krasnoludy już nigdy nie postawią tu stopy! Nigdy!
str_moria_rumor_9|Kiedy zbierzemy wystarczająco dużo żołnierzy, pójdziemy i spalimy lasy elfów.
str_moria_rumor_10|Niewiele jedzenia znajduje się w Morii. Jesteśmy głodni. Musimy złapać ludzi i elfów!
str_moria_rumor_11|Niektórzy udają się do lasu na południe. Nikt nie powrócił.
str_umbar_rumor_begin|Wszystkie morza będą należeć do czarnych żagli!
str_umbar_rumor_2|Wszystkie statki Gondoru zostały zatopione, teraz udajmy się w głębie lądu by plądrować.
str_umbar_rumor_3|Nasi nocni napastnicy mogą walczyć zarówno w ciemności, jak i w biały dzień. Prowadzą one nasze harcerskie partie daleko w głąb lądu.
str_umbar_rumor_4|Gondorczycy nie potrafią żeglować. Są szczurami lądowymi.
str_umbar_rumor_5|W przeszłości zabijaliśmy królów Gondoru. Teraz nie mają nawet króla!
str_umbar_rumor_6|Gondorczycy spalili naszą flotę lata temu. Teraz my spalimy Gondor.
str_umbar_rumor_7|Nic, co może rzucić na nas morze, przeraża korsarza. Ale usłyszeliśmy niepokojące pogłoski o obrzydliwościach na lądzie.
str_umbar_rumor_8|Przejdziemy przez Gondor niczym gigantyczna fala i zdobędziemy nasze dawno stracone ziemie.
str_umbar_rumor_9|Haradrimowie nie piją rumu.Wiedziałeś o tym? My za to go uwielbiamy gdyż pomaga ustabilizować harpun w dłoni.
str_umbar_rumor_10|Widziałem kilku Variagów z Khand w walce. Nie chciałbym się z nimi mierzyć. Mamy szczęście że są po naszej stronie.
str_khand_rumor_begin|Walka to to walka niezależnie jak krwawa. Ale odwrót od niej to największy wstyd!
str_khand_rumor_2|Nasze miecze wyciągnięte, musi polać się krew!
str_khand_rumor_3|Ziemia się trzęsie pod kopytami naszej ciężkiej katafrackiej kwarleri,lecz nasi wrogowie trzęsą się na samą myśl o nas!
str_khand_rumor_4|Tym razem zostawiliśmy jeźdźców wagonów z tyłu, nasz atak powinien zaskoczyć wroga.
str_khand_rumor_5|Jesteśmy Variagami z Khand, najokrutniejszymi wojownikami!
str_khand_rumor_6|Wojownicy z Ruhn są również przerażający, lecz oni walczą na grzbietach konni, my wolimy masakrować naszych wrogów stojąc na własnych nogach.
str_khand_rumor_7|Walczyliśmy z Gondorczykami w przeszłości, tym razem pozbędziemy się ich na dobre!
str_khand_rumor_8|Zachód jest słaby i dekadencki. Oni nie mają ducha wojownika.Oni polegną od naszych mieczy i toporów.
str_khand_rumor_9|Nie walczymy dla złota czy niewolników, walczymy za honor i chwałę!
str_khand_rumor_10|Ludzie z Zachodu są aroganccy, Nie wiedzą z czy mogą mieć do czynienia!
str_khand_rumor_11|Handlujemy z Rhun, Mordrem i Haredem. Czasami również z nimi walczymy. Taką drogą kierują się nasi ludzie.
str_khand_rumor_12|Czy stworzyłeś już swoją maskę wojownika? Będziesz potrzebował jej wkrótce! Jeśli wróg nie będzie widział twojej twarzy, jego duch nie będzie mógł cię znaleźć.
str_good_rumor_begin|Z popiołów ogień będzie budzony, Światło z cienia wyskoczy; Odnowione będzie ostrze, które zostało złamane, Bez korony znowu będzie królem.
str_good_rumor_2|Orkowie walczą lepiej w nocy, niż za dnia.
str_good_rumor_3|Uruk-hai są inną rasą orków, która nie boi się światła słonecznego!
str_good_rumor_4|To pokonaniu i po odetchnieniu, cień przyjmuje nową formę i znowu rośnie.
str_good_rumor_5|Martwe bagna ... splugawiona ziemia, chora i niemożliwa do uzdrowienia.
str_good_rumor_6|Cień, który wyhodował, może tylko kpić, nie może zrobić: nie jest prawdziwym nową rzeczą. Nie sądzę, żeby to dało życie orkom, tylko je zepsuje i przekręci.
str_good_rumor_7|Greenwood to kiedyś było nazywane i pełne elfów. Największy z lasów północnego świata. Ale teraz jest to Mirkwood. Czołga się z wszelkiego rodzaju złymi stworzeniami.
str_good_rumor_8|The Argonath,Królewskie Kolumny, wielcy strażnicy północnej granicy Gondoru.
str_good_rumor_9|Amon Hen to najbardziej zachodni z trzech szczytów na południowym końcu Nen Hithoel
str_neutral_rumor_begin|Jutro wszystko może się zmienić...
str_neutral_rumor_2|Martwe Bagna ... miejsce splugawione i chore.
str_neutral_rumor_3|Te tereny były kiedyś zupełnie inne.
str_neutral_rumor_4|Mężczyźni walczą słabiej w nocy. Są jednak tacy, którzy są przyzwyczajeni do widzenia w ciemności.
str_evil_rumor_begin|Orkowie walczą lepiej w nocy,ludzie walcz lepiej za dnia.
str_evil_rumor_2|Zwalczaj kawalerię piką, piechotę strzalą a łucznika tarczą !!!
str_evil_rumor_3|Wielkie rzeźby słabeuszy na wielkiej rzece nie będą dłużej istnieć.
str_legendary_rumor_begin|Legenda głosi, iż te drzewa spotkały się by rozmawiać w Fangorn.
str_legendary_rumor_amonhen|Mówią, że na Anduin jest gdzieś szczególne miejsce, gdzieś gdzie stoją wielkie pomniki.
str_legendary_rumor_deadmarshes|Powiadają, że wszyscy martwi wyglądają na żywych pośrodku Martwych Bagien.
str_legendary_rumor_mirkwood|Kreatury inne niż orkowie pełzają naokoło Mirkwood.
str_legendary_rumor_fangorn|Fangorn to las, który lepiej omijać. Dzieją się tam niecodzienne rzeczy.
str_last_rumor|Ostatnio nie słyszałem niczego interesującego.
str_ent_rumor_begin|Nie bądź taki pochopny...
str_ent_rumor_2|Dowiedz się teraz o wiedzy o żywych stworzeniach! Najpierw nazwijcie czwórkę, wolne narody: Najstarszy ze wszystkich, dzieci elfa; Krasnolud męczący, ciemne są jego domy; Ent ziemskie, stare jak góry; Człowieka śmiertelnika, mistrza koni.
str_ent_rumor_3|Język entów jest pięknym językiem, ale trzeba poświęcić wiele czasu aby cokolwiek w nim powiedzieć, dlatego go nie używamy, chyba że coś jest warte długiego czasu do powiedzenia lub, wysłuchania
str_gondor_rank_0|Poddany Gondoru
str_gondor_rank_1|Żołnierz Gondoru
str_gondor_rank_2|Sierżant Gondoru
str_gondor_rank_3|Rycerz Gondoru
str_gondor_rank_4|Gwardzista Wieży Gondoru
str_gondor_rank_5|Rycerz Cytadeli Gondoru
str_gondor_rank_6|Dowódca Gwardii Gondoru
str_gondor_rank_7|Kapitan Gondoru
str_gondor_rank_8|Obrońca Gondoru
str_gondor_rank_9|Bohater Gondoru
str_dwarf_rank_0|Krasnoludzki Zielonobrody
str_dwarf_rank_1|Krasnoludzki Kopacz
str_dwarf_rank_2|Krasnoludzki Wojownik
str_dwarf_rank_3|Krasnoludzki Długobrody
str_dwarf_rank_4|Krasnoludzki Topór
str_dwarf_rank_5|Krasnoludzki Mistrz Topora
str_dwarf_rank_6|Krasnoludzki Siwobrody
str_dwarf_rank_7|Krasnoludzki Kapitan
str_dwarf_rank_8|Krasnoludzki Wódz
str_dwarf_rank_9|Bohater Hali
str_rohan_rank_0|Ceorl, Poddany Rohanu
str_rohan_rank_1|Than, Sługa Rohanu
str_rohan_rank_2|Léod, Wolny Rohanu
str_rohan_rank_3|Rohir, Jeździec Rohanu
str_rohan_rank_4|Scyldbora, Tarcza Rohanu
str_rohan_rank_5|Swéordbora, Miecz Rohanu
str_rohan_rank_6|Frumgar, Pierwsza Włócznia Rohanu
str_rohan_rank_7|Bealdoraed, Pierwszy Doradca Rohanu
str_rohan_rank_8|Eorl, Szlachcic Rohanu
str_rohan_rank_9|Haleth, Bohater Rohanu
str_mordor_rank_0|Robak
str_mordor_rank_1|Snaga
str_mordor_rank_2|Zdrajca Gorgoroth
str_mordor_rank_3|Wartownik Cirith Ungol
str_mordor_rank_4|Dozorca Niewolników Udûnu
str_mordor_rank_5|Grabieżca Durthang
str_mordor_rank_6|Strażnik Morannon
str_mordor_rank_7|Kapitan Minas Morgul
str_mordor_rank_8|Dowódca Barad-dûr
str_mordor_rank_9|Plaga Rodzaju Ludzkiego
str_isengard_rank_0|Szczur
str_isengard_rank_1|Snaga
str_isengard_rank_2|Drwal
str_isengard_rank_3|Opalacz
str_isengard_rank_4|Karmiciel Wargów
str_isengard_rank_5|Hutnik
str_isengard_rank_6|Mistrz Kuźni
str_isengard_rank_7|Kapitan Orthanku
str_isengard_rank_8|Dowódca Legionów
str_isengard_rank_9|Biała Prawa Ręka Czarodzieja
str_lorien_rank_0|Sador, Wierny Lorien
str_lorien_rank_1|Tauron, Leśniczy Lorien
str_lorien_rank_2|Mifaron, Szary Myśliwy Lorien
str_lorien_rank_3|Thindirith, Szary Strażnik Lorien
str_lorien_rank_4|Thangyl, Tarcza Lorien
str_lorien_rank_5|Maglagyl, Miecz Lorien
str_lorien_rank_6|Tiribrannon, Strażnik Lorien
str_lorien_rank_7|Glaurchir, Arcymistrz Lorien
str_lorien_rank_8|Galadhîr, Promienisty Pan Lorien
str_lorien_rank_9|Thalion, Bohater Lorien
str_imladris_rank_0|Háno, Brat Imladris
str_imladris_rank_1|Macar, Wojownik Imladris
str_imladris_rank_2|Sindacollo, Szary Płaszcz Imladris
str_imladris_rank_3|Luinëcollo, Niebieski Płaszcz Imladris
str_imladris_rank_4|Turmacolindo, Tarcza Imladris
str_imladris_rank_5|Langocolindo, Miecz Imladris
str_imladris_rank_6|Aráto, Obrońca Imladris
str_imladris_rank_7|Hesto, Kapitan Imladris
str_imladris_rank_8|Runando, Wybawiciel Imladris
str_imladris_rank_9|Callo, Bohater Imladris
str_woodelf_rank_0|Sador, Wierny Zielonego Lasu
str_woodelf_rank_1|Tauron, Leśniczy Zielonego Lasu
str_woodelf_rank_2|Hirfaron, Pierwszy Myśliwy Zielonego Lasu
str_woodelf_rank_3|Calendirith, Zielony Strażnik Zielonego Lasu
str_woodelf_rank_4|Thangyl, Tarcza Zielonego Lasu
str_woodelf_rank_5|Maglagyl, Miecz Zielonego Lasu
str_woodelf_rank_6|Tiribrannon, Strażnik Zielonego Lasu
str_woodelf_rank_7|Pengherdir, Mistrz Łuku Zielonego Lasu
str_woodelf_rank_8|Armagor, Królewski Fechmistrz Zielonego Lasu
str_woodelf_rank_9|Thalion, Bohater Zielonego Lasu
str_dale_rank_0|Poddany Dale
str_dale_rank_1|Wolny Dale
str_dale_rank_2|Żołnierz Dale
str_dale_rank_3|Przewoźnik Dale
str_dale_rank_4|Tarcza Dale
str_dale_rank_5|Miecz Dale
str_dale_rank_6|Barding, Strzelec Dale
str_dale_rank_7|Kapitan Dale
str_dale_rank_8|Pan Jeziora Dale
str_dale_rank_9|Bohater Dale
str_harad_rank_0|Inicjowany Plemienia
str_harad_rank_1|Dorosły Plemienia
str_harad_rank_2|Wojownik Plemienia
str_harad_rank_3|Pogromca Lwów
str_harad_rank_4|Zaklinacz Węży
str_harad_rank_5|Treser Mumakili
str_harad_rank_6|Gwardzista Czarnego Węża
str_harad_rank_7|Kapitan Harondoru
str_harad_rank_8|Generał Wielkiej Pustyni
str_harad_rank_9|Złoty Wąż
str_rhun_rank_0|Plemieniec Rhunu
str_rhun_rank_1|Sługa Rhunu
str_rhun_rank_2|Wojownik Rhunu
str_rhun_rank_3|Byczy Wojownik Rhunu
str_rhun_rank_4|Tarcza Rhunu
str_rhun_rank_5|Miecz Rhunu
str_rhun_rank_6|Mistrz Koni Rhunu
str_rhun_rank_7|Pan Wojny Rhunu
str_rhun_rank_8|Wódz Stepowych Klanów
str_rhun_rank_9|Prawa Ręka Khamûla
str_khand_rank_0|Plemieniec Khandu
str_khand_rank_1|Sługa Khandu
str_khand_rank_2|Wojownik Khandu
str_khand_rank_3|Sokoli Wojownik Khandu
str_khand_rank_4|Tarcza Khandu
str_khand_rank_5|Miecz Khandu
str_khand_rank_6|Mistrz Koni Khandu
str_khand_rank_7|Pan Wojny Variagów
str_khand_rank_8|Wódz Klanów Variagów
str_khand_rank_9|Legendary Zdobywca
str_umbar_rank_0|Szczur Lądowy
str_umbar_rank_1|Majtek
str_umbar_rank_2|Żeglarz
str_umbar_rank_3|Harpunnik
str_umbar_rank_4|Nożownik
str_umbar_rank_5|Grabieżca
str_umbar_rank_6|Doświadczony Żeglarz
str_umbar_rank_7|Kapitan Umbaru
str_umbar_rank_8|Dowódca Floty
str_umbar_rank_9|Wielki Admirał Mórz
str_moria_rank_0|Larwa
str_moria_rank_1|Snaga
str_moria_rank_2|Tunelowy Szczur
str_moria_rank_3|Przeszukiwacz Jaskiń
str_moria_rank_4|Grabieżca Kopalń
str_moria_rank_5|Grabieżca Hali
str_moria_rank_6|Zguba Krasnoludów
str_moria_rank_7|Gobliński Pan Wojny
str_moria_rank_8|Gobliński Wódz
str_moria_rank_9|Groza z Głębin
str_guldur_rank_0|Robak
str_guldur_rank_1|Snaga
str_guldur_rank_2|Zdrajca Gorgoroth
str_guldur_rank_3|Wartownik Cirith Ungol
str_guldur_rank_4|Dozorca Niewolników Udûnu
str_guldur_rank_5|Grabieżca Durthang
str_guldur_rank_6|Strażnik Morannon
str_guldur_rank_7|Kapitan Minas Morgul
str_guldur_rank_8|Dowódca Barad-dûr
str_guldur_rank_9|Plaga Rodzaju Ludzkiego
str_gundabad_rank_0|Turd
str_gundabad_rank_1|Snaga
str_gundabad_rank_2|Tunelowy Szczur
str_gundabad_rank_3|Przeszukiwacz Jaskiń
str_gundabad_rank_4|Grabieżca Wzgórz
str_gundabad_rank_5|Grabieżca Gór
str_gundabad_rank_6|Zguba Krasnoludów
str_gundabad_rank_7|Jeździec Wargów Pan Wojny
str_gundabad_rank_8|Wielki Goblin
str_gundabad_rank_9|Łupieżca Północy
str_dunland_rank_0|Szczeniak
str_dunland_rank_1|Pies
str_dunland_rank_2|Wojenny Pies
str_dunland_rank_3|Wilk
str_dunland_rank_4|Silny Wilk
str_dunland_rank_5|Straszliwy Wilk
str_dunland_rank_6|Wspaniały Wilk
str_dunland_rank_7|Przywódca Wilczego Stada
str_dunland_rank_8|Wódz Klanów
str_dunland_rank_9|Mściciel Freca
str_beorn_rank_0|Leśny Podrostek
str_beorn_rank_1|Leśny Tropiciel
str_beorn_rank_2|Leśny Łowca
str_beorn_rank_3|Leśny Zwiadowca
str_beorn_rank_4|Tarcza Lasu
str_beorn_rank_5|Topór Lasu
str_beorn_rank_6|Leśny Niedźwiedź
str_beorn_rank_7|Leśny Wielki Niedźwiedź
str_beorn_rank_8|Leśny Olbrzym
str_beorn_rank_9|Bohater Lasów
str_tld_introduction|TLD wprowadzenie - powin{ieneś/naś} udać się do Edoras.
str_tld_erebor_dungeon|Smród śmierci otacza to miejsce. Lepiej będę ostrożn{y/a}.
str_tld_spear_hit|Ouch!
str_fullname_region_unknown|do nienazwanej krainy, gdzieś w Śródziemiu
str_fullname_region_pelennor|na Pola Pelennoru, równin wokół Minas Tirith, stolicy Królestwa Gondoru
str_fullname_region_subfac_pelargir|na Lenno Lebenninu, części Królestwa Gondoru
str_fullname_region_subfac_dol_amroth|Belfalas, nadmorska prowincja na północy gondoru. 
str_fullname_region_subfac_ethring|do Ringló Vale, krainy Królestwa Gondoru
str_fullname_region_subfac_lossarnach|na Lenno Lossarnach, znane również jako Dolina Kwiatów, część Królestwa Gondoru
str_fullname_region_subfac_pinnath_gelin|na Zielone Wzgórza Pinnath Gelin, krainy Królestwa Gondoru
str_fullname_region_subfac_blackroot|na Lenno Lamedonu, części Królestwa Gondoru
str_fullname_region_n_ithilien|do Północnego Ithilien, najbardziej wysuniętą na wschód prowincję Królestwa Gondoru
str_fullname_region_c_ithilien|do Emyn Arnen, łańcucha wzgórz centralnego Ithilien, przecinających Wielką Rzekę z Minas Tirith
str_fullname_region_s_ithilien|do Południowego Ithilien, najbardziej wysuniętej na wschód prowincji Królestwa Gondoru
str_fullname_region_druadan_forest|do Lasu Drúadan, Gondorskiego Lasu Drúedain
str_fullname_region_firien_wood|do Lasu Firien, Szepczącego Lasu, Gondorskiego lasu dębowego
str_fullname_region_anorien|do Anórien, krainy znajdującej się między Górami Białymi i rzeką Aduiną
str_fullname_region_rohan0|do Bruzd, serca Rohanu
str_fullname_region_rohan1|do Wschodniego Emnet, części Rohanu, Riddermarki
str_fullname_region_rohan2|do Zachodniego Emnet, części Rohanu, Riddermarki
str_fullname_region_rohan3|do Wschodniej Bruzdy, części Rohanu, Riddermarki
str_fullname_region_rohan4|do Zachodniej Bruzdy, części Rohanu, Riddermarki
str_fullname_region_rohan5|do Helmowego Jaru, krętego wąwózu w Górach Białych, w Rohanie
str_fullname_region_the_wold|do Wold, Północnowschodniej części Riddermarki Rohanu
str_fullname_region_gap_of_rohan|Przełom Rohanu, najbardziej na zachód wysunięta granica Rohanu, sporny obszar między Rohirrim i Dunlendings.
str_fullname_region_entwash|do Ust Rzeki Entów, gdzie Rohańska część Rzeki Entów łączy się z Aduiną
str_fullname_region_wetwang|na Nindalf, moczary Wetwang
str_fullname_region_dead_marshes|na Martwe Bagna, miejsce starożytnej bitwy na równienie Dagorlad, obecnie miejsca przeklętego
str_fullname_region_isengard|na równiny wokół Isengardu
str_fullname_region_fangorn|do Lasu Fangorn, gdzie podobno drzewa potrafią mówić, znanego jako Las Entów
str_fullname_region_brown_lands|na Brązowe Ziemie, obejmujące obszar między Emyn Muil i Mroczną Puszczą
str_fullname_region_dagorlad|do Dagorladu, wielkich, bezdrzewnych przestrzeni u bram Mordoru
str_fullname_region_n_undeep|na Północne Zlewisko, większy z dwóch meandrów Anduiny
str_fullname_region_s_undeep|na Południowe Zlewisko, mniejszy z dwóch wielkich zakolów Anduiny
str_fullname_region_emyn_muil|do Emyn Muil, skalistych wzgórz nad dopływem Rzeki Entów
str_fullname_region_misty_mountains|na podnóża Gór Mglistych
str_fullname_region_lorien|do Lothlórien, lasu Sindarskich elfów
str_fullname_region_anduin_banks|do doliny Anduiny, między Górami Mglistymi i Mroczną Puszczą
str_fullname_region_n_mirkwood|gęste lasy północnego Mirkwood, dom Leśnych Elfów
str_fullname_region_s_mirkwood|do gęstwiny lasów południowej Mrocznej Puszczy, podobno zamieszkałych przez dziwne stworzenia
str_fullname_region_above_mirkwook|do Północnego Rhovanionu, krainy pomiędzy Mroczną Puszczą a Szarymi Górami na Północy
str_fullname_region_grey_mountains|na podnóża Gór Szarych, zamieszkałych przez Krasnoludy
str_fullname_region_mordor|do Mordoru, mrocznego Królestwa Saurona
str_fullname_region_dimrill|Dimrill Dale, u podnóża Gór Moria.
str_fullname_region_s_rebor|królestwo Dale, u stóp samotnej góry
str_shortname_region_unknown|do nienazwanej krainy
str_shortname_region_pelennor|na Pola Pelennoru
str_shortname_region_subfac_pelargir|Lenno Lebennin
str_shortname_region_subfac_dol_amroth|do Belfalasu
str_shortname_region_subfac_ethring|do Ringló Vale
str_shortname_region_subfac_lossarnach|Lenno Lossarnach
str_shortname_region_subfac_pinnath_gelin|na obszar Pinnath Gelin
str_shortname_region_subfac_blackroot|na Lenno Lamedonu
str_shortname_region_n_ithilien|do Północnego Ithilien
str_shortname_region_c_ithilien|do Emyn Arnen
str_shortname_region_s_ithilien|do Południowego Ithilien
str_shortname_region_druadan_forest|do Lasu Drúadan
str_shortname_region_firien_wood|do Lasu Firien
str_shortname_region_anorien|do Anórien
str_shortname_region_rohan0|do Bruzd
str_shortname_region_rohan1|do Wschodniego Emnet
str_shortname_region_rohan2|do Zachodniego Emnet
str_shortname_region_rohan3|do Wschodniej Bruzdy
str_shortname_region_rohan4|do Zachodniej Bruzdy
str_shortname_region_rohan5|do Helmowego Jaru
str_shortname_region_the_wold|do Wold
str_shortname_region_gap_of_rohan|do Doliny Rohańskiej
str_shortname_region_entwash|do Ust Rzeki Entów
str_shortname_region_wetwang|na Nindalf
str_shortname_region_dead_marshes|na Martwe Bagna
str_shortname_region_isengard|na równiny wokół Isengardu
str_shortname_region_fangorn|do Lasu Fangorn
str_shortname_region_brown_lands|na Brązowe Ziemie
str_shortname_region_misty_mountains|na podnóża Gór Mglistych
str_shortname_region_lorien_|do Lorien
str_shortname_region_anduin_banks_|do doliny Anduiny
str_shortname_region_n_mirkwood_|do Północnej części Mrocznej Puszczy
str_shortname_region_s_mirkwood_|do Południowej części Mrocznej Puszczy
str_shortname_region_above_mirkwook|do Północnego Rhovanionu
str_shortname_region_grey_mountains|na podnóża Gór Szarych
str_shortname_region_mordor|do Mordoru
str_shortname_region_dimrill|Dimrill Dale
str_shortname_region_s_erebor|królestwo Dale
str_trait_title_elf_friend|Przyjaci{el/ółka} Elfów
; str_trait_desc_elf_friend|You have become highly esteemed by the Elves and they now regard you as a trusted ally. The cost to recruit elves has been reduced.
str_trait_title_gondor_friend|Pobłogosławion{y/a} przez Namiestnika
str_trait_desc_gondor_friend|Zyskałeś poważanie u króla Stewarda Denethora, dzięki czemu jego ludzie mają wobec ciebie większy szacunek. Cena za rekrutacje Gondorians jest teraz mniejsza.
str_trait_title_rohan_friend|Człowiek Króla
str_trait_desc_rohan_friend|Zyskałeś poważanie u króla Theodena z Rohan, dzięki czemu jego ludzie mają wobec ciebie większy szacunek. Cena za rekrutacje Rohirrim jest teraz mniejsza.
str_trait_title_brigand_friend|Barbarzyński Czempion
str_trait_desc_brigand_friend|Zyskał{e/a}ś poważanie pośród barbarzyńskich plemion służących Sauronowi. Możesz teraz rekrutować barbarzyńców mniejszym kosztem.
str_trait_title_blessed|Pobłogosławion{y/a}
