
str_yes|Да.
str_lord_mission_failed_upstanding|Ничего страшного. Думаю, ты старал{ся/ась} изо всех сил.
str_lord_follow_refusal_default|Следовать за тобой? Ты забываешься, {уважаемый/уважаемая}.
str_lord_follow_refusal_martial|Если когда-нибудь ты увенчаешь себя воинской славой, я последую за тобой. Но не сегодня.
str_lord_follow_refusal_quarrelsome|Следовать за кем-то вроде тебя? Нет уж.
str_lord_follow_refusal_pitiless|Военачальники, вроде меня, не следуют за так{им/ой}, как ты, {уважаемый/уважаемая}.
str_lord_follow_refusal_cunning|Сначала докажи, что не заманишь меня в ловушку, а потом я, может, и пойду с тобой.
str_lord_follow_refusal_sadistic|Нет уж! Лучше ты иди за мной, как дворняжка за хозяином.
str_lord_follow_refusal_goodnatured|У меня сейчас много дел. Давай потом.
str_lord_follow_refusal_upstanding|Сначала докажи, что за тобой и впрямь стоит идти, а там посмотрим.
str_lord_insult_default|сучий потрох
str_lord_insult_martial|бесчестный плут
str_lord_insult_quarrelsome|дрянной ублюдок
str_lord_insult_pitiless|подлый червь
str_lord_insult_cunning|неосмотрительный болван
str_lord_insult_sadistic|сопливый трус
str_lord_insult_goodnatured|плохой парень
str_lord_insult_upstanding|бесчестный мерзавец
str_rebellion_dilemma_default|[liege]
str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his throne illegally.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself .
str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. That is good -- it absolves me of my oath to {s46}. But still I must weight my decision carefully.
str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, yet the powerful are not bound by their oaths as our ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.
str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what's in it for me?
str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I don't know if I am still bound.
str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my homage to {s46} to be null and void, and dissolve the bonds which keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
str_rebellion_dilemma_2_default|[liege]
str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in war and peace, and I am loathe to renounce my allegiance.
str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on the bastard I know, in favor of {reg3?a woman:the bastard} I don't know?
str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would make {reg3?ruler:king} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!
str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the throne by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.
str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but perhaps if I bring {s46} your head he will give me an even greater reward.
str_rebellion_dilemma_2_goodnatured|{s46} has always treated me decently, yet it's true that he did wrong to {s45}. I hesitate to renounce my homage to {s46}, yet I also don't think it's right to support injustice.
str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm, to avoid it being laid waste by civil war and ravaged by its enemies.
str_rebellion_prior_argument_very_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I do not find them convincing.
str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I disagree with most of them.
str_rebellion_rival_default|[liege]
str_rebellion_rival_martial|{s49} your ally {s44} once questioned my honour and my bravery. It's not often I get the chance to face him in battle, and make him retract his statement.
str_rebellion_rival_quarrelsome|{s49} you're working with {s44}. He's a crafty weasel, and I don't trust him one bit.
str_rebellion_rival_pitiless|{s49} you seem to have enlisted the support of {s44} -- who is soft, and weak, and not fit to govern a fief, and whom I have always detested.
str_rebellion_rival_cunning|{s49} {s44}, who has already joined you, is headstrong and quarrelsome, and a bit of liability.
str_rebellion_rival_sadistic|{s49} I have no desire to fight alongside your ally {s44}, who puts on such a nauseating display of virtue.
str_rebellion_rival_goodnatured|{s49} I'd be reluctant to be on the same side as {s44}, who has quite a reputation for cruelty.
str_rebellion_rival_upstanding|{s49} your ally {s44} is in my opinion a dangerous, unreliable, and highly unprincipled man.
str_rebellion_argument_favorable|I respect your line of argument
str_rebellion_argument_neutral|I find your line of argument only moderately compelling
str_rebellion_argument_unfavorable|I do not find your line of argument compelling
str_rebellion_persuasion_favorable|you state your case eloquently
str_rebellion_persuasion_neutral|you make a reasonable case
str_rebellion_persuasion_unfavorable|you make an unconvincing case
str_rebellion_relation_very_favorable|I have the greatest respect for you personally.
str_rebellion_relation_favorable|I know and respect you personally.
str_rebellion_relation_neutral|I do not know you as well as I might like.
str_rebellion_relation_unfavorable|I do not trust you.
str_and_comma_3|Более того, 
str_but_comma_3|Однако
str_and_comma_1|, и 
str_but_comma_1|, но 
str_and_comma_2|. Кроме того, 
str_but_comma_2|. Тем не менее, 
str_rebellion_agree_default|[liege]
str_rebellion_agree_martial|I have decided. I will back {s45} as the rightful heir.
str_rebellion_agree_quarrelsome|Ahh, I've thought long enough. I never did like {s46} much anyway. Let's go take his throne away from him.
str_rebellion_agree_pitiless|You are fortunate. I have decided to join you. Pray do not give me cause to regret this decision.
str_rebellion_agree_cunning|This is a most dangerous decision, but after careful consideration, I have decided that I will join you. Let's hope it is for the best.
str_rebellion_agree_sadistic|I have decided. I will back your {reg3?woman:man} {s45}. But you'd best make sure that {reg3?she:he} rewards me well!
str_rebellion_agree_goodnatured|All right. I think your {reg3?woman:man} will be a good ruler. I'll join you.
str_rebellion_agree_upstanding|So be it. My first duty is to this realm, and to save it from lawlessness I will back {s45} and renounce my homage to {s46}. May the Heavens forgive me if I do wrong.
str_rebellion_refuse_default|[liege]
str_rebellion_refuse_martial|I am sorry. {s45} has a good claim, but it's not enough for me to turn my back on {s46}. I will remain loyal to my liege.
str_rebellion_refuse_quarrelsome|Nah. Your whelp {s45} doesn't have what it takes to rule this realm. I'm sticking with {s46}.
str_talk_later_default|[liege]
str_talk_later_martial|Now is not the time to talk politics! I am here today with my fellow lords, armed for battle. You'd better prepare to fight.
str_talk_later_quarrelsome|Do you expect me to discuss betraying my liege with you, while we are surrounded by his army? What do you take me for, a bloody idiot?
str_talk_later_pitiless|Still your tongue! Whatever I have to say on this matter, I will not say it here and now, while we are in the midst of our army.
str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now we're still foes.
str_talk_later_sadistic|You should have your mouth sewn shut! Can you imagine what would happen if the other vassals see me talking to you of treason?
str_talk_later_goodnatured|So you wish to discuss your rebellion with me? Try that again when we aren't surrounded by my liege's army, and I will hear what you have to say.
str_talk_later_upstanding|Whatever my thoughts on the legitimacy of the succession, I am not about to discuss them here and now. If we meet again when we can talk in privacy, I will hear what you have to say on the matter. But for now, consider me your enemy.
str_gossip_about_character_default|They say that {s6} doesn't possess any interesting character traits.
str_gossip_about_character_martial|They say that {s6} loves nothing more than war.
str_gossip_about_character_quarrelsome|They say that {s6} almost came to blows with another lord lately, because the man made a joke about his nose.
str_gossip_about_character_selfrighteous|I heard that {s6} had a squire executed because the unfortunate man killed a deer in his forest.
str_gossip_about_character_cunning|They say that {s6} is a cunning opponent.
str_gossip_about_character_sadistic|They say that {s6} likes to torture his enemies. I wouldn't want to get on the bad side of that man.
str_gossip_about_character_goodnatured|They say that {s6} is a good man and treats people living in his lands decently. That is more than what can be said for most of the nobles.
str_gossip_about_character_upstanding|People say that it is good to be in the service of {s6}. He is good to his followers, and rewards them if they work well.
str_latest_rumor|Последний слух, в котором упоминается {s6}, это:
str_faction_strength_crushed|уничтожена
str_faction_strength_spent_and_wavering|колеблется на грани поражения
str_faction_strength_weakened|слаба
str_faction_strength_fair|ослаблена
str_faction_strength_average|более-менее сильна
str_faction_strength_strong|сильна
str_faction_strength_quite_strong|очень сильна
str_faction_strength_very_strong|мощна
str_faction_strength_unmatched|непобедима
str_faction_strength_last|INVALID
str_theater_se|Гондор
str_theater_sw|Рохан
str_theater_c|Южный Рованион
str_theater_n|Северный Рованион
str_faction_side_name|Свободные Народы
str_faction_side_name1|Багровое Око
str_faction_side_name2|Белая Длань
str_party_greet_friend_gondor|Приветствуем, друг Белого Древа!
str_party_greet_enemy_gondor|Обнажите мечи, если у вас хватит духу, врага Гондора!
str_party_greet_friend_dwarf|Народ Дурина приветствует друга гномов!
str_party_greet_enemy_dwarf|Барук кхазад! Кхазад ай-мену!
str_party_greet_friend_rohan|Мы рады встрече, друг роханцев!
str_party_greet_enemy_rohan|Всадники Рохана готовы бросить тебе вызов!
str_party_greet_friend_mordor|Победа будет за Оком!
str_party_greet_enemy_mordor|Ваши головы будут неплохо смотреться на воротах Мораннона!
str_party_greet_friend_isengard|Да славится Белая Длань!
str_party_greet_enemy_isengard|Премудрый Хозяин будет рад увидеть ваши трупы!
str_party_greet_friend_lorien|Приветствую, друг прекрасного Лориэна!
str_party_greet_enemy_lorien|Мерзкое создание, мы положим конец твоим страданиям!
str_party_greet_friend_imladris|Приветствуем, друг Имладриса и Эльронда!
str_party_greet_enemy_imladris|Сегодня мы выйдем на бой против врагов Имладриса и всего прекрасного!
str_party_greet_friend_woodelf|Приветствуем, друг эльфов Темнолесья!
str_party_greet_enemy_woodelf|Всякий, кто войдёт в Темнолесье со злым умыслом, не уйдёт живым!
str_party_greet_friend_dale|Приветствуем, друг славного Дэйла!
str_party_greet_enemy_dale|Обнажите мечи, мы люди Дэйла!
str_party_greet_friend_harad|Приветствуем, друг харадцев!
str_party_greet_enemy_harad|Ваши трупы будут втоптаны в песок!
str_party_greet_friend_rhun|Приветствуем, друг истерлингских племён и Дорвиниона!
str_party_greet_enemy_rhun|Гномы и люди не совладают с нашей свирепостью!
str_party_greet_friend_khand|Гус гивати гьок, друг варьягов! Твои шрамы делают тебе честь.
str_party_greet_enemy_khand|Наденьте боевые маски, ибо сегодня мы выйдем навстречу судьбе!
str_party_greet_friend_umbar|Ни-йози зирбит кийад, друг корсаров!
str_party_greet_enemy_umbar|Будь мы в море, ты бы уже прош{ёлся/лась} по доске!
str_party_greet_friend_moria|Да славится Белая Длань!
str_party_greet_enemy_moria|Орки Мории перережут вам глотки!
str_party_greet_friend_guldur|Победа будет за Оком!
str_party_greet_enemy_guldur|Эльфы и их дружки падут под нашими клинками!
str_party_greet_friend_gundabad|Бойся мощи Ангмара!
str_party_greet_enemy_gundabad|Мы схватим тебя и попируем твоими кишками!
str_party_greet_friend_dunland|Приветствуем, враг лошадников!
str_party_greet_enemy_dunland|Мы сожжём ваши дома и перережем ваши семьи!
str_party_greet_friend_beorn|Приветствуем, друг Беорна!
str_party_greet_enemy_beorn|Вы познаете ярость медвежьего народа!
str_subfaction_gondor_name_begin|Гондор
str_subfaction_gondor_name1|Пеларгир
str_subfaction_gondor_name2|Дол-Амрот
str_subfaction_gondor_name3|Ламедон
str_subfaction_gondor_name4|Лоссарнах
str_subfaction_gondor_name5|Пиннат-Гелин
str_subfaction_gondor_name6|Долина Мортонда
str_subfaction_gondor_name7|Итилиэн
str_default_rumor|Война. Все говорят о войне.
str_rohan_rumor_begin|Мое сердце разрывается, когда я вижу своих детей, идущих на войну! Вместо них должны идти взрослые мужчины.
str_rohan_rumor_2|Я слышал орки едят лошадей. Грязные выродки! А также и пленных. Это тоже плохо, конечно.
str_rohan_rumor_3|Нет коней лучше роханских. Даже эльфы получают от нас лошадей!
str_rohan_rumor_4|Если вы можете помочь моим людям, пожалуйста, позаботьтесь должным образом о наших конях.
str_rohan_rumor_5|Дайте мне восемь вьючных лошадей, он сказал... после вчерашней просьбы о семи животных. Не кажется вам странным?
str_rohan_rumor_6|Гондорцы предпочитают более выносливых лошадей. Наши всадники любят скорость. Эльфы ездят только на лучших. А наши враги - конокрады!
str_rohan_rumor_7|Я видел помесь пустынных кобыл и варьягских коней. Кони Рохана чистокровнее, но и требуют более опытной руки.
str_rohan_rumor_8|Варги не такие быстрые, но маневренней. По сравнению с чистокровными боевыми конями, варги довольно уязвимые.
str_rohan_rumor_9|Армия пикинеров и копейщиков идёт на Рохан, идёт против лучших его всадников. Предатель Саруман вырубит весь лес Фангорн до конца, чтобы снарядить свои войска.
str_rohan_rumor_10|Чтобы стать лучшим всадником страны, нужно вырастить лучшего скакуна. 
str_rohan_rumor_11|Большинством лошадей Гондор снабжаем мы. Они предпочитают менее быстроходных коней, способных нести на себе тяжелую броню.
str_rohan_rumor_12|У нас в Рохане говорят, что конь походит на своего хозяина. Если конь плохой, то и человек таков. Если конь голоден, то голоден и хозяин, если конь печален, то хозяин тоже. Если конь счастлив, то доволен и человек. Если конь сердит, то сердит и хозяин. Мы говорим, какой скакун - такой и ездок, конь стар, как хозяин, конь молод, как хозяин. И если конь малодушен, то и воин кривит душой.
str_rohan_rumor_13|Орки Сарумана отвратительные, но не носят хорошей защиты. Они не выдержат удар хорошего топора.
str_rohan_rumor_14|Наши топоры и копья могут казаться громоздкими, но сколько у вас шансов бросить снаряд прежде, чем вы доберетесь до противника? Потому нужно расчитывать на такое массивное оружие.
str_rohan_rumor_15|Попасть в орка из лука, будучи в седле, кажется трудным делом, но это необходимо, чтобы не налететь на их длинные пики.
str_rohan_rumor_16|У гондорцев есть пешие лучники, мы же практикуем верховую стрельбу. Дунландцы не умеют ни того, ни другого.
str_rohan_rumor_17|Многие из Сарумановых орков - смертоносные стрелки. Многие нет. Толковый командир кавалерии должен уметь определять, кто есть кто.
str_rohan_rumor_18|Мы все здесь друзья. Или дожны быть ими; наши междоусобицы для Мордора будут истинным удовольствием.
str_rohan_rumor_19|Долго мы выращивали животных и возделывали поля, строили дома, создавали инструменты и ездили в походы на помощь Минас-Тириту. Это мы называем настоящей жизнью человека, верным бытием мира.
str_gondor_rumor_begin|У Гондора нет короля, а враг уже на пороге. Тень наступает с востока. Дела обстоят плохо.
str_gondor_rumor_2|В Гондоре есть в достатке все, что можно сделать, построить или вырастить под солнцем. Но надолго ли?
str_gondor_rumor_3|Мордор - выжженая и бесплодная земля. Что там едят живые существа? Ну, не друг друга же? Или... 
str_gondor_rumor_4|Мы тяжело трудимся, сохраняя родину для наших детей. За нами величественное и мужественное прошлое, но наше будущее - туманно.
str_gondor_rumor_5|Возможности Врага кажутся безграничными, но они основаны на рабском труде.
str_gondor_rumor_6|Мы знаем об эльфах на севере, но от них нет никаких известий.
str_gondor_rumor_7|Я видел Белое Древо снова в цвету во дворе королей, и Серебрянная Корона вернулась, а Минас-Тирит был в изобилии: как в былые времена, Минас-Анор, полный жизни, богатства и красоты, неотразимый, как король среди королей.
str_gondor_rumor_8|Почему Умбар продолжает воевать с нами? Корсары получили бы больше выгоды, если бы торговали с нами. Какой же должна быть прибыль от награбленных старинных нуменорских вещей, которые они вывозят, а затем снова продают гондорской знати? 
str_gondor_rumor_9|Воевать нужно, чтобы защитить себя от захватчиков, готовых пожрать все; но я люблю меч не за его остроту, стрелу - не за её скорость, а воина - не за его славу. Я сражаюсь, чтобы защищаться.
str_gondor_rumor_10|Гиль-Галад был королем эльфов. О нем пели менестрели: последний владыка, кто правил королевством прекрасным и свободным, страной от Гор и до Моря.
str_gondor_rumor_11|Дол-Гулдур? Никогда не слышал о нем.
str_gondor_rumor_12|Мория? Там гномьи копи, так ведь?
str_gondor_rumor_13|Не говорите никому, что я вам сообщу, но я считаю, что королем мог бы стать князь Имрахиль. Наместник Денетор, конечно, знатен, но Гондор пришел в упадок при его правлении. И не в последнюю очередь потому, что его старший сын погиб.
str_gondor_rumor_14|Люди говорят, что видели, как Девятеро ехали по дороге из Минас-Моргула. Мне хотелось бы, чтобы у нас было побольше таких храбрых полководцев, как Боромир, которые повели бы воинов против столь древних врагов.
str_gondor_rumor_15|Южане выбивают нас из Харондора. Некоторое время назад они совершили крупный набег. Хотел бы я без всякой опаски проехать по зеленым полям Лебеннина. Но нам говорят: "Нет", - солдаты нужны для защиты сердца нашего королевства.
str_gondor_rumor_16|Кузен моего друга служит лучником у Хирлуина Прекрасного. Если вам интересно моё мнение, они носят самую красивую форму.
str_gondor_rumor_17|Те, кто живет в ущелье Мортонд привыкли к тени. Я слышал, что ночью они хорошо видят.
str_gondor_rumor_18|Мы правдолюбы, мы гондорцы. Мы редко хвалимся и если беремся за дело, то выполним его до конца или умрем.
str_dwarf_rumor_begin|Нас спрашивают, есть ли у нас друзья. Конечно, у нас есть друзья. Но они нам не нравятся.
str_dwarf_rumor_2|Орки? Пффт! Все они мишени для топора.
str_dwarf_rumor_3|Во что это вы одеваетесь? Не похоже, что это защитит вас хотя бы от пчелиного жала. Вы смешно смотритесь.
str_dwarf_rumor_4|Мы спокойно можем ездить на лошадях. Просто не хотим!
str_dwarf_rumor_5|Убирайтесь! Мы не нуждаемся в вашем присутствии, нам и так орков хватает.
str_dwarf_rumor_6|Каково ваше краткое имя?
str_dwarf_rumor_7|Вы должны посмотреть пещеры Хорнбурга. Если бы мы только могли добыть все драгоценные камни оттуда...
str_dwarf_rumor_8|Ни одной вести от наших братьев из Мории. Держу пари, они хотят оставить все богатства себе!
str_dwarf_rumor_9|Эльфы? Что эльфы сделали для нас? Хорошо, врачевание, что еще? Ладно, некоторые кузнечные инструменты, еще что-то? Они борятся с Тенью, но что, кроме этого, эльфы действительно сделали для нас, я вас спрашиваю?
str_dwarf_rumor_10|Бутыль эля, жареную свинину, бабенку с длинной бородой - и я буду счастлив!
str_dwarf_rumor_11|Хорошо, Бриан, я открываю шахту! Что? А? Хорошо, Бриан, я открываю шахту!
str_dwarf_rumor_12|Мы, гномы, всегда строили больше одного входа в наши шахты. Есть еще много секретных.
str_dwarf_rumor_13|Странный вы народ.
str_dwarf_rumor_14|Трудился без устали Дурина род, Будил своей музыкой древние горы: Арфисты и барды, флейтисты и хоры, И трубы гудели у крепких ворот.
str_dwarf_rumor_15|*тихим гулом* Людей повергнем! И эльфов долой! Все золото заберем с собой!
str_mordor_rumor_begin|Лугбурз повелевает!
str_mordor_rumor_2|Назгулы сокрушат мир людей!
str_mordor_rumor_3|Почему ты не работаешь, глоб! Око все видит!
str_mordor_rumor_4|Скоро, тьма уже идет! Дурб-бурз!
str_mordor_rumor_5|Голоден! Где жратва?
str_mordor_rumor_6|Мы полакомимся людьми Белого города!
str_mordor_rumor_7|Хозяин тренирует олог-хаев для войны!
str_mordor_rumor_8|Варг откусил мне палец. Эти твари - действительно свирепые! Волчья падаль!
str_mordor_rumor_9|Не верь Саруману-глобу!
str_mordor_rumor_10|Горные орки пробудились! Мы сильны! Мы сожрём диких снаг!
str_mordor_rumor_11|Урук глоб иши кримп шар-кук.
str_mordor_rumor_12|Назгул ронк иши олог-хош ша урук-баг. Ха-ха-ха!
str_mordor_rumor_13|Снага спёр мое мясо, пушдуг!
str_mordor_rumor_14|Гу кибум келькум-иши, бурзум-иши. Аха-гум-иши аши гурум.
str_mordor_rumor_15|Изенгард урук-хай у багронк ша пушдуг Саруман-глоб бубхош скай!
str_mordor_rumor_16|Если кто тебе дерзит - убей его. Если кто с тобой дерётся - убей его. Если кто на тебя пялится - убей его. А если он мёртв - сожри его.
str_mordor_rumor_17|Урук-хаи Сарумана говорят, что они выносят дневной свет. Бубхош скай!
str_mordor_rumor_18|Все мертвы, все сгнили. Эльфы, люди и орки. В Мертвецких болотах!
str_mordor_rumor_19|Не становись между назгулом и его добычей!
str_mordor_rumor_20|Изенгардцы? Разгребатели дерьма грязного колдунишки! Они едят орочье мясо, я уверен.
str_mordor_rumor_21|Темнолесье уже в наших руках, просто эльфы ещё об этом не знают.
str_mordor_rumor_22|Иди на всякие уловки, когда разведываешь Итилиэн, а не то попадёшь в засаду. Проклятые людишки в зелёных капюшонах...
str_mordor_rumor_23|Куда кнут, туда и путь.
str_isengard_rumor_begin|Шарку повелевает!
str_isengard_rumor_2|Лошадники - жратва! Бубхош!
str_isengard_rumor_3|Лошадники получат пику в брюхо! Ха-ха-ха!
str_isengard_rumor_4|У Сарумана есть много трюков в запасе! Прочная сталь и огненный камень!
str_isengard_rumor_5|Вонючие дикари! Но Шарку прав. Он знает, как их использовать.
str_isengard_rumor_6|Морийская мразь выращивает олог-хаев! Здоровенных! Скай!
str_isengard_rumor_7|Мудрый хозяин сделает урук-хаев сильными!
str_isengard_rumor_8|Варги быстрее коней! Варги едят коней!
str_isengard_rumor_9|Урук-хаи растопчут лошадников!
str_isengard_rumor_10|Дави! Дави! Дави!
str_isengard_rumor_11|Урук глоб иши кримп шар-кук.
str_isengard_rumor_12|Жги деревья! Куй оружие! Бей лошадников!
str_isengard_rumor_13|Не попадись под руку берсерку, а не то разрубит на куски!
str_isengard_rumor_14|Видал я, как берсерк напоролся на копье лошадника. Так он человечишку этим копьём из седла выбил, прям из своих кишок не вынимая.
str_isengard_rumor_15|Не доверяю я этим маленьким горным свиньям. Изенгардцы победят в этой войне, с ними или без них.
str_isengard_rumor_16|Именем Белой Длани! Что проку от этих пещерных слизняков, они как следуют не обучены! Проклятые северные орки и гоблины!
str_isengard_rumor_17|Я бы пощекотал некоторых пленников своим ножичком. Иногда нужно заставлять этих никчемных крыс пищать!
str_isengard_rumor_18|Эти слизняки и крысы Лугбурза отличаются только в одном: они в темноте видят, как кошки.
str_isengard_rumor_19|Мы вырубаем лес, но многие орки, которые в него вошли, уже обратно не выходят.
str_isengard_rumor_20|Куда кнут, туда и путь.
str_rhun_rumor_begin|Скачи подобно степному ветру!
str_rhun_rumor_2|Гномы - жадные и подлые. А люди Дэйла помогают им обманывать нас.
str_rhun_rumor_3|Три волшебника проходили через наши земли не так давно. Хотел бы знать, что они делали.
str_rhun_rumor_4|Наши земли обширны и малолюдны. Но мы знаем, как здесь выжить.
str_rhun_rumor_5|В былые времена мы продовали эльфам и гномам наши вино и трубочное зелье. Но они только жульничают и обманывают!
str_rhun_rumor_6|Наши родичи из Ханда предпочитают сражаться пешими, но мы знаем, что на лошадях - лучше.
str_rhun_rumor_7|Мы побеждали войска Гондора раньше, сделаем это снова!
str_rhun_rumor_8|Мы сражаемся до смерти! Никогда не бежим и не отступаем! Ни шагу назад!
str_rhun_rumor_9|Красный рассвет наступил на востоке. Красный закат придет на Запад!
str_rhun_rumor_10|Эльфийские женщины? Не. Слишком тощие!
str_rhun_rumor_11|Каждый из моих сыновей уже принес по вражеской голове. А моя дочь - даже яйца врага. Ха-ха-ха!
str_rhun_rumor_12|Орки - мерзкие твари, трусливые и неумелые. Им не место на поле боя.
str_rhun_rumor_13|Что есть лучшее в жизни? Победить своих врагов, обратить их в бегство и услышать плачь их жешщин. 
str_dunland_rumor_begin|Мы не узнаем отдыха, пока не отомстим соломенноголовым и не поставим их на колени!
str_dunland_rumor_2|Роханские ублюдки "дружат" со своими конями ночью! Ха-ха-ха!
str_dunland_rumor_3|Ночные Волки могут видеть в темноте. Даже ночью их брошенные копья не пройдут мимо своей цели.
str_dunland_rumor_4|Смерть форгойлам! Смерть соломенноголовым! Смерть грабителям с Севера!
str_dunland_rumor_5|Они называют Роханом земли, где жили наши предки! Мы отомстим за наших прадедов и выгоним грязных захватчиков.
str_dunland_rumor_6|Не попадайся форгойлам живьем, или они замучают тебя и сожгут!
str_dunland_rumor_7|Мы жаждем крови, как волк, и мы сильны, как боров!
str_dunland_rumor_8|Форгойлы думают, что мы дикие и глупые. Посмотрим, что они скажут, когда их всадников встретят наши пикинеры.
str_dunland_rumor_9|Изенгардские вороны выклюют глаза соломенноголовым, дунландские волки перегрызут им глотки.
str_dunland_rumor_10|Я поймал и убил волка голыми руками. Я переломлю шею лошадника, как тростинку! Гррр!
str_dunland_rumor_11|Наш вождь нашел старый бронзовый меч в кургане. Он согнул его и бросил в болото. Духи холмов, наверняка, будут с нами. Таков древний обычай.
str_dunland_rumor_12|Мои предки вместе с Фрекой, а потом с Вульфом боролись против кровавых форгойлов. Мы помним их мужество.
str_beorn_rumor_begin|Леса огромны, и самые разные существа живут в них.
str_beorn_rumor_2|Дикие пчелы делают лучший мед!
str_beorn_rumor_3|Лесные эльфы - скрытные, но добрые. Гномы с гор - шумные и веселые. Люди Дэйла - трудолюбивые.
str_beorn_rumor_4|Мы видели множество неведомых созданий в наших владениях за последнее время.
str_beorn_rumor_5|Я сплю всю ночь, а работаю весь день!
str_beorn_rumor_6|Зло расползается вон с тех гор.
str_beorn_rumor_7|Великий лес больше не такой, какой был раньше!
str_beorn_rumor_8|Сила топора не в лезвии, а в рукояти.
str_beorn_rumor_9|Прошлой зимой мы спали. Что? Да, нужно есть много осенью, чтобы продержаться всю зиму.
str_beorn_rumor_10|Люди Рохана нам родичи, медведи - наша кровь, гоблины - наша добыча!
str_beorn_rumor_11|Превращаться в медведей? Нет, конечно, такого мы не можем. Кто сказал тебе такие глупости? Ха-ха-ха!
str_beorn_rumor_12|Беорн был высокий муж. Нет, не высокий - великан!
str_beorn_rumor_13|Самые лучшие и смелые лесные воины не боятся теней леса. Они могут сражаться в темноте так же хорошо, как орки и другие нечисти, которые крадутся по лесу.
str_beorn_rumor_14|Не бродите в одиночку в горах! Волки и медведи обычно держатся подальше от больших групп путешественников, но голод или - как считают некоторые - тень тьмы, может привести их к вам. И тогда они нападут.
str_lorien_rumor_begin|О Лориэн! Близка Зима, безлистный День пустой; И листья падают в поток, уносятся Рекой. 
str_lorien_rumor_2|Не смей говорить дурного о Владычице Галадриэль! В ее душе и на этой земле нет места злу, но если некто принесёт сюда зло вместе с собой - да остережётся он!
str_lorien_rumor_3|Мир полон опасностей, и в нем есть много темных мест; но все еще может измениться, и, хотя повсюду любовь смешана с горем, мы можем надеяться на лучшее. 
str_lorien_rumor_4|Добро и зло не изменилось с прошлых лет; эльфы и гномы остались такими же, но с людьми всё иначе. Таков удел человека - отличать добро от зла, как в Золотом Лесу, так и у себя дома. 
str_lorien_rumor_5|Часто ненависть наносит вред самой себе!
str_lorien_rumor_6|Стародавняя магия защищает Лотлориэн, поэтому рука тьмы не достигла его.
str_lorien_rumor_7|Натло и натал! Вы в безопасности в пределах Золотого Леса. Посто ваэ - сейчас отдыхайте, ешьте и пейте. Если вам придётся уходить, то запечатлите в памяти то, каким был Лотлориэн.
str_lorien_rumor_8|Рано или поздно каждый услышит зов моря. Однажды я тоже услышу крик чаек и оставлю Лаурелиндоренан. И Хартон ан ленд анд.
str_lorien_rumor_9|Ав-'осто - не бойся! Не только серые плащи защищают нас от врага.
str_imladris_rumor_begin|Да пребудет с вами благословление эльфов и людей и всех Свободных Народов.
str_imladris_rumor_2|Да осветят звезды ваши лица!
str_imladris_rumor_3|Тот, кто ломает вещь, чтобы узнать ее сущность, сходит с тропы мудрости.
str_imladris_rumor_4|Мы должны отправиться в путешествие, итог которого неведом. В том наша надежда, если здесь вообще возможна надежда.
str_imladris_rumor_5|Отчаяние только для тех, кто во всех предзнаменованиях видит дурной конец. Мы не такие.
str_imladris_rumor_6|После самой холодной зимы расцветает весна. И после самой длинной ночи наступает рассвет.
str_imladris_rumor_7|Так много воинов собралось, когда я ехал на последнюю войну. Блеск наших мечей был подобен пламени, бушующему в тростнике. И как мало воинов ныне выступает из Имладриса! 
str_imladris_rumor_8|Ава руке! Эльдары взяли в руки оружие еще раз, чтобы встать в строй рядом с аданами на поле брани. Может, в последний раз, кто знает? Мы поем о войне, об огне и конце Ночи.
