qstr_Received_{reg0}_dama|Получено {reg0} урона.
qstr_{s9}_asked_you_to_he|{s9} просил вас помочь защитить {s3} от набега Корсаров. Поспешите в город, поговорите с мастером гильдии и окажите помощь местному гарнизону.
qstr_{s9}_asked_you_to_hel|{s9} просил тебя помочь защитить Эсгарот от морского вторжения, которое совершил рун. Поспешите в Озерный город, поговорите с мастером гильдии и окажите помощь местному гарнизону.
qstr_{s9}_offered_you_an_|{s9} предложил вам присоединиться к военно-морскому рейду против {s3}. Проберитесь в {s4}, поговорите с командиром лагеря и присоединяйтесь к штурму.
qstr_{s9}_offered_you_an_o|{s9} предложил вам присоединиться к морскому рейду против Эсгарота. Проберитесь в {s4}, поговорите с командиром лагеря и присоединяйтесь к штурму.
qstr_We_will_go_as_swiftl|Мы пойдем так быстро, как только сможем, и будем молиться, чтобы не опоздать.
qstr_We_shall_plunder_the|Мы разграбим их порт и захватим их богатства для себя!
qstr_We_shall_plunder_the_|Мы разграбим Озерный город и захватим их богатства для себя!
qstr_I_m_sorry_but_we_can|Мне очень жаль, но сейчас мы не можем им помочь.
qstr_Bah!_Far_more_glory_|Ба! Куда больше славы можно завоевать в другом месте, чем с помощью ничтожного пиратства.
qstr_This_raid_does_not_i|Этот рейд меня не интересует. Я завоюю славу в другом месте.
qstr_{s9}_asked_you_to_de|{s9} попросил вас уничтожить лагерь разведчиков рядом с {s1}.
qstr_Your_party_must_be_at|Ваша партия должна быть не менее 10 сильных, чтобы начать этот квест
qstr_{s9}_asked_you_to_def|{s9} попросил вас защитить деревню, подвергшуюся нападению рядом с {s1}.
qstr_{s9}_asked_you_to_ra|{s9} попросил вас совершить набег на деревню рядом с {s1}.
qstr_These_soldiers_may_w|Эти воины могут приятно повлиять на мои планы, {playername}. Я уверен, что ты хорошо их натренировал{/а}. Выражаю тебе свои благодарность и восхищение.
qstr_I_wish_you_had_train|Желаю, чтобы ты их всех обучил, {playername}. Но в эти не легкие времена я приму все, что вы сможете предложить.
qstr_Good_work_in_shaping|Ты хорошо вышколил{/а} этих новобранцев, {playername}, ты очень полез{ен/на}. Надеюсь, они проживут дольше, чем последняя партия новобранцев. Если нет - приходи ко мне снова.
qstr_Is_that_all_you_coul|Это все, на что ты способен, {playername}? Вряд ли они заменят вчерашние потери. Давай их сюда!
qstr_Well_the_soldiers_ar|Что ж, воины переданы под вашу руку, господин. Я уверен, вы о них позаботитесь.
qstr_Well_you_may_do_as_y|Что ж, вы можете делать так, как посчитаете нужным. Мои соратники и я всегда можем действовать жёстко, когда это нужно.
qstr_{s9}_asked_you_to_br|{s9} просит вас поймать дикого тролля для нужд своей армии.
qstr_{s9}_asked_you_to_fi|{s9} попросил вас разузнать, что творится в лесу Фангорн, и вернуться с вестями.
qstr_{s9}_asked_you_to_fin|{s9} просит вас найти потерянные копья, которые гномы когда-то сделали для короля Бладортина. Вы должны попросить разрешения на поиск копий в глубинах Одинокой Горы.
qstr_{s9}_has_asked_you_t|{s9} просит вас убить колдуна из Дол-Гулдура в Темнолесье.
qstr_{s9}_asked_you_to_ta|{s9} просит вас доставить сообщение полководцу {s13}. По слухам, {s13} находился в поселении {s4}, когда вы получили это задание.
qstr_{s9}_asked_you_to_tak|{s9} просит вас доставить сообщение полководцу {s13} из державы {s15}. По слухам, {s13} находился в поселении {s4}, когда вы получили это задание.
qstr_{s11}_asked_you_to_e|{s11} просит вас сопроводить гонца в {s14}.
qstr_Lend_your_experience|{s1} одолжил вашего опытного лекаря по имени {s3}.
qstr_No_commander_should_|Ни один полководец не признает такого, {playername}, но я проводил смотр своих воинов на днях и нашёл таких, которые не знают, с какого конца за меч браться. Им нужен кто-то, кто объяснит им, что к чему. Ты известн{ый/ая} воитель{/ница}, {playername}. Не натренируешь ли мне несколько бойцов? Я был бы очень тебе признателен.
qstr_No_commander_should_h|Ни один полководец не признает такого, {playername}, но я проводил смотр своих воинов на днях - и в итоге казнил нескольких как непригодных к бою. Им нужен кто-то со стальными кулаками, кто смог бы вбить в них отвагу или прикончить, если ничего не выйдет. Ты известн{ый/ая} воитель{/ница}, {playername}. Не натренируешь ли мне несколько бойцов? Это и тебе принесёт выгоду.
qstr_{s9}_asked_you_to_rai|{s9} просит вас натренировать {reg1} {s14} и привести их.
qstr_{s9}_asked_you_to_hu|{s9} просит вас наказать беглого преступника по имени {s4}. По слухам, он бежал в {s3}.
qstr_{s9}_asked_you_to_defe|{s9} попросил вас защитить 3 группы беженцев на их пути к {s3}.
qstr_{s9}_asked_you_to_hun|{s9} попросил вас выследить 3 группы беженцев на их пути к {s3}.
qstr_{s9}_asked_you_to_ca|{s9} просит вас поймать три группы беглых рабов и вернуть их обратно в {s4}, живыми и относительно здоровыми. По словам полководца, все рабы направляются в {s3}.
qstr_{s11}_asked_you_to_f|{s11} просит вас проследить за соглядатаем, который вот-вот покинет {s12}. Будьте осторожны и не попадайтесь шпиону на глаза, иначе он может заподозрить слежку и повернуть назад. Когда соглядатай встретится со своим сообщником, вы поймаете их обоих и приведёте их к {s11}.
qstr_{s11}_asked_you_to_c|{s11} просит вас взять в плен вражеского полководца и доставить его к {s11} на допрос.
qstr_{s9}_asked_you_to_le|{s9} просит оставить в своём распоряжении вашего соратника по имени {s3} на неделю.
qstr_{s9}_has_requested_y|{s9} просит вас привести {reg1} пленных врагов.
qstr_We_have_reports_that|По нашим данным, несколько наших дозорных отрядов попали в засаду и были уничтожены. Кое-кто из воинов выжил и попал в плен к врагу. Боевой дух моих войск сильно пострадал от этого события, так как пленники наверняка будут казнены, брошены в темницу или того хуже. Я хочу, чтобы ты спас{/ла} {reg1} пленников - это поднимет боевой дух наших войск.
qstr_We_have_reports_that_|Прошёл слух, что несколько наших дозорных отрядов попали в засаду и были уничтожены. Какие-то трусы всё-таки выжили и попали в плен к врагам. Заменить их пока некем, так что не хотелось бы, чтобы они зазря сдохли в каком-нибудь подземелье. Я хочу, чтобы ты спас{/ла} {reg1} пленников и заставил{/а} их снова сражаться на нашей стороне.
qstr_{s9}_has_asked_you_to|{s9} просит вас спасти {reg1} пленников.
qstr_We_have_reports_that_a|Есть сведения, что враг стягивает войска в {s13}. Меня это очень заботит, так как я не знаю, сколько воинов у противника и смогу ли я выйти против него в поле. Я хочу, чтобы ты поехал{/а} в {s13}, осмотрел{/а} там всю округу и выведал{/а} столько, сколько сможешь.
qstr_My_spies_tell_me_of_|Соглядатаи сообщают о большом войске, которое идёт на сбор в {s13}. Этим слабакам никогда не справиться с нами и нашими слугами, но узнать, сколько их там, не повредило бы. Я хочу, чтобы ты поехал{/а} в {s13}, осмотрел{/а} там всю округу и выведал{/а} столько, сколько сможешь.
qstr_{s9}_asked_you_to_sco|{s9} просит разведать окрестности поселения {s13}.
qstr_We_have_reports_of_s|У нас есть сообщения об активности противника вблизи {s13}. Наши разведчики пока не смогли подобраться достаточно близко и выведать всё о перемещениях врага. Я хочу, чтобы вы собрали разведывательный отряд, подошли достаточно близко к {s13} и отправили разведчиков. Я также дам вам несколько новобранцев, но вы не должны посылать их одних.
qstr_My_spies_tell_me_the|Мои шпионы говорят мне, что враг что-то замышляет в {s13}. Наши трусливые разведчики пока не смогли подобраться достаточно близко и сказать нам что-нибудь важное. Я хочу, чтобы вы набрали свою разведывательную группу, подошли достаточно близко к {s13} и отправили войнов на разведку. И убедитесь, чтобы они не повернули обратно и не сбежали! Я отдам Вам этих новобранцев, они не должны погибнуть.
qstr_{s9}_asked_you_to_di|{s9} приказал вам отправить отряд разведчиков к {s13}.^Натренируйте {reg1} бойцов {s15}, из которых, хотя бы один {s14}, подберитесь поближе к {s13} и поговорите с {s14}.
qstr_We_need_to_take_the_|Мы должны перенести театр войны на земли врага, {playername}. Это можно сделать, уничтожая вражеские патрули и нарушая сообщение между войсками противника. Я хочу, чтобы ты уничтожил{/а} {reg1} отрядов, известных как "{s13}". Это поможет нам перехватить инициативу.
qstr_We_need_to_grind_dow|Мы должны стереть в порошок наших жалких врагов, {playername}. Их патрули и обозы стали вести себя слишком нагло, как мне кажется. Я хочу, чтобы ты уничтожил{/а} {reg1} отрядов, известных как "{s13}". Так ты преподашь противнику хороший урок.
qstr_{s9}_asked_you_to_el|{s9} хочет чтобы вы уничтожили {reg1} отрядов типа "{s13}".
qstr_{s9}_asked_you_to_fr|{s9} просит вас избавить {s13} от свирепствующего в округе тролля.
qstr_{reg1}_{s16}_joined_|{reg1} {s16} присоединился к Вашему отряду.
qstr_Wait_{playername}._I|Постой, {playername}. Я не говорю подобного часто, но Вы исключительно надёжный слуга.
qstr_Halt_{playername}._I|Стой, {playername}. Когда-то я думал, что ты чуть лучше снаги, но ты показываешь себя полезным слугой.
qstr_Take_these_warriors_|Возьми этих воинов, чтобы твоя орда продолжала служить мне.
qstr_One_last_thing_{play|И напоследок, {playername}. В землях, полных предательствами и соперничеством, Вы всегда были надёжным товарищем.
qstr_Wait_{playername}._W|Постой, {playername}. Когда мы впервые встретились, я увидел в Вас соперника, но сейчас я понимаю свою ошибку.
qstr_Take_these_warriors_a|Возьми этих воинов, и используй их чтобы сразить наших врагов.
qstr_Before_you_leave_{pl|Перед тем как ты уйдёшь, {playername}, знай, что ты всегда был для меня настоящим другом.
qstr_Wait_{playername}._I_|Постой, {playername}. Я не знаю тебя и наполовину так, как хотел бы, но ты всегда был для меня хорошим другом.
qstr_Allow_me_to_repay_yo|Позволь мне отплатить тебе несколькими моими воинами.
qstr_Wait_{playername}._C|Постой, {playername}. Надёжные слуги как ты и твои воины заслуживают лучшего снаряжения.
qstr_Halt_{playername}._It|Стой, {playername}. Стыдно видеть моих слуг в столь ужасной экипировке.
qstr_Take_this_{s22}_and_|Возьми {s22} и дай ему поддержать твою ярость.
qstr_Before_you_go_{playe|Прежде чем ты уйдёшь, {playername}. Великие воины вроде тебя и твоих спутников заслуживают исключительно на лучшую экипировку.
qstr_Wait_{playername}._Y|Постой, {playername}. Ваша армия храбро сражалась, но думаю, что Вам пригодится более могущественная экипировка. 
qstr_Take_this_{s22}._I_h|Возьми это {s22}. Мне это не нужно.
qstr_Just_a_moment_{playe|Момент, {playername}. Герои вроде Вас и ваших товарищей заслуживают лучших клинок, доспехов, и лошадей.
qstr_Wait_{playername}._Yo|Постойте, {playername}. Вы показали себя способным командиром в военной науке. Думаю настало время Вам надеть более подходящую экипировку.
qstr_Accept_this_{s22}_ma|Примите {s22}, и пусть оно поможет Вам и Вашим воинам.
qstr_the_Dwarves_so_that_|гномьих денег, так что, если окажетесь в Эреборе или Железных холмах, то сможете получить оружие из их прославленных кузней
qstr_Gondor_so_that_if_yo|гондорских денег, так что, если окажетесь там, сможете приобрести какой-нибудь прославленный доспех
qstr_Rohan_so_that_if_you|роханских денег, так что, если окажетесь там, сможете купить их знаменитых лошадей
qstr_Dale_so_that_if_you_|дейлских денег, так что, если окажетесь там, сможете купить их прославленные луки
qstr_Without_my_help_you_|Без моей помощи вы бы все лежали мертвые и сожженные!Я пришел, чтобы ответить на зов Сарумана, Изенгарда. Переходите мне дорогу на свой страх и риск!
qstr_Without_my_help_you_w|Без моей помощи вы бы все лежали мертвые и сожженные!Я пришел, чтобы ответить на зов Владыки Мордора, который скоро станет Владыкой всего мира.
qstr__*snort*_There_is_on|есть только один повелитель всего мира, подонок. Рано или поздно ты ответишь перед Лугбурцем, слабак!
qstr_*snort*_Another_one_|* фыркай* еще один для мясного щита, чтобы съесть стрелы! Проваливай, слабак. У нас нет использование для вас.
qstr_Go_to_Moria_and_get_|Поезжай в Морию и найди себе хорошую работу - или какую-нибудь свою корягу, если хочешь!
qstr_Go_to_Isengard_and_g|Отправляйся в Изенгард и возьми что - нибудь для себя-может быть, кто-нибудь из сражающихся Урук-хай последует за тобой!
qstr_Go_up_north_to_Gunda|Поезжай на север, в Гундабад-они тупые и уродливые, но у них хорошие меха.
qstr_Get_some_snagas_of_y|Найди себе какую-нибудь корягу, как вот эти парни, которые следуют за мной. Может быть, у тебя скоро будет свой собственный военный отряд!
qstr_Our_friends_and_alli|Наши друзья и союзники услышат о вас, не сомневайтесь! Может быть, они захотят дать тебе новую лошадь или новый клинок. Ни у кого нет времени на слабых, но если ты сильный, ха, мы помогаем тем, кто помогает нам, понимаешь? Обменяй эти таблетки на хорошего коня, может быть, с теми людьми из руна - для чтения или еды, на твой выбор, трудно!
qstr_Trade_some_of_those_|Обменяй эти таблетки на хорошего коня, может быть, с теми людьми из руна - для чтения или еды, на твой выбор, трудно!
qstr_That_is_not_a_smart_|Не самое умное, что можно сказать, глядя в лицо рунийскому воину... В следующий раз я убью тебя.
qstr_They_will_all_know_m|Они узнают моё имя... Они узнают его, чтобы испытать страх
qstr_Suilad_mellon!_It_is|Суилад, мэллон! Нечасто мы встречаем жителей скрытой долины в наших землях. Мы благодарим звёзды, за то что они осветили твой путь сюда, на помощь нам; мы благодарим и тебя также - ле ханнон!
qstr_Suilad_mellon!_It_is_|Суилад, мэллон! Редко можно встретить лесных людей, идущих нам на помощь - ле ханнон!
qstr_Suilad_mellon!_That_|Суилад, мэллон! Это значит - спасибо, друг!^^ Сначала я не был уверен, не гоблинская ли это сабля или разъяренный медведь пришёл нам на погибель. Алас, звёзды привели тебя к нам на помощь. 
qstr_Alas_it_is_not_a_ple|Алас, вовсе не какая-то приятная цель или просто бродяжничество привели меня и других служащих владыке Эльронду в эти земли...
qstr_You_wouldn_t_have_ne|Вам бы не понадобилась наша помощь, если бы вы держали свои границы закрытыми!
qstr__*growl*_I_know_your|*рычит* я знаю ваш язык достаточно хорошо, эльф, чтобы понять издеваетесь вы или благодарите...
qstr_Istan_quete_ya_merin|Истан куайт я мерин, ар ла хануватьен. Глубоки планы моего господина, не всем должно их видеть и понимать.
qstr_Alae!_Our_green_wood|Ала! Наши зелёные леса бдительно патрулируются, наши толстые врата стоят крепко, охраняя залы короля Трандуиля. Было бы мудро следовать нашему примеру.
qstr__say_nothing_|(ничего не говорить)
qstr_Alas_it_is_not_a_plea|Алас, вовсе не какая-то приятная цель или просто бродяжничество привели меня и других служащих владыке Эльронду в эти земли.^^Древнее зло сохранилось в тёмных укрывищах и сейчас оно выползает на свет. Мудрые через горы ответили на призыв, и владыки Имладриса выступили, чтобы сражаться за север.
qstr_You_wouldn_t_have_nee|Вам бы не понадобилась наша помощь, если бы вы держали свои границы закрытыми!^^Россказни о лесной ведьме пугают только дураков, но не орочью погань, которую мы только что истребили.
qstr_*growl*_I_know_your_|*рычит* я знаю ваш язык достаточно хорошо, эльф, чтобы понять издеваетесь вы или благодарите.^^Звёзды не причём здесь - я почуял{/а} эту мерзость и пош{ёл/ла} по следу. И убил{/а} бы их, неважно в опасности вы были или нет. 
qstr_Keep_your_secrets_th|Что ж, храните свои секреты, друзья, но Золотые Леса шепчут о прибытии ваших сородичей.^^Мы расскажем Владычице Галадриэль о прибытии Владыки Эльронда, хотя, я подозреваю, что ей это итак уже известно. Нашему народу мы расскажем и о тебе.^^Ле маэтор велег а горнуи! Твою доблесть и деяния будут помнить, когда бы ты не посетил{/а} Долину поющего золота.
qstr_We_walk_under_the_su|Мы ходим под солнцем и звездами, жить в пещерах-это не наше желание. Тем не менее, ваш несомненно благонамеренный совет хорошо принят. Твоя мудрость и смелые поступки будут известны, твои нужды будут удовлетворены всякий раз, когда ты забредешь в наши владения.
qstr_*he_sighs_and_smiles|*Вздыхает и слегка улыбается* ^^Хорошо. Ради нашей общей цели мы поделиться всем, даже если речи - не слишком большое богатство там, откуда вы прибыли.
qstr_For_some_months_we_h|Несколько месяцев мы наблюдали за орочьей поганью, оскверняющей наши леса. ^^Мы расскажем Владычице Галадриэль о прибытии Владыки Эльронда, хотя, я подозреваю, что ей это итак уже известно. Нашему народу мы расскажем и о тебе. ^^Ле маэтор велег а горнуи! Твою доблесть и деяния будут помнить, когда бы ты не посетил{/а} Долину поющего золота.
qstr_Calm_yourself_friend|Успокойся, друг. Педин и фит ин анирон, а нин у-ченьятог. ^^мы расскажем о тебе. нашему народу. Твою доблесть и деяния будут помнить, когда бы ты не оказал{ся/ась} под согревающими лучами света нашей Золотой долины.
qstr_Stars_sail_through_t|Звёзды плывут по небесным морям, люди идут по земле. В самом деле, возможно ли знать, кто следует за кем? Мы расскажем о тебе своим сородичам. Твои деяния будут увековечены, а нужды удовлетворены, когда ты последуешь за звездой в Золотую долину.  
qstr__RESOURCE_POINT_TUTO|(ИНФОРМАЦИЯ ПО ОЧКАМ СНАБЖЕНИЯ)^^ Очки снабжения, за которые вы можете совершать покупки в Лориэне, не являются теми очками снабжения, которые вы заработали в вашем государстве; очки снабжения Лориэна можно заработать лишь в Лориэне. ^^Смотрите меню ОТЧЁТЫ.
qstr__RESOURCE_POINT_TUTOR|(ИНФОРМАЦИЯ ПО ОЧКАМ СНАБЖЕНИЯ)^^ Очки снабжения, за которые вы можете совершать покупки у народа Беорна, не являются теми очками снабжения, которые вы заработали в Лотлориэне; очки снабжения государства народа Беорна можно заработать лишь у беорнингов. ^^Смотрите меню ОТЧЁТЫ.
qstr_I_have_long_wished_t|Я давно мечтал{/а} побывать у лесного народа...
qstr_What_form_shall_the_|Какую форму должна принять милость Лориэна...
qstr_Our_bees_make_honey_|Наши пчёлы дают мёд и воск, наши стада - молоко, масло и сыр...
qstr_I_have_long_wished_to|Я давно мечтал{/а} посетить лесной народ, попробовать ваш лембас и послушать ваши песни! ^^Мы принесли золотистые вина, пыльные фолианты и гордые древние знамёна, чтобы напомнить песнях нашей долины, но мне любопытно, какие чудеса можно найти в Лаурелиндоренан.
qstr_What_form_shall_the_f|Какую форму должна принять милость Лориэна? ^^Золото, которое превращается в листья с приходом утра? Совершенно безвкусный напиток  пыльный сказочный хлеб для моих войск? ^^Кроваво-красное вино, свежая оленина, оружейные, наполненные острыми копьями и стрелами! Вот гостеприимство, которое я предпочитаю.
qstr_Our_bees_make_honey_a|Наши пчёлы дают мёд и воск, наши стада - молоко, масло и сыр.^^Хлеб мы делаем сами, острый топор я могу купить у гномов, которые проходят здесь.^^Что ещё мне нужно, кроме пары крепких рук?
qstr_If_fate_wills_it_I_s|Если судьбе угодно, я вновь пройду по вашим землям и узнаю все ваши тайны.
qstr_If_I_ever_have_need_|Если мне когда-либо потребуется помощь, которую может предложить Лориэн, я приду за ней. Чего бы это не стоило.
qstr__nod_and_say_nothing|(кивнуть и ничего не говорить)
qstr_Oh_there_are_many_an|О, их много, и любой друг Лориен может получить эти подарки! Если мы снова встанем плечом к плечу на поле битвы, или ты выполнишь приказ нашей Госпожи и ее лордов, наш народ вознаградит твою доброту всем, что тебе потребуется - блестящим оружием, крепкими Кольчугами, стрелами с белым оперением и провизией для твоих войск. Кто знает, может быть, со временем ты сам станешь великим {лордом / леди} Лориена, тем, кто сможет давать советы другим или просить их об одолжении.
qstr_The_joys_of_the_Gold|Блаженна Золотая долина, и мы приветствуем здесь любого верного друга Лориэна. ^^Будем ли мы стоять снова плечом к плечу на поле битвы, или ты приглаш{ён/ена} нашей Владычицей, наш народ вознаградит твою доброту тем, что ценно в твоём мире - блистающим оружием, тяжёлыми доспехами, белооперёнными стрелами и провизией для твоих войск. ^^Кто знает, со временем ты сам{/а} можешь стать велик{им/ой} влады{кой/чицей} Лориэна, т{ем/ой}, кто может быть советником для остальных или просить их милости.
qstr_Our_Golden_Valley_gi|Наша золотая долина изобильна, и любой друг Лориэна приветствуется здесь. ^^Будем ли мы стоять снова плечом к плечу на поле битвы, или ты желаешь оказать помощь замыслам нашей Владычицей, наш народ вознаградит тебя всем, что тебе требуется вдали от дома.
qstr_I_shall_keep_that_in|Я буду иметь это в виду. ^^Хантаниэль, ава мариё!
qstr_That_may_be_so_some_|Это возможно, многие пути мира ныне искривлены.^^ Боэ и 'ваэн!
qstr_I_seldom_wander_far_|Я редко забредаю так далеко от дома. Уходи как можно скорее. Здесь ещё могут рыскать гоблины неподалёку.
qstr_Who_are_you?_A_mere_|- А ты кто такой? Всего лишь {s25}? У меня нет времени на таких, как ты! Оставь меня в покое! {s2}
qstr_What_do_you_want?|Что вы хотите?
qstr_Greetings_{playernam|Приветствую вас, {playername}. Что я могу для вас сделать?
qstr_What?_You_come_to_me|Что? Вы пришли ко мне и не знаете, что я делаю? Посмотри вокруг себя.^^ Видишь ли ты кровь? Ты слышишь этот плач? Чувствуете ли вы их боль? Вот что я делаю! Я ломаю вещи, чтобы снова сделать их лучше! Если ты придешь ко мне сломленный и страдающий, я смогу сделать тебя лучше!
qstr_I_am_a_healer._Come_|Я-целитель. Приходите ко мне, когда вы или ваши товарищи серьезно ранены, и я сделаю все, что в моих силах, чтобы залечить ваши раны.
qstr__Costs_500_Resource_|(Затраты 500 Ресурс, 5 Влияние)
qstr_Ha!_I_can_see_that!_|Ха! Я же вижу это! Да, я могу это сделать.. Кроме твоей крови, это не бесплатно! {s2}
qstr_Yes_I_see_that._We_c|Да, я вижу это. Да, мы можем помочь вам, но мне нужно будет послать за некоторыми ингредиентами. {s2}
qstr__Costs_1000_Resource_|(Стоимость 1000 Ресурсов, 10 Влияние)
qstr_I_ll_have_my_worms_d|Я попрошу своих червей разобраться с тобой. Они не самые лучшие, но иногда им удается выполнить свою работу. Скажи мне, когда они тебе понадобятся. {s2}
qstr_I_ll_have_my_assista|Я попрошу своих помощников позаботиться о ваших людях. Они все еще учатся, поэтому, пожалуйста, потерпите их. Дай мне знать, когда они тебе понадобятся. {s2}
qstr_Alright!_Worms!_Get_|Ну ладно! Черви! Приди в себя и разберись с этим!
qstr_Let_us_begin._My_ass|Давайте начнем. Мои помощники позаботятся о тебе и твоих людях.
qstr_All_done!_Ha!_You_di|Все готово! Ха! Ты не так уж много кричал, впечатляет! А теперь иди, оставь меня в покое.
qstr_We_ve_done_what_We_c|Мы сделали всё, что могли. Теперь вы и ваши люди нуждаетесь в отдыхе.
qstr_Boss_the_lads_are_hu|Босс, ребята проголодались! Мы делаем всю тяжелую работу и все равно умираем с голоду!
qstr_Master_the_lads_are_|Хозяин, ребята проголодались! Мы же не можем воевать на пустой желудок!
qstr_Yes!_With_proper_fed|Да! С правильно накормленными животами мы будем служить вам в два раза лучше!
qstr_As_you_command_maste|Как прикажете, мастер, хе-хе. Мясо снова в меню, ребята!
qstr_Your_Orcs_&_Uruks_at|Ваши орки и уруки-это люди {reg1}!
qstr_Yes_master!_As_you_c|Да, мастер! Как прикажете, мастер!
qstr_Harr_harr_harr!_You_|Харр-Харр-Харр! Ты меня не пугаешь! В следующий раз мы будем есть только тебя!
qstr_One_{s6}_left_the_pa|Один {s6} покинул вечеринку.
qstr_I_understand._I_will|Я понимаю. Я останусь с тобой. Какое-то время.
qstr_I_have_played_my_rol|Я играл свою роль в течение многих долгих лет, в течение многих жизней смертных людей. Эта война предназначена для борьбы человечества. Я уеду на Запад, и некоторые, возможно, решат последовать за мной.
qstr_{reg1}_Veteran_Elves|{reg1} ветераны эльфов решили покинуть ваш отряд.
qstr_What_an_amazing_feat|Какая поразительная ловкость рук!
qstr_Well_done!|Хорошо сделано!
qstr_Nice_legwork.|Отличная работа ног.
qstr_Heh.|Хех.
qstr_Good_moves_but_you_m|Хорошо двигаешься, но тебе ещё работать и работать над собой.
qstr_More_than_half_of_th|Больше половины противников, неплохо.
qstr_You_ll_need_to_try_h|В следующий раз тебе нужно получше стараться.
qstr_Well..._better_here_|Ну... Тяжело в учении - легко в бою, да?
qstr_We_ve_been_sent_by_{|Нас прислал {s3}. Мы пришли, чтобы объединить наши силы с вашими.
qstr_{s3}_has_sent_us_to_|{s3} послал нас присоединиться к флоту, атакующему {s4}.
qstr_Excellent_{playernam|Отлично, {playername}! Я слышал, что вы дали им больше, чем я просил. Это отличная работа.^^ Примите это как дополнительную награду за превышение наших ожиданий. ^^ Нам нужно как можно скорее выиграть эту войну.
qstr_Excellent_{playername|Отлично, {playername}. Это наверняка им поможет. Нам нужно как можно скорее выиграть эту войну.
qstr_Reinforcing_{s1}_has|Укрепление {s1} усилило {s2}. ({s2} набрал {reg50} сил фракции).
qstr_The_watchmen_in_the_|Дозорные в городе сообщили о заметном уменьшении числа засад. Вы хорошо выполнили свою работу. Спасибо, {playername}.
qstr_Our_guards_have_seen|Наши охранники видели, как паразиты убегали, поджав хвосты. Вы хорошо показали этим вредителям, что мы контролируем эту область.
qstr_It_was_nothing._I_wi|Но это ничего не значило. Я буду следить, если они снова появятся.
qstr_Slaying_these_maggot|Убивать этих личинок было сущим пустяком. Я буду следить за ними, если они снова осмелеют.
qstr_town|город
qstr_village|деревню
qstr_The_{s9}_of_{s13}_ha|{s9} поселения {s13} попросил вас уничтожить опасную банду гоблинов в окрестностях города.
qstr_{s9}_of_{s3}_asked_y|{s9} поселения {s3} попросил вас привезти {s6}, {reg5} бочонков, в {s4} (местному голове или управителю) в течение {reg6} дней.
qstr_The_{s9}_of_{s4}_ask|{s9} из {s4} просил вас укрепить {s3} как минимум {reg5} солдатами в течение {reg6} дней. Поговорите с начальником казарм {s3}. Качество солдат не имеет значения.
qstr_You_have_reinforced_{|Вы усилили {s3} с 0 войсками.
qstr_Thank_you_for_offeri|Спасибо за предложение помощи, {playername}.^^Караваны, идущие в город и из города, неоднократно подвергались нападениям со стороны {s6}. С каждой засадой они становятся все смелее, все ближе и ближе подходят к городу.
qstr_Good_of_you_to_ask_{|Хорошо, что вы спросили, {playername}.^^{s6} ходят по нашей территории, думая, что они главные. Никто ничего не делает с ними, поэтому они становятся смелее и берут то, что по праву принадлежит нам.
qstr_The_people_have_aske|Люди обратились за помощью в убийстве по крайней мере {reg22} {s6}, в надежде, что это удержит их на некоторое время.^^Сможете ли вы это сделать?
qstr_I_want_you_to_slay_a|Я хочу, чтобы ты убил хотя бы {reg22} {s6}, чтобы показать этим слабакам их место.^^Сможешь ли ты это сделать?
qstr_We_will_get_rid_of_t|Мы избавимся от этих вредителей.
qstr_{s9}_wants_you_to_sl|{s9} хочет, чтобы ты убил {reg22} {s6} в бою.
qstr_The_{s9}_of_{s3}_ask|{s9} поселения {s3} попросил вас привезти ему {reg5} порций провизии в течение {reg6} дней.
qstr_The_{s9}_of_{s3}_aske|{s9} поселения {s3} попросил вас привезти ему {s6}, {reg5} мешков, в течение {reg0} дней.
qstr_Escort_the_supply_tr|Сопроводите обоз в {s8}.
qstr_The_{s9}_of_{s4}_aske|{s9} поселения {s4} попросил вас покончить с несколькими бандами диких орков в окрестностях города.
qstr_The_{s9}_of_{s14}_ha|{s9} поселения {s14} попросил вас покончить с шайкой бандитов, досаждающих {s14}, которые разгуливают ночью по улицам и нападают на прохожих.
qstr_refugees|беженцев
qstr_slaves|рабов
qstr_{s1}_Refugees|{s1} Беженцы
qstr_{s1}_Slaves|{s1} Рабы
qstr_The_{s11}_of_{s10}_a|{s11} поселения {s10} попросил вас сопроводить {s12} в {s13}.
qstr__Guards_slaughter_hi| Стража, забейте его на мясо!
qstr_Slaughter_him_for_fr|Нам нужна свежая человечинка! Зарежьте его!
qstr_This_is_{s5}_Command|Это {s5}, господин.
qstr_{s6}_This_place_and_|{s6} Этим поселением и его окрестностями владеет {s7} из державы {s8}.
qstr_Hey_scum!_I_can_fix_|Слышь, мразь! Я тебе щас челюсть на место вправлю!
qstr_Watch_where_you_re_g|Гляди, куда прёшь, тварь!
qstr_I_don_t_like_your_fa|Не нравится мне твоя рожа! Кажись, нужно её маленько подправить!
qstr_What_are_you_looking|Ты куда это пялишься? Слышь, чё?
qstr_the_white_hand|белая длань 
qstr_the_lidless_eye|багровое око 
