
str_yes|Si.
str_rhun_rumor_begin|Cavalca veloce come il vento sulla steppa !
str_rhun_rumor_2|I Nani sono avidi e infami. Gli uomini di Dale li aiutano nelle loro azioni deprecabili e ci ingannano.
str_rhun_rumor_3|Tre maghi giunsero nelle nostre terre tempo fa. Mi chiedo cosa stiano facendo.
str_rhun_rumor_4|Le nostre terre sono vaste e scarsamente popolate. Ma sappiamo come sopravvivere qui.
str_rhun_rumor_5|Commerciavamo vino ed erba-pipa di questa terra fertile con gli Efli e i Nani, ma loro imbrogliano e mentono !
str_rhun_rumor_6|I nostri cugini di Khand preferiscono combattere a terra, ma noi sappiamo che stare sopra a un cavallo è meglio.
str_rhun_rumor_7|Abbiamo sconfitto le legioni di Gondor in passato, lo faremo ancora !
str_rhun_rumor_8|Combatteremo fino alla morte ! Nessuna ritirata, non gireremo la schiena scappando ! Non un passo indietro !
str_rhun_rumor_9|Un'alba rossa è sorta a est. Un crepuscolo rosso attende a ovest !
str_rhun_rumor_10|Donne Elfo ? Nah, troppo gracili !
str_rhun_rumor_11|Ognuno dei miei figli mi ha già portato la testa di un nemico. Mia figlia invece i testicoli. Ha ha ha !
str_rhun_rumor_12|Gli orchi sono bestie immonde senza abiiltà né coraggio. Non hanno posto sul campo di battaglia.
str_rhun_rumor_13|Qual'è il meglio nella vita ? Schiacciare i nemici, inseguirli mentre fuggono e ascoltare i lamenti delle femmine.
str_dunland_rumor_begin|Non riposeremo finchè non avremo vendetta e le teste di paglia saranno in ginocchio !
str_dunland_rumor_2|I bastardi dei Rohirim sono gentili con i loro cavalli la notte ! Ha ha ha !
str_dunland_rumor_3|I Lupi della Notte possono vedere nell'oscurità. Financo la notte, le loro aste da lancio non mancano mai il bersaglio.
str_dunland_rumor_4|Morte ai Forgoil ! Morte ai Testadipaglia ! Morte ai ladri del Nord !
str_dunland_rumor_5|Adesso la chiamano Rohan, ma era la nostra terra ancestrale ! Noi vendicheremo i nostri Antenati e cacceremo quegli sporchi ladri di terre !
str_dunland_rumor_6|Non lasciare che Forgoil ti prenda, o ti tortureranno e ti bruceranno vivo !
str_dunland_rumor_7|Noi siamo la sete di sangue del lupo e la forza dell'orso !
str_dunland_rumor_8|Forgoil pensa che siamo dei selvaggi e degli stupidi, vediamo cosa pensano dopo che i loro uomini a cavallo avranno incontrato i nostri picchieri.
str_dunland_rumor_9|I corvi di Isengard caveranno gli occhi alle teste di paglia, i lupi del Dunland morderanno le loro gole.
str_dunland_rumor_10|Ho catturato e ucciso un lupo a mani nude. Spezzerò il collo di un uomo-cavallo come un ramoscello ! Grrr !
str_dunland_rumor_11|Il nostro capo ha trovato una vecchia spada di bronzo in un tumulo. L'ha presa e l'ha gettata nella palude. Gli spiriti delle colline saranno dalla nostra parte, di certo. Così si è sempre fatto.
str_dunland_rumor_12|I miei antenati hanno combattuto con Freca e poi con Wulf contro Forgoil, il sanguinario. Ricordiamo il loro coraggio.
str_beorn_rumor_begin|Le foreste sono vaste e abitate da ogni sorta di creatura.
str_beorn_rumor_2|Le api selvatiche producono il miele migliore !
str_beorn_rumor_3|Gli Elfi dei boschi sono sfuggenti, ma gentili. I Nani delle montagne sono chiassosi e allegri. Gli uomini di Dale sono grandi lavoratori.
str_beorn_rumor_4|Potresti incontrate strane bestie, attraversando i nostri territori.
str_beorn_rumor_5|Dormo tutta la notte e lavoro tutto il giorno !
str_beorn_rumor_6|Il male si insinua dalle cime delle montagne.
str_beorn_rumor_7|La grande foresta non è più come un tempo !
str_beorn_rumor_8|La forza dell'ascia non si trova nella lama, ma nell'impugnatura.
str_beorn_rumor_9|Abbiamo dormito durante lo scorso inverno. Cosa ? Si, hai bisogno di mangiare molto in autunno per superare un inverno come questo.
str_beorn_rumor_10|Gli uomini di Rohan sono nostri parenti, gli orsi sono nel nostro sangue, gli orchi sono la nostra preda !
str_beorn_rumor_11|Mutarci in orsi ? È ovvio che non possiamo. Chi ti ha detto una cosa simile ? Ha ha ha !
str_beorn_rumor_12|Beorn era un grande uomo. No, non un uomo, un gigante !
str_beorn_rumor_13|I migliori e più audaci guerrieri del bosco non temono le ombre della foresta. Essi possono combattere nell'oscurità bene quanto gli orchi e le altre oscenità che si aggirano tra i boschi.
str_beorn_rumor_14|Non andartene in giro da solo per le montagne ! Orsi e lupi stanno alla larga dai grossi gruppi di uomini. Ma la fame, o in alcuni giorni.. l'ombra degli spiriti, può spingerli abbastanza vicino da attaccarti.
str_lorien_rumor_begin|Oh Lórien ! L'inverno sta arrivando, il giorno nudo e privo di foglie.. le foglie cadono nel torrente, il fiume le trascina via.
str_lorien_rumor_2|Non parlare in modo malvagio di Lady Galadriel ! Non c'è in lei e in questa terra alcun male, a meno che un uomo non lo porti con sé. Quindi fa attenzione !
str_lorien_rumor_3|Il mondo è davvero pieno di pericoli, e ci sono molti luoghi oscuri; ma ci anche molte cose virtuose, e seppure in ogni terra il male è mescolato con l'amore, quest'ultimo infine prevale.
str_lorien_rumor_4|Il bene e il male non sono cambiati rispetto al passato; né si tratta di una questione di Elfi, Nani o Uomini. È compito di ognuno discernere fra essi, sia nella Foresta Dorata che nella propria casa.
str_lorien_rumor_5|Spesso l'odio porta a ferirsi !
str_lorien_rumor_6|L'antica magia protegge Lothlórien, così potente che L'Oscurità non osa sfidarla.
str_lorien_rumor_7|Nathlo i nathal ! Sei al sicuro nelle foreste dorate. Posto vae - riposa ora, mangia e bevi. Se dovrai partire, allora porta con te il ricordo di com'era Lorien.
str_lorien_rumor_8|Si dice che il mare chiama ciascuno, presto o tardi. Anche io un giorno potrei sentire il richiamo dei gabbiani, e lascerò Laurelindórenan per sempre. 
str_lorien_rumor_9|Av-'osto - non temere ! Ci sono più cose a proteggerci qui dei nostri mantelli grigi.
str_imladris_rumor_begin|Che la benedizione degli Elfi e degli Uomini e di tutti i popoli liberi ti accompagnino.
str_imladris_rumor_2|Che le stelle possano brillare sui vostri volti !
str_imladris_rumor_3|Chi rompe qualcosa per scoprirne la natura, ha abbandonato la via della saggezza.
str_imladris_rumor_4|Dobbiamo intraprendere un duro percorso, una strada imprevista. Là dobbiamo riporre le nostre speranze, se ancora ne abbiamo.
str_imladris_rumor_5|La disperazione é per quelli che vedono solo la fine oltre ogni dubbio. Questa visione delle cose non ci riguarda.
str_imladris_rumor_6|Anche dopo il più freddo degli inverni i fiori sbocciano. E dopo la notte più lunga, arriva una nuova alba.
str_imladris_rumor_7|In molti si sono riuniti quando li guidai in guerra. La luce scaturita dallo sguainare delle nostre spade è stato come un fuoco in un campo di canne. Adesso in così pochi hanno lasciato Imladris.
str_imladris_rumor_8|Áva rucë ! Gli Eldar hanno preso le armi per combattere il nemico alleandosi con i coraggiosi Edain ancora una volta. Forse per l'ultima volta, chi lo sa ? Noi cantiamo di guerra, di fuoco e della fine della Notte.
str_imladris_rumor_9|Riesco a vedere gli uomini dal sentiero ad Est sotto le insegne del Signore Oscuro come se avessi rivisto i loro antenati. Ondate di cavalieri fanno breccia nel muro di scudi dell'Ultima Alleanza. Se solo la memoria di Edain fosse più lunga della nostra..
str_woodelf_rumor_begin|Un'elfa d'altri tempi, /Una stella splendente nel giorno: /Il suo mantello bianco era ornato d'oro, /Le sue scarpe d'argento.
str_woodelf_rumor_2|Non è mai il tempo per indugiare, ma i cambiamenti e la crescita non sono la stessa cosa in ogni luogo.  Per gli Elfi il mondo ha un suo movimento, e si muove sia molto velocemente che molto lentamente. Cambia, perché essi stessi cambiano un poco, mentre tutto il resto si allontana. Lentamente, perché essi non contano il passare degli anni, non riguardo a se stessi.
str_woodelf_rumor_3|L'oscurita e il male hanno avuto la meglio su queste foreste che erano un tempo bellissime. Fino a che non saranno fermati soffocheranno tutte le speranze, tutte le luci.
str_woodelf_rumor_4|Veloci e agili, silenziosi e precisi, possiamo ancora tenere a bada l'oscurità. Ma per quanto tempo ancora ?
str_woodelf_rumor_5|Shhh, no dhínen ! Potrebbero esserci orchi qui intorno. Dobbiamo stare allerta !
str_woodelf_rumor_6|*ti fissa, chiaramente infastidito dalla tua presenza*
str_woodelf_rumor_7|Oduleg hi am man theled ? Dobbiamo sapere le tue intenzioni. Le spie di Saruman sono dappertutto.
str_woodelf_rumor_8|Gli Edain di Dale costruiscono giochi molto complessi ultimamente ! Hanno imparato molto da Naugrim.
str_woodelf_rumor_9|L'ombra di Dol Guldur si sta espandendo. Le creature oscure sono state avvistate nelle foreste, i nostri avamposti attaccati, i cacciatori scomparsi non sono più stati visti. Il numero delle nostre pattuglie conta solo 35 unità. La nostra paura sta crescendo a dismisura !
str_dale_rumor_begin|Prima c'era il Drago, ora questo...
str_dale_rumor_2|Come se gli orchi provenienti dal nord non bastassero.. Ora le orde  provenienti da est ci sono addosso !
str_dale_rumor_3|Dalla sconfitta del drago, sappiamo come trovare il punto debole del nemico.
str_dale_rumor_4|Gli Easterlings non riusciranno mai a passare noi e i nostri alleati Nani.
str_dale_rumor_5|Hai mai visto il sole sorgere dal Lago Lungo? I colori facevano cantare il mio cuore. Ma adesso tutto ciò che vedo è un'alba rossa. Un cattivo presagio.
str_dale_rumor_6|I nani sono un po' troppo attaccati ai tesori. Ancora non sappiamo cosa pensare di Thorin Scudodiquercia.
str_dale_rumor_7|Gli uomini di Rohan sono nostri cugini e la nostra lingua è molto simile alla loro.
str_dale_rumor_8|Esgaroth ha preso nome dalla parola elfica che significa canna, a causa dei suoi canneti. Lo sapevi ?
str_dale_rumor_9|Il drago era un tipo di mostro che nessuno vuole più vedere.
str_dale_rumor_10|La nostra prosperità deriva dal commercio con i Nani e gli Elfi. Ma è difficile contrattare con i Nani. Il guadagno è scarso con loro.
str_harad_rumor_begin|Il Serpente Nero colpirà veloce e letale
str_harad_rumor_2|Per il Serpente ! Le nostre bestie lanceranno i Gondoriani nella melma.
str_harad_rumor_3|Odum vermajál otí verthaba av daranaja-e-jatánus ! 
str_harad_rumor_4|C'è tanto oro e gemme prezione a Gondor e ancora di più nelle terre più lontane.
str_harad_rumor_5|Cattureremo tanti codardi dell'Occidente e li sacrificheremo al dio Serpente !
str_harad_rumor_6|I Corsari hanno la loro utilità: navigano bene, ma sono litigiosi, all'apparenza disonesti e di comportamento scorretto.
str_harad_rumor_7|Le Pantere di Far Harad cacciano le loro prede col favore della notte. I nostri nemici non le vedranno arrivare.
str_harad_rumor_8|I guerrieri di Khand sono fieri e senza pietà, ma le loro tattiche sono troppo ingenue.
str_harad_rumor_9|Conto di fare un buon bottino nell'Ovest. Ci è stato promesso. Poi potrò tornare a casa a condurre il mio negozio di tappeti in pace.
str_harad_rumor_10|Sta lontano dai Mumakil. Sono bestie malsane che ti schiaccerebbero in un istante.
str_harad_rumor_11|Nell'Harad abbiamo deserti e giungle, montagne e mare. I nostri popoli sono diversi come sono varie le nostre terre e numerosi quanto i granelli di sabbia.
str_harad_rumor_12|Molti cavalieri di Harondor preferiscono le sciabole alle spade con lama diritta. Sono piuttosto valide per abbattere dei contadini che scappano, ma hai bisogno di una picca o di una buona spada per penetrare una spessa armatura.
str_harad_rumor_13|Il mio fratello di sangue si è arruolato con i Karka - è un esploratore adesso. I banditi del Fang conducono una vita pericolosa, ma è una buona esperienza per i giovani dalla testa calda.
str_harad_rumor_14|Non metterti mai contro la Fratellanza del Leone ! La loro reputazione è ben meritata.
str_harad_rumor_15|Vorrei possedere più armi fatte di ferro nero. Molti devono avere ancora a che fare con il bronzo, altri con le mazze di legno e i giavellotti di vetro nero, correndo nudi in battaglia..
str_gunda_rumor_begin|A prendere le terre calde degli uomini, veniamo !
str_gunda_rumor_2|Sharkû ci ha promesso caverne calde.
str_gunda_rumor_3|Ne abbiamo abbastanza di nasconderci fra le fredde montagne ! Ora marceremo nelle calde terre degli uomini.
str_gunda_rumor_4|Abbiamo visto un essere viscido che ci spiava nei tunnel delle nostre montagne, ma non siamo riusciti a prenderlo. È scomparso mentre ci avvicinavamo.
str_gunda_rumor_5|Quelli di Isengard pensano di essere qualcosa di speciale, perché usano le cose degli antichi uomini.
str_gunda_rumor_6|Bruceremo i villaggi degli uomini per tenerci caldi.
str_gunda_rumor_7|Gli omuncoli sentiranno il freddo che gli provocheremo e successivamente il calore. Ha ha ha !
str_gunda_rumor_8|Azog e Bolg hanno quasi sconfitto i nani, gli elfi e i manlings l'ultima volta. Ma i mostri-uccello e gli uomini-orso li hanno salvati. *sputa*
str_gunda_rumor_9|La carne dei Nani è dura e filacciosa. La carne degli Uomini è meglio.
str_gunda_rumor_10|Gli Uomini-Orso vengono dalle foreste e odiano Boldush. Che sfortuna per Boldush ! Ha ha ha !
str_gunda_rumor_11|Alcuni si sono spostati a Moria, c'è molto spazio là. Ma anche Ghâsh nelle profondità. Meglio stare alla larga !
str_moria_rumor_begin|Quando senti i tamburi - corri e nasconditi !
str_moria_rumor_2|Ghâsh è nelle profondità !
str_moria_rumor_3|Boom ! Boom ! Boom ! Tamburi delle profondità..
str_moria_rumor_4|Moria è enorme, ma nessun nano vi si nasconde più.
str_moria_rumor_5|I Nani scavano troppo in profondità. Tanto meglio per noi. Ha ha ha !
str_moria_rumor_6|Molti tunnel dentro Moria. Non andremo in tutti.
str_moria_rumor_7|Alcuni Umani e Nani si sono infiltrati tra le nostre sentinelle dentro le miniere, tempo fa. Abbiamo raddoppiato la sorveglianza.
str_moria_rumor_8|I Nani non metteranno più piede qui ! Mai !
str_moria_rumor_9|Quando avremo abbastanza guerrieri, andremo a bruciare i boschi degli Elfi.
str_moria_rumor_10|Non c'è molto cibo a Moria. Siamo affamati. Dobbiamo catturare Elfi e Uomini !
str_moria_rumor_11|Alcuni sono entrati nella foresta a sud. Nessuno è tornato.
str_umbar_rumor_begin|Tutti i mari apparterranno alle vele nere !
str_umbar_rumor_2|Non ci sono più navi di Gondor da affondare, ora andiamo a predare l'entroterra.
str_umbar_rumor_3|I nostri Predoni della Notte possono combattere nell'oscurità quanto alla piena luce del giorno. Essi conducono i nostri esploratori nell'entroterra.
str_umbar_rumor_4|I Gondoriani non possono navigare ! Hanno gambe buone solo per stare a terra.
str_umbar_rumor_5|Abbiamo già ucciso re di Gondor in passato. Ora non hanno nemmeno un re per noi da uccidere.
str_umbar_rumor_6|I perfidi Gondoriani hanno dato alle fiamme la nostra flotta, anni fa. Ora sarà Gondor a bruciare.
str_umbar_rumor_7|Non c'è mare che possa mettere paura a un Corsaro. Ma abbiamo udito di orribil abomini sulla terra.
str_umbar_rumor_8|Irromperemo su Gondor come un'onda gigantesca, e reclameremo le nostre terre da lungo tempo perdute.
str_umbar_rumor_9|Gli Haradrim non bevono rum. Non lo sai ? Ne prendiamo solo un po' per avere la mano ferma sulla lancia.
str_umbar_rumor_10|Ho visto qualche Variago di Khand in combattimento. Non vorrei trovarmeli davanti in battaglia. È una buona cosa che siano dalla nostra parte.
str_khand_rumor_begin|Un combattimento è un combattimento, non importa quanto sanguinoso sia. Ma la ritirata è la maggiore delle vergogne !
str_khand_rumor_2|Le nostre spade una volta sguainate, devono ricevere del sangue !
str_khand_rumor_3|Il suolo trema sotto la nostra cavalleria pesante, ma i nostri nemici tremano solo a sentir parlare di noi !
str_khand_rumor_4|Questa volta lasceremo i carri dietro di noi, il nostro attacco coglierà i nemici alla sprovvista.
str_khand_rumor_5|Noi siamo i Variaghi di Khand, i guerrieri più fieri di ogni luogo !
str_khand_rumor_6|Anche i Guerrieri di Rhûn sono feroci, ma loro combattono a cavallo, noi preferiamo colpire i nostri nemici da terra.
str_khand_rumor_7|Abbiamo combattuto i Gondoriani in passato, questa volta li finiremo del tutto !
str_khand_rumor_8|L'Ovest è debole e decadente. Non hanno lo spirito dei guerrieri. Cadranno sotto le nostre spade e le nostre asce.
str_khand_rumor_9|Non combattiamo per l'oro o gli schiavi, combattiamo per l'onore e la gloria !
str_khand_rumor_10|Gli uomini dell'Ovest sono arroganti, non sanno che potenza stanno per affrontare !
str_khand_rumor_11|Noi commerciamo con Rhûn, Mordor e Harad. Qualche volta li combattiamo. È lo stile di vita del nostro popolo.
str_khand_rumor_12|Non hai ancora fatto la tua maschera da guerriero ? Ne avrai bisogno presto ! Se il nemico non riesce a vedere la tua faccia, il suo spirito non ti troverà.
str_good_rumor_begin|Dalle ceneri rinascerà un fuoco, L'ombra sprigionerà una scintilla; Nuova sarà la lama ora rotta, E re quei ch'è senza corona sono.
str_good_rumor_2|Gli orchi combattono meglio di notte, ma sono più deboli di giorno.
str_good_rumor_3|Gli Uruk-Hai sono una differente razza di orchi che non teme la luce del sole !
str_good_rumor_4|Dopo una sconfitta e una pausa, l'Oscurità prende un'altra forma e risorge ancora.
str_good_rumor_5|Le Paludi Morte.. una terra contaminata, malata al di là di ogni guarigione.
str_good_rumor_6|L'Ombra può allevare solo una finzione, non è in grado di creare: non può generare cose da se stessa. Non credo che abbia dato vita agli Orchi, ha solo rovinato e ingannato delle creature.
str_good_rumor_7|Si diceva che Boscoverde fosse pieno di Elfi. Le più grandi foreste del Nord. Ma ora c'è Bosco Atro. Vi striscia ogni sorta di creatura malvagia.
str_good_rumor_8|L'Argonath, i Pilastri dei Re, grandi guardiani dell'antico confine nordico di Gondor.
str_good_rumor_9|Amon Hen è la più occidentale delle tre cime del confine meridionale di Nen Hithoel.
str_neutral_rumor_begin|Domani tutto potrebbe cambiare...
str_neutral_rumor_2|Le Paludi Morte.. Un luogo contaminato e malato.
str_neutral_rumor_3|Queste terre erano molto differenti, una volta.
str_neutral_rumor_4|Gli uomini combattono con meno forza la notte. Ma ce ne sono alcuni che sono abituati a vedere al buio.
str_evil_rumor_begin|Gli orchi combattono meglio di notte, gli uomini combattono meglio di giorno.
str_evil_rumor_2|Combatti i cavalieri con la picca, i fanti con le frecce e gli arcieri con lo scudo !
str_evil_rumor_3|Le grandi statue dei deboli sul grande fiume non resteranno in piedi a lungo.
str_legendary_rumor_begin|Le leggende narrano che gli alberi vengono a parlarti, nella foresta di Fangorn.
str_legendary_rumor_amonhen|Dicono che ci sia un luogo speciale sull'Anduin, da qualche parte, dove le grandi statue restano in piedi.
str_legendary_rumor_deadmarshes|Si racconta che tutti i morti sembrano vivi nel mezzo delle Paludi Morte.
str_legendary_rumor_mirkwood|Altre creature, diverse dagli Orchi, avanzano attorno a Bosco Atro.
str_legendary_rumor_fangorn|Fangorn è una foresta che sarebbe meglio evitare. Vi capitano cose insolite.
str_last_rumor|Non ho sentito nulla d'interessante ultimamente.
str_ent_rumor_begin|Non essere frettoloso ora...
str_ent_rumor_2|Impara ora la storia degli Esseri Viventi ! Ricorda che son quattro le libere genti. Elfi vengono quelli più antichi chiamati, Nani gli scavatori delle buie dimore, Ent i vecchi come i monti e dalla terra nati e infine gli Uomini mortali, maestri dei cavalli.
str_ent_rumor_3|L'antico Entish è una lingua interessante, ma ci vuole davvero un tempo molto lungo per dire qualsiasi cosa, perché non diciamo niente a meno che non ne valga realmente la pena e non valga realmente la pena ascoltarlo.
str_gondor_rank_0|Cittadino di Gondor
str_gondor_rank_1|Soldato di Gondor
str_gondor_rank_2|Sergente di Gondor
str_gondor_rank_3|Cavaliere di Gondor
str_gondor_rank_4|Guardia della torre di Gondor
str_gondor_rank_5|Cavaliere della cittadella di Gondor
str_gondor_rank_6|Ausiliare delle guardie di Gondor
str_gondor_rank_7|Capitano di Gondor
str_gondor_rank_8|Campione di Gondor
str_gondor_rank_9|Eroe di Gondor
str_dwarf_rank_0|Nano Barbaverde
str_dwarf_rank_1|Minatore Nanico
str_dwarf_rank_2|Nano Guerriero
str_dwarf_rank_3|Nano Lungobarba
str_dwarf_rank_4|Ascia Nanica
str_dwarf_rank_5|Grande Ascia Nanica
str_dwarf_rank_6|Nano Barbagrigia
str_dwarf_rank_7|Capitano Nanico
str_dwarf_rank_8|Nano Capo
str_dwarf_rank_9|Eroe delle sale
str_rohan_rank_0|Ceorl, Borghese di Rohan
str_rohan_rank_1|Conte, Servitore di Rohan
str_rohan_rank_2|Léod, Uomo libero di Rohan
str_rohan_rank_3|Rohir, Cavaliere di Rohan
str_rohan_rank_4|Scyldbora, Portatore dello Scudo di Rohan
str_rohan_rank_5|Swéordbora, Portaspada di Rohan
str_rohan_rank_6|Frumgar, Prima Lancia di Rohan
str_rohan_rank_7|Bealdoraed, Mastro Consigliere di Rohan
str_rohan_rank_8|Eorl, Nobiluomo di Rohan
str_rohan_rank_9|Haleth, Eroe di Rohan
str_mordor_rank_0|Verme
str_mordor_rank_1|Snaga
str_mordor_rank_2|Traditore di Gorgoroth
str_mordor_rank_3|Sentinella di Cirith Ungol
str_mordor_rank_4|Schiavista di Udùn
str_mordor_rank_5|Saccheggiatore di Durthang
str_mordor_rank_6|Guardiano di Morannon
str_mordor_rank_7|Capitano di Minas Morgul
str_mordor_rank_8|Comandante di Barad-dûr
str_mordor_rank_9|Flagello dell' Umanità
str_isengard_rank_0|Topo
str_isengard_rank_1|Snaga
str_isengard_rank_2|Frullino
str_isengard_rank_3|Brucia alberi
str_isengard_rank_4|alimentatore di Warg
str_isengard_rank_5|Fonderia di Ferro
str_isengard_rank_6|Fabbro
str_isengard_rank_7|Capitano di Orthanc
str_isengard_rank_8|Comandante delle Legioni
str_isengard_rank_9|Mano destra dello Stregone
str_lorien_rank_0|Sador, Fedele a Lorien
str_lorien_rank_1|Tauron, Forestiero di Lorien
str_lorien_rank_2|Mifaron, Grigio Cacciatore di Lorien
str_lorien_rank_3|Thindirith, Guardia Grigia di Lorien
str_lorien_rank_4|Thangyl, Portascudo di Lorien
str_lorien_rank_5|Maglagyl, Portaspada di Lorien
str_lorien_rank_6|Tiribrannon, Custode di Lorien
str_lorien_rank_7|Glaurchir, Granmaestro di Lorien
str_lorien_rank_8|Galadhîr, Raggiante Signore di Lorien
str_lorien_rank_9|Thalion, Eroe di Lorien
str_imladris_rank_0|Háno, Fratello di Imladris
str_imladris_rank_1|Macar, Guerriero di Imladris
str_imladris_rank_2|Sindacollo, Grigia mantella di Imladris
str_imladris_rank_3|Luinëcollo, Mantella blu di Imladris
str_imladris_rank_4|Turmacolindo, Portascudo di Imladris
str_imladris_rank_5|Langocolindo, Portaspada di Imladris
str_imladris_rank_6|Aráto, Campione di Imladris
str_imladris_rank_7|Hesto, Capitano di Imladris
str_imladris_rank_8|Runando, Redentore di Imladris
str_imladris_rank_9|Callo, Eroe di Imladris
str_woodelf_rank_0|Sador, Fedele a Boscoverde
str_woodelf_rank_1|Tauron, Forestiero di Boscoverde
str_woodelf_rank_2|Hirfaron, Maestro Cacciatore di Boscoverde
str_woodelf_rank_3|Calendirith, Guardia Verde di Boscoverde
str_woodelf_rank_4|Thangyl, Portascudo di Boscoverde
str_woodelf_rank_5|Maglagyl, Portaspada di Boscoverde
str_woodelf_rank_6|Tiribrannon, Custode di Boscoverde
str_woodelf_rank_7|Pengherdir, Mastroarciere di Boscoverde
str_woodelf_rank_8|Armagor, Spadaccino reale di Boscoverde
str_woodelf_rank_9|Thalion, Eroe di Boscoverde
str_dale_rank_0|cittadino di Dale
str_dale_rank_1|Uomo libero di Dale
str_dale_rank_2|Soldato di Dale
str_dale_rank_3|Barcaiolo di Dale
str_dale_rank_4|Portascudo di Dale
str_dale_rank_5|Portaspada di Dale
str_dale_rank_6|Bardato, Arciere di Dale
str_dale_rank_7|Capitano di Dale
str_dale_rank_8|Capitano del lago di Dale
str_dale_rank_9|Eroe di Dale
str_harad_rank_0|Giovane della tribù
str_harad_rank_1|Adulto della tribù
str_harad_rank_2|Guerriero della Tribù
str_harad_rank_3|Uccisore di Leone
str_harad_rank_4|Incantatore di serpenti
str_harad_rank_5|Conducente di Mumakil
str_harad_rank_6|Guardia Nera del serpente
str_harad_rank_7|Capitano di Harondor
str_harad_rank_8|Generale del Gran Deserto
str_harad_rank_9|Serpente Dorato
str_rhun_rank_0|Uomo delle pianure di Rhûn
str_rhun_rank_1|Servo di Rhûn
str_rhun_rank_2|Guerriero di Rhûn
str_rhun_rank_3|Guerriero Toro di Rhûn
str_rhun_rank_4|Scudiero di Rhûn
str_rhun_rank_5|Spada di Rhûn
str_rhun_rank_6|Mastro dei cavalli di Rhûn
str_rhun_rank_7|Signore della Guerra di Rhûn
str_rhun_rank_8|Capoclan della Steppa
str_rhun_rank_9|Braccio destro di Khamûl
str_khand_rank_0|Uomo delle pianure di Khand
str_khand_rank_1|Servo di Khand
str_khand_rank_2|Guerriero di Khand
str_khand_rank_3|Guerriero Aquila di Khand
str_khand_rank_4|Scudiero di Khand
str_khand_rank_5|Spada di Khand
str_khand_rank_6|Mastro dei cavalli di Khand
str_khand_rank_7|Signore della Guerra dei Variaghi
str_khand_rank_8|Capoclan Variago
str_khand_rank_9|Conquistatore leggendario
str_umbar_rank_0|Marinaio d'acqua dolce
str_umbar_rank_1|Mozzo
str_umbar_rank_2|Marinaio
str_umbar_rank_3|Fiocinatore
str_umbar_rank_4|Tagliagole
str_umbar_rank_5|Saccheggiatore
str_umbar_rank_6|Nostromo
str_umbar_rank_7|Capitano di Umbar
str_umbar_rank_8|Comandante della Flotta
str_umbar_rank_9|Grande Ammiraglio dei Mari
str_moria_rank_0|Verme
str_moria_rank_1|Snaga
str_moria_rank_2|Ratto dei tunnel
str_moria_rank_3|Foraggiatore di Caverna
str_moria_rank_4|Ladro delle miniere
str_moria_rank_5|Spogliatore di sale
str_moria_rank_6|Piaga dei Nani
str_moria_rank_7|Condottiero Goblin
str_moria_rank_8|Goblin Capo
str_moria_rank_9|Terrore dal profondo
str_guldur_rank_0|Verme
str_guldur_rank_1|Snaga
str_guldur_rank_2|Traditore di Gorgoroth
str_guldur_rank_3|Sentinella di Cirith Ungol
str_guldur_rank_4|Schiavista di Udùn
str_guldur_rank_5|Saccheggiatore di Durthang
str_guldur_rank_6|Guardiano di Morannon
str_guldur_rank_7|Capitano di Minas Morgul
str_guldur_rank_8|Comandante di Barad-dûr
str_guldur_rank_9|Flagello dell' Umanità
str_gundabad_rank_0|Escremento
str_gundabad_rank_1|Snaga
str_gundabad_rank_2|Topo dei tunnel
str_gundabad_rank_3|Foraggiatore di Caverna
str_gundabad_rank_4|Ladrone delle colline
str_gundabad_rank_5|Saccheggiatore Montanaro
str_gundabad_rank_6|Piaga dei Nani
str_gundabad_rank_7|Condottiero su Warg
str_gundabad_rank_8|Grande Goblin
str_gundabad_rank_9|Saccheggiatore del Nord
str_dunland_rank_0|Allievo
str_dunland_rank_1|Cane
str_dunland_rank_2|Mastino della Guerra
str_dunland_rank_3|Lupo
str_dunland_rank_4|Lupo Vigoroso
str_dunland_rank_5|Metalupo
str_dunland_rank_6|Grande Lupo
str_dunland_rank_7|Capobranco
str_dunland_rank_8|Capoclan
str_dunland_rank_9|Vendicatore di Freca
str_beorn_rank_0|Cucciolo della Foresta
str_beorn_rank_1|Tracciatore della foresta
str_beorn_rank_2|Cacciatore della foresta
str_beorn_rank_3|Ranger della Foresta
str_beorn_rank_4|Scudiero della foresta
str_beorn_rank_5|Ascia della Foresta
str_beorn_rank_6|Orso della Foresta
str_beorn_rank_7|Grande Orso della Foresta
str_beorn_rank_8|Gigante della Foresta
str_beorn_rank_9|Eroe della Foresta
str_tld_introduction|Introduzione a TLD - Dovresti andare a Edoras.
str_tld_erebor_dungeon|L'odore di morte circonda questo posto. Farei meglio ad essere cauto.
str_tld_spear_hit|Ouch !
str_fullname_region_unknown|una regione senza nome, da qualche parte nella Terra di Mezzo
str_fullname_region_pelennor|I campi Pelennor, le pianure intorno Minas Tirith, capitale del Regno di Gondor.
str_fullname_region_subfac_pelargir|il Feudo di Lebennin, parte del Regno di Gondor
str_fullname_region_subfac_dol_amroth|Belfalas, la regione costiera nel Sud di Gondor
str_fullname_region_subfac_ethring|Ringló Vale, una valle del Regno di Gondor
str_fullname_region_subfac_lossarnach|il Feudo di Lossarnach, anche conosciuto come la Valle dei Fiori, parte del Regno di Gondor
