qstr_Received_{reg0}_dama|Отримано {reg0} шкоди.
; qstr_With_trepidation_you|With trepidation, you look within the silver basin. The water shows you visions of horror; blood and terror and grief. You recoil... but then, the visions vanish and you see instead a clear night sky, with what seems to be a silver boat floating across the expanse. A sense of calm washes over you. Hope is not wholly gone.
; qstr_The_Lady_s_garden_li|The Lady's garden lies peacefully in the bright daylight. You sense nothing out of the ordinary...
; qstr_You_kneel_to_pay_you|You kneel to pay your respects to the fallen rulers of this fair realm. Beside you, a shield-maiden of Rohan raises her voice in song. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Your heart aches to hear her words.
; qstr_You_wonder_about_the|You wonder about the two rows of burial mounds in front of the gates, yet as a mere {s24}, you do not understand their significance.
; qstr_Halt!_You_are_not_al|Halt! You are not allowed to enter here!
; qstr_Halt!_You_are_not_all|Halt! You are not allowed to enter here without the Lady's leave!
; qstr_While_visiting_towns|While visiting towns, settlements and camps, you can talk to people walking around. Members of different factions have different things to say - some will let you in on their own thoughts, others will share rumours. Both could merely give you a better understanding of the person's culture and faction, or they might hold clues to finding secret locations, or tips and tricks for travelling through the Wilderness and fighting in the War of the Ring.
qstr_Cannot_leave_now.|Не можу піти на даний момент.
; qstr_You_have_found_the_l|You have found the local smithy.
; qstr_You_have_found_the_lo|You have found the local authority.
; qstr_You_have_found_the_loc|You have found the local warehouse.
; qstr_You_have_found_the_c|You have found the captain of the garrison.
qstr__cancelled_the_{reg1|({reg10} балів досвіду скасовано, отриманих від убивства в’язнів)
qstr_Forming_ranks.|Формування рядів.
; qstr_{reg2?You:Your_mount|{reg2?You:Your mount} received {reg1} extra damage!
; qstr_{reg2?You_strike:You|{reg2?You strike:Your horse charges} for {reg1} bonus damage!
qstr_Division_Placement|Розміщення підрозділів.
; qstr_Complex_Formations|Complex Formations
; qstr_Formations_turned_OF|Formations turned OFF in options menu
; qstr_Division_{reg1}_{s2}_g|Division {reg1} {s2} goes to its memorized position...
; qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms line (memorized).
; qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
qstr_Delivered_{reg60}_da|Завдано {reg60} шкоди.
; qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
; qstr_Your_bear_form_has_{|Your bear form has {reg2}/{reg1} HP!
; qstr_Three_Nazgul_are_cir|Three Nazgul are circling in the sky above the battlefield!
; qstr_Two_Nazgul_are_circl|Two Nazgul are circling in the sky above the battlefield!
qstr_A_Nazgul_is_circling|Над полем бою в небі кружляє назгул!
; qstr_Some_of_your_human_t|Some of your human troops are not daunted by the darkness.(Night Troops are not affected by night time penalties)
; qstr_You_are_filled_with_|You are filled with just rage as you set your eyes upon the enemy (Berserk active).
; qstr_Your_mount_is_scared|Your mount is scared by the {s5}!
; qstr_Your_mount_is_scared_|Your mount is scared by the {s5}, but you can master it!
qstr_Nazgul_sweep!|Назгул замахується!
qstr_You_and_your_horse_p|Ви та ваш кінь панікуєте, крики назгулів нестерпні!
qstr_Your_horse_panics_th|Ваш кінь панікує, крики назгулів нестерпні!
qstr_You_cower_in_terror_|Ви здригаєтеся від жаху, крики назгулів нестерпні!
qstr_knocked_unconscious|Ви втратили свідомість
qstr_Nazgul_diving_attack|Назгул атакує з повітря на {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} — це {s10} в атаці Назгулів!
; qstr_Received_{reg66}_dam|Received {reg66} damage.
; qstr_You_yell_for_your_ho|You yell for your horse.
; qstr_You_do_not_need_to_r|You do not need to rally your troops yet.
; qstr_You_rally_{reg10}_tr|You rally {reg10} troops!
; qstr_{s5}_rallies_{reg65?|{s5} rallies {reg65?her:his} troops!
; qstr_You_have_killed_{reg|You have killed {reg1} enemies in this battle!
; qstr_Your_bravery_inspire|Your bravery inspires your troops!
; qstr_Your_mount_has_falle|Your mount has fallen to the ground beneath you!
; qstr_Receive_{reg22}_dama|Receive {reg22} damage.
; qstr_You_have_been_knocke|You have been knocked unconscious by {s22}.
; qstr_{s21}_has_been_knock|{s21} has been knocked off of {reg23?her:his} mount when it fell.
; qstr_{s21}_{reg24?killed:|{s21} {reg24?killed:knocked unconscious} by {s22}.
; qstr_A_bear_has_been_summ|A bear has been summoned to battle!
; qstr_In_The_Last_Days_of_|In The Last Days of the Third Age, your troops will position themselves and hold at the beginning of each battle, instead of blindly charging.^^To order your troops into formation, press 'J' for Ranks, 'K' for Shield-Wall, 'L' for Wedge, ';' for Square. To undo the formation, press 'U'. ^If your troops are fleeing, you can press 'V' to rally them. You get only a limited amount of rallies per battle, and the amount depends on your leadership and charisma.
; qstr_You_can_also_order_y|You can also order your troops to cycle through the type of weapon you want them to use.^^ Press O to cycle between Weapon Order types. Press P to cycle between Shield Order types.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^See Info Pages for how to control the different camera modes.
; qstr_Battlefield_is_too_s|Battlefield is too small for complex AI formations.
; qstr_You_have_a_clear_per|You have a clear perception of great imminent danger, from all around you!
; qstr_New_ent_reached_batt|New ent reached battle scene...
; qstr_You_receive_word_tha|You receive word that Beorning villages were attacked. Beornings lose faction strength.
; qstr_You_receive_word_that|You receive word that the Ring Hunter Leaders were seen travelling towards Mordor, a chest in tow. Mordor gains faction strength.
; qstr_Enemy_reinforcements|Enemy reinforcements have arrived
; qstr_Yarrrr!!|Yarrrr!!
; qstr_Get_all_of_them!|Get all of them!
; qstr_Kill_them_all!|Kill them all!
; qstr_Toss_them_overboard!|Toss them overboard!
; qstr_It_is_a_good_day_to_|It is a good day to die!
; qstr_All_hands_on_deck!_T|All hands on deck! Throw them back!
; qstr_Ally_reinforcements_|Ally reinforcements have arrived
; qstr_Forward_men!|Forward, men!
; qstr_Leave_none_of_these_|Leave none of these filth standing!
; qstr_End_them_all!|End them all!
; qstr_Drive_them_back!|Drive them back!
; qstr_Protect_the_City!|Protect the City!
; qstr_Forward!_Board_them!|Forward! Board them!
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Attacking players command some of their own troops.
; qstr_on_the_left_flank|on the left flank
; qstr_on_the_right_flank|on the right flank
; qstr_through_the_center|through the center
; qstr_Attackers_charge_{s2|Attackers charge {s2}
; qstr_Attackers_charge_{s1|Attackers charge {s1}
; qstr_{s1}_rallied_to_your|{s1} rallied to your side due to your Charisma.
; qstr_Last_attacker_wave._|Last attacker wave. Do you want to retreat?
; qstr_Attackers_almost_def|Attackers almost defeated. Do you want to retreat?
; qstr_The_remaining_attack|The remaining attackers disperse!
; qstr_The_remaining_defend|The remaining defenders escape from the siege!
; qstr_Reached_Gauntlet_wav|Reached Gauntlet wave {reg1}!
; qstr_Ballista:_out_of_amm|Ballista: out of ammo!
; qstr_Ballista:_turn_CURSO|Ballista: turn CURSOR, aim LSHIFT, shoot SPACE, set fire T, exit F
; qstr_Ballista:_out_of_ammo|Ballista: out of ammo
; qstr_The_ladders_on_Deepi|The ladders on Deeping Wall! Watch out!
; qstr_THREE.._TWO..._ONE..|THREE.. TWO... ONE.... FIGHT!
; qstr_You_have_come_upon_t|You have come upon the ruins of Amon Hen, the Hill of Sight, a Gondorian watch-tower atop which rests the Seat of Seeing^^You sense that this place was once great but has long been forgotten
qstr_You_have_come_upon_th|Ви потрапили на Мертві Болота, місце битви за Дагорлад під час Війни Останнього Альянсу^^ Болота поглинули те, що колись було трав'янистою рівниною, і тепер єдине, що зеленіє, - це багряна трава на темній жирній поверхні похмурих вод^^ Мертві трави та гнилий очерет виринають у тумані, наче обірвані тіні давно забутого літа, а в каламутній глибині плавають тіла людей, ельфів і орків^^Повітря холодне і липке, і ви не можете не здригнутися, коли бачите, як мерехтять вогники свічок в очах ельфійського трупа, що лежить просто під поверхнею води
qstr_You_have_entered_the|Ви увійшли до лісу Південного Мірквуду, колись відомого як Грінвуд Великий^^ Неподалік знаходиться фортеця Дол Гулдур, яка відкидає темну тінь на ліс. Ліс тут хворобливий і сповнений гниття. Старовинні дуби вражені гниллю і грибком, а від стовбура до стовбура тягнеться величезне заплутане павутиння^^ Повітря вічно нерухоме, темне і задушливе, і здається, що ви повільно задихаєтесь.
; qstr_You_have_found_the_D|You have found the Dwarven Warehouse where the Legendary Spears could be. Report what you find to {s3}
; qstr_Leave_the_Warehouse?|Leave the Warehouse?
; qstr_Leave_the_place_in_s|Leave the place in silence?
; qstr_Leave_scene?|Leave scene?
; qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
; qstr_There_is_no_way_out!|There is no way out! Surrender to orcs?
; qstr_Stealth_mini_game_tu|Stealth mini-game tutorial: There are two alarm levels. Level 1 is set off by the guards seeing a dead body or by them spotting you. Level 2 is set off by the guards spotting you when level 1 is already active. Level two is dangerous because guards will continue to arrive. You can avoid being spotted by staying hidden. To hid simply move behind various bits of cover.
; qstr_You_are_now_hidden.|You are now hidden.
; qstr_You_move_out_of_hidi|You move out of hiding.
; qstr_The_guards_have_spot|The guards have spotted a dead body!
; qstr_Alarm_Level_is_now_a|Alarm Level is now at 1!
; qstr_You_have_been_too_sl|You have been too slow: The alarm has spread, and the sorcerer made his escape before you could get close.
; qstr_Alarm_Level_is_now_at|Alarm Level is now at 0!
; qstr_The_guards_have_spott|The guards have spotted you!
; qstr_Alarm_Level_is_now_at_|Alarm Level is now at 2!
; qstr_Enemy_reinforcements_|Enemy reinforcements arrived.
; qstr_Venture_deeper_into_|Venture deeper into the forest and find a way onward.
; qstr_The_sorcerer_has_fle|The sorcerer has fled!
; qstr_Report_this_ill_news|Report this ill news to the Lady at once.
; qstr_The_sorcerer_is_flee|The sorcerer is fleeing! Kill him!
; qstr_The_sorcerer_has_joi|The sorcerer has joined the fight! Kill him!
; qstr_The_sorcerer_is_dead|The sorcerer is dead!
; qstr_The_battle_is_won!|The battle is won!
; qstr_A_band_of_tribal_orc|A band of tribal orcs have appeared!
; qstr_Gaaaar!!_We_wants_th|Gaaaar!! We wants those human meat!
; qstr_{s31}_scouts_have_ap|{s31} scouts have appeared!
; qstr_Those_are_ours!_We_h|Those are ours! We have been tracking them since they left! No one stands in our way!
; qstr_Trolls_appeared!|Trolls appeared!
; qstr_Gaaaar!!|Gaaaar!!
; qstr_{s31}_scouts_have_app|{s31} scouts have appeared to aid the refugees!
; qstr_Hurry_men!_Help_the_|Hurry, men! Help the refugees! Kill all the scum and do not let them escape!
; qstr_Cannot_leave|Cannot leave
; qstr_Longbeard_Kinsman|Longbeard Kinsman
; qstr_Ori_Longbeard|Ori Longbeard
; qstr_We_shall_make_our_st|We shall make our stand here! FOR BALIN!
; qstr_Noooo!_You_orcs_will|Noooo! You orcs will pay for this!
; qstr_Arghhh!!_Nooo!!|Arghhh!! Nooo!!
; qstr_I_will_take_down_as_|I will take down as many as I can before I fall!
; qstr_Raaa!!|Raaa!!
; qstr_Kill_the_dwarves!|Kill the dwarves!
; qstr_Finish_them!|Finish them!
; qstr_We_will_feast_on_you|We will feast on your flesh!
; qstr_Dwarf_meat!|Dwarf meat!
; qstr_Eru_Iluvatar_has_dec|Eru Iluvatar has decided the fate of Balin's Company, and it cannot be changed.
; qstr_They_are_coming....!|They are coming....!
; qstr_Who...dares...enter.|Who...dares...enter...
; qstr_You_are_not_welcome_|You are not welcome here!
; qstr_Finally_I_found_you!|Finally, I found you! Let's get out of here!
; qstr_You...are....ours...|You...are....ours...
; qstr_Look_at_my_over_the_|Look at my over-the-shoulder shot, {playername}! I'm so beautiful from a distance!
; qstr_You_wish_old_man_my_|You wish, old man, my over-the-shoulder view is much prettier!
; qstr_You_should_really_se|You should really see Steward Denetor's Facebook photos, he's amazing!
; qstr_Press_Space_to_conti|Press Space to continue...
; qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} until next promotion^
; qstr_Influence:^_{reg11}_|Influence:^ {reg11} (with {s16})^
; qstr_Resource_Points:^_{r|Resource Points:^ {reg12} (in {s16})^
; qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} until next promotion^
; qstr_{s13}_{reg11}__with_|{s13} {reg11} (with {s16})^
; qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (in {s16})^
; qstr_Four_years_after_bri|Four years after bringing a group of Dwarves from Erebor to attempt to resettle the once-Dwarven city of Khazad-dûm, Balin was killed by an Orc arrow while peering into Lake Mirrormere, and his people became immediately engaged with many Orcs coming up the Silverlode River. After a continuous retreat from the East-gate and First Hall, then the Bridge of Khazad-dûm and Second Hall, the remaining Longbeards were forced all the way back into the Twenty-first Hall. After an unsuccessful attempt to escape through the Doors of Durin that saw the death of Óin, the Chamber of Mazarbul became the last hold-out of the Colony after losing the Twenty-first Hall just outside the chamber. Barring the gates, Ori and the few survivors set up a final defense.
; qstr_You_chase_an_orc_sco|You chase an orc scout party into the forest...
; qstr_^No_food:___{reg7}|^No food:  -{reg7}
; qstr_Current_party_morale|Current party morale is {reg5}.^Current party morale modifiers are:^^Base morale:  +50^Party size: {s2}{reg1}^Leadership: {s3}{reg2}^Food variety: {s4}{reg3}{s5}^Special items: {s6}{reg6}^Recent events: {s7}{reg4}^TOTAL:  {reg5}
; qstr_Defending|Defending
; qstr_Gathering_army|Gathering army
; qstr_Besieging_{s11}|Besieging {s11}
; qstr_Raiding_{s11}|Raiding {s11}
; qstr_Attacking_enemies_ar|Attacking enemies around {s11}
; qstr_No_one|No one
; qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshall: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
; qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
; qstr_You_are_in_perfect_h|You are in perfect health.
; qstr_You_are_suffering_fr|You are suffering from {s1}.
; qstr_You_are_suffering_fro|You are suffering from {s1} and {s2}.
; qstr_You_are_suffering_from|You are suffering from {s1}, {s2}, and {s3}.
; qstr_You_are_suffering_from_|You are suffering from {s1}, {s2}, {s3} and {s4}.
; qstr_Troop_upkeep__paid_e|Troop upkeep (paid every four days):^
; qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Resource Points ^Party: {reg4}^Reserves: {reg7}
; qstr_No_upkeep_costs|No upkeep costs
; qstr_Orc_hiring_bonus:_+2|Orc hiring bonus: +2/3 for each orc^
; qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +10^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Ranks: {s4}{reg3}^{s5}TOTAL:  {reg5}
; qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
; qstr__________Faction_str|         Faction strengths report:^{s2}
; qstr_{s1}^^Factions_are_n|{s1}^^Factions are normally sieged when below {reg1} strength.
; qstr_Savagery|Savagery
; qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
; qstr_Traits_gained:^{s2}|Traits gained:^{s2}
; qstr_^^You_are_{s17}.|^^You are {s17}.
; qstr_Assassins_in_the_cam|Assassins in the camp, defend yourself!
; qstr_Ally_party_size:_{re|Ally party size: {reg1}
; qstr_Enemy_party_size:_{r|Enemy party size: {reg1}
; qstr_Party_count:_{reg0}|Party count: {reg0}
; qstr_Party_position__{reg|Party position ({reg2},{reg3}).
; qstr_Party_size_increased|Party size increased from {reg0} to {reg1}!
; qstr_Faction_strengths_re|Faction strengths report:^{s2}
; qstr_Attacking_enemy_part|Attacking enemy party {s11}
; qstr_Unknown_{reg3}_|Unknown({reg3})
; qstr_ON|ON
; qstr_OFF__cheat_|OFF (cheat)
; qstr_OFF|OFF
qstr_All_messages|Всі повідомлення
; qstr_{reg0}__will_most_li|{reg0} (will most likely cause save crashes)
; qstr_{reg0}__could_possib|{reg0} (could possibly cause save crashes)
; qstr_Normal|Normal
; qstr_Defender_only|Defender only
; qstr_Halved|Halved
; qstr_Battles_only|Battles only
; qstr_Doubled|Doubled
; qstr_Tripled|Tripled
; qstr_Quadrupled|Quadrupled
; qstr_You_drank_the_Ent_Wa|You drank the Ent Water...
; qstr_You_used_the_Orc_Bre|You used the Orc Brew.
; qstr_You_and_your_compani|You and your companions drink a sip of Miruvor. You feel refreshed and strengthened.
; qstr_You_give_a_few_leave|You give a few leaves of Athelas to your healers.
; qstr_Not_enough_party_spa|Not enough party space.
; qstr_elites|elites
; qstr_regulars|regulars
; qstr_recruits|recruits
; qstr_wild|wild
; qstr_goblins|goblins
; qstr_lordless|lordless
; qstr_orc_stragglers|orc stragglers
; qstr_You_camp_and_beat_th|You camp and beat the Drums of the Deep. The mighty sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_beat_the|You camp and beat the Drums of the Deep. The powerful sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_beat_the_|You camp and beat the Drums of the Deep. The weak sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_try_to_|You camp and try to beat the Drums of the Deep, yet noone answers your pitiful call.
qstr_^^^A_great_victory!^|^^^Велика перемога!^^^ Так ось що означали все вигадки про Фангорн...
; qstr_^^^Defeated...^^^Sca|^^^Defeated...^^^Scattered in the Fangorn Forest... Alone...
; qstr_Troll_caged_in_wheel|Troll caged in wheeled cage.
; qstr_A_second_troll_is_ca|A second troll is caged in wheeled cage.
; qstr_Here_you_are.|Here you are.
; qstr_Player_was_moved_to_|Player was moved to {s10}.
; qstr_neutral_whereabouts|neutral whereabouts
; qstr_any|any
; qstr_woman|woman
; qstr_gondor|gondor
; qstr_rohan|rohan
; qstr_dunlander|dunlander
; qstr_urukhai|urukhai
; qstr_haradrim|haradrim
; qstr_dwarf|dwarf
; qstr_troll|troll
qstr_dunedain|дунедайн
; qstr_lothlorien|lothlorien
; qstr_rivendell|rivendell
; qstr_mirkwood|mirkwood
; qstr_evil_man|evil man
; qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
; qstr_Regular_troops_only|Regular troops only
; qstr_Heroes_only|Heroes only
; qstr_Regulars_and_Heroes|Regulars and Heroes
; qstr_HP_lost_from_poisoni|HP lost from poisoning.
; qstr__{s17}.|, {s17}.
; qstr_A_group_of_{s1}_is_{|A group of {s1} is {s10} toward you.
; qstr_You_are_attacking_a_|You are attacking a group of {s1}.
; qstr_The_battle_against_t|The battle against the group of {s1} continues.
; qstr_There_are_{reg39}_al|There are {reg39} allied commanders in this battle. You can command them and their troops for {reg40}/{reg41} influence.
; qstr_There_are_{reg39}_all|There are {reg39} allied commanders in this battle. You don't have enough influence to assume command.
; qstr_Having_a_small_party|Having a small party has its benefits...You and your troops hide from the enemy for a few hours to be sure that you are not seen.
; qstr_Your_ability_to_mast|Your ability to master your environments allowed you to find a safe place to hide. (Your skill in Wildcraft allows you to hide with {reg1} troops)
; qstr_{reg4}_will_be_lost.|{reg4} will be lost.
; qstr_{s13}_asked_you_to_r|{s13} asked you to report to him with at least {reg13} troops.
; qstr_{s13}_ordered_you_to|{s13} ordered you to join the assault against {s14}.
; qstr_You_were_victorious!|You were victorious!
; qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.
; qstr_Your_companions_carr|Your companions carry you away from the fighting.
; qstr_You_have_defeated_th|You have defeated the enemy.
; qstr_You_have_retreated_f|You have retreated from the fight.
; qstr_^^Ally_Casualties:{s|^^Ally Casualties:{s0}
; qstr_You_and_{s3}_celebra|You and {s3} celebrate your victory against {s4}.
; qstr_News_of_your_victory|News of your victory against {s4} reach {s3}.
; qstr_{s3}_witnesses_your_|{s3} witnesses your victory against {s4}.
; qstr_Even_though_there_we|Even though there were no allies to witness your victory, your troops nevertheless celebrate your triumph.
; qstr_{s1}_of_{s3}_managed|{s1} of {s3} managed to escape.
; qstr_Prisoners_rescued_so|Prisoners rescued so far: {reg1}
; qstr_{reg1}_kills_of_{s1}|{reg1} kills of {s1} faction troops counted towards Oath. TOTAL Kills: {reg0}
; qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
; qstr_Retirement_is_starti|Retirement is starting to sound better and better.
; qstr_No_matter!_I_will_pe|No matter! I will persevere!
; qstr_What_did_I_do_to_des|What did I do to deserve this?
; qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
; qstr__{s17}|, {s17}
; qstr_You_retreated_from_b|You retreated from battle.
; qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
; qstr_{s8}_of_{s9}|{s8} of {s9}
; qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
; qstr__You_see_the_banner_| You see the banner of {s7} over the castle gate.
; qstr__This_castle_seems_t| This castle seems to belong to no one.
; qstr__Your_own_banner_flie| Your own banner flies over the town gates.
; qstr__You_see_the_banner_o| You see the banner of {s7} over the town gates.
; qstr__The_townsfolk_here_| The townsfolk here have declared their independence.
; qstr_Go_to_the_secret_ent|Go to the secret entrance to Moria
; qstr_Search_for_a_secret_|Search for a secret entrance to Moria
; qstr_Get_book.|Get book.
; qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
; qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
; qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
; qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
; qstr_You_are_ready_to_att|You are ready to attack the walls at any time.
; qstr_The_siege_tower_is_b|The siege tower is built and ready to make an assault.
; qstr_As_a_last_defensive_|As a last defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no other place to fall back to.
; qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
; qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
; qstr_The_town_centre_is_y|The town centre is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
; qstr_The_remaining_defende|The remaining defenders have retreated to the castle as a last defense. You must go in and crush any remaining resistance.
; qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
; qstr_The_enemy_has_been_f|The enemy has been forced to retreat. The assault is over, but the siege continues.
; qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
; qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for valuables they can find, then vanish into the night. They have left you alive, if only barely.
; qstr_Luckily_some_of_your|Luckily some of your companions came to search for you when you did not return, and find you lying in the ditch. They carried you to safety and dressed your wounds.
; qstr_Luckily_some_passing|Luckily some passing locals found you lying in the ditch, and recognised you as someone other than a simple beggar. They carried you to safety and dressed your wounds.
; qstr_{s13}^^You_have_succ|{s13}^^You have successfully sneaked in.
; qstr_The_tomb_is_destroye|The tomb is destroyed. A fierce fight took place here.
; qstr_Nothing_of_interest|Nothing of interest
; qstr_the_place|the place
; qstr_the_castle|the castle
qstr_the_Throne_Room|Тронна зала
qstr_the_Secret_Cave|Потайна печера
qstr_Meduseld_the_Golden_|Медусельд, Золотий палац
qstr_the_Lord_Halls|Палац володаря
qstr_the_Leader_s_Cave|Печеру повелителя
qstr_the_Tower|Твердиню
qstr_the_tower_of_Orthanc|Ортханк
qstr_Beorn_s_Hall|Зал Беорна
qstr_the_Hall|Палати правителя
qstr_the_Great_Chamber_of|Гвардієць Трора
; qstr_Stay_indoors_for_som|Stay indoors for some time ({reg1} Resource points per night)
; qstr_Camp_outside_for_som|Camp outside for some time (free)
; qstr_As_you_enter_the_vas|As you enter the vast caverns underneath the Ring of Isengard, where thousands of orcs work to supply the growing armies of the White Hand, you gain confidence in the rise of a new power and the demise of the old world.
; qstr_You_have_found_the_G|You have found the Glittering Caves, one of the marvels of the Northern World.
; qstr_As_the_party_member_|As the party member with the highest Bargainer skill ({reg2}), {reg3?you estimate:{s3} estimates} that it will take {reg4} hours to find the most notable persons in town. [Costs {reg5}/{reg6} influence]
; qstr_You_have_already_fou|You have already found all persons of interest.
; qstr_the_captain_of_the_g|the captain of the garrison, and the civil authority.
; qstr_and_the_captain_of_t|and the captain of the garrison. As this place was recently captured, it has not civil authority.
; qstr_You_also_heard_of_a_|You also heard of a healer, but you will have to find them on your own.
; qstr_{s4}_s_scouts_have_s|{s4}'s scouts have seen and reported your failure. You have brought shame to {s4} and the responsibility of this failure is yours alone.
; qstr_{s1}_s_Ship|{s1}'s Ship
; qstr_Time_passes...|Time passes...
; qstr_Forces_of_Good|Forces of Good
; qstr_Forces_of_Mordor|Forces of Mordor
; qstr_Forces_of_Isengard|Forces of Isengard
; qstr_their_enemies|their enemies
; qstr_{s11}_and_{s13}|{s11} and {s13}
; qstr_{s11}_{s13}|{s11}, {s13}
; qstr_a_scout_party_from_{|a scout party from {s3}
; qstr_two_scout_parties_an|two scout parties and a forager party from {s3}
; qstr_two_scout_parties_and|two scout parties and a raider party from {s3}
; qstr_three_scouts_two_for|three scouts, two foragers, and a patrol from {s3}
; qstr_three_scouts_two_rai|three scouts, two raiders, and a war party from {s3}
; qstr_You_see_the_village_|You see the village being raided by bandits. You ask most of your troops to watch out for other raiders while you take a small group and prepare to defend villagers.
; qstr_You_see_the_village_y|You see the village you were tasked to raid. You and a small group of your raiders prepare to attack the village so as not to be seen.
; qstr_The_raiders_are_defe|The raiders are defeated! Those few who remain alive and conscious scurry off to the darkness from whence they came, terrified of the villagers and their new champion.
; qstr_Try_as_you_might_you|Try as you might, you could not defeat the raiders. They raze the village to the ground and enslave the remaining peasants.
; qstr_The_village_has_been|The village has been razed, villagers killed or taken as slaves. The Dark Lord will be pleased.
; qstr_You_failed_to_raid_t|You failed to raid the village and you were sent scurrying with your men. You hear the victors cheering as you feel the disapproving gaze of the Eye.
; qstr_The_Scout_Camp_has_b|The Scout Camp has been razed, This will slow the advance of the enemy.
; qstr_You_failed_to_destro|You failed to destroy the Scout Camp. The enemy has taken measure of your faction and has decidedly stuck.
; qstr_You_have_defeated_the|You have defeated the raiding fleet! This is a heavy blow to the enemy's plans!
; qstr_You_defeated_the_int|You defeated the intercepting fleet! Even though you do not have enough strength left to raid the city, this is a great victory!
; qstr_You_drove_back_the_e|You drove back the enemy fleet, but lost most of your ships!
; qstr_You_were_defeated_by|You were defeated by the intercepting fleet and failed to raid the city!
; qstr_^^^^^^^You_come_upon|^^^^^^^You come upon the refugees leaving {s2} and on their way to {s3}. ^^They are mostly the old and the infirmed, accompanied by women and children.^^ There are guards, but not enough to protect everyone from a raid.
; qstr_^^^^^^^You_come_upon_|^^^^^^^You come upon the refugees you have been tracking since {s2}. They seem to be on their way to {s3}, and are mostly the old and the infirmed. ^^ There are few guards, but not enough to stop you and your men from killing all of them.
; qstr_^^At_last_the_Master|^^At last, the Master is making His move! The torches burn bright. The sharp weapons gleam. You and your stout lads will receive marching orders soon. Ai, there'll be fighting, lots of it, and glory enough to go around!^^You have the honour of being summoned to audience with the Master in His tower. Likely enough your first orders will be snaga's work - raid a village here, waylay a caravan there. But you'll prove yourself soon enough. Who's to say you won't play as large a role as any commander of {s2} in {s3}?^^The War has begun; the fall of Man and their allies begins!
; qstr_^^Your_head_suddenly|^^Your head suddenly fills with a vision - the flaming Eye. All around you, your warriors stop in their tracks. Somehow, you know at that moment that all of you are hearing the same summons, seeing the same vision. Great is the art of the Lidless Eye - great is the power of Barad-dûr!.^^The knowledge, unspoken, seeps into your very bones. The time has come. The Dark Lord commands - you shall all march upon your enemies in open war. Orders from {s2} in {s3} will come. Your part at first will not be great, but you'll prove yourself soon enough.^^ The War has begun; the fall of the West begins!
