trp_unarmed_troop|Беззбройний Воїн
trp_knight_4_11|Руель
trp_knight_4_12|Беранор Чорне Хутро
trp_knight_4_16|Бролгухш, Господар батога
trp_knight_4_17|Грумрунт, Господар батога
trp_knight_4_18|Грімсоб, Господар батога
trp_knight_5_1|Владика Хальвард
trp_knight_5_2|Владика Бард
trp_knight_5_3|Владика Есгарайн
trp_knight_5_6|Фульгні довгобородий
trp_knight_5_7|Торін Кам'яний Шолом
trp_knight_5_11|Вождь Фудрейм
trp_knight_5_12|Вождь Вульф
trp_knight_6_1|Дерворін
trp_smith_mtirith|Беретор Коваль
trp_smith_mtirith_pl|Ковалі Намісника
trp_smith_pelargir|Халлатан Повелитель Сталі
trp_smith_pelargir_pl|кузню
trp_smith_linhir|Бор Зброяр
trp_smith_linhir_pl|кузню
trp_smith_dolamroth|Халдад Коваль
trp_smith_dolamroth_pl|Кузні Амроту
trp_smith_edhellond|Ріїс Залізнолом
trp_smith_edhellond_pl|кузню
trp_smith_lossarnach|Берін Сокиророб
trp_smith_lossarnach_pl|кузню
trp_smith_tarnost|Харанділь Сталевий Молот
trp_smith_tarnost_pl|кузню
trp_smith_erech|Лорна Чорна
trp_smith_erech_pl|кузню
trp_smith_pinnath|Таранділь Клинокороб
trp_smith_pinnath_pl|кузню
trp_smith_eosgiliath|Бзург Мародер
trp_smith_eosgiliath_pl|кузню
trp_smith_wosgiliath|Гарділь
trp_smith_wosgiliath_pl|польову кузню
trp_smith_calembel|Агроном
trp_smith_calembel_pl|кузню
trp_smith_hannun|Фал Коваль Рейнджерів
trp_smith_hannun_pl|склад спорядження рейнджерів
trp_smith_candros|Калімдор
trp_smith_candros_pl|кузню
trp_smith_edoras|Еаоден Повелитель Стали
trp_smith_edoras_pl|Королівську кузню
trp_smith_aldburg|Фульм Залізне Копито
trp_smith_aldburg_pl|кузню
trp_smith_hornburg|Альдхельм
trp_smith_hornburg_pl|кузню
trp_smith_eastemnet|Еадфрід
trp_smith_eastemnet_pl|кузню
trp_smith_westfold|Деор Шоломороб
trp_smith_westfold_pl|кузню
trp_smith_westemnet|Зброяр
trp_smith_westemnet_pl|кузню
trp_smith_eastfold|Еадеран Залізоріз
trp_smith_eastfold_pl|кузню
trp_smith_morannon|Хурбаг Коваль
trp_smith_morannon_pl|кузню
trp_smith_mmorgul|Оргурз Вогнепальний
trp_smith_mmorgul_pl|кузню
trp_town_24_smith|Боз Залізолом
trp_town_24_smith_pl|кузню
trp_smith_orc_patrol|Глугз Залізнопалий
trp_smith_orc_patrol_pl|польову кузню
trp_smith_oscamp|Кугаш Залізнолюб
trp_smith_oscamp_pl|польову кузню
trp_smith_isengard|Бурз Залізнобій
trp_smith_isengard_pl|підземну кузню
trp_smith_uoutpost|Гурзук Залізнозубий
trp_smith_uoutpost_pl|польову кузню
trp_smith_uhcamp|Рабзуг Іржаїд
trp_smith_uhcamp_pl|польову кузню
trp_smith_urcamp|Глурк
trp_smith_urcamp_pl|польову кузню
trp_smith_cgaladhon|Діруфін Майстер луків
trp_smith_cgaladhon_pl|ельфійські збройові майстерні
trp_smith_cdolen|Діміріан Стрілороб
trp_smith_cdolen_pl|ельфійські збройові майстерні
trp_smith_camroth|Гетасістан
trp_smith_camroth_pl|ельфійські збройові майстерні
trp_smith_thranduils_halls|Турінор
trp_smith_thranduils_halls_pl|кузню
trp_smith_woodelf_camp|Калехір
trp_smith_woodelf_camp_pl|кузню
trp_smith_beorn|Беорналаф Сокиророб
trp_smith_beorn_pl|кузню
trp_smith_moria|Бургак Коваль
trp_smith_moria_pl|кузню
trp_smith_dale|Ардель Вогнянарука
trp_smith_dale_pl|кузню
trp_smith_esgaroth|Келегарн Майстер Луків
trp_smith_esgaroth_pl|кузню
trp_smith_erebor|Трор Молотобоєць
trp_smith_erebor_pl|прославлені гномі кузні
trp_smith_dunland|Дорровульд Залізна Піка
trp_smith_dunland_pl|кузню
trp_smith_harad|Хар Сталелом
trp_smith_harad_pl|кузню
trp_smith_khand|Пушурт Хитрун
trp_smith_khand_pl|кузню
trp_smith_umbar|Фуінур Коваль
trp_smith_umbar_pl|кузню
trp_smith_imladris|Дуіфіріан
trp_smith_imladris_pl|ельфійські збройові майстерні
trp_smith_dolguldur|Штазг Дулбаш
trp_smith_dolguldur_pl|кузню
trp_smith_north_rhun|Вогнемир Кладіво
trp_smith_north_rhun_pl|польову кузню
trp_smith_gundabad|Блург Снігопродавець
trp_smith_gundabad_pl|кузню
trp_smith_ironhill|Коваль з Залізних пагорбів
trp_smith_ironhill_pl|Гномью польову кузню
trp_town_50_weaponsmith|Шруклуг Точильник Ножів
trp_town_50_weaponsmith_pl|кузню
trp_smith_gondor_ac|Бор Зброяр
trp_smith_gondor_ac_pl|польову кузню
trp_smith_rohan_ac|Деор Шоломороб
trp_smith_rohan_ac_pl|польову кузню
trp_smith_mordor_ac|Хурбаг Коваль
trp_smith_mordor_ac_pl|кузню
trp_smith_isengard_ac|Бурз Залізнобій
trp_smith_isengard_ac_pl|підземну кузню
trp_smith_lorien_ac|Діміріан Стрілороб
trp_smith_lorien_ac_pl|ельфійські збройові майстерні
trp_smith_woodelf_ac|Доелат
trp_smith_woodelf_ac_pl|кузню
trp_smith_dwarf_ac|Коваль з Залізних пагорбів
trp_smith_dwarf_ac_pl|Гномью польову кузню
trp_smith_gundabad_ac|Блург Снігопродавець
trp_smith_gundabad_ac_pl|кузню
trp_smith_rhun_ac|Бранімір Бронник
trp_smith_rhun_ac_pl|польову кузню
trp_smith_guldur_ac|Штазг Дулбаш
trp_smith_guldur_ac_pl|кузню
trp_smith_imladris_ac|Дуіфіріан
trp_smith_imladris_ac_pl|ельфійські збройові майстерні
trp_smith_dunland_ac|Дорровульд Залізна Піка
trp_smith_dunland_ac_pl|кузню
trp_smith_harad_ac|Хар Сталелом
trp_smith_harad_ac_pl|кузню
trp_smith_khand_ac|Пушурт Хитрун
trp_smith_khand_ac_pl|кузню
trp_smith_umbar_ac|Фуінур Коваль
trp_smith_umbar_ac_pl|кузню
trp_smith_moria_ac|Бургак Коваль
trp_smith_moria_ac_pl|кузню
trp_smith_dale_ac|Ардель Вогнянарука
trp_smith_dale_ac_pl|кузню
trp_smith_beorn_ac|Беорналаф Сокиророб
trp_smith_beorn_ac_pl|кузню
trp_smith_woodelf_west_camp|Доелат
trp_smith_woodelf_west_camp_pl|кузню
trp_smith_woodmen|Беорналаф Сокиророб
trp_smith_woodmen_pl|кузню
trp_smith_beorn_v|Беорналаф Сокиророб
trp_smith_beorn_v_pl|кузню
trp_smith_troll_cave|Бургак Коваль
trp_smith_troll_cave_pl|кузню
trp_smith_dg_outpost|Штазг Дулбаш
trp_smith_dg_outpost_pl|кузню
trp_smith_main_rhun|Бранімір Бронник
trp_smith_main_rhun_pl|польову кузню
trp_smith_south_rhun|Бранімір Бронник
trp_smith_south_rhun_pl|польову кузню
trp_smith_gundabad_ne|Блург Снігопродавець
trp_smith_gundabad_ne_pl|кузню
trp_smith_gundabad_nw|Блург Снігопродавець
trp_smith_gundabad_nw_pl|кузню
trp_smith_gundabad_s|Блург Снігопродавець
trp_smith_gundabad_s_pl|кузню
trp_smith_gundabad_m|Блург Снігопродавець
trp_smith_gundabad_m_pl|кузню
trp_barman_eastemnet|Господар таверни
trp_barman_eastemnet_pl|Замок
trp_barman_westfold|Господар таверни
trp_barman_westfold_pl|Замок
trp_barman_westemnet|Господар таверни
trp_barman_westemnet_pl|Замок
trp_barman_eastfold|Господар таверни
trp_barman_eastfold_pl|Замок
trp_barman_baraddur|Господар таверни
trp_barman_baraddur_pl|Замок
trp_barman_morannon|Господар таверни
trp_barman_morannon_pl|Печеру повелителя
trp_barman_mmorgul|Господар таверни
trp_barman_mmorgul_pl|Твердиню
trp_merchant_main_rhun|Відає запасами
trp_merchant_main_rhun_pl|польовий склад
trp_merchant_dg_outpost|Відає запасами
trp_merchant_dg_outpost_pl|Стайня та склад
trp_merchant_woodelf_west_camp|Відає запасами
trp_merchant_woodelf_west_camp_pl|ельфійські склади
trp_merchant_gundabad_m|Відає запасами
trp_merchant_gundabad_m_pl|польовий склад
trp_merchant_gundabad_s|Відає запасами
trp_merchant_gundabad_s_pl|польовий склад
trp_merchant_gundabad_nw|Відає запасами
trp_merchant_gundabad_nw_pl|польовий склад
trp_merchant_gundabad_ne|Відає запасами
trp_merchant_gundabad_ne_pl|польовий склад
trp_merchant_troll_cave|Відає запасами
trp_merchant_troll_cave_pl|варгську яму та склад
trp_merchant_beorn_v|Відає запасами
trp_merchant_beorn_v_pl|Стайня та склад
trp_merchant_orc_sentry|Відає запасами
trp_merchant_orc_sentry_pl|польовий склад
trp_merchant_candros|Відає запасами
trp_merchant_candros_pl|Стайня та склад
trp_merchant_hannun|Відає запасами
trp_merchant_hannun_pl|підтримка стрільців
trp_merchant_mtirith|Відає запасами
trp_merchant_mtirith_pl|Стайня та склад
trp_merchant_pelargir|Відає запасами
trp_merchant_pelargir_pl|Стайня та склад
trp_merchant_linhir|Відає запасами
trp_merchant_linhir_pl|Стайня та склад
trp_merchant_dolamroth|Відає запасами
trp_merchant_dolamroth_pl|Стайня та склад
trp_merchant_edhellond|Відає запасами
trp_merchant_edhellond_pl|Стайня та склад
trp_merchant_lossarnach|Відає запасами
trp_merchant_lossarnach_pl|Стайня та склад
trp_merchant_tarnost|Відає запасами
trp_merchant_tarnost_pl|Стайня та склад
trp_merchant_erech|Відає запасами
trp_merchant_erech_pl|Стайня та склад
trp_merchant_pinnath|Відає запасами
trp_merchant_pinnath_pl|Стайня та склад
trp_merchant_eosgiliath|Відає запасами
trp_merchant_eosgiliath_pl|Стайня та склад
trp_merchant_wosgiliath|Відає запасами
trp_merchant_wosgiliath_pl|Стайня та склад
trp_town_12_horse_merchant|Відає запасами
trp_town_12_horse_merchant_pl|Стайня та склад
trp_town_13_horse_merchant|Відає запасами
trp_town_13_horse_merchant_pl|Стайня та склад
trp_merchant_edoras|Відає запасами
trp_merchant_edoras_pl|Стайня та склад
trp_merchant_aldburg|Відає запасами
trp_merchant_aldburg_pl|Королівські стайні та склад
trp_merchant_hornburg|Відає запасами
trp_merchant_hornburg_pl|Стайня та склад
trp_merchant_eastemnet|Відає запасами
trp_merchant_eastemnet_pl|Стайня та склад
trp_merchant_westfold|Відає запасами
trp_merchant_westfold_pl|Стайня та склад
trp_merchant_westemnet|Відає запасами
trp_merchant_westemnet_pl|Стайня та склад
trp_merchant_eastfold|Відає запасами
trp_merchant_eastfold_pl|Стайня та склад
trp_town_21_horse_merchant|Відає запасами
trp_town_21_horse_merchant_pl|Вовчу яму і склад
trp_merchant_morannon|Відає запасами
trp_merchant_morannon_pl|Вовчу яму і склад
trp_merchant_mmorgul|Відає запасами
trp_merchant_mmorgul_pl|Вовчу яму і склад
trp_town_24_horse_merchant|Відає запасами
trp_town_24_horse_merchant_pl|Вовчу яму і склад
trp_merchant_orc_patrol|Відає запасами
trp_merchant_orc_patrol_pl|польовий склад
trp_merchant_isengard|Відає запасами
trp_merchant_isengard_pl|польовий склад
trp_town_27_horse_merchant|Відає запасами
trp_town_27_horse_merchant_pl|варгську яму та склад
trp_merchant_uoutpost|Відає запасами
trp_merchant_uoutpost_pl|варгську яму та склад
trp_merchant_uhcamp|Відає запасами
trp_merchant_uhcamp_pl|варгську яму та склад
trp_merchant_urcamp|Відає запасами
trp_merchant_urcamp_pl|варгську яму та склад
trp_merchant_cgaladhon|Відає запасами
trp_merchant_cgaladhon_pl|ельфійські склади
trp_merchant_cdolen|Відає запасами
trp_merchant_cdolen_pl|ельфійські склади
trp_merchant_camroth|Відає запасами
trp_merchant_camroth_pl|ельфійські склади
trp_merchant_thranduils_halls|Відає запасами
trp_merchant_thranduils_halls_pl|ельфійські склади
trp_merchant_woodelf_camp|Відає запасами
trp_merchant_woodelf_camp_pl|ельфійські склади
trp_merchant_woodmen|Відає запасами
trp_merchant_woodmen_pl|Стайня та склад
trp_merchant_beorn|Відає запасами
trp_merchant_beorn_pl|Стайня та склад
trp_merchant_moria|Відає запасами
trp_merchant_moria_pl|варгську яму та склад
trp_merchant_dale|Відає запасами
trp_merchant_dale_pl|Стайня та склад
trp_merchant_esgaroth|Відає запасами
trp_merchant_esgaroth_pl|Стайня та склад
trp_merchant_erebor|Відає запасами
trp_merchant_erebor_pl|Гномові склади
trp_merchant_dunland|Дунлендінг-відаючий запасами
trp_merchant_dunland_pl|польовий склад
trp_merchant_harad|Харадець-відаючий запасами
trp_merchant_harad_pl|польовий склад
trp_merchant_khand|Варьяг-відаючий запасами
trp_merchant_khand_pl|польовий склад
trp_merchant_umbar|Відає запасами
trp_merchant_umbar_pl|польовий склад
trp_merchant_imladris|Відає запасами
trp_merchant_imladris_pl|польовий склад
trp_merchant_dolguldur|Відає запасами
trp_merchant_dolguldur_pl|Стайня та склад
trp_merchant_north_rhun|Відає запасами
trp_merchant_north_rhun_pl|польовий склад
trp_merchant_south_rhun|Відає запасами
trp_merchant_south_rhun_pl|польовий склад
trp_merchant_gundabad|Відає запасами
trp_merchant_gundabad_pl|польовий склад
trp_merchant_ironhill|Відає запасами
trp_merchant_ironhill_pl|Гномові склади
trp_town_50_horse_merchant|Гобріп Жовтозуб
trp_town_50_horse_merchant_pl|варгську яму та склад
trp_merchant_calembel|Відає запасами
trp_merchant_calembel_pl|Стайня та склад
trp_elder_mtirith|Управитель Мінас-Тіріту
trp_elder_mtirith_pl|Біле місто
trp_elder_pelargir|Управитель Пеларгіра
trp_elder_pelargir_pl|місто
trp_elder_linhir|Управитель Лінхіра
trp_elder_linhir_pl|місто
trp_elder_dolamroth|Управитель Дол-Амроту
trp_elder_dolamroth_pl|місто
trp_elder_edhellond|Управитель Еделлонда
trp_elder_edhellond_pl|місто
trp_elder_lossarnach|Управитель Лоссарнаха
trp_elder_lossarnach_pl|поселення
trp_elder_tarnost|Управитель Калембеля
trp_elder_tarnost_pl|поселення
trp_elder_erech|Управитель Ереху
trp_elder_erech_pl|поселення
trp_elder_pinnath|Старійшина Піннат-Геліну
trp_elder_pinnath_pl|поселення
trp_elder_ethring|Управитель Калембелю
trp_elder_ethring_pl|місто
trp_elder_henneth|Управитель Хеннет-Аннуна
trp_elder_henneth_pl|притулок рейнджерів
trp_elder_cairandros|Управитель Кайра-Андроса
trp_elder_cairandros_pl|острівну фортецю
trp_elder_edoras|Тан Едорасу
trp_elder_edoras_pl|місто
trp_elder_aldburg|Тан Альдбургу
trp_elder_aldburg_pl|поселення
trp_elder_hornburg|Тан Хорнбургу
trp_elder_hornburg_pl|фортеця
trp_elder_eastemnet|Тан Вестемнета
trp_elder_eastemnet_pl|поселення
trp_elder_westfold|Тан Вестфольда
trp_elder_westfold_pl|поселення
trp_elder_westemnet|Тан Вестемнета
trp_elder_westemnet_pl|поселення
trp_elder_eastfold|Тан Істфолда
trp_elder_eastfold_pl|поселення
trp_elder_morannon|Управитель Мораннону
trp_elder_morannon_pl|печери у Великих Воріт
trp_elder_mmorgul|Моргульський Управитель
trp_elder_mmorgul_pl|зловісне місто
trp_elder_cungol|Табірний Управитель
trp_elder_cungol_pl|табір
trp_elder_isengard|Ґріма Гадючий Язик
trp_elder_isengard_pl|місто
trp_elder_cgaladhon|Лоріенський хранитель звичаїв
trp_elder_cgaladhon_pl|лісову фортецю ельфів
trp_elder_cdolen|Лоріенський хранитель звичаїв
trp_elder_cdolen_pl|табір
trp_elder_camroth|Лоріенський хранитель звичаїв
trp_elder_camroth_pl|табір
trp_elder_thalls|Темнолісський старійшина
trp_elder_thalls_pl|печери ельфів
trp_elder_imladris|Управитель табору Рівенделла
trp_elder_imladris_pl|табір
trp_elder_wvillage|П'єр Лісовик
trp_elder_wvillage_pl|село
trp_elder_beorn|Беорнінгський старійшина
trp_elder_beorn_pl|село
trp_elder_harad|Харадський Управитель табору
trp_elder_harad_pl|табір
trp_elder_rhun|Верховний жрець Рун
trp_elder_rhun_pl|табір
trp_elder_khand|Кхандський Управитель табору
trp_elder_khand_pl|табір
trp_elder_dunland|Дунландський Управитель табору
trp_elder_dunland_pl|табір
trp_elder_umbar|Умбарський Управитель табору
trp_elder_umbar_pl|укріплений табір
trp_elder_moria|Моріїський вождь
trp_elder_moria_pl|Копальні
trp_elder_gunda|Господар Печер
trp_elder_gunda_pl|печери
trp_elder_dale|Дейльський Управитель
trp_elder_dale_pl|місто
trp_elder_esgaroth|Управитель Есгарота
trp_elder_esgaroth_pl|Озерне місто
trp_elder_erebor|Управитель Еребора
trp_elder_erebor_pl|Підгірні палаци
trp_elder_dolguldur|Гулдурський Управитель
trp_elder_dolguldur_pl|чорну твердиню
trp_elder_wosgiliath|Управитель табору
trp_elder_wosgiliath_pl|табір
trp_elder_oscamp|Управитель табору
trp_elder_oscamp_pl|табір
trp_elder_eosgiliath|Управитель табору
trp_elder_eosgiliath_pl|табір
trp_elder_uoutpost|Управитель табору
trp_elder_uoutpost_pl|табір
trp_elder_uhcamp|Управитель табору
trp_elder_uhcamp_pl|табір
trp_elder_urcamp|Управитель табору
trp_elder_urcamp_pl|табір
trp_elder_woodelf_camp|Староста
trp_elder_woodelf_camp_pl|табір
trp_elder_woodelf_west_camp|Староста
trp_elder_woodelf_west_camp_pl|табір
trp_elder_beorn_v|Староста Беорнів
trp_elder_beorn_v_pl|село
trp_elder_troll_cave|Ватажко Печер
trp_elder_troll_cave_pl|печери
trp_elder_dg_outpost|Управитель табору
trp_elder_dg_outpost_pl|табір
trp_elder_rhun_sc|Рунійський Управитель табору
trp_elder_rhun_sc_pl|табір
trp_elder_rhun_nc|Рунійський Управитель табору
trp_elder_rhun_nc_pl|табір
trp_elder_gunda_ne|Оркський Ватажок
trp_elder_gunda_ne_pl|табір
trp_elder_gunda_nw|Оркський Ватажок
trp_elder_gunda_nw_pl|табір
trp_elder_gunda_s|Оркський Ватажок
trp_elder_gunda_s_pl|табір
trp_elder_gunda_m|Оркський Ватажок
trp_elder_gunda_m_pl|табір
trp_elder_ironhill|Табірний Управитель
trp_elder_ironhill_pl|табір
trp_village_1_elder|Повелитель Батога
trp_village_1_elder_pl|печери
trp_tutorial_chest_1|Скриня для холодної зброї
trp_tutorial_chest_2|Скриня для стрілецької зброї
trp_bonus_chest_1|Бонусна Скриня
trp_bonus_chest_2|Бонусна Скриня
trp_bonus_chest_3|Бонусна Скриня
trp_camp_chest_faction|Загальна Скриня
trp_camp_chest_none|Нічийна скриня
trp_player_chest|Ваша Скриня
trp_local_merchant|Місцевий торговець
trp_local_merchant_pl|Місцеві торговці
trp_tax_rebel|Селянин-Бунтар
trp_tax_rebel_pl|Селяни-Бунтарі
trp_trainee_peasant|Селянин
trp_trainee_peasant_pl|Селяни
trp_fugitive_man|Підозрілий чоловік
trp_fugitive_man_pl|Підозрілі люди
trp_fugitive_elf|Підозрілий ельф
trp_fugitive_elf_pl|Підозрілі ельфи
trp_fugitive_dwarf|Підозрілий гном
trp_fugitive_dwarf_pl|Підозрілі гноми
trp_fugitive_orc|Підозрілий орк
trp_fugitive_orc_pl|Підозрілі орки
trp_spy|Лукавий корсар
trp_spy_pl|Лукаві корсари
trp_spy_evil|Лукавий Південник
trp_spy_evil_pl|Лукаві Південці
trp_spy_partner|Спільник шпигуна
trp_spy_partner_pl|Спільники шпигунів
trp_spy_partner_evil|Спільник шпигуна
trp_spy_partner_evil_pl|Спільники шпигунів
trp_easter_egg_troll|Троль
trp_treebeard|Древлен
trp_ent_1|Скородум
trp_ent_2|Фінглас
trp_ent_3|Фладриф
trp_gandalf|Гендальф
trp_gandalf_pl|Доморощені Гендальфи
trp_nazgul|Назгул
trp_nazgul_pl|Одомашнений Назгул
trp_radagast|Радагаст
trp_barman|Бармен
trp_elder|Старійшина
trp_gear_merchant|Торговець спорядженням
trp_goods_merchant|Торговець провізією
trp_start_quest_caravaneer|Торбал Караванник
trp_dorwinion_bandit|Дорвініонський Розбійник
trp_dorwinion_bandit_pl|Дорвініонські Розбійники
trp_dorwinion_raider|Дорвініонський Грабіжник
trp_dorwinion_raider_pl|Дорвініонські Грабіжники
trp_city_guard|Міський стражник
trp_city_guard_pl|Міські стражники
trp_orc_sentry|Орк-Часовий
trp_orc_sentry_pl|Орки-Часові
trp_uruk_hai_sentry|Урук-Хай Часовий
trp_uruk_hai_sentry_pl|Урук-Хайї Часові
trp_black_numenorean_sorcerer|Чорний нуменорець-Чаклун
trp_black_numenorean_sorcerer_pl|Чорні нуменорці-Чаклуни
trp_evil_priest|Служитель зла
trp_evil_priest_pl|Служитель зла
trp_wolf_rider_of_mirkwood|Вовчий вершник Темнолісся
trp_wolf_rider_of_mirkwood_pl|Вовчі вершники Темнолісся
trp_warg_rider_of_mirkwood|Темнолісський вершник на Варзі
trp_warg_rider_of_mirkwood_pl|Темнолісські вершники на Варзі
trp_gate_aggravator|Сторож
trp_orc_pretender|Претендент на лідерство
trp_human_prisoner|Полонена людина
trp_spider|Павук з Темнолісся
trp_spider_pl|Павуки з Темнолісся
trp_bear|Ведмідь
trp_bear_pl|Ведмеді
trp_wolf|Вовк
trp_wolf_pl|Вовки
trp_dorwinion_sack|Дорвініонський мішок
trp_ring_hunter_captain|Командир Мисливців за Перснем
trp_ring_hunter_lt|Командир Мисливців за Перснем
trp_ring_hunter_one|Мисливець за Перснем
trp_ring_hunter_one_pl|Мисливці за Перснем
trp_ring_hunter_two|Мисливець за Перснем
trp_ring_hunter_two_pl|Мисливці за Перснем
trp_ring_hunter_three|Мисливець за Перснем
trp_ring_hunter_three_pl|Мисливці за Перснем
trp_ring_hunter_four|Мисливець за Перснем
trp_ring_hunter_four_pl|Мисливці за Перснем
trp_start_quest_uruk|Мордорський Урук-Капітан
trp_start_quest_orc|Мордорський Орк-Лейтенант
trp_start_quest_orc_pl|Великі Орки Мордору
trp_start_quest_woodelf|Влучний стрілець галадрім
trp_start_quest_woodelf_pl|Влучні стрілки галадрім
trp_start_quest_mordor_scout|Мордорський Провідник
trp_start_quest_mordor_scout_pl|Мордорські Провідники
trp_start_quest_beorning|Беорнінгський Берсерк Каррока
trp_start_quest_beorning_pl|Беорнінгські Берсерки Каррока
trp_i6_beorning_bear_warrior|Воїн-ведмідь
trp_i6_beorning_bear_warrior_pl|Воїни-ведмеді
trp_morannon_healer|Окстук Лікар
trp_minas_tirith_healer|Лорет
trp_edoras_healer|Фрея Цілителька
trp_isengard_healer|Нургал Штопальник
trp_guldur_healer|Морнагар Грамарір
trp_gundabad_healer|Лургакх Третє Око
trp_mirkwood_healer|Корвіль М'якорукий
trp_hungry_uruk|Голодний Урук
trp_hungry_orc|Голодний Орк
trp_longing_lorien|Спрямований ельф
trp_longing_woodelf|Спрямований ельф
trp_longing_imladris|Спрямований ельф
trp_i5_moria_deep_dweller|Глибинний житель Морії
trp_i5_moria_deep_dweller_pl|Глибинні жителі Морії
trp_i5_moria_orc_chieftain|Орк-командир з Морії
trp_i5_moria_orc_chieftain_pl|Орки-командири Морії
trp_c5_rhovanion_noble|Знатний вершник Рованіона
trp_c5_rhovanion_noble_pl|Знатна кіннота Рованіона
trp_npc18|Турмбату
trp_npc19|Хейдрек
trp_npc20|Зігурфель
trp_werewolf|Перевертень
trp_werewolf_pl|Перевертні
trp_moria_troll|Печерний Троль
trp_moria_troll_pl|Печерні Тролі
trp_moria_vet_troll|Навчений Печерний Троль
trp_moria_vet_troll_pl|Навчені Печерні Тролі
trp_moria_armored_troll|Броньований Печерний Троль
trp_moria_armored_troll_pl|Броньовані Печерні Тролі
trp_gunda_troll|Гірський Троль
trp_gunda_troll_pl|Гірські Тролі
trp_gunda_vet_troll|Навчений Гірський Троль
trp_gunda_vet_troll_pl|Навчені Гірські Тролі
trp_gunda_placeholder|Навчений Гірський Троль
trp_gunda_placeholder_pl|Навчені Гірські Тролі
trp_isen_troll|Троль Ізенгарда
trp_isen_troll_pl|Тролі Ізенгарда
trp_isen_vet_troll|Обучений Троль Ізенгарда
trp_isen_vet_troll_pl|Обучені Тролі Ізенгарда
trp_isen_armored_troll|Бронирований Троль Ізенгарда
trp_isen_armored_troll_pl|Бронировані Тролі Ізенгарда
trp_mordor_troll|Мордорський Троль
trp_mordor_troll_pl|Мордорські Тролі
trp_mordor_vet_troll|Обучений Мордорський Троль
trp_mordor_vet_troll_pl|Обучені Мордорськи Тролі
trp_mordor_olog_hai|Мордорські Олог-Хайї
trp_mordor_olog_hai_pl|Мордорські Олог-Хайї
trp_troll_placeholder_1|Печерний Троль
trp_troll_placeholder_1_pl|Печерні Тролі
trp_troll_placeholder_2|Печерний Троль
trp_troll_placeholder_2_pl|Печерні Тролі
trp_troll_placeholder_3|Печерний Троль
trp_troll_placeholder_3_pl|Печерні Тролі
trp_troll_placeholder_4|Печерний Троль
trp_troll_placeholder_4_pl|Печерні Тролі
trp_troll_placeholder_5|Печерний Троль
trp_troll_placeholder_5_pl|Печерні Тролі
trp_troll_placeholder_6|Печерний Троль
trp_troll_placeholder_6_pl|Печерні Тролі
trp_wild_troll|Дикий Пещерний Троль
trp_wild_troll_pl|Дикі Пещерні Тролі
trp_ent|Ент
trp_ent_pl|Енти
trp_mountain_goblin|Гірський Гоблін
trp_mountain_goblin_pl|Гірські Гобліни
trp_tribal_orc|Дикій Орк
trp_tribal_orc_pl|Дикі Орки
trp_tribal_orc_warrior|Дикій Орк-воїн
trp_tribal_orc_warrior_pl|Дикі Орки-воїни
trp_tribal_orc_chief|Вождь диких Орків
trp_tribal_orc_chief_pl|Вожді диких Орків
trp_a3_dism_skirmisher_of_rohan|Застрільник Рогана
trp_a3_dism_skirmisher_of_rohan_pl|Застрільники Рогана
trp_a4_dism_veteran_skirmisher_of_rohan|Досвідчений застрільник Рогана
trp_a4_dism_veteran_skirmisher_of_rohan_pl|Досвідчені застрільники Рогана
trp_a5_dism_elite_skirmisher_of_rohan|Добірний застрільник Рогана
trp_a5_dism_elite_skirmisher_of_rohan_pl|Добірні застрільники Рогана
trp_ac5_camel_rider|Погоничі верблюдів Харада
trp_ac5_camel_rider_pl|Вершники на верблюдах Харада
trp_aragorn|Арагорн
trp_legolas|Леґолас
trp_gimli|Ґімлі
trp_pippin_notmet|Гобіти
trp_merry_notmet|Гобіти
trp_pippin|Піпін
trp_merry|Меррі
