
str_yes|예
str_dwarf_rumor_11|좋아, 브라이언, 난 광산을 열거야! 뭐? 허? 좋아, 브라이언, 난 광산을 열거야!
str_dwarf_rumor_12|우리, 난쟁이들은 항상 광산에 출구를 하나 더 만들어놓지, 그리고 비밀 출구를 또 하나 더 만들어놓지!
str_dwarf_rumor_13|이상한 것이야말로 남자들의 길이지.
str_dwarf_rumor_14|불굴의 두린 일족이 산 밑의 노래와 함께 깨어났다. 하프 연주자들이 하프를 연주하고, 음유시인들이 노래를 부르고, 성문의 우렁찬 나팔이 울려퍼졌다.
str_dwarf_rumor_15|*조용히 콧노래를 부르며* 인간을 죽여라! 요정들을 죽여라! 우리가 쓸 금을 남겨놔라!
str_mordor_rumor_begin|Lugbúrz 가 명령한다!
str_mordor_rumor_2|모든 남자들은 나즈굴 앞에 쓰러질 것이다!
str_mordor_rumor_3|어서 일하지 않고 뭐하나, 글롭! 눈께서 보고 계신다!
str_mordor_rumor_4|곧, 어둠이 도래하리라! Durb-burz!
str_mordor_rumor_5|배고프다! 음식은 어디있지?
str_mordor_rumor_6|우리는 백색 도시의 인간 고기로 축제를 벌일 것이다!
str_mordor_rumor_7|주인님께서 전쟁을 위해 올로그-하이를 훈련시켰다!
str_mordor_rumor_8|엄청 커다란 와르그가 내 손가락을 물었어! 정말 아팠어! 썩을 와르그들!
str_mordor_rumor_9|절대 사루만 녀석을 믿지 마!
str_mordor_rumor_10|산 오르크 놈들은 약하다! 우리는 강하다! 우리는 부족 스나가들을 먹어치울 것이다!
str_mordor_rumor_11|Uruk glob ishi krimp shar-kûk. (우르크 놈들은 사루만의 것이다)
str_mordor_rumor_12|Nazgûl ronk ishi gimb olog-hosh sha uruk-bag. (반지 악령이 구덩이에서 트롤 내장과 오크 똥을 찾았다!) 하하하!
str_mordor_rumor_13|스나가가 내 고기를 훔쳐갔어, 개자식!
str_mordor_rumor_14|Gu kibum kelkum-ishi, burzum-ishi. Akha-gum-ishi ashi gurum.
str_mordor_rumor_15|Isengard uruk-hai u bagronk sha pushdug Saruman-glob bubhosh skai! (아이센가드 우루크-하이, 냄새나는 사루만 돼지 새끼들!)
str_mordor_rumor_16|누가 널 욕해 - 그럼 죽여. 누가 네게 덤벼 - 그럼 죽여. 누가 널 꼬나봐 - 그럼 죽여. 누가 죽어 - 먹어치워.
str_mordor_rumor_17|사루만의 우루크-하이는 햇빛을 두려워하지 않는다던데. Bûbhosh skai! (돼지 새끼들!)
str_mordor_rumor_18|모두 죽었다네, 모두 썩었다네, 요정과 인간과 오르크 가리지 않고, 죽음의 늪에서!
str_mordor_rumor_19|나즈굴과 그 먹이 사이에 서지 마라!
str_mordor_rumor_20|아이센가드놈들? 더럽고 쬐끄만한 마법사가 만든 그 똥 퍼먹는 놈들! 분명 놈들은 오르크 고기를 먹을거야, 내 경고하지.
str_mordor_rumor_21|어둠숲은 이미 우리 것이다, 멍청한 요정 놈들은 그걸 깨닫지 못했을 뿐.
str_mordor_rumor_22|이실리엔에서 기습당하고 싶지 않으면 귀를 쫑긋 세우는 게 좋을거야. 빌어먹을 초록 망토들..
str_mordor_rumor_23|채찍질이 있는 곳에 길이 있다.
str_isengard_rumor_begin|샤르쿠가 명하노라!
str_isengard_rumor_2|말박이 놈들은 우리 먹이다! Bubhosh! (돼지새끼들!)
str_isengard_rumor_3|기마 민족들에게 파이크 맛을 보여주자! 하 하 하!
str_isengard_rumor_4|사루만은 재주도 많지! 강철과 화약이라니!
str_isengard_rumor_5|야만인 놈들은 냄새난다! 하지만 샤르쿠는 현명하지. 놈들을 어떻게 다루는 지 알고 있어.
str_isengard_rumor_6|모리아 쓰레기들이 올로그-하이를 만들었다! 커다랗다! Skai!
str_isengard_rumor_7|현명한 주인님께서 우루크-하이를 강하게 만드신다!
str_isengard_rumor_8|와르그가 말보다 빠르다! 말을 먹어치운다!
str_isengard_rumor_9|우루크-하이가 기마 민족을 짓밟을 것이다!
str_isengard_rumor_10|갈아넣어! 갈아넣어! 갈아넣어!
str_isengard_rumor_11|Uruk glob ishi krimp shar-kûk. (우르크들은 사루만의 것이다)
str_isengard_rumor_12|숲을 불태워라! 무기를 만들어라! 말 타는 놈들을 죽여라!
str_isengard_rumor_13|광전사들이 우릴 썰어버리기 전에 떨어져라!
str_isengard_rumor_14|광전사가 기마창에 정통으로 관통당한 걸 본 적 있지. 내장 묻은 창 째로 그대로 잡아당겨 인간 놈을 패대기 치더군.
str_isengard_rumor_15|나는 산의 그 돼지새끼들을 믿지 않아. 우리 아이센가드는 놈들 없어도 전쟁에서 승리할 수 있다!
str_isengard_rumor_16|백색 손의 이름으로! 절반도 훈련 받지 못한 산 쓰레기놈들이 우리와 어떻게 함께 싸울 수 있겠나! 저주받을 북부 고블린, 오르크 놈들!
str_isengard_rumor_17|내 칼로 포로들을 좀 간질여줘야겠군. 가끔 그 불쌍한 쥐새끼들을 꽥꽥거리게 할 필요가 있어!
str_isengard_rumor_18|Lugbúrz의 쥐새끼들과 쓰레기 새끼들이 할 수 있는 게 딱 한가지 있지. 어둠 속에서도 송곳처럼 잘 볼 수 있다는 것.
str_isengard_rumor_19|우린 숲을 베어넘기고 있지, 많은 오르크들이 그 안에 들어갔지만, 다신 나오지 못해.
str_isengard_rumor_20|채찍질이 있는 곳에 길이 있다.
str_rhun_rumor_begin|비바람처럼 달려라!
str_rhun_rumor_2|난쟁이들은 욕심이 많고 비열하지. 그리고 너른곤 놈들은 그들이 우리를 착취하고 속이는 걸 돕고.
str_rhun_rumor_3|얼마 전에 세 명의 마법사가 우리 땅에 왔다. 그들이 무엇을 하고 있는지 궁금하군.
str_rhun_rumor_4|우리 땅은 광활하고 인적이 드물지. 하지만 우린 거기서 살아남는 법을 알고 있다.
str_rhun_rumor_5|한때 우리는 요정이나 난쟁이들과 우리의 와인과 비옥한 땅의 담배잎을 거래하곤 했다. 하지만 놈들이 우리를 속이고 거짓말을 했어!
str_rhun_rumor_6|칸드에서 온 우리의 친척들은 걸어서 싸우는 것을 선호한다지만, 우리는 말을 타는 것이 더 낫다는 것을 안다.
str_rhun_rumor_7|우리는 전에도 곤도르 군대를 물리친 적이 있다, 이번에도 그렇게 될 것이다!
str_rhun_rumor_8|우린 죽을 때까지 싸운다! 절대 물러서지 않아, 뒤돌아 도망가지 않아! 뒷걸음질치지 않는다!
str_rhun_rumor_9|동부에서 붉은 새벽이 떠오른다, 서부에는 붉은 황혼이 지리라!
str_rhun_rumor_10|요정 여자? 하, 연약해!
str_rhun_rumor_11|내 아들들은 이미 적들의 머리통을 내게 가져왔지, 내 딸은 고환 한 줌을 가져오더군. 하 하 하!
str_rhun_rumor_12|오르크 놈들은 명예나 요령이 없는 놈들이지. 전장에서 놈들은 하등 쓸모가 없어.
str_rhun_rumor_13|인생의 즐거움 말인가? 적들을 박살내고, 놈들을 몰아붙인 뒤, 그 여자들의 탄식 소리를 듣는 거지.
str_dunland_rumor_begin|우리는 그 밀짚머리 놈들이 무릎을 꿇을 때까지 복수를 그치지 않을 것이다!
str_dunland_rumor_2|로한 개자식들은 특히 밤에 말들 상대를 해준다지! 하 하 하!
str_dunland_rumor_3|밤 늑대는 어둠 속에도 볼 수 있다. 밤이라 할지라도, 그들의 투창은 절대 목표를 빗나가는 일이 없지.
str_dunland_rumor_4|포르고일에게 죽음을! 밀짚대가리들에게 죽음을! 북부의 도적놈들에게 죽음을!
str_dunland_rumor_5|로한이라 부르는 그 땅은 우리 조상들의 땅이다! 우리 아버지들의 원수를 갚고 그 더러운 땅도둑놈들을 몰아낼 것이다.
str_dunland_rumor_6|포르고일에게 절대 붙잡히지 마, 아니면 놈들이 널 산채로 붙잡아 불태우고 고문할테니까!
str_dunland_rumor_7|우리는 늑대의 피의 욕망이요, 맷돼지의 힘과 같도다!
str_dunland_rumor_8|포르고일들은 우리가 야만적이고 멍청하다고 생각하겠지. 우리 창병과 놈들 기병들이 만난 뒤에 놈들이 뭐라고 생각할지 보자.
str_dunland_rumor_9|아이센가드의 까마귀들이 밀짚대가리들의 눈알을 파먹고, 던랜드의 늑대들이 놈들 목을 물어뜯는다.
str_dunland_rumor_10|나는 맨 손으로 늑대를 잡아죽였다. 잔가지처럼 말 타는 놈들의 목을 부러트렸다! 으아아!
str_dunland_rumor_11|우리 대장이 고분에서 오래된 청동검을 발견했다. 그는 그것을 꺾어 늪지대에 던졌다. 언덕의 영혼들이 틀림없이 우리 편이 될 것이다. 오래된 전통이다.
str_dunland_rumor_12|내 조상들은 망할 포르고일 놈들, 프레가와 울프에 대항해 싸웠다. 우리는 그들의 용기를 기억한다.
str_beorn_rumor_begin|숲은 광활하고 온갖 종류의 생물들이 그 안에 살지.
str_beorn_rumor_2|야생 꿀벌들이 최고의 꿀을 만들지!
str_beorn_rumor_3|숲 요정들은 잘 보이지 않지만, 친절하다. 산의 난쟁이들은 시끌벅적하고 명랑하다. 너른골의 인간들은 열심히 일한다.
str_beorn_rumor_4|낯선 짐승들이 우리 땅을 지나가는 것을 보았다.
str_beorn_rumor_5|온 밤 동안 잠을 자고, 온 낮 동안 일한다!
str_beorn_rumor_6|저편 산에서 악이 슬금슬금 다가오고 있다.
str_beorn_rumor_7|위대한 숲도 이젠 예전같지 않군!
str_beorn_rumor_8|도끼의 힘은 날에서 나오는 것이 아니라, 손잡이에서 나온다.
str_beorn_rumor_9|우리는 겨울을 견디기 위해 겨울잠을 잔다. 뭐? 맞아, 우리는 이렇게 겨울을 보내기 전 가을에 잔뜩 먹어둬.
str_beorn_rumor_10|로한인들은 우리의 친족이요, 곰들은 우리의 핏줄이요, 고블린들은 우리 먹잇감이다!
str_beorn_rumor_11|곰으로 변할 수 있느냐고? 당연히 못하지. 누가 그런 말을 해줬는데? 하 하 하!
str_beorn_rumor_12|베오른은 위대한 인간이지. 아, 인간이 아니던가, 거인이지!
str_beorn_rumor_13|가장 위대하고 대담한 나무꾼 전사들은 숲의 그림자를 두려워하지 않는다. 그들은 오르크나 숲을 배회하는 부정한 괴물들과 마찬가지로 어둠 속에서 싸울 수 있다.
str_beorn_rumor_14|홀로 산 속을 헤매지 마라! 곰들과 늑대들은 인간 무리로부터 멀리 떨어진다. 하지만 굶주림이나 그림자 속의 망령들은, 그들이 너희를 공격하기 충분할 정도로 가까이 몰아갈지도 모른다.
str_lorien_rumor_begin|오 로리엔! 거칠고 잎이 지는 겨울이 다가오는구나. 나뭇잎이 개울에 떨어지고, 강이 멀리 흘려보낸다.
str_lorien_rumor_2|갈라드리엘을 비난하지 마시오! 이 땅에는, 그리고 그녀에게는 악이라고는 없소. 외부인이 사악함을 불러들이지만 않는다면 말이오. 조심하시오!
str_lorien_rumor_3|세상은 위험으로 가득차있고, 많은 곳이 어둠에 잠겨있소. 하지만 여전히 공정한 곳이 많이 남아있소. 온 땅에 사랑과 슬픔이 뒤섞여있지만, 그걸 견뎌내고 더 위대하게 성장할 것이오.
str_lorien_rumor_4|선과 악은 지난 해 이후로 변하지 않았소. 요정과 난쟁이, 인간 사이에서 다른 것도 아니지. 자신의 집에서처럼, 황금숲에서처럼 그들을 분별하는 것은 인간의 몫이라오.
str_lorien_rumor_5|증오는 스스로를 다치게 하는 법이라오!
str_lorien_rumor_6|고대 마법이 로스로리엔을 보호하고 있소, 너무 강력해서 어둠이 감히 도전할 엄두조차 내지 못하지.
str_lorien_rumor_7|Nathlo i nathal! (반갑소!) 당신은 황금 숲 안에서 안전할 것이오. Posto vae - 편히 쉬고, 마시고 먹으시오. 그리고 떠날 때가 되면, 한때 로리엔이 어떤 모습이었는지 기억을 갖고 떠나시오.
str_lorien_rumor_8|바다가 모두를 부른다고들 말하지. 나 역시 어느날 갈매기 소리가 나를 부르면, Laurelindórenan을 영원히 떠나게 될 것이오.  I Harthon an lend and (긴 여정이 되겠지).
str_lorien_rumor_9|Av-'osto - 두려워 마시오! 우리의 회색 망토보다 이곳의 적들로부터 보호해주는 것은 없다오.
str_imladris_rumor_begin|모든 요정들과 인간들, 자유민들의 축복이 그대와 함께하길.
str_imladris_rumor_2|그대 앞길을 별들이 비춰주기를!
str_imladris_rumor_3|사물을 부수어 알아가는 자는 지혜의 길로부터 멀다고 할 수 있소.
str_imladris_rumor_4|우리는 분명 험난한, 누구도 예상 못한 길을 걸어야할것이오. 그곳에 우리의 희망이 있소, 희망이란 것이 존재한다면 말이오.
str_imladris_rumor_5|절망은 의심의 여지 없이 끝을 마주한 이를 위한 것이오. 우리는 그렇지 않소.
str_imladris_rumor_6|아무리 추운 겨울이라도 꽃이 피어나는 봄이 온다오. 그리고 아무리 긴 밤일지라도, 새로운 새벽이 오기 마련이라오.
str_imladris_rumor_7|내가 마지막으로 전쟁에 나섰을 대 많은 사람들이 모였소. 우리 검이 내뿜는 빛은 불꽃의 갈대밭 같았지. 그래서 임라드리스에 많은 자들이 남아있지는 않소.
str_imladris_rumor_8|Áva rucë (두려워마시오)! 엘다르가 용감한 에다인의 곁에서 적에게 맞서싸우고자 군대를 일으켰소. 어쩌면 이 전쟁이 마지막일지 누가 알겠소? 우리는 전쟁과 불꽃, 밤의 끝에 대해서 노래한다오.
str_imladris_rumor_9|나는 동부에서 온 인간들이 어둠의 군주의 깃발 아래에서 행군하는 것을 보았소. 마치 그들의 조상들이 재림한 것 같았소 - 최후의 동맹 전투에서 방패벽에 부딪힌 기병들이 산산조각 나는 것처럼. 에다인의 기억이 우리만큼 길었다면 좋으련만.
str_woodelf_rumor_begin|먼 옛날 요정 숙녀가 살고 있었지/낮에도 빛나는 별처럼/숙녀의 흰 망토는 금테를 둘렀고/구두는 은백색이었네.
str_woodelf_rumor_2|시간은 기다려주지 않지만, 모든 사물과 장소가 변화와 성장을 겪는 것은 아니라오. 요정들에게 있어 세상은 때때로 빠르게, 때때로 느리게 움직인다오. 왜 빠르냐하면, 그들 자신은 변하지 않으나 다른 것들이 빠르게 변하기 때문이며, 이것은 슬픔이라오. 왜 느리냐 하면, 그들은 그들 자신의 시간을 세지 않기 때문이라오.
str_woodelf_rumor_3|한때 아름다웠던 숲에 악과 어둠이 퍼져나간다. 그들을 멈추지 못한다면, 모든 희망과 모든 빛을 집어삼킬 것이오.
str_woodelf_rumor_4|빠르고 민첩하게, 조용하고 정확하게, 우리는 아직 어둠으로부터 우리 구역을 지켜낼 수 있소. 하지만 언제까지 그럴 수 있을까?
str_woodelf_rumor_5|쉬잇, no dhínen(조용히)! 많은 오르크들이 어슬렁거린다오. 방어할 준비를 해야하오!
str_woodelf_rumor_6|*당신을 응시한다, 당신 때문에 짜증난 것이 분명해보인다*
str_woodelf_rumor_7|Oduleg hi am man theled(왜 여기 있소)? 여기 온 그대의 목적을 알아야겠소. 강령술사의 첩자들이 사방에 있다오.
str_woodelf_rumor_8|너른골의 에다인들은 요즘 재미있는 것들을 만드나보더군! 나우그림으로부터 많은 것을 배웠나보오.
str_woodelf_rumor_9|돌 굴두르의 그림자가 퍼져나간다. 어둠의 생물들이 숲에서 나타나고, 우리의 전초기지는 공격당하고 있으며, 사냥꾼들은 사라져서 두번 다시 나타나지 않고 있지. 그래도 우리 순찰대는 35명이나 되지, 두려워할 정도로 성장했어!
str_dale_rumor_begin|처음에는 용이더니, 이제는...
str_dale_rumor_2|북쪽에서 내려오는 오르크들로는 충분하지 않았는지, 이젠 동부의 무리가 우리에게 오고 있다는군!
str_dale_rumor_3|용을 패배시킨 이후로, 우리는 적의 약점을 찾는 법을 배웠지.
str_dale_rumor_4|동부인들은 절대 우리와 우리의 동맹인 난쟁이들을 지나지 못할거야.
str_dale_rumor_5|태양이 긴 호수 너머로 떠오르는 것을 본 적이 있나? 그 빛깔이 내 심장을 고양시켜주곤 했지. 하지만 이젠 오직 붉은 여명만이 보이는 군. 불길한 징조야.
str_dale_rumor_6|난쟁이들은 지나치게 보물에 집착하는 경향이 있어. 우리는 참나무방패 소린을 어떻게 생각해야할지 아직도 모르겠다.
str_dale_rumor_7|로한인들은 우리의 먼 친척이며 우리가 사용하는 언어 역시 그들과 비슷한 점이 많지.
str_dale_rumor_8|에스가로스는 요정 언어 갈대에서 유래한 것이고, 근처 갈대밭에서 따온 이름이지. 알고 있었나?
str_dale_rumor_9|용은 아무도 다시 보고 싶어하지 않는 일종의 괴물이었다.
str_dale_rumor_10|우리의 번영은 난쟁이, 요정과의 무역에서 나오지. 하지만 난쟁이에게 팔기는 조금 어려워. 수익이 잘 안 나오거든.
str_harad_rumor_begin|검은 뱀은 빠르고 치명적이게 적의 숨통을 끊는다.
str_harad_rumor_2|뱀에 맹세코! 우리 짐승들이 곤도르인들을 진흙 속에 쳐박을 것이다.
str_harad_rumor_3|Odum vermajál otí verthaba av daranaja-e-jatánus(모두 죽이고 금을 가져와)!
str_harad_rumor_4|곤도르에는 수많은 금과 보석이 있지. 그 뒤편의 땅에는 훨씬 더 많을테고.
str_harad_rumor_5|우리는 수많은 약한 서부인들을 붙잡았고 뱀 신을 위해 제물로 바쳤다.
str_harad_rumor_6|해적들은 항해를 잘하고 나름 쓸모가 있지만, 너무 시끄럽고 불결하게 생긴데다 행동이 교활해.
str_harad_rumor_7|원 하라드에서 온 표범은 그들의 먹잇감을 밤에 숨어 사냥하지. 우리 적들은 그들이 가까이 오고 있는줄도 모를거야.
str_harad_rumor_8|칸드의 전사들은 맹렬하고 두려움이 없지만, 그들의 전략은 너무 단순해빠졌어.
str_harad_rumor_9|나는 서부에서 얻을 전리품을 기대하고 있다. 우리에겐 그걸 약속받았으니까. 그럼 나는 평화롭게 집으로 돌아가서 내 카펫 가게를 운영할 수 있겠지.
str_harad_rumor_10|무마킬에서 떨어지는게 좋을걸. 성질이 나빠서 순식간에 널 짓밟아버릴거야.
str_harad_rumor_11|하라드에는 사막과 정글, 산과 바다가 있다. 우리 민족은 우리 땅만큼 다양하고 모래알만큼 많다.
str_harad_rumor_12|하론도르의 기사들은 직검보다 사브르를 선호한다. 도망치는 소작농을 베어내는 데는 꽤 좋지만 강한 무장을 뚫으려면 창이나 좋은 칼이 필요해.
str_harad_rumor_13|내 친동생은 Karka에 가입했어 - 그는 이제 순찰대야. '늑대'의 기수는 위험한 삶을 살지만, 뜨거운 심장을 가진 청년들에게는 좋은 경험이 되겠지.
str_harad_rumor_14|사자 형제단에게 싸움 걸 생각 하지 마! 그들은 평판이 꽤 좋으니까.
str_harad_rumor_15|검은 쇠로 만든 무기가 더 있었으면 좋겠다. 많은 사람들은 여전히 청동을 써야하고 심지어 나무 몽둥이와 검은 유리로 만든 창으로 알몸으로 전투에 뛰어들기도 한다.
str_gunda_rumor_begin|인간들로부터 따뜻한 땅을 빼앗자, 우리가 간다!
str_gunda_rumor_2|샤르쿠가 안락한 동굴을 약속했다.
str_gunda_rumor_3|추운 산에 숨는 건 이제 질렸어! 이제 인간의 따뜻한 땅으로 진군할 차례다!
str_gunda_rumor_4|우리 산의 통로에서 날씬한 은신자를 보았다, 하지만 잡을 수가 없었어. 우리가 가까이 가자마자 사라져버리더군.
str_gunda_rumor_5|아이센가드 놈들은 그 늙은이가 자기들을 좀 챙겨준다고 대단한 뭔가가 된줄 안다니까.
str_gunda_rumor_6|인간들의 마을을 태워 우리 몸을 데우자!
str_gunda_rumor_7|인간 놈들은 우리가 가져올 동상을 뼈저리게 느끼게 되겠지, 그 다음에 올 불꽃도 말이야. 하 하 하!
str_gunda_rumor_8|아조그와 볼그가 지난번에는 난쟁이, 요정, 인간 놈들을 거의 몰아붙였지만, 새 괴물들과 곰 인간들이 놈들을 살렸어. *퉤*
str_gunda_rumor_9|난쟁이 고기는 질기고 씹혀. 인간 고기가 더 나아.
str_gunda_rumor_10|곰 인간이 와서 볼두쉬를 잡아먹었어. 불행한 불두쉬! 하 하 하!
str_gunda_rumor_11|몇몇은 모리아로 이주했다, 거긴 방이 많으니까. 하지만 깊은 곳에 있는 Ghâsh(불꽃)을 조심하는게 좋을거야. 물러나!
str_moria_rumor_begin|북 소리가 들리면 - 도망쳐서 숨어!
str_moria_rumor_2|깊은 곳의 Ghâsh(불꽃)!
str_moria_rumor_3|둥! 둥! 둥! 깊은 곳에서 울리는 북소리.
str_moria_rumor_4|모리아는 넓지만, 더이상 어떤 난쟁이도 숨어있지 않아.
str_moria_rumor_5|난쟁이들이 깊게도 파놓았군. 우리 좋으라고 말이야. 하 하 하!
str_moria_rumor_6|모리아에는 굴이 많아. 우리가 다 가보지도 못할 만큼.
str_moria_rumor_7|얼마 전에 인간들과 난쟁이들이 조금 전 광산에 있는 우리 보초들을 몰래 지나쳐갔다. 우리는 그 이후로 보초를 두 배로 늘렸다.
str_moria_rumor_8|난쟁이 놈들은 이제 여기 발도 못 뻗을 거다! 절대로!
str_moria_rumor_9|우리에게 충분한 병력이 모이면, 당장 가서 요정들의 숲을 불태워버리자고!
str_moria_rumor_10|모리아에는 먹을 것이 적어. 우린 배고파. 인간과 요정들을 잡아와야해!
str_moria_rumor_11|몇몇은 남쪽 숲으로 가서, 다신 돌아오지 못했다.
str_umbar_rumor_begin|모든 바다는 검은 돛의 것이다!
str_umbar_rumor_2|더 가라앉힐 곤도르 배가 없군. 이제 내륙으로 진출해야겠어.
str_umbar_rumor_3|우리 야간 약탈자들은 어둠 속에서도 훤한 낯처럼 싸울 수 있지. 그들이 우리 정찰대를 내륙 깊숙한 곳으로 안내해.
str_umbar_rumor_4|곤도르인들은 항해하는 법도 몰라! 땅에 붙은 다리 뿐이야.
str_umbar_rumor_5|우린 과거에 곤도르 왕을 죽인 적이 있지. 지금은 우리가 죽일 왕조차 없는 것 같더군.
str_umbar_rumor_6|과거에 교활한 곤도르인들이 우리 함대를 불태웠지. 이제 곤도르가 불 탈 차례야.
str_umbar_rumor_7|바다의 어떤 것도 우리 해적들을 겁주진 못하지. 하지만 땅 위의 흉물에 대한 기괴한 소문에 대해 들은 적이 있어.
str_umbar_rumor_8|우리는 거대한 파도처럼 곤도르 위로 흘러 오랫동안 잃어버렸던 땅을 되찾을 것이다.
str_umbar_rumor_9|하라드인은 럼주를 마시지 않아. 알고 있었나? 우리는 작살 잡기 전에 한모금 하는 걸 좋아하는데.
str_umbar_rumor_10|칸드의 바리아그가 싸우는 걸 본 적이 있다. 그들을 전장에서 마주하고 싶지는 않군. 그들이 우리 편이라서 다행이야.
str_khand_rumor_begin|얼마나 많은 피가 흐르든 전투는 전투야. 하지만 퇴각은 수치스러운 일이다!
str_khand_rumor_2|칼을 뽑았으니, 피가 흐를 것이다!
str_khand_rumor_3|우리 중무장 기병대가 대지를 떨게 하지만, 우리의 적들은 우리 말만 들어도 두려움에 떤다!
str_khand_rumor_4|이번에는 전차몰이 족이 없지만, 우리의 공격은 놈들의 허를 찌를 것이다.
str_khand_rumor_5|우리는 칸드의 바리아그다, 어떤 곳보다도 열성적인 전사들이지!
str_khand_rumor_6|룬 전사들도 사납긴하지만, 말을 타면서 싸우지, 우리는 그 대신 발로 다니며 적들을 무찌른다.
str_khand_rumor_7|우리는 과거에 곤도르인과 겨루었지만, 이번에야말로 영원히 끝장을 내주겠다!
str_khand_rumor_8|서부는 약하고 퇴폐적이다. 그들은 전사의 혼이라는 것이 없다. 그들은 우리의 칼과 도끼 앞에 무너질 것이다.
str_khand_rumor_9|우리는 금이나 노예를 위해 싸우지 않는다, 우리는 명예와 영광을 위해 싸운다!
str_khand_rumor_10|거만한 서부 놈들, 자신들이 누구와 싸우고 있는지도 모를거야!
str_khand_rumor_11|우리는 룬, 모르도르, 하라드와 거래한다. 가끔 그들과 싸우기도 한다. 이게 우리 동족들의 방식이다.
str_khand_rumor_12|네 전사들을 위한 가면을 만들었나? 곧 필요하게 될 거다! 적들이 너의 얼굴을 보지 못한다면, 너의 영혼을 찾아낼 수도 없을테니!
str_good_rumor_begin|재에서 불꽃이 일어나고, 그림자로부터 빛이 솟아난다. 부숴진 검이 다시 벼려질 것이고, 왕관 없는 자가 왕이 될 것이다.
str_good_rumor_2|오르크는 밤에는 잘 싸우지만 낮에는 약해진다.
str_good_rumor_3|우루크하이는 오르크들과 다른 종이다. 그들은 햇빛을 두려워하지 않는다!
str_good_rumor_4|패배한 뒤 여유가 주어지면, 그림자는 또다른 모습으로 자라나기 시작할 것이다.
str_good_rumor_5|죽음의 늪... 치유할 수 없을 정도로 더럽혀진 병든 땅.
str_good_rumor_6|그림자가 길러내는 것들은 모독일 뿐이며, 진짜 새로운 뭔가를 만들어낸 것이 아니다. 나는 오르크들은 생명을 받은 것이 아니라, 망쳐지고 비틀렸을 뿐이라고 생각한다.
str_good_rumor_7|한때 초록숲이라 불리고 요정들로 가득찼던 곳이 있었다. 북쪽 세계의 거대한 숲이다. 하지만 지금은 어둠숲이라 불리며, 온갖 종류의 악한 생명체들이 어슬렁거리는 곳이 되었다.
str_good_rumor_8|아르고나스, 위대한 왕의 석상들, 옛 북곤도르 경계의 위대한 수호자들.
str_good_rumor_9|아몬 헨은 넨 히소엘의 남쪽 경계의 세 봉우리 중 가장 서쪽에 있는 언덕이다.
str_neutral_rumor_begin|내일이면 모든 것이 바뀔거야...
str_neutral_rumor_2|죽음의 늪... 더럽혀진 병든 땅.
str_neutral_rumor_3|그 땅은 한때 전혀 다른 모습이었다.
str_neutral_rumor_4|인간은 밤에 잘 싸우지 못한다. 하지만 어둠 속에도 훤히 볼 수 있는 자들이 있다.
str_evil_rumor_begin|오르크들은 밤에 잘 싸우고, 인간들은 낮에 잘 싸운다.
str_evil_rumor_2|기병을 상대로는 파이크를, 보병을 상대로는 화살을, 궁수를 상대로는 방패를 들어라!
str_evil_rumor_3|큰 강에 세워진 약자들의 동상은 오래 서지 못할 것이다.
str_legendary_rumor_begin|전설에 이르기를, 팡고른의 나무들은 말을 할 수 있다.
str_legendary_rumor_amonhen|누군가 말하길 안두인 강 어딘가에는 거대한 석상이 세워진 특별한 장소가 있다.
str_legendary_rumor_deadmarshes|죽음의 늪 가운데에는 시체가 살아 숨쉰다는 소문이 있다.
str_legendary_rumor_mirkwood|오르크가 아닌 생명체들이 어둠 숲을 기어다닌다.
str_legendary_rumor_fangorn|팡고른 숲은 피해가는 것이 상책이다. 수상쩍은 일이 그곳에서 일어나고 있다.
str_last_rumor|최근에 내가 들은 흥미로운 것이 없군요.
str_ent_rumor_begin|성급하게 굴지 마라...
str_ent_rumor_2|자, 살아있는 피조물에 관한 지식을 배우자! 먼저 자유로운 네 종족의 이름을 말해보자. 요정의 아이들이 그 중 가장 손위라. 굴을 파는 난쟁이, 그들의 집은 어두워라. 땅에서 난 엔트, 산처럼 늙었고. 죽을 운명의 인간. 말을 잘 부린다네.
str_ent_rumor_3|옛 엔트어는 사랑스러운 말이긴 하지만 어떤 의미를 전달하는 데는 시간이 아주 많이 걸려. 왜냐하면 우리는 듣고 말하는 데 오랜 시간이 걸릴 만큼의 가치가 없는 말은 하지 않으니까 말이야...
str_gondor_rank_0|곤도르 평민
str_gondor_rank_1|곤도르 병사
str_gondor_rank_2|곤도르 고참병
str_gondor_rank_3|곤도르 기사
str_gondor_rank_4|곤도르 탑 수비대
str_gondor_rank_5|곤도르 성채 기사
str_gondor_rank_6|곤도르 섭정의 근위대
str_gondor_rank_7|곤도르 대장
str_gondor_rank_8|곤도르 최정예병
str_gondor_rank_9|곤도르의 영웅
str_dwarf_rank_0|초록수염 난쟁이족
str_dwarf_rank_1|난쟁이족 광부
str_dwarf_rank_2|난쟁이족 전사
str_dwarf_rank_3|긴수염 난쟁이족
str_dwarf_rank_4|난쟁이족 도끼병
str_dwarf_rank_5|난쟁이족 정예 도끼병
str_dwarf_rank_6|회색수염 난쟁이족
str_dwarf_rank_7|난쟁이족 대장
str_dwarf_rank_8|난쟁이족 우두머리
str_dwarf_rank_9|전당의 영웅
str_rohan_rank_0|세오를, 로한의 평민
str_rohan_rank_1|세인, 로한의 종
str_rohan_rank_2|레오드, 로한의 자유민
