stringsfile version 1
1350
str_no_string NO_STRING!
str_npc6_retirement_speech I_joined_this_company_in_the_hope_that_you_would_lead_me_out_of_darkness,_and_indeed_I_have_found_a_measure_of_peace_here._But_I_have_some_qualms_about_your_leadership,_and_have_begun_to_suspect_that_the_path_to_redemption_can_be_found_elsewhere.
str_npc7_retirement_speech I_am_tired_of_this_squalid_life_of_endless_warfare,_seeing_men_debased_by_fear,_greed,_lust,_and_a_hundred_other_sins._I_have_money_in_my_purse._I_am_going_overseas_to_look_for_a_better_land_than_Calradia._I_assume_that_you_will_fare_well_without_me.
str_npc8_retirement_speech I_have_fought_in_your_shield_wall,_and_done_well_by_it._But_your_leadership_is_not_always_to_my_liking,_and_anyways_I_have_another_task._I_will_take_what_plunder_I_have_won_and_raise_a_warband_of_my_own_and_sail_to_Nordland_to_take_back_my_husband's_hall_from_my_treacherous_brother-in-law._I_wish_you_well.
str_npc9_retirement_speech We_have_fought_well_together,_and_earned_ourselves_much_glory._But_I_have_some_reservations_about_your_leadership,_and_at_any_rate_have_my_patrimony_to_reclaim._I_will_be_leaving_you._Perhaps_we_will_meet_again.
str_npc10_retirement_speech I've_had_enough_of_tromping_up_and_down_the_length_and_breadth_of_Calradia._I've_got_enough_to_buy_a_small_bit_of_land_somewhere,_so_I_think_I'll_give_that_a_try._So_long,_and_best_of_luck_to_you.
str_npc11_retirement_speech You_did_an_old_woman_a_great_service_by_taking_her_into_your_company._But_I'm_afraid_I'm_finding_this_life_no_more_to_my_liking_than_driving_a_wagon._Too_much_cold,_too_much_hunger,_and_at_the_end_all_I_see_in_front_of_me_is_a_hole_in_the_ground._So_I'll_be_off,_although_I_don't_know_where.
str_npc12_retirement_speech I've_done_all_right_in_your_company._I_filled_my_belly,_put_some_gold_in_my_purse,_and_broadened_my_knowledge_of_wounds_and_injury_--_I_can't_complain_about_that!_But_I_think_right_now_that_service_in_this_company_is_holding_me_back._I_have_a_duty_to_share_my_findings_with_other_surgeons,_and_for_that_I_need_to_hire_scribes,_who_are_rare_in_Calradia._I_shall_be_going_home
str_npc13_retirement_speech As_the_luster_of_your_name_grows_ever_brighter,_I_fear_that_my_own_reputation_will_seem_pale_in_comparison,_as_the_moon_is_outshined_by_the_sun._I_have_decided_to_strike_out_on_my_own._The_very_best_of_luck_to_you!
str_npc14_retirement_speech I_would_like_to_inform_you_that_I_wish_to_sever_our_relationship._I_intend_to_seek_alternative_employment.
str_npc15_retirement_speech I_appreciate_that_you_took_me_on,_but_I'm_not_altogether_happy_about_how_things_have_worked_out._I'm_going_to_head_off_elsewhere_--_maybe_go_home,_maybe_find_another_job,_I_haven't_quite_decided_yet.
str_npc16_retirement_speech I've_had_good_times_in_this_company,_and_I've_found_myself_a_pretty_trinket_or_two_on_the_battlefield,_but_right_now_it_isn't_working_out._I'm_leaving_you_to_go_offer_my_talents_to_someone_else.
str_npc1_rehire_speech Boss_--_it's_good_to_see_you_again._I_know_we_had_our_differences_in_the_past,_but_to_tell_you_the_truth,_those_were_some_of_the_best_days_I've_known._And,_to_tell_you_the_truth,_I've_had_a_bit_of_difficulty_finding_work._Listen,_if_you'd_be_willing_to_have_me_back,_I'd_be_willing_to_sign_up_with_your_company_again.
str_npc2_rehire_speech {Sir/Madame}!_It's_good_to_see_you_again._But_I'll_confess_--_I've_been_looking_for_you._I_bought_a_load_of_goods_like_I_told_you_I_would,_loaded_them_up,_and_took_them_back_across_the_steppe_--_but_wouldn't_you_know_it,_I_was_hit_again_by_Khergits,_and_lost_it_all._I_guess_I'm_just_destined_to_fight_for_my_fortune._Also,_people_tell_me_that_you've_done_very_well_for_yourself._So_tell_me,_{sir/madame},_would_you_have_me_back?
str_npc3_rehire_speech Well,_hello_{sir/madame}!_It_is_very_good_to_see_you_again._I_have_not_fared_so_well_since_we_parted,_I_am_afraid._My_mother's_family._whom_I_hoped_would_give_me_a_start_in_trading,_have_not_been_as_welcoming_as_I_have_hoped._I_receive_nothing_but_lectures_from_my_aunts,_on_how_I_have_ruined_my_prospects_for_marriage_by_taking_service_in_a_mercenary_company._Perhaps_I_am_better_suited_to_war_than_to_commerce,_to_share_a_meal_over_a_campfire_with_rough_fellows_than_to_drink_wine_with_the_burghers_of_Veluca._{Sir/Madame},_I_must_ask_you_--_will_you_take_me_back?
str_npc4_rehire_speech Why_hello,_captain._It's_been_a_while._You've_done_well_for_yourself,_I_hear._For_my_part,_I've_been_having_some_difficulties_coaxing_a_living_from_my_estates_--_locusts,_bad_rains,_unruly_serfs,_that_sort_of_thing._I_thought_I_might_take_up_the_sword_once_more._I_know_there's_been_some_bad_blood_between_us,_but_I'd_be_honoured_to_fight_in_your_ranks_once_again.
str_npc5_rehire_speech {playername}_Bahadur!_Your_fame_grows_ever_greater_--_even_as_far_as_my_homeland,_beyond_the_mountains._I'd_returned_there,_hoping_that_the_Khan's_men_had_forgotten._Well,_they_had_not_--_even_before_I_set_foot_in_my_valley,_I_had_word_from_my_family_that_both_the_Khan_and_the_Humyan_were_looking_for_me._So_I_came_back_again,_hoping_you_might_forget_any_harsh_words_I_had_spoken,_to_see_if_I_could_fight_with_you_once_again.
str_npc6_rehire_speech It_is_good_to_see_you,_{sir/madame}._Everywhere_I_go,_men_are_in_awe_of_your_deeds._I_have_not_had_it_so_well_since_I_left._Wherever_I_go,_I_feel_my_demons_returning._My_soul_is_in_turmoil._For_reasons_that_I_cannot_fully_explain,_I_had_found_peace_in_your_company,_even_if_I_had_questions_about_your_leadership._Will_you_allow_me_to_serve_with_you_once_again?
str_npc7_rehire_speech Captain!_It_is_good_to_see_you._Forgive_what_I_may_have_said_when_we_parted._I_took_a_ship_out_of_Wercheg,_bound_for_the_east,_but_it_was_taken_by_pirates_and_after_my_ransom_I_was_set_ashore_back_here._There_may_be_better_places_in_the_world_than_Calradia,_but_I_have_yet_to_see_them._So_I_think,_if_it_is_my_lot_to_live_here,_then_your_company_is_as_good_a_livelihood_as_any._Will_you_have_me_back?
str_npc8_rehire_speech Greetings_to_you,_{playername}._I_was_wondering_if_the_harsh_words_spoken_between_us_in_the_past_could_be_forgotten._I_have_been_hunting_among_the_Nords_here,_to_see_if_I_could_find_enough_men_to_take_back_my_husband's_hall._But_I_could_not_find_enough_men_to_crew_a_longship,_and_those_whom_I_gathered_quickly_got_bored_and_wandered_off_--_not,_I_will_add,_before_they_drank_away_such_gold_as_I_had_accumulated._So_I_thought_back_to_the_battles_we_fought_together._Those_were_good_days,_and_profitable_ones_too.
str_npc9_rehire_speech My_dear,_dear_{man/lady}!_So_good_it_is_to_see_you!_I_have_sought_service_with_the_lords_of_this_land,_but_have_been_most_grieviously_disappointed._Half_of_them_ask_me_to_collect_debts_from_fellow_lords,_as_though_I_were_a_banker's_errand_boy,_or_chase_down_his_serfs,_as_though_I_were_a_farm_overseer._One_even_asked_me_to_murder_one_of_his_creditors!_I_have_looked_for_you,_to_see_if_you_would_wish_me_to_join_you_again.
str_npc10_rehire_speech Captain!_It's_good_to_see_you._You_see,_it_turns_out_I'm_not_much_of_a_farmer._Too_soft_on_the_hired_hands,_I_figure._I_let_them_rob_me_blind._I_guess_fighting_is_what_I_know_best._So_tell_me,_captain,_are_you_still_looking_for_good_men?
str_npc11_rehire_speech Captain!_So_good_to_see_you!_People_say_that_you've_been_making_gold_hand_over_foot._I'm_a_fidgety_old_bag_of_bones,_I'll_admit._I_left_you_because_I_wasn't_satisfied_with_the_warrior's_life,_but_I_spend_a_bit_of_time_in_town_and_I_realize_that_there's_worse_things_in_life_than_a_full_belly,_honest_companions,_and_the_joy_of_seeing_the_enemy_run_before_you._So,_would_you_be_hiring_again
str_npc12_rehire_speech Captain!_It's_a_fine_thing_to_see_an_honest_face_like_yours._This_world_is_full_of_lies._I_went_home_to_publish_my_findings,_hired_some_scribes_and_made_a_handful_of_codices,_and_waited_for_the_commissions._But_it_turns_out_that_the_universities_don't_care_about_real_medical_knowledge_rather_than_warmed-over_Galerian._And_publishers_--_let_me_tell_you,_you_never_saw_anyone_so_unscrupulous._They_rent_the_books_out_chapter_to_by_chapter_to_students_to_copy,_but_half_of_them_aren't_returned,_and_those_that_are_have_pages_soaked_in_wine,_and_there's_no_longer_a_complete_copy_of_my_work_anywhere._I'll_keep_trying,_but_first_I_need_a_bit_of_money_in_my_pocket,_first._Are_you_looking_for_a_surgeon?
str_npc13_rehire_speech Well_hello_there,_oh_valorous_one._I_had_been_hoping_to_see_you_again._Everywhere_I_go,_I_hear_tales_and_songs_of_your_deeds._I_will_admit_that_I_felt_a_twinge_of_regret_that_we_had_parted_ways,_and,_I'll_confess,_a_twinge_of_jealousy_as_well_at_your_reputation._I_thought_that_once_again_I_might_fight_by_your_side,_and_thus_bask_in_the_reflection_of_your_glory._Perhaps_we_might_ride_together_again,_for_a_little_while?
str_npc14_rehire_speech Captain._It_is_good_to_see_you._When_last_we_parted,_I_was_ready_to_swear_that_I_would_not_serve_you_again,_but_perhaps_I_judged_you_too_harshly._All_over_Calradia,_men_sing_your_praises._I_have_tried_serving_in_other_lords'_armies,_and_believe_me,_what_I_have_seen_of_them_restores_my_opinion_of_your_leadership._If_you_would_have_me_in_your_company,_I_would_fight_for_you_again.
str_npc15_rehire_speech Why_hello,_{playername}._I_can't_say_I'm_entirely_displeased_to_see_you._You_see,_I_took_on_another_contract_before_I_left,_and_sure_enough,_when_it_came_time_to_collect_the_pay,_the_lord_had_nothing_but_talk_and_excuses_and_petty_little_complaints_about_my_handiwork._I_can't_say_I_was_always_happy_in_your_company,_but_at_least_I_put_gold_directly_into_my_purse_after_every_battle._You_still_offering_work?
str_npc16_rehire_speech Captain!_They_say_that_you've_done_well_for_yourself_since_we_last_met._I'll_come_out_and_admit_that_I_cursed_your_name_when_we_parted_ways,_but_thinking_back_on_it_you_weren't_all_that_bad._All_these_lords,_they're_glad_enough_to_send_me_on_little_side_errands,_but_they_don't_much_care_to_have_me_in_their_main_battle-line._Apparently_I_spook_the_men._I've_heard_it_muttered_that_I'm_a_witch,_or_that_I_eat_men's_hearts_after_killing_them,_or_other_rot._Not_that_I_mind_stabbing_a_man_while_he's_asleep,_but_it's_a_lot_more_gratifying_when_he's_awake_and_kicking._So_I_thought_I'd_try_to_find_you_again,_see_if_you'll_take_me_on.
str_npc1_home_intro Boss_--_did_you_know_that_I_was_born_around_here,_in_the_high_steppe?_This_is_where_I_got_my_eye_for_horseflesh,_because_this_is_good_land_for_horses,_although_a_hard_land_for_men._I_suppose_that's_why_the_Khergits_like_it.
str_npc2_home_intro We're_approaching_Sargoth._That's_where_I_was_headed_when_the_Khergits_got_me.
str_npc3_home_intro Can_you_smell_that?_Lemon_trees,_apples_and_crocus_flowers,_it's_the_scent_of_Veluca._I_spent_many_a_happy_summer_here_when_I_was_a_girl,_playing_in_the_gardens_of_my_mother's_family_while_my_father_was_away_trading.
str_npc4_home_intro The_Woods_of_Ehlerdah._Bah._This_place_is_thick_with_bandits_and_outlaws.
str_npc5_home_intro Bahadur,_we_are_nearing_Halmar,_largest_town_in_the_lower_steppe._My_mother's_sister_went_here_to_marry_a_townsman_and_I_thought_to_seek_service_with_the_lord_here._That_is_when_I_ran_into_you.
str_npc6_home_intro I_can_see_by_the_vines_and_terraces_on_the_hillside_that_I_am_near_home._I_have_no_wish_to_see_my_family,_so_I_will_linger_outside_the_walls_if_you_go_into_town._I_am_sure_that_you_will_understand.
str_npc7_home_intro Do_you_smell_that?_Salt_fish,_rotting_flax_and_river_mud._The_smells_of_my_childhood._I_want_to_retch.
str_npc8_home_intro Hmf._Do_you_hear_that?_It_must_be_the_crash_of_waves_on_the_headland._We_must_be_near_Gundig's_Point.
str_npc9_home_intro Behold_the_Rock_of_Rivacheg!_The_strongest_fortress_in_Calradia._My_father_was_one_of_those_who_held_the_line_here_against_the_Nords,_when_they_first_tried_to_push_inland_from_the_coast.
str_npc10_home_intro D'you_smell_that_fresh_air,_Brother?_This_was_my_home,_before_I_went_abroad_in_search_of_coin._It's_good_to_be_up_in_the_hills_again._It's_the_smell_of_freedom._This_is_the_cradle_of_Rhodok_liberty,_here_under_Grunwalder_Castle
str_npc11_home_intro I_see_the_mountains._We_must_be_getting_near_home.
str_npc12_home_intro We're_passing_by_the_site_of_one_of_my_greatest_medical_triumphs,_if_that_interests_you.
str_npc13_home_intro Ah,_Castle_Ergellon!_Such_a_lovely_spot,_by_the_deep_lake._Such_happy_days_I_spent_here,_the_summer_before_last.
str_npc14_home_intro Do_you_see_that_fortress_up_there,_on_the_spur_over_the_valley?_Ismirala?_I_spent_a_winter_there_some_years_back,_trying_to_train_the_lord's_men.
str_npc15_home_intro You_see_that_castle_up_on_the_hill?_Culmarr_Castle,_it's_called._I_did_some_work_there,_not_long_ago._It's_not_as_showy_as_some_of_the_other_castles_in_this_land,_but_it's_the_finest_stonework_you_ever_saw.
str_npc16_home_intro Aye,_captain,_do_you_see_those?_Those_are_hare_tracks_in_the_snow._We_must_be_getting_near_to_my_birthplace.
str_npc1_home_description Well,_Khergits_always_lived_here,_even_back_in_the_old_days,_as_the_Emperor_gave_them_gold_and_lands_to_keep_out_the_other_tribes._I'm_told_my_grandfather_was_a_Khergit_chieftain,_although_my_mother_didn't_know_him,_any_more_than_I_knew_my_father._When_my_mother_was_a_lass,_the_Khergit_started_coming_over_the_mountains_in_larger_numbers,_and_now_there's_a_Khergit_Khan_in_Tulga.
str_npc2_home_description People_say_that_the_Nords_are_a_bunch_of_bloodthirsty_barbarians,_but_they_have_a_good_head_for_trade,_if_you_ask_me._They_make_the_people_up_and_down_the_coast_grow_flax,_which_they_weave_here_into_linen._It_can't_compete_with_Jelkala_silks_and_velvets_as_a_luxury_fabric,_but_it_makes_good_summertime_wear_and_you_can_use_it_for_the_sails_of_ships._More_importantly,_linen_was_one_of_the_few_goods_that_someone_else_in_Calradia_wasn't_already_making.
str_npc3_home_description Veluca_has_wet_winters_and_hot_summers,_but_the_people_here_build_great_cisterns_to_water_their_crops._They_grow_grapes_--_Velucan_wine_is_famous,_{sir/madame}_--_and_those_who_can_afford_it_make_walled_gardens,_where_fruit_trees_grow_in_abundance,_and_we_sit_at_night_listening_to_music,_or_playing_chess,_or_merely_sniff_the_night_air.
str_npc4_home_description Well,_you_see,_the_King_of_Swadia_declared_this_to_be_his_personal_hunting_preserve,_and_said_he'd_kill_any_man_who_as_much_as_strung_his_bow_here._So_what_happens?_Some_family_goes_hungry,_and_succumbs_to_the_temptation_to_poach,_and_the_king's_sheriff_comes_along_and_strings_him_up_and_takes_his_land._His_sons,_rather_than_starve,_go_bandit._And_so_naturally_anyone_in_the_whole_valley_who_feels_the_need_to_run_away_from_a_debt_or_a_nagging_wife_or_a_vengeful_noble_comes_up_here_to_join_them,_living_on_wild_pigs_and_berries_and_the_purses_of_unwary_travellers.
str_npc5_home_description Khergits_had_always_come_here,_to_trade_and_raid,_and_in_the_last_days_of_the_Empire_we_began_to_settle._Just_like_the_Vaegirs,_Swadians,_Rhodoks_and_Nords,_we_took_the_Emperor's_coin_to_keep_the_other_tribes_at_bay._But_when_the_Great_Horde_attacked_our_homeland_in_my_grandfather's_day,_we_moved_into_this_region_in_force._We_pushed_the_Vaegirs_back,_and_made_their_fortresses_our_own.
str_npc6_home_description Here_in_the_Vale_of_Suno,_our_dialect_and_customs_are_closer_than_anywhere_else_in_Calradia_to_those_of_the_old_Calrad_Empire._We_grow_olives_and_wine,_both_crops_brought_to_this_land_from_overseas_by_the_emperors,_and_also_follow_the_old_Calradic_ways._We_keep_our_pledges_and_pay_our_debts.
str_npc7_home_description Before_I_was_married_off,_and_before_I_was_taken_by_bandits,_I_lived_here._I_was_born_in_a_hovel_and_spent_my_childhood_in_the_fields._Our_landlords_were_Nord,_but_we_never_saw_them,_merely_their_cursed_minions_and_overseers._My_father,_coward_that_he_was,_cringed_before_them.
str_npc8_home_description You_haven't_heard_the_story?_When_Gundig_Hairy-Breeks_came_to_Calradia_from_Nordland,_he_planted_his_banner_on_the_headland_and_said_that_it_would_remain_there_until_he_recaptured_his_'inheritance.'_His_'inheritance',_he_called_it._Gundig_believed_the_skalds_who_told_him_that_the_Emperor_had_bequeathed_Calradia_to_the_Nords,_when_in_fact_he_just_gave_us_a_small_strip_of_land_along_the_coast,_so_that_we_would_crew_his_galleys.
str_npc9_home_description The_Nords_would_sail_up_the_river_in_their_longships._The_townsmen_of_the_coast_could_have_stopped_them,_but_they_were_cowards_then,_as_they_are_today,_and_paid_them_a_yearly_stipend,_known_as_the_Nordgeld,_to_be_let_in_peace._But_the_Vaegir_king_would_not_pay._My_father_decided_to_come_over_the_mountains,_to_fight_with_the_Vaegir_hosts._Three_summers_in_a_row_they_tried_to_take_the_Rock,_and_each_time_the_Vaegir_lords_held_them_back.
str_npc10_home_description In_my_father's_day_the_Swadians_would_come_calling,_thinking_to_make_us_knuckle_our_foreheads_and_call_them_their_overlords._But_Grunwalder,_an_old_veteran_of_the_wars_from_the_hills,_showed_us_how_to_form_a_battleline_with_spear_and_crossbow_that_could_break_a_Swadian_charge._He_fell_in_battle,_but_the_people_gave_his_name_to_the_castle_that_was_built_here,_where_he_fell,_so_that_we_would_remember,_and_always_stand_firm_against_the_horsemens'_onslaught.
str_npc11_home_description I'm_from_Praven._You_know_the_saying,_{sir/madame}_--_'Barley_grown_in_Uxkhal_is_made_into_ale_in_Praven,_and_we're_all_the_better_for_it.'_Not_sure_what_that_means,_{sir/madame},_but_it's_true_about_the_barley._And_wheat,_and_oats._We_grow_more_grain_here_in_the_Vale_of_Uxkhall_then_all_the_rest_of_Calradia_put_together,_and_our_ale_is_the_best,_too._You_can_see_it_in_the_soil_here_--_rich_and_black,_and_smells_of_good_harvests_and_full_bellies.
str_npc12_home_description The_lord_over_there_in_Almerra_Castle_had_the_dropsy,_and_had_requested_a_doctor_from_Uxkhal_to_treat_him._Like_a_typical_university-educated_doctor,_he_went_right_to_Galerian_for_a_cure._Galerian_commends_sun-metal_for_dropsy._Now_most_of_Galerian's_writings_were_useless_back_in_the_days_of_the_Calradic_emperors_when_they_were_first_written_down,_and_they're_doubly_worthless_today,_but_he_sometimes_he_hits_upon_the_right_cure_by_chance:_sun-metal_does_cure_some_kinds_of_dropsy_in_small_doses._However,_sun-metal_in_large_doses_is_poison,_something_that_the_Galerian-worshippers_never_grasped.
str_npc13_home_description I_had_come_up_here_with_a_small_Swadian_force,_but_they_were_caught_by_the_Rhodoks_in_the_woods_and_their_horsemen_cut_down_amid_the_trees._I_fled_and_found_shelter_by_the_lake,_in_the_arms_of_the_comeliest_cowherd_you_ever_saw._She_took_me_to_a_cave_near_the_high_pastures,_and_would_bring_me_cheese_and_berries,_and_tell_me_the_tale_from_the_hills._They_say_the_lake_is_a_gateway_to_the_underworld,_and_sometimes_on_the_fringes_you_can_the_noxious_fumes_beneath_bubbling_up_to_the_surface._Such_rustics_they_are!
str_npc14_home_description I_say_'trying'_because_in_my_opinion,_Vaegirs_don't_take_well_to_discipline._Finest_archers_you_ever_saw,_and_good_riders_too,_but_they_have_no_stomach_for_fighting_in_ranks._Their_skills_serve_them_well_enough_against_Khergits_and_Nords,_particularly_when_they_can_hide_behind_walls,_but_I've_seen_Swadian_knights_cut_through_Vaegirs_like_a_knife_through_butter._Now,_a_Rhodok_spear-wall_is_designed_to_stop_a_Swadian_charge_in_its_tracks,_and_usually_does.
str_npc15_home_description Like_most_castles_that_last_around_here,_it's_got_foundations_that_are_old_Imperial_Calradic._You_can't_see_them_any_more_with_all_the_rebuilding,_but_the_slabs_are_the_size_of_a_house._They_must_have_been_real_sorcerors_back_in_those_days,_because_I_don't_see_how_they_moved_those_things_otherwise._Beautiful_location,_too_--_Culmarr_sits_right_in_front_of_the_pass_leading_out_of_Calradia,_which_allows_the_lord_to_charge_a_pretty_penny_in_tolls_during_the_three_months_of_the_year_that_it's_not_snowed_in.
str_npc16_home_description The_snows_in_these_valleys_don't_melt_until_late_in_the_year,_and_the_land_is_hard_to_plough._You_can_grow_a_bit_of_barley,_but_not_much_else._But_there's_wealth_here_in_the_woods:_deer,_rabbit_and_lynx,_meat_and_furs,_and_the_mountains_have_iron,_and_traders_would_ship_enough_saltfish_up_the_river_from_the_coast_to_keep_the_people_fed_for_the_winter.
str_npc1_home_description_2 They_go_easy_on_us_Old_Calradians,_and_don't_ask_for_much_in_tax_--_not_that_we_would_be_able_to_pay_in_any_case._The_land_isn't_good_enough_for_most_crops._Frankly,_it's_only_good_for_horse-rearing,_and_that_only_for_half_of_the_year,_in_the_winter_after_the_rains._In_the_summer_they_take_their_herds_back_into_the_mountains._Caravans_come_over_the_hills_and_bring_spice_to_Tulga,_but_we_don't_see_much_of_that_money_down_in_the_villages.
str_npc2_home_description_2 I_had_loaded_up_on_saffron,_cinnamon,_cloves,_pepper_and_other_spices_and_a_chest_full_of_denars._I_estimated_that_I_could_buy_linens,_furs,_velvet,_iron_and_wool,_and_the_extra_horses_to_carry_them_back,_and_I'd_still_make_a_profit._I_just_hadn't_figured_in_the_Khergits,_who_apparently_don't_care_for_others_cutting_in_on_their_monopoly.
str_npc3_home_description_2 The_poets_call_Veluca_a_paradise,_and_I_think_for_once_that_they_do_not_exaggerate.
str_npc4_home_description_2 How_do_I_know_this,_you_ask?_Well..._I_was_taken_by_them,_and_held_for_ransom,_but_I_got_away._That's_really_all_there_is_to_tell.
str_npc5_home_description_2 Of_course,_you_know_how_things_go._My_father's_generation_were_hard_warriors_from_the_cold_lands_across_the_mountains,_but_this_generation_all_has_houses_in_the_town_and_great_estates_and_spend_time_as_much_trading_as_they_do_practicing_archery._The_next_generation_will_grow_soft_on_Velucan_wine_and_will_lose_their_lands_to_the_next_batch_of_illiterate_hill-raiders_to_come_over_the_mountains,_just_you_watch._It's_how_things_always_were,_and_how_things_always_will_be.
str_npc6_home_description_2 We_men_of_Suno_also_never_forget_an_insult,_and_avenge_any_wrong_done_unto_us._Old-fashioned_Calradic_honour,_I_dare_say,_has_brought_me_to_my_current_fallen_state._But_despite_that,_I_am_proud_to_be_from_this_region._Our_lord_is_a_vassal_of_the_Swadian_king_in_Praven,_but_as_far_as_we_are_concerned_his_is_just_yet_another_barbarian_chieftain,_and_we_are_the_Empire's_true_heirs.
str_npc7_home_description_2 We_were_allowed_to_fish_the_river,_raise_pigs_amid_the_reedbeds,_and_grow_whatever_we_could_in_our_private_plots,_but_in_the_open_fields_we_were_only_permitted_to_grow_flax,_to_be_taken_to_Sargoth_and_woven_into_linen._So_we_were_always_hungry,_and_weak,_and_never_had_the_courage_to_rebel.
str_npc8_home_description_2 The_skalds'_tales_at_least_gave_Gundig_an_excuse_to_raise_a_warband_--_not_that_we_Nords_ever_need_an_excuse,_mind._He_sailed_across_the_sea,_rallied_the_Calradian_Nords_to_his_banner,_and_marched_on_the_Rock_of_Rivacheg._The_Vaegirs_killed_him,_and_threw_his_banner_into_the_surf._But_the_Nords_keep_coming,_and_some_day_all_of_Calradia_will_be_ours.
str_npc9_home_description_2 Just_as_the_Nords_can_call_on_their_kinfolk_overseas,_so_does_the_Vaegir_king_call_on_his_kinfolk_from_over_the_mountains._Had_my_father_not_disinherited_me,_I_would_also_have_taken_an_oath_of_fealty_to_the_lord_of_Reyvadin._But_just_as_I_was_shorn_of_my_inheritance,_so_also_was_I_shown_of_my_obligations,_and_it_is_the_Vaegir_king's_loss.
str_npc10_home_description_2 We_grow_mulberry_trees_here_for_silk_and_kermes_too_for_the_dye._We_take_it_to_Jelkala_where_they_weave_it_into_the_finest_velvet_--_not_that_I_have_ever_had_enough_denars_in_my_pocket_to_buy_velvet,_mind._But_the_craftsmen_of_Jelkala_also_make_good_crossbows,_and_for_that_I'll_not_begrudge_them_their_little_luxuries
str_npc11_home_description_2 The_Swadian_king_will_tell_you_that_Praven_was_the_biggest_city_in_Calradia_back_under_the_Empire,_and_that's_why_he_should_rule_the_whole_land_today._Mind_you,_I_don't_care_much_about_politics,_{sir/madame}_--_I've_sold_provisions_to_every_army_that_ever_marched_in_Calradia,_and_I_tell_you_that_I_wouldn't_give_a_single_one_of_them_a_single_biscuit_unless_I_had_the_cold,_hard_denars_in_my_hand_first._Why_these_high_and_mighty_kings_and_nobles_can't_pay_their_bills,_I'll_never_know._But_I_prattle_on_a_bit,_there,_don't_I?
str_npc12_home_description_2 The_difference_between_poison_and_cure_is_the_dose._You_tell_that_to_everyone_you_meet,_and_tell_them_you_heard_it_first_from_Jeremus_the_Great._People_think_that_all_the_wisdom_worth_knowing_was_written_in_Old_Calradic,_but_I_say_you_can_learn_twice_as_much_from_village_midwives_and_careful_examination_of_nature_than_from_the_entire_imperial_corpus._That's_why_they_threw_me_out_of_the_university,_although_in_retrospect_that_was_a_blessing._Anyway,_I_put_that_lord_back_on_his_feet,_and_he_availed_me_of_a_sack_of_gold_and_the_corpse_of_a_freshly_hanged_criminal_to_dissect._Ha!_To_think_of_the_lengths_I_had_to_go_to_get_specimens_back_in_those_days.
str_npc13_home_description_2 Eventually_I_had_to_leave,_and_sometimes_I_wonder_if_there_is_a_little_herdsboy_swaddled_on_her_back,_as_she_takes_the_cows_up_to_pasture_each_morning._I'd_be_tempted_to_try_to_find_her_--_but_no,_no,_one_should_never_look_back.
str_npc14_home_description_2 If_anyone_were_ever_to_unify_this_little_land_of_ours,_I'd_sign_up_to_serve_them,_free_of_charge._I'd_put_together_an_army_of_Rhodok_spears_with_Nord_footmen_on_the_flanks_and_Vaegir_archers_in_front,_take_along_some_Khergit_scouts_to_find_and_fix_the_enemy,_and_some_Swadian_lancers_to_finish_them_off._I'd_take_that_army_over_the_mountains_and_make_the_whole_world_kneel_to_Calradia...._Of_course,_that's_what_the_Emperors_thought,_and_in_the_end_the_tribes_took_away_their_Empire.
str_npc15_home_description_2 And_here's_the_funny_thing_--_when_the_Rhodok_lands_first_rebelled_against_the_Swadians,_they_all_said_they_weren't_going_to_have_any_noble_lords_ruling_over_them._You_can_guess_how_long_that_lasted._One_Rhodok_hill_chieftain_sets_himself_up_in_Culmarr,_calls_himself_'Count',_and_the_good_burghers_of_Jelkala_and_Veluca_have_to_lick_his_boots_if_they_want_to_sell_their_wine_and_velvet_outside_Calradia._And_if_you_want_to_keep_the_counts_under_control,_and_the_peasants_providing_the_towns_with_food_rather_than_selling_to_the_highest_bidder,_then_you_need_a_King_too,_don't_you?_The_Rhodok_lands_are_no_different_than_anyone_else,_whatever_guff_they_talk_about_'ancient_liberties'_and_'freedom.'
str_npc16_home_description_2 Still,_it_was_a_thin_living,_and_there_were_always_too_many_mouths_around_to_feed._The_Vaegir_king_and_the_Khergit_khan_don't_make_life_any_easier_for_us,_squeezing_for_tax_money_the_villages_they_control,_and_raiding_for_plunder_the_villages_they_don't._Of_course,_I_can't_say_I'd_do_any_differently_do_the_same_if_I_had_a_castle_and_an_army_all_of_my_own._The_mighty_do_whatever_the_can,_and_the_humble_do_whatever_they_must.
str_npc1_home_recap I'm_from_the_high_steppe,_near_{s21}.
str_npc2_home_recap I_was_born_over_the_mountains.__I'm_a_merchant,_the_son_of_a_merchant,_and_the_grandson_of_a_merchant.
str_npc3_home_recap I_used_to_live_in_my_father's_house_in_{s20},_but_I_spent_much_of_my_childhood_in_{s21}.
str_npc4_home_recap Our_ancestral_barony_is_over_the_mountains,_across_the_Culdarr_pass.
str_npc5_home_recap I_was_born_in_the_highlands_on_the_other_side_of_the_mountains,_past_Tulga,_but_I_have_relatives_in_{s21}.
str_npc6_home_recap My_family_lives_in_{s21},_but_I_cannot_bear_to_face_them.
str_npc7_home_recap I_was_born_in_a_hovel_in_the_fens,_not_far_from_{s21}.
str_npc8_home_recap I_was_born_overseas,_in_Nordland,_and_my_husband's_hall_also_was_in_Nordland.
str_npc9_home_recap I_am_from_the_Vaegir_homeland_over_the_mountains,_where_the_Vaegir_lords_lived_before_the_Emperor_brought_them_in_Calradia.
