trp_unarmed_troop|Neozbrojená jednotka
trp_guldur_lord|Veliteľ Fuinur
trp_guldur_lord_pl|Veliteľ
trp_gundabad_lord|Veliteľ Burza Krual
trp_gundabad_lord_pl|Veliteľ
trp_dale_lord|Kráľ Brand
trp_dale_lord_pl|Kráľ
trp_dwarf_lord|Kráľ Dain II Železná noha
trp_dwarf_lord_pl|Kráľ
trp_dunland_lord|Náčelník Daeglaf Čierny
trp_dunland_lord_pl|Náčelník
trp_beorn_lord|Náčelník Grimbeorn Starý
trp_beorn_lord_pl|Náčelník
trp_lorien_marshall|Celeborn
trp_pippin_notmet|hobit
trp_merry_notmet|hobit
trp_pippin|Pútnik Bral
trp_merry|Chicholm Brandylen
trp_knight_1_1|Angbor Nebojácny
trp_knight_1_2|Húrin Strážca Kľúčov
trp_knight_1_3|Princ Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Hirluin Poctivý
trp_knight_1_7|Faramir
trp_knight_1_8|Forlong Tučný
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Háma
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Mog Sedem-prstý
trp_knight_1_18|Hushnak Dlhonohý
trp_knight_1_19|Gridash Stromohryz
trp_knight_1_20|Gronk Ľudožrút
trp_knight_2_1|Kapitán Mortakh
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Pharakhâd Bastard
trp_knight_2_5|Grishnakh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Dôstojník
trp_knight_2_6|Náčelník Karna Lev
trp_knight_2_7|Náčelník Na’man
trp_knight_2_8|Náčelník Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Ulwarth Balchoth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Kapitán Morbir
trp_knight_3_2|Kapitán Angamaitë
trp_knight_3_3|Kapitán Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orophin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohir
trp_knight_3_13|Halbarad
trp_knight_3_16|Míriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Tyran Snog
trp_knight_4_2|Tyran Snotgor
trp_knight_4_6|Generál Tuskim
trp_knight_4_7|Generál Mugslag
trp_knight_4_11|Beranhelm
trp_knight_4_12|Beranor Černosrsť
trp_knight_4_16|Tyran Brolgukhsh
trp_knight_4_17|Tyran Grumrunt
trp_knight_4_18|Tyran Grimsob
trp_knight_5_1|Lord Halward
trp_knight_5_2|Lord Bard
trp_knight_5_3|Lord Esgarain
trp_knight_5_6|Fulgni Dlhobrad
trp_knight_5_7|Thorin Kamenná prilba
trp_knight_5_11|Náčelník Fudreim
trp_knight_5_12|Náčelník Wulf
trp_knight_6_1|Dervorin
trp_smith_mtirith|Berethor Kováč
trp_smith_mtirith_pl|Správcovi kováči
trp_smith_pelargir|Hallatan Kovomajster
trp_smith_pelargir_pl|kováčska dielňa
trp_smith_linhir|Bor Zbrojmajster
trp_smith_linhir_pl|kováčska dielňa
trp_smith_dolamroth|Haldad Kováč
trp_smith_dolamroth_pl|Amrothské kovárne
trp_smith_edhellond|Ryis Kovokriv
trp_smith_edhellond_pl|kováčska dielňa
trp_smith_lossarnach|Berin Výrobca sekier
trp_smith_lossarnach_pl|kováčska dielňa
trp_smith_tarnost|Harandil Oceľové kladivo
trp_smith_tarnost_pl|kováčska dielňa
trp_smith_erech|Lorne Čierny
trp_smith_erech_pl|kováčska dielňa
trp_smith_pinnath|Tarandil Výrobca mečov
trp_smith_pinnath_pl|kováčska dielňa
trp_smith_eosgiliath|Bzurg Lupič
trp_smith_eosgiliath_pl|kováčska dielňa
trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|provizórna kováreň
trp_smith_calembel|Agronom
trp_smith_calembel_pl|kováčska dielňa
trp_smith_hannun|Fal Hraničiarsky kováč
trp_smith_hannun_pl|hraničiarsky sklad s vybavením
trp_smith_candros|Kalimdor
trp_smith_candros_pl|kováčska dielňa
trp_smith_edoras|Eaoden Oceľomajster
trp_smith_edoras_pl|Kráľovská kováčska dielňa
trp_smith_aldburg|Fulm Železné kopyto
trp_smith_aldburg_pl|kováčska dielňa
trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|kováčska dielňa
trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|kováčska dielňa
trp_smith_westfold|Deor Výrobca prilieb
trp_smith_westfold_pl|kováčska dielňa
trp_smith_westemnet|Zbrojmajster
trp_smith_westemnet_pl|kováčska dielňa
trp_smith_eastfold|Eaderan Železorez
trp_smith_eastfold_pl|kováčska dielňa
trp_smith_morannon|Hurbag Kovobran
trp_smith_morannon_pl|kováčska dielňa
trp_smith_mmorgul|Orgurz Chrlič ohňa
trp_smith_mmorgul_pl|kováčska dielňa
trp_town_24_smith|Boz Železokaz
trp_town_24_smith_pl|kováčska dielňa
trp_smith_orc_patrol|Glugz Železoprst
trp_smith_orc_patrol_pl|táborová kováčska dielňa
trp_smith_oscamp|Kugash Ľuboželez
trp_smith_oscamp_pl|táborová kováčska dielňa
trp_smith_isengard|Burz Kovotresk
trp_smith_isengard_pl|podzemná kováreň
trp_smith_uoutpost|Gurzuk Kovotesák
trp_smith_uoutpost_pl|kováčska dielňa v strážnici
trp_smith_uhcamp|Rabzug Pojedač hrdze
trp_smith_uhcamp_pl|táborová kováčska dielňa
trp_smith_urcamp|Glurk
trp_smith_urcamp_pl|táborová kováčska dielňa
trp_smith_cgaladhon|Dirufin Lukár
trp_smith_cgaladhon_pl|elfskí zbrojmajstri
trp_smith_cdolen|Dimirian Šípar
trp_smith_cdolen_pl|elfskí zbrojmajstri
trp_smith_camroth|Getasistan
trp_smith_camroth_pl|elfskí zbrojmajstri
trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|kováčska dielňa
trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|kováčska dielňa
trp_smith_beorn|Beornalaf Výrobca sekier
trp_smith_beorn_pl|kováčska dielňa
trp_smith_moria|Burgak Kováč
trp_smith_moria_pl|kováčska dielňa
trp_smith_dale|Ardel Ohňoruk
trp_smith_dale_pl|kováčska dielňa
trp_smith_esgaroth|Kelegarn Lukár
trp_smith_esgaroth_pl|kováčska dielňa
trp_smith_erebor|Thror Kladibuch
trp_smith_erebor_pl|vychválené kováčské dielne
trp_smith_dunland|Dorrowuld Železná pika
trp_smith_dunland_pl|kováčska dielňa
trp_smith_harad|Har Oceľkriv
trp_smith_harad_pl|kováčska dielňa
trp_smith_khand|Pushurt Bosorák
trp_smith_khand_pl|kováčska dielňa
trp_smith_umbar|Fuinir Kováč
trp_smith_umbar_pl|kováčska dielňa
trp_smith_imladris|Duifirian
trp_smith_imladris_pl|elfskí zbrojmajstri
trp_smith_dolguldur|Shtazg Dulbash
trp_smith_dolguldur_pl|kováčska dielňa
trp_smith_north_rhun|Ognjemir Kladivo
trp_smith_north_rhun_pl|provizórna kováreň
trp_smith_gundabad|Blurg Zlatosneh
trp_smith_gundabad_pl|kováčska dielňa
trp_smith_ironhill|Kováč zo Železných hôr
trp_smith_ironhill_pl|Trpasličie táborové kovárne
trp_town_50_weaponsmith|Shruklug Nožobrus
trp_town_50_weaponsmith_pl|kováčska dielňa
trp_smith_gondor_ac|Bor Zbrojmajster
trp_smith_gondor_ac_pl|táborová kováčska dielňa
trp_smith_rohan_ac|Deor Výrobca prilieb
trp_smith_rohan_ac_pl|táborová kováčska dielňa
trp_smith_mordor_ac|Hurbag Kovobran
trp_smith_mordor_ac_pl|kováčska dielňa
trp_smith_isengard_ac|Burz Kovotresk
trp_smith_isengard_ac_pl|podzemná kováreň
trp_smith_lorien_ac|Dimirian Šípar
trp_smith_lorien_ac_pl|elfskí zbrojmajstri
trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|kováčska dielňa
trp_smith_dwarf_ac|Kováč zo Železných hôr
trp_smith_dwarf_ac_pl|Trpasličie táborové kovárne
trp_smith_gundabad_ac|Blurg Zlatosneh
trp_smith_gundabad_ac_pl|kováčska dielňa
trp_smith_rhun_ac|Branimir Bronnik
trp_smith_rhun_ac_pl|provizórna kováreň
trp_smith_guldur_ac|Shtazg Dulbash
trp_smith_guldur_ac_pl|kováčska dielňa
trp_smith_imladris_ac|Duifirian
trp_smith_imladris_ac_pl|elfskí zbrojmajstri
trp_smith_dunland_ac|Dorrowuld Železná pika
trp_smith_dunland_ac_pl|kováčska dielňa
trp_smith_harad_ac|Har Oceľkriv
trp_smith_harad_ac_pl|kováčska dielňa
trp_smith_khand_ac|Pushurt Bosorák
trp_smith_khand_ac_pl|kováčska dielňa
trp_smith_umbar_ac|Fuinir Kováč
trp_smith_umbar_ac_pl|kováčska dielňa
trp_barman_mtirith|Krčmárka
trp_barman_mtirith_pl|Citadela
trp_barman_pelargir|Krčmárka
trp_barman_pelargir_pl|Hrad
trp_barman_linhir|Krčmárka
trp_barman_linhir_pl|Hrad
trp_barman_dolamroth|Krčmárka
trp_barman_dolamroth_pl|Hrad
trp_barman_edhellond|Krčmárka
trp_barman_edhellond_pl|Hrad
trp_barman_lossarnach|Krčmárka
trp_barman_lossarnach_pl|Hrad
trp_barman_tarnost|Krčmárka
trp_barman_tarnost_pl|Hrad
trp_barman_erech|Krčmárka
trp_barman_erech_pl|Hrad
trp_barman_pinnath|Krčmárka
trp_barman_pinnath_pl|Hrad
trp_barman_hannun|Krčmárka
trp_barman_hannun_pl|Tajná jaskyňa
trp_barman_calembel|Krčmárka
trp_barman_calembel_pl|Hrad
trp_barman_edoras|Krčmárka
trp_barman_edoras_pl|Meduseld, Zlatá Sieň
trp_barman_aldburg|Krčmárka
trp_barman_aldburg_pl|Hrad
trp_barman_hornburg|Krčmárka
trp_barman_hornburg_pl|Lordové komnaty
trp_barman_eastemnet|Krčmárka
trp_barman_eastemnet_pl|Hrad
trp_barman_westfold|Krčmárka
trp_barman_westfold_pl|Hrad
trp_barman_westemnet|Krčmárka
trp_barman_westemnet_pl|Hrad
trp_barman_eastfold|Krčmárka
trp_barman_eastfold_pl|Hrad
trp_barman_baraddur|Krčmárka
trp_barman_baraddur_pl|Hrad
trp_barman_morannon|Krčmárka
trp_barman_morannon_pl|Jaskyňa vodcu
trp_barman_mmorgul|Krčmárka
trp_barman_mmorgul_pl|Veža
trp_barman_cungol|Krčmárka
trp_barman_cungol_pl|Hrad
trp_barman_isengard|Krčmárka
trp_barman_isengard_pl|Veža Orthanc
trp_barman_cgaladhon|Krčmárka
trp_barman_cgaladhon_pl|Stromový hrad
trp_barman_cdolen|Krčmárka
trp_barman_cdolen_pl|Stromový hrad
trp_barman_camroth|Krčmárka
trp_barman_camroth_pl|Stromový hrad
trp_barman_thalls|Krčmárka
trp_barman_thalls_pl|Trónna sála
trp_barman_beorn|Krčmárka
trp_barman_beorn_pl|Grizlov dom
trp_barman_moria|Krčmárka
trp_barman_moria_pl|Náčelníkova sieň
trp_barman_dale|Krčmárka
trp_barman_dale_pl|Hrad
trp_barman_esgaroth|Krčmárka
trp_barman_esgaroth_pl|Sála
trp_barman_erebor|Krčmárka
trp_barman_erebor_pl|Veľká Thrórova Sieň
trp_barman_dolguldur|Krčmárka
trp_barman_dolguldur_pl|Hrad
trp_merchant_mtirith|Obchodník so zásobami
trp_merchant_mtirith_pl|Stajne a skladište
trp_merchant_pelargir|Obchodník so zásobami
trp_merchant_pelargir_pl|Stajne a skladište
trp_merchant_linhir|Obchodník so zásobami
trp_merchant_linhir_pl|Stajne a skladište
trp_merchant_dolamroth|Obchodník so zásobami
trp_merchant_dolamroth_pl|Stajne a skladište
trp_merchant_edhellond|Obchodník so zásobami
trp_merchant_edhellond_pl|Stajne a skladište
trp_merchant_lossarnach|Obchodník so zásobami
trp_merchant_lossarnach_pl|Stajne a skladište
trp_merchant_tarnost|Obchodník so zásobami
trp_merchant_tarnost_pl|Stajne a skladište
trp_merchant_erech|Obchodník so zásobami
trp_merchant_erech_pl|Stajne a skladište
trp_merchant_pinnath|Obchodník so zásobami
trp_merchant_pinnath_pl|Stajne a skladište
trp_merchant_eosgiliath|Obchodník so zásobami
trp_merchant_eosgiliath_pl|Stajne a skladište
trp_merchant_wosgiliath|Obchodník so zásobami
trp_merchant_wosgiliath_pl|Stajne a skladište
trp_town_12_horse_merchant|Obchodník so zásobami
trp_town_12_horse_merchant_pl|Stajne a skladište
trp_town_13_horse_merchant|Obchodník so zásobami
trp_town_13_horse_merchant_pl|Stajne a skladište
trp_merchant_edoras|Obchodníčka so zásobami
trp_merchant_edoras_pl|Stajne a skladište
trp_merchant_aldburg|Obchodník so zásobami
trp_merchant_aldburg_pl|Kráľovské stajne a skladište
trp_merchant_hornburg|Obchodník so zásobami
trp_merchant_hornburg_pl|Stajne a skladište
trp_merchant_eastemnet|Obchodník so zásobami
trp_merchant_eastemnet_pl|Stajne a skladište
trp_merchant_westfold|Obchodníčka so zásobami
trp_merchant_westfold_pl|Stajne a skladište
trp_merchant_westemnet|Obchodníčka so zásobami
trp_merchant_westemnet_pl|Stajne a skladište
trp_merchant_eastfold|Obchodníčka so zásobami
trp_merchant_eastfold_pl|Stajne a skladište
trp_town_21_horse_merchant|Obchodník so zásobami
trp_town_21_horse_merchant_pl|diera a skladisko
trp_merchant_morannon|Obchodník so zásobami
trp_merchant_morannon_pl|diera a skladisko
trp_merchant_mmorgul|Obchodník so zásobami
trp_merchant_mmorgul_pl|diera a skladisko
trp_town_24_horse_merchant|Obchodník so zásobami
trp_town_24_horse_merchant_pl|diera a skladisko
trp_merchant_orc_patrol|Obchodník so zásobami
trp_merchant_orc_patrol_pl|táborový sklad
trp_merchant_isengard|Obchodník so zásobami
trp_merchant_isengard_pl|táborový sklad
trp_town_27_horse_merchant|Obchodník so zásobami
trp_town_27_horse_merchant_pl|vrrčia diera a zásoby
trp_merchant_uoutpost|Obchodník so zásobami
trp_merchant_uoutpost_pl|vrrčia diera a zásoby
trp_merchant_uhcamp|Obchodník so zásobami
trp_merchant_uhcamp_pl|vrrčia diera a zásoby
trp_merchant_urcamp|Obchodník so zásobami
trp_merchant_urcamp_pl|vrrčia diera a zásoby
trp_merchant_cgaladhon|Obchodník so zásobami
trp_merchant_cgaladhon_pl|elfské zásoby
trp_merchant_cdolen|Obchodník so zásobami
trp_merchant_cdolen_pl|elfské zásoby
trp_merchant_camroth|Obchodník so zásobami
trp_merchant_camroth_pl|elfské zásoby
trp_merchant_thranduils_halls|Obchodník so zásobami
trp_merchant_thranduils_halls_pl|elfské zásoby
trp_merchant_woodelf_camp|Obchodník so zásobami
trp_merchant_woodelf_camp_pl|elfské zásoby
trp_merchant_woodmen|Obchodník so zásobami
trp_merchant_woodmen_pl|Stajne a skladište
trp_merchant_beorn|Obchodník so zásobami
trp_merchant_beorn_pl|Stajne a skladište
trp_merchant_moria|Obchodník so zásobami
trp_merchant_moria_pl|vrrčia diera a zásoby
trp_merchant_dale|Obchodník so zásobami
trp_merchant_dale_pl|Stajne a skladište
trp_merchant_esgaroth|Obchodník so zásobami
trp_merchant_esgaroth_pl|Stajne a skladište
trp_merchant_erebor|Obchodník so zásobami
trp_merchant_erebor_pl|Trpasličie zásoby
trp_merchant_dunland|Vrchovecký skladník
trp_merchant_dunland_pl|táborový sklad
trp_merchant_harad|Haradský skladník
trp_merchant_harad_pl|táborový sklad
trp_merchant_khand|Khandský skladník
trp_merchant_khand_pl|táborový sklad
trp_merchant_umbar|Obchodník so zásobami
trp_merchant_umbar_pl|táborový sklad
trp_merchant_imladris|Obchodník so zásobami
trp_merchant_imladris_pl|táborové zásoby
trp_merchant_dolguldur|Obchodník so zásobami
trp_merchant_dolguldur_pl|Stajne a skladište
trp_merchant_north_rhun|Obchodník so zásobami
trp_merchant_north_rhun_pl|táborový sklad
trp_merchant_south_rhun|Obchodník so zásobami
trp_merchant_south_rhun_pl|táborový sklad
trp_merchant_gundabad|Obchodník so zásobami
trp_merchant_gundabad_pl|táborový sklad
trp_merchant_ironhill|Obchodník so zásobami
trp_merchant_ironhill_pl|Trpasličie zásoby
trp_town_50_horse_merchant|Gobrip Žltozub
trp_town_50_horse_merchant_pl|vrrčia diera a zásoby
trp_merchant_calembel|Obchodník so zásobami
trp_merchant_calembel_pl|Stajne a skladište
trp_elder_mtirith|Kastelán Minas Tirith
trp_elder_mtirith_pl|Biele mesto
trp_elder_pelargir|Námornícky starosta
trp_elder_pelargir_pl|mesto
trp_elder_linhir|Kastelán Linhiru
trp_elder_linhir_pl|mesto
trp_elder_dolamroth|Kastelán Dol Amrothu
trp_elder_dolamroth_pl|mesto
trp_elder_edhellond|Kastelán Edhellondu
trp_elder_edhellond_pl|mesto
trp_elder_lossarnach|Kastelán Lossarnachu
trp_elder_lossarnach_pl|menšie mesto
trp_elder_tarnost|Kastelán Tarnostu
trp_elder_tarnost_pl|menšie mesto
trp_elder_erech|Kastelán Erechu
trp_elder_erech_pl|menšie mesto
trp_elder_pinnath|Starosta Pinnathského kmeňa
trp_elder_pinnath_pl|menšie mesto
trp_elder_ethring|Kastelán Calembelu
trp_elder_ethring_pl|mesto
trp_elder_henneth|Hraničiarsky kastelán
trp_elder_henneth_pl|skrýša
trp_elder_cairandros|Kastelán Cair Androsu
trp_elder_cairandros_pl|ostrovná pevnosť
trp_elder_edoras|Edoras
trp_elder_edoras_pl|mesto
trp_elder_aldburg|Richtár Aldburgu
trp_elder_aldburg_pl|menšie mesto
trp_elder_hornburg|Richtár Helmovho žľabu
trp_elder_hornburg_pl|pevnosť
trp_elder_eastemnet|Richtár Východnej poloniny
trp_elder_eastemnet_pl|menšie mesto
trp_elder_westfold|Richtár Západneho úvalu
trp_elder_westfold_pl|menšie mesto
trp_elder_westemnet|Richtár Západnej poloniny
trp_elder_westemnet_pl|menšie mesto
trp_elder_eastfold|Richtár Východného úvalu
trp_elder_eastfold_pl|menšie mesto
trp_elder_morannon|Veliteľ Morannonu
trp_elder_morannon_pl|jaskyne s výhľadom ponad Čiernu bránu
trp_elder_mmorgul|Morgulský veliteľ
trp_elder_mmorgul_pl|mesto hrôzy
trp_elder_cungol|Veliteľ tábora
trp_elder_cungol_pl|tábor
trp_elder_isengard|Gríma Červivec
trp_elder_isengard_pl|mesto
trp_elder_cgaladhon|Lothlorienský vodca
trp_elder_cgaladhon_pl|elfská lesná pevnosť
trp_elder_cdolen|Lothlorienský múdry
trp_elder_cdolen_pl|vojenské ležanie
trp_elder_camroth|Lothlorienský múdry
trp_elder_camroth_pl|vojenské ležanie
trp_elder_thalls|Temnohvozdský múdry
trp_elder_thalls_pl|elfské jaskyne
trp_elder_imladris|Veliteľ tábora z Roklinky
trp_elder_imladris_pl|tábor
trp_elder_wvillage|Vrchný lesník
trp_elder_wvillage_pl|dedina
trp_elder_beorn|Grizlovecký starší
trp_elder_beorn_pl|osada
trp_elder_harad|Táborový náčelník Haradu
trp_elder_harad_pl|tábor
trp_elder_rhun|Táborový náčelník Rhunu
trp_elder_rhun_pl|tábor
trp_elder_khand|Táborový veliteľ Khandu
trp_elder_khand_pl|tábor
trp_elder_dunland|Náčelník tábora Vrchovcov
trp_elder_dunland_pl|tábor
trp_elder_umbar|Korzársky Hajtman
trp_elder_umbar_pl|opevnený tábor
trp_elder_moria|Mórijský dozorca
trp_elder_moria_pl|Bane
trp_elder_gunda|Pán Jaskyní
trp_elder_gunda_pl|jaskyne
trp_elder_dale|Dálsky Hajtman
trp_elder_dale_pl|mesto
trp_elder_esgaroth|Hajtman Esgarothu
trp_elder_esgaroth_pl|jazerné mesto
trp_elder_erebor|Cechovný majster Ereboru
trp_elder_erebor_pl|Siene
trp_elder_dolguldur|Veliteľ Gulduru
trp_elder_dolguldur_pl|čierny hrad
trp_elder_gondor_ac|Veliteľ tábora
trp_elder_gondor_ac_pl|tábor
trp_elder_rohan_ac|Veliteľ tábora
trp_elder_rohan_ac_pl|tábor
trp_elder_mordor_ac|Veliteľ tábora
trp_elder_mordor_ac_pl|tábor
trp_elder_isengard_ac|Veliteľ tábora
trp_elder_isengard_ac_pl|tábor
trp_elder_lorien_ac|Veliteľ tábora
trp_elder_lorien_ac_pl|tábor
trp_elder_woodelf_ac|Veliteľ tábora
trp_elder_woodelf_ac_pl|tábor
trp_elder_imladris_ac|Veliteľ tábora
trp_elder_imladris_ac_pl|tábor
trp_elder_beorn_ac|Veliteľ tábora
trp_elder_beorn_ac_pl|tábor
trp_elder_harad_ac|Táborový náčelník Haradu
trp_elder_harad_ac_pl|tábor
trp_elder_rhun_ac|Táborový náčelník Rhunu
trp_elder_rhun_ac_pl|tábor
trp_elder_khand_ac|Táborový veliteľ Khandu
trp_elder_khand_ac_pl|tábor
trp_elder_dunland_ac|Náčelník tábora Vrchovcov
trp_elder_dunland_ac_pl|tábor
trp_elder_umbar_ac|Korzársky Hajtman
trp_elder_umbar_ac_pl|tábor
trp_elder_moria_ac|Veliteľ tábora Morie
trp_elder_moria_ac_pl|tábor
trp_elder_gunda_ac|Veliteľ tábora Gundabadu
trp_elder_gunda_ac_pl|tábor
trp_elder_dale_ac|Dálsky Hajtman
trp_elder_dale_ac_pl|tábor
trp_elder_guldur_ac|Veliteľ tábora Gulduru
trp_elder_guldur_ac_pl|tábor
trp_elder_dwarf_ac|Veliteľ tábora trpaslíkov
trp_elder_dwarf_ac_pl|tábor
trp_village_1_elder|Pán Biča
trp_village_1_elder_pl|jaskyne
trp_tutorial_chest_1|Truhla so zbraňami na blízko
trp_tutorial_chest_2|Truhla so zbraňami na diaľku
trp_bonus_chest_1|Bonusová truhlica
trp_bonus_chest_2|Bonusová truhlica
trp_bonus_chest_3|Bonusová truhlica
trp_camp_chest_faction|Truhlica frakcie
trp_camp_chest_none|Nikomu nepatriaca truhla
trp_player_chest|Tvoja truhla
trp_local_merchant|Miestny kupec
trp_local_merchant_pl|Miestni kupci
trp_tax_rebel|Roľnícky vzbúrenec
trp_tax_rebel_pl|Roľnícki vzbúrenci
trp_trainee_peasant|Roľník
trp_trainee_peasant_pl|Roľníci
trp_fugitive_man|Podozrivý muž
trp_fugitive_man_pl|Podozriví muži
trp_fugitive_elf|Podozrivý elf
trp_fugitive_elf_pl|Podozrivý elfovia
trp_fugitive_dwarf|Podozrivý trpaslík
trp_fugitive_dwarf_pl|Podozriví trpaslíci
trp_fugitive_orc|Podozrivý ohyzd
trp_fugitive_orc_pl|Podozrivý ohyzdi
trp_spy|Vyhýbavý korzár
trp_spy_pl|Vyhýbaví korzáry
trp_spy_evil|Vyhýbavý južan
trp_spy_evil_pl|Vyhýbaví južania
trp_spy_partner|Cvičiteľ špehov
trp_spy_partner_pl|Cvičitelia špehov
trp_spy_partner_evil|Cvičiteľ špehov
trp_spy_partner_evil_pl|Cvičitelia špehov
trp_easter_egg_troll|Zlobor
trp_treebeard|Stromobrad
trp_ent_1|Bregalad -Rýchlolúč-
trp_ent_2|Finglas -Listovlas-
trp_ent_3|Fladrif -Kôroš-
trp_gandalf|Gandalf
trp_gandalf_pl|tuzemský Gandalfovia
trp_nazgul|Nazgul
trp_nazgul_pl|Skrotený Nazgul
trp_barman|Barman
trp_elder|Starosta centra
trp_gear_merchant|Zbrojmajster
trp_goods_merchant|Obchodník so zásobami
trp_start_quest_caravaneer|Torbal Karavanista
trp_dorwinion_bandit|Dorwinionský bandita
trp_dorwinion_bandit_pl|Dorwinionskí banditi
trp_dorwinion_raider|Dorwinionský lupič
trp_dorwinion_raider_pl|Dorwninionský nájazdníci
trp_city_guard|Mestská stráž
trp_city_guard_pl|mestská stráž
trp_orc_sentry|Ohyzdia stráž
trp_orc_sentry_pl|ohyzdia stráž
trp_uruk_hai_sentry|Uruk-haiská stráž
trp_uruk_hai_sentry_pl|uruk-haiská stráž
trp_black_numenorean_sorcerer|Čierno-númenorejský černokňažník
trp_black_numenorean_sorcerer_pl|Čierno-númenorejský černokňažník
trp_black_numenorean_acolyte|Čierno-númenorejský pomocník
trp_black_numenorean_acolyte_pl|Čierno-númenorejský pomocník
trp_wolf_rider_of_mirkwood|Vlčí jazdec z Temnohvozdu
trp_wolf_rider_of_mirkwood_pl|Vlčí jazdci z Temnohvozdu
trp_warg_rider_of_mirkwood|Vrrčí jazdec z Temnohvozdu
trp_warg_rider_of_mirkwood_pl|Vrrčí jazdci z Temnohvozdu
trp_gate_aggravator|Obrana Brány
trp_orc_pretender|Ohyzdí podvodník
trp_human_prisoner|Ľudský zajatec
trp_spider|Temnohvozdský pavúk
trp_spider_pl|Temnohvozdskí pavúci
trp_bear|Medveď
trp_bear_pl|Medvede
trp_wolf|Vlk
trp_wolf_pl|Vlky
trp_dorwinion_sack|Vrece z Dorwinionu
trp_ring_hunter_captain|Lovec prsteňa - kapitán
trp_ring_hunter_lt|Lovec prsteňa - kapitán
trp_ring_hunter_one|Lovec prsteňa
trp_ring_hunter_one_pl|Hľadači Prsteňa
trp_ring_hunter_two|Lovec prsteňa
trp_ring_hunter_two_pl|Hľadači Prsteňa
trp_ring_hunter_three|Lovec prsteňa
trp_ring_hunter_three_pl|Hľadači Prsteňa
trp_ring_hunter_four|Lovec prsteňa
trp_ring_hunter_four_pl|Hľadači Prsteňa
trp_start_quest_uruk|Mordorský Urukský kapitán
trp_start_quest_orc|Mordorský Urukský poručík
trp_start_quest_orc_pl|Veľkí ohyzdi z Mordoru
trp_start_quest_woodelf|Urodzený ostrostrelec Galadhrim
trp_start_quest_woodelf_pl|Urodzení ostrostrelec Galadhrim
trp_start_quest_mordor_scout|Mordorský sprievodca
trp_start_quest_mordor_scout_pl|Mordorský sprievodcovia
trp_start_quest_beorning|Grizlovecký berserk z Carrocku
trp_start_quest_beorning_pl|Grizloveckí berserkovia z Carrocku
trp_i6_beorning_bear_warrior|Medvedí bojovník
trp_i6_beorning_bear_warrior_pl|Medvedí bojovníci
trp_morannon_healer|Okstuk Liečiteľ
trp_minas_tirith_healer|Ioreth
trp_edoras_healer|Freya Liečiteľka
trp_isengard_healer|Nurgal Zašívač
trp_guldur_healer|Mornagar Pisár
trp_gundabad_healer|Lurgakh Tretie Oko
trp_mirkwood_healer|Corwiel Mäkkoruký
trp_hungry_uruk|Hladný Uruk
trp_hungry_orc|Hladný Ohyzd
trp_longing_lorien|Túžobný Elf
trp_longing_woodelf|Túžobný Elf
trp_longing_imladris|Túžobný Elf
trp_i5_deep_dweller_of_moria|Ohyzd z hĺbin Morie
trp_i5_deep_dweller_of_moria_pl|Ohyzdi z hĺbin Morie
trp_i5_orc_chieftain_of_moria|Ohyzdí náčelník z Morie
trp_i5_orc_chieftain_of_moria_pl|Ohyzdí náčelníci z Morie
trp_c5_rhovanion_noble|Rhovanionský šľachtic
trp_c5_rhovanion_noble_pl|Rhovanionskí šľachtici
trp_npc18|Turmbathu
trp_npc19|Heidrek
trp_npc20|Zigûrphel
trp_werewolf|Vlkodlak
trp_werewolf_pl|Vlkodlaci
trp_mountain_goblin2|Horský goblin
trp_mountain_goblin2_pl|Horský goblini
trp_tribal_orc2|Kmeňový ohyzd
trp_tribal_orc2_pl|Kmeňoví ohyzdi
trp_tribal_orc_warrior2|Bojový kmneňový ohyzd
trp_tribal_orc_warrior2_pl|Bojoví kmeňoví ohyzdi
trp_tribal_orc_chief2|Ohyzdí náčelník kmeňa
trp_tribal_orc_chief2_pl|Ohyzdí náčelníci kmeňa
