
str_yes|Áno.
str_harad_rumor_12|Mnohý rytieri Harondoru dávajú prednosť šabliam pred rovnými čepeľami. Sú vhodné na sekanie utekajúcich vidiečanov, ale potrebuješ kopiju alebo aspoň dobrý meč, aby si dokázal preraziť silné brnenie.
str_harad_rumor_13|Môj pokrvný brat sa zapísal s Karkou - je teraz prieskumníkom. Jazdci Fangu vedú život plný nebezpečenstiev, ale je to dobrá skúsenosť pre rozjarených mladíkov.
str_harad_rumor_14|Nikdy sa neskús bojovať s bratstvom Leva! Svoju povesť si vskutku vyslúžili.
str_harad_rumor_15|Kiežby sme mali viac zbraní ukutých z čierneho železa. Mnohí stále nosia čepele z bronzu, niektorí si dokonca vystačia s drevenými kyjmi a oštepmi z čierneho skla, pričom sa vrhajú do boja takmer s holým zadkom.
str_gunda_rumor_begin|Vezmime ľuďom ich teplučké kraje!
str_gunda_rumor_2|Sharkû prisľúbil teplé jaskyne.
str_gunda_rumor_3|Dosť už bolo trčania v studených jaskyniach! Vypochodujeme do teplých krajov ľudí.
str_gunda_rumor_4|Raz som s kumpánmi v šachtách zočil voľajakého slizkého zbabelca, ale nedokázali sme ho chytiť. Keď sme sa priblížili, tak nám skrátka zmizol pred raťafákmi.
str_gunda_rumor_5|Isengardskí si myslia, že sú niečo viac len preto, že ich ten starec vyzbrojuje.
str_gunda_rumor_6|Vypálime ľudské osady, aby nám bolo teplo.
str_gunda_rumor_7|Ľudská zberba najprv pocíti omrzliny. A potom im prinesieme oheň. Ha ha ha!
str_gunda_rumor_8|Azog a Bolg takmer porazili trpaslíkov, elfov a ľudskú zberbu, keď s nimi bojovali naposledy. Ale tie vtáčie obludy a medvedí ľud ich zachránili. *pfuj*
str_gunda_rumor_9|Trpasličie mäso je tuhé a plné šliach. Človečina je lepšia.
str_gunda_rumor_10|Medvedí ľud vyšiel z lesov a zožral Boldusha. Smola pre Boldusha! Ha ha ha!
str_gunda_rumor_11|Niektorí sa uchýlili do Morie, je tam veľa miesta. Avšak tam v hlbinách tiež bdie Ghâsh. Je lepšie sa odtiaľ držať ďalej!
str_moria_rumor_begin|Ak začuješ bubny - uháňaj preč a schovaj sa!
str_moria_rumor_2|V hlbinách pobýva Ghâsh!
str_moria_rumor_3|Skaza! Skaza! Skaza! Bubny znejú v hlbinách.
str_moria_rumor_4|Moria je veľká, ale trpaslíci sa tu už neschovávajú.
str_moria_rumor_5|Trpaslíci kopali príliš hlboko. Tým lepšie pre nás. Ha ha ha!
str_moria_rumor_6|Tu v Morii je mnoho tunelov. Nechodíme do všetkých.
str_moria_rumor_7|Nejaká ľudská zberba s trpaslíkmi pred časom prekĺzla skrz naše stráže až do dolov. Od vtedy sme zdvojili hliadky.
str_moria_rumor_8|Trpaslíci by sem už radšej nikdy nemali vkročiť! Nikdy!
str_moria_rumor_9|Až nás bude dosť, vylezieme odtiaľ a vypálime elfské lesy.
str_moria_rumor_10|V Moriii nie je mnoho čo pod zub. Hladujeme. Musíme si chytiť nejakú človečinu či elfa.
str_moria_rumor_11|Niektorí sa odvážia vojsť do lesa na juhu. Ešte sa nikdy nikto nevrátil.
str_umbar_rumor_begin|Všetky moria budú náležať čiernym plachtám!
str_umbar_rumor_2|Už nit žiadnych gondorských lodí, aké by sa dali potopiť. Teraz poplienime vnútrozemie.
str_umbar_rumor_3|Naši Noční jazdci dokážu bojovať po tme rovnako dobre, ako za jasného svetla. Stoja v čele našich prieskumných hliadok hlboko vo vnútrozemí.
str_umbar_rumor_4|Gondorskí neovládajú moreplavbu! Sú to suchozemci.
str_umbar_rumor_5|V minulosti sme vybili gondorských kráľov. Teraz a teraz už Gondor nemá nikoho, kto by vybil nás.
str_umbar_rumor_6|Podlí Gondorskí nám kedysi podpálili flotilu. Teraz to budem sám Gondor, ktorý zhorí.
str_umbar_rumor_7|Ničoho takého v mori niet, čo by korzára postrašilo. Avšak začuli sme znepokojujúce zvesti o niektorých suchozemských tvoroch.
str_umbar_rumor_8|Pohltíme Gondor ako obrovská vlna a znovu získame naše stratené kraje.
str_umbar_rumor_9|Haradrimskí nepijú rum. Vedel si to?  Mi si trocha logneme, vieš, pre pevnejší stisk harpúny.
str_umbar_rumor_10|Videl som už pár varjagov z Khandu bojovať. Nechcel by som im čeliť v boji. Ešte že sú na našej strane.
str_khand_rumor_begin|Boj je boj, nezáleží na tom, jak krvavý. Ale ústup je ozajstná hanba!
str_khand_rumor_2|Keď raz vytasíme meče, tak im už musíme dať riadne napiť!
str_khand_rumor_3|Zem sa trasie poď ťažkou jazdou našich katafraktov, ale naši nepriatelia sa rozklepú už len pri zmienke o nás.
str_khand_rumor_4|Tentokrát sme za sebou ponechali vozatajov; náš útok nepriateľov zastihne nepripravených.
str_khand_rumor_5|Sme variagovja z Khandu, najobávanejší bojovníci široko ďaleko!
str_khand_rumor_6|Rhunskí bojovníci sú tiež prudkí, ale bojujú zo sedla, my radšej tlčieme nepriateľov pešmo.
str_khand_rumor_7|V minulosti sme už s Gondorom zdieľali bojové pole, tentokrát ten boj už nadobro ukončíme!
str_khand_rumor_8|Západ je slabý a a rozpadá sa. Nemajú v sebe bojového ducha. Padnú na ostriach našich mečov a sekier.
str_khand_rumor_9|Nebojujeme za zlato alebo otrokov, ale za česť a slávu!
str_khand_rumor_10|Ľudia zo Západu sú spupní; netušia, čomu čelia!
str_khand_rumor_11|Obchodujeme s Rhunom, Mordorom a Haradom. Niekedy s nimi tiež bojujeme, to je pravda. Ale to je už povaha nášho ľudu.
str_khand_rumor_12|Už si si vyrobil svoju bojovú masku? Čoskoro nejakú budeš potrebovať! Pokiaľ nepriateľ nezočí tvoju tvár, jeho duch ťa nebude môcť nájsť.
str_good_rumor_begin|Vzbĺkne zasa oheň zo sivého popola, Pustá pláň sa zaskvie bralom; Puknutý, no skutý meč nič nezdolá, Kto je bez koruny, bude zas kráľom.
str_good_rumor_2|Ohyzdi bojujú v noci lepšie, ale za dňa oslabnú.
str_good_rumor_3|Urukhai sú iné plemeno ohyzdov; neboja sa slnečného svetla!
str_good_rumor_4|Po porážke a následnej dobe pokoja na seba vždy Tieň vezme inú podobu a opäť rastie.
str_good_rumor_5|Mŕtve močiare... zem zneuctená, zničená nad všetku obnovu.
str_good_rumor_6|Tieň dokáže len kaziť a kriviť, nedokáže sám zo seba nič vytvoriť. Nemyslím, že ohyzdom vdýchol život, len ich ovládol a skaličil im podstatu.
str_good_rumor_7|Kedysi sa nazýval Zelený hvozd a žilo v ňom mnoho elfov. Najväčší z hvozdov severu. Ale teraz je to Temnohvozd. Túlajú sa po ňom rôzne tvory, často skazené tieňom.
str_good_rumor_8|Argonath, Sochy Kráľov, veľkí strážcovia starej severnej hranice Gondoru.
str_good_rumor_9|Amon Hen je najzápadnejším z troch výbežkov na južnom konci Nen Hithoelu.
str_neutral_rumor_begin|Zajtra sa všetko môže zmeniť...
str_neutral_rumor_2|Mŕtve močiare... miesto znesvätené a rozvrátené,
str_neutral_rumor_3|Kedysi toto miesto bývalo úplne iné.
str_neutral_rumor_4|Ľudia bojujú za tmy horšie. Ale sú tu aj takí, ktorí sú zvyknutí na zoru noci.
str_evil_rumor_begin|Ohyzdi bojujú lepšie v noci, ľudia zase za dňa.
str_evil_rumor_2|S jazdcom bojuj s pikou v ruke, na pešiaka uži šíp, pred lukostrelcom sa bráň štítom.
str_evil_rumor_3|Vysoké sochy slabochov na veľkej rieke už nebudú dlho stáť.
str_legendary_rumor_begin|Povesti hovoria, že stromy vo Farngorne chodia a rozprávajú.
str_legendary_rumor_amonhen|Hovorí sa, že je to zvláštne miesto na Anduine, niekde vôkol veľkých sôch.
str_legendary_rumor_deadmarshes|Hovorí sa, že mŕtvi sa uprostred Mŕtvych močiarov zdajú živí.
str_legendary_rumor_mirkwood|V Temnohvozde pobývajú aj iné tvory, než ohyzdi.
str_legendary_rumor_fangorn|Je najlepšie sa Farngornu vyhnúť. Stávajú sa tam podivné veci.
str_last_rumor|V poslednej dobe som nezačul nič zaujímavé.
str_ent_rumor_begin|Nebuď unáhlený..
str_ent_rumor_2|Nauč sa príbehy rôznych tvorstiev! Najprv menuj štyri slobodné národy: Najstaršie zo všetkých sú elfské deti; Trpaslík je haviar, tma je v jeho dome; Ent je zrodený zo zeme starej ako hory; Človek je smrteľný, on je pánom koní.
str_ent_rumor_3|Stará entčina nádherný jazyk, ale trvá dlho, než v nej jeden niečo dokáže povedať, pretože mi nehovoríme nikdy nič, dokiaľ to nestojí za dlhú reč a počutie.
str_gondor_rank_0|Prostý človek z Gondoru
str_gondor_rank_1|Vojak z Gondoru
str_gondor_rank_2|Gondorský Veliteľ
str_gondor_rank_3|Rytier z Gondoru
str_gondor_rank_4|Gondorský Strážca Citadely
str_gondor_rank_5|Rytier Citadely Gondoru
str_gondor_rank_6|Strážca Správcu Gondoru
str_gondor_rank_7|Kapitán z Gondoru
str_gondor_rank_8|Šampión Gondoru
str_gondor_rank_9|Hrdina Gondoru
str_dwarf_rank_0|Trpasličí Zelenáč
str_dwarf_rank_1|Trpasličí Haviar
str_dwarf_rank_2|Trpasličí Bojovník
str_dwarf_rank_3|Trpasličí Dlhobradý
str_dwarf_rank_4|Trpasličí Sekerník
str_dwarf_rank_5|Trpasličí Majster Sekerník
str_dwarf_rank_6|Trpasličí Šedobradý
str_dwarf_rank_7|Trpasličí Veliteľ
str_dwarf_rank_8|Trpasličí Náčelník
str_dwarf_rank_9|Hrdina Siení
str_rohan_rank_0|Ceorl, Prostý človek z Rohanu
str_rohan_rank_1|Thain, Sluha z Rohanu
str_rohan_rank_2|Léod, Slobodník Rohanu
str_rohan_rank_3|Rohir, Jazdec Rohanu
str_rohan_rank_4|Scyldbora, Štítonoš Rohanu
str_rohan_rank_5|Swéordbora, Mečiar Rohanu
str_rohan_rank_6|Frumgar, Prvý kopijník Rohanu
str_rohan_rank_7|Bealdoraed, Najvyšší radca Rohanu
str_rohan_rank_8|Eorl, Šľachtic z Rohanu
str_rohan_rank_9|Haleth, Hrdina Rohanu
str_mordor_rank_0|Červ
str_mordor_rank_1|Snaga
str_mordor_rank_2|Špehúň z Gorgorothu
str_mordor_rank_3|Hliadka Cirith Ungolu
str_mordor_rank_4|Otrokár z Udûnu
str_mordor_rank_5|Plieniteľ z Durthangu
str_mordor_rank_6|Strážca z Morannonu
str_mordor_rank_7|Veliteľ z Minas Morgulu
str_mordor_rank_8|Veliteľ z Barad-dûr
str_mordor_rank_9|Metla Ľudí
str_isengard_rank_0|Potkan
str_isengard_rank_1|Snaga
; str_isengard_rank_2|Crankturner
str_isengard_rank_3|Podpaľač stromov
str_isengard_rank_4|Kŕmič vrrkov
str_isengard_rank_5|Hutník
str_isengard_rank_6|Kováč
str_isengard_rank_7|Veliteľ z Orthancu
str_isengard_rank_8|Veliteľ légií
str_isengard_rank_9|Čarodejníkova biela ruka
str_lorien_rank_0|Sador, Verný Lórienu
str_lorien_rank_1|Tauron, Lesník Lórienu
str_lorien_rank_2|Mifaron, Šedý lovec Lórienu
str_lorien_rank_3|Thindirith, Šedý strážca Lórienu
str_lorien_rank_4|Thangyl, Štítonoš Lórienu
str_lorien_rank_5|Maglagyl, Mečiar Lórienu
str_lorien_rank_6|Tiribrannon, Ochránca Lórienu
str_lorien_rank_7|Glaurchir, Veľmajster Lórienu
str_lorien_rank_8|Galadhîr, Žiarivý pán Lórienu
str_lorien_rank_9|Thalion, Hrdina Lórienu
str_imladris_rank_0|Háno, Brat Imladris
str_imladris_rank_1|Macar, Bojovník Imladris
str_imladris_rank_2|Sindacollo, Šedý plášť Imladris
str_imladris_rank_3|Luinëcollo, Modrý plášť Imladris
str_imladris_rank_4|Turmacolindo, Štítonoš Imladrisu
str_imladris_rank_5|Langocolindo, Mečiar Imladrisu
str_imladris_rank_6|Aráto, Šampión Imladrisu
str_imladris_rank_7|Hesto, Veliteľ z Imladrisu
str_imladris_rank_8|Runando, Vykupiteľ Imladrisu
str_imladris_rank_9|Callo, Hrdina Imladrisu
str_woodelf_rank_0|Sador, Verný Zelenohvozdu
str_woodelf_rank_1|Tauron, Lesník Zelenohvozdu
str_woodelf_rank_2|Hirfaron, Najvyšší lovec Zelenohvozdu
str_woodelf_rank_3|Calendirith, Zelená stráž Zelenohvozdu
str_woodelf_rank_4|Thangyl, Štítonoš Zelenohvozdu
str_woodelf_rank_5|Maglagyl, Mečiar Zelenohvozdu
str_woodelf_rank_6|Tiribrannon, Strážca Zelenohvozdu
str_woodelf_rank_7|Pengherdir, Ostrostrelec Zelenohvozdu
str_woodelf_rank_8|Armagor, Urodzení šermiar Zelenohvozdu
str_woodelf_rank_9|Thalion, Hrdina Zelenohvozdu
str_dale_rank_0|Obyčajný človek z Dolu
str_dale_rank_1|Slobodník z Dolu
str_dale_rank_2|Vojak Dolu
str_dale_rank_3|Lodník Dolu
str_dale_rank_4|Štítonoš Dolu
str_dale_rank_5|Mečiar Dolu
str_dale_rank_6|Barding, Lukostrelec Dolu
str_dale_rank_7|Kapitán z Dolu
str_dale_rank_8|Porybný Dolu
str_dale_rank_9|Hrdina Dolu
; str_harad_rank_0|Initiate of the Tribe
str_harad_rank_1|Dospelý z Kmeňa
str_harad_rank_2|Bojovník z Kmeňa
str_harad_rank_3|Zabijak levov
str_harad_rank_4|Zaklínač hadov
str_harad_rank_5|Krotiteľ Mumakilov
str_harad_rank_6|Černohadská stráž
str_harad_rank_7|Kapitán Harondoru
str_harad_rank_8|Náčelník Veľkej Púšte
str_harad_rank_9|Zlatý Had
str_rhun_rank_0|Stepný sedliak z Rhunu
str_rhun_rank_1|Nevoľník z Rhunu
str_rhun_rank_2|Bojovník Rhunu
str_rhun_rank_3|Býčí bojovník Rhunu
str_rhun_rank_4|Štítonoš Rhunu
str_rhun_rank_5|Mečiar Rhunu
str_rhun_rank_6|Jazdec z Rhunu
str_rhun_rank_7|Vojvoda z Rhunu
str_rhun_rank_8|Náčelník Stepných kmeňov
str_rhun_rank_9|Khamûlova pravá ruka
str_khand_rank_0|Obyčajný človek z Khandu
str_khand_rank_1|Poddaný Khandu
str_khand_rank_2|Variagský bojovník
str_khand_rank_3|Sokolí bojovník Khandu
str_khand_rank_4|Štítonoš Khandu
str_khand_rank_5|Mečiar Khandu
str_khand_rank_6|Jazdec Khandu
str_khand_rank_7|Vojvoda Varjagov
str_khand_rank_8|Náčelník Varjagských kmeňov
str_khand_rank_9|Legendárny dobyvateľ
str_umbar_rank_0|Suchozemec
str_umbar_rank_1|Neskúsený lodník
str_umbar_rank_2|Námorník
str_umbar_rank_3|Harpunár
str_umbar_rank_4|Hrdlorez
str_umbar_rank_5|Plieniteľ
str_umbar_rank_6|Kapitán lode
str_umbar_rank_7|Kapitán z Umbaru
str_umbar_rank_8|Veliteľ flotily
str_umbar_rank_9|Admirál morí
str_moria_rank_0|Červ
str_moria_rank_1|Snaga
str_moria_rank_2|Tunelová krysa
str_moria_rank_3|Jaskyniar
; str_moria_rank_4|Plunderer of the Mines
; str_moria_rank_5|Despoiler of the Halls
str_moria_rank_6|Zhuba Trpaslíkov
str_moria_rank_7|Škretí vojvodca
; str_moria_rank_8|Goblin Chief
; str_moria_rank_9|Terror from the Deep
str_guldur_rank_0|Červ
str_guldur_rank_1|Snaga
str_guldur_rank_2|Špehúň z Gorgorothu
str_guldur_rank_3|Strážca Cirith Ungolu
str_guldur_rank_4|Otrokár z Udûnu
str_guldur_rank_5|Plieniteľ z Durthangu
str_guldur_rank_6|Strážca Morannonu
str_guldur_rank_7|Veliteľ Minas Morgulu
str_guldur_rank_8|Veliteľ Barad-dûr
str_guldur_rank_9|Metla Ľudí
; str_gundabad_rank_0|Turd
str_gundabad_rank_1|Snaga
str_gundabad_rank_2|Tunelová krysa
str_gundabad_rank_3|Jaskyniar
; str_gundabad_rank_4|Plunderer of the Hills
; str_gundabad_rank_5|Despoiler of the Mountains
str_gundabad_rank_6|Zhuba Trpaslíkov
; str_gundabad_rank_7|Wargrider Warlord
; str_gundabad_rank_8|Great Goblin
; str_gundabad_rank_9|Pillager of the North
; str_dunland_rank_0|Pup
; str_dunland_rank_1|Dog
; str_dunland_rank_2|Wardog
str_dunland_rank_3|Vlk
; str_dunland_rank_4|Strong Wolf
; str_dunland_rank_5|Dire Wolf
; str_dunland_rank_6|Great Wolf
; str_dunland_rank_7|Wolfpack Leader
; str_dunland_rank_8|Chief of the Clans
; str_dunland_rank_9|Freca's Avenger
; str_beorn_rank_0|Forest Cub
; str_beorn_rank_1|Forest Tracker
; str_beorn_rank_2|Forest Hunter
; str_beorn_rank_3|Forest Ranger
; str_beorn_rank_4|Forest Shieldbearer
; str_beorn_rank_5|Forest Axebearer
; str_beorn_rank_6|Forest Bear
; str_beorn_rank_7|Forest Great Bear
; str_beorn_rank_8|Forest Giant
; str_beorn_rank_9|Hero of the Forests
; str_tld_introduction|TLD Introduction - you should go to Edoras.
; str_tld_erebor_dungeon|The smell of death surrounds this place. I'd better be careful.
; str_tld_spear_hit|Ouch!
; str_fullname_region_unknown|an unnamed region, somewhere in Middle Earth
; str_fullname_region_pelennor|Pelennor Fields, the plains around Minas Tirith, capital of the Realm of Gondor
; str_fullname_region_subfac_pelargir|the Fiefdom of Lebennin, part of the Realm of Gondor
; str_fullname_region_subfac_dol_amroth|Belfalas, the costal region in the South of Gondor
; str_fullname_region_subfac_ethring|Ringló Vale, a valley of the Realm of Gondor
; str_fullname_region_subfac_lossarnach|the Fiefdom of Lossarnach, also known as the Vale of Flowers, part of the Realm of Gondor
; str_fullname_region_subfac_pinnath_gelin|the Green Hills of Pinnath Gelin, a region in the Realm of Gondor
; str_fullname_region_subfac_blackroot|the Fiefdom of Lamedon, part of the Realm of Gondor
; str_fullname_region_n_ithilien|North Ithilien, easternmost province of the Realm of Gondor
; str_fullname_region_c_ithilien|Emyn Arnen, a range of hills in the central regions of Ithilien, across the Great River from Minas Tirith
; str_fullname_region_s_ithilien|South Ithilien, easternmost province of the Realm of Gondor
; str_fullname_region_druadan_forest|Drúadan Forest, the Gondor Forest of the Drúedain
; str_fullname_region_firien_wood|Firien wood, the Whispering Wood, a Gondor forest of oaks
; str_fullname_region_anorien|Anórien, the Sun-land, a valley between the White Mountains and the Anduin river
; str_fullname_region_rohan0|the Folde, the heart of Rohan
; str_fullname_region_rohan1|the Eastemnet, a part of Rohan, the Riddermark
; str_fullname_region_rohan2|the Westemnet, a part of Rohan, the Riddermark
; str_fullname_region_rohan3|the Eastfold, a part of Rohan, the Riddermark
; str_fullname_region_rohan4|the Westfold, a part of Rohan, the Riddermark
; str_fullname_region_rohan5|Helm's Deep, a valley of the White Mountains, in Rohan
; str_fullname_region_the_wold|the Wold, the Northeastern area of the Riddermark of Rohan
; str_fullname_region_gap_of_rohan|the Gap of Rohan, the westernmost border of Rohan, a contested area between the Rohirrim and the Dunlendings.
; str_fullname_region_entwash|the Mouths of the Entwash, where the Rohan river Entwash joins the Anduin
; str_fullname_region_wetwang|Nindalf, the swamps of Wetwang
; str_fullname_region_dead_marshes|the Dead Marshes, the ancient battlefield of the great Battle of Dagor Dagorlad, now a cursed place
; str_fullname_region_isengard|the plains around Isengard
; str_fullname_region_fangorn|the Fangorn forest, where trees are said to talk.
; str_fullname_region_brown_lands|the Brown Lands, covering the expanse between the Emyn Muil and Mirkwood
; str_fullname_region_dagorlad|the Dagorlad, the great, treeless, expanse of The Battle Plain, before the gates of Mordor
; str_fullname_region_n_undeep|the North Undeep, the larger of the two Anduin meanders
; str_fullname_region_s_undeep|the South Undeep, the lesser of the two large Anduin bends
; str_fullname_region_emyn_muil|Emyn Muil, the rocky hills above the inflow of the Entwash
; str_fullname_region_misty_mountains|the foothills of Misty Mountains
; str_fullname_region_lorien|Lothlórien, the forest of the Sindar elves, where the golden Mallorns grow
; str_fullname_region_anduin_banks|the valley of Anduin, between Misty Mountains and Mirkwood
; str_fullname_region_n_mirkwood|the dense forests of northern Mirkwood, home of the Woodelves
; str_fullname_region_s_mirkwood|the dense forest of southern Mirkwood, said to be infested by strange creatures
; str_fullname_region_above_mirkwook|Northen Rhovanion, the area between Mirkwood and the Grey Mountains in the North
; str_fullname_region_grey_mountains|the foothills of Grey Mountains, where Dwarves dwell
; str_fullname_region_mordor|Mordor, the dark Realm of Sauron
; str_fullname_region_dimrill|Dimrill Dale, at the feet of the Mountains of Moria
; str_fullname_region_s_rebor|the realm of Dale, at the feet of the Lonely Mountain
; str_shortname_region_unknown|an unnamed region
; str_shortname_region_pelennor|Pelennor Fields
; str_shortname_region_subfac_pelargir|the Fiefdom of Lebennin
; str_shortname_region_subfac_dol_amroth|Belfalas
; str_shortname_region_subfac_ethring|Ringló Vale
; str_shortname_region_subfac_lossarnach|the Fiefdom of Lossarnach
; str_shortname_region_subfac_pinnath_gelin|the region of Pinnath Gelin
; str_shortname_region_subfac_blackroot|the Fiefdom of Lamedon
; str_shortname_region_n_ithilien|North Ithilien
; str_shortname_region_c_ithilien|Emyn Arnen
; str_shortname_region_s_ithilien|South Ithilien
; str_shortname_region_druadan_forest|Drúadan Forest
; str_shortname_region_firien_wood|Firien wood
; str_shortname_region_anorien|Anórien
; str_shortname_region_rohan0|the Folde
; str_shortname_region_rohan1|Eastemnet
; str_shortname_region_rohan2|Westemnet
str_shortname_region_rohan3|Východný úval
str_shortname_region_rohan4|Západný úval
; str_shortname_region_rohan5|Helm's Deep
; str_shortname_region_the_wold|the Wold
; str_shortname_region_gap_of_rohan|the Gap of Rohan
; str_shortname_region_entwash|the Mouths of the Entwash
; str_shortname_region_wetwang|Nindalf
; str_shortname_region_dead_marshes|the Dead Marshes
; str_shortname_region_isengard|the plains around Isengard
; str_shortname_region_fangorn|Fangorn
; str_shortname_region_brown_lands|the Brown Lands
; str_shortname_region_misty_mountains|the foothills of Misty Mountains
str_shortname_region_lorien_|Lorien
; str_shortname_region_anduin_banks_|the valley of Anduin
; str_shortname_region_n_mirkwood_|North Mirkwood
; str_shortname_region_s_mirkwood_|South Mirkwood
; str_shortname_region_above_mirkwook|Northen Rhovanion
; str_shortname_region_grey_mountains|the foothills of Grey Mountains
; str_shortname_region_mordor|the Land of Mordor
; str_shortname_region_dimrill|Dimrill Dale
; str_shortname_region_s_erebor|the realm of Dale
; str_trait_title_elf_friend|Elf Friend
; str_trait_desc_elf_friend|You have become highly esteemed by the Elves and they now regard you as a trusted ally. The cost to recruit elves has been reduced and you may now attempt to give orders to elven armies.
; str_trait_title_gondor_friend|Steward's Blessing
; str_trait_desc_gondor_friend|You have become highly esteemed by the Steward Denethor and your status has risen among the men of Gondor as a result. The cost to recruit Gondorians has been reduced and you may now attempt to give orders to Gondorian armies.
; str_trait_title_rohan_friend|King's Man
; str_trait_desc_rohan_friend|You have become highly esteemed by King Theoden of Rohan and your status has risen among the men of Rohan as a result. The cost to recruit Rohirrim men has been reduced and you may now attempt to give orders to the armies of the Riddermark.
; str_trait_title_brigand_friend|Barbarian Champion
; str_trait_desc_brigand_friend|You have become highly esteemed by the barbarian tribes serving Sauron as a result of your impressive displays in the arena. You may now recruit barbarians at reduced cost.
; str_trait_title_blessed|Blessed
; str_trait_desc_blessed|You sense that you have been blessed by powers from beyond the sea, and perhaps further away still. You do not know why this has happened or what it may mean but you are certain that it is so.
; str_trait_title_reverent|Reverent
; str_trait_desc_reverent|You have acquired a reputation for reverence and wisdom. Men and Elves are more likely to listen to your counsel.
; str_trait_title_merciful|Merciful
; str_trait_desc_merciful|You have aquired a reputation for merciful treatment towards the evil men who serve the Enemy. Many of the hardened men who serve you are conflicted by your behavior and suffer a morale penalty. Among the wise, however, your mercy is seen as evidence of high character and you recieve an influence bonus.
; str_trait_title_bravery|Bravery
; str_trait_desc_bravery|You have aquired a reputation for bravery in the face of great danger. Your courage is spoken of in both quiet taverns and the halls of the wise. Your deeds inspire your men and they recieve a weekly morale bonus.
; str_trait_title_oathkeeper|Oathkeeper
; str_trait_desc_oathkeeper|You have sworn grim oaths and lived to see them fulfilled. Subsequently you have aquired a reputation as a man of his word. You receive a weekly influence bonus.
; str_trait_title_oathbreaker|Oathbreaker
; str_trait_desc_oathbreaker|You have sworn grim oaths and failed to see them through to their conclusion. Subsequently you have aquired a reputation as a man whose passion outstrips his prowess. You receive a weekly influence penalty.
; str_trait_title_orc_pit_champion|Orc Pit Champion
; str_trait_desc_orc_pit_champion|You have become renowned as a brutal warrior who was able to survive the cruelest of the orcish fighting contests. Such strength is both respected and feared by your black hearted followers and they now receive a weekly morale bonus.
; str_trait_title_despoiler|Despoiler
; str_trait_desc_despoiler|You have aquired a reputation for leaving behind wanton destruction wherever you travel. Such behavior is valued by the dark powers you serve and your receive a weekly influence bonus.
; str_trait_title_accursed|Accursed
; str_trait_desc_accursed|You sense that you have drawn the ire of powers beyond the sea. Your followers sense this doom as well and fear being around you. They receive a weekly morale penalty.
; str_trait_title_stealthy|Stealthy
; str_trait_desc_stealthy|You have developed uncanny skill in the art of stealthy infiltration. You receive a bonus to your stealth rating when undertaking such missions.
; str_trait_title_berserker|Berserker
; str_trait_desc_berserker|After many battles where you eschewed the use of armor your ferocious will has become like iron. While fighting lightly armoured, each slain foe fills you with grim vigor.
; str_trait_title_infantry_captain|Infantry Captain
; str_trait_desc_infantry_captain|You have developed uncanny skill in the command of infantry troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
; str_trait_title_archer_captain|Archery Captain
; str_trait_desc_archer_captain|You have developed uncanny skill in the command of missile troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
; str_trait_title_cavalry_captain|Cavalry Captain
; str_trait_desc_cavalry_captain|You have developed uncanny skill in the command of mounted troops. Due to rigorous and specialized training such troops will receive a small health boost, once per battle.
; str_trait_title_command_voice|Command Voice
; str_trait_desc_command_voice|Your experience with commanding men in the field has lent you an air of authority. The influence cost to give orders to armies in the field has been reduced.
; str_trait_title_foe_hammer|Foe Hammer
; str_trait_desc_foe_hammer|Having slain many of the great captains of the enemy you find that you have earned a reputation as a fearsome warrior. Troops under your command now receive a weekly morale bonus. Your experiences have also honed your skill in battle.
; str_trait_title_battle_scarred|Battle Scars
; str_trait_desc_battle_scarred|You have suffered horrific wounds during your many campaigns yet you still live to tell the tale. Your scarred and knotted flesh now conspires with hard experience to increase your resistance to injury. While others may find your appearance somewhat shocking your followers consider it an affirmation of your battle experience. They subsequently receive a weekly morale bonus.
; str_trait_title_fell_beast|Fell Beast
; str_trait_desc_fell_beast|Your hide is riven with the knotted scars of countless battles and your evil will is likewise hard and unyielding. Even by the standards of orc, uruk and troll-kind you are judged a fell and dangerous beast. Those who serve you cry your name in joy when you take to the field. You are an avatar of war itself and there is little you fear.
; str_trait_title_butcher|Butcher
; str_trait_desc_butcher|Experience has honed your skill in extracting more meat from the flesh of your enemies. You gain an extra pound of flesh every time you slaughter one of your prisoners for meat. You also get more human meat after every battle.
; str_trait_title_well_travelled|Well-Travelled
; str_trait_desc_well_travelled|On stone paved roads and mossy animal paths, over the tallest mountains and in the deepest vales, you've discovered hidden places and seen long forgotten marvels. From your experiences, you've learnt to spot enemies before they see you, and the easiest route for your troops.
; str_wound_head|a heavy blow to the head
; str_wound_chest|some cracked ribs
; str_wound_arm|a badly maimed arm
; str_wound_leg|a badly maimed leg
; str_gondor_gift0|Fresh Fruit and Wine
; str_gondor_gift1|Richly Dyed Cloth
; str_gondor_gift2|Ancient Tomes and Family Trees
; str_gondor_gift3|Spices and Incense
; str_gondor_gift4|Auroch War Horns
; str_dwarf_gift0|Strong Beer and Rock Salt
; str_dwarf_gift1|Hardened Shovels and Axes
; str_dwarf_gift2|Harps and Flutes
; str_dwarf_gift3|Robes Embroidered With Golden Thread and Gems
; str_dwarf_gift4|Marvellous Jewelry
; str_rohan_gift0|Mead and Apple Wine
; str_rohan_gift1|Embroided Tunics and Silver-Studded Belts
