qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr_A_poisonous_fog_from|Jedovaté výpary Dol Gulduru sa lenivo vznášajú nad bojovým poľom. Spolu so svojimi mužmi sa cítiš oslabený. Medzi mužmi vyvstáva strach.
qstr_A_poisonous_fog_from_|Jedovaté výpary Dol Gulduru sa lenivo vznášajú nad bojovým poľom. Necítiš žiadnu, ale tvoji trpiaci nepriatelia páchnu strachom.
; qstr_{s2}_attacked|{s2} attacked
qstr_You_shapeshift_into_|Získal si podobu medveďa!
qstr_You_got_{reg1}_exper|Získal {reg1} skúsenosti v medvedej podobe.
qstr_Your_ability_to_chan|Prejavila sa tvoja schopnosť vziať na seba medvediu podobu, odteraz môžeš kráčať po cestách ako človek alebo medveď.
qstr_You_change_back_to_h|Premenil si sa späť do ľudskej podoby...
; qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|Tvoje jazdecké zviera sa zasekáva! Zdá sa, že je chromé.
qstr_Bitten_by_your_own_w|Tvoj vrok ťa pohryzol! 
qstr_You_weigh_too_much_f|Na poníka si príliš ťažký!
qstr_Your_mount_rears_ref|Tvoje jazdecké zviera sa vzpätilo, nechce ťa poslúchať!
qstr_Cannot_Change_Camera|V prvej osobe nie je možné zmeniť mód kamery.
qstr_Switch_Back_to_3rd_P|Pre otočenie kamery prejdi späť do pohľadu 3tej osoby.
qstr_Fixed_Custom_Camera|Upravená Vlastná Kamera
qstr_Press_Ctrl_+_Left_/_|Stlač Ctrl + Ľavú / Ctrl + Pravú šipku klávesy pre prepnutie pohľadu cez rameno.
qstr_Press_Ctrl_+_Down_to|Klikni Ctrl + Dole pre Stred
; qstr_Press_Ctrl_and_+/__t|Press Ctrl and +/- to zoom in/out
; qstr_Press_Ctrl_and_Up/Do|Press Ctrl and Up/Down arrow keys to tilt up/down
qstr_Fixed_Camera___Right|Upravená kamery - Pravé rameno
qstr_Fixed_Camera___Left_|Upravená kamera - Ľavé rameno
qstr_Fixed_Camera___Cente|Kamera upevnená - Stred
qstr_Shield_is_too_big_to|Štít je priveľký na používanie s lukom.
; qstr_{s7}_waves_at_you.|{s7} waves at you.
; qstr_You_happen_upon_an_O|You happen upon an Old Guesthouse. As you inspect the weathered stone building, you notice a group of boys playing among the pillars, the only children you have seen in Minas Tirith.  One of them greets you and you wave back. Your heart is gladdened and you forget, for a brief moment, the sorrow of war.
qstr_You_look_through_Hen|Hľadíš skrz Henneth Annun, Okno zapadajúceho slnka. Prekrásny výhľad v tebe obnoví vieru v Západ a Moc za Veľkým morom.
; qstr_As_you_follow_the_st|As you follow the straight stairs, cut into the rock of the mountain, and then a second set of stairs, winding as it clings to the cliff-face, you realize that you should not pursue this path any further if you value your own life.
; qstr_You_are_unable_to_en|You are unable to endure the horrors of the Dead City.
; qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you. (You gained 1 Charisma.)
; qstr_You_are_unable_to_end|You are unable to endure the horrors of the temple.
; qstr_You_endure_the_horror|You endure the horrors of the unspeakable rituals in this sacred place. The cruel people of Rhun recognise the strength you have shown and some of their mightiest decide to join your party.
; qstr_You_find_yourself_in|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. This is no place for one such as you. Snarling, you make your retreat. When the Shadow has covered the world above, perhaps then, you may return here without fear...
; qstr_You_find_yourself_in_|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
; qstr_With_trepidation_you|With trepidation, you look within the silver basin. The water shows you visions of horror; blood and terror and grief. You recoil... but then, the visions vanish and you see instead a clear night sky, with what seems to be a silver boat floating across the expanse. A sense of calm washes over you. Hope is not wholly gone.
; qstr_The_Lady_s_garden_li|The Lady's garden lies peacefully in the bright daylight. You sense nothing out of the ordinary...
; qstr_You_kneel_to_pay_you|You kneel to pay your respects to the fallen rulers of this fair realm. Beside you, a shield-maiden of Rohan raises her voice in song. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Your heart aches to hear her words.
; qstr_You_wonder_about_the|You wonder about the two rows of burial mounds in front of the gates, yet as a mere {s24}, you do not understand their significance.
; qstr_Halt!_You_are_not_al|Halt! You are not allowed to enter here!
; qstr_Halt!_You_are_not_all|Halt! You are not allowed to enter here without the Lady's leave!
qstr_While_visiting_towns|Behom návštevy miest, usadlostí a táborov si môžeš pohovoriť s okoloidúcimi. Členovia rôznych frakcií ti povedia rôzne veci - niektorí ti vyrozprávajú svoje myšlienky, iní budú šíriť drby. Obe tieto veci ti dajú čiastočný prehľad, aby si dokázal lepšie pochopiť kultúru frakcie osoby, s ktorou rozprávaš, alebo ti môžu čo-to prezradiť o tajných miestach a zákutiach v danej frakcii, či dať tipy a triky pre cestovanie divočinou a bojovaní vo Vojne o Prsteň.
qstr_Cannot_leave_now.|Teraz nemôžeš odísť.
qstr_You_have_found_the_l|Našiel si miestneho kováča...
qstr_You_have_found_the_lo|Našiel si miestnu autoritu...
qstr_You_have_found_the_loc|Našiel si miestne skladisko...
; qstr_You_have_found_the_c|You have found the captain of the garrison.
qstr__cancelled_the_{reg1|(zrušených {reg10} exp. bodov získaných za zabitie väzňov)
qstr_Forming_ranks.|Formujú línie
qstr_{reg2?You:Your_mount|{reg2?Ty si utŕžil:Tvoje jazdecké zviera utŕžilo} {reg1} extra poškodenie!
qstr_{reg2?You_strike:You|{reg2?Spôsobil si:Tvoje jazdecké zviera spôsobilo} {reg1} bonusového poškodenia!
qstr_Division_Placement|Umiestnenie Oddielu
qstr_Complex_Formations|Komplexné formácie
qstr_Formations_turned_OF|Formácie VYPNUTÉ v nastaveniach.
qstr_Division_{reg1}_{s2}_g|Divízia {reg1} {s2} pochoduje na svoju pamätnú pozíciu...
qstr_Division_{reg1}_{s2}_f|Divízia {reg1} {s2} formuje líniu (zapamätané).
qstr_Division_{reg1}_{s2}_fo|Divízia {reg1} {s2} formuje {reg0} línií (zapamätané).
qstr_Delivered_{reg60}_da|Spôsobené {reg60} zranenia
qstr_DEBUG__Health_Regen_|DEBUG (Regenerácia života): {s1}ovi sa obnovilo {reg0}% života. = +{reg1}% SIL
qstr_Your_bear_form_has_{|Tvoja medvedia podoba ma {reg2}/{reg1} bodov života!
qstr_Three_Nazgul_are_cir|Trojica Nazgúlov krúži na nebi nad bojovým poľom.
qstr_Two_Nazgul_are_circl|Dvojica Nazgúlov krúži na nebi and bojovým poľom!
qstr_A_Nazgul_is_circling|Jeden Nazgúl krúži na oblohe nad bojiskom!
qstr_Some_of_your_human_t|Niektoré ľudské jednotky nie sú zastrašené temnotou.(Nočné Jednotky nie sú postihnuté nočnými nevýhodami)
qstr_You_are_filled_with_|Ovládne ťa nespútaný hnev už len pri pohľade na tvojho soka (Berserk aktívny)
qstr_Your_mount_is_scared|Tvoje jazdecké zviera je splašené hrúzou z {s5}!
; qstr_Your_mount_is_scared_|Your mount is scared by the {s5}, but you can master it!
qstr_Nazgul_sweep!|Nazgúl škrieka!
qstr_You_and_your_horse_p|Ty a tvoj kôň ste v zmätku, Nazgúlov škrek je neznesiteľný!
qstr_Your_horse_panics_th|Tvôj kôň sa plaší, Nazgúlov škrek je neznesiteľný!
qstr_You_cower_in_terror_|V hrúze sa krčíš, Nazgúlov škrek je neznesiteľný!
qstr_knocked_unconscious|upadol do bezvedomia
qstr_Nazgul_diving_attack|Nazgúl sa vrhol na {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} je {s10} kvôli útoku Nazgúla!
qstr_Received_{reg66}_dam|Utŕžil {reg66} poškodenia.
qstr_You_yell_for_your_ho|Voláš na svojho koňa.
qstr_You_do_not_need_to_r|Zatiaľ nie je potrebné vyburcovať tvojich vojakov.
; qstr_You_rally_{reg10}_tr|You rally {reg10} troops!
qstr_{s5}_rallies_{reg65?|{s5} burcuje {reg65?jej:jeho} vojakov!
qstr_You_have_killed_{reg|V boji si zabil {reg1} nepriateľov!
qstr_Your_bravery_inspire|Tvoja udatnosť podnecuje tvojich mužov!
qstr_Your_mount_has_falle|Tvoje jazdecké zviera sa zrútilo spolu s tebou k zemi, padlo!
qstr_Receive_{reg22}_dama|Utŕžiš {reg22} poškodenia.
qstr_You_have_been_knocke|Upadol si do bezvedomia, môže za to {s22}.
qstr_{s21}_has_been_knock|{s21} bol zrazený z {reg23?jej:jeho} jazdeckého zvieraťa, keď padlo.
qstr_{s21}_{reg24?killed:|{s21} {reg24?bol zabitý, upadol do bezvedomia}, môže za to {s22}
qstr_A_bear_has_been_summ|Na bojišti sa objavil medveď!
qstr_In_The_Last_Days_of_|V Posledných Dňoch Tretieho Veku sa tvoje jednotky na začiatku každého boja umiestnia samé namiesto toho, aby bezhlavo zaútočili.^^Aby si im prikázal vytvoriť formáciu, stlač 'J' pre ŠÍKY, 'K' pre Štítovú stenu, 'L' pre Klin, ';' pre Štvorec. Pre zrušenie formácie stlač 'U'. ^Pokiaľ tvoje jednotky uháňajú z boja, môžeš stisnúť 'V', aby si ich vyburcoval/inšpiroval. V jednom boji máš len obmedzené množstvo burcovania jednotiek, a množstvo závisí na tvojom Vodcovstve a Charizme.
qstr_You_can_also_order_y|Tiež môžeš svojim jednotkám určiť, aký typ zbrane majú v boji používať.^^ Stlač O pre výber z niekoľkých Rozkazov pre Zbrane. Stisni P pre výber z Rozkazov pre Štíty.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^See Info Pages for how to control the different camera modes.
qstr_Battlefield_is_too_s|Bojové pole je príliš malé pre komplexné formácie umelej inteligencie.
qstr_You_have_a_clear_per|Vnímaš všade v okolí veľké hroziace nebezpečenstvo!
qstr_New_ent_reached_batt|Nový ent dorazil do boja...
qstr_You_receive_word_tha|Doniesla sa ti správa, že osady Grizlovcov boli napadnuté. Hodnota frakčnej síly Grizlovcov sa snižuje.
qstr_You_receive_word_that|Doniesla sa ti správa, že Vodcovia Lovcov Prsteňa boli spozorovaní, ako mieria do Mordoru nesúc akúsi debnu. Hodnota frakčnej síly Mordoru sa zvyšuje. 
qstr_Enemy_reinforcements|Nepriateľom dorazily posily
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|Domordujte ich všetkých!
qstr_Kill_them_all!|Skántrite ich všetkých!
qstr_Toss_them_overboard!|Vyhoďte ich cez palubu!
qstr_It_is_a_good_day_to_|Dnes je veru dobrý deň na smrť!
qstr_All_hands_on_deck!_T|Všetci na palubu! Odrazte ich!
qstr_Ally_reinforcements_|Spojenecké sily dorazily
qstr_Forward_men!|Vpred, muži!
qstr_Leave_none_of_these_|Žiadnu z týchto špín nenechajte nažive!
qstr_End_them_all!|Pobite ich všetkých!
qstr_Drive_them_back!|Zažeňte ich späť!
qstr_Protect_the_City!|Bráňte mesto!
qstr_Forward!_Board_them!|Vpred! Veďte ich!
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Attacking players command some of their own troops.
; qstr_on_the_left_flank|on the left flank
; qstr_on_the_right_flank|on the right flank
; qstr_through_the_center|through the center
; qstr_Attackers_charge_{s2|Attackers charge {s2}
; qstr_Attackers_charge_{s1|Attackers charge {s1}
; qstr_{s1}_rallied_to_your|{s1} rallied to your side due to your Charisma.
; qstr_Last_attacker_wave._|Last attacker wave. Do you want to retreat?
; qstr_Attackers_almost_def|Attackers almost defeated. Do you want to retreat?
; qstr_The_remaining_attack|The remaining attackers disperse!
; qstr_The_remaining_defend|The remaining defenders escape from the siege!
qstr_Reached_Gauntlet_wav|Dorazila vyzývateľská skupina {reg1}!
qstr_Ballista:_out_of_amm|Balista: došla munícia!
qstr_Ballista:_turn_CURSO|Balista: otáčanie KURZOROM, mierenie ĽSHIFT, strieľanie MEDZERNÍK, zapáliť T, ukončiť F
qstr_Ballista:_out_of_ammo|Balista: došla munícia
qstr_The_ladders_on_Deepi|Rebríky na zdolávanie hradieb! Pozor!
qstr_THREE.._TWO..._ONE..|TRI.. DVA... JEDNA.... BOJ!
qstr_You_have_come_upon_t|Narazil si na ruiny Amon Henu, Vrcholu Videnia, Gondorskej rozhľadni. Na jej vrchole sa čnie Stolec Videnia.^^Niečo ti hovorí, že toto staré miesto zažilo dni svojej slávy, ktoré sú však už nenávratne preč.
qstr_You_have_come_upon_th|Dorazil si k Mrtvým močiarom, na miesto bitky na Dagorlande behom Vojny Poslednej Aliancie^^Kedysi trávnatá zeleň sa premenila v močariská, dnes tu už rastú len trnaté kríky pokrývajúce šedé brehy mútnej vody^^ Steblá mŕtvej trávy a hnijúcej trstiny sa bezútešne nakláňajú v hmlách ako nejasné spomienky na dávno zabudnuté letá. Tela ľudí, elfov a ohyzdov bezvládne plávajú v kalných vodách^^Vo vlhkom vzduchu sa vznáša chlad, po chrbte ti prechádzajú zimomriavky pri pohľade na sviečky v očiach elfskej mŕtvoly plávajúcej pod vodnou hladinou.
qstr_You_have_entered_the|Vstúpil si do lesov Južného Temnohvozdu, kedysi známych pod menom Veľký Zelený Hvozd^^Neďaleká pevnosť Dol Guldur vrhá na les svoj temný tieň. Tunajšie lesy pôsobia schátralo a bezútešne. Pradávne duby obrastené hubami rozožiera hniloba, od kmeňa ku kmeňu sa ťahajú splete obrovských pavučín^^Je tu dusno, vo vzduchu visí temné ticho, skoro akoby sa ti temnota snažila vkradnúť do všetkých údov tela.
qstr_You_have_found_the_D|Našiel si Trpasličie Skladište kde mohli byť Legendárne Kópie uložené. Ohlás svoj nález {s3}ovi. 
qstr_Leave_the_Warehouse?|Opustiť Sklad?
qstr_Leave_the_place_in_s|Opustiť miesto v tichosti?
qstr_Leave_scene?|Opustiť oblasť?
qstr_Trace_back_your_step|Vrátiť sa po tvojich stopách von?
qstr_There_is_no_way_out!|Tu nie je cesta von! Vzdať sa ohyzdom?
qstr_Stealth_mini_game_tu|Návod na nepozorované v podobe minihry: Sú dve úrovne poplachu. Poplach Úrovne 1 je vyhlásený strážou, ktorá spozoruje teba alebo mŕtve telo. Poplach Úrovne 2 je vyhlásený strážou, keď ťa spozorujú vtedy, ak je Úroveň 1 už aktívna. Úroveň 2 je nebezpečná, pretože stráže budu neustále prichádzať. Spozorovaniu sa môžeš vyhnúť tým, že ostaneš skrytý. Aby si sa skryl, jednoducho sa pohybuj za rôznymi krytmi -debny atd...-
qstr_You_are_now_hidden.|Si skrytý.
qstr_You_move_out_of_hidi|Opustil si úkryt.
qstr_The_guards_have_spot|Stráže si všimli mŕtve telo!
qstr_Alarm_Level_is_now_a|Poplach Úrovne 1 je aktívny!
; qstr_You_have_been_too_sl|You have been too slow: The alarm has spread, and the sorcerer made his escape before you could get close.
qstr_Alarm_Level_is_now_at|Poplach je na Úrovni 0.
qstr_The_guards_have_spott|Stráže si ťa všimli!
qstr_Alarm_Level_is_now_at_|Poplach Úrovne 2 je aktívny!
; qstr_Enemy_reinforcements_|Enemy reinforcements arrived.
; qstr_Venture_deeper_into_|Venture deeper into the forest and find a way onward.
qstr_The_sorcerer_has_fle|Černokňažník utiekol!
qstr_Report_this_ill_news|Predať Panej tieto nepríjemné správy naraz. 
qstr_The_sorcerer_is_flee|Černokňažník uniká! Zabi ho!
qstr_The_sorcerer_has_joi|Černokňažník sa pridal do boja! Zabi ho!
qstr_The_sorcerer_is_dead|Černokňažník je mŕtvy!
qstr_The_battle_is_won!|Zvíťazil si v boji!
qstr_A_band_of_tribal_orc|Skupina Kmeňových Ohyzdov sa objavila!
qstr_Gaaaar!!_We_wants_th|Gaaaar!! Chceme ľudské mäso!
qstr_{s31}_scouts_have_ap|{s31} prieskumníci sa objavili!
qstr_Those_are_ours!_We_h|Tí sú naši! Stopovali sme ich od doby, čo odišli! Nikto nám nebude stáť v ceste!
qstr_Trolls_appeared!|Objavili sa zlobri!
qstr_Gaaaar!!|Gaaaar!!
qstr_{s31}_scouts_have_app|{s31} objavili sa prieskumníci, aby pomohli utečencom!
qstr_Hurry_men!_Help_the_|Rýchlo, chlapi! Pomôžte utečencom! Pobite všetky tie špiny a nenechajte ich utiecť!
qstr_Cannot_leave|Nemôžeš odísť
qstr_Longbeard_Kinsman|Dlhobradý pobratim
qstr_Ori_Longbeard|Ori Dlhobradý
qstr_We_shall_make_our_st|Budeme im čeliť tu! ZA BALINA!
qstr_Noooo!_You_orcs_will|Nieeee! Tvoji ohyzdi za to zaplatia!
qstr_Arghhh!!_Nooo!!|Arghhh!! Nieee!!
qstr_I_will_take_down_as_|Pred tým, než padnem, ich pobijem toľkých, koľkých budem môcť!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|Ubite trpajzlíkov!
qstr_Finish_them!|Dajte im pocítiť trpký koniec!
qstr_We_will_feast_on_you|Budeme hodovať na vašom mäse!
qstr_Dwarf_meat!|Mäso trpajzlíkov!
qstr_Eru_Iluvatar_has_dec|Eru Ilúvatar rozhodol o osude Balinovej Družiny a na tom sa nedá nič zmeniť.
qstr_They_are_coming....!|Sú tu....!
qstr_Who...dares...enter.|Kto...sa opovažuje...vstúpiť...
qstr_You_are_not_welcome_|Nie si tu vítaný!
qstr_Finally_I_found_you!|Konečne som ťa našiel! Vypadnime odtiaľ!
qstr_You...are....ours...|Ty...si....náš...
qstr_Look_at_my_over_the_|Pozri sa na moju pózu z profilu, {playername}! Z diaľky som tak nádherný!
qstr_You_wish_old_man_my_|Kiežby, starý muž, môj profil je omnoho krásnejší!
qstr_You_should_really_se|Mal by si vidieť profil Správcu Denethora na Facebooku, je dokonalý! 
qstr_Press_Space_to_conti|Stisni medzerník pre pokračovanie...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} do ďalšieho povýšenia^
qstr_Influence:^_{reg11}_|Vplyv:^ {reg11} (s {s16})^
qstr_Resource_Points:^_{r|Body Zásob:^ {reg12} (v {s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} do ďalšieho povýšenia^
qstr_{s13}_{reg11}__with_|{s13} {reg11} (s {s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (v {s16})^
qstr_Four_years_after_bri|Štyri roky po tom, čo sa skupina trpaslíkov z Ereboru pokúsila znovu osídliť pradávne trpasličie mesto Khazad-dûm, Balina zabil ohyzdí lukostrelec, keď nazeral do Zrkadlového jazera. Jeho spoločníci vzápätí čelili mnohým ohyzdom, ktorí sa zakrádali k rieke Striebrenke. Po ustavičnom ustupovaní spred Východnej brány a Prvej siene, Moste Khazad-dûm a Druhej Siene, zostávajúci Dlhobradí boli nútení ustúpiť ať do Dvadsiatej prvej siene. Po neúspešnom pokuse o útek skrz Dvere Durina, kde zahynul Óin, kládli trpaslíci posledný odpor v Komnate Mazarbul, po tom, čo ohyzdi vnikli aj do Dvadsiatej prvej siene pred komnatou. Oriho a pár posledných preživších delili od hord ohyzdov len dvere komnaty.
qstr_You_chase_an_orc_sco|Snažíš sa dolapiť skupinu ohyzdích prieskumníkov, ktorí utekajú do lesa...
qstr_^No_food:___{reg7}|^Žiadne jedlo: -{reg7}
qstr_Current_party_morale|Morálka družiny je {reg5}.^Momentálne faktory ovplyvňujúce morálku družiny sú:^^Základná morálka:  +50^Veľkosť družiny: {s2}{reg1}^Vodcovstvo: {s3}{reg2}^Rozmanitosť jedla: {s4}{reg3}{s5}^Špeciálne predmety: {s6}{reg6}^Nedávne udalosti: {s7}{reg4}^CELKOVO: {reg5}
qstr_Defending|Brániaci
qstr_Gathering_army|Zhromažďujúci armádu
qstr_Besieging_{s11}|Obliehajúci {s11}
qstr_Raiding_{s11}|Robiaci nájazd na {s11}
qstr_Attacking_enemies_ar|Útočiaci na nepriateľov okolo {s11}
qstr_No_one|Nikto
qstr_{s9}{s10}^Current_st|{s9}{s10}^Momentálny stav: {s11}^Vrchný veliteľ: {s12}^Od posledného útoku ubehlo: {reg1} hodín^Najvyšší možný počet nasledovníkov behom útoku: {reg2}^^
qstr_Selected_faction_is:|Vybraná frakcia je: {s10}^^{s9}
qstr_You_are_in_perfect_h|Si úplne zdravý.
qstr_You_are_suffering_fr|Máš {s1}.
qstr_You_are_suffering_fro|Máš {s1} a {s2}.
qstr_You_are_suffering_from|Máš {s1}, {s2}, a {s3}.
qstr_You_are_suffering_from_|Máš {s1}, {s2}, {s3} a {s4}.
; qstr_Troop_upkeep__paid_e|Troop upkeep (paid every four days):^
; qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Resource Points ^Party: {reg4}^Reserves: {reg7}
qstr_No_upkeep_costs|Nulový žold
qstr_Orc_hiring_bonus:_+2|Bonus za najatie ohyzda: +2/3 za každého ohyzda^
qstr_Current_party_size_l|Momentálny limit veľkosti družiny je {reg5}.^Momentálne faktory ovplyvňujúce veľkosť družiny sú:^^Základná veľkosť:  +10^Vodcovstvo: {s2}{reg1}^Charizma: {s3}{reg2}^Hodnosti: {s4}{reg3}^{s5}CELKOVO: {reg5}
qstr_{s2}^_________{s4}:_|{s2}^ {s4}: {reg1} ({s23})
qstr__________Faction_str|Hlásenie o síle frakcie: ^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Frakcie sú bežne obliehané pokiaľ ich hodnota frakčnej síly klesne pod {reg1}.
qstr_Savagery|Surovosť
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Získané vlastnosti:^{s2}
qstr_^^You_are_{s17}.|^^Si {s17}
qstr_Assassins_in_the_cam|Nájomný vrahovia v tábore, braňte sa!!
qstr_Ally_party_size:_{re|Veľkosť spojeneckej družiny: {reg1}
qstr_Enemy_party_size:_{r|Veľkosť nepriateľskej družiny: {reg1}
qstr_Party_count:_{reg0}|Počet družín: {reg0}
qstr_Party_position__{reg|Pozícia družiny ({reg2},{reg3}).
qstr_Party_size_increased|Veľkosť družiny sa zvýšila z {reg0} na {reg1}!
qstr_Faction_strengths_re|Hlásenie o sílach frakcií:^{s2}
qstr_Attacking_enemy_part|Útočiaci na nepriateľskú družinu {s11}
qstr_Unknown_{reg3}_|Neznámy ({reg3})
qstr_ON|ON
qstr_OFF__cheat_|OFF (cheat - kódy, podvádzanie)
qstr_OFF|OFF
qstr_All_messages|Všetky správy
qstr_{reg0}__will_most_li|{reg0} (s veľkou pravdepodobnosťou bude spôsobovať crashe - zamŕzanie hry)
qstr_{reg0}__could_possib|{reg0} (pravdepodobne bude spôsobovať crashe - zamŕzanie hry)
qstr_Normal|Normálne
qstr_Defender_only|Len obránci
qstr_Halved|Rozpolené
qstr_Battles_only|Iba boje
qstr_Doubled|Dvojnásobné
qstr_Tripled|Trojnásobné
qstr_Quadrupled|Štvornásobné
qstr_You_drank_the_Ent_Wa|Vypil si Entskú vodu...
qstr_You_used_the_Orc_Bre|Použil si Ohyzdiu pálenku
; qstr_You_and_your_compani|You and your companions drink a sip of Miruvor. You feel refreshed and strengthened.
; qstr_You_give_a_few_leave|You give a few leaves of Athelas to your healers.
; qstr_Not_enough_party_spa|Not enough party space.
; qstr_elites|elites
; qstr_regulars|regulars
; qstr_recruits|recruits
; qstr_wild|wild
; qstr_goblins|goblins
; qstr_lordless|lordless
; qstr_orc_stragglers|orc stragglers
; qstr_You_camp_and_beat_th|You camp and beat the Drums of the Deep. The mighty sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_beat_the|You camp and beat the Drums of the Deep. The powerful sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_beat_the_|You camp and beat the Drums of the Deep. The weak sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_try_to_|You camp and try to beat the Drums of the Deep, yet noone answers your pitiful call.
qstr_^^^A_great_victory!^|^^^Veľké víťazstvo!^^^Tak o tomto hovorili všetky tie legendy Farngornu... 
qstr_^^^Defeated...^^^Sca|^^^ Porazený ... ^^^ Zatúlaný vo Fangornskom Lese ... Osamotený ...
qstr_Troll_caged_in_wheel|Zlobor uväznený vo voze.
qstr_A_second_troll_is_ca|Druhý zlobor uväznený vo voze.
qstr_Here_you_are.|Tak tu si.
qstr_Player_was_moved_to_|Hráč bol presunutý do {s10}.
qstr_neutral_whereabouts|neutrálna oblasť
qstr_any|akýkoľvek
qstr_woman|žena
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|vrchovec
qstr_urukhai|urukhai
qstr_haradrim|haraďan
qstr_dwarf|trpaslík
qstr_troll|zlobor
qstr_dunedain|dunedain
qstr_lothlorien|lothlorien
qstr_rivendell|imladris
qstr_mirkwood|temnohvozd
qstr_evil_man|zlý človek
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Len bežné jednotky
qstr_Heroes_only|Len hrdinovia
qstr_Regulars_and_Heroes|Bežné jednotky i hrdinovia
qstr_HP_lost_from_poisoni|Stratené životy kvôli jedu.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Skupina {s1} je {s10} ti naproti.
qstr_You_are_attacking_a_|Útočíš na skupinu {s1}.
qstr_The_battle_against_t|Bitka proti skupine {s1} pokračuje.
; qstr_There_are_{reg39}_al|There are {reg39} allied commanders in this battle. You can command them and their troops for {reg40}/{reg41} influence.
; qstr_There_are_{reg39}_all|There are {reg39} allied commanders in this battle. You don't have enough influence to assume command.
qstr_Having_a_small_party|Vedenie malej družiny má svoje výhody...Ty a tvoje jednotky sa schovávate niekoľko hodín pred nepriateľmi, aby ste sa uistili, že vás nik nespozoruje.
qstr_Your_ability_to_mast|Tvoja schopnosť nájsť v prírodnom prostredí vhodný úkryt. (Tvoja úroveň v Lesníctve ti umožňuje schovať sa s {reg1} jednotkami)
qstr_{reg4}_will_be_lost.|{reg4} zahynie.
qstr_{s13}_asked_you_to_r|{s13} ťa žiada, aby si sa k nemu dostavil najmenej s {reg13} jednotkami.
qstr_{s13}_ordered_you_to|{s13} ti prikazuje, aby si sa pridal k útoku proti {s14}.
qstr_You_were_victorious!|Zvíťazili ste!
qstr_The_battle_was_lost.|Bitka je prehraná. Tvoje vojsko bolo úplne zničené.
qstr_Your_companions_carr|Tvoji spoločníci ťa odtiahli z boja.
qstr_You_have_defeated_th|Porazil si nepriateľov.
qstr_You_have_retreated_f|Ustúpil si z boja.
qstr_^^Ally_Casualties:{s|^^Spojenecké stráty:{s0}
qstr_You_and_{s3}_celebra|Ty a {s3} slavíte víťazstvo nad {s4}.
qstr_News_of_your_victory|Správy o tvojom víťazstve proti {s4} dorazili do {s3}.
qstr_{s3}_witnesses_your_|{s3} bol svedkom tvojho víťazstva nad {s4}.
qstr_Even_though_there_we|Aj keď sa nijaký spojenec nestal svedkom tvojho víťazstva, tvoji muži i tak rozjarene oslavujú triumf.
qstr_{s1}_of_{s3}_managed|{s1} z {s3} utiekol.
qstr_Prisoners_rescued_so|Oslobodených väzňov: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} zabití {s1} jednotiek frakcie sa započítalo do Prísahy. Celkových zabití: {reg0}
qstr_Perhaps_I_m_getting_|Možno mám nešťastie...
qstr_Retirement_is_starti|Dôchodok znie stále ako lepší a lepší nápad.
qstr_No_matter!_I_will_pe|Na tom nezáleží! Vytrvám!
qstr_What_did_I_do_to_des|Za čo som si toto zaslúžil?
qstr_I_suppose_it_ll_make|Aspoň z toho budú dobré príbehy, keď už nič iné...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Ustúpil si z boja.
qstr_{s9}_wants_you_to_fo|{s9} chce, aby si následoval jeho armádu, dokiaľ nerozkáže inak.
qstr_{s8}_of_{s9}|{s8} of {s9}
