trp_tutorial_maceman|حامل صولجان
trp_smith_erech|لورن الأسود
trp_smith_erech_pl|حدادة
trp_smith_pinnath|تارانديل صانع السيوف
trp_smith_pinnath_pl|حدادة
trp_smith_eosgiliath|بزورغ الناهب
trp_smith_eosgiliath_pl|حدادة
trp_smith_wosgiliath|غارديل
trp_smith_wosgiliath_pl|حدادة مؤقتة
trp_smith_calembel|أغرونوم
trp_smith_calembel_pl|حدادة
trp_smith_hannun|فال الحداد الحارس
trp_smith_hannun_pl|مخزن معدات الحراس
trp_smith_candros|كالميدور
trp_smith_candros_pl|حدادة
trp_smith_edoras|إيودين سيد الفولاذ
trp_smith_edoras_pl|حدادة الملك
trp_smith_aldburg|فولم حافر الحديد
trp_smith_aldburg_pl|حدادة
trp_smith_hornburg|ألد هيلم
trp_smith_hornburg_pl|حدادة
trp_smith_eastemnet|إادفريد
trp_smith_eastemnet_pl|حدادة
trp_smith_westfold|ديور صانع الخوذ
trp_smith_westfold_pl|حدادة
trp_smith_westemnet|صانع دروع
trp_smith_westemnet_pl|حدادة
trp_smith_eastfold|إيديران ناحت الحديد
trp_smith_eastfold_pl|حدادة
trp_smith_morannon|هورباغ حداد البوابة
trp_smith_morannon_pl|حدادة
trp_smith_mmorgul|أورغورز باعث النار
trp_smith_mmorgul_pl|حدادة
trp_town_24_smith|بوز مفسد الحديد
trp_town_24_smith_pl|حدادة
trp_smith_orc_patrol|غلوغز إصبع الحديد
trp_smith_orc_patrol_pl|حدادة المعسكر
trp_smith_oscamp|كوغاش عاشق الحديد
trp_smith_oscamp_pl|حدادة المعسكر
trp_smith_isengard|بورز كاسر الحديد
trp_smith_isengard_pl|حدادة تحت الأرض
trp_smith_uoutpost|غورزوك سن الحديد
trp_smith_uoutpost_pl|حدادة الموقع الأمامي
trp_smith_uhcamp|رابزوغ آكل الصدأ
trp_smith_uhcamp_pl|حدادة المعسكر
trp_smith_urcamp|غلورك
trp_smith_urcamp_pl|حدادة المعسكر
trp_smith_cgaladhon|ديروفين صانع الأقواس
trp_smith_cgaladhon_pl|صناع الأسلحة الجان
trp_smith_cdolen|ديميريان صانع السهام
trp_smith_cdolen_pl|صناع الأسلحة الجان
trp_smith_camroth|غيتاسيستان
trp_smith_camroth_pl|صناع الأسلحة الجان
trp_smith_thranduils_halls|ثورينور
trp_smith_thranduils_halls_pl|حدادة
trp_smith_woodelf_camp|كاليشير
trp_smith_woodelf_camp_pl|حدادة
trp_smith_beorn|بيورنلاف صانع الفؤوس
trp_smith_beorn_pl|حدادة
trp_smith_moria|بورغاك الصانع
trp_smith_moria_pl|حدادة
trp_smith_dale|أرديل يد النار
trp_smith_dale_pl|حدادة
trp_smith_esgaroth|كيليغارن صانع الأقواس
trp_smith_esgaroth_pl|حدادة
trp_smith_erebor|ثرور المطرق
trp_smith_erebor_pl|حدادو الأقزام الممدوحون
trp_smith_dunland|دوروولد رمح الحديد
trp_smith_dunland_pl|حدادة
trp_smith_harad|هار ثني الفولاذ
trp_smith_harad_pl|حدادة
trp_smith_khand|بوشورت المساوم
trp_smith_khand_pl|حدادة
trp_smith_umbar|فوينير الصانع
trp_smith_umbar_pl|حدادة
trp_smith_imladris|دويفيريان
trp_smith_imladris_pl|صناع الأسلحة الجان
trp_smith_dolguldur|شتازغ دولباش
trp_smith_dolguldur_pl|حدادة
trp_smith_north_rhun|أوغنيمير كلاديفو
trp_smith_north_rhun_pl|حدادة مؤقتة
trp_smith_gundabad|بلورغ بائع الثلج
trp_smith_gundabad_pl|حدادة
trp_smith_ironhill|حداد تلال الحديد
trp_smith_ironhill_pl|حدادو معسكر الأقزام
trp_town_50_weaponsmith|شروكلوغ شاحذ السكاكين
trp_town_50_weaponsmith_pl|حدادة
trp_smith_gondor_ac|بور صانع الدروع
trp_smith_gondor_ac_pl|حدادة المعسكر
trp_smith_rohan_ac|ديور صانع الخوذ
trp_smith_rohan_ac_pl|حدادة المعسكر
trp_smith_mordor_ac|هورباغ حداد البوابة
trp_smith_mordor_ac_pl|حدادة
trp_smith_isengard_ac|بورز كاسر الحديد
trp_smith_isengard_ac_pl|حدادة تحت الأرض
trp_smith_lorien_ac|ديميريان صانع السهام
trp_smith_lorien_ac_pl|صناع الأسلحة الجان
trp_smith_woodelf_ac|دويلاث
trp_smith_woodelf_ac_pl|حدادة
trp_smith_dwarf_ac|حداد تلال الحديد
trp_smith_dwarf_ac_pl|حدادو معسكر الأقزام
trp_smith_gundabad_ac|بلورغ بائع الثلج
trp_smith_gundabad_ac_pl|حدادة
trp_smith_rhun_ac|برانيمير برونيك
trp_smith_rhun_ac_pl|حدادة مؤقتة
trp_smith_guldur_ac|شتازغ دولباش
trp_smith_guldur_ac_pl|حدادة
trp_smith_imladris_ac|دويفيريان
trp_smith_imladris_ac_pl|صناع الأسلحة الجان
trp_smith_dunland_ac|دوروولد رمح الحديد
trp_smith_dunland_ac_pl|حدادة
trp_smith_harad_ac|هار ثني الفولاذ
trp_smith_harad_ac_pl|حدادة
trp_smith_khand_ac|بوشورت المساوم
trp_smith_khand_ac_pl|حدادة
trp_smith_umbar_ac|فوينير الصانع
trp_smith_umbar_ac_pl|حدادة
trp_smith_moria_ac|بورغاك الصانع
trp_smith_moria_ac_pl|حدادة
trp_smith_dale_ac|أرديل يد النار
trp_smith_dale_ac_pl|حدادة
trp_smith_beorn_ac|بيورنلاف صانع الفؤوس
trp_smith_beorn_ac_pl|حدادة
trp_smith_woodelf_west_camp|دويلاث
trp_smith_woodelf_west_camp_pl|حدادة
trp_smith_woodmen|بيورنلاف صانع الفؤوس
trp_smith_woodmen_pl|حدادة
trp_smith_beorn_v|بيورنلاف صانع الفؤوس
trp_smith_beorn_v_pl|حدادة
trp_smith_troll_cave|بورغاك الصانع
trp_smith_troll_cave_pl|حدادة
trp_smith_dg_outpost|شتازغ دولباش
trp_smith_dg_outpost_pl|حدادة
trp_smith_main_rhun|برانيمير برونيك
trp_smith_main_rhun_pl|حدادة مؤقتة
trp_smith_south_rhun|برانيمير برونيك
trp_smith_south_rhun_pl|حدادة مؤقتة
trp_smith_gundabad_ne|بلورغ بائع الثلج
trp_smith_gundabad_ne_pl|حدادة
trp_smith_gundabad_nw|بلورغ بائع الثلج
trp_smith_gundabad_nw_pl|حدادة
trp_smith_moria_s|بورغاك الصانع
trp_smith_moria_s_pl|حدادة
trp_smith_gundabad_m|بلورغ بائع الثلج
trp_smith_gundabad_m_pl|حدادة
trp_barman_eastemnet|صاحب حانة
trp_barman_eastemnet_pl|القلعة
trp_barman_westfold|صاحب حانة
trp_barman_westfold_pl|القلعة
trp_barman_westemnet|صاحب حانة
trp_barman_westemnet_pl|القلعة
trp_barman_eastfold|صاحب حانة
trp_barman_eastfold_pl|القلعة
trp_barman_baraddur|صاحب حانة
trp_barman_baraddur_pl|القلعة
trp_barman_morannon|صاحب حانة
trp_barman_morannon_pl|كهف القائد
trp_barman_mmorgul|صاحب حانة
trp_barman_mmorgul_pl|البرج
trp_merchant_main_rhun|سيد الإمداد
trp_merchant_main_rhun_pl|مخزن المعسكر
trp_merchant_dg_outpost|سيد الإمداد
trp_merchant_dg_outpost_pl|إسطبل ومستودع
trp_merchant_woodelf_west_camp|سيد الإمداد
trp_merchant_woodelf_west_camp_pl|مؤن جان
trp_merchant_gundabad_m|سيد الإمداد
trp_merchant_gundabad_m_pl|مخزن المعسكر
trp_merchant_moria_s|سيد الإمداد
trp_merchant_moria_s_pl|مخزن المعسكر
trp_merchant_gundabad_nw|سيد الإمداد
trp_merchant_gundabad_nw_pl|مخزن المعسكر
trp_merchant_gundabad_ne|سيد الإمداد
trp_merchant_gundabad_ne_pl|مخزن المعسكر
trp_merchant_troll_cave|سيد الإمداد
trp_merchant_troll_cave_pl|حفرة ورغ ومؤن
trp_merchant_beorn_v|سيد الإمداد
trp_merchant_beorn_v_pl|إسطبل ومستودع
trp_merchant_orc_sentry|سيد الإمداد
trp_merchant_orc_sentry_pl|مخزن المعسكر
trp_merchant_candros|سيد الإمداد
trp_merchant_candros_pl|إسطبل ومستودع
trp_merchant_hannun|سيد الإمداد
; trp_merchant_hannun_pl|ranger supplies
trp_merchant_mtirith|سيد الإمداد
trp_merchant_mtirith_pl|إسطبل ومستودع
trp_merchant_pelargir|سيد الإمداد
trp_merchant_pelargir_pl|إسطبل ومستودع
trp_merchant_linhir|سيد الإمداد
trp_merchant_linhir_pl|إسطبل ومستودع
trp_merchant_dolamroth|سيد الإمداد
trp_merchant_dolamroth_pl|إسطبل ومستودع
trp_merchant_edhellond|سيد الإمداد
trp_merchant_edhellond_pl|إسطبل ومستودع
trp_merchant_lossarnach|سيد الإمداد
trp_merchant_lossarnach_pl|إسطبل ومستودع
trp_merchant_tarnost|سيد الإمداد
trp_merchant_tarnost_pl|إسطبل ومستودع
trp_merchant_erech|سيد الإمداد
trp_merchant_erech_pl|إسطبل ومستودع
trp_merchant_pinnath|سيد الإمداد
trp_merchant_pinnath_pl|إسطبل ومستودع
trp_merchant_eosgiliath|سيد الإمداد
trp_merchant_eosgiliath_pl|إسطبل ومستودع
trp_merchant_wosgiliath|سيد الإمداد
trp_merchant_wosgiliath_pl|إسطبل ومستودع
trp_town_12_horse_merchant|سيد الإمداد
trp_town_12_horse_merchant_pl|إسطبل ومستودع
trp_town_13_horse_merchant|سيد الإمداد
trp_town_13_horse_merchant_pl|إسطبل ومستودع
trp_merchant_edoras|فتاة الإمداد
trp_merchant_edoras_pl|إسطبل ومستودع
trp_merchant_aldburg|سيد الإمداد
trp_merchant_aldburg_pl|إسطبل ومستودع الملك
trp_merchant_hornburg|سيد الإمداد
trp_merchant_hornburg_pl|إسطبل ومستودع
trp_merchant_eastemnet|سيد الإمداد
trp_merchant_eastemnet_pl|إسطبل ومستودع
trp_merchant_westfold|فتاة الإمداد
trp_merchant_westfold_pl|إسطبل ومستودع
trp_merchant_westemnet|فتاة الإمداد
trp_merchant_westemnet_pl|إسطبل ومستودع
trp_merchant_eastfold|فتاة الإمداد
trp_merchant_eastfold_pl|إسطبل ومستودع
trp_town_21_horse_merchant|سيد الإمداد
trp_town_21_horse_merchant_pl|حفرة ومستودع
trp_merchant_morannon|سيد الإمداد
trp_merchant_morannon_pl|حفرة ومستودع
trp_merchant_mmorgul|سيد الإمداد
trp_merchant_mmorgul_pl|حفرة ومستودع
trp_town_24_horse_merchant|سيد الإمداد
trp_town_24_horse_merchant_pl|حفرة ومستودع
trp_merchant_orc_patrol|سيد الإمداد
trp_merchant_orc_patrol_pl|مخزن المعسكر
trp_merchant_isengard|سيد الإمداد
trp_merchant_isengard_pl|مخزن المعسكر
trp_town_27_horse_merchant|سيد الإمداد
trp_town_27_horse_merchant_pl|حفرة ورغ ومؤن
trp_merchant_uoutpost|سيد الإمداد
trp_merchant_uoutpost_pl|حفرة ورغ ومؤن
trp_merchant_uhcamp|سيد الإمداد
trp_merchant_uhcamp_pl|حفرة ورغ ومؤن
trp_merchant_urcamp|سيد الإمداد
trp_merchant_urcamp_pl|حفرة ورغ ومؤن
trp_merchant_cgaladhon|سيد الإمداد
trp_merchant_cgaladhon_pl|مؤن جان
trp_merchant_cdolen|سيد الإمداد
trp_merchant_cdolen_pl|مؤن جان
trp_merchant_camroth|سيد الإمداد
trp_merchant_camroth_pl|مؤن جان
trp_merchant_thranduils_halls|سيد الإمداد
trp_merchant_thranduils_halls_pl|مؤن جان
trp_merchant_woodelf_camp|سيد الإمداد
trp_merchant_woodelf_camp_pl|مؤن جان
trp_merchant_woodmen|سيد الإمداد
trp_merchant_woodmen_pl|إسطبل ومستودع
trp_merchant_beorn|سيد الإمداد
trp_merchant_beorn_pl|إسطبل ومستودع
trp_merchant_moria|سيد الإمداد
trp_merchant_moria_pl|حفرة ورغ ومؤن
trp_merchant_dale|سيد الإمداد
trp_merchant_dale_pl|إسطبل ومستودع
trp_merchant_esgaroth|سيد الإمداد
trp_merchant_esgaroth_pl|إسطبل ومستودع
trp_merchant_erebor|سيد الإمداد
trp_merchant_erebor_pl|مؤن قزمية
trp_merchant_dunland|سيد مخزن دون
trp_merchant_dunland_pl|مخزن المعسكر
trp_merchant_harad|سيد مخزن هاراد
trp_merchant_harad_pl|مخزن المعسكر
trp_merchant_khand|سيد مخزن كهاند
trp_merchant_khand_pl|مخزن المعسكر
trp_merchant_umbar|سيد الإمداد
trp_merchant_umbar_pl|مخزن المعسكر
trp_merchant_imladris|سيد الإمداد
trp_merchant_imladris_pl|مؤن المعسكر
trp_merchant_dolguldur|سيد الإمداد
trp_merchant_dolguldur_pl|إسطبل ومستودع
trp_merchant_north_rhun|سيد الإمداد
trp_merchant_north_rhun_pl|مخزن المعسكر
trp_merchant_south_rhun|سيد الإمداد
trp_merchant_south_rhun_pl|مخزن المعسكر
trp_merchant_gundabad|سيد الإمداد
trp_merchant_gundabad_pl|مخزن المعسكر
trp_merchant_ironhill|سيد الإمداد
trp_merchant_ironhill_pl|مؤن قزمية
trp_town_50_horse_merchant|غوبريب يلو توث
trp_town_50_horse_merchant_pl|حفرة ورغ ومؤن
trp_merchant_calembel|سيد الإمداد
trp_merchant_calembel_pl|إسطبل ومستودع
trp_elder_mtirith|نقيب نقابة تيريث
trp_elder_mtirith_pl|المدينة البيضاء
trp_elder_pelargir|نقيب نقابة البحارة
trp_elder_pelargir_pl|المدينة
trp_elder_linhir|نقيب نقابة لينهير
trp_elder_linhir_pl|المدينة
trp_elder_dolamroth|نقيب نقابة دول امروث
trp_elder_dolamroth_pl|المدينة
trp_elder_edhellond|نقيب نقابة إديلوند
trp_elder_edhellond_pl|المدينة
trp_elder_lossarnach|نقيب نقابة لوسارناخ
trp_elder_lossarnach_pl|البلدة
trp_elder_tarnost|نقيب نقابة تارنوست
trp_elder_tarnost_pl|البلدة
trp_elder_erech|نقيب نقابة إريك
trp_elder_erech_pl|البلدة
trp_elder_pinnath|شيخ قبيلة بينات
trp_elder_pinnath_pl|البلدة
trp_elder_ethring|نقيب نقابة كاليمبل
trp_elder_ethring_pl|المدينة
trp_elder_henneth|نقيب نقابة الحراس
trp_elder_henneth_pl|المخبأ
trp_elder_cairandros|نقيب نقابة كاير أندروس
trp_elder_cairandros_pl|قلعة الجزيرة
trp_elder_edoras|ثاين إيدوراس
trp_elder_edoras_pl|المدينة
trp_elder_aldburg|ثاين ألدبورغ
trp_elder_aldburg_pl|البلدة
trp_elder_hornburg|ثاين هورنبرغ
trp_elder_hornburg_pl|القلعة
trp_elder_eastemnet|ثاين إيست إمنت
trp_elder_eastemnet_pl|البلدة
trp_elder_westfold|ثاين ويستفولد
trp_elder_westfold_pl|البلدة
trp_elder_westemnet|ثاين ويست إمنت
trp_elder_westemnet_pl|البلدة
trp_elder_eastfold|ثاين إيستفولد
trp_elder_eastfold_pl|البلدة
trp_elder_morannon|زعيم مورانون
trp_elder_morannon_pl|الكهوف المطلة على البوابة العظيمة
trp_elder_mmorgul|زعيم مورغول
trp_elder_mmorgul_pl|المدينة الشيطانية
trp_elder_cungol|زعيم المعسكر
trp_elder_cungol_pl|المعسكر
trp_elder_isengard|غريما لسان الدود
trp_elder_isengard_pl|المدينة
trp_elder_cgaladhon|حكيم لورين
trp_elder_cgaladhon_pl|قلعة الغابة الجان
trp_elder_cdolen|حكيم لورين
trp_elder_cdolen_pl|المعسكر
trp_elder_camroth|حكيم لورين
trp_elder_camroth_pl|المعسكر
trp_elder_thalls|شيخ ميركوود
trp_elder_thalls_pl|كهوف الجان
trp_elder_imladris|قائد معسكر ريفيندل
trp_elder_imladris_pl|المعسكر
trp_elder_wvillage|بيير الحطاب
trp_elder_wvillage_pl|القرية
trp_elder_beorn|شيخ بيورن
trp_elder_beorn_pl|القرية الصغيرة
trp_elder_harad|زعيم معسكر هاراد
trp_elder_harad_pl|المعسكر
trp_elder_rhun|زعيم معسكر رون
trp_elder_rhun_pl|المعسكر
trp_elder_khand|زعيم معسكر كهاند
trp_elder_khand_pl|المعسكر
trp_elder_dunland|زعيم معسكر دون
trp_elder_dunland_pl|المعسكر
trp_elder_umbar|رئيس عمال أمبار
trp_elder_umbar_pl|المعسكر المحصن
trp_elder_moria|زعيم موريا
trp_elder_moria_pl|المناجم
trp_elder_gunda|سيد الكهوف
trp_elder_gunda_pl|الكهوف
trp_elder_dale|رئيس عمال ديل
trp_elder_dale_pl|المدينة
trp_elder_esgaroth|رئيس عمال إسغاروث
trp_elder_esgaroth_pl|مدينة البحيرة
trp_elder_erebor|نقيب نقابة إريبور
trp_elder_erebor_pl|القاعات
trp_elder_dolguldur|زعيم غولدور
trp_elder_dolguldur_pl|القلعة السوداء
; trp_elder_wosgiliath|Campmaster
trp_elder_wosgiliath_pl|المعسكر
; trp_elder_oscamp|Campmaster
trp_elder_oscamp_pl|المعسكر
; trp_elder_eosgiliath|Campmaster
trp_elder_eosgiliath_pl|المعسكر
; trp_elder_uoutpost|Campmaster
trp_elder_uoutpost_pl|المعسكر
; trp_elder_uhcamp|Campmaster
trp_elder_uhcamp_pl|المعسكر
; trp_elder_urcamp|Campmaster
trp_elder_urcamp_pl|المعسكر
; trp_elder_woodelf_camp|Elder
trp_elder_woodelf_camp_pl|المعسكر
; trp_elder_woodelf_west_camp|Elder
trp_elder_woodelf_west_camp_pl|المعسكر
; trp_elder_beorn_v|Beorning Elder
trp_elder_beorn_v_pl|القرية
; trp_elder_troll_cave|Cave Chief
trp_elder_troll_cave_pl|الكهوف
; trp_elder_dg_outpost|Campmaster
trp_elder_dg_outpost_pl|المعسكر
; trp_elder_rhun_sc|Rhun Camp Chief
trp_elder_rhun_sc_pl|المعسكر
; trp_elder_rhun_nc|Rhun Camp Chief
trp_elder_rhun_nc_pl|المعسكر
; trp_elder_gunda_ne|Orc Elder
trp_elder_gunda_ne_pl|المعسكر
; trp_elder_gunda_nw|Orc Elder
trp_elder_gunda_nw_pl|المعسكر
; trp_elder_moria_s|Orc Camp Chief
trp_elder_moria_s_pl|المعسكر
; trp_elder_gunda_m|Orc Elder
trp_elder_gunda_m_pl|المعسكر
trp_elder_ironhill|زعيم المعسكر
trp_elder_ironhill_pl|المعسكر
trp_village_1_elder|سيد السوط
trp_village_1_elder_pl|الكهوف
trp_tutorial_chest_1|صندوق أسلحة المشاجرة
trp_tutorial_chest_2|صندوق أسلحة بعيدة المدى
trp_bonus_chest_1|صندوق مكافأة
trp_bonus_chest_2|صندوق مكافأة
trp_bonus_chest_3|صندوق مكافأة
trp_camp_chest_faction|صندوق الفصيل
trp_camp_chest_none|صندوق للعدم
trp_player_chest|صندوقك
trp_local_merchant|تاجر محلي
trp_local_merchant_pl|تجار محليون
trp_tax_rebel|فلاح متمرد
trp_tax_rebel_pl|فلاحون متمردون
trp_trainee_peasant|فلاح
trp_trainee_peasant_pl|فلاحون
trp_fugitive_man|رجل مشبوه
trp_fugitive_elf|جان مشبوه
trp_fugitive_dwarf|قزم مشبوه
trp_fugitive_orc|عفريت مشبوه
trp_spy|قرصان مراوغ العينين
trp_spy_evil|جنوبي مراوغ العينين
trp_spy_partner|مشرف الجاسوس
trp_spy_partner_evil|مشرف الجاسوس
trp_easter_egg_troll|القزم (الترول)
trp_treebeard|تريبيرد
trp_ent_1|بريغالاد
trp_ent_2|فينغلاس
trp_ent_3|فلادريف
trp_gandalf|غاندالف
trp_nazgul|نازغول
; trp_radagast|Radagast
trp_barman|نادل
trp_elder|شيخ المركز
trp_gear_merchant|تاجر معدات
trp_goods_merchant|تاجر بضائع
trp_start_quest_caravaneer|توربال القوافل
trp_dorwinion_bandit|قاطع طريق دوروينيون
trp_dorwinion_bandit_pl|قطاع طرق دوروينيون
trp_dorwinion_raider|مغير دوروينيون
trp_dorwinion_raider_pl|مغيرو دوروينيون
; trp_no_troop_pl|the place
trp_city_guard|حارس مدينة
trp_orc_sentry|حارس عفريت
trp_uruk_hai_sentry|حارس أوروك-هاي
trp_black_numenorean_sorcerer|ساحر نومينوري أسود
; trp_evil_priest|Evil Priest
; trp_evil_priest_pl|Evil Priests
trp_wolf_rider_of_mirkwood|راكب ذئب ميركوود
trp_wolf_rider_of_mirkwood_pl|ركاب ذئاب ميركوود
trp_bear_strong|دب
trp_bear_strong_pl|دببة
trp_gate_aggravator|دفاع البوابة
trp_orc_pretender|عفريت مدعي
trp_human_prisoner|سجين بشري
trp_spider|عنكبوت ميركوود
trp_spider_pl|عناكب ميركوود
trp_bear|دب
trp_bear_pl|دببة
trp_wolf|ذئب
trp_wolf_pl|ذئاب
trp_dorwinion_sack|كيس دوروينيون
trp_ring_hunter_captain|قائد صيادي الخواتم
trp_ring_hunter_lt|قبطان صيادي الخواتم
trp_ring_hunter_one|صائد خواتم
trp_ring_hunter_one_pl|صائدو خواتم
trp_ring_hunter_two|صائد خواتم
trp_ring_hunter_two_pl|صائدو خواتم
trp_ring_hunter_three|صائد خواتم
trp_ring_hunter_three_pl|صائدو خواتم
trp_ring_hunter_four|صائد خواتم
trp_ring_hunter_four_pl|صائدو خواتم
trp_start_quest_uruk|قبطان أوروك موردور
trp_start_quest_orc|ملازم عفريت موردور
trp_start_quest_orc_pl|عفاريت موردور كبار
trp_start_quest_woodelf|رامي غالادريم الملكي المتميز
trp_start_quest_woodelf_pl|رماة غالادريم الملكيون المتميزون
trp_start_quest_mordor_scout|مرشد موردور
trp_start_quest_mordor_scout_pl|مرشدو موردور
trp_start_quest_beorning|برزيركر كاروك البيورنينغ
trp_start_quest_beorning_pl|برزيركرو كاروك البيورنينغ
; trp_black_shield|Amath Dollen
; trp_black_shield_bandit|Amath Dollen's Bandit
; trp_black_shield_bandit_pl|Amath Dollen's Bandits
; trp_black_shield_scout|Amath Dollen's Scout
; trp_black_shield_scout_pl|Amath Dollen's Scouts
; trp_black_shield_guard|Amath Dollen's Guard
; trp_black_shield_guard_pl|Amath Dollen's Guards
; trp_dorwinion_spirit_leader|Spirit
; trp_dorwinion_spirit|Lesser Spirit
trp_i6_beorning_bear_warrior|محارب دب
trp_i6_beorning_bear_warrior_pl|محاربو دببة
trp_a5_dun_night_wolf|ذئب الليل الدونيش
trp_a5_dun_night_wolf_pl|ذئاب الليل الدونيش
trp_morannon_healer|أوكستوك المعالج
trp_minas_tirith_healer|إيوريث
trp_edoras_healer|فريا المعالجة
trp_isengard_healer|نورغال المرقّع
trp_guldur_healer|مورناغار الحكيم
trp_gundabad_healer|لورغاخ العين الثالثة
trp_mirkwood_healer|كورويل الناعمة اليدين
trp_hungry_uruk|أوروك جائع
trp_hungry_orc|عفريت جائع
trp_longing_lorien|جان مشتاق
trp_longing_woodelf|جان مشتاق
trp_longing_imladris|جان مشتاق
trp_i5_moria_deep_dweller|ساكن الأعماق في موريا
trp_i5_moria_deep_dweller_pl|سكان الأعماق في موريا
trp_i5_moria_orc_chieftain|زعيم عفاريت موريا
trp_i5_moria_orc_chieftain_pl|زعماء عفاريت موريا
trp_c5_rhovanion_noble|نبيل روفانيون
trp_c5_rhovanion_noble_pl|نبلاء روفانيون
; trp_npc18|Turmbathu
; trp_npc19|Heidrek
; trp_npc20|Zigûrphel
; trp_npc21|Berta
trp_werewolf|مستذئب
; trp_werewolf_pl|Werewolves
trp_moria_troll|قزم كهوف
trp_moria_troll_pl|قزمة كهوف
; trp_moria_vet_troll|Trained Cave Troll
; trp_moria_vet_troll_pl|Trained Cave Trolls
; trp_moria_armored_troll|Armored Cave Troll
; trp_moria_armored_troll_pl|Armored Cave Trolls
; trp_gunda_troll|Mountain Troll
; trp_gunda_troll_pl|Mountain Trolls
; trp_gunda_vet_troll|Trained Mountain Troll
; trp_gunda_vet_troll_pl|Trained Mountain Trolls
; trp_gunda_placeholder|Trained Mountain Troll
; trp_gunda_placeholder_pl|Trained Mountain Trolls
; trp_isen_troll|Isengard Troll
; trp_isen_troll_pl|Isengard Trolls
; trp_isen_vet_troll|Isengard Trained Troll
; trp_isen_vet_troll_pl|Isengard Trained Trolls
; trp_isen_armored_troll|Isengard Armored Troll
; trp_isen_armored_troll_pl|Isengard Armored Trolls
; trp_mordor_troll|Mordor Troll
; trp_mordor_troll_pl|Mordor Trolls
; trp_mordor_vet_troll|Mordor Trained Troll
; trp_mordor_vet_troll_pl|Mordor Trained Trolls
trp_mordor_olog_hai|أولوغ-هاي موردور
trp_mordor_olog_hai_pl|أولوغ-هاي موردور
trp_troll_placeholder_1|قزم كهوف
trp_troll_placeholder_1_pl|قزمة كهوف
trp_troll_placeholder_2|قزم كهوف
trp_troll_placeholder_2_pl|قزمة كهوف
trp_troll_placeholder_3|قزم كهوف
trp_troll_placeholder_3_pl|قزمة كهوف
trp_troll_placeholder_4|قزم كهوف
trp_troll_placeholder_4_pl|قزمة كهوف
trp_troll_placeholder_5|قزم كهوف
trp_troll_placeholder_5_pl|قزمة كهوف
trp_troll_placeholder_6|قزم كهوف
trp_troll_placeholder_6_pl|قزمة كهوف
; trp_wild_troll|Wild Cave Troll
; trp_wild_troll_pl|Wild Cave Trolls
trp_ent|إنت
trp_ent_pl|إنت
trp_mountain_goblin|عفريت جبلي
trp_mountain_goblin_pl|عفاريت جبلية
trp_tribal_orc|عفريت قبلي
trp_tribal_orc_pl|قبيلة العفاريت
trp_tribal_orc_warrior|محارب عفريت قبلي
trp_tribal_orc_warrior_pl|محاربو عفاريت قبليون
; trp_tribal_orc_chief|Tribal Orc Chief
; trp_tribal_orc_chief_pl|Tribal Orc Chiefs
trp_a3_dism_skirmisher_of_rohan|مناوش روهان
trp_a3_dism_skirmisher_of_rohan_pl|مناوشو روهان
trp_a4_dism_veteran_skirmisher_of_rohan|مناوش روهان مخضرم
trp_a4_dism_veteran_skirmisher_of_rohan_pl|مناوشو روهان مخضرمون
trp_a5_dism_elite_skirmisher_of_rohan|مناوش روهان النخبة
trp_a5_dism_elite_skirmisher_of_rohan_pl|مناوشو روهان النخبة
; trp_ac5_camel_rider|Harad Camel Rider
; trp_ac5_camel_rider_pl|Harad Camel Riders
; trp_aragorn|Aragorn
; trp_legolas|Legolas
; trp_gimli|Gimli
trp_pippin_notmet|هوبيت
trp_merry_notmet|هوبيت
trp_pippin|بيبين
trp_merry|ميري
; trp_grima|Grima Wormtongue
