qstr_Received_{reg0}_dama|{reg0} Schaden erlitten.
qstr_{s1}Weapons:^|{s1}Waffen:^
qstr_{s1}___One_Handed:^|{s1}   Einhand:^
qstr_{s1}___Two_Handed:^|{s1}   Zweihand:^
qstr_{s1}___Polearms:^|{s1}   Stangenwaffen:^
qstr_{s1}___Archery:^|{s1}   Bogen:^
qstr_{s1}___Crossbow:^|{s1}   Armbrust:^
qstr_{s1}___Throwing:^|{s1}   Wurfwaffen:^
qstr_{s1}___Slings:|{s1}   Schleudern:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Klicke auf die Soldaten um sie zu rotieren)^^Klicke auf die Ausrüstung ^(Helm, Rüstung, Handschuhe, Stiefel)^ um sie anzuzeigen.
qstr_ready_bows_and_missi|Fernwaffen!
qstr_ready_side_arms|Zweitwaffen!
qstr_ready_two_hander|Zweihänder!
qstr_ready_polearms|Stangenwaffen!
qstr_shields_up|Schilde!
qstr_doff_shields|Schild ab!
qstr_Distance___{reg70}__|Distanz - {reg70} - {s11} Trupp - {s12} Soldat
qstr_A_golden_mist_from_L|Ein goldener Nebel aus Lórien bedeckt des Schlachtfeld. Deine Truppen schöpfen Mut im Wissen, dass die Macht der weiße Herrin mit ihnen ist.
qstr_A_golden_mist_from_Lr|Ein goldener Nebel aus Lórien bedeckt das Schlachtfeld. Die weiße Hexe ist nahe und lässt deine Truppen vor Furcht erzittern.
qstr_Dark_clouds_from_Mor|Dunkle Wolken aus Morder ziehen über das Schlachtfeld. Deine Schützen sehen kaum ihr Ziel und die Dunkelheit versetzt deine Truppen in Angst und Schrecken.
qstr_Dark_clouds_from_Mord|Dunkle Wolken aus Mordor ziehen über das Schlachtfeld. Die Macht des Dunklen Herrschers bestärkt dich und deine Truppen.
qstr_A_thunderstorm_from_|Ein Sturm aus dem Nebelgebirge wütet über dem Schlachtfeld. Deine Truppen sind langsamer und erzittern vor der Macht des Feindes.
qstr_A_thunderstorm_from_t|Ein Sturm aus dem Nebelgebirge wütet über dem Schlachtfeld. Schützen schießen schlecht bei diesem Wetter.
qstr_A_poisonous_fog_from|Ein giftiger Dampf aus Dol Guldur legt sich über das Schlachtfeld. Er schwächt dich und deine Truppen und Furcht macht sich breit.
qstr_A_poisonous_fog_from_|Ein giftiger Dampf aus Dol Guldur legt sich über das Schlachtfeld. Du fühlst keine Beeinträchtigung, aber deine Feinde leiden und du kannst ihre Angst riechen.
; qstr_{s2}_attacked|{s2} attacked
qstr_You_shapeshift_into_|Du nimmst Bärengestalt an!
qstr_You_got_{reg1}_exper|Du hast als Bär {reg1} Erfahrung erhalten.
qstr_Your_ability_to_chan|Du hast deine Fähigkeit als pelzwechsler entdeckt. Von nun an kannst du die Wildnis als Mensch oder als Bär durchstreifen.
qstr_You_change_back_to_h|Du wechselst zurück in deine menschliche Form...
qstr_Refill_Ammunition|Munition nachfüllen
qstr_Your_mount_stumbles!|Dein Reittier stolpert! Es scheint zu lahmen.
qstr_Bitten_by_your_own_w|Dein eigener Warg hat dich gebissen!
qstr_You_weigh_too_much_f|Du bist zu schwer für ein Pony!
qstr_Your_mount_rears_ref|Dein Reittier bockt. Es gehorcht dir nicht!
qstr_Cannot_Change_Camera|Die Kameraeinstellung kann nicht im First-Person-Modus umgestellt werden.
qstr_Switch_Back_to_3rd_P|Wechsle in den 3rd-Person-Modus, um die Kamera umzustellen.
qstr_Fixed_Custom_Camera|Feste Kamera
qstr_Press_Ctrl_+_Left_/_|Drücke Strg+linke Pfeiltaste / Strg+rechte Pfeiltaste um die Schulteransicht zu wechseln
qstr_Press_Ctrl_+_Down_to|Drücke STRG+Pfeil-unten, um die Kamera zu zentrieren.
qstr_Press_Ctrl_and_+/__t|Drücke Strg und +/- um zu zoomen
qstr_Press_Ctrl_and_Up/Do|Drücke Strg und Pfeiltasten Hoch/Runter, um den Winkel zu verändern
qstr_Fixed_Camera___Right|Feste Kamera - Rechte Schulter
qstr_Fixed_Camera___Left_|Feste Kamera - Linke Schulter
qstr_Fixed_Camera___Cente|Feste Kamera - zentriert
qstr_Shield_is_too_big_to|Schild zu groß, um mit einem Bogen benutzt zu werden.
qstr_{s7}_waves_at_you.|{s7} winkt dir zu.
qstr_You_happen_upon_an_O|Du entdeckst ein altes Gasthaus. Während du das verwitterte Steingebäude betrachtest, bemerkst du eine Gruppe von Jungen, die zwischen den Säulen spielen - die einzigen Kinder, die du in Minas Tirith gesehen hast. Einer von ihnen grüßt dich und du winkst zurück. Dein Herz ist erleichtert und du vergisst für einen kurzen Moment die Schrecken des Krieges.
qstr_You_look_through_Hen|Du blickst durch Henneth Annun, das Fenster des Sonnenuntergangs. Die Schönheit des Anblicks stärkt deine Hoffnung in den Westen und die Mächte jenseits davon.
qstr_As_you_follow_the_st|Als du der in den Felsen des Berges gehauenen geraden Treppe folgst und dann einer zweiten Treppe, die sich in Windungen an die Felswand schmiegt, wird dir klar, dass du diesen Weg nicht weiter verfolgen solltest, wenn dir dein eigenes Leben lieb ist.
qstr_You_are_unable_to_en|Du bist nicht in der Lage, die Schrecken der Toten Stadt zu ertragen.
qstr_You_endure_the_horro|Du erträgst die Schrecken der Toten Stadt und erforschst ihre inneren Bereiche. Die Stillen Wächter erkennen deine Kühnheit an und widersetzen sich dir nicht. (Du erhältst 1 Charisma.)
qstr_You_are_unable_to_end|Du bist nicht in der Lage, die Schrecken des Tempels zu ertragen.
qstr_You_endure_the_horror|Du erträgst die Schrecken der unaussprechlichen Rituale an diesem heiligen Ort. Das grausame Volk von Rhun erkennt die Stärke, die du gezeigt hast, und einige seiner mächtigsten Krieger beschließen, sich deinem Trupp anzuschließen.
qstr_You_find_yourself_in|Du befindest dich in einer tiefen Höhle. Deine Nackenhaare richten sich auf, als du dich umsiehst, und du spürst ein seltsames Gefühl der Gefahr. Dies ist kein Ort für jemanden wie dich. Knurrend trittst du den Rückzug an. Wenn der Schatten die Welt da oben eingehüllt hat, kannst du vielleicht ohne Angst hierher zurückkehren...
qstr_You_find_yourself_in_|Du befindest dich in einer tiefen Höhle. Deine Nackenhaare richten sich auf, als du dich umsiehst, und du spürst ein seltsames Gefühl der Gefahr. Du erhebst deine Waffe und knurrst dem unsichtbaren Feind an diesem Ort deine Verachtung entgegen. Dies mag einst ein Ort der Wunder gewesen sein... aber jetzt, mit der wahren Macht, die du erlangt hast, erkennst du, dass du nichts zu befürchten hast von der vergessenen Vergangenheit einer zerbrochenen Welt.
qstr_With_trepidation_you|Voller Bangen blickst du in die silberne Schale. Das Wasser zeigt dir Visionen des Grauens, Blut, Schrecken und Trauer. Du zuckst zurück... doch dann verschwinden die Visionen und du siehst stattdessen einen klaren Nachthimmel, über den ein silbernes Boot zu schweben scheint. Ein beruhigendes Gefühl durchströmt dich. Noch gibt es Hoffnung.
qstr_The_Lady_s_garden_li|Der Garten der Herrin liegt friedlich im hellen Tageslicht. Du spürst nichts Außergewöhnliches...
qstr_You_kneel_to_pay_you|Du kniest nieder, um den verstorbenen Herrschern dieses schönen Landes deine Ehrerbietung zu erweisen. Neben dir erhebt eine Schildmaid von Rohan ihre Stimme zum Gesang. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Dein Herz schmerzt, als du ihre Worte hörst.
qstr_You_wonder_about_the|Du wunderst dich über die zwei Reihen von Grabhügeln vor den Toren, doch du bist ein nur {s24} und verstehst ihre Bedeutung nicht.
qstr_Halt!_You_are_not_al|Halt! Du darfst hier nicht durch!
qstr_Halt!_You_are_not_all|Halt! Ohne Erlaubnis der Herrin dürft Ihr hier nicht eintreten!
qstr_While_visiting_towns|In Städten, Festungen und Lagern kannst du dich mit den Leuten unterhalten. Angehörige verschiedener Fraktionen haben unterschiedliches zu sagen. Einige werden ihre Sorgen und Hoffnungen mit dir teilen, andere das neueste Gerücht. Beides kann dir zu einem besseren Verständnis der jeweiligen Kultur verhelfen, oder aber Hinweise auf geheime Orte oder Tipps und Tricks für das Reisen durch Mittelerde und das Kämpfen im Ringkrieg bieten. 
qstr_Cannot_leave_now.|Du kannst jetzt nicht gehen.
qstr_You_have_found_the_l|Örtliche Schmiede gefunden.
qstr_You_have_found_the_lo|Örtliche Amtsgewalt gefunden.
qstr_You_have_found_the_loc|Örtliches Warenlager gefunden.
qstr_You_have_found_the_c|Du hast den Hautpmann der Garnison gefunden.
qstr__cancelled_the_{reg1|({reg10} Erfahrungspunkte für das Töten von Gefangenen wieder gestrichen)
qstr_Forming_ranks.|Bilden Reihen.
qstr_{reg2?You:Your_mount|{reg2?Du erleidest:Dein Reittier erleidet} {reg1} zusätzlichen Schaden!
qstr_{reg2?You_strike:You|{reg2?Du verursachst:Dein Reittier verursacht} {reg1} Bonusschaden!
qstr_Division_Placement|Aufstellung
qstr_Complex_Formations|Erweiterte Formationen
qstr_Formations_turned_OF|Formationen sind im Optionsmenü deaktiviert
qstr_Division_{reg1}_{s2}_g|Abteilung {reg1} {s2} nimmt gemerkte Position ein.
qstr_Division_{reg1}_{s2}_f|Abteilung {reg1} {s2} bildet eine Linie (erinnert).
qstr_Division_{reg1}_{s2}_fo|Abteilung {reg1} {s2} bildet {reg0} Linien (erinnert).
qstr_Delivered_{reg60}_da|{reg60} Schaden zugefügt.
qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
qstr_Your_bear_form_has_{|Deine Bärengestalt hat {reg2}/{reg1} Gesundheit!
qstr_Three_Nazgul_are_cir|Drei Nazgul kreisen über dem Schlachtfeld!
qstr_Two_Nazgul_are_circl|Zwei Nazgul kreisen über dem Schlachtfeld!
qstr_A_Nazgul_is_circling|Ein Nazgul kreist über dem Schlachtfeld!
qstr_Some_of_your_human_t|Einige deiner menschlichen Truppen fürchten die Dunkelheit nicht. (Nachttruppen büßen nachts keine Waffenfertigkeiten ein.)
qstr_You_are_filled_with_|Der Anblick der Feinde erfüllt dich durch und durch mit gerechtem Zorn (Berserkermodus aktiv).
qstr_Your_mount_is_scared|Dein Reittier fürchtet sich vor dem {s5}!
qstr_Your_mount_is_scared_|Dein Reittier fürchtet sich vor {s5}, doch du kannst es beherrschen!
qstr_Nazgul_sweep!|Nazgul fliegt an!
qstr_You_and_your_horse_p|Du und dein Pferd erstarren vor Furcht. Die Nazgul-Schreie sind unerträglich!
qstr_Your_horse_panics_th|Dein Pferd gerät in Panik. Die Nazgul-Schreie sind unerträglich!
qstr_You_cower_in_terror_|Du duckst dich vor Furcht. Die Nazgul-Schreie sind unerträglich!
qstr_knocked_unconscious|bewusstlos geschlagen
qstr_Nazgul_diving_attack|Nazgulangriff auf {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} wurde durch den Angriff {s10}!
qstr_Received_{reg66}_dam|{reg66} Schaden erlitten.
qstr_You_yell_for_your_ho|Du rufst nach deinem Pferd.
qstr_You_do_not_need_to_r|Du musst deine Truppen noch nicht sammeln.
qstr_You_rally_{reg10}_tr|Dein Sammelbefehl erreicht {reg10} Truppen!
qstr_{s5}_rallies_{reg65?|{s5} sammelt {reg65?her:his} Truppen um sich!
qstr_You_have_killed_{reg|{reg1} Feinde getötet!
qstr_Your_bravery_inspire|Deine Tapferkeit ermutigt die Truppen.
qstr_Your_mount_has_falle|Dein Reittier bricht unter dir zusammen.
qstr_Receive_{reg22}_dama|{reg22} Schaden erlitten.
qstr_You_have_been_knocke|Du wurdest von {s22} bewusstlos geschlagen.
qstr_{s21}_has_been_knock|{s21} ging zu Boden als {reg23?sein:ihr} Reittier fiel.
qstr_{s21}_{reg24?killed:|{s21} {reg24?getötet:bewusstlos geschlagen} von {s22}.
qstr_A_bear_has_been_summ|Ein Bär wurde in die Schlacht gerufen!
qstr_In_The_Last_Days_of_|In TLD werden sich deine Truppen zu Beginn jeder Schlacht aufstellen, anstelle blind anzugreifen.^^Um deinen Truppen eine Formation zu befehlen, drücke 'J' für Reihen, 'K' für Schildwall, 'L' für Keil, 'ö' für Quadrat. Um eine Formation aufzulösen, drücke 'U'.^Wenn deine Truppen fliehen, drücke 'V', um sie zu sammeln. Die maximale Zahl deiner Sammelrufe pro Schlacht hängt von deiner Führerschaft und deinem Charisma ab.
qstr_You_can_also_order_y|Du kannst deinen Truppen auch befehlen, bestimmte Waffenkombinationen zu verwenden.^^ Drücke 'O', um den Waffenbefehl zu wechseln. Drücke 'P', um den Schildbefehl zu wechseln.
qstr_The_Last_Days_of_the|The Last Days of the Third Age bietet zusätzliche Kameraeinstellungen, die besser an kleine Charaktere (Orks und Zwerge) angepasst ist. ^^Rufe die Infoseiten auf, um weitere Infos zu sehen.
qstr_Battlefield_is_too_s|Schlachtfeld ist zu klein für erweiterte Formationen.
qstr_You_have_a_clear_per|Du spürst deutlich unmittelbare Gefahr von allen Seiten!
qstr_New_ent_reached_batt|Neuer Ent betritt das Schlachtfeld...
qstr_You_receive_word_tha|Du erhältst Berichte, dass eine Dörfer der Beorninger angegriffen wurden. Die Beorninger verlieren an Stärke.
qstr_You_receive_word_that|Du erhältst Berichte, dass die Ringjäger auf dem Weg nach Mordor gesichtet wurden und eine Truhe bei sich trugen. Mordor wird stärker.
qstr_Enemy_reinforcements|Feindliche Verstärkung eingetroffen!
qstr_Yarrrr!!|Harrr!!
qstr_Get_all_of_them!|Holt sie euch!
qstr_Kill_them_all!|Tötet sie alle!
qstr_Toss_them_overboard!|Werft sie von Bord!
qstr_It_is_a_good_day_to_|Ein guter Tag zum Sterben!
qstr_All_hands_on_deck!_T|Alle Mann an Deck! Werft sie zurück!
qstr_Ally_reinforcements_|Eigene Verstärkung eingetroffen!
qstr_Forward_men!|Vorwärts, Männer!
qstr_Leave_none_of_these_|Vernichtet diesen Abschaum!
qstr_End_them_all!|Vernichtet sie!
qstr_Drive_them_back!|Treibt sie zurück!
qstr_Protect_the_City!|Verteidigt die Stadt!
qstr_Forward!_Board_them!|Vorwärts! Entert sie!
qstr_The_Last_Days_of_the_|TLD bietet eine erweiterte Belagerungs-KI, die sich deutlich von der nativen unterscheidet. Alle Angreifer und Verteidiger werden auf unterschiedliche Abteilungen verteilt (linke Flanke / Zentrum / rechte Flanke).^^Der Spieler kann nun seine Truppen befehlingen, während die KI die restlichen Truppen übernimmt.
qstr_on_the_left_flank|auf der linken Flanke
qstr_on_the_right_flank|auf der rechten Flanke
qstr_through_the_center|durch die Mitte
qstr_Attackers_charge_{s2|Angreifer rücken {s2} vor.
qstr_Attackers_charge_{s1|Angreifer rücken {s1} vor.
qstr_{s1}_rallied_to_your|{s10} folgt dir aufgrund deines Charismas.
qstr_Last_attacker_wave._|Letzte Anrgiffswelle. Zurückziehen?
qstr_Attackers_almost_def|Angriff ist beinahe zurückgeschlagen. Zurückziehen?
qstr_The_remaining_attack|Die verbliebenen Angreifer verstreuen sich.
qstr_The_remaining_defend|Die verbleibenden Verteidiger fliehen!
qstr_Reached_Gauntlet_wav|Gantelet: Welle {reg1} erreicht!
qstr_Ballista:_out_of_amm|Balliste: keine Munition!
qstr_Ballista:_turn_CURSO|Balliste: Bewegen ZIELKREUZ; Zielen L-UMSCHALT; Schießen LEER; Anzünden T; Verlassen F
qstr_Ballista:_out_of_ammo|Balliste: keine Munition
qstr_The_ladders_on_Deepi|Leitern am Klammwall! Gebt Acht!
qstr_THREE.._TWO..._ONE..|DREI.. ZWEI... EINS.... KÄMPFT!
qstr_You_have_come_upon_t|Du hast die Ruinen von Amon Hen gefunden, den Berg des Sehens, einen alten Grenzposten und Weiheort von Gondor.^^Du spürst, dass dieser Ort einst von großer Bedeutung war, aber nun längst vergessen ist.
qstr_You_have_come_upon_th|Du hast die Totensümpfe erkundet, am Rande des großen Schlachtfelds von Dagorlad.^^Die Sümpfe haben die einst grasbewachsene Ebene verschlungen, und mit ihr die Gräber der Gefallenen. Das einzige Grün was es hier nun noch gibt ist der Schaum von fauligem Seegras, der sich auf den schwarzen und öligen Oberflächen der Tümpel sammelt.^^Totes Gras und rottendes Schilf ragen aus den Nebelschwaden wie zerrissene Schatten langvergessener Sommer, und die Körper, wenn es denn noch Körper sind, der Toten schweben durch die trüben Tiefen.^^Die Luft ist kalt und klamm und unwillkürlich zitterst du, als du die Lichter über den Tümpel aufsteigen siehst, flimmernd wie nicht erlöschen wollende Totenkerzen.
qstr_You_have_entered_the|Du befindest dich im südlichen Düsterwald, welcher einst der große Grünwald hieß.^^Unweit steht die Festung von Dol Guldur und wirft einen dunklen Schatten über den Wald. Das Unterholz ist kränklich und fault vor sich hin. Uralte Eichen sind überwuchert von Flechten und schleimigen Pilzen und gewaltigen Spinnennetzen, die von Baum zu Baum gespannt sind.^^Die Luft ist abgestanden und faulig und es fühlt sich an, als würde sie dich langsam ersticken.
qstr_You_have_found_the_D|Du hast das Warenlager gefunden, in dem die legendären Speere liegen könnten. Melde {s3} alles, was du findest.
qstr_Leave_the_Warehouse?|Das Warenlager verlassen?
qstr_Leave_the_place_in_s|Den Ort still verlassen?
qstr_Leave_scene?|Ort verlassen?
qstr_Trace_back_your_step|Deinen Weg zurückverfolgen und wieder ins Freie gehen?
qstr_There_is_no_way_out!|Du kannst nicht hinaus! Den Orks ergeben?
qstr_Stealth_mini_game_tu|Schleich-Minispiel: Es gibt zwei Alarmstufen. Stufe 1 wird ausgelöst, wenn Wachen eine Leiche oder dich sehen. Stufe 2 wird ausgelöst, wenn Wachen dich sehen und Stufe 1 bereits aktiv ist. Stufe 2 ist gefährlich, denn immer mehr Wachen werden hinzukommen. Vermeide, gesehen zu werden, indem du in Deckung bleibst.
qstr_You_are_now_hidden.|Du bist nun verborgen.
qstr_You_move_out_of_hidi|Du verlässt die Deckung.
qstr_The_guards_have_spot|Die Wachen haben eine Leiche entdeckt!
qstr_Alarm_Level_is_now_a|Alarmstufe 1!
qstr_You_have_been_too_sl|Du warst zu langsam: Der Alarm wurde weitergetragen und der Zauberer floh bevor du dich ihm nähern konntest.
qstr_Alarm_Level_is_now_at|Alarmstufe 0!
qstr_The_guards_have_spott|Die Wachen haben dich gesehen!
qstr_Alarm_Level_is_now_at_|Alarmstufe 2!
qstr_Enemy_reinforcements_|Feindliche Verstärkung eingetroffen
qstr_Venture_deeper_into_|Wage dich tiefer in den Wald um einen Weg zu finden.
qstr_The_sorcerer_has_fle|Der Zauberer ist geflohen!
qstr_Report_this_ill_news|Überbringe der Herrin sofort diese schlechte Botschaft.
qstr_The_sorcerer_is_flee|Der Zauberer flieht! Tötet ihn!
qstr_The_sorcerer_has_joi|Der Zauberer greift an! Tötet ihn!
qstr_The_sorcerer_is_dead|Der Zauberer ist tot!
qstr_The_battle_is_won!|Die Schlacht ist gewonnen!
qstr_A_band_of_tribal_orc|Eine Bande Stammesorks ist aufgetaucht!
qstr_Gaaaar!!_We_wants_th|Gaaaar!! Wir wolln das Menschenfleisch!
qstr_{s31}_scouts_have_ap|{s31}-Späher sind aufgetaucht!
qstr_Those_are_ours!_We_h|Die gehören uns! Wir haben sie verfolgt, seitdem sie aufgebrochen sind! Niemand stellt sich uns in den Weg!
qstr_Trolls_appeared!|Trolle sind aufgetaucht!
qstr_Gaaaar!!|Gaaaar!!
qstr_{s31}_scouts_have_app|{s31}-Späher tauchen auf, um den Flüchtlingen zu helfen!
qstr_Hurry_men!_Help_the_|Eilt euch, Männer! Helft den Flüchtlingen! Vernichtet diesen Abschaum und lasst sie nicht entkommen.
qstr_Cannot_leave|Du kannst jetzt nicht gehen.
qstr_Longbeard_Kinsman|Langbart
qstr_Ori_Longbeard|Ori Langbart
qstr_We_shall_make_our_st|Wir werden hier standhalten! Für BALIN!
qstr_Noooo!_You_orcs_will|Neeein! Ihr Orks werdet dafür bezahlen!
qstr_Arghhh!!_Nooo!!|Arghhh! Neeein!
qstr_I_will_take_down_as_|Ich werde so viele wie ich kann niederstrecken, bevor ich falle!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|Tötet die Zwerge!
qstr_Finish_them!|Erledigt sie!
qstr_We_will_feast_on_you|Wir werden uns an eurem Fleisch ergötzen!
qstr_Dwarf_meat!|Zwergenfleisch!
qstr_Eru_Iluvatar_has_dec|Aule der Erschaffer hat über das Schicksal von Balins Unternehmen entschieden und es kann nicht mehr geändert werden.
qstr_They_are_coming....!|Sie kommen...!
qstr_Who...dares...enter.|Wer...wagt...einzutreten...
qstr_You_are_not_welcome_|Ihr seid hier nicht willkommen!
qstr_Finally_I_found_you!|Endlich, ich habe euch gefunden! Lasst uns von hier verschwinden!
qstr_You...are....ours...|Du... gehörst... uns...
qstr_Look_at_my_over_the_|Schau dir meine über-die-Schulter-Aufnahme an, {playername}! Aus der Distanz bin ich wunderschön!
qstr_You_wish_old_man_my_|Das wünschst du dir, alter Mann, meine über-die-Schulter-Ansicht ist viel hübscher!
qstr_You_should_really_se|Du solltest dir wirklich Truchsess Denetors Facebook-Fotos anschauen, er ist unglaublich!
qstr_Press_Space_to_conti|Drücke die Leertaste um fortzusetzen...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} bis zur Beförderung^
qstr_Influence:^_{reg11}_|Einfluss:^ {reg11} (in {s16})
qstr_Resource_Points:^_{r|Ressourcenpunkte:^ {reg12} (in {s16})
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} bis zur Beförderung^
qstr_{s13}_{reg11}__with_|{s13}, {reg11} (in {s16})
qstr_{s15}_{reg12}__in_{s|{s15}, {reg12} (in {s16})
qstr_Four_years_after_bri|Vier Jahre, nachdem er mit einer Gruppe Zwerge vom Erebor ausgezogen war, um das einstige Zwergenreich von Khazad-dûm zurückzugewinnen, wurde Balin von einem Ork getötet, während er in den Spiegelsee schaute. Sein Gefolge wurde unmittelbar darauf von Orks angegriffen, die den Silberlauf heraufkamen. Nach Kämpfen um das Osttor, die erste Halle, die Brücke von Khazad-dûm und die zweite Halle wurden die verbleibenden Zwerge bis in die einundzwanzigste Halle zurückgedrängt. Nach einem erfolglosen Versuch, durch Durins Tür nach Westen zu entkommen, bei dem Óin den Tod fand, wurde die Marzabul-Kammer zum letzten Stützpunkt der Kolonie, die nun auch die einundzwanzigste Halle direkt nebenan verloren hatte. Ori und die letzten Überlebenden versperrten die Tore und bereiteten sich auf eine letzte Schlacht vor.
qstr_You_chase_an_orc_sco|Ihr verfolgt eine Gruppe von Ork-Spähern in den Wald...
qstr_^No_food:___{reg7}|^Keine Nahrung: -{reg7}
qstr_Current_party_morale|Momentane Truppenmoral ist {reg5}.^Momentane Truppenmoral-Modifikatoren:^^Grundmoral: +50^Truppengröße: {s2}{reg1}^Anführerschaft: {s3}{reg2}^Nahrungsvielfalt: {s4}{reg3}{s5}^Spezielle Gegenstände: {s6}{reg6}^Kürzliche Ereignisse: {s7}{reg4}^GESAMT: {reg5}
qstr_Defending|Verteidigung
qstr_Gathering_army|Armee wird ausgehoben
qstr_Besieging_{s11}|Belagert {s11}
qstr_Raiding_{s11}|Plündert {s11}
qstr_Attacking_enemies_ar|Greift Feinde um {s11} an
qstr_No_one|Niemand
qstr_{s9}{s10}^Current_st|{s9}{s10}^Momentaner Status: {s11}^Marschall: {s12}^Seit der letzten Offensive: {reg1} Stunden^Maximale Gefolgschaft der Offensive: {reg2}^^
qstr_Selected_faction_is:|Ausgewählte Fraktion ist: {s10}^^{s9}
qstr_You_are_in_perfect_h|Du bist bei bester Gesundheit.
qstr_You_are_suffering_fr|Du hast {s1}.
qstr_You_are_suffering_fro|Du hast {s1} und {s2}.
qstr_You_are_suffering_from|Du hast {s1}, {s2} und {s3}.
qstr_You_are_suffering_from_|Du hast {s1}, {s2}, {s3} und {s4}.
qstr_Troop_upkeep__paid_e|Unterhalt (alle vier Tage):^
qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Ressourcenpunkte ^Trupp: {reg4}^Reserven: {reg7}
qstr_No_upkeep_costs|Keine Unterhaltskosten
qstr_Orc_hiring_bonus:_+2|Ork-Bonus: +2/3 max. Truppengröße für jeden Ork^
qstr_Current_party_size_l|Momentane Truppengrößenbegrenzung ist {reg5}.^Momentane Truppengrößen-Modifikatoren:^^Grundgröße: +10^Anführerschaft: {s2}{reg1}^Charisma: {s3}{reg2}^Rang: {s4}{reg3}^{s5}GESAMT: {reg5}
qstr_{s2}^_________{s4}:_|{s2}^ {s4}: {reg1} ({s23})
qstr__________Faction_str|Fraktionsstärken-Bericht:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Fraktionen werden normalerweise belagert, wenn sie unter {reg1} Stärke haben.
qstr_Savagery|Brutaler Kämpfer
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Erlangte Merkmale:^{s2}
qstr_^^You_are_{s17}.|^^Du bist {s17}.
qstr_Assassins_in_the_cam|Attentäter im Lager, verteidige dich!
qstr_Ally_party_size:_{re|Truppengröße Verbündete: {reg1}
qstr_Enemy_party_size:_{r|Truppengröße Gegner: {reg1}
qstr_Party_count:_{reg0}|Truppengröße: {reg0}
qstr_Party_position__{reg|Truppenstandort ({reg2},{reg3}).
qstr_Party_size_increased|Truppengröße von {reg0} auf {reg1} erhöht!
qstr_Faction_strengths_re|Fraktionsstärken-Bericht:^{s2}
qstr_Attacking_enemy_part|Greife feindliche Truppe {s11} an
qstr_Unknown_{reg3}_|Unbekannt({reg3})
qstr_ON|AN
qstr_OFF__cheat_|AUS (Cheat)
qstr_OFF|AUS
qstr_All_messages|Alle Nachrichten
qstr_{reg0}__will_most_li|{reg0} (verursacht wahrscheinlich Abstürze während des Speicherns)
qstr_{reg0}__could_possib|{reg0} (könnte Abstürze während des Speicherns verursachen)
qstr_Normal|Normal
qstr_Defender_only|nur Verteidiger
qstr_Halved|Halbiert
qstr_Battles_only|nur Kämpfe
qstr_Doubled|verdoppelt
qstr_Tripled|verdreifacht
qstr_Quadrupled|vervierfacht
qstr_You_drank_the_Ent_Wa|Du hast Entwasser getrunken...
qstr_You_used_the_Orc_Bre|Du hast das Orkgebräu verwendet.
qstr_You_and_your_compani|Du und deine Gefährten trinken einen Schluck Miruvor. Ihr fühlt euch gestärkt und erfrischt.
qstr_You_give_a_few_leave|Du gibst deinen Heilern einige Blätter Athelas.
qstr_Not_enough_party_spa|Nicht genug Platz im Trupp
qstr_elites|Elitekrieger
qstr_regulars|Krieger
qstr_recruits|Rekruten
qstr_wild|wilde
qstr_goblins|Orks
qstr_lordless|ohne Herrn
qstr_orc_stragglers|Ork-Nachzügler
qstr_You_camp_and_beat_th|Du schlägst dein Lager auf und schlägst die Trommeln aus der Tiefe. Der mächtige Klang lockt eine Gruppe {s2} {s1} an.
qstr_You_camp_and_beat_the|Du lagerst und schlägst die Trommeln der Tiefe. Der kraftvolle Klang lockt eine Gruppe {s1} {s2} an.
qstr_You_camp_and_beat_the_|Du lagerst und schlägst die Trommeln der Tiefe. Der schwächliche Klang lockt eine Gruppe {s1} {s2} an.
qstr_You_camp_and_try_to_|Du lagerst und schlägst die Trommeln der Tiefe, doch niemand antwortet auf deinen erbärmlichen Ruf.
qstr_^^^A_great_victory!^|^^^Ein großer Sieg!^^^Also das war es, wovon die Mythen über Fangorn handelten...
qstr_^^^Defeated...^^^Sca|^^^Besiegt...^^^Verstreut im Fangorn-Wald... Allein...
qstr_Troll_caged_in_wheel|Troll im Rollkäfig gefangen.
qstr_A_second_troll_is_ca|Ein zweiter Troll ist im Rollkäfig gefangen.
qstr_Here_you_are.|Bitte sehr.
qstr_Player_was_moved_to_|Spieler wurde nach {s10} bewegt.
qstr_neutral_whereabouts|neutrale Gegend
qstr_any|irgendein
qstr_woman|Frau
qstr_gondor|Gondor
qstr_rohan|Rohan
qstr_dunlander|Dunländer
qstr_urukhai|Uruk-hai
qstr_haradrim|Haradrim
qstr_dwarf|Zwerg
qstr_troll|Troll
qstr_dunedain|Dunedain
