trp_unarmed_troop|Unbewaffneter
trp_woodelf_lord_pl|König
trp_moria_lord|Aufseher Bolg der Kleinere
trp_moria_lord_pl|Aufseher
trp_guldur_lord|Gebieter Fuinur
trp_guldur_lord_pl|Gebieter
trp_gundabad_lord|Gebieter Burza Krual
trp_gundabad_lord_pl|Gebieter
trp_dale_lord|König Brand
trp_dale_lord_pl|König
trp_dwarf_lord|König Dain II Eisenfuß
trp_dwarf_lord_pl|König
trp_dunland_lord|Häuptling Daeglaf der Schwarze
trp_dunland_lord_pl|Häuptling
trp_beorn_lord|Häuptling Grimbeorn der Alte
trp_beorn_lord_pl|Häuptling
trp_lorien_marshall|Celeborn
trp_knight_1_1|Angbor der Furchtlose
trp_knight_1_2|Húrin von den Schlüsseln
trp_knight_1_3|Fürst Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Hirluin der Schöne
trp_knight_1_7|Faramir
trp_knight_1_8|Forlong der Dicke
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Hama
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Mog der Siebenfingrige
trp_knight_1_18|Hushnak Langbein
trp_knight_1_19|Gridash der Baumbeißer
trp_knight_1_20|Gronk der Menschenfresser
trp_knight_2_1|Hauptmann Mortakh
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Pharakhâd der Bastard
trp_knight_2_5|Grishnakh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Statthalter
trp_knight_2_6|Häuptling Karna der Löwe
trp_knight_2_7|Häuptling Na’man
trp_knight_2_8|Häuptling Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Ulwarth von den Balchoth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Hauptmann Morbir
trp_knight_3_2|Hauptmann Angamaitë
trp_knight_3_3|Hauptmann Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orophin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohir
trp_knight_3_13|Halbarad
trp_knight_3_16|Miriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Aufseher Snog
trp_knight_4_2|Aufseher Snotgor
trp_knight_4_6|General Tuskim
trp_knight_4_7|General Mugslag
trp_knight_4_11|Ruel
trp_knight_4_12|Beranor Schwarzfell
trp_knight_4_16|Aufseher Brolgukhsh
trp_knight_4_17|Aufseher Grumrunt
trp_knight_4_18|Aufseher Grimsob
trp_knight_5_1|Fürst Halward
trp_knight_5_2|Fürst Bard
trp_knight_5_3|Fürst Esgarain
trp_knight_5_6|Fulgni Langbart
trp_knight_5_7|Thorin Steinhelm
trp_knight_5_11|Häuptling Fudreim
trp_knight_5_12|Häuptling Wulf
trp_knight_6_1|Dervorin
trp_smith_mtirith|Berethor der Schmied
trp_smith_mtirith_pl|die Schmiede des Truchsess
trp_smith_pelargir|Hallatan Eisenmeister
trp_smith_pelargir_pl|die Schmiede
trp_smith_linhir|Bor der Waffenschmied
trp_smith_linhir_pl|die Schmiede
trp_smith_dolamroth|Haldad der Schmied
trp_smith_dolamroth_pl|die Schmiede von Amroth
trp_smith_edhellond|Ryis Eisenbieger
trp_smith_edhellond_pl|die Schmiede
trp_smith_lossarnach|Berin Axtmacher
trp_smith_lossarnach_pl|die Schmiede
trp_smith_tarnost|Harandil Stahlhammer
trp_smith_tarnost_pl|die Schmiede
trp_smith_erech|Lorne der Schwarze
trp_smith_erech_pl|die Schmiede
trp_smith_pinnath|Tarandil Schwertmacher
trp_smith_pinnath_pl|die Schmiede
trp_smith_eosgiliath|Bzurg der Plünderer
trp_smith_eosgiliath_pl|die Schmiede
trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|die Behelfsschmiede
trp_smith_calembel|Agronom
trp_smith_calembel_pl|die Schmiede
trp_smith_hannun|Fal der Waldläuferschmied
trp_smith_hannun_pl|das Waffenlager der Waldläufer
trp_smith_candros|Kalimdor
trp_smith_candros_pl|die Schmiede
trp_smith_edoras|Eaoden Stahlherr
trp_smith_edoras_pl|die königliche Schmiede
trp_smith_aldburg|Fulm Eisenhuf
trp_smith_aldburg_pl|die Schmiede
trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|die Schmiede
trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|die Schmiede
trp_smith_westfold|Deor Helmmacher
trp_smith_westfold_pl|die Schmiede
trp_smith_westemnet|Waffenschmied
trp_smith_westemnet_pl|die Schmiede
trp_smith_eastfold|Eaderan Eisenschneider
trp_smith_eastfold_pl|die Schmiede
trp_smith_morannon|Hurbag Torbauer
trp_smith_morannon_pl|die Schmiede
trp_smith_mmorgul|Orguz Feuerrülpser
trp_smith_mmorgul_pl|die Schmiede
trp_town_24_smith|Boz der Eisenverderber
trp_town_24_smith_pl|die Schmiede
trp_smith_orc_patrol|Glugz Eisenfinger
trp_smith_orc_patrol_pl|die Lagerschmiede
trp_smith_oscamp|Kugash Eisenliebhaber
trp_smith_oscamp_pl|die Lagerschmiede
trp_smith_isengard|Burz Eisenschläger
trp_smith_isengard_pl|die unterirdische Schmiede
trp_smith_uoutpost|Gurzuk Eisenzahn
trp_smith_uoutpost_pl|die Außenpostenschmiede
trp_smith_uhcamp|Rabzug Rostfresser
trp_smith_uhcamp_pl|die Lagerschmiede
trp_smith_urcamp|Glurk
trp_smith_urcamp_pl|die Lagerschmiede
trp_smith_cgaladhon|Dirufin der Bogner
trp_smith_cgaladhon_pl|die elbischen Waffenschmiede
trp_smith_cdolen|Dimirian der Pfeilmacher
trp_smith_cdolen_pl|die elbischen Waffenschmiede
trp_smith_camroth|Getasistan
trp_smith_camroth_pl|die elbischen Waffenschmiede
trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|die Schmiede
trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|die Schmiede
trp_smith_beorn|Beornalaf Axtbauer
trp_smith_beorn_pl|die Schmiede
trp_smith_moria|Burgak der Schmelzer
trp_smith_moria_pl|die Schmiede
trp_smith_dale|Ardel Feuerhand
trp_smith_dale_pl|die Schmiede
trp_smith_esgaroth|Kelegarn der Bogenmacher
trp_smith_esgaroth_pl|die Schmiede
trp_smith_erebor|Thror der Hämmerer
trp_smith_erebor_pl|die hochgelobten Zwergenschmiede
trp_smith_dunland|Dorrowuld Eisenpike
trp_smith_dunland_pl|die Schmiede
trp_smith_harad|Har Stahlbieger
trp_smith_harad_pl|die Schmiede
trp_smith_khand|Pushurt der Feilscher
trp_smith_khand_pl|die Schmiede
trp_smith_umbar|Fuinir der Schmelzer
trp_smith_umbar_pl|die Schmiede
trp_smith_imladris|Duifirian
trp_smith_imladris_pl|die elbischen Waffenschmiede
trp_smith_dolguldur|Shtazg Dulbash
trp_smith_dolguldur_pl|die Schmiede
trp_smith_north_rhun|Ognjemir Kladivo
trp_smith_north_rhun_pl|die Behelfsschmiede
trp_smith_gundabad|Blurg Schneehändler
trp_smith_gundabad_pl|die Schmiede
trp_smith_ironhill|Schmied aus den Eisenbergen
trp_smith_ironhill_pl|die Schmiede des Zwergenlagers
trp_town_50_weaponsmith|Shruklug Messerwetzer
trp_town_50_weaponsmith_pl|die Schmiede
trp_smith_gondor_ac|Bor der Waffenschmied
trp_smith_gondor_ac_pl|die Lagerschmiede
trp_smith_rohan_ac|Deor Helmmacher
trp_smith_rohan_ac_pl|die Lagerschmiede
trp_smith_mordor_ac|Hurbag Torbauer
trp_smith_mordor_ac_pl|die Schmiede
trp_smith_isengard_ac|Burz Eisenschläger
trp_smith_isengard_ac_pl|die unterirdische Schmiede
trp_smith_lorien_ac|Dimirian der Pfeilmacher
trp_smith_lorien_ac_pl|die elbischen Waffenschmiede
trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|die Schmiede
trp_smith_dwarf_ac|Schmied von den Eisenbergen
trp_smith_dwarf_ac_pl|die Schmiede des Zwergenlagers
trp_smith_gundabad_ac|Blurg Schneehändler
trp_smith_gundabad_ac_pl|die Schmiede
trp_smith_rhun_ac|Branimir Bronnik
trp_smith_rhun_ac_pl|die Behelfsschmiede
trp_smith_guldur_ac|Shtazg Dulbash
trp_smith_guldur_ac_pl|die Schmiede
trp_smith_imladris_ac|Duifirian
trp_smith_imladris_ac_pl|die elbischen Waffenschmiede
trp_smith_dunland_ac|Dorrowuld Eisenpike
trp_smith_dunland_ac_pl|die Schmiede
trp_smith_harad_ac|Har Stahlbieger
trp_smith_harad_ac_pl|die Schmiede
trp_smith_khand_ac|Pushurt der Feilscher
trp_smith_khand_ac_pl|die Schmiede
trp_smith_umbar_ac|Fuinir der Schmelzer
trp_smith_umbar_ac_pl|die Schmiede
trp_smith_moria_ac|Burgak der Schmelzer
trp_smith_moria_ac_pl|die Schmiede
trp_smith_dale_ac|Ardel Feuerhand
trp_smith_dale_ac_pl|die Schmiede
trp_smith_beorn_ac|Beornalaf Axtbauer
trp_smith_beorn_ac_pl|die Schmiede
trp_smith_woodelf_west_camp|Dhoelath
trp_smith_woodelf_west_camp_pl|die Schmiede
trp_smith_woodmen|Beornalaf Axtbauer
trp_smith_woodmen_pl|die Schmiede
trp_smith_beorn_v|Beornalaf Axtbauer
trp_smith_beorn_v_pl|die Schmiede
trp_smith_troll_cave|Burgak der Schmelzer
trp_smith_troll_cave_pl|die Schmiede
trp_smith_dg_outpost|Shtazg Dulbash
trp_smith_dg_outpost_pl|die Schmiede
trp_smith_main_rhun|Branimir Bronnik
trp_smith_main_rhun_pl|die Behelfsschmiede
trp_smith_south_rhun|Branimir Bronnik
trp_smith_south_rhun_pl|die Behelfsschmiede
trp_smith_gundabad_ne|Blurg Schneehändler
trp_smith_gundabad_ne_pl|die Schmiede
trp_smith_gundabad_nw|Blurg Schneehändler
trp_smith_gundabad_nw_pl|die Schmiede
trp_smith_gundabad_s|Blurg Schneehändler
trp_smith_gundabad_s_pl|die Schmiede
trp_smith_gundabad_m|Blurg Schneehändler
trp_smith_gundabad_m_pl|die Schmiede
trp_barman_eastemnet|Wirt
trp_barman_eastemnet_pl|zur Feste
trp_barman_westfold|Wirt
trp_barman_westfold_pl|zur Feste
trp_barman_westemnet|Wirt
trp_barman_westemnet_pl|zur Feste
trp_barman_eastfold|Wirt
trp_barman_eastfold_pl|zur Feste
trp_barman_baraddur|Wirt
trp_barman_baraddur_pl|zur Feste
trp_barman_morannon|Wirt
trp_barman_morannon_pl|zur Höhle des Befehlshabers
trp_barman_mmorgul|Wirt
trp_barman_mmorgul_pl|zum Turm
trp_merchant_main_rhun|Lagerverwalter
trp_merchant_main_rhun_pl|das Warenlager
trp_merchant_dg_outpost|Lagerverwalter
trp_merchant_dg_outpost_pl|Stall und Vorratslager
trp_merchant_woodelf_west_camp|Lagerverwalter
trp_merchant_woodelf_west_camp_pl|die Vorratslager der Elben
trp_merchant_gundabad_m|Lagerverwalter
trp_merchant_gundabad_m_pl|das Warenlager
trp_merchant_gundabad_s|Lagerverwalter
trp_merchant_gundabad_s_pl|das Warenlager
trp_merchant_gundabad_nw|Lagerverwalter
trp_merchant_gundabad_nw_pl|das Warenlager
trp_merchant_gundabad_ne|Lagerverwalter
trp_merchant_gundabad_ne_pl|das Warenlager
trp_merchant_troll_cave|Lagerverwalter
trp_merchant_troll_cave_pl|Warggrube und Vorratslager
trp_merchant_beorn_v|Lagerverwalter
trp_merchant_beorn_v_pl|Stall und Vorratslager
trp_merchant_orc_sentry|Lagerverwalter
trp_merchant_orc_sentry_pl|das Warenlager
trp_merchant_candros|Lagerverwalter
trp_merchant_candros_pl|Stall und Vorratslager
trp_merchant_hannun|Lagerverwalter
trp_merchant_hannun_pl|Vorräte der Waldläufer
trp_merchant_mtirith|Lagerverwalter
trp_merchant_mtirith_pl|Stall und Vorratslager
trp_merchant_pelargir|Lagerverwalter
trp_merchant_pelargir_pl|Stall und Vorratslager
trp_merchant_linhir|Lagerverwalter
trp_merchant_linhir_pl|Stall und Vorratslager
trp_merchant_dolamroth|Lagerverwalter
trp_merchant_dolamroth_pl|Stall und Vorratslager
trp_merchant_edhellond|Lagerverwalter
trp_merchant_edhellond_pl|Stall und Vorratslager
trp_merchant_lossarnach|Lagerverwalter
trp_merchant_lossarnach_pl|Stall und Vorratslager
trp_merchant_tarnost|Lagerverwalter
trp_merchant_tarnost_pl|Stall und Vorratslager
trp_merchant_erech|Lagerverwalter
trp_merchant_erech_pl|Stall und Vorratslager
trp_merchant_pinnath|Lagerverwalter
trp_merchant_pinnath_pl|Stall und Vorratslager
trp_merchant_eosgiliath|Lagerverwalter
trp_merchant_eosgiliath_pl|Stall und Vorratslager
trp_merchant_wosgiliath|Lagerverwalter
trp_merchant_wosgiliath_pl|Stall und Vorratslager
trp_town_12_horse_merchant|Lagerverwalter
trp_town_12_horse_merchant_pl|Stall und Vorratslager
trp_town_13_horse_merchant|Lagerverwalter
trp_town_13_horse_merchant_pl|Stall und Vorratslager
trp_merchant_edoras|Lagerverwalterin
trp_merchant_edoras_pl|Stall und Vorratslager
trp_merchant_aldburg|Lagerverwalter
trp_merchant_aldburg_pl|des Königs Stall und Vorratslager
trp_merchant_hornburg|Lagerverwalter
trp_merchant_hornburg_pl|Stall und Vorratslager
trp_merchant_eastemnet|Lagerverwalter
trp_merchant_eastemnet_pl|Stall und Vorratslager
trp_merchant_westfold|Lagerverwalterin
trp_merchant_westfold_pl|Stall und Vorratslager
trp_merchant_westemnet|Lagerverwalterin
trp_merchant_westemnet_pl|Stall und Vorratslager
trp_merchant_eastfold|Lagerverwalterin
trp_merchant_eastfold_pl|Stall und Vorratslager
trp_town_21_horse_merchant|Lagerverwalter
trp_town_21_horse_merchant_pl|Grube und Vorratslager
trp_merchant_morannon|Lagerverwalter
trp_merchant_morannon_pl|Grube und Vorratslager
trp_merchant_mmorgul|Lagerverwalter
trp_merchant_mmorgul_pl|Grube und Vorratslager
trp_town_24_horse_merchant|Lagerverwalter
trp_town_24_horse_merchant_pl|Grube und Vorratslager
trp_merchant_orc_patrol|Lagerverwalter
trp_merchant_orc_patrol_pl|das Warenlager
trp_merchant_isengard|Lagerverwalter
trp_merchant_isengard_pl|das Warenlager
trp_town_27_horse_merchant|Lagerverwalter
trp_town_27_horse_merchant_pl|Warggrube und Vorratslager
trp_merchant_uoutpost|Lagerverwalter
trp_merchant_uoutpost_pl|Warggrube und Vorratslager
trp_merchant_uhcamp|Lagerverwalter
trp_merchant_uhcamp_pl|Warggrube und Vorratslager
trp_merchant_urcamp|Lagerverwalter
trp_merchant_urcamp_pl|Warggrube und Vorratslager
trp_merchant_cgaladhon|Lagerverwalter
trp_merchant_cgaladhon_pl|die Vorratslager der Elben
trp_merchant_cdolen|Lagerverwalter
trp_merchant_cdolen_pl|die Vorratslager der Elben
trp_merchant_camroth|Lagerverwalter
trp_merchant_camroth_pl|die Vorratslager der Elben
trp_merchant_thranduils_halls|Lagerverwalter
trp_merchant_thranduils_halls_pl|die Vorratslager der Elben
trp_merchant_woodelf_camp|Lagerverwalter
trp_merchant_woodelf_camp_pl|die Vorratslager der Elben
trp_merchant_woodmen|Lagerverwalter
trp_merchant_woodmen_pl|Stall und Vorratslager
trp_merchant_beorn|Lagerverwalter
trp_merchant_beorn_pl|Stall und Vorratslager
trp_merchant_moria|Lagerverwalter
trp_merchant_moria_pl|Warggrube und Vorratslager
trp_merchant_dale|Lagerverwalter
trp_merchant_dale_pl|Stall und Vorratslager
trp_merchant_esgaroth|Lagerverwalter
trp_merchant_esgaroth_pl|Stall und Vorratslager
trp_merchant_erebor|Lagerverwalter
trp_merchant_erebor_pl|die Vorratslager der Zwerge
trp_merchant_dunland|Lagermeister von Dunland
trp_merchant_dunland_pl|das Warenlager
trp_merchant_harad|Lagermeister von Harad
trp_merchant_harad_pl|das Warenlager
trp_merchant_khand|Lagermeister von Khand
trp_merchant_khand_pl|das Warenlager
trp_merchant_umbar|Lagerverwalter
trp_merchant_umbar_pl|das Warenlager
trp_merchant_imladris|Lagerverwalter
trp_merchant_imladris_pl|das Vorratslager
trp_merchant_dolguldur|Lagerverwalter
trp_merchant_dolguldur_pl|Stall und Vorratslager
trp_merchant_north_rhun|Lagerverwalter
trp_merchant_north_rhun_pl|das Warenlager
trp_merchant_south_rhun|Lagerverwalter
trp_merchant_south_rhun_pl|das Warenlager
trp_merchant_gundabad|Lagerverwalter
trp_merchant_gundabad_pl|das Warenlager
trp_merchant_ironhill|Lagerverwalter
trp_merchant_ironhill_pl|die Vorratslager der Zwerge
trp_town_50_horse_merchant|Gobrip Gelbzahn
trp_town_50_horse_merchant_pl|Warggrube und Vorratslager
trp_merchant_calembel|Lagerverwalter
trp_merchant_calembel_pl|Stall und Vorratslager
trp_elder_mtirith|Verwalter von Minas Tirith
trp_elder_mtirith_pl|der Weißen Stadt
trp_elder_pelargir|Meister der Seemannsgilde
trp_elder_pelargir_pl|der Stadt
trp_elder_linhir|Gildenmeister von Linhir
trp_elder_linhir_pl|der Stadt
trp_elder_dolamroth|Burgmeister von Dol Amroth
trp_elder_dolamroth_pl|der Stadt
trp_elder_edhellond|Gildenmeister von Edhellond
trp_elder_edhellond_pl|der Stadt
trp_elder_lossarnach|Meister von Lossarnach
trp_elder_lossarnach_pl|der Ortschaft
trp_elder_tarnost|Verwalter von Tarnost
trp_elder_tarnost_pl|der Ortschaft
trp_elder_erech|Gildenmeister von Erech
trp_elder_erech_pl|der Ortschaft
trp_elder_pinnath|Stammesältester der Pinnath
trp_elder_pinnath_pl|der Ortschaft
trp_elder_ethring|Meister von Calembel
trp_elder_ethring_pl|der Stadt
trp_elder_henneth|Meister der Waldläufer
trp_elder_henneth_pl|dem Versteck
trp_elder_cairandros|Burgmeister von Cair Andros
trp_elder_cairandros_pl|der Inselfestung
trp_elder_edoras|Thain von Edoras
trp_elder_edoras_pl|der Stadt
trp_elder_aldburg|Thain von Aldburg
trp_elder_aldburg_pl|der Ortschaft
trp_elder_hornburg|Thain der Hornburg
trp_elder_hornburg_pl|der Festung
trp_elder_eastemnet|Thain der Ostemnet
trp_elder_eastemnet_pl|der Ortschaft
trp_elder_westfold|Thain der Westfold
trp_elder_westfold_pl|der Ortschaft
trp_elder_westemnet|Thain der Westemnet
trp_elder_westemnet_pl|der Ortschaft
trp_elder_eastfold|Thain der Ostfold
trp_elder_eastfold_pl|der Ortschaft
trp_elder_morannon|Aufseher vom Morannon
trp_elder_morannon_pl|den Höhlen über dem Großen Tor
trp_elder_mmorgul|Aufseher von Minas Morgul
trp_elder_mmorgul_pl|der düsteren Stadt
trp_elder_cungol|Lageraufseher
trp_elder_cungol_pl|dem Lager
trp_elder_isengard|Grima Schlangenzunge
trp_elder_isengard_pl|der Stadt
trp_elder_cgaladhon|Weiser von Lorien
trp_elder_cgaladhon_pl|der Waldfestung der Elben
trp_elder_cdolen|Weiser von Lorien
trp_elder_cdolen_pl|dem Feldlager
trp_elder_camroth|Weiser von Lorien
trp_elder_camroth_pl|dem Feldlager
trp_elder_thalls|Ältester
trp_elder_thalls_pl|den Höhlen der Elben
trp_elder_imladris|Lagermeister von Bruchtal
trp_elder_imladris_pl|dem Lager
trp_elder_wvillage|Pierre der Waldmensch
trp_elder_wvillage_pl|dem Dorf
trp_elder_beorn|Ältester der Beorninger
trp_elder_beorn_pl|dem Gehöft
trp_elder_harad|Lagerhäuptling von Harad
trp_elder_harad_pl|dem Lager
trp_elder_rhun|Hohepriester von Rhun
trp_elder_rhun_pl|dem Lager
trp_elder_khand|Lagerhäuptling von Khand
trp_elder_khand_pl|dem Lager
trp_elder_dunland|Lagerhäuptling der Dunländer
trp_elder_dunland_pl|dem Lager
trp_elder_umbar|Quartiermeister von Umbar
trp_elder_umbar_pl|dem befestigten Lager
trp_elder_moria|Häuptling von Moria
trp_elder_moria_pl|den Minen
trp_elder_gunda|Gebieter der Höhlen
trp_elder_gunda_pl|den Höhlen
trp_elder_dale|Quartiermeister von Thal
trp_elder_dale_pl|der Stadt
trp_elder_esgaroth|Quartiermeister von Esgaroth
trp_elder_esgaroth_pl|der Seestadt
trp_elder_erebor|Gildenmeister des Erebor
trp_elder_erebor_pl|den Hallen
trp_elder_dolguldur|Verwalter von Dol Guldur
trp_elder_dolguldur_pl|zur schwarzen Feste
trp_elder_wosgiliath|Lageraufseher
trp_elder_wosgiliath_pl|dem Lager
trp_elder_oscamp|Lageraufseher
trp_elder_oscamp_pl|dem Lager
trp_elder_eosgiliath|Lageraufseher
trp_elder_eosgiliath_pl|dem Lager
trp_elder_uoutpost|Lageraufseher
trp_elder_uoutpost_pl|dem Lager
trp_elder_uhcamp|Lageraufseher
trp_elder_uhcamp_pl|dem Lager
trp_elder_urcamp|Lageraufseher
trp_elder_urcamp_pl|dem Lager
trp_elder_woodelf_camp|Ältester
trp_elder_woodelf_camp_pl|dem Lager
trp_elder_woodelf_west_camp|Ältester
trp_elder_woodelf_west_camp_pl|dem Lager
trp_elder_beorn_v|Ältester der Beorninger
trp_elder_beorn_v_pl|dem Dorf
trp_elder_troll_cave|Höhlenaufseher
trp_elder_troll_cave_pl|den Höhlen
trp_elder_dg_outpost|Lageraufseher
trp_elder_dg_outpost_pl|dem Lager
trp_elder_rhun_sc|Lagerhäuptling von Rhun
trp_elder_rhun_sc_pl|dem Lager
trp_elder_rhun_nc|Lagerhäuptling von Rhun
trp_elder_rhun_nc_pl|dem Lager
trp_elder_gunda_ne|Orkältester
trp_elder_gunda_ne_pl|dem Lager
trp_elder_gunda_nw|Orkältester
trp_elder_gunda_nw_pl|dem Lager
trp_elder_gunda_s|Orkältester
trp_elder_gunda_s_pl|dem Lager
trp_elder_gunda_m|Orkältester
trp_elder_gunda_m_pl|dem Lager
trp_elder_ironhill|Lageraufseher
trp_elder_ironhill_pl|dem Lager
trp_village_1_elder|Herr der Peitsche
trp_village_1_elder_pl|den Höhlen
trp_tutorial_chest_1|Nahkampf-Truhe
trp_tutorial_chest_2|Fernkampf-Truhe
trp_bonus_chest_1|Bonustruhe
trp_bonus_chest_2|Bonustruhe
trp_bonus_chest_3|Bonustruhe
trp_camp_chest_faction|Fraktionstruhe
trp_camp_chest_none|Truhe für niemanden
trp_player_chest|Deine Truhe
trp_local_merchant|Örtlicher Händler
trp_local_merchant_pl|Örtliche Händler
trp_tax_rebel|Aufsässiger Bauer
trp_tax_rebel_pl|Aufsässige Bauern
trp_trainee_peasant|Bauer
trp_trainee_peasant_pl|Bauern
trp_fugitive_man|Verdächtiger Mensch
trp_fugitive_man_pl|Verdächtige Menschen
trp_fugitive_elf|Verdächtiger Elb
trp_fugitive_elf_pl|Verdächtige Elben
trp_fugitive_dwarf|Verdächtiger Zwerg
trp_fugitive_dwarf_pl|Verdächtige Zwerge
trp_fugitive_orc|Verdächtiger Ork
trp_fugitive_orc_pl|Verdächtige Orks
trp_spy|Verschlagener Korsar
trp_spy_pl|Verschlagene Korsaren
trp_spy_evil|Verschlagener Südländer
trp_spy_evil_pl|Verschlagene Südlander
trp_spy_partner|Kontaktmann
trp_spy_partner_pl|Kontaktmänner
trp_spy_partner_evil|Kontaktmann
trp_spy_partner_evil_pl|Kontaktmänner
trp_easter_egg_troll|Der Troll
trp_treebeard|Baumbart
trp_ent_1|Bregalad
trp_ent_2|Finglas
trp_ent_3|Fladrif
trp_gandalf|Gandalf
trp_gandalf_pl|Selbstangebaute Gadalfs
trp_nazgul|Nazgul
trp_nazgul_pl|Gezähmte Nazgul
trp_radagast|Radagast
trp_barman|Wirt
trp_elder|Ältester
trp_gear_merchant|Ausrüstungshändler
trp_goods_merchant|Warenhändler
trp_start_quest_caravaneer|Torbal der Karavaner
trp_dorwinion_bandit|Räuber aus Dorwinion
trp_dorwinion_bandit_pl|Räuber aus Dorwinion
trp_dorwinion_raider|Plünderer aus Dorwinion
trp_dorwinion_raider_pl|Plünderer aus Dorwinion
trp_city_guard|Stadtwache
trp_city_guard_pl|Stadtwachen
trp_orc_sentry|Orkwachposten
trp_orc_sentry_pl|Orkwachposten
trp_uruk_hai_sentry|Uruk-Hai-Wachposten
trp_uruk_hai_sentry_pl|Uruk-Hai-Wachposten
trp_black_numenorean_sorcerer|Zauberer der Schwarzen Numenorer
trp_black_numenorean_sorcerer_pl|Zauberer der Schwarzen Numenorer
trp_evil_priest|Böse Priester
trp_evil_priest_pl|Böse Priester
trp_wolf_rider_of_mirkwood|Wolfsreiter aus dem Düsterwald
trp_wolf_rider_of_mirkwood_pl|Wolfsreiter aus dem Düsterwald
trp_warg_rider_of_mirkwood|Wargreiter aus dem Düsterwald
trp_warg_rider_of_mirkwood_pl|Wargreiter aus dem Düsterwald
trp_gate_aggravator|Torverteidigung
trp_orc_pretender|Angeber-Ork
trp_human_prisoner|Gefangener Mensch
trp_spider|Spinne des Düsterwalds
trp_spider_pl|Spinnen des Düsterwalds
trp_bear|Bär
trp_bear_pl|Bären
trp_wolf|Wolf
trp_wolf_pl|Wölfe
trp_dorwinion_sack|Sack aus Dorwinion
trp_ring_hunter_captain|Hauptmann der Ringjäger
trp_ring_hunter_lt|Hauptmann der Ringjäger
trp_ring_hunter_one|Ringjäger
trp_ring_hunter_one_pl|Ringjäger
trp_ring_hunter_two|Ringjäger
trp_ring_hunter_two_pl|Ringjäger
trp_ring_hunter_three|Ringjäger
trp_ring_hunter_three_pl|Ringjäger
trp_ring_hunter_four|Ringjäger
trp_ring_hunter_four_pl|Ringjäger
trp_start_quest_uruk|Urukhauptmann aus Mordor
trp_start_quest_orc|Ork-Truppführer aus Mordor
trp_start_quest_orc_pl|Große Orks aus Mordor
trp_start_quest_woodelf|Königlicher Scharfschütze der Galadhrim
trp_start_quest_woodelf_pl|Königliche Scharfschützen der Galadhrim
trp_start_quest_mordor_scout|Führer aus Mordor
trp_start_quest_mordor_scout_pl|Führer aus Mordor
trp_start_quest_beorning|Berserker vom Carrock
trp_start_quest_beorning_pl|Berserker vom Carrock
trp_i6_beorning_bear_warrior|Bärenkrieger
trp_i6_beorning_bear_warrior_pl|Bärenkrieger
trp_morannon_healer|Okstuk der Heiler
trp_minas_tirith_healer|Ioreth
trp_edoras_healer|Freya die Heilerin
trp_isengard_healer|Nurgal der Flicker
trp_guldur_healer|Mornagar der Schwarzkünstler
trp_gundabad_healer|Lurgakh Dreiauge
trp_mirkwood_healer|Corwiel mit den sanften Händen
trp_hungry_uruk|Hungriger Uruk
trp_hungry_orc|Hungriger Ork
trp_longing_lorien|Sehnsüchtiger Elb
trp_longing_woodelf|Sehnsüchtiger Elb
trp_longing_imladris|Sehnsüchtiger Elb
trp_i5_moria_deep_dweller|Tiefen-Ork von Moria
trp_i5_moria_deep_dweller_pl|Tiefen-Orks von Moria
trp_i5_moria_orc_chieftain|Orkhäuptling von Moria
trp_i5_moria_orc_chieftain_pl|Orkhäuptlinge von Moria
trp_c5_rhovanion_noble|Edelmann aus Rhovanion
trp_c5_rhovanion_noble_pl|Edelmänner aus Rhovanion
trp_npc18|Turmbathu
trp_npc19|Heidrek
trp_npc20|Zigûrphel
trp_werewolf|Werwolf
trp_werewolf_pl|Werwölfe
trp_moria_troll|Höhlentroll
trp_moria_troll_pl|Höhlentrolle
trp_moria_vet_troll|Abgerichteter Höhlentroll
trp_moria_vet_troll_pl|Abgerichtete Höhlentrolle
trp_moria_armored_troll|Gepanzerter Höhlentroll
trp_moria_armored_troll_pl|Gepanzerte Höhlentrolle
trp_gunda_troll|Bergtroll
trp_gunda_troll_pl|Bergtrolle
trp_gunda_vet_troll|Abgerichteter Bergtroll
trp_gunda_vet_troll_pl|Abgerichtete Bergtrolle
trp_gunda_placeholder|Abgerichteter Bergtroll
