
str_yes|Sí.
str_party_greet_friend_woodelf|¡Salve, {amigo/amiga} de los Elfos Silvanos del Bosque Negro!
str_party_greet_enemy_woodelf|¡Todo aquel que entre en el Bosque Negro con malicia jamás saldrá con vida!
str_party_greet_friend_dale|¡Salve, {amigo/amiga} del pueblo de Valle!
str_party_greet_enemy_dale|¡Desenvainad vuestras espadas, somos los Hombres de Valle!
str_party_greet_friend_harad|¡{Bienvenido/Bienvenida}, {amigo/amiga} de los Haradrim!
str_party_greet_enemy_harad|¡Vuestros cadáveres serán enterrados por las arenas del desierto!
str_party_greet_friend_rhun|¡Saludos, amigo de las tribus de los Hombres del Este y de Dorwinion!
str_party_greet_enemy_rhun|¡Los hombres y los enanos no son rivales para nuestra ferocidad!
str_party_greet_friend_khand|¡Jus jívati jyók, {amigo/amiga} de los Variags! Tus cicatrices de guerra te honran.
str_party_greet_enemy_khand|¡Poneos las máscaras de los guerreros, porque hoy encontraréis vuestra muerte!
str_party_greet_friend_umbar|Ni-yôzi zirbîth kiyad, {amigo/amiga} de los Corsarios de Umbar!
str_party_greet_enemy_umbar|¡Si estuviéramos en el mar, os echaría a los tiburones!
str_party_greet_friend_moria|¡Salve a la Mano Blanca!
str_party_greet_enemy_moria|¡Los orcos de Moria os van a rebanar el pescuezo a todos!
str_party_greet_friend_guldur|¡Victoria para el Ojo!
str_party_greet_enemy_guldur|¡Los elfos y sus aliados caerán bajo nuestros aceros!
str_party_greet_friend_gundabad|¡Temed el poder de Angmar!
str_party_greet_enemy_gundabad|¡Caeremos sobre vosotros y nos daremos un festín con vuestras entrañas!
str_party_greet_friend_dunland|¡Salve, {enemigo/enimiga} del pueblo de los caballos!
str_party_greet_enemy_dunland|¡Vuestras casas arderán y vuestras familias serán masacradas!
str_party_greet_friend_beorn|¡Salve, {amigo/amiga} de Beorn!
str_party_greet_enemy_beorn|¡Probaréis la furia del pueblo de los osos!
str_subfaction_gondor_name_begin|Gondor
str_subfaction_gondor_name1|Pelargir
str_subfaction_gondor_name2|Dol Amroth
str_subfaction_gondor_name3|Lamedon
str_subfaction_gondor_name4|Lossarnach
str_subfaction_gondor_name5|Pinnath Gelin
str_subfaction_gondor_name6|Valle de la Raíz Negra
str_subfaction_gondor_name7|Ithilien
str_default_rumor|La Guerra. Todo el mundo está hablando de la guerra.
str_rohan_rumor_begin|¡Me rompe el corazón ver a mis pequeños marchar a la guerra! Pero sin ellos los hombres tendrían que ir a pie.
str_rohan_rumor_2|He oído que los orcos comen caballos. ¡Bestias repugnantes! También se comen a los prisioneros. Eso tampoco está bien, por supuesto.
str_rohan_rumor_3|No existen mejores caballos que los de Rohan. ¡Incluso los elfos obtienen sus caballos de nosotros!
str_rohan_rumor_4|Si puedes curar a los hombres, haz el favor de tratar a mis caballos con el mismo cuidado si llegasen a resultar heridos.
str_rohan_rumor_5|Tráeme ocho caballos de carga, me dice..., después de los siete que me pidió ayer. Da que pensar.
str_rohan_rumor_6|Gondor prefiere caballos más robustos. A nuestros jinetes les encanta la velocidad. Los elfos sólo se llevan los mejores. ¡Y nuestros enemigos los roban!
str_rohan_rumor_7|He visto cruces de yegua del desierto y caballo Variag. Los caballos de Rohan son claramente superiores, pero hay que ser un jinete más experimentado para manejarlos.
str_rohan_rumor_8|Los huargos son más lentos que los caballos pero pueden girar más rápidamente. Además son bastante frágiles comparados con un caballo de guerra de buena crianza.
str_rohan_rumor_9|Los ejércitos marchan sobre Rohan con lanzas y picas para combatir a nuestros valientes jinetes. El traidor Saruman talará el bosque entero de Fangorn para equipar a sus ejércitos antes de que esta guerra haya acabado.
str_rohan_rumor_10|Para ser los mejores jinetes del reino, se empieza por criar a los mejores caballos.
str_rohan_rumor_11|La mayor parte de los caballos que hay en Gondor vinieron de nuestros establos. Ellos prefieren un caballo algo más robusto, y un poco más lento que pueda soportar el peso de un guerrero con armadura pesada.
str_rohan_rumor_12|En Rohan decimos que un caballo es como un hombre. Que si un caballo es bueno es como cuando un hombre es bueno, y si un caballo es malo es como cuando un hombre es malo. Y si un caballo está hambriento es como cuando un hombre está hambriento, y si un caballo está triste es como cuando un hombre está triste. Y si un caballo está contento es como cuando un hombre está contento. Decimos que si un caballo está enfadado es como cuando un hombre está enfadado. Decimos que si un caballo camina es como cuando un hombre camina, que si un caballo es viejo es como cuando un hombre es viejo, y que si un caballo es joven es como cuando un hombre es joven. Y lo mismo decimos que si un caballo es viejo es como cuando un hombre es viejo. Y si un caballo es pequeño, es como cuando un hombre es pequeño.
str_rohan_rumor_13|Los orcos de Saruman son odiosos, pero no llevan apenas armadura. No son rival para un hacha afilada.
str_rohan_rumor_14|Nuestras hachas y lanzas arrojadizas pueden parecer pesadas, pero ¿cuántas oportunidades tienes de arrojar un proyectil al enemigo antes de pasarlo por encima al galope? Aprovecha esa ocasión para arrojar algo contundente.
str_rohan_rumor_15|Acertar a un orco con una flecha mientras cabalgas puede parecer difícil, porque lo es, pero mejor eso que tener que cargar contra una formación de piqueros.
str_rohan_rumor_16|En Gondor se practica el tiro con arco. Nosotros practicamos el tiro con arco a caballo. Los dunlendinos no practican ninguno de los dos.
str_rohan_rumor_17|Muchos de los orcos de Saruman son arqueros temibles. Y muchos no lo son. Un capitán de caballería sabio no debería esperar a descubrir quién es quién.
str_rohan_rumor_18|Aquí todos somos amigos. O tendríamos que serlo; pues si disputamos, nuestra única recompensa sería la risa sarcástica de Mordor.
str_rohan_rumor_19|Durante mucho tiempo hemos cuidado de nuestras bestias y nuestras praderas, y edificamos casas, y forjamos herramientas, y prestamos ayuda en las guerras de Minas Tirith. Y a eso llamábamos la vida de los Hombres, las cosas del mundo.
str_gondor_rumor_begin|Gondor no tiene rey y los enemigos están a sus puertas. La sombre crece en el Este. Las cosas no pintan bien.
str_gondor_rumor_2|En Gondor no existe nada bajo el sol que no fabriquemos, que no construyamos o que no cultivemos en buena cantidad. Pero ¿por cuánto tiempo?
str_gondor_rumor_3|Mordor es una tierra estéril y seca. ¿Qué comen las criaturas que viven allí? Seguro que no se comerán unas a otras, ¿verdad? O quizás sí...
str_gondor_rumor_4|Trabajamos nuestras tierras, como hemos hecho durante generaciones. Nuestro pasado es glorioso y está lleno de hazañas, pero nuestro futuro parece incierto.
str_gondor_rumor_5|Los recursos de la Sombra para la guerra parecen ilimitados, pero se sustentan mediante el trabajo de una gran masa de esclavos.
str_gondor_rumor_6|Sabemos que hay elfos en el norte, pero hoy en día ya nadie los ve.
str_gondor_rumor_7|Quisiera ver el Árbol Blanco de nuevo florecido en las cortes de los reyes, y el retorno de la Corona de Plata, y que Minas Tirith viviera en paz: Minas Anor otra vez como antaño, plena de luz, alta y radiante, hermosa como una reina entre otras reinas.
str_gondor_rumor_8|¿Por qué Umbar nos sigue invadiendo? Los corsarios se beneficiarían mucho más si comerciaran con nosotros. ¿Qué botín se podría comparar a las riquezas que podrían haber obtenido vendiendo antigüedades de Númenor a los nobles de Gondor?
str_gondor_rumor_9|Guerra ha de haber mientras tengamos que defendernos de la maldad de un poder destructor que nos devoraría a todos; pero yo no amo la espada porque tiene filo, ni la flecha porque vuela, ni al guerrero porque ha ganado la gloria. Sólo amo lo que ellos defienden.
str_gondor_rumor_10|Gil-galad era un rey de los Elfos; los trovadores lamentaban la suerte del último reino libre y hermoso entre las montañas y el océano.
str_gondor_rumor_11|¿Dol Guldur? Nunca he oído hablar de eso.
str_gondor_rumor_12|¿Moria? Los enanos tienen minas allí, ¿verdad?
str_gondor_rumor_13|No le digas a nadie que he dicho esto, pero creo que el Príncipe Imrahil debería convertirse en Rey. El Senescal Denethor es un hombre íntegro, pero Gondor se ha debilitado mucho durante su regencia... y no sólo desde que su hijo mayor nos dejó.
str_gondor_rumor_14|La gente dice que los Nueve han vuelto a salir de Minas Morgul. Ojalá tuviéramos más valientes capitanes como Boromir para guiar a nuestros hombres en la batalla contra enemigos tan ancestrales.
str_gondor_rumor_15|Los Sureños nos están expulsando de Harondor. Han estado realizando muchas incursiones contra nosotros durante bastante tiempo. Desearía poder pasear de nuevo por los verdes campos de Lebennin. Pero se nos dice «No», nuestros soldados deben proteger el corazón del reino.
str_gondor_rumor_16|El primo de un amigo es un arquero al servicio de Hirluin el Hermoso. Tienen de lejos los uniformes más bonitos, en mi opinión.
str_gondor_rumor_17|Los que viven en el profundo valle del Morthond están acostumbrados a las tinieblas. He oído que ven bien de noche.
str_gondor_rumor_18|Nosotros, los Hombres de Gondor, decimos siempre la verdad. Nos jactamos rara vez, pero cuando lo hacemos cumplimos o morimos en el intento.
str_dwarf_rumor_begin|Nos suelen preguntar si los enanos tenemos amigos. Por supuesto que tenemos amigos. Pero no nos caen bien.
str_dwarf_rumor_2|¿Orcos? ¡Bah! Grasa para nuestras hachas, eso es lo que son.
str_dwarf_rumor_3|¿Qué es eso que llevas puesto? No parece que te vaya a proteger ni de una picadura de abeja. Y tiene un aspecto ridículo.
str_dwarf_rumor_4|Por supuesto, claro que podemos montar a caballo. ¡Pero no queremos, vaya! ¡Así de claro!
str_dwarf_rumor_5|¡Fuera de aquí! No necesitamos a nadie de tu calaña aquí, ya tenemos suficiente con los orcos.
str_dwarf_rumor_6|¿A quién le estás llamando bajito?
str_dwarf_rumor_7|Deberías ver las cavernas de Cuernavilla. Si tan sólo pudiéramos extraer todas las gemas que hay allí...
str_dwarf_rumor_8|Hace tiempo que no hay noticias de nuestros hermanos en Moria. ¡Seguro que sólo quieren quedarse con todas las riquezas para ellos!
str_dwarf_rumor_9|¿Elfos? ¿Qué nos han dado los elfos? Bueno, las artes de curación, pero ¿aparte de eso? De acuerdo, algunas técnicas de forja, pero ¿algo más? Está bien, luchan contra la Sombra, pero aparte de eso, ¿qué han hecho los elfos por nosotros?
str_dwarf_rumor_10|¡Una jarra de cerveza, un cerdo asado y una muchacha de barba frondosa, y seré un enano feliz!
str_dwarf_rumor_11|... ¡Como dijo mi madre, si no sabe aguantar una broma, que se marche de la mina!
str_dwarf_rumor_12|Nosotros, los Enanos, siempre construimos más de una entrada a nuestras minas. Y eso sin contar las entradas secretas.
str_dwarf_rumor_13|Extraños son los modos y costumbres de los Hombres.
str_dwarf_rumor_14|Incansable era entonces la gente de Durin; bajo las montañas despertaba la música; los arpistas tocaban, cantaban los cantantes, y en la puerta las trompetas sonaban.
str_dwarf_rumor_15|*tararea en voz baja* ¡Matad a los Hombres! ¡Matad a los elfos! ¡Y el oro para nosotros!
str_mordor_rumor_begin|¡Lugbúrz lo ordena!
str_mordor_rumor_2|¡Los Nazgûl derrotarán a los reinos de los hombres!
str_mordor_rumor_3|¡¿Cómo es que no estás trabajando, glob?! ¡El Ojo está vigilándote!
str_mordor_rumor_4|¡Pronto, la oscuridad viene! Durb-burz!
str_mordor_rumor_5|¡Tengo hambre! ¿Dónde hay comida?
str_mordor_rumor_6|¡Nos daremos un festín con la carne de los hombres de la Ciudad Blanca!
str_mordor_rumor_7|¡El Amo entrena Olog-hai para llevarlos a la guerra!
str_mordor_rumor_8|Un huargo me mordió el dedo. ¡Y me duele mucho! ¡Huargos inmundos!
str_mordor_rumor_9|¡Desconfía de Saruman!
str_mordor_rumor_10|¡Los orcos de montaña son débiles! ¡Nosotros somos fuertes! ¡Nos comeremos a los snagas de las otras tribus!
str_mordor_rumor_11|Uruk glob ishi krimp shar-kûk.
str_mordor_rumor_12|Nazgûl ronk ishi gimb olog-hosh sha uruk-bag. ¡Ja, ja, ja!
str_mordor_rumor_13|¡Un snaga me ha robado mi pedazo de carne, pushdug!
str_mordor_rumor_14|Gu kibum kelkum-ishi, burzum-ishi. Akha-gum-ishi ashi gurum.
str_mordor_rumor_15|Isengard uruk-hai u bagronk sha pushdug Saruman-glob bubhosh skai!
str_mordor_rumor_16|Si te insulta, mátalo. Si pelea contigo, mátalo. Si se te queda mirando, mátalo. Si está muerto, cómetelo.
str_mordor_rumor_17|Los Uruk-hai de Saruman dicen que no les molesta el sol. Bûbhosh skai!
str_mordor_rumor_18|Todos muertos, todos putrefactos. Elfos, hombres y orcos. ¡Todos en la Ciénaga de los Muertos!
str_mordor_rumor_19|¡No te interpongas entre el Nazgûl y su presa!
str_mordor_rumor_20|¿Isengardos? ¡Los lacayos de un mago insignificante! Apuesto a que se alimentan de carne de orco.
str_mordor_rumor_21|El Bosque Negro ya está bajo nuestro control, pero los elfos todavía no lo saben.
str_mordor_rumor_22|Afina bien la vista si no quieres ser víctima de una emboscada en Ithilien. Esos malditos capuchas verdes...
str_mordor_rumor_23|Con un látigo, todo es posible.
str_isengard_rumor_begin|¡Sharkû lo ordena!
str_isengard_rumor_2|¡Los palafreneros son comida! Bubjossh!
str_isengard_rumor_3|¡Los palafreneros se llevarán una picante sorpresa con mi pica! ¡Ja, ja, ja!
str_isengard_rumor_4|¡Saruman conoce muchos trucos! ¡Acero fuerte y piedra de fuego!
str_isengard_rumor_5|¡Los Hombres Salvajes apestan! Pero Sharkû es sabio. Sabe como utilizarlos.
str_isengard_rumor_6|¡La chusma de Moria cría a los olog-hai! ¡Grandes! Skai!
str_isengard_rumor_7|¡El Sabio Amo hace fuertes a los Uruk-hai!
str_isengard_rumor_8|¡El huargo es más rápido que el caballo! ¡El huargo se come al caballo!
str_isengard_rumor_9|¡Los Uruk-hai pisotearán a los palafreneros!
str_isengard_rumor_10|¡Machacar! ¡Machacar! ¡Machacar!
str_isengard_rumor_11|Uruk glob ishi krimp shar-kûk.
str_isengard_rumor_12|¡Quemar bosques! ¡Hacer armas! ¡Matar palafreneros!
str_isengard_rumor_13|¡Mantente alejado del berserker antes de que empiece a cortarnos en pedacitos!
str_isengard_rumor_14|Una vez vi a un berserker atravesado por la lanza de un jinete. Agarró la lanza clavada en sus tripas y tiró de ella hasta hacer que el hombre se cayera del caballo.
str_isengard_rumor_15|No me fío de esos sucios orcos de montaña. Los Isengardos ganarán esta guerra, con ellos o sin ellos.
str_isengard_rumor_16|¡Por la Mano Blanca! ¿De qué nos sirve enviar a unos gusanos de las montañas para pelear en nuestro lugar, con apenas entrenamiento? ¡Malditos trasgos y orcos del Norte!
str_isengard_rumor_17|En tu lugar, haría cosquillas a los prisioneros con mi cuchillo. ¡A veces hay que hacer chillar a esas miserables ratas!
str_isengard_rumor_18|Hay una sola cosa que pueden hacer los gusanos y las ratas de Lugbúrz: tienen ojos que penetran como taladros en la oscuridad.
str_isengard_rumor_19|Estamos talando el bosque, pero muchos de los orcos que se adentran en él, nunca vuelven.
str_isengard_rumor_20|Con un látigo, todo es posible.
str_rhun_rumor_begin|¡Cabalgad como el viento de la estepa!
str_rhun_rumor_2|Los Enanos son viles y codiciosos. Y los hombres de Valle les ayudan a engañarnos y a aprovecharse de nosotros.
str_rhun_rumor_3|Tres magos vinieron a nuestras tierras hace tiempo. Me pregunto en que andarán metidos.
str_rhun_rumor_4|Nuestras tierras son extensas y escasamente pobladas. Pero sabemos cómo sobrevivir allí.
str_rhun_rumor_5|Antes solíamos comerciar con los elfos y con los enanos, trayendo vino y hierba para pipa de las tierras fértiles. ¡Pero nos mentían y engañaban!
str_rhun_rumor_6|Nuestros primos de Khand prefieren luchar a pie, pero nosotros sabemos que luchar a caballo es mejor.
str_rhun_rumor_7|Hemos derrotado a las legiones de Gondor en el pasado, ¡y lo volveremos a hacer!
str_rhun_rumor_8|¡Lucharemos hasta la muerte! ¡No habrá retirada, nunca volveremos la espalda para huir! ¡Ni un paso atrás!
str_rhun_rumor_9|Un amanecer rojo se levanta en el este. ¡Un crepúsculo rojo espera al oeste!
str_rhun_rumor_10|¿Mujeres elfas? No. ¡Demasiado frágiles!
str_rhun_rumor_11|Cada uno de mis hijos me ha traído ya la cabeza de un enemigo. Y mi hija me trajo los testículos de otro. ¡Ja, ja, ja!
str_rhun_rumor_12|Los orcos son criaturas asquerosas sin coraje ni destreza. No hay lugar para ellos en el campo de batalla.
str_rhun_rumor_13|¿Qué es lo mejor de la vida? Aplastar enemigos, verles destrozados, y oir el lamento de sus mujeres.
str_dunland_rumor_begin|¡No descansaremos hasta que nos hayamos vengado y esos Cabeza-de-Paja caigan de rodillas!
str_dunland_rumor_2|¡Esos bastardos Rohirrim son muy cariñosos con sus caballos por la noche! ¡Ja, ja, ja!
str_dunland_rumor_3|Los Lobos Nocturnos pueden ver en la oscuridad. Incluso de noche, sus jabalinas nunca erran el blanco.
str_dunland_rumor_4|¡Muerte para los Forgoil! ¡Muerte para los Cabeza-de-Paja! ¡Muerte para los ladrones del Norte!
str_dunland_rumor_5|Ahora lo llaman Rohan, pero ¡es nuestra tierra ancestral! Vengaremos a nuestros antepasados y expulsaremos a esos sucios ladrones de tierras.
str_dunland_rumor_6|¡No dejes que los Forgoil te cojan, o te torturarán y te quemarán {vivo/viva}!
str_dunland_rumor_7|¡Tenemos la sed de sangre de un lobo y la fuerza de un jabalí!
str_dunland_rumor_8|Los Forgoil creen que somos salvajes y estúpidos. Ya veremos si opinan lo mismo el día que sus jinetes se enfrenten a nuestros piqueros.
str_dunland_rumor_9|Los cuervos de Isengard se comerán los ojos de los Cabeza-de-Paja, los lobos de las Tierras Brunas morderán sus gargantas.
str_dunland_rumor_10|Una vez capturé y maté un lobo con mis manos desnudas. ¡Puedo romper el cuello de un palafrenero como si fuera una ramita! ¡Grrr!
str_dunland_rumor_11|Nuestro jefe encontró una vieja espada de bronce en un túmulo. La dobló y la tiró a la ciénaga. Sin duda, los espíritus de las colinas estarán de nuestra parte. Es un antiguo ritual.
str_dunland_rumor_12|Mis antepasados lucharon con Freca y más tarde con Wulf contra los malditos Forgoil. Aún recordamos su coraje.
str_beorn_rumor_begin|El bosque es muy extenso y todo tipo de criaturas viven en él.
str_beorn_rumor_2|¡Las abejas silvestres hacen la mejor miel!
str_beorn_rumor_3|Los elfos de los bosques son esquivos, pero amables. Los Enanos de las montañas son alegres y ruidosos. Los hombres de Valle son trabajadores.
str_beorn_rumor_4|A menudo vemos muchas criaturas extrañas por nuestras tierras.
str_beorn_rumor_5|¡Duermo toda la noche y trabajo todo el día!
str_beorn_rumor_6|La maldad se aproxima desde allá en las montañas.
str_beorn_rumor_7|¡El gran bosque ya no es lo que era!
str_beorn_rumor_8|La fuerza del hacha no se encuentra en el filo sino en el mango.
str_beorn_rumor_9|Dormimos durante todo el invierno pasado. ¿Qué? Sí, tienes que comer mucho en el otoño para poder aguantar durante todo el invierno.
str_beorn_rumor_10|¡Los hombres de Rohan son parientes nuestros, los osos comparten nuestra misma sangre, los trasgos son nuestra presa!
str_beorn_rumor_11|¿Convertirnos en osos? Por supuesto que no podemos hacerlo. ¿Quién te ha contado eso? ¡Ja, ja, ja!
str_beorn_rumor_12|Beorn fue un gran hombre. No, un hombre no, ¡un gigante!
str_beorn_rumor_13|Los mejores y más osados guerreros del bosque no temen a las sombras de la floresta. Pueden luchar en la oscuridad tan bien como los orcos y otras inmundicias que acechan en el bosque.
str_beorn_rumor_14|¡No deambules {solo/sola} por las montañas! Osos y lobos se mantienen alejados de los grupos grandes. Pero el hambre, o, como algunos dicen, los espíritus sombríos, pueden llevarlos a acercarse lo bastante como para atacarte.
str_lorien_rumor_begin|Oh Lórien. Llega el invierno, el día desnudo y deshojado; las hojas caen en el agua, el Río fluye alejándose.
str_lorien_rumor_2|¡No hables mal de la Dama Galadriel! En ella y en esta tierra no hay ningún mal, a no ser que un hombre lo traiga aquí él mismo. Y entonces ¡que él se cuide!
str_lorien_rumor_3|Es cierto que el mundo está colmado de peligros, y que hay en él muchos sitios lóbregos, pero hay también muchas cosas hermosas, y aunque en todas partes el amor está unido hoy a la aflicción, no por eso es menos poderoso.
str_lorien_rumor_4|El bien y el mal no cambia; ni varía mucho entre elfos y enanos u Hombres. Es el deber de un hombre saber distinguirlos, tanto en el Bosque Dorado como en su propia casa.
str_lorien_rumor_5|¡A menudo el odio se vuelve contra sí mismo!
str_lorien_rumor_6|Una magia antigua protege Lothlórien, y es tan poderosa que la Oscuridad no se atreve todavía a hacerle frente.
str_lorien_rumor_7|Nathlo i nathal! Estás a salvo en el Bosque Dorado. Posto vae. Descansa ahora, come y bebe. Si tienes que marcharte, entonces lleva contigo el recuerdo de Lórien tal y como fue una vez.
str_lorien_rumor_8|Se dice que tarde o temprano el mar nos llama a todos. Yo también oiré el sonido de las gaviotas algún día, y dejaré las tierras de Laurelindórenan para siempre. I Harthon an lend and.
str_lorien_rumor_9|Av-'osto, ¡no temas! Nos protege del enemigo algo más que nuestras capas grises.
str_imladris_rumor_begin|Que la dicha de elfos, Hombres y toda la Gente Libre te acompañe.
str_imladris_rumor_2|¡Que las estrellas te iluminen!
str_imladris_rumor_3|Aquel que quiebra algo para averiguar qué es, ha abandonado el camino de la sabiduría.
str_imladris_rumor_4|Hemos de elegir un camino difícil, un camino imprevisto. Ésa es nuestra esperanza, si hay esperanza.
str_imladris_rumor_5|Sólo desesperan aquellos que ven el fin más allá de toda duda. Nosotros no.
str_imladris_rumor_6|Incluso después del invierno más frío, las flores vuelven a florecer. Y después de la noche más larga, viene un nuevo amanecer.
str_imladris_rumor_7|Muchos tomaron parte la última vez que fui a la guerra. El brillo de nuestras espadas se asemejaba a un fuego atravesando un campo de juncos. Muy pocos han partido de Imladris esta vez.
str_imladris_rumor_8|Áva rucë! Los Eldar han tomado las armas para luchar contra el enemigo al lado de los valientes Edain de nuevo. Quizás por última vez, ¿quién sabe? Nuestros cantos hablan de guerra, de fuego y del final de la Noche.
str_imladris_rumor_9|Veo a los Hombres del Este cabalgar bajo el estandarte del Señor Oscuro y parece como si estuviera viendo a sus antepasados de nuevo. Oleadas de jinetes estrellándose sobre el brillante muro de escudos de la Última Alianza. Si tan sólo la memoria de los Edain fuera tan larga como la nuestra.
str_woodelf_rumor_begin|Había en otro tiempo una doncella élfica / una estrella que brillaba en el día, / de manto blanco recamado en oro / y zapatos de plata gris.
str_woodelf_rumor_2|El tiempo nunca se detiene del todo, pero los cambios y el crecimiento no son siempre iguales para todas las cosas y en todos los sitios. Para los Elfos el mundo se mueve, y es a la vez muy rápido y muy lento. Rápido, porque los Elfos mismos cambian poco, y todo lo demás parece fugaz; lo que les causa una gran pena. Lento, porque no cuentan los años que pasan, no en relación con ellos mismos.
str_woodelf_rumor_3|La oscuridad y la maldad acechan en estos bosques antaño bellos. A no ser que sean derrotadas, acabarán con toda esperanza, con toda la luz.
str_woodelf_rumor_4|Ágiles y rápidos, silenciosos y precisos, aún podemos mantener a raya a la Oscuridad. Pero ¿por cuánto tiempo más?
str_woodelf_rumor_5|¡Chist! No dhínen! Puede haber orcos acechando. ¡Debemos estar en guardia!
str_woodelf_rumor_6|*te mira fijamente, obviamente le molesta tu presencia*
str_woodelf_rumor_7|¿Oduleg hi am man theled? Necesitamos saber qué vienes a hacer aquí. El Hechicero tiene espías por todas partes.
str_woodelf_rumor_8|¡Los Edain de Valle fabrican juguetes muy complejos hoy en día! Han aprendido mucho de los Naugrim.
str_woodelf_rumor_9|La sombra de Dol Guldur se está extendiendo. Criaturas oscuras han sido vistas en los bosques, nuestras avanzadas han sido atacadas, nuestros cazadores desaparecen y no se los vuelve a ver. ¡Nuestras patrullas ahora son de un mínimo de 35 soldados, hasta ese punto ha crecido nuestro temor!
str_dale_rumor_begin|Primero el dragón, y ahora esto...
str_dale_rumor_2|¡Como si no tuviéramos suficiente con los orcos procedentes del Norte, ahora nos atacan las hordas del Este!
str_dale_rumor_3|Desde que acabamos con el dragón, hemos aprendido a buscar el punto débil del enemigo.
str_dale_rumor_4|Los Hombres del Este nunca atravesarán nuestras líneas y las de nuestros aliados enanos.
str_dale_rumor_5|¿Has visto alguna vez alzarse el sol sobre el Lago Largo? Los colores hacían que el corazón me saltara de alegría. Pero ahora todo lo que veo es un amanecer rojo. Es un mal presagio.
str_dale_rumor_6|Los Enanos se encariñan demasiado con sus tesoros. Todavía no sabemos qué pensar sobre Thorin Escudo de Roble.
str_dale_rumor_7|Los hombres de Rohan son nuestros primos y nuestra propia lengua es muy similar a la suya.
str_dale_rumor_8|Esgaroth obtuvo su nombre de la palabra élfica para los juncos, por sus orillas cubiertas de juncos. ¿Lo sabías?
str_dale_rumor_9|Nadie quiere volver a ver un dragón por esta zona, bastante daño han causado ya esos monstruos.
str_dale_rumor_10|Nuestra prosperidad se debe al comercio con enanos y elfos. Pero es difícil negociar con los primeros; mucho regateo y poco beneficio.
str_harad_rumor_begin|La Serpiente Negra golpeará rápida y letal.
str_harad_rumor_2|¡Por la Serpiente! Nuestros caballos pisotearán a los soldados de Gondor.
str_harad_rumor_3|Odum vermajál otí verthaba av daranaja-e-jatánus!
str_harad_rumor_4|Hay mucho oro y muchas gemas en Gondor. Y todavía más en las tierras que yacen más allá.
str_harad_rumor_5|Capturaremos a muchos de esos débiles occidentales y los sacrificaremos al Dios Serpiente.
str_harad_rumor_6|Los Corsarios son muy útiles, saben navegar bien, aunque son pendencieros y desaliñados y de carácter taimado.
str_harad_rumor_7|Las panteras de la Lejana Harad cazan a sus presas bajo el manto de la noche. Nuestros enemigos no nos verán venir.
str_harad_rumor_8|Los guerreros de Khand son fieros y valientes, pero en la batalla son demasiado predecibles.
str_harad_rumor_9|Cuento con que obtengamos un buen botín cuando conquistemos el Oeste. Así nos lo prometieron. Así podré regresar a casa y llevar mi tienda de alfombras en paz.
str_harad_rumor_10|Mantente {alejado/alejada} de los Mumakil. Son bestias malhumoradas y te aplastarán si te descuidas.
str_harad_rumor_11|En Harad tenemos desiertos y junglas, montañas y mar. Nuestra gente es tan diversa como nuestras tierras y tan numerosa como los granos de arena.
str_harad_rumor_12|Muchos caballeros de Harondor prefieren sables en vez de espadas rectas. Son bastante buenos para despedazar campesinos que huyen, pero necesitas una buena lanza o una espada bien afilada para atravesar una armadura robusta.
str_harad_rumor_13|Mi hermano de sangre se unió a los Karka, ahora es un explorador. Los Jinetes de «El Colmillo» tienen una vida llena de peligros, pero es una gran experiencia para los jóvenes impetuosos.
str_harad_rumor_14|¡Jamás empieces una pelea contra la hermandad del León! Su reputación es bien merecida.
str_harad_rumor_15|Ojalá tuviéramos más armas hechas de negro hierro. Muchos todavía tienen que apañárselas con bronce, algunos incluso con garrotes de madera y jabalinas de cristal negro, y marchando a la batalla desnudos.
str_gunda_rumor_begin|¡Venimos a arrebatarles las tierras cálidas a los hombres!
str_gunda_rumor_2|Sharkû nos prometió cuevas cálidas.
str_gunda_rumor_3|¡Basta ya de esconderse en las frías montañas! Ahora marchamos a las cálidas tierras de los hombres.
str_gunda_rumor_4|Una vez vimos a un escurridizo ser merodeando en nuestros túneles de la montaña, pero nunca pudimos capturarlo. Simplemente desaparecía cuando nos acercábamos a él.
str_gunda_rumor_5|Los Isengardos creen que son especiales sólo porque el Viejo los está equipando para la guerra.
str_gunda_rumor_6|Incendiaremos las aldeas de los hombres para mantenernos calientes.
str_gunda_rumor_7|Los hombrecillos sentirán el frío helado que les llevaremos. Y después el fuego. ¡Ja, ja, ja!
str_gunda_rumor_8|La última vez, Azog y Bolgo casi derrotaron a enanos, elfos y hombres. Pero los monstruos con plumas y los Hombres-oso los salvaron. *escupe*
str_gunda_rumor_9|La carne de Enano es dura y fibrosa. La carne de Hombre es mejor.
str_gunda_rumor_10|Los Hombres-oso vinieron de los bosques y se comieron a Boldush. ¡Mala suerte para Boldush! ¡Ja, ja, ja!
str_gunda_rumor_11|Algunos se fueron a Moria, hay mucho espacio allí. Pero allí también vive Ghâsh, en lo profundo. ¡Mejor mantenerse lejos!
str_moria_rumor_begin|Cuando oigas los tambores, ¡corre a esconderte!
str_moria_rumor_2|¡Ghâsh vive en lo profundo! 
str_moria_rumor_3|¡Muerte! ¡Muerte! ¡Muerte! Tambores en los abismos.
str_moria_rumor_4|Moria es grande, pero aquí ya no se esconde ningún enano.
str_moria_rumor_5|Los enanos cavaron demasiado hondo. Mejor para nosotros. ¡Ja, ja, ja!
