qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_A_thunderstorm_from_t|Una tormenta procedente de las Montañas Nubladas se desata sobre el campo de batalla. Los arqueros encuentran difícil disparar con este mal tiempo.
qstr_A_poisonous_fog_from|Una niebla venenosa procedente de Dol Guldur flota en el campo de batalla. Tus tropas y tú os sentís debilitados. Hay miedo entre los soldados.
qstr_A_poisonous_fog_from_|Una niebla venenosa procedente de Dol Guldur flota en el campo de batalla.  Tú no notas ninguna diferencia, pero puedes oír el sufrimiento de tus enemigos y oler su miedo.
qstr_{s2}_attacked|{s2} ha atacado
qstr_You_shapeshift_into_|¡Te has convertido en oso!
qstr_You_got_{reg1}_exper|Ganas %d puntos de experiencia al convertirte en oso.
qstr_Your_ability_to_chan|Has conseguido despertar tu habilidad innata como cambiapieles, a partir de ahora podrás recorrer los caminos salvajes como hombre y como oso.
qstr_You_change_back_to_h|Vuelves a tu forma humana...
qstr_Refill_Ammunition|Reponer munición
qstr_Your_mount_stumbles!|¡Tu montura trastabilla! Parece haber quedado coja...
qstr_Bitten_by_your_own_w|¡Tu propio huargo te ha mordido!
qstr_You_weigh_too_much_f|¡Pesas demasiado para montar un poney!
qstr_Your_mount_rears_ref|¡Tu montura se encabrita, negándose a obedecer tus órdenes!
qstr_Cannot_Change_Camera|No puedes cambiar el modo de cámara si estás en primera persona.
qstr_Switch_Back_to_3rd_P|Vuelve a la vista en 3ª persona para cambiar la cámara.
qstr_Fixed_Custom_Camera|Cámara personalizada fija
qstr_Press_Ctrl_+_Left_/_|Pulsa Ctrl + flecha Izq. / Ctrl + flecha Der. para cambiar la cámara de hombro
qstr_Press_Ctrl_+_Down_to|Pulsa Ctrl + Abajo para centrar
qstr_Press_Ctrl_and_+/__t|Mantén pulsado Ctrl con +/- para ampliar o reducir el campo de visión
qstr_Press_Ctrl_and_Up/Do|Mantén pulsado Ctrl con Flecha arriba/abajo para inclinar la cámara adelante/atrás
qstr_Fixed_Camera___Right|Cámara: hombro derecho
qstr_Fixed_Camera___Left_|Cámara fija: hombro izquierdo
qstr_Fixed_Camera___Cente|Cámara fija - Centrada
qstr_Shield_is_too_big_to|El escudo es demasiado grande como para usarlo con un arco.
; qstr_{s7}_waves_at_you.|{s7} waves at you.
qstr_You_happen_upon_an_O|Te encuentras ante una vieja hostería. Mientras inspeccionas el desgastado edificio de piedra, reparas en un grupo de muchachos jugando entre las columnas, los únicos niños que has visto en  Minas Tirith.  Uno de ellos te saluda y tú le devuelves el gesto. Tu corazón se llena de alegría y olvidas, por un breve instante, los pesares de la guerra.
qstr_You_look_through_Hen|Miras a través de la cortina de agua de Henneth Annûn, la Ventana del Sol Poniente. La hermosa vista restaura tu fe en el Oeste y enlos Poderes de más allá.
qstr_As_you_follow_the_st|A medida que subes por la recta escalera tallada en la roca de la montaña, y después por otra, más sinuosa, que se aferra a la pared del acantilado, te das cuenta de que no deberías seguir adelante por este camino, si es que aprecias tu vida.
qstr_You_are_unable_to_en|Eres incapaz de soportar los horrores de la Ciudad Muerta.
qstr_You_endure_the_horro|Logras sobreponerte a los horrores de la Ciudad Muerta y explorar sus círculos interiores. Los Centinelas Silenciosos reconocen tu osadía y no se oponen a tu voluntad (ganas 1 punto de Carisma).
qstr_You_are_unable_to_end|Eres incapaz de soportar los horrores del templo.
qstr_You_endure_the_horror|Te sobrepones al horror de los atroces rituales perpetrados en este lugar sagrado. Las crueles gentes de Rhun reconocen la fortaleza que has demostrado y algunos de sus más formidables guerreros deciden unirse a tu compañía.
qstr_You_find_yourself_in|Te encuentras en una profunda caverna. Los pelos de tu nuca se erizan mientras miras a tu alrededor, y empiezas a notar una extraña sensación de peligro. Este no es lugar para ti. Te retiras cautelosamente, gruñendo. Cuando la Sombra haya cubierto el mundo de arriba, entonces tal vez puedas regresar aquí sin temor...
qstr_You_find_yourself_in_|Te encuentras en una profunda caverna. Los pelos de tu nuca se erizan mientras miras a tu alrededor, y empiezas a notar una extraña sensación de peligro. Alzando tu arma, lanzas un desafío a cualquier enemigo invisible que habite este paraje. Puede que antaño este fuera un lugar lleno de maravillas..., pero ahora, con el poder que has obtenido, te das cuenta de que no tienes nada que temer del pasado olvidado de un mundo en ruinas.
qstr_With_trepidation_you|Con vacilación, te asomas al pilón de plata. El agua te muestra visiones horribles; sangre y terror y dolor. Retrocedes instintivamente..., pero entonces las visiones se desvanecen y en su lugar ves un despejado cielo nocturno, con lo que parece ser un barco de plata flotando a través del firmamento. Una sensación de calma se apodera de ti. Aún hay esperanza.
qstr_The_Lady_s_garden_li|El jardín de la Dama es un remanso de paz bajo la brillante luz del día. No notas nada fuera de lo normal...
qstr_You_kneel_to_pay_you|Te arrodillas para presentar tus respetos a los soberanos caídos de este hermoso reino. A tu lado, una doncella guerrera de Rohan entona un cántico. «Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan!». Tu corazón se estremece al oír sus palabras.
qstr_You_wonder_about_the|Te preguntas qué serán esas dos filas de túmulos en frente de las puertas, pero como simple {s24} que eres, no comprendes su significado.
qstr_Halt!_You_are_not_al|¡Alto! ¡No tienes permiso para entrar aquí!
qstr_Halt!_You_are_not_all|¡Alto! ¡No puedes entrar aquí sin el permiso de la Dama!
qstr_While_visiting_towns|Mientras visitas los diferentes asentamientos, ciudades y campamentos, puedes hablar con la gente que veas deambulando por sus calles. Los miembros de las diferentes facciones tendrán cosas diferentes que decir: algunos compartirán sus pensamientos, otros compartirán rumores. En ambos casos, estos comentarios pueden ayudarte a comprender mejor la cultura y la facción  del personaje, o pueden contener pistas para encontrar lugares secretos, o trucos y consejos para viajar por las tierras salvajes y  y luchar en la Guerra del Anillo.
qstr_Cannot_leave_now.|No puedes abandonar ahora.
qstr_You_have_found_the_l|Has encontrado al herrero local...
qstr_You_have_found_the_lo|Has encontrado a la autoridad local...
qstr_You_have_found_the_loc|Has encontrado el almacén local...
qstr_You_have_found_the_c|Has encontrado al capitán de la guarnición.
qstr__cancelled_the_{reg1|(cancelados los {reg10} pts. de exp. ganados por matar prisioneros)
qstr_Forming_ranks.|Formando filas.
qstr_{reg2?You:Your_mount|¡{reg2?Recibes:Tu montura recibe} {reg1} de daño extra!
qstr_{reg2?You_strike:You|{reg2?Tu golpe causa:Tu montura carga causando} {reg1} de daño extra!
qstr_Division_Placement|Colocación de divisiones
qstr_Complex_Formations|Formaciones complejas
qstr_Formations_turned_OF|Formaciones descativadas en el menú de opciones
qstr_Division_{reg1}_{s2}_g|División {reg1} {s2} va a su posición memorizada...
qstr_Division_{reg1}_{s2}_f|División {reg1} {s2} forma línea (memorizada).
qstr_Division_{reg1}_{s2}_fo|División {reg1} {s2} forma {reg0} líneas (memorizada).
qstr_Delivered_{reg60}_da|Haces {reg60} puntos de daño.
qstr_DEBUG__Health_Regen_|DEBUG (Regen. Salud): {s1} recupera {reg0}% de salud.  = +{reg1}% FUE
qstr_Your_bear_form_has_{|¡Al convertirte en oso tienes {reg2}/{reg1} puntos de salud!
qstr_Three_Nazgul_are_cir|¡Tres Nazgûl vuelan en círculos sobre el campo de batalla!
qstr_Two_Nazgul_are_circl|¡Dos Nazgûl vuelan en círculos sobre el campo de batalla!
qstr_A_Nazgul_is_circling|¡Un Nazgûl vuela en círculos sobre el campo de batalla!
qstr_Some_of_your_human_t|A algunas de tus tropas no les amilana la oscuridad. (Las Tropas Nocturnas no sufren penalizaciones por luchar de noche)
qstr_You_are_filled_with_|Una furia desbordante te inunda cuando pones tus ojos sobre el enemigo (virtud Berserk activada).
qstr_Your_mount_is_scared|¡Tu montura esta asustada del {s5}!
qstr_Your_mount_is_scared_|¡Tu montura esta asustada del {s5}, pero puedes calmarla!
qstr_Nazgul_sweep!|¡El Nazgûl ataca!
qstr_You_and_your_horse_p|Tú y tu caballo entraís en pánico, ¡el grito del Nazgûl es insoportable!
qstr_Your_horse_panics_th|Tu caballo entra en pánico, ¡el grito del Nazgûl es insoportable!
qstr_You_cower_in_terror_|El terror te paraliza y solo piensans en esconderte, ¡el grito del Nazgûl es insoportable!
qstr_knocked_unconscious|inconsciente
qstr_Nazgul_diving_attack|¡Nazgûl ataca en picado a {s11}!
qstr_{s11}_is_{s10}_in_th|¡{s11} cae {s10} en el ataque del Nazgûl!
qstr_Received_{reg66}_dam|Recibes {reg66} de daño.
qstr_You_yell_for_your_ho|Llamas a tu caballo.
qstr_You_do_not_need_to_r|Aún no necesitas arengar a tus tropas.
qstr_You_rally_{reg10}_tr|¡Arengas a {reg10} tropas!
qstr_{s5}_rallies_{reg65?|¡{s5} arenga a {reg65?sus:sus} tropas!
qstr_You_have_killed_{reg|¡Has matado {reg1} enemigos en esta batalla!
qstr_Your_bravery_inspire|¡Tu valentía inspira a tus tropas!
qstr_Your_mount_has_falle|¡Tu montura se ha desplomado contigo encima!
qstr_Receive_{reg22}_dama|Recibes {reg0} de daño.
qstr_You_have_been_knocke|{s22} te ha dejado inconsciente.
qstr_{s21}_has_been_knock|{s21} ha salido {reg23?despedida:despedido} de su montura cuando ésta ha caído.
qstr_{s21}_{reg24?killed:|{s22} {reg24?ha matado:ha dejado inconsciente} a {s21}.
qstr_A_bear_has_been_summ|¡Un oso ha sido convocado a la batalla!
qstr_In_The_Last_Days_of_|En The Last Days of the Third Age, tus tropas se posicionarán por si mismas al comienzo de cada batalla y mantendrán la posición, en vez de cargar ciegamente.^^Para colocar a tus tropas en formación, pulsa 'J' para Filas, 'K' para Muro de Escudos, 'L' para Cuña, ';' para Cuadro. Para deshacer la formación, pulsa 'U'. ^Si tus tropas están huyendo, puedes pulsar 'V' para arengarlas y hacer que se reagrupen. Solo tienes un número limitado de arengas en cada batalla, que depende de tu liderazgo y carisma.
qstr_You_can_also_order_y|También puedes ordenar a tus tropas que cambien el tipo de arma que quieres que usen.^^ Pulsa O para cambiar entre las distintas Órdenes de Armas. Pulsa P para cambiar entre las distintas Órdenes de Escudos.
qstr_The_Last_Days_of_the|The Last Days of the Third Age tiene una cámara personalizada para suplir las limitaciones de la cámara original con las razas de menor estatura (orcos y enanos).^^Puedes ver a la página de Conceptos para más información sobre cómo controlar los distintos modos de la cámara.
qstr_Battlefield_is_too_s|El campo de batalla es demasiado pequeño para usar formaciones complejas.
qstr_You_have_a_clear_per|¡Percibes clarmamente un gran peligro inminente a tu alrededor!
qstr_New_ent_reached_batt|Un Ent ha llegado al campo de batalla...
qstr_You_receive_word_tha|Te llegan noticias del ataque a aldeas beórnidas. La facción de los beórnidas pierde fuerza.
qstr_You_receive_word_that|Te llegan noticias de que los Caza-anillos han sido vistos de camino a Mordor, acarreando un cofre. La facción de Mordor gana fuerza.
qstr_Enemy_reinforcements|Han llegado refuerzos enemigos
qstr_Yarrrr!!|¡¡Yarrrr!!
qstr_Get_all_of_them!|¡Que no escape ninguno!
qstr_Kill_them_all!|¡Matadlos a todos!
qstr_Toss_them_overboard!|¡Echadlos por la borda!
qstr_It_is_a_good_day_to_|¡Es un buen día para morir!
qstr_All_hands_on_deck!_T|¡Todos a cubierta! ¡Rechazad el abordaje!
qstr_Ally_reinforcements_|Todos los refuerzos han llegado
qstr_Forward_men!|¡Adelante, mis vlaientes!
qstr_Leave_none_of_these_|¡Que no quede ni uno en pie!
qstr_End_them_all!|¡Acabad con todos!
qstr_Drive_them_back!|¡Rechazad su avance!
qstr_Protect_the_City!|¡Proteged la Ciudad!
qstr_Forward!_Board_them!|¡Adelante! ¡Al abordaje!
qstr_The_Last_Days_of_the_|«The Last Days of the Third Age» tiene una inteligencia artificial de asedio avanzada muy distinta a la del juego base («Native»). Todos los asediantes y defensores se organizarán en sus respectivos flancos derechos, centrales e izquierdos. Por lo que los jugadores que encabecen el asedio solo tomarán el control de una cantidad limitada de sus propias tropas.
qstr_on_the_left_flank|en el flanco izquierdo
qstr_on_the_right_flank|en el flanco derecho
qstr_through_the_center|por el centro
qstr_Attackers_charge_{s2|Los atacantes cargan {s2}
qstr_Attackers_charge_{s1|Los atacantes cargan {s1}
qstr_{s1}_rallied_to_your|{s1} se reagrupa a tu lado por tu Carisma.
qstr_Last_attacker_wave._|Última oleada de atacantes. ¿Quieres retirarte?
qstr_Attackers_almost_def|Los atacantes están casi derrotados. ¿Quieres retirarte?
qstr_The_remaining_attack|¡Los últimos atacantes se dispersan!
qstr_The_remaining_defend|¡Los últimos defensores escapan del asedio!
qstr_Reached_Gauntlet_wav|¡Nueva oleada de refuerzos {reg1}!
qstr_Ballista:_out_of_amm|Balista: ¡Sin munición!
qstr_Ballista:_turn_CURSO|Balista: Girar con CURSOR, Apuntar con MAYÚS, Disparar con ESPACIO, Elegir proyectil con T, Salir con F
qstr_Ballista:_out_of_ammo|Balista: ¡Sin munición!
qstr_The_ladders_on_Deepi|¡Escalas en el Muro del Bajo! ¡Cuidado!
qstr_THREE.._TWO..._ONE..|TRES... DOS... UNO... ¡LUCHAD!
qstr_You_have_come_upon_t|Has llegado a las ruinas del Amon Hen, la Colina de la Vista, una antigua torre de vigilancia de Gondor, en cuya cime s ehaya el Sitial de la Vista.^^Tienes la sensación de que este lugar estuvo una vez lleno de grandeza, pero fue olvidado hace mucho tiempo.
qstr_You_have_come_upon_th|Has llegado a las Ciénagas de los Muertos, el escenario de la batalla de Dagorlad durante la Guerra de la Última Alianza.^^Las tierras pantanosas han engullido lo que una vez fue una llanura cubierta de hierba, y ahora el único verdor es el de la espuma lívida de las algas en la superficie oscura y viscosa del agua sombría.^^Hierbas muertas y cañas putrefactas asoman entre las neblinas como las sombras andrajosas de unos estíos olvidados, y entre los fuegos fatuos, yacen los rostros muertos de Hombres, elfos y orcos, en lo más profundo de las aguas turbias.^^El aire es frío y húmedo, y no puedes evitar un escalofrío al ver las luces que brillan en los ojos de un elfo muerto justo bajo la superficie del agua.
qstr_You_have_entered_the|Has entrado en la espesura del sur del Bosque Negro, que una vez fue conocido como el Gran Bosque Verde.^^La fortaleza de Dol Guldur está cerca y proyecta una sombra tenebrosa sobre el bosque. Los árboles de esta zona parecen enfermos y podridos. Los viejos robles están cubiertos de moho y hongos, y grandes telarañas enredadas se extienden entre los troncos.^^ El aire parece eternamente inmóvil, sofocante y sombrío, y te da la sensación de que te estás asfixiando lentamente.
qstr_You_have_found_the_D|Has encontrado el Almacén Enano donde podrían estar las Lanzas Legendarias. Informa de tus pesquisas a {s3}
qstr_Leave_the_Warehouse?|¿Quieres abandonar el almacén?
qstr_Leave_the_place_in_s|¿Abandonar el lugar en silencio?
qstr_Leave_scene?|¿Dejar la escena?
qstr_Trace_back_your_step|¿Volver sobre tus pasos de vuelta al exterior?
qstr_There_is_no_way_out!|¡No hay salida! ¿Entregarse a los orcos?
qstr_Stealth_mini_game_tu|Tutorial del minijuego de sigilo: Hay dos niveles de alarma. El Nivel 1 se activa si un guardia ve un cadáver o si te ve. El Nivel 2 se activa si los guardias te ven cuando el nivel uno ya está activado. El nivel dos es más peligroso porque los guardias continuarán llegando. Puedes evitar que te vean ocultando tu posición. Para ocultarte muévete detrás de los objetos que proporcionan cobertura.
qstr_You_are_now_hidden.|Ahora te has ocultado.
qstr_You_move_out_of_hidi|Sales fuera de tu escondite.
qstr_The_guards_have_spot|¡Los guardias han encontrado un cuerpo!
qstr_Alarm_Level_is_now_a|¡Nivel de alarma ahora en 1!
qstr_You_have_been_too_sl|Has tardado demasiado: el grito de alarma se ha extendido y el hechicero se ha escapado antes de que pudieras acercarte.
qstr_Alarm_Level_is_now_at|¡Nivel de alarma ahora en 0!
qstr_The_guards_have_spott|¡Los guardias te han visto!
qstr_Alarm_Level_is_now_at_|¡Nivel de alarma ahora en 2!
qstr_Enemy_reinforcements_|Han llegado refuerzos enemigos.
qstr_Venture_deeper_into_|Adéntrate en la espesura y encuentra un camino a seguir.
qstr_The_sorcerer_has_fle|¡El hechicero ha huido!
qstr_Report_this_ill_news|Informa de las malas nuevas a la Dama Galadriel.
qstr_The_sorcerer_is_flee|¡El hechicero está huyendo! ¡Mátalo!
qstr_The_sorcerer_has_joi|¡El hechicero se ha unido al combate! ¡Mátalo!
qstr_The_sorcerer_is_dead|¡El hechicero ha muerto!
qstr_The_battle_is_won!|¡Has ganado la batalla!
qstr_A_band_of_tribal_orc|¡Ha aparecido una banda de orcos tribales
qstr_Gaaaar!!_We_wants_th|¡¡Gaaaar!! ¡Queremos esa carne humana!
qstr_{s31}_scouts_have_ap|¡Han aparecido Exploradores de {s31}!
qstr_Those_are_ours!_We_h|¡Esos son nuestros! ¡Llevamos siguiéndoles la pista desde que se fueron! ¡Nadie se interpone en nuestro camino!
qstr_Trolls_appeared!|¡Han aparecido trolls!
qstr_Gaaaar!!|¡¡Gaaaar!!
qstr_{s31}_scouts_have_app|¡Han aparecido Exploradores de {s31} para ayudar a los refugiados!
qstr_Hurry_men!_Help_the_|¡Daos prisa! ¡Ayudad a los refugiados! ¡Matad a a toda la escoria y no dejéis que escapen!
qstr_Cannot_leave|No se puede salir
qstr_Longbeard_Kinsman|Pariente Barbiluengo
qstr_Ori_Longbeard|Ori Barbiluengo
qstr_We_shall_make_our_st|¡Aquí presentaremos nuestra última defensa! ¡POR BALIN!
qstr_Noooo!_You_orcs_will|¡Noooo! ¡Orcos, pagaréis por esto!
qstr_Arghhh!!_Nooo!!|¡Arghhh! ¡Nooo!
qstr_I_will_take_down_as_|¡Me llevaré por delante a todos los que pueda antes de caer!
qstr_Raaa!!|¡¡Raaa!!
qstr_Kill_the_dwarves!|¡Matad a los enanos!
qstr_Finish_them!|¡Acabad con ellos!
qstr_We_will_feast_on_you|¡Devoraremos vuestra carne!
qstr_Dwarf_meat!|¡Carne enana!
qstr_Eru_Iluvatar_has_dec|Eru Iluvatar ha decidido el destino de la Compañía de Balin, y nada puede hacerse para cambiarlo.
qstr_They_are_coming....!|¡Aquí vienen....!
qstr_Who...dares...enter.|¿Quien... osa... entrar...?
qstr_You_are_not_welcome_|¡No eres bienvenido aquí!
qstr_Finally_I_found_you!|¡Por fin te encuentro! ¡Salgamos de aquí!
qstr_You...are....ours...|Tú... nos... perteneces...
qstr_Look_at_my_over_the_|¡Mira mi plano a contra hombro, {playername}! ¡Estoy tan guapo en la distancia!
qstr_You_wish_old_man_my_|Ya te gustaría, vejestorio, ¡mi plano a contra hombro es mucho más bonito!
qstr_You_should_really_se|¡En serio, deberías ver las fotos del Senescal Denethor en Facebook, él sí que está genial!
qstr_Press_Space_to_conti|Pulsa Espacio para continuar...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} hasta el próximo ascenso^
qstr_Influence:^_{reg11}_|Influencia:^ {reg11} (con {s16})^
qstr_Resource_Points:^_{r|Puntos de Recursos:^ {reg12} (en {s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} hasta el próximo ascenso^
qstr_{s13}_{reg11}__with_|{s13}, {reg11} (con {s16})^
qstr_{s15}_{reg12}__in_{s|{s15}, {reg12} (en {s16})^
qstr_Four_years_after_bri|Cuatro años después de liderar a un grupo de Enanos de Erebor para intentar repoblar la antigua ciudad enana de Khazad-dûm, Balin murió atravesado por una flecha orca mientras miraba al Lago Espejo, y su pueblo se vio en seguida enfrentado a una multitud de Orcos, que subían desde el este por el Cauce de Plata. En su retirada, de la Puerta Este a la Primera Sala, luego al Puente de Khazad-dûm y a la Segunda Sala, los Barbilunegos restantes se vieron obligados a retroceder hasta la Sala Vigésima Primera. Tras un intento fallido de huir a través de las Puertas de Durin que se saldó con la muerte de Óin, la Cámara de Mazarbul se convirtió en el último reducto de la colonia, una vez perdida la Sala Vigésima Primera que daba acceso a la cámara. Bloqueando las puertas, Ori y los pocos superviventes preparan una defensa final.
qstr_You_chase_an_orc_sco|Persigues una patrulla de orcos exploradores hacia el interior del bosque...
qstr_^No_food:___{reg7}|^Sin comida:  -{reg7}
qstr_Current_party_morale|La moral actual del grupo es {reg5}.^Los modificadores de la moral del grupo son:^^Moral base:  +50^Tamaño del Grupo: {s2}{reg1}^Liderazgo: {s3}{reg2}^Variedad de comida: {s4}{reg3}{s5}^Objetos Especiales: {s6}{reg6}^Sucesos recientes: {s7}{reg4}^TOTAL:  {reg5}
qstr_Defending|Defendiendo
qstr_Gathering_army|Reuniendo ejército
qstr_Besieging_{s11}|Asediando {s11}
qstr_Raiding_{s11}|Asaltando {s11}
qstr_Attacking_enemies_ar|Atacando enemigos cerca de {s11}
qstr_No_one|Nadie
qstr_{s9}{s10}^Current_st|{s9}{s10}^Estado actual: {s11}^Mariscal: {s12}^Desde la última ofensiva: {reg1} horas^Seguidores máximos en la ofensiva: {reg2}^^
qstr_Selected_faction_is:|La facción elegida es: {s10}^^{s9}
qstr_You_are_in_perfect_h|Estás en perfecto estado de salud.
qstr_You_are_suffering_fr|Estás sufriendo de {s1}.
qstr_You_are_suffering_fro|Estás sufriendo de {s1} y {s2}.
qstr_You_are_suffering_from|Estás sufriendo de {s1}, {s2}, y {s3}.
qstr_You_are_suffering_from_|Estás sufriendo de {s1}, {s2}, {s3} y {s4}.
qstr_Troop_upkeep__paid_e|Mantenimiento de Tropas (pagado cada cuatro días):
qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Puntos de Recursos ^Grupo: {reg4}^Reservas: {reg7}
qstr_No_upkeep_costs|Sin costes de mantenimiento
qstr_Orc_hiring_bonus:_+2|Bonificación de reclutamiento orco: +2/3 por cada orco^
qstr_Current_party_size_l|El límite actual del grupo es {reg5}.^Los modificadores del tamaño del grupo son:^^Tamaño base:  +10^Liderazgo: {s2}{reg1}^Carisma: {s3}{reg2}^Rango: {s4}{reg3}^{s5}TOTAL:  {reg5}
qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
qstr__________Faction_str|Informe de Fuerza de las Facciones:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Por lo general las facciones empiezan a ser asediadas cuando bajan de {reg1} puntos de fuerza.
qstr_Savagery|Salvajismo
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Virtudes conseguidas:^{s2}
qstr_^^You_are_{s17}.|^^Te encuentras {s17}.
qstr_Assassins_in_the_cam|¡Asesinos en el campamento, defendeos!
qstr_Ally_party_size:_{re|Tamaño del grupo aliado: {reg1}
qstr_Enemy_party_size:_{r|Tamaño del grupo enemigo: {reg1}
qstr_Party_count:_{reg0}|Número de grupos: {reg0}
qstr_Party_position__{reg|Posición del grupo ({reg2},{reg3}).
qstr_Party_size_increased|El tamaño del grupo ha aumentado de {reg0} a {reg1}.
qstr_Faction_strengths_re|Informe de fuerza de las facciones:^{s2}
qstr_Attacking_enemy_part|Atacando grupo enemigo {s11}
qstr_Unknown_{reg3}_|Desconocido({reg3})
qstr_ON|SÍ
qstr_OFF__cheat_|NO (truco)
qstr_OFF|NO
qstr_All_messages|Todos los mensajes
qstr_{reg0}__will_most_li|{reg0} (muy probable que corrompa partidas guardadas)
qstr_{reg0}__could_possib|{reg0} (puede corromper partidas guardadas)
qstr_Normal|Normal
qstr_Defender_only|Sólo defensor
qstr_Halved|A la mitad
qstr_Battles_only|Sólo en batallas
qstr_Doubled|Duplicar
qstr_Tripled|Triplicar
qstr_Quadrupled|Cuadruplicar
qstr_You_drank_the_Ent_Wa|Bebes el Agua de los Ents...
qstr_You_used_the_Orc_Bre|Te has bebido el brebaje orco.
qstr_You_and_your_compani|Tus compañeros y tú bebéis un sorbo de miruvor. Os sentís refrescados y fortalecidos.
qstr_You_give_a_few_leave|Entregas unas pocas hojas de athelas a tus sanadores.
qstr_Not_enough_party_spa|No tienes suficiente espacio en tu grupo.
qstr_elites|tropas de élite
qstr_regulars|tropas regulares
qstr_recruits|reclutas
qstr_wild|salvajes
qstr_goblins|trasgos
qstr_lordless|de baja estofa
qstr_orc_stragglers|orcos rezagados
qstr_You_camp_and_beat_th|Acampas y haces sonar los Tambores de las Profundidades. Su ensordecedor sonido atrae a un grupo de {s2} de {s1}.
qstr_You_camp_and_beat_the|Acampas y haces sonar los Tambores de las Profundidades; su potente sonido atrae a un grupo de {s1} {s2}.
qstr_You_camp_and_beat_the_|Acampas y haces sonar los Tambores de las Profundidades; su débil sonido atrae a un grupo de {s1} {s2}.
qstr_You_camp_and_try_to_|Acampas e intentas hacer sonar los Tambores de las Profundidades, pero nadie responde a tu patética llamada.
qstr_^^^A_great_victory!^|^^^¡Una gran victoria!^^^Así que que es ésto a lo que se referían los viejos mitos sobre Fangorn...
qstr_^^^Defeated...^^^Sca|^^^{Derrotado/Derrotada}...^^^Tu compañía deshecha y dispersa en el Bosque de Fangorn... Estás {solo/sola}...
qstr_Troll_caged_in_wheel|Troll enjaulado en jaula con ruedas.
qstr_A_second_troll_is_ca|Un segundo troll está enjaulado en la jaula con ruedas.
qstr_Here_you_are.|Aquí estás.
qstr_Player_was_moved_to_|El jugador se ha movido a {s10}.
qstr_neutral_whereabouts|paradero neutral
qstr_any|cualquiera
qstr_woman|mujer
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|dunlendino
qstr_urukhai|urukhai
qstr_haradrim|haradrim
qstr_dwarf|enano
qstr_troll|troll
qstr_dunedain|dúnadan
qstr_lothlorien|lothlórien
qstr_rivendell|rivendel
qstr_mirkwood|bosque negro
qstr_evil_man|hombre malvado
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Sólo tropas normales
qstr_Heroes_only|Sólo héroes
qstr_Regulars_and_Heroes|Tropas y héroes
qstr_HP_lost_from_poisoni|Puntos de vida perdidos por envenenamiento.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Un grupo de {s1} está {s10} hacia ti.
qstr_You_are_attacking_a_|Estás atacando a un grupo de {s1}.
qstr_The_battle_against_t|La batalla contra el grupo de {s1} continúa.
qstr_There_are_{reg39}_al|Hay {reg39} capitanes aliados en esta batalla. Puedes asumir el mando de sus huestes en combate por {reg40}/{reg41} puntos de influencia.
qstr_There_are_{reg39}_all|Ya hay {reg39} capitanes aliados en las inmediaciones. No tienes la influencia suficiente como para asumir el mando.
qstr_Having_a_small_party|Tener un grupo pequeño tiene sus ventajas... Tus tropas y tú os escondéis del enemigo durante unas horas para aseguraros de no ser vistos.
qstr_Your_ability_to_mast|Tu capacidad para desenvolverte en tu entorno te ha permitido encontrar un lugar seguro donde esconderte (tu habilidad de Dominio de las tierras salvajes te permite esconderte con {reg1} tropas).
qstr_{reg4}_will_be_lost.|{reg4} soldados se perderán.
qstr_{s13}_asked_you_to_r|{s13} te ha pedido que te presentes ante él con al menos {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} te ha ordenado unirte al asalto contra {s14}.
qstr_You_were_victorious!|¡Nuestra es la Victoria!
qstr_The_battle_was_lost.|Has perdido la batalla. Tus fuerzas han sido completamente aplastadas.
qstr_Your_companions_carr|Tus compañeros te llevan lejos de la lucha.
qstr_You_have_defeated_th|Has derrotado al enemigo.
qstr_You_have_retreated_f|Te has retirado de la lucha.
qstr_^^Ally_Casualties:{s|^^Bajas Aliadas:{s0}
qstr_You_and_{s3}_celebra|{s3} y tú celebráis vuestra victoria sobre {s4}.
qstr_News_of_your_victory|Las noticias sobre tu victoria sobre {s4} llegan a {s3}.
qstr_{s3}_witnesses_your_|{s3} son testigos de tu victoria sobre {s4}.
qstr_Even_though_there_we|Aunque no ha habido aliados para ser testigos de tu victoria, tus tropas celebran el triunfo igualmente.
qstr_{s1}_of_{s3}_managed|{s1} de {s3} ha logrado escapar.
qstr_Prisoners_rescued_so|Prisioneros rescatados hasta el momento: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} muertes de tropas de la facción de {s1} de las necesarias para cumplir el juramento. Muertes totales: {reg0}
qstr_Perhaps_I_m_getting_|Quizás estoy teniendo mala suerte...
