trp_unarmed_troop|徒 手 部 隊 
trp_walker_man_gondor_green|市 民 
trp_walker_man_rohan_t|洛 汗 市 民 
trp_walker_man_rohan_d|洛 汗 市 民 
trp_walker_woman_rohan_t|洛 汗 少 女 
trp_walker_woman_rohan_d|洛 汗 少 女 
trp_walker_woman_gondor_b|剛 鐸 女 人 
trp_walker_woman_gondor_bw|剛 鐸 女 人 
trp_walker_woman_gondor_w|剛 鐸 貴 族 
trp_ramun_the_slave_trader|奴 隸 商 人 拉 蒙 
trp_guide|機 靈 鬼 吉 米 
trp_galeas|蓋 阿 里 斯 
trp_farmer_from_bandit_village|農 民 
trp_farmer_from_bandit_village_pl|農 民 
trp_trainer_1|教 練 
trp_trainer_2|教 練 
trp_trainer_3|教 練 
trp_trainer_4|教 練 
trp_trainer_gondor|教 練 
trp_trainer_rohan|教 練 
trp_trainer_dale|教 練 
trp_trainer_elf|教 練 
trp_trainer_beorn|教 練 
trp_trainer_dwarf|教 練 
trp_trainer_mordor|教 練 
trp_trainer_isengard|教 練 
trp_trainer_khand|教 練 
trp_trainer_rhun|教 練 
trp_trainer_harad|教 練 
trp_trainer_umbar|教 練 
trp_ransom_broker_1|贖 金 經 紀 人 
trp_ransom_broker_2|贖 金 經 紀 人 
trp_ransom_broker_3|贖 金 經 紀 人 
trp_ransom_broker_4|贖 金 經 紀 人 
trp_ransom_broker_5|贖 金 經 紀 人 
trp_ransom_broker_6|贖 金 經 紀 人 
trp_ransom_broker_7|贖 金 經 紀 人 
trp_ransom_broker_8|贖 金 經 紀 人 
trp_ransom_broker_9|贖 金 經 紀 人 
trp_ransom_broker_10|贖 金 經 紀 人 
trp_tavern_traveler_1|旅 行 者 
trp_tavern_traveler_2|旅 行 者 
trp_tavern_traveler_3|旅 行 者 
trp_tavern_traveler_4|旅 行 者 
trp_tavern_traveler_5|旅 行 者 
trp_tavern_traveler_6|旅 行 者 
trp_tavern_traveler_7|旅 行 者 
trp_tavern_traveler_8|旅 行 者 
trp_tavern_traveler_9|旅 行 者 
trp_tavern_traveler_10|旅 行 者 
trp_tavern_minstrel_1|吟 遊 詩 人 
trp_npc1|馬 伯 龍 
trp_npc2|凱 瑞 迪 爾 
trp_npc3|烏 法 斯 
trp_npc4|格 爾 瑪  
trp_npc5|葛 羅 芬 戴 爾 
trp_npc6|露 亞 瓦 納 
trp_npc7|金 指 奇 力 
trp_npc8|法 怒 爾 
trp_npc9|葛 瑪 
trp_npc10|都 戈 什 
trp_npc11|烏 弗 塔 克 
trp_npc12|哥 巴 葛 
trp_npc13|萊 克 雅 達 
trp_npc14|弗 達 墨 
trp_npc15|博 紮 克 
trp_npc16|瓦 爾 凡 
trp_npc17|丁 博 
trp_gondor_lord|攝 政 王 迪 耐 瑟 
trp_gondor_lord_pl|攝 政 王 
trp_rohan_lord|國 王 希 尤 頓 
trp_rohan_lord_pl|國 王 
trp_isengard_lord|薩 魯 曼 
trp_isengard_lord_pl|主 人 
trp_mordor_lord|索 倫 之 口 
trp_mordor_lord_pl|總 督 
trp_harad_lord|首 領 烏· 烏 凱 瑞 
trp_harad_lord_pl|首 領 
trp_rhun_lord|貴 族 海 爾 卡 拉 斯 
trp_rhun_lord_pl|貴 族 
trp_khand_lord|酋 長 克 拉 克 馬 瑟 爾 
trp_khand_lord_pl|酋 長 
trp_umbar_lord|托 米 爾 上 將 
trp_umbar_lord_pl|上 將 
trp_lorien_lord|蓋 拉 德 麗 爾 夫 人 
trp_lorien_lord_pl|夫 人 
trp_imladris_lord|領 主 愛 隆 
trp_imladris_lord_pl|領 主 
trp_woodelf_lord|國 王 瑟 蘭 督 伊 
trp_woodelf_lord_pl|國 王 
; trp_moria_lord|Master Bolg the Lesser
trp_moria_lord_pl|主 人 
; trp_guldur_lord|Master Fuinur
trp_guldur_lord_pl|主 人 
; trp_gundabad_lord|Master Burza Krual
trp_gundabad_lord_pl|主 人 
trp_dale_lord|國 王 布 蘭 德 
trp_dale_lord_pl|國 王 
trp_dwarf_lord|國 王 丹 恩 二 世· 鐵 腳 
trp_dwarf_lord_pl|國 王 
; trp_dunland_lord|Chief Daeglaf the Black
trp_dunland_lord_pl|首 領 
trp_beorn_lord|首 領 老 鬱 比 翁 
trp_beorn_lord_pl|首 領 
; trp_lorien_marshall|Celeborn
trp_pippin_notmet|半身人
trp_merry_notmet|半身人
; trp_pippin|Pippin
; trp_merry|Merry
; trp_knight_1_1|Angbor
; trp_knight_1_2|Baranor
; trp_knight_1_3|Prince Imrahil
; trp_knight_1_4|Orthalion
; trp_knight_1_5|Duinhir
; trp_knight_1_6|Hirluin the Fair
; trp_knight_1_7|Faramir
; trp_knight_1_8|Forlong the Fat
; trp_knight_1_9|Grimbold
; trp_knight_1_10|Erkenbrand
; trp_knight_1_11|Elfhelm
; trp_knight_1_12|Hama
; trp_knight_1_13|Gamling
; trp_knight_1_14|Éomer
; trp_knight_1_15|Ugluk
; trp_knight_1_16|Mauhur
; trp_knight_1_17|Mog the Seven-fingered
; trp_knight_1_18|Hushnak Longshanks
; trp_knight_1_19|Gridash the Tree-biter
; trp_knight_1_20|Gronk the Man-eater
; trp_knight_2_1|Captain Mortakh
; trp_knight_2_2|Berúthiel
; trp_knight_2_3|Skang
; trp_knight_2_4|Pharakhâd The Bastard
; trp_knight_2_5|Grishnakh
; trp_knight_2_51|Gothmog
; trp_knight_2_51_pl|Lieutenant
; trp_knight_2_6|Chieftain Karna the Lion
; trp_knight_2_7|Chieftain Na’man
; trp_knight_2_8|Chieftain Haarith
; trp_knight_2_11|Kusulak
; trp_knight_2_12|Ulwarth the Balchoth
; trp_knight_2_13|Brodda
; trp_knight_2_16|Torask
; trp_knight_2_17|Lurmsakun
; trp_knight_3_1|Captain Morbir
; trp_knight_3_2|Captain Angamaitë
; trp_knight_3_3|Captain Sangahyando
; trp_knight_3_6|Haldir
; trp_knight_3_7|Orophin
; trp_knight_3_11|Elladan
; trp_knight_3_12|Elrohir
; trp_knight_3_13|Halbarad
; trp_knight_3_16|Miriel
; trp_knight_3_17|Gladvaethor
; trp_knight_4_1|Whip Snog
; trp_knight_4_2|Whip Snotgor
; trp_knight_4_6|General Tuskim
; trp_knight_4_7|General Mugslag
; trp_knight_4_11|Beranhelm
; trp_knight_4_12|Beranor Blackfur
; trp_knight_4_16|Whip Brolgukhsh
; trp_knight_4_17|Whip Grumrunt
; trp_knight_4_18|Whip Grimsob
; trp_knight_5_1|Lord Halward
; trp_knight_5_2|Lord Bard
; trp_knight_5_3|Lord Esgarain
; trp_knight_5_6|Fulgni Longbeard
; trp_knight_5_7|Thorin Stonehelm
; trp_knight_5_11|Chief Fudreim
; trp_knight_5_12|Chief Wulf
; trp_smith_mtirith|Berethor the Smith
; trp_smith_mtirith_pl|Steward's smiths
; trp_smith_pelargir|Hallatan Metalmaster
trp_smith_pelargir_pl|鍛 冶 匠 
; trp_smith_linhir|Bor the Armorer
trp_smith_linhir_pl|鍛 冶 匠 
; trp_smith_dolamroth|Haldad the Smith
trp_smith_dolamroth_pl|安 姆 羅 斯 鍛 冶 匠 
; trp_smith_edhellond|Ryis Ironbender
trp_smith_edhellond_pl|鍛 冶 匠 
; trp_smith_lossarnach|Berin Axemaker
trp_smith_lossarnach_pl|鍛 冶 匠 
; trp_smith_tarnost|Harandil Steelhammer
trp_smith_tarnost_pl|鍛 冶 匠 
; trp_smith_erech|Lorne the Black
trp_smith_erech_pl|鍛 冶 匠 
; trp_smith_pinnath|Tarandil Swordmaker
trp_smith_pinnath_pl|鍛 冶 匠 
; trp_smith_eosgiliath|Bzurg the Looter
trp_smith_eosgiliath_pl|鍛 冶 匠 
; trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|臨 時 鍛 冶 匠 
; trp_smith_calembel|Agronom
trp_smith_calembel_pl|鍛 冶 匠 
; trp_smith_hannun|Fal the Ranger Smith
; trp_smith_hannun_pl|ranger gear stash
; trp_smith_candros|Kalimdor
trp_smith_candros_pl|鍛 冶 匠 
; trp_smith_edoras|Eaoden Steelmaster
trp_smith_edoras_pl|國 王 的 鍛 冶 匠 
; trp_smith_aldburg|Fulm Ironhoof
trp_smith_aldburg_pl|鍛 冶 匠 
; trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|鍛 冶 匠 
; trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|鍛 冶 匠 
; trp_smith_westfold|Deor Helmmaker
trp_smith_westfold_pl|鍛 冶 匠 
; trp_smith_westemnet|Armourer
trp_smith_westemnet_pl|鍛 冶 匠 
; trp_smith_eastfold|Eaderan Ironcarver
trp_smith_eastfold_pl|鍛 冶 匠 
; trp_smith_morannon|Hurbag Gateforger
trp_smith_morannon_pl|鍛 冶 匠 
; trp_smith_mmorgul|Orgurz Firebelcher
trp_smith_mmorgul_pl|鍛 冶 匠 
; trp_town_24_smith|Boz Ironspoiler
trp_town_24_smith_pl|鍛 冶 匠 
; trp_smith_orc_patrol|Glugz Ironfinger
trp_smith_orc_patrol_pl|營 地 鍛 冶 匠 
; trp_smith_oscamp|Kugash Ironlover
trp_smith_oscamp_pl|營 地 鍛 冶 匠 
; trp_smith_isengard|Burz Ironbasher
trp_smith_isengard_pl|地 下 鍛 冶 匠 
; trp_smith_uoutpost|Gurzuk Irontooth
trp_smith_uoutpost_pl|前 線 鍛 冶 匠 
; trp_smith_uhcamp|Rabzug Rusteater
trp_smith_uhcamp_pl|營 地 鍛 冶 匠 
; trp_smith_urcamp|Glurk
trp_smith_urcamp_pl|營 地 鍛 冶 匠 
; trp_smith_cgaladhon|Dirufin the Bowyer
trp_smith_cgaladhon_pl|精 靈 武 器 鍛 造 者 
; trp_smith_cdolen|Dimirian the Fletcher
trp_smith_cdolen_pl|精 靈 武 器 鍛 造 者 
; trp_smith_camroth|Getasistan
trp_smith_camroth_pl|精 靈 武 器 鍛 造 者 
; trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|鍛 冶 匠 
; trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|鍛 冶 匠 
; trp_smith_beorn|Beornalaf Axemaker
trp_smith_beorn_pl|鍛 冶 匠 
; trp_smith_moria|Burgak Forger
trp_smith_moria_pl|鍛 冶 匠 
; trp_smith_dale|Ardel Firehand
trp_smith_dale_pl|鍛 冶 匠 
; trp_smith_esgaroth|Kelegarn The Bowyer
trp_smith_esgaroth_pl|鍛 冶 匠 
; trp_smith_erebor|Thror the Hammerer
; trp_smith_erebor_pl|praised Dwarven smiths
; trp_smith_dunland|Dorrowuld Ironpike
trp_smith_dunland_pl|鍛 冶 匠 
; trp_smith_harad|Har Steelbender
trp_smith_harad_pl|鍛 冶 匠 
; trp_smith_khand|Pushurt The Haggler
trp_smith_khand_pl|鍛 冶 匠 
; trp_smith_umbar|Fuinir the Forger
trp_smith_umbar_pl|鍛 冶 匠 
; trp_smith_imladris|Duifirian
trp_smith_imladris_pl|精 靈 武 器 鍛 造 者 
; trp_smith_dolguldur|Shtazg Dulbash
trp_smith_dolguldur_pl|鍛 冶 匠 
; trp_smith_north_rhun|Ognjemir Kladivo
trp_smith_north_rhun_pl|臨 時 鍛 冶 匠 
; trp_smith_gundabad|Blurg Snowseller
trp_smith_gundabad_pl|鍛 冶 匠 
; trp_smith_ironhill|Ironhill Smith
trp_smith_ironhill_pl|矮 人 營 地 鍛 冶 匠 
; trp_town_50_weaponsmith|Armourer
trp_town_50_weaponsmith_pl|鍛 冶 匠 
; trp_smith_gondor_ac|Bor the Armorer
trp_smith_gondor_ac_pl|營 地 鍛 冶 匠 
; trp_smith_rohan_ac|Deor Helmmaker
trp_smith_rohan_ac_pl|營 地 鍛 冶 匠 
; trp_smith_mordor_ac|Hurbag Gateforger
trp_smith_mordor_ac_pl|鍛 冶 匠 
; trp_smith_isengard_ac|Burz Ironbasher
trp_smith_isengard_ac_pl|地 下 鍛 冶 匠 
; trp_smith_lorien_ac|Dimirian the Fletcher
trp_smith_lorien_ac_pl|精 靈 武 器 鍛 造 者 
; trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|鍛 冶 匠 
; trp_smith_dwarf_ac|Ironhill Smith
trp_smith_dwarf_ac_pl|矮 人 營 地 鍛 冶 匠 
; trp_smith_gundabad_ac|Blurg Snowseller
trp_smith_gundabad_ac_pl|鍛 冶 匠 
; trp_smith_rhun_ac|Branimir Bronnik
trp_smith_rhun_ac_pl|臨 時 鍛 冶 匠 
; trp_smith_guldur_ac|Shtazg Dulbash
trp_smith_guldur_ac_pl|鍛 冶 匠 
; trp_smith_imladris_ac|Duifirian
trp_smith_imladris_ac_pl|精 靈 武 器 鍛 造 者 
; trp_smith_dunland_ac|Dorrowuld Ironpike
trp_smith_dunland_ac_pl|鍛 冶 匠 
; trp_smith_harad_ac|Har Steelbender
trp_smith_harad_ac_pl|鍛 冶 匠 
; trp_smith_khand_ac|Pushurt The Haggler
trp_smith_khand_ac_pl|鍛 冶 匠 
; trp_smith_umbar_ac|Fuinir the Forger
trp_smith_umbar_ac_pl|鍛 冶 匠 
; trp_barman_mtirith|Tavern Keeper
; trp_barman_mtirith_pl|the Citadel
; trp_barman_pelargir|Tavern Keeper
trp_barman_pelargir_pl|城 堡 
; trp_barman_linhir|Tavern Keeper
trp_barman_linhir_pl|城 堡 
; trp_barman_dolamroth|Tavern Keeper
trp_barman_dolamroth_pl|城 堡 
; trp_barman_edhellond|Tavern Keeper
trp_barman_edhellond_pl|城 堡 
; trp_barman_lossarnach|Tavern Keeper
trp_barman_lossarnach_pl|城 堡 
; trp_barman_tarnost|Tavern Keeper
trp_barman_tarnost_pl|城 堡 
; trp_barman_erech|Tavern Keeper
trp_barman_erech_pl|城 堡 
; trp_barman_pinnath|Tavern Keeper
trp_barman_pinnath_pl|城 堡 
; trp_barman_hannun|Tavern Keeper
; trp_barman_hannun_pl|the Secret Cave
; trp_barman_calembel|Tavern Keeper
trp_barman_calembel_pl|城 堡 
; trp_barman_edoras|Tavern Keeper
; trp_barman_edoras_pl|Meduseld, the Golden Hall
; trp_barman_aldburg|Tavern Keeper
trp_barman_aldburg_pl|城 堡 
; trp_barman_hornburg|Tavern Keeper
; trp_barman_hornburg_pl|the Lord Halls
; trp_barman_eastemnet|Tavern Keeper
trp_barman_eastemnet_pl|城 堡 
; trp_barman_westfold|Tavern Keeper
trp_barman_westfold_pl|城 堡 
; trp_barman_westemnet|Tavern Keeper
trp_barman_westemnet_pl|城 堡 
; trp_barman_eastfold|Tavern Keeper
trp_barman_eastfold_pl|城 堡 
; trp_barman_baraddur|Tavern Keeper
trp_barman_baraddur_pl|城 堡 
; trp_barman_morannon|Tavern Keeper
; trp_barman_morannon_pl|the Leader's Cave
; trp_barman_mmorgul|Tavern Keeper
trp_barman_mmorgul_pl|城 鎮 
; trp_barman_cungol|Tavern Keeper
trp_barman_cungol_pl|城 堡 
; trp_barman_isengard|Tavern Keeper
; trp_barman_isengard_pl|the tower of Orthanc
; trp_barman_cgaladhon|Tavern Keeper
; trp_barman_cgaladhon_pl|the Tree castle
; trp_barman_cdolen|Tavern Keeper
; trp_barman_cdolen_pl|the Tree castle
; trp_barman_camroth|Tavern Keeper
; trp_barman_camroth_pl|the Tree castle
; trp_barman_thalls|Tavern Keeper
; trp_barman_thalls_pl|the Throne Room
; trp_barman_beorn|Tavern Keeper
; trp_barman_beorn_pl|Beorn House
; trp_barman_moria|Tavern Keeper
; trp_barman_moria_pl|the Chief's Chamber
; trp_barman_dale|Tavern Keeper
trp_barman_dale_pl|城 堡 
; trp_barman_esgaroth|Tavern Keeper
trp_barman_esgaroth_pl|大 廳 
; trp_barman_erebor|Tavern Keeper
; trp_barman_erebor_pl|the Lord's Chamber
; trp_barman_dolguldur|Tavern Keeper
trp_barman_dolguldur_pl|城 堡 
; trp_merchant_mtirith|Supply Master
; trp_merchant_mtirith_pl|stable and warehouse
; trp_merchant_pelargir|Supply Master
; trp_merchant_pelargir_pl|stable and warehouse
; trp_merchant_linhir|Supply Master
; trp_merchant_linhir_pl|stable and warehouse
; trp_merchant_dolamroth|Supply Master
; trp_merchant_dolamroth_pl|stable and warehouse
; trp_merchant_edhellond|Supply Master
; trp_merchant_edhellond_pl|stable and warehouse
; trp_merchant_lossarnach|Supply Master
; trp_merchant_lossarnach_pl|stable and warehouse
; trp_merchant_tarnost|Supply Master
; trp_merchant_tarnost_pl|stable and warehouse
; trp_merchant_erech|Supply Master
; trp_merchant_erech_pl|stable and warehouse
; trp_merchant_pinnath|Supply Master
; trp_merchant_pinnath_pl|stable and warehouse
; trp_merchant_eosgiliath|Supply Master
; trp_merchant_eosgiliath_pl|stable and warehouse
; trp_merchant_wosgiliath|Supply Master
; trp_merchant_wosgiliath_pl|stable and warehouse
; trp_town_12_horse_merchant|Supply Master
; trp_town_12_horse_merchant_pl|stable and warehouse
; trp_town_13_horse_merchant|Supply Master
; trp_town_13_horse_merchant_pl|stable and warehouse
; trp_merchant_edoras|Supply Maiden
; trp_merchant_edoras_pl|stable and warehouse
; trp_merchant_aldburg|Supply Master
; trp_merchant_aldburg_pl|King's stable and warehouse
; trp_merchant_hornburg|Supply Master
; trp_merchant_hornburg_pl|stable and warehouse
; trp_merchant_eastemnet|Supply Master
; trp_merchant_eastemnet_pl|stable and warehouse
; trp_merchant_westfold|Supply Maiden
; trp_merchant_westfold_pl|stable and warehouse
; trp_merchant_westemnet|Supply Maiden
; trp_merchant_westemnet_pl|stable and warehouse
; trp_merchant_eastfold|Supply Maiden
; trp_merchant_eastfold_pl|stable and warehouse
; trp_town_21_horse_merchant|Supply Master
; trp_town_21_horse_merchant_pl|pit and warehouse
; trp_merchant_morannon|Supply Master
; trp_merchant_morannon_pl|pit and warehouse
; trp_merchant_mmorgul|Supply Master
; trp_merchant_mmorgul_pl|pit and warehouse
; trp_town_24_horse_merchant|Supply Master
; trp_town_24_horse_merchant_pl|pit and warehouse
; trp_merchant_orc_patrol|Supply Master
; trp_merchant_orc_patrol_pl|camp stash
; trp_merchant_isengard|Supply Master
; trp_merchant_isengard_pl|camp stash
; trp_town_27_horse_merchant|Supply Master
; trp_town_27_horse_merchant_pl|warg pit and supplies
; trp_merchant_uoutpost|Supply Master
; trp_merchant_uoutpost_pl|warg pit and supplies
; trp_merchant_uhcamp|Supply Master
; trp_merchant_uhcamp_pl|warg pit and supplies
; trp_merchant_urcamp|Supply Master
; trp_merchant_urcamp_pl|warg pit and supplies
; trp_merchant_cgaladhon|Supply Master
; trp_merchant_cgaladhon_pl|elven supplies
; trp_merchant_cdolen|Supply Master
; trp_merchant_cdolen_pl|elven supplies
; trp_merchant_camroth|Supply Master
; trp_merchant_camroth_pl|elven supplies
; trp_merchant_thranduils_halls|Supply Master
; trp_merchant_thranduils_halls_pl|elven supplies
; trp_merchant_woodelf_camp|Supply Master
; trp_merchant_woodelf_camp_pl|elven supplies
; trp_merchant_woodmen|Supply Master
; trp_merchant_woodmen_pl|stable and warehouse
; trp_merchant_beorn|Supply Master
; trp_merchant_beorn_pl|stable and warehouse
; trp_merchant_moria|Supply Master
; trp_merchant_moria_pl|warg pit and supplies
; trp_merchant_dale|Supply Master
; trp_merchant_dale_pl|stable and warehouse
; trp_merchant_esgaroth|Supply Master
; trp_merchant_esgaroth_pl|stable and warehouse
; trp_merchant_erebor|Supply Master
; trp_merchant_erebor_pl|Dwarven supplies
; trp_merchant_dunland|Dun Stash Master
; trp_merchant_dunland_pl|camp stash
trp_merchant_harad|哈 拉 德 藏 匿 大 師 
; trp_merchant_harad_pl|camp stash
; trp_merchant_khand|Khand Stash Master
; trp_merchant_khand_pl|camp stash
; trp_merchant_umbar|Supply Master
; trp_merchant_umbar_pl|camp stash
; trp_merchant_imladris|Supply Master
; trp_merchant_imladris_pl|camp supplies
; trp_merchant_dolguldur|Supply Master
; trp_merchant_dolguldur_pl|stable and warehouse
; trp_merchant_north_rhun|Supply Master
; trp_merchant_north_rhun_pl|camp stash
; trp_merchant_south_rhun|Supply Master
; trp_merchant_south_rhun_pl|camp stash
; trp_merchant_gundabad|Supply Master
; trp_merchant_gundabad_pl|camp stash
; trp_merchant_ironhill|Supply Master
; trp_merchant_ironhill_pl|Dwarven supplies
; trp_town_50_horse_merchant|Supply Master
; trp_town_50_horse_merchant_pl|stable and warehouse
; trp_merchant_calembel|Supply Master
; trp_merchant_calembel_pl|stable and warehouse
; trp_elder_mtirith|Tirith Guildmaster
; trp_elder_mtirith_pl|the White City
; trp_elder_pelargir|Sailor Guildmaster
trp_elder_pelargir_pl|城 市 
; trp_elder_linhir|Linhir Guildmaster
trp_elder_linhir_pl|城 市 
; trp_elder_dolamroth|Dol Amroth Guildmaster
trp_elder_dolamroth_pl|城 市 
; trp_elder_edhellond|Edhellond Guildmaster
trp_elder_edhellond_pl|城 市 
; trp_elder_lossarnach|Lossarnach Guildmaster
trp_elder_lossarnach_pl|城 鎮 
; trp_elder_tarnost|Tarnost Guildmaster
trp_elder_tarnost_pl|城 鎮 
; trp_elder_erech|Erech Guildmaster
trp_elder_erech_pl|城 鎮 
; trp_elder_pinnath|Pinnath Tribe Elder
trp_elder_pinnath_pl|城 鎮 
; trp_elder_ethring|Calembel Guildmaster
trp_elder_ethring_pl|城 市 
; trp_elder_henneth|Ranger Guildmaster
; trp_elder_henneth_pl|the hideout
; trp_elder_cairandros|Cair Andros Guildmaster
; trp_elder_cairandros_pl|the island fortress
; trp_elder_edoras|Edoras Thain
trp_elder_edoras_pl|城 市 
; trp_elder_aldburg|Aldburg Thain
trp_elder_aldburg_pl|城 鎮 
; trp_elder_hornburg|Hornburg Thain
; trp_elder_hornburg_pl|the fortress
; trp_elder_eastemnet|East Emnet Thain
trp_elder_eastemnet_pl|城 鎮 
; trp_elder_westfold|Westfold Thain
trp_elder_westfold_pl|城 鎮 
; trp_elder_westemnet|West Emnet Thain
trp_elder_westemnet_pl|城 鎮 
; trp_elder_eastfold|Eastfold Thain
trp_elder_eastfold_pl|城 鎮 
; trp_elder_morannon|Morannon Chief
; trp_elder_morannon_pl|the caves overlooking the Great Gate
; trp_elder_mmorgul|Morgul Chief
; trp_elder_mmorgul_pl|the sinister city
; trp_elder_cungol|Camp Chief
trp_elder_cungol_pl|營 地 
; trp_elder_isengard|Grima Wormtongue
trp_elder_isengard_pl|城 市 
; trp_elder_cgaladhon|Lorien Loremaster
; trp_elder_cgaladhon_pl|the elven forest fortress
; trp_elder_cdolen|Lorien Loremaster
; trp_elder_cdolen_pl|the encampment
; trp_elder_camroth|Lorien Loremaster
; trp_elder_camroth_pl|the encampment
; trp_elder_thalls|Mirkwood Elder
; trp_elder_thalls_pl|the elven caves
trp_elder_imladris|瑞 文 戴 爾 營 長 
trp_elder_imladris_pl|營 地 
; trp_elder_wvillage|Pierre Woodman
; trp_elder_wvillage_pl|the village
; trp_elder_beorn|Beorn Elder
; trp_elder_beorn_pl|the hamlet
trp_elder_harad|哈 拉 德 營 地 首 領
trp_elder_harad_pl|營 地 
; trp_elder_rhun|Rhun Camp Chief
trp_elder_rhun_pl|營 地 
; trp_elder_khand|Khand Camp Chief
trp_elder_khand_pl|營 地 
; trp_elder_dunland|Dun Camp Chief
trp_elder_dunland_pl|營 地 
trp_elder_umbar|昂 巴 軍 需 官 
; trp_elder_umbar_pl|the fortified camp
trp_elder_moria|摩 瑞 亞 首 領 
; trp_elder_moria_pl|the Mines
; trp_elder_gunda|Mater of the Caves
; trp_elder_gunda_pl|the caves
; trp_elder_dale|Dale Quartermaster
trp_elder_dale_pl|城 市 
trp_elder_esgaroth|長 湖 鎮 軍 需 官 
; trp_elder_esgaroth_pl|the lake town
trp_elder_erebor|孤 山 公 會 會 長 
trp_elder_erebor_pl|大 廳 
trp_elder_dolguldur|多 爾 哥 多 首 領 
trp_elder_dolguldur_pl|黑 城 堡 
trp_elder_gondor_ac|營 長 
trp_elder_gondor_ac_pl|營 地 
trp_elder_rohan_ac|營 長 
trp_elder_rohan_ac_pl|營 地 
trp_elder_mordor_ac|營 長 
trp_elder_mordor_ac_pl|營 地 
trp_elder_isengard_ac|營 長 
trp_elder_isengard_ac_pl|營 地 
trp_elder_lorien_ac|營 長 
trp_elder_lorien_ac_pl|營 地 
trp_elder_woodelf_ac|營 長 
trp_elder_woodelf_ac_pl|營 地 
trp_elder_imladris_ac|營 長 
trp_elder_imladris_ac_pl|營 地 
trp_elder_beorn_ac|營 長 
trp_elder_beorn_ac_pl|營 地 
trp_elder_harad_ac|哈 拉 德 營 地 首 領  
trp_elder_harad_ac_pl|營 地 
; trp_elder_rhun_ac|Rhun Camp Chief
trp_elder_rhun_ac_pl|營 地 
; trp_elder_khand_ac|Khand Camp Chief
trp_elder_khand_ac_pl|營 地 
; trp_elder_dunland_ac|Dun Camp Chief
trp_elder_dunland_ac_pl|營 地 
trp_elder_umbar_ac|昂 巴 軍 需 官 
trp_elder_umbar_ac_pl|營 地 
trp_elder_moria_ac|摩 瑞 亞 營 地 首 領 
trp_elder_moria_ac_pl|營 地 
trp_elder_gunda_ac|剛 達 巴 營 地 首 領 
trp_elder_gunda_ac_pl|營 地 
; trp_elder_dale_ac|Dale Quartermaster
trp_elder_dale_ac_pl|營 地 
trp_elder_guldur_ac|多 爾 哥 多 營 地 首 領 
trp_elder_guldur_ac_pl|營 地 
; trp_elder_dwarf_ac|Dwarven Campmaster
trp_elder_dwarf_ac_pl|營 地 
; trp_village_1_elder|Village Elder
; trp_tutorial_chest_1|Melee Weapons Chest
; trp_tutorial_chest_2|Ranged Weapons Chest
; trp_bonus_chest_1|Bonus Chest
; trp_bonus_chest_2|Bonus Chest
; trp_bonus_chest_3|Bonus Chest
; trp_camp_chest_faction|Faction Chest
; trp_camp_chest_none|Chest for nones
; trp_player_chest|Your Chest
; trp_local_merchant|Local Merchant
; trp_local_merchant_pl|Local Merchants
; trp_tax_rebel|Peasant Rebel
; trp_tax_rebel_pl|Peasant Rebels
; trp_trainee_peasant|Peasant
; trp_trainee_peasant_pl|Peasants
; trp_fugitive_man|Suspicious Man
; trp_fugitive_man_pl|Suspicious Men
; trp_fugitive_elf|Suspicious Elf
; trp_fugitive_elf_pl|Suspicious Elves
; trp_fugitive_dwarf|Suspicious Dwarf
; trp_fugitive_dwarf_pl|Suspicious Dwarves
trp_fugitive_orc|可 疑 的 獸 人 
trp_fugitive_orc_pl|可 疑 的 獸 人 
trp_spy|詭 詐 的 海 盜 
trp_spy_pl|詭 詐 的 海 盜 
trp_spy_evil|詭 詐 的 南 方 人 
trp_spy_evil_pl|詭 詐 的 南 方 人 
; trp_spy_partner|Spy Handler
; trp_spy_partner_pl|Spy Handlers
; trp_spy_partner_evil|Spy Handler
; trp_spy_partner_evil_pl|Spy Handlers
; trp_easter_egg_troll|The Troll
; trp_treebeard|Treebeard
; trp_ent_1|Bregalad
; trp_ent_2|Finglas
; trp_ent_3|Fladrif
; trp_gandalf|Gandalf
; trp_gandalf_pl|Home-grown Gandalves
; trp_nazgul|Nazgul
; trp_nazgul_pl|Domesticated Nazgul
; trp_barman|Barman
trp_elder|中 央 長 老 
; trp_gear_merchant|Gear Merchant
trp_goods_merchant|貨 物 商 人 
; trp_start_quest_caravaneer|Torbal the Caravaneer
trp_dorwinion_bandit|多 溫 尼 安 強 盜 
trp_dorwinion_bandit_pl|多 溫 尼 安 強 盜 
trp_dorwinion_raider|多 溫 尼 安 掠 奪 者 
trp_dorwinion_raider_pl|多 溫 尼 安 掠 奪 者 
trp_city_guard|城 市 守 衛 
trp_city_guard_pl|城 市 守 衛 
trp_orc_sentry|獸 人 哨 兵 
trp_orc_sentry_pl|獸 人 哨 兵 
trp_uruk_hai_sentry|強 獸 人 哨 兵 
trp_uruk_hai_sentry_pl|強 獸 人 哨 兵 
