dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|戰況怎麼樣了？
dlga_lord_talk_ask_something_2:lord_pretalk|算了。
dlga_lord_talk_ask_location:lord_talk_ask_location_2|好吧。我有沒有答案還不一定。你想聽關於誰的事？
dlga_lord_talk_ask_location_2:lord_pretalk|算了。
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|告訴我更多關於跟{s1}的戰況。
dlga_lord_talk_ask_about_war_2:lord_pretalk|那就是我想知道的全部了，謝謝。
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|我們是{s22}的而他們是{s23}的。整體而言，{s9}。
dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|今天是個戰鬥的好日子，{s4}！
dlga_lord_tell_objective:lord_pretalk|我在做什麼？我看起來像是在做什麼？我是這裡的囚犯！
dlga_lord_tell_objective:lord_pretalk.1|我現在並沒有指揮任何人。
dlga_lord_tell_objective:lord_pretalk.2|我們正在{s1}{s5}休息。
dlga_lord_tell_objective:lord_pretalk.3|我們正在前往{s1}{s5}。
dlga_lord_tell_objective:lord_pretalk.4|我們正在從{s1}招募新兵。
dlga_lord_tell_objective:lord_pretalk.5|我們正在{s1}{s5}周圍偵查敵人。
dlga_lord_tell_objective:lord_pretalk.6|我們正在破壞{s1}這個村莊。
dlga_lord_tell_objective:lord_pretalk.7|我們正在向{s1}撤退。
dlga_lord_tell_objective:lord_pretalk.8|我們正在圍攻{s1}{s5}。
dlga_lord_tell_objective:lord_pretalk.9|我們正在與{s1}{s5}戰鬥。
dlga_lord_tell_objective:lord_pretalk.10|我們正在跟隨{s1}{s5}。
dlga_lord_tell_objective:lord_pretalk.11|我們正在考慮下一個目標。
dlga_lord_tell_objective:lord_pretalk.12|我不知道：{reg1}{s1}
dlga_lord_mission_told_kill_quest_targeted:lord_mission_rejected|我現在不能做這件事。
dlga_lord_mission_told_kill_quest_faction:lord_mission_rejected|我現在不能做這件事。
dlga_lord_tell_mission:lord_mission_destroy_scout_camp_a|{playername}，我們收到{s3}附近有一個斥候營地的消息，確保你不被他們發現並在他們了解我們的計劃前摧毀它。
dlga_lord_mission_destroy_scout_camp_a:lord_mission_destroy_scout_camp_accept|遵命。
dlga_lord_mission_destroy_scout_camp_a:lord_mission_destroy_scout_camp_reject|我現在沒有時間做這件事。
dlga_lord_mission_destroy_scout_camp_accept:close_window|我們將等著你的好消息。
dlga_lord_mission_destroy_scout_camp_reject:close_window|我明白了。這真令人失望。
dlga_lord_tell_mission:lord_mission_defend_village_a|{playername}，我們收到了來自斥候的報告說一群掠奪者正在前往{s12}附近的一個村莊。
dlga_lord_mission_defend_village_a:lord_mission_defend_village_b|你能派出人馬嗎？
dlga_lord_mission_defend_village_b:lord_mission_defend_question|我們可以，但動員需要時間。恐怕到那時就太晚了。^^你和你的人馬看起來能馬上出發。你能幫忙保衛這個村莊嗎？
dlga_lord_mission_defend_question:lord_mission_defend_accept|我和我的人馬已經準備好了。我們會馬上出發的。
dlga_lord_mission_defend_question:lord_mission_defend_reject|我恐怕現在手邊沒有足夠的人馬...
dlga_lord_mission_defend_question:lord_mission_defend_reject.1|我恐怕接不了這個任務。
dlga_lord_mission_defend_accept:close_window|謝謝你，{playername}。出發吧，快！
dlga_lord_mission_defend_reject:close_window|我明白了。那我會盡快派出部隊。希望我們來得及。
dlga_lord_tell_mission:lord_mission_raid_village_a|{playername}，附近有一個村莊很適合收割。我們的斥候說他們受到{s3}的保護，但人數蠻少很容易被擊敗。^^你剛好是我告訴的第一個指揮官。你想如何利用這個情報？
dlga_lord_mission_raid_village_a:lord_raid_village_accept|我會掠奪那個村莊，殺死每一個男人，並奴役所有的女人和小孩！
dlga_lord_mission_raid_village_a:lord_raid_village_reject|我手下都是一堆弱者所以沒辦法去掠奪...
dlga_lord_mission_raid_village_a:lord_raid_village_reject.1|我沒時間去掠奪微不足道的村莊！
dlga_lord_raid_village_accept:close_window|那你還在這乾站著做什麼？
dlga_lord_raid_village_reject:close_window|懦夫的藉口。走開，你懦弱的惡臭令人噁心。
dlga_lord_active_mission_1:lord_mission_sorcerer_completed|幽暗密林的巫師已經被斬殺了，女士。
dlga_lord_active_mission_1:lord_mission_sorcerer_failed|原諒我，女士，但突發事件絆住了我害我沒能斬殺巫師，回過神來他已經逃走了。
dlga_lord_active_mission_1:lord_mission_sorcerer_failed.1|幽暗密林的巫師仍活著。我們打斷了他的儀式但他逃走了。
dlga_lord_mission_sorcerer_completed:lord_pretalk|是阿{playername}，我已經感應到了他的死亡。巫術的陰影不再籠罩森林而我失去的力量也回復了。你為我們的同胞立了大功所以該有相應的禮物。收下這個吧...
dlga_lord_mission_sorcerer_failed:lord_pretalk|是的{playername}，我感應到黑暗的法術仍壓在我們身上。他似乎更努力了。很遺憾你沒能阻止他。他無疑會更加小心不被我們發現。只要多爾哥多還健在我們大概就找不到他吧。謝謝你為此事做出的努力但讓我靜一靜吧。我累了。
dlga_lord_active_mission_1:lord_lend_companion_end|哦，你想讓你的同伴歸隊？我明白了...
dlga_lord_active_mission_1:lord_pretalk|{playername}，我得求你再有點耐心，我現在還需要你的同伴。麻煩你等事情解決了再回來找我。
dlga_lord_active_mission_1:lord_active_mission_2|是的，你有什麼進展嗎？
dlga_lord_active_mission_2:lord_generic_mission_thank|沒錯。我帶來了{reg1}名俘虜給你。
dlga_lord_active_mission_2:lord_generic_mission_thank_extra|怎麼，我帶來了{reg2}名俘虜給你，以免{reg1}名不夠。
dlga_lord_active_mission_2:lord_generic_mission_thank.1|沒錯。我從敵人手中拯救了{reg1}名友方俘虜而他們也加入我的隊伍了。
dlga_lord_active_mission_2:lord_generic_mission_thank.2|沒錯。我已經偵察過{s13}了。
dlga_lord_active_mission_2:lord_generic_mission_thank.3|沒錯。我已經派出斥候了。
dlga_lord_active_mission_2:lord_generic_mission_thank.4|沒錯。我已經擊敗夠多的敵軍隊伍了。
dlga_lord_active_mission_2:capture_enemy_hero_thank|哦，沒錯。我已經為你俘虜了一名敵軍指揮官。
dlga_capture_enemy_hero_thank:capture_enemy_hero_thank_2|萬分感謝，我的朋友。我們可以好好的審問他了。你做的很好。
dlga_capture_enemy_hero_thank_2:lord_pretalk|當然，{s65}。
dlga_capture_enemy_hero_thank_2:lord_pretalk.1|這沒什麼。
dlga_lord_active_mission_2:lord_raise_troops_thank|沒錯。我已經訓練好了{reg1}名{s13}。你可以帶走他們了。
dlga_lord_active_mission_2:lord_raise_troops_thank.1|沒錯。我已經訓練了{reg2}名部下，而其中{reg1}個在訓練中表現優良。他們已經準備好上戰場，你可以帶走他們了。
dlga_lord_active_mission_2:lord_hunt_down_fugitive_success|我在{s3}發現了躲藏的{s4}並處決了他。
dlga_lord_active_mission_2:lord_hunt_down_fugitive_fail|恐怕他逃走了。
dlga_lord_hunt_down_fugitive_success:lord_hunt_down_fugitive_success_2|那人不在我們很會過得更好的！{playername}，謝謝你，幫我把這個長久的麻煩處理掉了。很高興知道你是能被信賴處理棘手事務的。我已經跟我們的行政官講好了，今後你可以從我們這獲得額外的補給。
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_accept|謝謝你，{s65}。
dlga_lord_hunt_down_fugitive_reward_accept:lord_pretalk|我會跟我們的行政官講述你的功蹟的，{playername}。再次感謝你，為我解決掉{s44}。
dlga_lord_hunt_down_fugitive_fail:lord_pretalk|{s44}又再次擺脫了我的制裁還真是糟糕啊。{playername}，我原以為你能做到的。顯然錯了。
dlga_lord_active_mission_2:lord_active_mission_3|我還在處理。
dlga_lord_active_mission_2:lord_mission_failed|我恐怕沒辦法完成這個任務。
dlga_lord_active_mission_3:lord_pretalk|很好。記住，我就指望你了。
dlga_lord_request_mission_ask:lord_pretalk|你還沒完成我上次給你的任務，{playername}。你應該繼續處理那件事，而不是要求做別的事情。
dlga_lord_request_mission_ask:lord_pretalk.1|我現在沒有任務能給你。
dlga_lord_request_mission_ask:lord_tell_mission|任務？
dlga_lord_tell_mission:lord_mission_capture_troll_1|你是一個勇敢的僕人，{playername}，所以我會稍微透露我們的計劃給你的。我們需要怪物的血肉。我們需要扭曲它折磨它馴服它塑造它並繁殖它，用來製造和加強我們自己品種的戰士！
dlga_lord_mission_capture_troll_1:lord_mission_capture_troll_2|我該怎麼做呢，主人？
dlga_lord_mission_capture_troll_2:lord_mission_capture_troll_3|一隻野生的洞穴食人妖，{playername}。捕獲一隻強壯的樣品並帶給我，活的。我們需要一隻以上來實驗！二隻，那就更好了。越多，越好。
dlga_lord_mission_capture_troll_3:lord_mission_capture_troll_infoa|這種野獸要在哪裡才能找到？
dlga_lord_mission_capture_troll_3:lord_mission_capture_troll_infob|這種野獸該如何捕捉？
dlga_lord_mission_capture_troll_3:lord_mission_capture_troll_infoc|這種野獸該如何運送給你？
dlga_lord_mission_capture_troll_3:lord_mission_capture_troll_accepted|你將會得到你要的野生食人妖，主人。
dlga_lord_mission_capture_troll_3:lord_mission_capture_troll_rejected|發發慈悲吧，主人！那種怪物會像蟲子一樣碾死我的！
dlga_lord_mission_capture_troll_infoa:lord_mission_capture_troll_3|在這充滿血腥與黑暗的時代，野生的洞穴食人妖會興奮起來而從迷霧山脈的巢穴蔓延出來...要找的話最好的地方就是那裡的洞穴附近。
dlga_lord_mission_capture_troll_infob:lord_mission_capture_troll_3|你應該先找到一隻，並在戰鬥中拿下牠。不要害怕在戰鬥中殺死牠：食人妖皮厚到你的武器不會立即殺死牠的...牠們會恢復，比你想像的更會。當牠倒在自己的黑色血泊中後，你再把牠帶到我們的跟前，活的。
dlga_lord_mission_capture_troll_infoc:lord_mission_capture_troll_3|你將被提供一個堅固的有輪籠子。它擁有足夠的空間來容納食人妖，也可以被拖著走。在回來的路上加快你的步伐：即使是金屬籠子也不能完全抵禦被憤怒和痛苦蒙蔽的食人妖。確保牠不會掙脫並殺死你。
dlga_lord_mission_capture_troll_rejected:lord_pretalk|我可終於看清你的價值了，早該知道的。軟弱，懦夫啊{playername}。滾吧！
dlga_lord_mission_capture_troll_accepted:lord_pretalk|我就知道能指望你的力量和勇氣。奴隸們，把一個有輪籠子交給{playername}！{playername}，當你有給我的禮物時就回來吧。我要在{reg1}天後的日出之前看到它。
dlga_lord_tell_mission:lord_tell_mission_kill_troll|我們的土地正面臨著前所未聞的危機。{s3}的郊區不斷有人失蹤。不僅是平民，甚至到城牆外的小型部隊也回不來。雖然有一些奇怪的謠言，但我知道我們面臨的是什麼。
dlga_lord_tell_mission_kill_troll:lord_mission_told|野生食人妖，{playername}。巨獸，扭曲的怪物。他們從來不會遠離山區的黑暗洞穴但至少有一隻被發現在{s3}附近。我不知道這是什麼巫術帶來的，但我需要那東西被處理掉。
dlga_lord_mission_told:lord_mission_kill_troll_info_a|該如何跟那種野獸戰鬥呢？
dlga_lord_mission_kill_troll_info_a:lord_mission_told|食人妖確實是種危險的生物。在變形的肌肉中擁有難以置信力量的巨大怪物。他們的皮膚像鐵一樣堅硬，樹幹對他們只是單手用的棍子。謠言說，一個食人妖可以很容易地擊倒半打裝備精良且訓練有素的人，而且他們每個人都只需被打一擊就倒了。不僅是人連馬也害怕食人妖。如果你計劃在騎乘時衝鋒請務必小心。
dlga_lord_mission_told:lord_mission_kill_troll_info_b|你認為牠來自魔多，或艾辛格嗎？
dlga_lord_mission_kill_troll_info_b:lord_mission_told|不，我不這麼認為。我們有消息說白色巫師和黑塔都有各種怪物，但在{s3}肆虐的是一隻野蠻，未馴化的野獸。記住，可能不止一隻。但可以肯定的是敵人絕對動了什麼手腳。
dlga_lord_tell_mission:lord_mission_investigate_fangorn_0|這裡有個任務要交給像你這樣可信又勇敢的僕人，{playername}。我聽到了一些來自法貢森林的謠言。我讓下人去砍樹，甚至連手下的指揮官都派去那裡了，但他們有時卻會消失。他們，還曾經報告過士兵莫名的失蹤。把責任都推給鬼魂、森林的魂魄和詛咒...滿口胡言！都是為自己的無能和軟弱找的爛藉口罷了！
dlga_lord_mission_investigate_fangorn_0:lord_mission_investigate_fangorn_1|你要下令我做什麼，主人？
dlga_lord_mission_investigate_fangorn_0:lord_mission_investigate_fangorn_rejected|但主人，法貢森林中充滿危險和苦痛！我已經親自感受過了！
dlga_lord_mission_investigate_fangorn_1:lord_mission_investigate_fangorn_2|或許這只是我的其他僕人因為無力阻止部隊中某些膽小蟲子臨陣脫逃所想出來的藉口。這幫，迷信的蠢蛋。但，也許，他們被精靈的渣滓伏擊了，那些傢伙總喜歡躲在腐爛的樹裡。當然也是可能是洛汗那群下賤的叛徒。或是誰知道什麼鬼東西。我要你去查出來，{playername}。
dlga_lord_mission_investigate_fangorn_2:lord_mission_investigate_fangorn_accepted|我不怕精靈和魂魄。交給我吧，主人。
dlga_lord_mission_investigate_fangorn_2:lord_mission_investigate_fangorn_rejected|主人，可憐你的僕人吧！別再叫我去那個受詛咒的地方了！
dlga_lord_mission_investigate_fangorn_rejected:lord_pretalk|看來你跟其他蟲子一樣：迷信，又無用的懦夫。看來我高估你了。現在，滾吧！
dlga_lord_mission_investigate_fangorn_accepted:lord_pretalk|好。到那裡好好調查。然後向我回報。我要在{reg1}天後的日出前聽到你的報告。
dlga_lord_tell_mission:lord_mission_find_lost_spears|這裡有個任務要交給像你這樣可信又勇敢的指揮官，{playername}。我們部隊裝備的程度比不上盧恩的大群人馬，我們的軍隊一支又一支的戰敗。傳說中孤山矮人曾經為偉大的布拉多辛王(早已死去)造過一批長槍。每柄長槍都經過三次鍛造的槍尖而柄上則鑲著精雕細琢的黃金，但交易一直沒有完成...
dlga_lord_mission_find_lost_spears:lord_mission_find_lost_spears_1|你要怎麼下令，大人？
dlga_lord_mission_find_lost_spears_1:lord_mission_find_lost_spears_2|這些武器可以提高我們軍隊的效力，但更重要的是它們將提升我們人馬的士氣。你必須找到這些長槍。你得要求矮人們允許你在孤山的深處尋找長槍。當心，你可能會在隧道中遇到一些半獸人或食人妖。你能接下這個任務嗎？
dlga_lord_mission_find_lost_spears_2:lord_mission_find_lost_spears_accepted|大人，我不畏任何半獸人或食人妖！我將找回那些長槍。
dlga_lord_mission_find_lost_spears_2:lord_mission_find_lost_spears_rejected|我恐怕幫不了你，大人。
dlga_lord_mission_find_lost_spears_rejected:lord_pretalk|我看你跟英勇比顯然更謹慎。也許偵查任務會更適合你。
dlga_lord_mission_find_lost_spears_accepted:lord_pretalk|那就祝你好運吧！
dlga_lord_tell_mission:lord_mission_mirkwood_sorcerer|我們的同胞需要你的幫助，{playername}。
dlga_lord_mission_mirkwood_sorcerer:lord_mission_mirkwood_sorcerer_0|我用於保護羅斯洛立安的力量正在被敵人的法術削弱，一位來自多爾哥多的巫術大師正在用強大的魔力壓制我們的防禦。雖然他只是凡人，但卻是敵人中最擅長使用魔法的學徒之一。他的存在對我們是個巨大的威脅。你一定要找到他的藏身處並摧毀他！
dlga_lord_mission_mirkwood_sorcerer_0:lord_mission_mirkwood_sorcerer_1|我要在哪裡才能找到這個巫師，女士？
dlga_lord_mission_mirkwood_sorcerer_1:lord_mission_mirkwood_sorcerer_2|在離多爾哥多不遠的幽暗密林中，搜尋他吧。他是一位謹慎的人所以你需要潛行以免引起他的警覺。如果他逃脫，肯定會躲到另外一個我們不知道的暗處繼續他的邪惡儀式。我們只有這一次機會。你身上的擔子很重。與我們的祝福同行吧。
dlga_lord_mission_mirkwood_sorcerer_2:lord_pretalk|如妳所願，女士。我會竭盡全力剷除邪惡的。
dlga_lord_mission_mirkwood_sorcerer_2:lord_mission_mirkwood_sorcerer_rejected|請原諒我，女士。在我能幫助妳的人民之前還有一些緊迫的事情要先去完成。
dlga_lord_mission_mirkwood_sorcerer_rejected:lord_pretalk|我理解了，{playername}。但不要拖太久，對抗他的魔法讓我感到很疲憊。
dlga_lord_tell_mission:lord_mission_deliver_message|我需要寄一封信給{s13}，人應該正在{s4}。如果你會去那個方向的話，能幫我拿給他嗎？這封信需要在30天內送到他的手裡。
dlga_lord_mission_deliver_message:lord_mission_deliver_message_accepted|當然，我正打算經過{s4}所以是舉手之勞。
dlga_lord_mission_deliver_message:lord_mission_deliver_message_rejected|我恐怕近期不會去見{s13}，{s65}。你最好另外找人去送。
dlga_lord_mission_deliver_message_accepted:close_window|太好了，{playername}。拿好這封信。代我向{s13}問好。
dlga_lord_mission_deliver_message_rejected:lord_pretalk|啊，那好吧。嗯，相信我能找到其他人的。
dlga_lord_tell_mission:lord_mission_deliver_message.1|我需要送一封信給{s15}的{s13}，人應該正在{s4}。如果你要去那裡的話，能幫我送信給他嗎？這封信需要在40天內送到他的手裡。
dlga_lord_tell_mission:lord_mission_told|有件急事...我的信差要去{s14}向的指揮官報告戰況。他的行程因為路上的各種麻煩事已經延遲幾次了，但這次他必須立即出發。所以，我希望能至少能確保他有良好的護衛。我非常信任你，{playername}。如果你能護送他前往{s14}的話我會很感激的。
dlga_lord_tell_mission:lord_mission_told.1|我這裡有個朋友，一個老戰士，病得很重。傳染病感染了一個舊傷，除非他就醫，否則他肯定會死。{playername}，這人對我很重要，但他也很頑固的不相信這裡的醫生所以拒絕讓任何人治療。我聽說你有個高超的軍醫。如果你能讓軍醫來看看，{reg3？她:他}可能會說服他接受手術。拜託，如果你能答應我這個請求我將深深感激你的。
dlga_lord_tell_mission_raise_troops:lord_tell_mission_raise_troops_2|你需要多少人？
dlga_lord_tell_mission_raise_troops_2:lord_mission_raise_troops_told|如果你能訓練{reg1}名{s14}並帶給我的話，那大概就夠了。
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_accepted|沒問題，{s65}。給我{reg1}名新兵，我會把他們訓練成{s14}的。
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_alternate_1|{s65}，我提議用另一個方案。讓我帶{reg1}名未經磨練的新兵去訓練場上教個兩招吧...
dlga_lord_mission_raise_troops_alternate_1:lord_mission_raise_troops_alternate|{s65}，我提議用另一個方案...讓我帶{reg1}名未經磨練的新兵去訓練場上教個兩招吧。他們不會馬上成為{s14}，但這是向其邁出的一步。
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_rejected|我這幾天很忙沒時間訓練任何人。
dlga_lord_mission_raise_troops_accepted:close_window|你真是幫了我卸下了一個重擔，{playername}。我已經跟手下的軍士講好他會帶一些新兵給你指揮的。而且，我會先付一部分的軍費。嗯，這些應該足夠了。再次感謝你的協助。
dlga_lord_mission_raise_troops_alternate:close_window|真是個有趣的提案啊，{playername}。我會告訴我的軍士將新兵送到訓練場的。在那裡把他們打造成士兵該有的樣子吧。我會看著的。感謝你的協助。
dlga_lord_mission_raise_troops_rejected:lord_pretalk|哦，當然。我想也是。那，祝你好運吧。
dlga_lord_tell_mission:lord_mission_hunt_down_fugitive_told|我有件事你可以幫忙，關於一個被稱為{s4}無法無天的惡棍。他謀殺了我的一名保鏢並從那時起就一直在逃亡。最近有消息稱這個逃犯被人目擊到在{s3}。你或許能夠追捕他並迅速伸張正義，我會回報你的。
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_accepted|我馬上就去追捕他並以法之名處決他吧。
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_rejected|我現在太忙沒時間抓他。
dlga_lord_mission_hunt_down_fugitive_accepted:close_window|那就太棒了，{playername}。我很感激，你的勇氣也會被記住的。好吧，祝你狩獵順利。
dlga_lord_mission_hunt_down_fugitive_rejected:lord_pretalk|如你所願，{playername}。我想周圍的賞金獵人應該有不少能搞定這件事吧...
dlga_lord_tell_mission:lord_mission_told.2|有些難民正在前往{s6}。他們移動會很緩慢，因此，是我們敵人的活動靶子。保衛他們直到目的地吧。
dlga_lord_tell_mission:lord_mission_told.3|我們的間諜告訴我們有難民正在前往{s6}。他們因為老弱婦孺移動會很緩慢。狩獵他們，殺死所有男人，並把其他人抓來當奴隸吧。確保沒有任何人到達目的地！
dlga_lord_tell_mission:lord_mission_told.4|嗯，一些在{s4}的工作的奴隸逃跑了。這群忘恩負義的豬，也不想想當初是誰留下他們性命的！據我們所知，他們正死命的逃向{s3}，還分成了三組防止追捕。我要你把全部三組都抓回到{s4}，手段不限。我真想把他們都吊死作為逃跑的懲罰，不過我們現在需要人手，這次狠狠打一頓就好。
dlga_lord_tell_mission:lord_tell_mission_follow_spy|我得到可靠消息指出城裡的某人是敵方的間諜。雖然他早該被收押並絞死，但我相信他會在不久之後去和他的接應見面。這個間諜本人沒什麼價值，但他的主人卻是個危險的傢伙，如果我們能抓到他的話應該能得到很多有用的情報...
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|我希望你能在這裡等到間諜出發，然後悄悄地跟著他到接頭地點去。你得確保那個間諜不在路上發現你，否則他肯定會產生懷疑並返回的。等到他的接應出現，你就伏擊並逮捕他們再把他們帶回這裡。如果能的話，留活口。
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|交给我吧，{s65}。
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|不，我不適合做這種偷偷摸摸的工作。
dlga_lord_tell_mission_follow_spy_accepted:close_window|很好，我相信你一定會漂亮的達成任務。我的人馬會在間諜離城時告訴你，這樣你就能確定跟蹤的目標。記住，我想要他們兩人，活的。
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|遺憾啊。好吧，{playername}，你繼續去做自己的事吧...
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|我有一件難事得處理，{playername}，或許你可以幫我。我需要有人去捕獲一名敵軍指揮官並帶回來，這樣才能得知他們的計劃。這個任務聽起來很簡單，但是不論你去找誰，他們都會帶著一群精銳的貼身侍從。你能接下這個任務嗎？
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|包在我身上，{s65}。
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|我得拒絕，{s65}。我不想靠近他們中的任何一人。
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|就是這個精神！去把一名敵軍指揮官帶回來吧。等你凱旋歸來時我會在大殿中為你舉杯的！當然，也會獎勵你的貢獻...
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|看來你顯然不具備我以為你有的氣概。好吧，{playername}，我會找其他人的。
dlga_lord_tell_mission:lord_tell_mission_lend_companion|我目前沒有任務能給你，但你的同伴{s3}是一位能幹的{reg3?姑娘:傢伙}，我覺得我能用上{reg3?她:他}的才能，你能把{reg3?她:他}借給我一段時間嗎？
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|你需要{reg3?她:他}幫你多久？
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|幾天而已，最多一週。
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|我會把{s3}留下幫你一週的。
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|我很抱歉，但我的隊伍不能整整一週沒有{s3}的。
dlga_lord_tell_mission_lend_companion_accepted:close_window|{playername}，我對你的感激難以言喻。別擔心，我會盡快歸還你的同伴的。
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|好吧，還真是他媽不走運。但我也不能強迫你或{s3}同意。看來我得自己想辦法了。
dlga_lord_tell_mission:lord_mission_told.5|我們的斥候發現敵軍活動在最近變得非常頻繁。但不幸的是，他們至今都沒能成功抓回任何俘虜來讓我們獲悉敵人的動向。我需要有人幫我俘虜{reg1}名敵軍來審問。
dlga_lord_tell_mission:lord_pretalk|不，{playername}。我目前不需要你的協助。
dlga_lord_mission_told:lord_mission_accepted|包在我身上吧，{s65}。
dlga_lord_mission_told:lord_mission_rejected|我恐怕暫時不能接受這個任務。
dlga_lord_mission_accepted:close_window|太棒了，{playername}，太棒了。我相信你一定可以的。
dlga_lord_mission_rejected:close_window|真的嗎？我想你是沒能力完成任務吧。看來我得找更有氣概的人。
dlga_lord_talk:lord_leave_prison|我得走了。
dlga_lord_talk:lord_leave|我們的談話結束了。我走了。
dlga_lord_talk:lord_leave.1|我必須離開了。
dlga_lord_leave_prison:close_window|我們會再見的。
dlga_lord_leave:lord_offer_troops|{s23}{s24}我想要{reg41}個{s25}{reg42?加入:加入}你的部隊。
dlga_lord_offer_troops:close_window|謝謝，{reg42?我很高興能夠接收他們入隊:，只是恐怕我只能帶上{reg41}名}。
dlga_lord_offer_troops:close_window.1|恐怕這次我接收不下他們。
dlga_lord_leave:lord_offer_item|{s23} {s24}
dlga_lord_offer_item:close_window|謝謝，我會善用您的好意的。
dlga_lord_offer_item:close_window.1|恐怕我只好拒絕。
dlga_lord_leave:close_window|再看看吧，{playername}。
dlga_lord_leave:close_window.1|當然，{playername}。告別。
dlga_lord_leave:close_window.2|祝你一路順風，{playername}。
dlga_lord_leave:close_window.3|是的，好。告別。
dlga_lord_leave:close_window.4|我們會再見的。
dlga_start:lady_escort_lady_succeeded|{playername}，感謝你護送我到這裡，並保護了我的人身安全。你的貢獻會被記住的。
dlga_lady_escort_lady_succeeded:close_window|這是我的榮幸。
dlga_start:castle_guard_players|指揮官，你的命令是？
dlga_castle_guard_players:close_window|開門。我要進去。
dlga_castle_guard_players:close_window.1|算了。
dlga_start:castle_guard_sneaked_intro_1|滾出我的視線，乞丐！你好臭！
dlga_start:close_window.14|在我發火之前滾出我的視線吧你這臭乞丐！
dlga_castle_guard_sneaked_intro_1:castle_guard_sneaked_intro_2|我希望能進入大殿跟領主談話。
dlga_castle_guard_sneaked_intro_1:close_window|[離開]
dlga_castle_guard_sneaked_intro_2:close_window|{你/妳}，瘋了嗎？乞丐是不被允許進入大殿的。趕緊消失不然我就要扁人了。
dlga_start:castle_guard_intro_1|你想要什麼？
dlga_castle_guard_intro_1:castle_guard_intro_2|我希望能進入大殿跟領主談話。
dlga_castle_guard_intro_1:close_window|算了。
dlga_castle_guard_intro_2:castle_guard_intro_2|你可以在把武器交給我後進入，沒人能帶著武器進領主大殿。
dlga_castle_guard_intro_2:close_window|這裡，拿走我的武器吧。我要進去了。
dlga_castle_guard_intro_2:castle_guard_intro_2b|不，我不會把武器交給任何人的。
dlga_castle_guard_intro_2b:close_window|那你就不能進去。
dlga_start:castle_gate_guard_talk|你想要什麼？
dlga_castle_gate_guard_pretalk:castle_gate_guard_talk|是？
dlga_castle_gate_guard_talk:castle_gate_open|我 們 正 在 找 地 方 過 夜。你 能 讓 我 們 進 去 嗎？
dlga_castle_gate_guard_talk:request_meeting_castle_lord|我想和城堡的領主談話。
dlga_castle_gate_guard_talk:request_meeting_other|我想和城堡裡的某人談話。
dlga_castle_gate_guard_talk:close_window|[離開]
dlga_request_meeting_castle_lord:close_window|在這等著。{s2}會見你的。
dlga_request_meeting_castle_lord:castle_gate_guard_pretalk|大人目前不在這裡。
dlga_request_meeting_other:request_meeting_3|那是指誰？
dlga_request_meeting_3:close_window|算了。
dlga_request_meeting_4:request_meeting_5|在這等著。我會傳達你的要求。
dlga_request_meeting_5:request_meeting_6|我會等著的...
dlga_request_meeting_6:close_window|好吧。{s2}會跟你談談的。
dlga_request_meeting_6:close_window.1|{s2}說他不想見你。立刻離開。
dlga_castle_gate_open:close_window|{s2}大人會高興見到你的，{先生/女士}。請進。我現在就打開大門。
dlga_castle_gate_open:close_window.1|{s2}大人現在不在城堡裡。但我想他應該會允許你今晚待在這裡。請進。我現在就打開大門。
dlga_castle_gate_open:close_window.2|請進。我現在就打開大門。
dlga_castle_gate_open:close_window.3|請進。但請確保你的手下安分守己。{s2}大人不想惹上任何麻煩。
dlga_castle_gate_open:close_window.4|{s2}大人不允許你待在這裡。立刻離開。
