
str_yes|是。
str_mordor_rumor_23|多一條鞭子多一條法子。
str_isengard_rumor_begin|老頭子統治一切！
str_isengard_rumor_2|馬人是我們的食物！骯髒的傢伙！
str_isengard_rumor_3|馬人會喜歡我們的長矛驚喜的！哈哈哈！
str_isengard_rumor_4|薩魯曼有很多花招！強鋼和火石之類的！
str_isengard_rumor_5|野人很臭但老頭子很明智。他知道怎麼利用他們。
str_isengard_rumor_6|摩瑞亞的渣滓們繁殖歐羅海！大！嚇！
str_isengard_rumor_7|聰慧的主人使強獸人強壯！
str_isengard_rumor_8|座狼比馬快！座狼會吃馬！
str_isengard_rumor_9|強獸人將踩扁馬人！
str_isengard_rumor_10|碾碎！碾碎！碾碎！
str_isengard_rumor_11|強獸人會把所有老人都埋在土裡。
str_isengard_rumor_12|燒毀森林！製造武器！殺光所有馬人！
str_isengard_rumor_13|在狂戰士把我們砍成碎片前離他們遠一點！
str_isengard_rumor_14|我見過一個狂戰士被馬人的騎槍桶穿，結果他卻把那人從馬上拖下來了。
str_isengard_rumor_15|我不相信山裡的那群小半獸人豬玀。不管有沒有他們的幫助，艾辛格都會贏得這場戰爭的勝利。
str_isengard_rumor_16|白掌在上！派出那群山地蛆蟲為我們作戰究竟有什麼用？他們連一半的訓練都沒有！詛咒北方那些哥布林和半獸人！
str_isengard_rumor_17|我剛剛用我的刀刃好好地搔癢了囚犯們。有時候你需要讓那些可悲的老鼠們叫一叫。
str_isengard_rumor_18|黑邪塔的蛆蟲和老鼠只有一件事可做：他們能在黑暗中找到小東西。
str_isengard_rumor_19|我們砍伐了森林，但很多走進去的半獸人，再也沒有出來了。
str_isengard_rumor_20|多一條鞭子多一條法子。
str_rhun_rumor_begin|如草原上的風一般奔馳吧！
str_rhun_rumor_2|矮人既貪婪又卑鄙。而河谷鎮人則幫他們剝削和欺騙我們。
str_rhun_rumor_3|之前有三名巫師經過我們這裡。我在想他們究竟在做什麼。
str_rhun_rumor_4|我們地廣人稀。但我們知道如何在那裡生存。
str_rhun_rumor_5|我們曾和精靈矮人交易我們的葡萄酒和來自豐饒之地的煙斗草。但他們卻欺騙了我們！
str_rhun_rumor_6|我們來自侃德的表親喜歡步行戰鬥，但我們知道騎馬更好。
str_rhun_rumor_7|我們以前擊敗過剛鐸的軍團，這次也會！
str_rhun_rumor_8|我們的戰鬥至死方休！從不撤退、從不逃跑！即使一步也不會後退！
str_rhun_rumor_9|血色黎明正於東方升起。而血色黃昏正等待著西方！
str_rhun_rumor_10|精靈女人？不。太脆弱了！
str_rhun_rumor_11|我的每個兒子都帶了一個敵人的頭顱回來。而我的女兒則是每人一對睾丸。哈哈哈！
str_rhun_rumor_12|半獸人是種沒有技巧與勇氣的骯髒野獸。戰場上沒有他們的一席之地。
str_rhun_rumor_13|生命中最美好的東西是什麼？是親手打敗你的對手，是親眼看著他們被解決，是親耳傾聽他們妻女的悲鳴。
str_dunland_rumor_begin|除非他們在全部跪在地上求饒不然我們不會停止對稻草頭的復仇！
str_dunland_rumor_2|洛汗的混蛋和他們的馬晚上關係可好了！哈哈哈！
str_dunland_rumor_3|夜狼可以在黑暗中看清東西。即使在晚上，他們的擲槍也不會錯過目標。
str_dunland_rumor_4|去死吧佛戈伊爾！去死吧稻草頭！去死吧北方來的強盜！
str_dunland_rumor_5|他們現在叫洛汗，但那裡是我們祖先傳下來的土地！我們會以祖先之名復仇並且趕走這群骯髒的竊國賊。
str_dunland_rumor_6|別讓那群佛戈伊爾抓住你，不然他們會拷打並把你活活燒死！
str_dunland_rumor_7|我們有野狼的嗜血和野豬的力量！
str_dunland_rumor_8|佛戈伊爾覺得我們是野蠻和愚蠢的。讓我們看看當他們的騎兵遇到我們的長矛兵時他們會有什麼感想。
str_dunland_rumor_9|艾辛格的烏鴉將會啄瞎稻草頭的雙眼，而登蘭德的狼群將會撕裂他們的喉嚨。
str_dunland_rumor_10|我空手宰了一頭狼。下次我會像樹枝一樣扭斷馬人的脖子！呵！
str_dunland_rumor_11|我們的酋長在古塚裡發現了一把青銅古劍。他把劍空手掰彎並扔在了沼澤裡。群山的魂魄肯定會站在我們這邊。這是我們的傳統。
str_dunland_rumor_12|我的祖先曾先後跟費瑞卡與沃夫一起對抗該死的佛戈伊爾。我們永遠銘記他們的勇氣。
str_beorn_rumor_begin|樹林很廣而各種各樣的生物都住在裡面。
str_beorn_rumor_2|野生蜜蜂會製造最棒的蜂蜜！
str_beorn_rumor_3|森林精靈善良，但難以捉摸。山裡的矮人快樂且吵鬧。河谷鎮的人們則很勤勞。
str_beorn_rumor_4|我們看到很多奇怪的野獸穿過了我們的土地。
str_beorn_rumor_5|我睡整晚，然後我整天工作！
str_beorn_rumor_6|邪惡從山的另一邊爬過來了。
str_beorn_rumor_7|大森林不再是以前的那個樣子了！
str_beorn_rumor_8|決定斧頭好壞的不是刃，而是把手。
str_beorn_rumor_9|我們去年睡了一整個冬天。什麼？對啊，你要在秋天吃很多東西才能挺得過冬天。
str_beorn_rumor_10|洛汗的人是我們的親屬，熊是我們的血，哥布林是我們的獵物！
str_beorn_rumor_11|變成熊？我們當然不會。誰跟你說的？哈哈哈！
str_beorn_rumor_12|比翁曾是個偉大的人類。哦，說錯了，他並不是人類，他是巨人！
str_beorn_rumor_13|最好最勇敢的山林人戰士不怕森林的陰影。他們就像半獸人和其他躲在森林裡的骯髒東西一樣可以在黑暗中戰鬥。
str_beorn_rumor_14|不要單獨在山上徘徊！熊和狼會遠離大群人。但飢餓，或者某些人口中的-黑暗魂魄，可能會驅使牠們靠近並攻擊你。
str_lorien_rumor_begin|啊，羅瑞安！寒冬降臨，這荒涼蕭索的時日；木葉落入激流，大河滔滔而逝。
str_lorien_rumor_2|別說凱蘭崔爾女士的壞話！在她身上和這片土地上，絕無邪惡，除非一個人自己將邪惡帶來，而若是這樣的話，他才要當心！
str_lorien_rumor_3|這世界的確充滿了危險，其中也有不少黑暗之處。但是，也仍有許多美麗的事物，儘管如今在所有的地方，愛都交織著悲傷，但或許還是愛佔了上風。
str_lorien_rumor_4|善惡從來都不曾改變。它們在精靈和矮人當中，與在人類當中並無不同。人有責任辨別善惡，無論他是身在金色森林中，還是在自己家園裡。
str_lorien_rumor_5|憎恨通常傷害的是自身！
str_lorien_rumor_6|古代魔法保護著羅斯洛立安，這力量是如此的強大連黑暗都不敢挑戰它。
str_lorien_rumor_7|歡迎你的到來啊客人！你在金色森林裡是安全的。休息-請休息吧、吃點東西喝點水。如果你之後要離開，也帶走你在羅瑞安的美好回憶吧。
str_lorien_rumor_8|據說大海在呼喚著每個人，或早或晚。有天我也會聽到海鷗的鳴叫，永遠的離開歌之黃金谷。我希望這將是一個漫長的旅程。
str_lorien_rumor_9|莫慌莫怕！我們這不僅僅是由灰色斗篷所保護的。
str_imladris_rumor_begin|願精靈，人類並所有自由子民的祝福與你們同在。
str_imladris_rumor_2|願群星光照耀你的面龐！
str_imladris_rumor_3|倘若借由破壞事物來發掘其本質那就已經背離了智慧之道。
str_imladris_rumor_4|我們必須選一條艱難的路，一條無人料到的路。那才是我們的希望所在，假使那是希望的話。
str_imladris_rumor_5|只有篤定無疑地預見結局的人才會絕望，而我們並非如此。
str_imladris_rumor_6|再冷的寒冬鮮花依舊在來年盛開，再長的黑夜太陽依舊在明日升起。
str_imladris_rumor_7|我上次前往戰場的時候很多人就已經集結起來了。我們利劍的閃光就好像原野上的星火一般。現在很少有人離開伊姆拉崔了。
str_imladris_rumor_8|別害怕！星辰之子已經拿起武器再次立於勇敢的伊甸人身旁。可能也是最後一次了，誰知道呢？我們將唱起戰爭與火焰的歌謠，結束這漫漫長夜。
str_imladris_rumor_9|我看到從東方來的人類帶著黑暗之主的戰旗，就好像又一次看到了他們的祖先一樣-無數的騎兵在最後同盟的閃耀盾牆之前粉碎。真希望伊甸人的記憶和我們的一樣長。
str_woodelf_rumor_begin|從前有位精靈少女，/猶如晴日一顆明星：/白色披肩金黃飾邊，/腳下所履燦燦灰銀。
str_woodelf_rumor_2|時間從不停留，但是生長和變化的情況，並不是萬物各地千篇一律。對精靈而言，世界在運行，運行得既非常迅速又極其緩慢。迅速，是因為他們自身幾乎不變，但其他一切都如白駒過隙：這令他們十分悲傷緩慢，是因為他們不需要計算流逝的歲月，起碼，不為自己計算，四季的更替不過是時間長河裡永無休止重複的漣漪而已。
str_woodelf_rumor_3|黑暗和邪惡正在逐漸玷污這片美麗的森林。除非被阻止，不然他們將毀滅所有希望，和光明。
str_woodelf_rumor_4|快速且靈巧，安靜且精確，我們目前還能把黑暗擋在外面。但能持續多久呢？
str_woodelf_rumor_5|噓！保持安靜！這周圍有可能有半獸人潛伏著。我們要保持警惕！
str_woodelf_rumor_6|*盯著你，明顯因你的存在而感到厭煩*
str_woodelf_rumor_7|你來這裡的目的是什麼？我們必須知道你的目的。因為到處都有薩魯曼的間諜。
str_woodelf_rumor_8|河谷鎮的伊甸人這些日子都會做些複雜的玩具！看起來他們從矮人那裡學了很多東西。
str_woodelf_rumor_9|多爾哥多的邪惡陰影正在擴散。邪惡的生物被目擊出現在了森林裡，我們的前哨遭到攻擊，獵人們失蹤。我們現在每支巡邏隊都至少有35名士兵，我們就是那麼害怕了！
str_dale_rumor_begin|之前是龍，現在又是這個...
str_dale_rumor_2|來自北方的半獸人威脅就已經夠了，現在大群的東方人也來了！
str_dale_rumor_3|自從打敗了龍以後，我們學會了如何尋找敵人的弱點。
str_dale_rumor_4|我們和矮人盟友絕對不會讓東方人越雷池一步的。
str_dale_rumor_5|你在長湖看過日出麼？那種美景簡直無法形容。但是現在我只能看到天邊的血色。這可不是什麼好兆頭。
str_dale_rumor_6|矮人太過執著於寶藏了。到現在我們都不知道應該如何評價索林橡木盾。
str_dale_rumor_7|洛汗人與我們是表親而他們的語言也和我們的很相似。
str_dale_rumor_8|你知道嗎？長湖鎮的名字來自於精靈語的蘆葦，因為這裡的岸邊長滿了蘆葦。
str_dale_rumor_9|龍是一種可怕的怪物，沒人希望再次遇見牠。
str_dale_rumor_10|我們的經濟來源於與矮人和精靈的貿易。但和矮人討價還價簡直自討苦吃。那樣獲利很少。
str_harad_rumor_begin|黑蛇將迅速發起致命的攻擊。
str_harad_rumor_2|大蛇在上！我們的野獸將把剛鐸人踏扁。
str_harad_rumor_3|為了薩魯曼的賞金燒殺擄掠！
str_harad_rumor_4|剛鐸有大量的黃金與寶石。那之後的土地還有更多。
str_harad_rumor_5|我們會捕捉很多西方的懦夫並把他們獻祭給蛇神。
str_harad_rumor_6|海盜有他們的用處，他們航海技術高超，但是舉止粗暴外觀骯髒且行為鬼祟。
str_harad_rumor_7|來自哈拉德的黑豹會在夜晚的掩護下捕獵獵物。我們的敵人根本不會察覺他們的到來。
str_harad_rumor_8|侃德的戰士是兇猛且無畏，但戰術太簡單了。
str_harad_rumor_9|我期望的是來自西方優質的戰利品，因為酋長已經做過保證了。之後我就可以回家安靜地開間地毯店了。
str_harad_rumor_10|你最好離毛象遠一點。他們是性子惡劣的野獸而且可以瞬間壓扁你。
str_harad_rumor_11|在哈拉德，我們有沙漠和叢林，山脈和海洋。我們的人民和土地一樣多樣化而人種也和沙子一樣多。
str_harad_rumor_12|在哈隆鐸的許多騎士都喜歡軍刀勝於直刀。因為他們相當有利於砍倒逃跑的農民，但你需要一支長槍或一把好劍來穿透強韌的鎧甲。
str_harad_rumor_13|我的親兄弟選擇加入卡爾卡-他現在是個斥候。'獠牙'的騎手可不是件輕鬆的工作，但對熱血青年來說卻是很好的經驗。
str_harad_rumor_14|不要試圖與獅子兄弟會戰鬥！他們的聲譽可不是白來的。
str_harad_rumor_15|我希望我們能有更多的黑鐵製武器。很多人還在用青銅。甚至還有人手持木棍和黑玻璃標槍，赤身裸體加入戰鬥。
str_gunda_rumor_begin|把溫暖土地從人類手中奪過來！
str_gunda_rumor_2|老頭子承諾了溫暖的洞穴。
str_gunda_rumor_3|在冰冷山脈中躲藏的日子已經夠了！現在我們要進軍人類溫暖的土地。
str_gunda_rumor_4|我們在山中隧道裡看到了一位鬼祟的傢伙，但一直沒辦法抓到他，我們還沒靠近他就憑空消失了。
str_gunda_rumor_5|艾辛格的傢伙們覺得他們比我們更特別但那只不過是因為老頭子給他們的裝備比較好而已。
str_gunda_rumor_6|我們會燒了人類的村莊來取暖。
str_gunda_rumor_7|人類會先體驗到我們帶來的凍傷，然後是燙傷。哈哈哈！
str_gunda_rumor_8|阿佐格和博魯格當初差點就擊敗矮人、精靈和人類的聯軍了，要不是怪鳥和熊人救了他們。*呸*
str_gunda_rumor_9|矮人肉又硬又多筋。人肉比較好吃。
str_gunda_rumor_10|來自樹林的熊人把波大石給吃了。不走運的波大石！哈哈哈！
str_gunda_rumor_11|有些傢伙搬到了摩瑞亞，那裡地方挺大的。但炎魔在深處。最好離遠一點！
str_moria_rumor_begin|當你聽見鼓聲-快逃然後躲起來！
str_moria_rumor_2|炎魔在深處！
str_moria_rumor_3|咚！咚！咚！深淵之鼓。
str_moria_rumor_4|摩瑞亞很大，但沒有任何矮人在這裡躲著了。
str_moria_rumor_5|矮人挖得太深。結果卻便宜了。我們哈哈哈！
str_moria_rumor_6|摩瑞亞的隧道太多了。我們不會進入所有的。
str_moria_rumor_7|一些人類和矮人前段時間潛行通過了我們位於礦坑的哨兵。從那時起就加強戒備了。
str_moria_rumor_8|矮人將永遠不會踏足這裡！永遠！
str_moria_rumor_9|當我們聚集了足夠的部隊，我們會去燒毀精靈的樹林。
str_moria_rumor_10|摩瑞亞食物不多。我們很餓。必須抓人類和精靈！
str_moria_rumor_11|有些人去了南方的森林。沒有一個出來的。
str_umbar_rumor_begin|所有的海洋將臣服於黑帆之下！
str_umbar_rumor_2|剛鐸已經沒有船讓我們沉了，讓我們去內陸搜刮吧。
str_umbar_rumor_3|我們的暗夜掠奪者可以在黑暗中和光天化日之下戰鬥。他們帶領我們的斥候隊伍前往內陸。
str_umbar_rumor_4|剛鐸人不會航海！他們都是旱鴨子。
str_umbar_rumor_5|我們曾經殺了剛鐸的國王。但他們現在連給我們殺的國王都沒有了。
str_umbar_rumor_6|卑鄙的剛鐸人前幾年把我們的艦隊燒了。現在到該償還的時候了。
str_umbar_rumor_7|海上可從來沒東西能夠嚇倒海盜的。但我們有聽到一些令人不安地上怪物的謠言。
str_umbar_rumor_8|我們會像巨浪一樣席捲剛鐸並奪回之前失去的土地。
str_umbar_rumor_9|你知道麼？哈拉德人竟然不喜歡喝蘭姆酒。我們倒是喜歡的很，喝完之後握魚叉的手才會穩！
str_umbar_rumor_10|我曾見過侃德的維瑞亞人戰鬥。我可不想在戰場上遇到他們。幸好我們是一夥的。
str_khand_rumor_begin|無論多麼血腥，戰鬥就是戰鬥。但撤退才是最大的恥辱！
str_khand_rumor_2|一旦拔劍，不見血絕不歸鞘！
str_khand_rumor_3|大地在我們重型鐵甲騎兵的腳下顫抖，而敵人在我們的名聲下顫抖。
str_khand_rumor_4|這次我們留下戰車了，這樣我們就能在敵人沒有防備的情況下突襲他們了。
str_khand_rumor_5|我們是來自侃德的維瑞亞人，在任何地方都是最勇猛的戰士！
str_khand_rumor_6|盧恩戰士也很勇猛，但他們在馬背上戰鬥，我們則傾向於步行擊倒敵人。
str_khand_rumor_7|我們曾跟剛鐸人打過，這次我們會永遠解決掉他們的。
str_khand_rumor_8|西方人的國度既脆弱又腐朽。他們並沒有戰士的魂魄。他們很快就會倒在我們的劍和斧之下。
str_khand_rumor_9|我們不是為了金子和奴隸，而是為榮譽和榮耀奮戰！
str_khand_rumor_10|西方人都很傲慢，他們不知道自己將面對的力量是什麼！
str_khand_rumor_11|我們和盧恩、魔多、還有哈拉德交易。有的時候我們也攻擊他們。這就是我們的生存方式。
str_khand_rumor_12|你準備好戰士面具了嗎？你很快就要用到它了！如果敵人看不到你的臉的話，他的魂魄是沒辦法找到你的。
str_good_rumor_begin|真金未必閃亮，浪子未必迷途；老而彌堅不會凋萎，深根隱埋不懼嚴霜冷灰中熱火甦醒，暗影中光明跳盪；青鋒斷刃將重鑄，無冕者再臨為王。
str_good_rumor_2|半獸人夜戰很強但白天虛弱。
str_good_rumor_3|強獸人是特殊品種的半獸人而且他們不畏陽光！
str_good_rumor_4|在每一次失敗和喘息之後，魔多的陰影都會使用另一種形態再次捲土重來。
str_good_rumor_5|死亡沼澤...一個污穢到極致且無法用任何手段治癒的地方。
str_good_rumor_6|魔多的陰影只會模仿，而不會自己創造：它並沒有一樣東西是真正屬於自己的。我並不認為它給了那些半獸人生命，只不過是扭曲並糟蹋了他們而已。
str_good_rumor_7|當這裡還住滿精靈的時候人們稱之為綠森。是整個中土世界北方最偉大的森林。但現在大家都稱這裡為幽暗密林。各式各樣的邪惡生物都在這裡遊蕩。
str_good_rumor_8|阿苟納斯，王之柱，剛鐸古老北方邊境的偉大守護者。
str_good_rumor_9|阿蒙漢是南希索湖周圍三個山峰中最靠西的那個。
str_neutral_rumor_begin|任何事都有可能在一夕之間改變...
str_neutral_rumor_2|死亡沼澤...一個污穢到極致的地方。
str_neutral_rumor_3|這片大地曾經很不一樣。
str_neutral_rumor_4|人在晚上戰鬥力會變弱。但有些人習慣在黑暗中看清東西。
str_evil_rumor_begin|半獸人夜戰比較強，人類則是白天比較強。
str_evil_rumor_2|長矛剋騎兵，弓箭剋步兵而盾剋弓兵！
str_evil_rumor_3|大河上懦夫們的大雕像再不久就會倒下啦。
str_legendary_rumor_begin|傳說中法貢森林裡面的樹會互相見面說話。
str_legendary_rumor_amonhen|有人說在安都因河流域有個特殊的地點，那裡有巨型雕像屹立著。
str_legendary_rumor_deadmarshes|有謠言說死亡沼澤中的死人看起來都像活著的。
str_legendary_rumor_mirkwood|有非半獸人的生物在幽暗密林周圍徘徊。
str_legendary_rumor_fangorn|最好避開法貢森林。那裡會發生奇怪的事情。
str_last_rumor|我最近沒聽到過任何有趣的事情。
str_ent_rumor_begin|現在先別著急...
str_ent_rumor_2|且把世間活物之名記心頭！先表四個，自由行走的民族：最年長的，是精靈；鑿山矮人，居暗穴；土裡生長是樹人，壽比山嶺；終有一死是凡人，馴馬好手。
str_ent_rumor_3|古樹人語是種很可愛的語言，但是想用它說什麼事情都需要很長時間。所以我們一般不會用它說話，除非這件事值得花費我們很長時間去聽，和說。
str_gondor_rank_0|剛鐸的平民
str_gondor_rank_1|剛鐸的士兵
str_gondor_rank_2|剛鐸的軍士
str_gondor_rank_3|剛鐸的騎士
str_gondor_rank_4|剛鐸的塔衛
str_gondor_rank_5|剛鐸的堡壘騎士
str_gondor_rank_6|剛鐸的攝政王守衛
str_gondor_rank_7|剛鐸的隊長
str_gondor_rank_8|剛鐸的冠軍勇士
str_gondor_rank_9|剛鐸的英雄
str_dwarf_rank_0|綠鬍的矮人
str_dwarf_rank_1|矮人的礦工
str_dwarf_rank_2|矮人的戰士
str_dwarf_rank_3|長鬍的矮人
str_dwarf_rank_4|矮人的斧手
str_dwarf_rank_5|矮人的斧師
str_dwarf_rank_6|灰鬍的矮人
str_dwarf_rank_7|矮人的隊長
str_dwarf_rank_8|矮人的首領
str_dwarf_rank_9|大殿的英雄
str_rohan_rank_0|凱奧爾，洛汗的平民
str_rohan_rank_1|鄉紳，洛汗的僕人
str_rohan_rank_2|李歐德，洛汗的自由民
str_rohan_rank_3|洛希爾，洛汗的騎手
str_rohan_rank_4|沙德波拉，洛汗的攜盾者
str_rohan_rank_5|沙魏德波拉，洛汗的攜劍者
str_rohan_rank_6|弗鲁姆加，洛汗的槍首
str_rohan_rank_7|貝爾多拉，洛汗的頭號顧問
str_rohan_rank_8|伊歐，洛汗的貴族
str_rohan_rank_9|哈拉斯，洛汗的英雄
str_mordor_rank_0|蟲子
str_mordor_rank_1|奴隸
str_mordor_rank_2|葛哥洛斯的背刺者
str_mordor_rank_3|西力斯昂哥的哨兵
str_mordor_rank_4|烏頓的奴隸監工
str_mordor_rank_5|德桑的掠奪者
str_mordor_rank_6|黑門的看守
str_mordor_rank_7|米那斯魔窟的隊長
str_mordor_rank_8|黑邪塔的指揮官
str_mordor_rank_9|人類的災禍
str_isengard_rank_0|老鼠
str_isengard_rank_1|奴隸
str_isengard_rank_2|曲柄轉動者
str_isengard_rank_3|焚樹者
str_isengard_rank_4|座狼飼養者
str_isengard_rank_5|煉鐵者
str_isengard_rank_6|鍛造主
str_isengard_rank_7|奧桑克塔的隊長
str_isengard_rank_8|軍團的指揮官
str_isengard_rank_9|巫師的白掌副手
str_lorien_rank_0|薩多，忠於羅瑞安之人
str_lorien_rank_1|託隆，羅瑞安的森林行者
str_lorien_rank_2|密法隆，羅瑞安的灰之獵人
str_lorien_rank_3|提恩迪里斯，羅瑞安的灰之守衛
str_lorien_rank_4|丹吉爾，羅瑞安的攜盾者
str_lorien_rank_5|瑪格拉吉爾，羅瑞安的攜劍者
str_lorien_rank_6|提拉布蘭農，羅瑞安的守望者
str_lorien_rank_7|格勞基爾，羅瑞安的宗師
str_lorien_rank_8|加拉迪爾，羅瑞安的光之主
str_lorien_rank_9|沙理安，羅瑞安的英雄
str_imladris_rank_0|哈諾，伊姆拉崔的兄弟
str_imladris_rank_1|瑪卡，伊姆拉崔的戰士
str_imladris_rank_2|辛達克洛，伊姆拉崔的灰之斗篷
str_imladris_rank_3|盧伊納克洛，伊姆拉崔的藍之斗篷
str_imladris_rank_4|圖爾瑪柯林多，伊姆拉崔的攜盾者
str_imladris_rank_5|蘭哥柯林多，伊姆拉崔的攜劍者
str_imladris_rank_6|阿拉托，伊姆拉崔的冠軍勇士
str_imladris_rank_7|赫斯托，伊姆拉崔的隊長
str_imladris_rank_8|盧南多，伊姆拉崔的救星
str_imladris_rank_9|卡洛，伊姆拉崔的英雄
str_woodelf_rank_0|薩多，忠於綠森之人
str_woodelf_rank_1|託隆，綠森的森林行者
str_woodelf_rank_2|赫法隆，綠森的獵人大師
str_woodelf_rank_3|卡勒恩迪里斯，綠森的綠之守衛
str_woodelf_rank_4|丹吉爾，綠森的攜盾者
str_woodelf_rank_5|瑪格拉吉爾，綠森的攜劍者
str_woodelf_rank_6|提拉布蘭農，綠森的守望者
str_woodelf_rank_7|彭格迪爾，綠森的弓手大師
str_woodelf_rank_8|阿瑪格，綠森的王家劍士
str_woodelf_rank_9|沙理安，綠森的英雄
str_dale_rank_0|河谷鎮的平民
str_dale_rank_1|河谷鎮的自由民
str_dale_rank_2|河谷鎮的士兵
str_dale_rank_3|河谷鎮的船夫
str_dale_rank_4|河谷鎮的攜盾者
str_dale_rank_5|河谷鎮的攜劍者
str_dale_rank_6|巴丁，河谷鎮的弓兵
str_dale_rank_7|河谷鎮的隊長
str_dale_rank_8|河谷鎮的湖主
str_dale_rank_9|河谷鎮的英雄
str_harad_rank_0|部落的新人
str_harad_rank_1|部落的成年人
str_harad_rank_2|部落的戰士
str_harad_rank_3|弒獅者
str_harad_rank_4|耍蛇人
str_harad_rank_5|毛象管理員
str_harad_rank_6|黑蛇守衛
str_harad_rank_7|哈隆鐸的隊長
str_harad_rank_8|大沙漠的將軍
str_harad_rank_9|黃金之蛇
str_rhun_rank_0|盧恩的平原民
str_rhun_rank_1|盧恩的農奴
str_rhun_rank_2|盧恩的戰士
str_rhun_rank_3|盧恩的公牛戰士
str_rhun_rank_4|盧恩的攜盾者
str_rhun_rank_5|盧恩的攜劍者
str_rhun_rank_6|盧恩的騎師
str_rhun_rank_7|盧恩的軍閥
str_rhun_rank_8|草原氏族的酋長
str_rhun_rank_9|克哈穆爾的副手
str_khand_rank_0|侃德的平原民
str_khand_rank_1|侃德的農奴
str_khand_rank_2|侃德的戰士
str_khand_rank_3|侃德的雄鷹戰士
str_khand_rank_4|侃德的攜盾者
str_khand_rank_5|侃德的攜劍者
str_khand_rank_6|侃德的騎師
str_khand_rank_7|維瑞亞的軍閥
str_khand_rank_8|維瑞亞氏族的酋長
str_khand_rank_9|傳奇征服者
str_umbar_rank_0|旱鴨子
str_umbar_rank_1|打雜手
str_umbar_rank_2|水手
str_umbar_rank_3|魚叉手
str_umbar_rank_4|割喉者
str_umbar_rank_5|搜刮者
str_umbar_rank_6|航海師
str_umbar_rank_7|昂巴的船長
str_umbar_rank_8|艦隊的指揮官
str_umbar_rank_9|海洋的總司令
str_moria_rank_0|蛆蟲
str_moria_rank_1|奴隸
str_moria_rank_2|隧道之鼠
str_moria_rank_3|洞穴的徵糧手
str_moria_rank_4|礦坑的搜刮者
str_moria_rank_5|大殿的掠奪者
str_moria_rank_6|矮人的剋星
str_moria_rank_7|哥布林的軍閥
str_moria_rank_8|哥布林的酋長
str_moria_rank_9|來自深淵的恐懼
str_guldur_rank_0|蟲子
str_guldur_rank_1|奴隸
str_guldur_rank_2|葛哥洛斯的背刺者
str_guldur_rank_3|西力斯昂哥的哨兵
str_guldur_rank_4|烏頓的奴隸監工
str_guldur_rank_5|德桑的掠奪者
str_guldur_rank_6|黑門的看守
str_guldur_rank_7|米那斯魔窟的隊長
str_guldur_rank_8|黑邪塔的指揮官
str_guldur_rank_9|人類的災禍
str_gundabad_rank_0|糞便
str_gundabad_rank_1|奴隸
str_gundabad_rank_2|隧道之鼠
str_gundabad_rank_3|洞穴的徵糧手
str_gundabad_rank_4|丘陵的搜刮者
str_gundabad_rank_5|山脈的掠奪者
str_gundabad_rank_6|矮人的剋星
str_gundabad_rank_7|座狼騎手的軍閥
str_gundabad_rank_8|巨型哥布林
str_gundabad_rank_9|北方的擄掠者
str_dunland_rank_0|小狗
str_dunland_rank_1|狗
str_dunland_rank_2|軍犬
str_dunland_rank_3|狼
str_dunland_rank_4|強壯的狼
str_dunland_rank_5|可怕的狼
str_dunland_rank_6|巨狼
str_dunland_rank_7|狼群的領導
str_dunland_rank_8|氏族的酋長
str_dunland_rank_9|費瑞卡的復仇者
str_beorn_rank_0|森林的幼獸
str_beorn_rank_1|森林的追蹤者
str_beorn_rank_2|森林的獵人
str_beorn_rank_3|森林的遊俠
str_beorn_rank_4|森林的攜盾者
str_beorn_rank_5|森林的攜斧者
str_beorn_rank_6|森林的熊
str_beorn_rank_7|森林的巨熊
str_beorn_rank_8|森林的巨人
str_beorn_rank_9|森林的英雄
str_tld_introduction|TLD介紹—你應該前往伊多拉斯。
str_tld_erebor_dungeon|這附近有死亡的氣息。我應該小心一點。
str_tld_spear_hit|噢！
str_fullname_region_unknown|無名之地，中土世界的某處
str_fullname_region_pelennor|帕蘭諾平原，米那斯提力斯周邊的平原，剛鐸王國的首都
str_fullname_region_subfac_pelargir|蘭班寧領，剛鐸王國的一部分
str_fullname_region_subfac_dol_amroth|貝爾法拉斯，剛鐸南部的沿海地區
str_fullname_region_subfac_ethring|林羅谷，剛鐸王國的一個山谷
str_fullname_region_subfac_lossarnach|羅薩納奇領，又稱為鮮花谷，剛鐸王國的一部分
str_fullname_region_subfac_pinnath_gelin|皮那斯傑林的綠丘陵，剛鐸王國的一部分
str_fullname_region_subfac_blackroot|拉密頓領，剛鐸王國的一部分
str_fullname_region_n_ithilien|北伊錫利恩，剛鐸王國最東部的省份
str_fullname_region_c_ithilien|艾明亞南，伊錫利恩中部的丘陵，在米那斯提力斯大河的對岸
str_fullname_region_s_ithilien|南伊錫利恩，剛鐸王國最東部的省份
str_fullname_region_druadan_forest|督伊頓森林，德魯伊甸人的剛鐸森林
str_fullname_region_firien_wood|費理安森林，耳語森林，剛鐸的橡樹林
str_fullname_region_anorien|安諾瑞安，太陽之地，安都因河和白色山脈之間的山谷
str_fullname_region_rohan0|福爾德，洛汗之心
str_fullname_region_rohan1|東埃姆內特，洛汗的一部份，騎手之地
str_fullname_region_rohan2|西埃姆內特，洛汗的一部份，騎手之地
str_fullname_region_rohan3|東谷，洛汗的一部份，騎手之地
str_fullname_region_rohan4|西谷，洛汗的一部份，騎手之地
str_fullname_region_rohan5|聖盔谷，白色山脈中的山谷，洛汗領地
