
str_yes|する
str_gundabad_rank_0|糞
str_gundabad_rank_1|スナガ
str_gundabad_rank_2|坑道のねずみ
str_gundabad_rank_3|洞窟の食料調達係
str_gundabad_rank_4|丘の略奪者
str_gundabad_rank_5|山の略奪者
str_gundabad_rank_6|ドワーフ殺し
str_gundabad_rank_7|ワーグ騎兵団長
str_gundabad_rank_8|偉大なるゴブリン
str_gundabad_rank_9|北方の略奪者
str_dunland_rank_0|仔犬
str_dunland_rank_1|犬
str_dunland_rank_2|軍犬
str_dunland_rank_3|狼
str_dunland_rank_4|大狼
str_dunland_rank_5|ダイアウルフ
str_dunland_rank_6|巨狼
str_dunland_rank_7|狼の長
str_dunland_rank_8|一族の長老
str_dunland_rank_9|フレカの復讐
str_beorn_rank_0|森の仔熊
str_beorn_rank_1|森の追跡者
str_beorn_rank_2|森の狩人
str_beorn_rank_3|森の野伏
str_beorn_rank_4|森の盾
str_beorn_rank_5|森の斧使い
str_beorn_rank_6|森の熊
str_beorn_rank_7|森の大熊
str_beorn_rank_8|森の巨人
str_beorn_rank_9|森の英雄
str_tld_introduction|TLD序章 ― まずはエドラスを訪れましょう。
str_tld_erebor_dungeon|ここは死の匂いでいっぱいだ。 注意しよう。
str_tld_spear_hit|{いてて/痛い}！
str_fullname_region_unknown|中つ国の名もなき一帯
str_fullname_region_pelennor|ゴンドール領の中心、 ミナス・ティリス周辺に広がる、 ペレンノール野
str_fullname_region_subfac_pelargir|ゴンドール領、 レベンニンの国
str_fullname_region_subfac_dol_amroth|ゴンドール南部の沿岸地帯、 ベルファラス
str_fullname_region_subfac_ethring|ゴンドール領内の渓谷、 リングロ谷
str_fullname_region_subfac_lossarnach|花咲くアルナハとも呼ばれる、 ゴンドール領、 ロスサールナッハの国
str_fullname_region_subfac_pinnath_gelin|ゴンドール領、 ピンナス・ゲリンの緑丘陵
str_fullname_region_subfac_blackroot|ゴンドール領、 ラメドンの国
str_fullname_region_n_ithilien|ゴンドール領の極東地域、 北イシリアン
str_fullname_region_c_ithilien|大河をはさんでミナス・ティリスと反対側に位置する、 イシリアン中央部の丘陵地、 エミン・アルネン
str_fullname_region_s_ithilien|ゴンドール領の極東地域、 南イシリアン
str_fullname_region_druadan_forest|ドルーエダイン人のゴンドールの森、 ドルーアダンの森
str_fullname_region_firien_wood|囁く森と呼ばれるゴンドールのカシの木の森、 フィリエン森
str_fullname_region_anorien|白の山脈とアンドゥインの大河にはさまれた渓谷、 太陽の地、 アノリアン
str_fullname_region_rohan0|ローハンの中心、 フォルデ
str_fullname_region_rohan1|ローハン領の騎士国、 イーストエムネト
str_fullname_region_rohan2|ローハン領の騎士国、 ウェストエムネト
str_fullname_region_rohan3|ローハン領の騎士国、 イーストフォルド
str_fullname_region_rohan4|ローハン領の騎士国、 ウェストフォルド
str_fullname_region_rohan5|ローハンにある白の山脈の峡谷、 ヘルム峡谷
str_fullname_region_the_wold|ローハンの騎士国北東部の一帯、 ウォルド
str_fullname_region_gap_of_rohan|ローハンの最西端に位置し、 ロヒアリムと褐色人の争う、 ローハン谷
str_fullname_region_entwash|ローハンのエント川とアンドゥイン川の合流地点、 エント川口
str_fullname_region_wetwang|滝沢の湿地帯、 ニンダルヴ
str_fullname_region_dead_marshes|かつてダゴルラドの戦いが行われ、 いまは呪われた地となった古の戦場、 死者の沼地
str_fullname_region_isengard|アイゼンガルド周辺の一帯
str_fullname_region_fangorn|木々が話すと言われる、 ファンゴルンの森
str_fullname_region_brown_lands|エミン・ムイルと闇の森のあいだに広がる広大な一帯、 茶色の国
str_fullname_region_dagorlad|モルドールの門のまえに広がる木の一本も生えない荒野、 戦場が原、 ダゴルラド
str_fullname_region_n_undeep|アンドゥイン河のふたつの大きな蛇行地点のうちの大きいほう、 北の浅地
str_fullname_region_s_undeep|アンドゥイン河のふたつの大きな蛇行地点のうちの小さいほう、 南の浅地
str_fullname_region_emyn_muil|エント川上流の岩だらけの丘陵地帯、 エミン・ムイル
str_fullname_region_misty_mountains|霧ふり山脈の山すそ
str_fullname_region_lorien|金のマルローンの生えるシンダール・エルフの森、 ロスローリエン
str_fullname_region_anduin_banks|霧ふり山脈と闇の森のあいだに位置する、 アンドゥインの渓谷
str_fullname_region_n_mirkwood|闇の森北部の深い森、 シルヴァン・エルフの国
str_fullname_region_s_mirkwood|奇妙な生き物たちが生息するといわれる深い森、 闇の森南部
str_fullname_region_above_mirkwook|北にある闇の森と灰色山脈にはさまれた一帯、 ロヴァニオン北部
str_fullname_region_grey_mountains|ドワーフの居住する、 灰色山脈の山すそ
str_fullname_region_mordor|サウロンの闇の世界、 モルドール
str_fullname_region_dimrill|モリアの山々のふもとにある、 おぼろ谷
str_fullname_region_s_rebor|はなれ山のふもとに位置する、 谷間の国の領域
str_shortname_region_unknown|名もなき一帯
str_shortname_region_pelennor|ペレンノール野
str_shortname_region_subfac_pelargir|レベンニン領国
str_shortname_region_subfac_dol_amroth|ベルファラス
str_shortname_region_subfac_ethring|リングロ谷
str_shortname_region_subfac_lossarnach|ロスサールナッハ領国
str_shortname_region_subfac_pinnath_gelin|ピンナス・ゲリン一帯
str_shortname_region_subfac_blackroot|ラメドンの国
str_shortname_region_n_ithilien|北イシリアン
str_shortname_region_c_ithilien|エミン・アルネン
str_shortname_region_s_ithilien|南イシリアン
str_shortname_region_druadan_forest|ドルーアダンの森
str_shortname_region_firien_wood|フィリエン森
str_shortname_region_anorien|アノリアン
str_shortname_region_rohan0|フォルデ
str_shortname_region_rohan1|イーストエムネト
str_shortname_region_rohan2|ウェストエムネト
str_shortname_region_rohan3|イーストフォルド
str_shortname_region_rohan4|ウェストフォルド
str_shortname_region_rohan5|ヘルム峡谷
str_shortname_region_the_wold|ウォルド
str_shortname_region_gap_of_rohan|ローハン谷
str_shortname_region_entwash|エント川口
str_shortname_region_wetwang|ニンダルヴ
str_shortname_region_dead_marshes|死者の沼地
str_shortname_region_isengard|アイゼンガルド一帯
str_shortname_region_fangorn|ファンゴルン
str_shortname_region_brown_lands|茶色の国
str_shortname_region_misty_mountains|霧ふり山脈の山すそ
str_shortname_region_lorien_|ローリエン
str_shortname_region_anduin_banks_|アンドゥインの渓谷
str_shortname_region_n_mirkwood_|闇の森北部
str_shortname_region_s_mirkwood_|闇の森南部
str_shortname_region_above_mirkwook|ロヴァニオン北部
str_shortname_region_grey_mountains|灰色山脈の山すそ
str_shortname_region_mordor|モルドールの地
str_shortname_region_dimrill|おぼろ谷
str_shortname_region_s_erebor|谷間の国の領域
str_trait_title_elf_friend|エルフの友
str_trait_desc_elf_friend|エルフたちからの大きな尊敬を集めるあなたは、 彼らから信頼のおける同盟軍として考えられています。 エルフの雇用費が安くなり、 エルフの部隊へ指示を出すよう試みる事ができます。
str_trait_title_gondor_friend|執政の祝福
str_trait_desc_gondor_friend|執政デネソールより一目置かれる人物として知られるあなたは、 ゴンドールの民にとても尊敬されています。 ゴンドールの兵を安く雇用でき、 ゴンドールの部隊へ指示を出すよう試みる事ができます。
str_trait_title_rohan_friend|王の懐刀
str_trait_desc_rohan_friend|セオデン王が非常な敬意を払う人物として、 ローハンであなたを知らない者はいません。 ロヒアリムの兵を安く雇用でき、 騎士国の部隊へ指示を出すよう試みる事ができます。
str_trait_title_brigand_friend|蛮王
str_trait_desc_brigand_friend|サウロンに従う蛮人たちは、 闘技場でのあなたの勇猛さを目の当たりにし、 あなたをとても尊敬するようになりました。 蛮人を安く雇用できます。
str_trait_title_blessed|祝福されし者
str_trait_desc_blessed|あなたは何か大きな力から祝福を受けている感覚を持つようになりましたが、 その力は海の向こうにあるのか、 あるいはさらにその向こうにあるのか、 それはわかりません。 なぜこのような祝福を受ける身となったのかは分からないし、 これによって何が変わったのかも分かりません。 ただ、 この感覚に間違いはない、 という事だけは確かです。
str_trait_title_reverent|敬虔なる人物
str_trait_desc_reverent|あなたは敬虔なる賢者として知られるようになりました。 人間とエルフは、 あなたの提言に一層耳を傾けるようになりました。
str_trait_title_merciful|慈悲深き人物
str_trait_desc_merciful|あなたは悪意に満ちた敵の者にまで情けをかける、 慈悲深い人物として知られるようになりました。 あなたの部下のうち、 多くの者はあなたの行いを理解できず、 士気に悪影響がでています。 しかしながら、 教養のある者はみな、 あなたの行いを高徳な人物である事の証明だと評価し、 影響力ポイントにボーナスが加えられます。
str_trait_title_bravery|勇猛
str_trait_desc_bravery|大いなる危機に直面した際に見せるあなたの勇猛さは、 広く知られています。 あなたの武勇は静かな酒場で語られ、 賢者の集う大広間で論じられています。 あなたの部下たちは勇気付けられ、 毎週士気ボーナスを受けます。
str_trait_title_oathkeeper|誓いを守る者
str_trait_desc_oathkeeper|あなたは不退転の誓いを宣言し、 なおかつそれを成就させました。 当然ながら、 あなたは有言実行の人物としての名声を手に入れました。 毎週影響力ポイントにボーナスを受けます。
str_trait_title_oathbreaker|誓いを破った者
str_trait_desc_oathbreaker|あなたは不退転の誓いを宣言するも、 それを成し遂げる事に失敗しました。 そのため、 あなたは身の程を知らぬ者としての悪評を受けるようになりました。 毎週影響力ポイントにペナルティを受けます。
str_trait_title_orc_pit_champion|オーク闘技場の王者
str_trait_desc_orc_pit_champion|最も過酷なオークの闘技会さえも最後まで生き残るあなたは、 残忍な戦士として知られるようになりました。 あなたの強さは、 配下の邪悪な者たちからの尊敬を集めると同時に、 大いに恐れられてもいます。 毎週士気にボーナスを受けます。
str_trait_title_despoiler|略奪者
str_trait_desc_despoiler|あなたの通ったあとには、 荒野か廃墟しか残らないと言われています。 このような暴虐ぶりは、 あなたが仕える闇の力には高く評価されています。 毎週影響力ポイントのボーナスを受けます。
str_trait_title_accursed|呪われし者
str_trait_desc_accursed|あなたは海のかなたにある大いなる力からの怒りを感じるようになりました。 あなたの部下もこの破滅の力を感じ取り、 あなたのそばに寄る事を怖れています。 毎週士気にペナルティを受けます。
str_trait_title_stealthy|忍びの者
str_trait_desc_stealthy|あなたは隠密行動に関して、 超人的な技術を体得しました。 隠密行動時に隠密ボーナスを受けます。
str_trait_title_berserker|狂戦士
str_trait_desc_berserker|防具を使用せずに多くの戦闘を戦い抜いてきたあなたの獰猛な意志の力は、 もはや鉄のようです。 軽装で戦いに臨むと、 敵を倒すごとに不屈の精力があなたを満たします。
str_trait_title_infantry_captain|歩兵隊長
str_trait_desc_infantry_captain|歩兵の指揮において、 あなたは驚異的な能力を発揮します。 厳しく専門的な訓練により、 歩兵は一回の戦闘につき一度だけ、 体力に小さいボーナスを受けます。
str_trait_title_archer_captain|弓兵隊長
str_trait_desc_archer_captain|間接攻撃をする兵の指揮において、 あなたは抜群の能力を発揮します。 厳しく専門的な訓練により、 この兵科の兵は一回の戦闘につき一度だけ、 体力に小さいボーナスを受けます。
str_trait_title_cavalry_captain|騎兵隊長
str_trait_desc_cavalry_captain|あなたの騎兵の指揮における見事な采配ぶりは、 広く知られています。 厳しく専門的な訓練により、 騎兵は一回の戦闘につき一度だけ、 体力に小さいボーナスを受けます。
str_trait_title_command_voice|支配者の声
str_trait_desc_command_voice|数え切れない程の戦闘において兵に指示を与えてきたあなたの声には、 ある種の威厳が備わっています。 ワールドマップ画面において、 他部隊に指示を与える際の影響力ポイントのコストが低くなります。
str_trait_title_foe_hammer|敵くだき
str_trait_desc_foe_hammer|多くの敵指揮官を討ち取ってきたあなたは、 いまや敵に最も怖れられる戦士となりました。 あなたの配下の兵士は、 毎週の士気ボーナスを受けます。 また、 あなたの豊富な経験は、 戦闘において自身のスキルを研ぎ澄まします。
str_trait_title_battle_scarred|いくさ傷
str_trait_desc_battle_scarred|あなたは数え切れない程の戦闘において何度も深い傷を負いましたが、 いつも生き延びてきました。 あなたの傷だらけで縫いあとの多く残る肉体は、 過去の経験と相まって、 負傷に対する耐性を持つようになりました。 あなたの姿を見て衝撃を受ける者は少なくないですが、 配下の者たちは、 戦いの経験の証として受け止めています。 部隊は毎週士気にボーナスを受けます。
str_trait_title_fell_beast|恐るべき獣
str_trait_desc_fell_beast|あなたの肌は数え切れない程の戦闘で受けた多くの傷の縫いあとで覆われ、 その悪意に満ちた意志は不屈です。 あなたはもはや、 オークやウルク、トロルなどといった種から見ても恐ろしく、 危険な獣です。 あなたに仕える者たちは、 戦場において歓喜の声であなたの名を叫びます。 あなたは戦いの化身としてあがめられ、 怖れるものは何もありません。
str_trait_title_butcher|解体屋
str_trait_desc_butcher|経験をかさねて磨いた技術によって、 あなたは敵の体からより多くの肉を取り出せるようになりました。 捕虜を一名解体するごとに、 肉をひと塊り多く確保できます。 また、戦闘後により多くの人肉が手に入ります。
str_trait_title_well_travelled|旅の達人
str_trait_desc_well_travelled|石を敷き詰めた道と苔むした獣道を歩き、 最も高い山々と険しく深い谷を越え、 あなたは秘境や忘れ去られた不思議の数々を発見してきました。 それらの経験を積んだあなたは、 敵がこちらを発見するよりも早く敵の姿を見つけ、 行軍に最も適した道を見つける事ができます。
str_wound_head|頭部の怪我
str_wound_chest|わき腹の怪我
str_wound_arm|腕の怪我
str_wound_leg|足の怪我
str_gondor_gift0|新鮮な果物と葡萄酒
str_gondor_gift1|鮮やかに染め上げられた布生地
str_gondor_gift2|古代の巻物と家系図
str_gondor_gift3|香辛料とお香
str_gondor_gift4|オーロックスの角の戦笛
str_dwarf_gift0|強いビールと岩塩
str_dwarf_gift1|強化シャベルと斧
str_dwarf_gift2|ハープとフルート
str_dwarf_gift3|金糸の刺繍が入ったローブと宝石
str_dwarf_gift4|見事な宝飾品
str_rohan_gift0|はちみつ酒とりんご酒
str_rohan_gift1|刺繍の入ったチュニックと銀の鋲が打たれたベルト
str_rohan_gift2|金のトルクと彫刻の入った角杯
str_rohan_gift3|上等な馬鎧
str_rohan_gift4|ローハン産の馬
str_mordor_gift0|弱いピートビール
str_mordor_gift1|スナガオイル
str_mordor_gift2|モルドールのハエの幼虫
str_mordor_gift3|オロドルインの黒曜石
str_mordor_gift4|奴隷農民
str_isengard_gift0|干し人肉
str_isengard_gift1|黒い鉄の鎖
str_isengard_gift2|拷問器具
str_isengard_gift3|錬金術師のガラス器具
str_isengard_gift4|サルマンの小さな指輪
str_lorien_gift0|種と木の実とベリー
str_lorien_gift1|オイルランプと強靭なロープ
str_lorien_gift2|レンバス
str_lorien_gift3|銀のベルトとブローチ
str_lorien_gift4|エルフのマント
str_imladris_gift0|食パンとハーブ入りバター
str_imladris_gift1|クリスタルガラスの食器
str_imladris_gift2|ミルヴォール
str_imladris_gift3|刺繍入りの軍旗と銀をちりばめた角笛
str_imladris_gift4|薬草と軟こう
str_woodelf_gift0|柔らかい動物の毛皮
str_woodelf_gift1|矢じりと矢羽
str_woodelf_gift2|狩猟用の槍
str_woodelf_gift3|訓練された猛禽類
str_woodelf_gift4|赤金の酒杯
str_dale_gift0|半貴石とガラスのビーズ
str_dale_gift1|英雄伝の冊子写本
str_dale_gift2|ドルウィニオン産の葡萄酒
str_dale_gift3|豪華な毛皮
str_dale_gift4|難解なおもちゃと楽器
str_harad_gift0|イチジクとザクロ
str_harad_gift1|戦士の首飾り
str_harad_gift2|彫刻の入った象牙
str_harad_gift3|神聖な蛇の果実酒
str_harad_gift4|金の蛇の彫像
str_rhun_gift0|水を入れる皮袋
str_rhun_gift1|入れ墨用の墨
str_rhun_gift2|角笛と鹿の角の被り物
str_rhun_gift3|馬の毛の鞭
str_rhun_gift4|馬の肉と牛乳
str_khand_gift0|色とりどりの香辛料
str_khand_gift1|絹の生地
str_khand_gift2|鷹狩り用の鷹
str_khand_gift3|鉄のインゴット
str_khand_gift4|神聖な戦士の仮面
str_umbar_gift0|カキと海塩
str_umbar_gift1|すき櫛と釣り針
str_umbar_gift2|娯楽用奴隷
str_umbar_gift3|南の海の航海地図
str_umbar_gift4|神秘的なヌーメノールの図面
str_moria_gift0|くさったドワーフエール
str_moria_gift1|石炭
str_moria_gift2|発光する長虫
str_moria_gift3|黒の洞窟真珠
str_moria_gift4|ドワーフの鉄くず
str_guldur_gift0|黒いリキュール
str_guldur_gift1|拷問用の毒のつる
str_guldur_gift2|車輪つきの奴隷用の檻
str_guldur_gift3|大蜘蛛の卵
str_guldur_gift4|闇の儀式の本
str_gundabad_gift0|骨のきり
str_gundabad_gift1|魔除けの戦化粧
str_gundabad_gift2|煮沸したドワーフのラード
str_gundabad_gift3|ミイラの偶像
str_gundabad_gift4|黒ワーグ
str_dunland_gift0|かぐわしいヤギのチーズ
str_dunland_gift1|生け贄のフリントナイフ
str_dunland_gift2|銅の腕輪
str_dunland_gift3|ヤギ
str_dunland_gift4|狼の頭骨と前足
str_beorn_gift0|はちみつのケーキとはちみつ酒
str_beorn_gift1|蜜蝋と麻織物
str_beorn_gift2|はちの巣
str_beorn_gift3|こはくの首飾り
str_beorn_gift4|よく調教されたポニー
str_cmenu_follow|同行する
str_reset_to_default|デフォルトに戻す
str_done|完了
str_gondor1|ゴンドール1
str_gondor2|ゴンドール2
str_gondor3|ゴンドール3
str_gondor4|ゴンドール4
str_gondor5|ゴンドール5
str_gondor6|ゴンドール6
str_gondor7|ゴンドール7
str_gondor8|ゴンドール8
str_gondor_end|ゴンドール1
str_gondor_intro|^この偉大な国の英雄が、母国を目前にしながら助けもなく、 成すすべもないまま死ななければならなかったという事実は、 苦痛をともなう思い出となった。^^ボロミアの死の報は瞬く間にゴンドール全土を駆け巡り、 ピンナス・ゲリンの平野とラメドンの山々にまで広まり、 ぺラルギアの沿岸とドル・アムロスの海岸にまで届いた。 すべての民の心は深い悲しみと哀れみで満たされたが、 それとともに悲嘆に暮れるゴンドールは 執念深い敵や当てにならない友たちに取り囲まれ、 窮地に陥っているという怖れと不吉を感じていた。^^かつてのように闇が東に広がり、ウンバールの海賊の怒りは高まり、 東方と南方の野人たちはゴンドールの領土を狙う野心を強くする。^^もう何もせずに傍観することは許されない。 いまこそ我らが指揮官たちを信頼せよ。 されば彼らは剣と槍をあなたに授けよう。ゴンドールは衰えようとも、 ゴンドールはいまだ健在である。最後の時まで、その力は強大である。 名をいうをはばかるかの者のしもべたちとの戦いが迫っている事を 知ったあなたは、この戦いに身を投じる事を決意した。 偉人と賢者たちを集め、紛糾する会議にあなたは関与を許されていないが、 あなたはこれだけは確信していた。^^もしゴンドールの勇敢な者たちがすべて倒れ、 ミナス・ティリスが失われれば、西方の最後の灯火は消えるだろう。 そしてすべてが闇に覆われるのだ。
str_dwarf_intro|^山の下の王国が成功しているという事実に異論を唱える者はいないだろう。 齢250を超えたばかりの初代ダイン王は、 どこから見ても素晴らしく裕福であった。 彼の統治下でエレボールは繁栄し、この世の春をおう歌した。 彼らの秘伝であった金属加工技術は 残念ながら失われてしまったにもかかわらず、 見事な水路や噴水のついた池などを目の当たりにした隣国である 谷間の国は、彼ら職人たちの技術は、その先祖をも超えたと伝えた。^^だが悪の言葉をたずさえたサウロンの邪の使いが蛇のような音を たてながらこの地を訪れると、モルドールの闇が大広間の中に入り込んだ。 以来、モルドールに帰還した力の存在が衰える事はなく、 それとともに、一族の歴代の長たちはみな、重い心を持つようになった。 膨れ上がった闇が、より近くへ引き寄せられてくる。 敵はすでに動き始めており、戦争の火ぶたの落とされる日は近いのだ。^^あなたは武器をとり、友たちと共に敵の前に立ちふさがる事を決意した。 希望があろうとなかろうと、あなたは最後まで抵抗をやめることはないだろう。^^しかし、もしもエレボールのドワーフたちの勇気が打ち砕かれるならば、 ドゥリンの一族の栄光は消え失せ、忘れ去られてしまうだろう。^そしてすべてが闇に覆われるのだ。
str_rohan_intro|^疑念に満ちたこの時代において、 あなたが確信を持っている事がひとつある。先の見えない戦争が、 誇り高いローハンの民の目の前に迫っているのだ。 もう誰ひとりとして安穏の生活を望むことはかなわず、 誰もが犠牲を強いられるのだ。 王の側にいる者の中には臆病な忠告をする者もいるが、 あなたは民衆と家畜を守るため、王の許へ行って忠誠の誓いをたて、 歴戦の指揮官や戦士たちとともに立ち上がる事を決意していた。^^アイゼンガルドのサルマンはローハンの地を支配することを宣言し、 オーク、狼乗り、それに邪な褐色人との戦いは厳しさを極める。 東からは黒の国の王が派遣する襲撃部隊がやってきては、 黒い馬を選んで盗んでいく。 まるで敵が東と西の両方からあなたの民を取り囲んでいるようで、 あなたの心は不安にかられた。^^しかしそれでもあなたは戦うだろう。敵はあなたを囲み、 炎であなたを追い立てるだろうが、ロヒアリムたるもの、 くじかれる事のない勇気をもってあなたは戦うだろう。 ローハンの駿馬たちは朝風のように闊歩する。 そしてもしあなたに死が訪れたなら、あなたのために塚を建てよう。 今はただ、戦いがあなたを必要としているのだ。 さあ馬勒をつけよ、角笛を鳴らせ！^^しかし、もしもエオルの家の子の勇気が打ち砕かれるならば、 ローハンの最後の希望は永遠に失われる事になるだろう。 角笛が吹かれる事ももうない。そしてすべてが闇に覆われるのだ。
str_mordor_intro|^闇の力がふたたび東によみがえる。冥王の軍団は膨れ上がる。 貢物をたずさえて参上する東夷の者たち。 祖先が失ったものを取り戻そうとはやる、 うつろな目をした古代のヌーメノールの背教者たち。 そして戦争と殺戮を渇望して群がる、オークとウルクの大軍。 獰猛で恐ろしいワーグの群れは檻を埋め尽くし、黒い空を見上げると、 御目の寵愛するナズグールが、 あなたの夢想も及ばない力を秘めたその翼を広げて舞っている・・・^^あなたはどんな事をしてでも成り上がり、 ルグブルズの贔屓を得ようと決意していた。その邪魔をする者は、 知恵と勇気、それに冷酷な戦闘技術でもってすべて打ち砕くのだ。 来るべき戦争のあとにすべてを支配することになるであろう、 モルドールの冥王の寵愛を受ける事ができるか・・・ それとも、かなわずに野垂れ死ぬか。^^西方の灯火は吹き消されるだろう。モルドールの時代が来たのだ！
str_isengard_intro|^あなたは、台頭する新しい力の一部である。 白い手の旗の下に進軍するあなたは、 馬や人間のうまい肉を食べさせてくれる狡猾な知恵者、 奸智に長けた偉大なる老サルマンに忠誠を誓っていた。^^彼の旗の下には、戦闘ウルク＝ハイがいる。 彼らは偉大な戦士たちを切り殺す、戦闘における勝者である。 彼らの防具は厚く、盾は大きい。この中にあって、 あなたは多くの白肌どもを切り刻み、その名を挙げるのだ。 日の光があろうとなかろうと、晴天であろうと嵐であろうと、 敵のすべてを死に絶やすまで、あなたが止まる事はない。^^サルマンの術は偉大である。それをもってすれば、馬の民と、 そのか弱い同盟軍の力など、怖れるに足らない。そうだ、あなたの宴には、 エルフの肉さえも並ぶだろう。やつらの村、森、 そして都市さえも燃やしてやろう。そうすれば、 ルグブルズの猿やうじ虫どもも、偉大なるオルサンクにひれ伏すだろう。 強い者が支配するのだ。弱い者はそれに従えばよい。^^人間の時代は終わるのだ。アイゼンガルドの時代がやって来たのだ！
str_lorien_intro|^あなたの民、ラウレリンドレナンのガラズリムにとって、 木の上に生活する事は古くからの習慣である。 巨大な幹を持つ大いなる木々は金色の葉をたたえて黄色い花を咲き誇り、 ニムロデルの水辺に休めば、 悲しみの忘却とともに安らかな眠りが得られるだろう。 しかし、この暗い時代を生きる者たちにとって、 東の空にモルドールの黒の国から迫り来る闇が広がっている事を 忘れ去る事などできない。^^長い年月のあいだ、あなたたちロスローリエンの民が他の民族と 交流する事はなかった。だが、最後まで冥王に抵抗しようという者たちの 仲たがいこそ、冥王の意思であろう。仲間のなかには、 いづれ闇は消え、再び平穏が訪れるだろうとうそぶく者もいるが、 あなたと他のいくらかは、大きな危険に囲まれ孤立したなかに 今の生活をただ続けても、その先に待つのは絶望しかないと感じていた。 もうこの世界が昔と同じ姿を保ち続ける事は望めないであろう。 邪悪から愛する夢の花を守るため、 そしてさらにその向こうの地を守るために、 あなたは来るべき戦いにおけるみずからの役割を演じるべく 剣と弓をとった。^^もし昔の友情がよみがえる事なく、 長い敗北の戦いをただ戦い続けるだけならば、 ローリエンの最後の灯火は未来永劫、消えるだろう。 そしてすべてが闇に覆われるのだ。
str_imladris_intro|^ああ、近ごろの悲痛な記憶よ！ 半エルフのエルロンドの素朴な住処である裂け谷には、 上古の時代の華麗なエレギオンの栄光がいくらかしのばれる。 しかしこの世界が昔の姿を取り戻す事は、もうない。^^いまも見た目には美しいエリアドールの野も、 もう人の手によって耕される事はなくなった。 アルノールの崩壊後にその数を大きく減らしたドゥネダインは、 住む者もない北方の野で、孤独な見張りの番を続けている。 ギル＝ガラドの時代は永遠に失われ、 最初に生まれた者たちはだんだんと西へ去っていき、 薄れていく古代のヌーメノールの血とともに西方国の民は衰退していく。^^しかし周辺の地を覆う影が日々色濃くなっていくなかで、 裂け谷は聖域であり続けている。^^最後の召集が呼びかけられ、 すべての時代を通してこの世界ではこれが最後になるであろう、 裂け谷の大軍団が進軍を始める。この軍団の一員であるあなたは、 遂行するべき任務を賢者や偉人たちからよく教えられていたが、 それでもなお不安を感じていた。もし他勢力がすべて打ち破られたとき、 果たしてイムラドリス、灰色港、そして黄金の森のローリエンにさえも、 敵の全勢力を結集した猛攻に対抗しうる力はあるのだろうか。^^それでもわずかな希望は残されている。昔の友情がよみがえり、 悪に対抗する者たちが力を合わせて共通の敵に当たる事ができれば、 モルドールの脅威に簡単に飲み込まれる事はないだろう。^^しかし、もし昔の同盟が失われて友たちが滅亡すれば、 ただ暗闇がふくれあがるだけの日々が訪れ、 やがて本当の夜がやってくるだろう。 そしてすべてが闇に覆われるのだ。
str_woodelf_intro|^森の王国に大きな影が落とされ、 ドル・グルドゥアから放たれる妖気はあたり一面に漂う。 モルドールのあるじが暗黒の塔へ帰還した後、 ドル・グルドゥアに残った彼の副官たちは、かつてエリン・ガレン、 あるいは緑森大森林と呼ばれた場所のほとんどを、 北方のシルヴァン・エルフたちですら自由に行き来する事のできない、 恐怖の空間に変えた。^^あなたの民を率いるのは、オロフェアの息子、スランドゥイル王である。 ダゴルラドの深い悲しみがまだ記憶に新しいせいか、 彼は施策に関して慎重であった。しかし、 迫りくる戦争に谷間の国の民が脅かされるにおよび、王は立ち上がった。 常に沈痛な思いと共に南方を見つめる王が、 破滅へと繋がるかも知れない道を彼の民を率いて歩き出すまでには 非常な躊躇があったが、しかし、決断の時は来たのだ。^^王の命令が下されれば、あなたは槍、剣、 そして弓をとって国境を守るだろう。さらに必要とあらば、 闇の森のエルフと共通の敵に当たろうという者は、 誰でも助けようとあなたは決意していた。^^あなたとあなたの仲間たちは皆、大きな不安を抱えていた。 もし昔の同盟が失われて友たちが滅亡すれば、 闇の森は永遠に闇に塗りつぶされる事になるだろう。 そしてすべてが闇に覆われるのだ。
str_dale_intro|^谷間の国の繁栄は、三世代に渡っている。 弓の達人バルドの孫であるブランド王の治世は公正であり、 商業は盛んで国は大いに富んでいる。^^しかし、とうとう敵が東の国境を越えて侵入してきた。 好戦的で手に負えない、遊牧民たちである。 彼らは話す言葉が難解なうえに信用もできない。今はおもちゃや鈴、 可愛い人形などはひとまず片づけて、槍、弓、 それに分厚い盾を用意しなければならない。切り倒した木材は、 壁や納屋を建てる代わりに、矢と矢筒を作るのに使わなければならない。 働き盛りの男たちは、畑を耕したり果樹園の収穫に精を出す代わりに、 兵役について戦争に赴かねばならない。^^しかし、谷間の国には頼もしい同盟者たちがいる。 持ち前の石工技術で谷間の国のすべての道路を舗装してくれた、 はなれ山のドワーフたちだ。さらに、闇の森のエルフたちとも交流がある。 商業上重要な渡り場の安全を守る、たくましいビヨルン一党もいる。 この暗い時代においては、モルドールの脅威に対抗しようという者たちは、 力を合わせてひとつになるべきだ。そうでなければ、 収穫される小麦のように簡単に刈り取られてしまうだろう。^^あなたは自分にできる事を精一杯やろうと決意していた。 もし谷間の国の最後の砦が落とされてバルドの血筋が途絶えれば、 北方における人間の最後の王国は消え去るだろう。 そしてすべてが闇に覆われるのだ。
