qstr_Received_{reg0}_dama|{reg0}のダメージを受けました。
; qstr_You_approach_a_heavi|You approach a heavily guarded region of the forest... ^^ You have to decide whether you venture forward on your own, or take some troops with you.
; qstr_You_have_a_good_chan|You have a good chance of avoiding the guards and slipping through unnoticed.
; qstr_You_may_have_a_chanc|You may have a chance of avoiding the guards.
; qstr_You_will_probably_ha|You will probably have to fight the guards.
qstr_You_wait_for_darknes|あなたはあたりが夜の闇におおわれるのを待っています・・・
qstr_You_are_quickly_disc|あなたはすぐに発見されてしまいました。
qstr_You_advance_stealthi|あなたは身を隠しつつ、森のなかへと進んでいきました。
qstr_You_have_evaded_the_|あなたは衛兵を避けつつ、廃墟へと忍び寄りました！
qstr_You_have_found_the_s|妖術師を見つけました！
qstr_You_cannot_leave_unt|衛兵をふりきらないと、この場所から移動できません！
qstr_Kill_him_quickly_bef|逃げる前に素早く倒してください！
qstr_Enraged_by_the_death|{s4}の死に大きな怒りを覚えたあなたは、 {s3}の軍勢に対する復讐を宣言しました。 これより数日間、 あなたはできるだけ多くの{s3}の兵を破壊しなければなりません。 あなたの部下たちがこの誓いを目撃したのはあなたもよく認識しており、 誓いを破る者と呼ばれる事はさけなければなりません。 さあ血の宴をはじめましょう！
qstr_flooded._Somebody_or|水没している。 何者かがアイゼンの堤防を破壊したに違いない。
qstr_destroyed._Only_smol|破壊されている。 火のくすぶる廃墟だけが残っている。
qstr_^^^You_lost_your_fig|^^^あなたは反乱兵に倒されました！ どうやらオークたちは新しい指揮官を得たようです。
qstr_^^^You_have_slain_th|^^^あなたが反乱兵を血祭りにあげると、 他のオークどもは素早く持ち場に戻りました。 虫けらどもも、これでしばらくはおとなしくなるでしょう。
qstr_You_cover_up_your_tr|あなたは自分の足跡を消し、さらに進んでいきました。
qstr_Breaking_camp...|野営を撤収しました・・・
; qstr_Party_morale_is_low.|Party morale is low. Troops desert from your party.
; qstr_Desertion|Desertion
; qstr_{s1}_has_deserted_fr|{s1} has deserted from your party.
qstr_You_have_left_{s1}.|あなたは{s1}を後にしました。
qstr_You_are_entering_{s1|あなたは{s1}({s2})に入りました。
qstr_You_are_entering_{s1}|あなたは{s1}に入りました。
qstr_The_war_expands_comm|戦火が拡大し、指揮官たちはより大胆になりました！(包囲攻撃の必要条件が緩和されました)
qstr_Your_party_is_spotte|あなたのパーティは{s1}に発見されました。
qstr_The_effects_of_the_O|オークビールの効果が消えました。
qstr_The_effects_of_the_M|ミルヴォールの効果が消えました。
qstr_Athelas_used_up.|アセラスを使い果たしました。
qstr_Party_has_nothing_to|食べるものがありません！
qstr_You_pay_for_accommod|宿泊代を支払いました。
qstr_The_troll_outside_{s|{s2}周辺のトロルは倒されました。任務はキャンセルされました。
qstr_{s1}_was_killed_on_t|{s1}は戦死しました。任務はキャンセルされました。
qstr_{s1}_has_been_defeat|{s1}は敗れました。任務はキャンセルされました。
qstr_You_must_follow_{s1}|あなたは{s1}に同行しなければなりません！
qstr_You_must_follow_{s1}!|あなたは{s1}に同行しなければなりません！これは最後の通告です！
qstr_{s1}_parties_defeate|倒した{s1}の数:{reg1}/{reg2}部隊
qstr_{reg65}_Moria_and/or|{reg65}名のモリア、グンダバドの兵を殺した。 (カウンターは1時間ごとに更新されます)
qstr_{reg65}_{s3}_troops_|{s3}の兵を{reg65}名殺した。 (カウンターは1時間ごとに更新されます)
qstr_{reg66}_{s5}_troops_|{s5}の兵を{reg66}名殺した。 (カウンターは1時間ごとに更新されます)
qstr_{reg67}_{s7}_{s8}_tr|{s7}の{s8}を{reg67}名殺した。 (カウンターは1時間ごとに更新されます)
; qstr_{s8}_in_{s9}_asked_y|{s8} in {s9} asked you to slay {reg67} {s10}.^ {reg68} {s11} killed. (Counter refreshes every hour)
qstr_{s1}_is_scouted.|{s1}の偵察を完了しました。
qstr_{s2}_was_defeated!|{s2}が敗れました！
qstr_The_Age_of_Men_has_f|人類の時代は、ついに終わりを告げました。^これよりふたつの塔が残った戦力を結集し、 ^中つ国の覇権を争います！
qstr_The_War_of_the_Two_T|ふたつの塔の戦いが始まりました！
qstr_The_forces_of_{s22}_|{s22}の軍勢の勢いが増しています！{s22}は現在、{s23}です。
qstr_The_might_of_{s22}_h|{s22}の軍勢の勢いが弱まりました！{s22}は現在、{s23}です。
qstr_In_a_desperate_attem|敵に対してなりふり構わぬ必死の対抗をするため、 サウロンはモルドールの大軍団を送り込みました！
qstr_Guardians_of_{s6}|{s6}防衛軍
qstr_Guard_Legion_of_{s6}|{s6}防衛軍団
qstr_Scouts_report_that_{|偵察隊より、 {s6}が{s7}周辺に、 本拠地防衛のための大規模な軍勢を 集結させているとの報告が入りました。
; qstr_The_forces_of_{s2}_e|The forces of {s2} established an Advance Camp in {s15}!
qstr_The_hosts_of_{s2}_ma|{s2}の軍勢が、彼らの本拠地を守るために退却しています！
qstr_{playername}_s_Reser|{playername}の予備兵
qstr_Gondor_has_called_fo|ゴンドールが助けを求めています！
qstr_Gondor_is_accompanyi|ゴンドールは総指揮官のもとに集結しています！
qstr_{s5}_has_stopped_fol|{s5}はあなたへの同行をとりやめました。
qstr_You_have_{reg69}_all|友軍の{reg69}部隊があなたに同行しています。
qstr_You_have_{reg69}_ally|友軍の{reg69}部隊があなたに同行しています。
qstr_The_forces_of_{s2}_h|{s2}の軍勢は再合流して態勢を立て直し、{s15}を目指して進軍しています！
qstr_Your_scouts_report_s|あなたの斥候が{s2}の痕跡をこの付近に発見したようです。
qstr_{s1}_from_{s2}|{s2}の{s1}
qstr_When_dealing_with_lo|{s11}の民と取引をする場合、 彼らはあなたの顔を知らず、 あなたの{s10}での功績についても、 必ずしも知っているわけではないという事に 注意してください。^^({s11}の民とのやりとりに使用される リソースポイントは {s11}でのみ稼げるもので、 {s10}で稼いだものとは別です。 レポート画面も参照してください。)
qstr_Info|情報
qstr_You_came_into_a_poss|やたらと大きなおわんに入った、 奇妙だけども新鮮そうな水を手に入れた。 ジャコウにちょっと似た香りがする。
qstr_Obtained:_Ent_water.|入手:エント水。
qstr_A_little_after_you_f|歩く木から手に入れた毒入りの水から 完全に回復してすぐに、 あなたは妙な副作用が出ていることに気がついた。 配下のうじ虫どもが、 あなたに敬意を払い、 以前よりもあなたを恐れているように見える。 まるで・・・ あなたの体が大きくなったかのように。 間違いない、 以前よりもあなたは少し背が高くなっている。 こんな事が本当に起こり得るのだろうか？
qstr_Ent_water_effect.|エント水の効用。
qstr_The_water_you_drank_|エントから入手した水を飲んだあなたは、 自分の体に奇妙な現象が起こっていることに気がついた。 最初は信じられなかったが、 自分の目で確かめてみた以上、 間違いない。 どういうわけか、 あなたの背が高くなっている！ しかし、 水の毒であやうく死ぬところだったのは事実だ。 もう二度とこのような危険を冒すわけにはいかない。
qstr_Ent_water_effect:_in|エント水の効用:身長が伸びた！
qstr__+1_to_Strength__per|体力+1(恒久的効果)
qstr__+1_to_Charisma__per|魅力+1(恒久的効果)
qstr_The_dark_shadow_fina|漆黒の闇はついに堰を切って嵐となり、 闇の大群は中つ国の自由の民を標的に進軍を開始した。 南のゴンドールにはモルドールが、 西のローハンにはアイゼンガルドが、 エルフにはドル・グルドゥアが襲いかかる・・・ 遠い北の地でも戦争の火の手は上がった。
qstr_The_War_has_started!|戦争が始まりました！
qstr_The_forest_seems_pea|森は穏やかにみえます。
qstr_There_is_a_sense_of_|危険な空気がただよっています。
qstr_You_have_a_feeling_y|どうやら森を怒らせてしまったようです。
qstr_Get_out_now!|この場から離れろ、今すぐだ！
qstr_You_are_inside_Fango|ここはファンゴルンの森です。{s11}
qstr_Your_party_witnessed|あなたのパーティは、オークが捕虜を食べているところを目撃しました。
qstr_Your_party_s_morale_|憎悪から、パーティの士気が上がりました。
qstr_Your_party_s_morale_h|恐れから、パーティの士気が下がりました。
qstr_{s27}:_Influence_wit|{s27}:{s1}への影響力ポイントが、{reg2}から{reg1}へ向上しました。
qstr_{s27}:_Influence_with|{s27}:{s1}への影響力ポイントが、{reg2}から{reg1}へ下がりました。
qstr_{s27}:_Party_morale_|{s27}:パーティの士気が上がりました。
qstr_{s27}:_Party_morale_d|{s27}:パーティの士気が下がりました。
qstr_You_have_failed_to_f|バーリンとその一党の復讐をするという誓いを達成できませんでした！
qstr_You_have_failed_to_fu|名誉の死を遂げた {s1}の復讐をするという 誓いを達成できませんでした！
qstr_Your_troops_value_yo|誓いを成就させたあなたの力に、あなたの部下たちは感服しています。 しかし、あまりにも簡単に成し遂げたとも感じているようです。その結果、 
qstr_{s22}You_have_fulfil|{s22}あなたはバーリンとその一党の復讐をするという誓いを成就させました！
qstr_{s22}You_have_fulfill|{s22}あなたは{s1}の名誉の死の復讐をするという誓いを成就させました！
qstr_Reinforcements|増援
qstr_Refugees_Escaped:_{r|逃げ切った難民の群れ:{reg10}群 --- 殺された難民の群れ:{reg11}群
qstr_Raider_Parties_Kille|倒した襲撃隊の数:{reg12}隊
qstr_One_of_the_target_ce|難民の一行の近くにある拠点のうちのひとつが破壊されました。 難民たちは散り散りになり、どこかへ消えてしまいました。
qstr_As_an_Orc_or_a_Dwarf|オークやドワーフでプレイする際、 TLDに登場する背の低い種族のために我々が導入した、 カスタムカメラを利用する事ができます。 詳しい利用方法についてはゲーム概要を参照してください。
qstr_Custom_Camera|カスタムカメラ
qstr_{reg65?my_Lady:my_Lo|閣下
qstr_{reg65?My_Lady:My_Lo|閣下
qstr_{reg65?mistress:mast|閣下
qstr_{reg65?Mistress:Mast|閣下
qstr_{reg65?madame:sir}|閣下
qstr_{reg65?Madame:Sir}|閣下
qstr_How_do_magnets_work?|磁石はどうしてくっつくの？
qstr_Um..._by_enchanting_|ええっと・・・鉄に・・・鉄に魔法をかけたから？
qstr_Magnets_are_made_of_|磁石は地中から掘り出した金属で出来ていて、 その中に地球の重力がちょっと残っています。 それが磁力となっているのです。
qstr_i_wont_a_bonerlrord_|ボナールロード版はまだかよ！
qstr_Install_TLD_in_your_|TLDをBannerlordのModulesフォルダに入れて、 module.iniに^”compatible_with_wfas = 1”^の一行を追加してやれば WarbandとWarrider 0.202の両方でプレイできるよ！
qstr_Bannerlord_runs_on_a|Bannerlordはまた別のゲームエンジンを採用しています。 TLDのWarband版をつくったときのようにはいかないのです。
qstr_dis_mod_takes_2_long|このmodはリリースまでに長くかかりすぎだよ！
qstr_Well_there_s_a_lot_o|新しいモデルやらマップやら毎回いろいろと追加するので、 どうしても時間がかかってしまうのです。
qstr_It_has_been_recently|こないだ新バージョンが出たばっかりだよ lemonparty.orgからダウンロードできるよ
qstr_i_wont_decapitated_e|マルチで象ぬっころしてえええ
qstr_I_don_t_think_there_|TLDにはマルチプレーヤーモードはありません。 象狩りができたらいいなあ、とは思います。
qstr_There_is_a_hidden_el|TLDの隠しモードで象デスマッチモードがあるよ^出し方は、まずセーブデータのフォルダを空にしてから^ゲーム内で100日間セーブなしのぶっとおしでプレイ^それからキャラ情報画面に行ってAlt+F4を押す^マジやる価値あり
qstr_Y_NO_ChINESE??|中国語版ないの？？
qstr_Just_to_troll_you_tr|トロルトロル、あばばばばー
qstr_Thanks_to_our_volunt|翻訳ボランティアのみなさんのおかげで、 繁体字と簡体字の翻訳ファイルが利用できるようになりました。 利用の際にはSteam Workshopにあるガイドを よく読んで下さい。
qstr_Wai_no_plate_armour_|えええなんでプレートアーマーないの？？？
qstr_What_is_plate_armour|プレートアーマーて何ですか？聞いた事がないです。
qstr_Wai_no_female_trolls|そんな事より女子は？トロルの女子っていないの？
qstr_WHEN_U_REALSE_MOD?!!|modのリリースいつ？出るの？出ないの？！！？
qstr_But_we_did_release._|リリースしただろ。おまえがいまプレイしてるのは何だよ。
qstr_YES!_ALSO_SOMETIMES_|はい
qstr_Wai_u_no_work_wiht_o|他のmodとまぜて最強のLOTRゲームつくろうなんて話はないの？
qstr_Every_mod_team_works|それぞれのmod開発陣にはそれぞれ別の目標があって製作作業も 別々に進められているので、複数のmod間で整合性をとるのは 非常に難しいのです。
qstr_Because_we_don_t_hav|我々にはどうもユーモアのセンスがないみたいで、 まぜるには他のmodは面白すぎるのです。
qstr_In_movies_trolls_are|映画じゃトロルはでっかくてマッチョなのに、 なんで俺はこんなにひょろっとしてるの？
qstr_We_interpreted_Tolki|俺らが原作読んでイメージしてたのは、 おまえみたいな感じなの。
qstr_But_we_did_make_you_|少なくとも映画と同じくらい馬鹿に設定してあるから、それで満足して。
qstr_What_is_news?_Got_an|なんかアプデとかあった？新しいスクショとか？ 
qstr_Well_just_look_aroun|スクショもなにも、今見てるでしょ。
qstr_Say_cheese!|はい、チーズ！
qstr_Why_did_you_make_mod|このmodインストールめんどくさすぎ動かねえ
qstr_Well_if_you_are_here|まあ、これを読んでるのならうまくいったんだよね
qstr_You_just_got_windyfl|スチーム版はインストールが楽だよ！
qstr_Merry|メリー
qstr_Pippin|ピピン
qstr_the_Citadel|城塞
qstr_Minas_Tirith|ミナス・ティリス
qstr_Steward_Denethor|執政デネソール
qstr_the_Golden_Hall|黄金館
qstr_Edoras|エドラス
qstr_King_Theoden|セオデン王
qstr_Merry_asked_you_to_d|メリーからミナス・ティリスにいる彼のいとこのピピンへの^手紙を預かった。
qstr_Pippin_asked_you_to_|ピピンからエドラスにいる彼のいとこのメリーへの^手紙を預かった。
qstr_Tell_him_I_ve_grown_|僕の背がまた1インチ伸びたんだって彼に言ってよ！
qstr_Tell_Pip_he_smokes_t|彼はたばこを吸いすぎるってピップに言ってよ！
qstr_Tell_him_I_can_ride_|僕が大人の馬に乗れるようになったって彼に言ってよ！
qstr_Ask_him_if_he_has_an|彼にパイプ草を持ってないか聞いてよ！
qstr_Tell_him_I_ll_be_the|今度会ったら僕が背の高いほうになるよって言ってよ！
qstr_Ask_if_he_s_seen_Gan|ガンダルフに会ったか聞いてよ！
qstr_You_gained_250_exper|経験値を250取得しました。
; qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm...Who are you?
; qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Oh, it's you again, {playername}.
qstr_Treebeard_wants_you_|ファンゴルンの森で木を伐採している オークの一団を倒すよう、 木の鬚に頼まれた。
qstr_Something_wrong_not_e|なにかがおかしい、偵察隊を編成するための兵が足りない。
qstr_my_home_town|我が本拠地
qstr_I_am_in_perfect_heal|体調はとても良い。
qstr_I_am_suffering_from_|私は{s1}に悩まされている。
qstr_I_am_suffering_from_{|私は{s1}、それと {s2}に悩まされている。
qstr_I_am_suffering_from_{s|私は{s1}、 {s2}、それと {s3}に悩まされている。
qstr_I_am_suffering_from_{s1|私は{s1}、 {s2}、 {s3}、それと {s4}に悩まされている。
qstr_I_don_t_have_any_ser|ありがとう、特に怪我はしていない。
qstr_Good_day_to_you.|やあ、ごきげんよう。
qstr_Ah_it_s_you_again._G|やあ、きみか。じゃあまた。
qstr_My_apologies_if_I_wa|このあいだは失礼があったら謝りたい。もう一度{きみ/あなた}の身の上話を聞かせてくれないか{/しら}？
qstr_I_was_reconsidering_|このあいだの{君/あなた}との話を思い出していた{んだ/のよ}。もう一度{きみ/あなた}の身の上話を聞かせてくれないか{/しら}？
qstr_Zigrphel_gained_{reg|ジグールフェルは経験値を{reg78}獲得しました。
qstr_Greetings_{s23}_{s24|ごきげんよう、 {s24}、 {s23}殿。
qstr_Greetings_{s23}.|ごきげんよう、{s23}。
qstr_So_you_are_{s23}._I_|ああ、あなたが{s23}殿か。 {s25}に味方をしたという話を聞く限り、 我らが友軍と考えるべきでしょうな。
qstr_I_need_volunteers_wi|私と共に危険な任務におもむく事をいとわない者はいないか。
qstr_I_need_some_soldiers|兵に欠員が出た。補充をしたい。
qstr_Maybe_the_weaklings_|軟弱な南の連中はやつらのか弱いトロルに 鎧を着せてやるのだそうな。俺たちはそんな事を する必要はない。俺たちのトロルは グンダバド産だからな！
qstr_Do_I_look_like_a_smi|俺が鍛冶屋だと思ったのかい？馬鹿らしい。他を当たってくれ。
qstr_Excellent_job_{s23}!|見事です、{s23}殿！ 他の指揮官も、あなたくらい真面目にやってくれるといいのですが。^
qstr_Nicely_done_{s23}.|{s23}殿、お見事です。
qstr_Good_work_{s23}.|{s23}殿、ご苦労様です。
qstr_The_more_you_capture|捕虜は多ければ多いほど良いですな、 {s23}殿。
qstr_Caught_a_few_straggl|敗残兵でも捕まえましたか、 {s23}殿？
qstr_I_am_sorry_no_one_el|申し訳ないが、そちらへまわす余裕はない。^{s22}に従って、ここを防衛しなければならないのです。
qstr_Tough_luck_but_we_do|ついていませんね、今は我々も余裕がない。^また日を改めて来て頂きたい。
qstr_There_are_brave_sold|危険をかえりみない勇敢な兵士たちはいますが、 この時勢にここの守りをおろそかにするわけにはいきません。^^^[リソースポイントが足りません]
qstr_We_have_some_spare_t|余裕はありますが、あなたの部隊へまわす兵士はいません。^^^[リソースポイントが足りません]
qstr_There_are_brave_soldi|城外での任務を志願する勇敢な兵士はいます。^^何名かはあなたに預けてもいいでしょう。
qstr_There_are_spare_troo|血の気の多めな兵が多少います。^^何名かはあなたに預けてもいいでしょう。
qstr_Strenghten_defences_|{s21}の守りを固めようというのですか？ 大歓迎です。 ただ、 我が軍は自前の兵しか受け入れません。
qstr_Strenghten_defences_i|{s21}の守りを固めようというのですか？ 五体満足の兵なら大歓迎です。 ただし我が軍の自前の兵だけにしてください。 よそ者は邪魔なだけです。
qstr_Please_return_them_i|できるだけ生きて帰してくださいよ。 個人的に彼らの勇気はよく知っているのです。 今は一名も無駄にはできない。
qstr_Don_t_let_them_all_d|無駄使いしないでくださいよ。卑怯者はどうなってもいいですがね。 卑怯者がいたら横陣の最前列に立たせればいい。　まあ、あなたならよくわかっているはずだ。
qstr_Thank_you_commander.|指揮官どの、感謝します。^
qstr_^{s22}_is_grateful_t|^{s22}はあなたに感謝します、 {s29}、{s23}殿。^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?彼ら:あの}勇敢な{reg28?兵士たち:兵士}は、 {s21}防衛の大きな戦力になるだろう。 {s32}^^[{s14}のリソースポイントを{reg14}獲得しました]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?彼ら:あの}活きのいい{reg28?兵士たち:兵士}は{s21}防衛の大きな力になるだろう。 {s32}^^[{s14}のリソースポイントを{reg14}獲得しました]
qstr_{s4}_^Oh_and_take_ba|{s4}^おっと、この兵は引き取ってくれ、よそ者は不要なんだ。
qstr_You_have_reinforced_|{s8}に{reg55}名の兵を増強しました。
qstr_I_don_t_need_them_an|どのみち不要なのだ、とっておいてくれ。
qstr_It_is_my_duty_to_pro|我らが民を守るのは、我が義務と心得る。
qstr_It_is_my_duty_to_prot|我らが友軍を守るのは、我が義務と心得る。
qstr_I_am_{s4}_{s15}_of_{|私の名は{s4}。 {s6}の{s15}
qstr_I_am_{s4}_a_commande|私は{s4}、 {s6}の指揮官
qstr_{s9}{reg5?_and_the_r|{s9}{reg5?で{s8}の領主である:だ}。
qstr__{s3}_gained_{reg78}| {s3}は経験値を{reg78}獲得しました。
qstr_{playername}_our_sco|{playername}よ、おぬしの任務成功は斥候から聞いたぞ。 おぬしに永遠の幸あれ！おぬしの勝利によって {s7}の軍団は後退を余儀なくされ、 敵勢の侵攻は鈍くなった。 これで敵軍の中で指揮官同士のいさかいが起こるとよいのだが。 少なくとも、敵勢はおぬしを大きく怖れるようになったであろう！ ともあれ、おぬしのおかげで疲労の色が強い我が軍は、 ひと息つくことができる。
qstr_Well_{playername}_yo|これは{playername}、 どうやら我々にとって良い報せを持って戻ってきてくれたようだな。 おぬしは口先だけの{男/女}ではなかったという事か。 ああ、{s7}がおぬしの前に倒れるさまを、 この目で見れたら！ これで間違いなく敵勢の士気は大きくくじかれたであろう。 なにしろ頭をもがれたのだからな。蛇を殺すのなら頭を落とせ、 というわけだ。さて、この機を逃さず、 私はこれより軍を率いて敵を叩かねばならぬ。 {playername}よ、 おぬしの貢献はおぬしの上官に間違いなく報告しておくぞ。 心安らかにせよ。
qstr_Alas_that_I_could_no|ああ、この手で{s8}の{s7}の 息の根を止める事ができないとは。ふたたびまみえる事があれば、 やつらには思い知らせてくれよう。
qstr__I_should_rather_mak|我が勝利の報告は、私みずから直接 {s8}の{s7}に 報告しようと思います。 一番の手柄は私のものだという事を忘れないで頂きたい！
qstr_Very_well_done_{play|{playername}よ、これは素晴らしい！ 私の期待した通り、間者と連絡係の二名とも捕まえてくれたのだな。 そして彼らは身柄を厳重に拘束され、尋問されるのを待っているという。 彼らにはたっぷりと質問に答えてもらわねばならん！ 何はともあれ、今回のおぬしの働きには非常に感謝しているぞ、 {playername}。 これは私からの感謝の気持ちだ、受け取ってくれ。
qstr_Beautiful_work_{play|{playername}よ、よくやった！ 私の指示通り、間者と連絡係の二名とも捕まえてくれたのだな。 そして彼らは身柄を厳重に拘束され、尋問されるのを待っているという。 今夜は拷問吏が忙しくなるだろう！何はともあれ、 今回のおぬしの働きには非常に感謝しているぞ、 {playername}。 これは私からの感謝の気持ちだ、受け取ってくれ。
qstr_Foiling_the_enemy_s_|難民の群れを襲うという敵の企てをくじいた事により、 敵勢の士気が下がりました。 (あなたが{reg18}隊の襲撃隊を撃退した事により、 {s1}の勢力ポイントが{reg19}下がりました)。
qstr_The_slaughter_and_lo|難民の群れを虐殺し、略奪する事に成功したため、 敵勢の士気が上がりました ({s1}の勢力ポイントが50上がりました)。
qstr_You_did_however_defe|しかしながら、あなたが{reg18}隊の襲撃隊を撃退したため、 敵勢の士気が下がりました ({s1}の勢力ポイントが{reg19}下がりました)。
qstr_The_slaughter_and_loo|難民の群れを虐殺し、略奪する事に成功したため、 敵勢の士気が上がりました ({s1}の勢力ポイントが{reg20}上がりました)。
qstr_Killing_the_refugees|{s1}の難民を虐殺し、生き残った者を奴隷とした事で、 彼らの士気をくじく事に成功しました ({s1}の勢力ポイントが{reg19}下がりました)。
qstr_{reg20}_refugee_trai|{reg20}つの難民の群れが無事に逃げ延び、 敵勢の士気が高まりました ({s1}の勢力ポイントが{reg22}上がりました)。
qstr_You_did_however_defea|しかしながら、あなたが難民の群れを{reg18}つ壊滅させたため、 敵勢の士気が下がりました ({s1}の勢力ポイントが{reg19}下がりました)。
qstr_My_lord_{s12}_is_saf|閣下、{s12}はもう安全です。 海賊どもは敗退しました。
qstr_My_lord_Esgaroth_is_|閣下、エスガロスはもう安全です。リューン勢を撃退しました。
qstr_The_surroundings_of_|{s12}周辺を焼き払いました。 愉快な略奪となりました！
qstr_The_surroundings_of_E|エスガロス周辺を焼き払いました。愉快な略奪となりました！
qstr_This_is_welcome_news|{playername}よ、それはとても喜ばしい知らせだ。 この海賊どもの大胆な作戦には、我々は不意をつかれた。 だがおぬしの働きによって、少なくともこの度は黒の艦隊は追い払われた。 これがやつらにとって大打撃である事を願おう。おぬしに感謝する。
qstr__Good_work_{playerna|{playername}よ、よくやってくれた！ やつらは我々が考えていたよりも悪知恵が働くようだ。 だがあの東夷の者どもは馬に乗るのと違って、 船での戦いは苦手のようだな。 我々も船を出す事を検討するべきかも知れぬ・・・。何はともあれ、 {playername}よ、 エスガロスと谷間の国のすべての民にかわって礼を言う。
qstr_Even_from_here_we_co|ここからでも火の手が見えたぞ。やつらの阿鼻叫喚も、 風に運ばれてここまで来たわ！ {playername}よ、見事な働きだ。 ゴンドールの者どもも女子供にいたるまで、 これで強固な要塞さえも我らの手から逃れる助けにはならぬと 思い知ったであろう。やつらの心を、恐怖で満たしてやるのだ！
qstr_Even_from_here_we_cou|ここからでも火の手が見えたぞ。やつらの阿鼻叫喚も、 風に運ばれてここまで来たわ！ {playername}よ、見事な働きだ。 谷間の国の者どもも女子供にいたるまで、これで強固な要塞さえも 我らの手から逃れる助けにはならぬと思い知ったであろう。 やつらの心を、恐怖で満たしてやるのだ！
qstr_My_lord_they_fell_up|閣下、やつらの軍勢は強大です。海賊を撃退することはできませんでした。
qstr_My_lord_they_fell_upo|閣下、やつらの軍勢は強大です。 リューンの戦士どもを撃退することはできませんでした。
qstr_The_raid_on_{s12}_fa|無能な友軍のせいで、{s12}の襲撃は失敗に終わりました！
qstr_This_raid_was_ill_fa|この襲撃作戦はもともと無理だったのです。 初めからあの不細工ないかだに乗るべきではありませんでした！
qstr_This_is_evil_news_yo|それは暗い報せだ。黒の艦隊の存在感は以前にも増し、 今やベルファラス湾全域がやつらの支配下となりかねない勢いだ。 {playername}よ、 私はおぬしの任務失敗を過分に責めるつもりはないが、 これは痛手だ。非常に痛い。さあ行け。 ゴンドールの希望はだんだんと小さくなっているが、 我々は今残されているものを、何としても守らねばならぬ。
qstr_This_is_evil_news_you|それは暗い報せだ。東夷の存在感は以前にも増し、 エスガロスは炎上している。{playername}よ、 私はおぬしの任務失敗を過分に責めるつもりはないが、これは痛手だ。 非常に痛い。さあ行け。我が王国の希望はだんだんと小さくなっているが、 我々は今残されているものを、何としても守らねばならぬ。
qstr_Pah!_It_seems_you_we|フン！{playername}よ、おぬしは海上では、 とんだ役立たずのようだな。ゴンドールのやつらが連中の塔の上で、 まるで王のようにふんぞり返りながら黒の艦隊が炎上するのを 笑っておるではないか！おぬしの部下どもには罰として、 しばらくガレー船の漕ぎ手をやらせたいくらいだ。 この度は御目のご機嫌を損ねたであろう。去れ。
qstr_Have_you_nothing_bet|{playername}よ、おぬしには任務失敗に対する 苦しい申し開き以外に、能はないのか？我々はどうやら、 おぬしを買いかぶっておったようだ。我々の足を引っ張らぬよう、 今後は精々励むがよい、{playername}。 弱い者にかけられる情けなど、ないぞ！
qstr_{playername}_we_have|{playername}よ、 いよいよアイゼンガルドを追い詰めたぞ。 やつらは塔にこもるサルマンを守るため、 最後の抵抗を始めた。さあ共に戦おう！
qstr_Are_you_ready_to_mee|アイゼンガルドの最後の抵抗と戦う準備はできたか？
qstr_I_am_ready_to_ride_w|共にアイゼンガルドと戦う準備はできています。
qstr_I_am_ready_to_ride_wi|共にやつらと戦う準備はできています。 いまこそ決着をつけましょう。
qstr_I_am_not_ready_to_ri|まだ戦う準備ができていません。 もうしばらく時間を頂きたい。
qstr_You_do_not_have_enou|この戦いに臨むには、おぬしのその兵の数では足りない。 一刻も早く、少なくとも30名の兵を揃えてくるがよい！
qstr_Stay_close_we_will_t|私についてきてくれ。敵勢に接近する。 全軍が配置についたら、攻撃を開始するぞ。
qstr_You_have_taken_too_l|まだかかるのか・・・これではおぬし抜きで戦いを始めなければならない。 我が軍は敵勢の近くに陣取る。3日経ったら攻撃を開始するぞ。
qstr_Make_haste_{playerna|{playername}よ、急ぐのだ。 敵に態勢を整え直す時間を与えてはならない。
qstr_Your_mission_is_comp|今回の任務は完了しました。 {s9}より、 新たな指示のあるまで再び我が軍に同行せよ、 との命令を受け取りました。
qstr_{s13}_asked_you_to_g|{s13}より、 {s4}を{reg3}個集めてくるよう、 命令を受けました。
qstr_Moreover_should_you_|さらに、もしおぬしが{s24}となれば、 我々の軍事遠征の行方を決める作戦会議への参加を許可しよう。 とりあえずのところは、 {s25}であるおぬしは 我々から離されぬようについて来るがよい。 我々は間もなく進軍を開始する。
qstr_For_the_moment_just_|とりあえず、我々から離されぬようについて来るがよい。 我々は間もなく進軍を開始する。
qstr_{s9}_asked_you_to_sc|{s9}より、 {s13}、 {s14}、 および{s15}を偵察し、 結果を報告せよ、 との命令を受けました。
qstr_You_have_been_most_h|おぬしは非常に役に立つ{男/女}だ、 {playername}。 感謝する。
qstr_You_are_a_good_serva|おぬしは使える下僕だ、 {playername}。 その調子で働くがよい。
qstr_Superb_work_{playern|素晴らしい仕事だ、 {playername}。 おぬしの仕事ぶりは賞賛に値する。
qstr_Your_efficiency_is_p|なんという迅速な仕事ぶりだ、 {playername}。 この調子で働くのならば、 じゅうぶん目をかけてやろう。
qstr_It_was_an_honour_to_|お役に立てて光栄です。
qstr_Your_wish_is_my_comm|なんなりとお申し付け下さい。
