qstr_Received_{reg0}_dama|Received {reg0} damage.
qstr_You_find_yourself_in|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. This is no place for one such as you. Snarling, you make your retreat. When the Shadow has covered the world above, perhaps then, you may return here without fear...
qstr_You_find_yourself_in_|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
qstr_With_trepidation_you|With trepidation, you look within the silver basin. The water shows you visions of horror; blood and terror and grief. You recoil... but then, the visions vanish and you see instead a clear night sky, with what seems to be a silver boat floating across the expanse. A sense of calm washes over you. Hope is not wholly gone.
qstr_The_Lady_s_garden_li|The Lady's garden lies peacefully in the bright daylight. You sense nothing out of the ordinary...
qstr_You_kneel_to_pay_you|You kneel to pay your respects to the fallen rulers of this fair realm. Beside you, a shield-maiden of Rohan raises her voice in song. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Your heart aches to hear her words.
qstr_You_wonder_about_the|You wonder about the two rows of burial mounds in front of the gates, yet as a mere {s24}, you do not understand their significance.
qstr_Halt!_You_are_not_al|Halt! You are not allowed to enter here!
qstr_Halt!_You_are_not_all|Halt! You are not allowed to enter here without the Lady's leave!
qstr_While_visiting_towns|While visiting towns, settlements and camps, you can talk to people walking around. Members of different factions have different things to say - some will let you in on their own thoughts, others will share rumours. Both could merely give you a better understanding of the person's culture and faction, or they might hold clues to finding secret locations, or tips and tricks for travelling through the Wilderness and fighting in the War of the Ring.
qstr_Cannot_leave_now.|Cannot leave now.
qstr_You_have_found_the_l|You have found the local smithy.
qstr_You_have_found_the_lo|You have found the local authority.
qstr_You_have_found_the_loc|You have found the local warehouse.
qstr_You_have_found_the_c|You have found the captain of the garrison.
qstr__cancelled_the_{reg1|(cancelled the {reg10} exp pts earned from killing prisoners)
qstr_Forming_ranks.|Forming ranks.
qstr_{reg2?You:Your_mount|{reg2?You:Your mount} received {reg1} extra damage!
qstr_{reg2?You_strike:You|{reg2?You strike:Your horse charges} for {reg1} bonus damage!
qstr_Division_Placement|Division Placement
qstr_Complex_Formations|Complex Formations
qstr_Formations_turned_OF|Formations turned OFF in options menu
qstr_Division_{reg1}_{s2}_g|Division {reg1} {s2} goes to its memorized position...
qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms line (memorized).
qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
qstr_Delivered_{reg60}_da|Delivered {reg60} damage.
qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
qstr_Your_bear_form_has_{|Your bear form has {reg2}/{reg1} HP!
qstr_DEBUG:_Ti_on_item_wi|DEBUG: Ti on item wielded
qstr_Three_Nazgul_are_cir|Three Nazgul are circling in the sky above the battlefield!
qstr_Two_Nazgul_are_circl|Two Nazgul are circling in the sky above the battlefield!
qstr_A_Nazgul_is_circling|A Nazgul is circling in the sky above the battlefield!
qstr_Some_of_your_human_t|Some of your human troops are not daunted by the darkness.(Night Troops are not affected by night time penalties)
qstr_You_are_filled_with_|You are filled with just rage as you set your eyes upon the enemy (Berserk active).
qstr_Your_mount_is_scared|Your mount is scared by the {s5}!
qstr_Your_mount_is_scared_|Your mount is scared by the {s5}, but you can master it!
qstr_Nazgul_sweep!|Nazgul sweep!
qstr_You_and_your_horse_p|You and your horse panic, the Nazgul cries are unbearable!
qstr_Your_horse_panics_th|Your horse panics, the Nazgul cries are unbearable!
qstr_You_cower_in_terror_|You cower in terror, the Nazgul cries are unbearable!
qstr_knocked_unconscious|knocked unconscious
qstr_Nazgul_diving_attack|Nazgul diving attack on {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} is {s10} in the Nazgul attack!
qstr_Received_{reg66}_dam|Received {reg66} damage.
qstr_You_yell_for_your_ho|You yell for your horse.
qstr_You_do_not_need_to_r|You do not need to rally your troops yet.
qstr_You_rally_{reg10}_tr|You rally {reg10} troops!
qstr_{s5}_rallies_{reg65?|{s5} rallies {reg65?her:his} troops!
qstr_You_have_killed_{reg|You have killed {reg1} enemies in this battle!
qstr_Your_bravery_inspire|Your bravery inspires your troops!
qstr_Your_mount_has_falle|Your mount has fallen to the ground beneath you!
qstr_Receive_{reg22}_dama|Receive {reg22} damage.
qstr_You_have_been_knocke|You have been knocked unconscious by {s22}.
qstr_{s21}_has_been_knock|{s21} has been knocked off of {reg23?her:his} mount when it fell.
qstr_{s21}_{reg24?killed:|{s21} {reg24?killed:knocked unconscious} by {s22}.
qstr_A_bear_has_been_summ|A bear has been summoned to battle!
qstr_In_The_Last_Days_of_|In The Last Days of the Third Age, your troops will position themselves and hold at the beginning of each battle, instead of blindly charging.^^To order your troops into formation, press 'J' for Ranks, 'K' for Shield-Wall, 'L' for Wedge, ';' for Square. To undo the formation, press 'U'. ^If your troops are fleeing, you can press 'V' to rally them. You get only a limited amount of rallies per battle, and the amount depends on your leadership and charisma.
qstr_You_can_also_order_y|You can also order your troops to cycle through the type of weapon you want them to use.^^ Press O to cycle between Weapon Order types. Press P to cycle between Shield Order types.
qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^See Info Pages for how to control the different camera modes.
qstr_Battlefield_is_too_s|Battlefield is too small for complex AI formations.
qstr_You_have_a_clear_per|You have a clear perception of great imminent danger, from all around you!
qstr_New_ent_reached_batt|New ent reached battle scene...
qstr_battle_won_triggered|battle won triggered - Good
qstr_battle_won_triggered_|battle won triggered - Evil
qstr_You_receive_word_tha|You receive word that Beorning villages were attacked. Beornings lose faction strength.
qstr_You_receive_word_that|You receive word that the Ring Hunter Leaders were seen travelling towards Mordor, a chest in tow. Mordor gains faction strength.
qstr_Enemy_reinforcements|Enemy reinforcements have arrived
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|Get all of them!
qstr_Kill_them_all!|Kill them all!
qstr_Toss_them_overboard!|Toss them overboard!
qstr_It_is_a_good_day_to_|It is a good day to die!
qstr_All_hands_on_deck!_T|All hands on deck! Throw them back!
qstr_Ally_reinforcements_|Ally reinforcements have arrived
qstr_Forward_men!|Forward, men!
qstr_Leave_none_of_these_|Leave none of these filth standing!
qstr_End_them_all!|End them all!
qstr_Drive_them_back!|Drive them back!
qstr_Protect_the_City!|Protect the City!
qstr_Forward!_Board_them!|Forward! Board them!
qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Attacking players command some of their own troops.
qstr_on_the_left_flank|on the left flank
qstr_on_the_right_flank|on the right flank
qstr_through_the_center|through the center
qstr_Attackers_charge_{s2|Attackers charge {s2}
qstr_Attackers_charge_{s1|Attackers charge {s1}
qstr_{s1}_rallied_to_your|{s1} rallied to your side due to your Charisma.
qstr_Last_attacker_wave._|Last attacker wave. Do you want to retreat?
qstr_Attackers_almost_def|Attackers almost defeated. Do you want to retreat?
qstr_The_remaining_attack|The remaining attackers disperse!
qstr_The_remaining_defend|The remaining defenders escape from the siege!
qstr_Attackers:_{reg1}/{r|Attackers: {reg1}/{reg3}/{reg5}/{reg7} Defenders: {reg0}/{reg2}/{reg4}/{reg6}
qstr_player_team:_{reg7}|player team: {reg7}
qstr_Reached_Gauntlet_wav|Reached Gauntlet wave {reg1}!
qstr_Ballista:_out_of_amm|Ballista: out of ammo!
qstr_Ballista:_turn_CURSO|Ballista: turn CURSOR, aim LSHIFT, shoot SPACE, set fire T, exit F
qstr_Ballista:_out_of_ammo|Ballista: out of ammo
qstr_The_ladders_on_Deepi|The ladders on Deeping Wall! Watch out!
qstr_FOG:R_{reg0}_G_{reg1|FOG:R {reg0} G {reg1} B{reg2} dist {reg3}
qstr_max_X_{reg0}_max_Y_{|max X {reg0} max Y {reg1}
qstr_Press_F3_to_start_th|Press F3 to start the battle.
qstr_THREE.._TWO..._ONE..|THREE.. TWO... ONE.... FIGHT!
qstr_You_have_come_upon_t|You have come upon the ruins of Amon Hen, the Hill of Sight, a Gondorian watch-tower atop which rests the Seat of Seeing^^You sense that this place was once great but has long been forgotten
qstr_You_have_come_upon_th|You have come upon the Dead Marshes, site of the battle of Dagorlad during the War of the Last Alliance^^The marshlands have swallowed up what was once a grassy plain, and now the only green is the scum of livid weed on the dark greasy surfaces of the sullen waters^^Dead grasses and rotting reeds loom up in the mists like ragged shadows of long forgotten summers, and bodies of men, elves, and orcs float in the murky depths^^The air feels cold and clammy, and you can't help but shiver as you see candle-lights flickering in the eyes of an elf corpse just beneath the water's surface
qstr_You_have_entered_the|You have entered the woods of Southern Mirkwood, once known as Greenwood the Great^^The fortress of Dol Guldur is nearby and it casts a dark shadow over the forest. The woods here feel sickly and full of decay. Ancient oak trees are overrun with rot and fungus and great tangling webs stretch from trunk to trunk^^ The air is everlastingly still and dark and stuffy, and it feels like you are slowly being suffocated
qstr_You_have_found_the_D|You have found the Dwarven Warehouse where the Legendary Spears could be. Report what you find to {s3}
qstr_Leave_the_Warehouse?|Leave the Warehouse?
qstr_Leave_the_place_in_s|Leave the place in silence?
qstr_Leave_scene?|Leave scene?
qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
qstr_There_is_no_way_out!|There is no way out! Surrender to orcs?
qstr_Stealth_mini_game_tu|Stealth mini-game tutorial: There are two alarm levels. Level 1 is set off by the guards seeing a dead body or by them spotting you. Level 2 is set off by the guards spotting you when level 1 is already active. Level two is dangerous because guards will continue to arrive. You can avoid being spotted by staying hidden. To hid simply move behind various bits of cover.
qstr_You_are_now_hidden.|You are now hidden.
qstr_You_move_out_of_hidi|You move out of hiding.
qstr_The_guards_have_spot|The guards have spotted a dead body!
qstr_Alarm_Level_is_now_a|Alarm Level is now at 1!
qstr_You_have_been_too_sl|You have been too slow: The alarm has spread, and the sorcerer made his escape before you could get close.
qstr_Alarm_Level_is_now_at|Alarm Level is now at 0!
qstr_The_guards_have_spott|The guards have spotted you!
qstr_Alarm_Level_is_now_at_|Alarm Level is now at 2!
qstr_Enemy_reinforcements_|Enemy reinforcements arrived.
qstr_Venture_deeper_into_|Venture deeper into the forest and find a way onward.
qstr_The_sorcerer_has_fle|The sorcerer has fled!
qstr_Report_this_ill_news|Report this ill news to the Lady at once.
qstr_The_sorcerer_is_flee|The sorcerer is fleeing! Kill him!
qstr_The_sorcerer_has_joi|The sorcerer has joined the fight! Kill him!
qstr_The_sorcerer_is_dead|The sorcerer is dead!
qstr_The_battle_is_won!|The battle is won!
qstr_A_band_of_tribal_orc|A band of tribal orcs have appeared!
qstr_Gaaaar!!_We_wants_th|Gaaaar!! We wants those human meat!
qstr_{s31}_scouts_have_ap|{s31} scouts have appeared!
qstr_Those_are_ours!_We_h|Those are ours! We have been tracking them since they left! No one stands in our way!
qstr_Trolls_appeared!|Trolls appeared!
qstr_Gaaaar!!|Gaaaar!!
qstr_{s31}_scouts_have_app|{s31} scouts have appeared to aid the refugees!
qstr_Hurry_men!_Help_the_|Hurry, men! Help the refugees! Kill all the scum and do not let them escape!
qstr_Cannot_leave|Cannot leave
qstr_Longbeard_Kinsman|Longbeard Kinsman
qstr_Ori_Longbeard|Ori Longbeard
qstr_We_shall_make_our_st|We shall make our stand here! FOR BALIN!
qstr_Noooo!_You_orcs_will|Noooo! You orcs will pay for this!
qstr_Arghhh!!_Nooo!!|Arghhh!! Nooo!!
qstr_I_will_take_down_as_|I will take down as many as I can before I fall!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|Kill the dwarves!
qstr_Finish_them!|Finish them!
qstr_We_will_feast_on_you|We will feast on your flesh!
qstr_Dwarf_meat!|Dwarf meat!
qstr_Eru_Iluvatar_has_dec|Eru Iluvatar has decided the fate of Balin's Company, and it cannot be changed.
qstr_They_are_coming....!|They are coming....!
qstr_Who...dares...enter.|Who...dares...enter...
qstr_You_are_not_welcome_|You are not welcome here!
qstr_Finally_I_found_you!|Finally, I found you! Let's get out of here!
qstr_You...are....ours...|You...are....ours...
qstr_Look_at_my_over_the_|Look at my over-the-shoulder shot, {playername}! I'm so beautiful from a distance!
qstr_You_wish_old_man_my_|You wish, old man, my over-the-shoulder view is much prettier!
qstr_You_should_really_se|You should really see Steward Denetor's Facebook photos, he's amazing!
qstr_Press_Space_to_conti|Press Space to continue...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} until next promotion^
qstr_Influence:^_{reg11}_|Influence:^ {reg11} (with {s16})^
qstr_Resource_Points:^_{r|Resource Points:^ {reg12} (in {s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} until next promotion^
qstr_{s13}_{reg11}__with_|{s13} {reg11} (with {s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (in {s16})^
qstr__={s10}=_^{s11}^^^{s|-={s10}=-^{s11}^^^{s13}^^^{s15}.
qstr_{s1}___{s15}|{s1} - {s15}
qstr_{s1}___{reg1}|{s1} - {reg1}
qstr_{s4}:_M{reg3}_2M{reg|{s4}: M{reg3}, 2M{reg4}, PC{reg5}, 2PC{reg6}, PM{reg7}
qstr_Dressing_Room|Dressing Room
qstr_Formations_Test|Formations Test
qstr_Four_years_after_bri|Four years after bringing a group of Dwarves from Erebor to attempt to resettle the once-Dwarven city of Khazad-dûm, Balin was killed by an Orc arrow while peering into Lake Mirrormere, and his people became immediately engaged with many Orcs coming up the Silverlode River. After a continuous retreat from the East-gate and First Hall, then the Bridge of Khazad-dûm and Second Hall, the remaining Longbeards were forced all the way back into the Twenty-first Hall. After an unsuccessful attempt to escape through the Doors of Durin that saw the death of Óin, the Chamber of Mazarbul became the last hold-out of the Colony after losing the Twenty-first Hall just outside the chamber. Barring the gates, Ori and the few survivors set up a final defense.
qstr_You_chase_an_orc_sco|You chase an orc scout party into the forest...
qstr_TEST:_troll_VS_infan|TEST: troll VS infantry
qstr_TEST:_troll_VS_Weak_|TEST: troll VS Weak infantry
qstr_TEST:_troll_VS_Elves|TEST: troll VS Elves
qstr_TEST:_troll_VS_arche|TEST: troll VS archers
qstr_TEST:_troll_VS_chava|TEST: troll VS chavalry
qstr_TEST:_troll_VS_lance|TEST: troll VS lancers
qstr_TEST:_Troll_vs_Troll|TEST: Troll vs Troll
qstr_TEST:_Troll_by_playe|TEST: Troll by player
qstr_TROLL_TEST|TROLL TEST
qstr_TEST:_warg_test_1_VS|TEST: warg test 1 VS 1
qstr_TEST:_warg_test_2_VS|TEST: warg test 2 VS 3
qstr_TEST:_warg_test_many|TEST: warg test many VS many
qstr_TEST:_play_warg_test|TEST: play warg, test 1 VS 1
qstr_TEST:_play_wargs_tes|TEST: play wargs, test 2 VS 3
qstr_TEST:_play_wargs_man|TEST: play wargs, many VS many
qstr_TEST_BATTLE:_{reg10}|TEST BATTLE: {reg10} {s10} vs {reg11} {s11}
qstr_TEST_SCENE|TEST SCENE
qstr_FACTION_SHOWOFF|FACTION SHOWOFF
qstr___| -
qstr__| 
qstr__+| +
qstr_^No_food:___{reg7}|^No food:  -{reg7}
qstr_Current_party_morale|Current party morale is {reg5}.^Current party morale modifiers are:^^Base morale:  +50^Party size: {s2}{reg1}^Leadership: {s3}{reg2}^Food variety: {s4}{reg3}{s5}^Special items: {s6}{reg6}^Recent events: {s7}{reg4}^TOTAL:  {reg5}
qstr_Defending|Defending
qstr_Gathering_army|Gathering army
qstr_Besieging_{s11}|Besieging {s11}
qstr_Raiding_{s11}|Raiding {s11}
qstr_Attacking_enemies_ar|Attacking enemies around {s11}
qstr_No_one|No one
qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshall: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
qstr_You_are_in_perfect_h|You are in perfect health.
qstr_You_are_suffering_fr|You are suffering from {s1}.
qstr_You_are_suffering_fro|You are suffering from {s1} and {s2}.
qstr_You_are_suffering_from|You are suffering from {s1}, {s2}, and {s3}.
qstr_You_are_suffering_from_|You are suffering from {s1}, {s2}, {s3} and {s4}.
qstr_Troop_upkeep__paid_e|Troop upkeep (paid every four days):^
qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Resource Points ^Party: {reg4}^Reserves: {reg7}
qstr_No_upkeep_costs|No upkeep costs
qstr_Orc_hiring_bonus:_+2|Orc hiring bonus: +2/3 for each orc^
qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +10^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Ranks: {s4}{reg3}^{s5}TOTAL:  {reg5}
qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
qstr__________Faction_str|         Faction strengths report:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Factions are normally sieged when below {reg1} strength.
qstr_Savagery|Savagery
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Traits gained:^{s2}
qstr_^^You_are_{s17}.|^^You are {s17}.
qstr_Assassins_in_the_cam|Assassins in the camp, defend yourself!
qstr_Cheats_used:_{reg78}|Cheats used: {reg78}
qstr_Ally_party_size:_{re|Ally party size: {reg1}
qstr_Enemy_party_size:_{r|Enemy party size: {reg1}
qstr_Spawned_routed_parti|Spawned routed parties!
qstr_Party_count:_{reg0}|Party count: {reg0}
qstr_Party_position__{reg|Party position ({reg2},{reg3}).
qstr_XP_added|XP added
qstr_You_have_been_pimped|You have been pimped up!
qstr_9000_XP_added___now_|9000 XP added - now wait for the War...(assumes war starts at level 8)
qstr_Good_factions_defeat|Good factions defeated! Now wait for it...
qstr_{s1}_rank_points_inc|{s1} rank points increased to {reg0}, influence to {reg1}!
qstr_Party_size_increased|Party size increased from {reg0} to {reg1}!
qstr_All_four_legendary_p|All four legendary places enabled!
qstr_{s10}_crushed!_Lords|{s10} crushed! Lords will go to their capitals...
qstr_{s10}_defeated!_Now_|{s10} defeated! Now wait for it...
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s23}) Diff: {reg2}
qstr_Faction_strengths_re|Faction strengths report:^{s2}
qstr_Attacking_enemy_part|Attacking enemy party {s11}
qstr_Unknown_{reg3}_|Unknown({reg3})
qstr_SE|SE
qstr_SW|SW
qstr_C|C
qstr_N|N
qstr_INVALID|INVALID
qstr_{s2}^{s4}:_Th:_{s9}_|{s2}^{s4}: Th: {s9}-{s10} Str: {reg1} Hosts: {reg2} {s11}
qstr_Faction_AI_report:^{|Faction AI report:^{s2}
qstr_Detailed_faction_AI_|Detailed faction AI report for {s4}:^Theater:{s9}-{s10} Str:{reg1} Hosts:{reg2} {s11}
qstr_Faction_defeated!^{s|Faction defeated!^{s1}
qstr_{s1}^{s6}_leads_{s7}|{s1}^{s6} leads {s7}, 
qstr_{s1}_no_host__|{s1}(no host), 
qstr_{s1}doing_nothing|{s1}doing nothing
qstr_{s1}escorting_{s7}|{s1}escorting {s7}
qstr_{s1}besieging_{s7}|{s1}besieging {s7}
qstr_{s1}defending_{s7}|{s1}defending {s7}
qstr_{s1}patrolling_aroun|{s1}patrolling around {s7}
qstr_{s1}recruiting_in_{s|{s1}recruiting in {s7} - INVALID
qstr_{s1}raiding_around_{|{s1}raiding around {s7} - INVALID
qstr_{s1}engaging_{s7}|{s1}engaging {s7}
qstr_{s1}retreating_to_{s|{s1}retreating to {s7}
qstr_{s1}unknown_{reg3}_|{s1}unknown({reg3})
qstr_Faction_defeated!_No|Faction defeated! Now wait for it...
qstr_Faction_almost_defea|Faction almost defeated! Wait for the guardians to spawn...
qstr_Faction_almost_defeat|Faction almost defeated! The AI can go for the capital now...
qstr_{s4}_spawn_losses_af|{s4} spawn losses after {reg1} days^
qstr_{s1}^Scouts_lost:_{r|{s1}^Scouts lost: {reg1} Str loss: {reg2} Active: {reg3}
qstr_{s1}^Raiders_lost:_{|{s1}^Raiders lost: {reg1} Str loss: {reg2} Active: {reg3}
qstr_{s1}^Patrols_lost:_{|{s1}^Patrols lost: {reg1} Str loss: {reg2} Active: {reg3}
qstr_{s1}^Caravans_lost:_|{s1}^Caravans lost: {reg1} Str loss: {reg2} Active: {reg3}
qstr_{s1}^P._trains_lost_|{s1}^P. trains lost-arrived: {reg1} Strength loss: 0{reg2?-{reg2}:} Active: {reg3}
qstr_{s1}^^Total_strength|{s1}^^Total strength gain: {reg1}
qstr_{s1}^Total_strength_|{s1}^Total strength loss: {reg2}
qstr_{s1}^_Strength_loss_|{s1}^(Strength loss from spawns: {reg3})
qstr_{s1}^Difference:_{re|{s1}^Difference: {reg1}
qstr_Daily_strength_incom|Daily strength income and garrisons for {s4}
qstr_{s1}^{s7}:_{reg1}__G|{s1}^{s7}: {reg1}  Garrison: {reg3}/{reg2}{reg4?: Capturable}
qstr_{s1}^^Total:_{reg1}|{s1}^^Total: {reg1}
qstr_Gothmog_besieges_Wes|Gothmog besieges West Osgiliath!
qstr_Gothmog_besieges_Ere|Gothmog besieges Erech!
qstr_Gothmog_besieges_Pin|Gothmog besieges Pinnath Gelin!
qstr_Gothmog_besieges_Edh|Gothmog besieges Edhellond!
qstr_Gothmog_besieges_Edo|Gothmog besieges Edoras!
qstr_Gothmog_besieges_Cai|Gothmog besieges Cair Andros!
qstr_Gothmog_besieges_Pel|Gothmog besieges Pelargir!
qstr_Saruman_besieges_Edo|Saruman besieges Edoras!
qstr_Partitava_besieges_D|Partitava besieges Dale!
qstr_{s10}_besieged!|{s10} besieged!
qstr_SW_advance_camps_spa|SW advance camps spawned around a point northwest of East Emnet!
qstr_SE_advance_camps_spa|SE advance camps spawned around a point west of West Osgiliath!
qstr_C_advance_camps_spaw|C advance camps spawned around Cerin Amroth!
qstr_N_advance_camps_spaw|N advance camps spawned around Beorn's House!
qstr_Advance_camps_disabl|Advance camps disabled, theaters restored!
qstr_SW_advance_camps_spaw|SW advance camps spawned around {reg2},{reg3}!
qstr_SE_advance_camps_spaw|SE advance camps spawned around {reg2},{reg3}!
qstr_C_advance_camps_spawn|C advance camps spawned around {reg2},{reg3}!
qstr_N_advance_camps_spawn|N advance camps spawned around {reg2},{reg3}!
qstr_Gandalf_would_like_t|Gandalf would like to have a little chat!
qstr_Kham_Cheat_Mode_ON!|Kham Cheat Mode ON!
qstr_1_troll_added!|1 troll added!
qstr_Raft_Men_party_enabl|Raft Men party enabled. They are down River Running
qstr_theater:_{reg0}|theater: {reg0}
qstr_Orc_Horde_Spawned!|Orc Horde Spawned!
qstr_Vet_Archer_Spawned!|Vet Archer Spawned!
qstr_Killer_WItcher_Spawn|Killer WItcher Spawned, Badass King Theo added!
qstr_Player_Siege_Enabled|Player Siege Enabled
qstr_You_are_not_in_the_r|You are not in the right region to spawn animal ambushes. Please go to N Mirkwood, S Mirkwood, Grey Mountains, or Misty Mountains
qstr_{reg1}|{reg1}
qstr_ON|ON
qstr_OFF__cheat_|OFF (cheat)
qstr_OFF|OFF
qstr_All_messages|All messages
qstr_{reg0}__will_most_li|{reg0} (will most likely cause save crashes)
qstr_{reg0}__could_possib|{reg0} (could possibly cause save crashes)
qstr_Normal|Normal
qstr_Defender_only|Defender only
qstr_Halved|Halved
qstr_Battles_only|Battles only
qstr_Doubled|Doubled
qstr_Tripled|Tripled
qstr_Quadrupled|Quadrupled
qstr_You_drank_the_Ent_Wa|You drank the Ent Water...
qstr_You_used_the_Orc_Bre|You used the Orc Brew.
qstr_You_and_your_compani|You and your companions drink a sip of Miruvor. You feel refreshed and strengthened.
qstr_You_give_a_few_leave|You give a few leaves of Athelas to your healers.
qstr_Not_enough_party_spa|Not enough party space.
qstr_elites|elites
qstr_regulars|regulars
qstr_recruits|recruits
qstr_wild|wild
qstr_goblins|goblins
qstr_lordless|lordless
qstr_orc_stragglers|orc stragglers
qstr_You_camp_and_beat_th|You camp and beat the Drums of the Deep. The mighty sound attracts a group of {s1} {s2}.
qstr_You_camp_and_beat_the|You camp and beat the Drums of the Deep. The powerful sound attracts a group of {s1} {s2}.
qstr_You_camp_and_beat_the_|You camp and beat the Drums of the Deep. The weak sound attracts a group of {s1} {s2}.
qstr_You_camp_and_try_to_|You camp and try to beat the Drums of the Deep, yet noone answers your pitiful call.
qstr_^^^A_great_victory!^|^^^A great victory!^^^So this is what all the myths about Fangorn meant...
qstr_^^^Defeated...^^^Sca|^^^Defeated...^^^Scattered in the Fangorn Forest... Alone...
qstr_Troll_caged_in_wheel|Troll caged in wheeled cage.
qstr_A_second_troll_is_ca|A second troll is caged in wheeled cage.
qstr_Here_you_are.|Here you are.
qstr_Player_was_moved_to_|Player was moved to {s10}.
qstr_neutral_whereabouts|neutral whereabouts
qstr_any|any
qstr_woman|woman
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|dunlander
qstr_urukhai|urukhai
qstr_haradrim|haradrim
qstr_dwarf|dwarf
qstr_troll|troll
qstr_dunedain|dunedain
qstr_lothlorien|lothlorien
qstr_rivendell|rivendell
qstr_mirkwood|mirkwood
qstr_evil_man|evil man
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Regular troops only
qstr_Heroes_only|Heroes only
qstr_Regulars_and_Heroes|Regulars and Heroes
qstr_Added_10_prisoners.|Added 10 prisoners.
qstr_Added_1000_experienc|Added 1000 experience to player.
qstr_Attributes_skills_an|Attributes, skills and proficiencies raised.
qstr_Items_added_to_playe|Items added to player inventory.
qstr_Looter_party_was_spa|Looter party was spawned nearby.
qstr_Ironman_turned_off|Ironman turned off
qstr_HP_lost_from_poisoni|HP lost from poisoning.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|A group of {s1} is {s10} toward you.
qstr_You_are_attacking_a_|You are attacking a group of {s1}.
qstr_The_battle_against_t|The battle against the group of {s1} continues.
qstr_CHEAT:_healed!!!|CHEAT: healed!!!
qstr_There_are_{reg39}_al|There are {reg39} allied commanders in this battle. You can command them and their troops for {reg40}/{reg41} influence.
qstr_There_are_{reg39}_all|There are {reg39} allied commanders in this battle. You don't have enough influence to assume command.
qstr_Having_a_small_party|Having a small party has its benefits...You and your troops hide from the enemy for a few hours to be sure that you are not seen.
qstr_Your_ability_to_mast|Your ability to master your environments allowed you to find a safe place to hide. (Your skill in Wildcraft allows you to hide with {reg1} troops)
qstr_{reg4}_will_be_lost.|{reg4} will be lost.
qstr_{s13}_asked_you_to_r|{s13} asked you to report to him with at least {reg13} troops.
qstr_{s13}_ordered_you_to|{s13} ordered you to join the assault against {s14}.
qstr_You_were_victorious!|You were victorious!
qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.
qstr_Your_companions_carr|Your companions carry you away from the fighting.
qstr_You_have_defeated_th|You have defeated the enemy.
qstr_You_have_retreated_f|You have retreated from the fight.
qstr_^^Ally_Casualties:{s|^^Ally Casualties:{s0}
qstr_You_and_{s3}_celebra|You and {s3} celebrate your victory against {s4}.
qstr_News_of_your_victory|News of your victory against {s4} reach {s3}.
qstr_{s3}_witnesses_your_|{s3} witnesses your victory against {s4}.
qstr_Debug:_giving_{reg62|Debug: giving {reg62} rank points for impressed faction.
qstr_Even_though_there_we|Even though there were no allies to witness your victory, your troops nevertheless celebrate your triumph.
qstr_{s1}_of_{s3}_managed|{s1} of {s3} managed to escape.
qstr_{s17}|{s17}
qstr_Prisoners_rescued_so|Prisoners rescued so far: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} kills of {s1} faction troops counted towards Oath. TOTAL Kills: {reg0}
qstr_DEBUG:_Target_Party_|DEBUG: Target Party - YES
