trp_unarmed_troop|Nenaoružani vojnik
; trp_knight_5_6|Fulgni Longbeard
; trp_knight_5_7|Thorin Stonehelm
; trp_knight_5_11|Chief Fudreim
; trp_knight_5_12|Chief Wulf
; trp_knight_6_1|Dervorin
; trp_smith_mtirith|Berethor the Smith
; trp_smith_mtirith_pl|Steward's smiths
; trp_smith_pelargir|Hallatan Metalmaster
trp_smith_pelargir_pl|Kovačnica
; trp_smith_linhir|Bor the Armorer
trp_smith_linhir_pl|Kovačnica
; trp_smith_dolamroth|Haldad the Smith
; trp_smith_dolamroth_pl|Amroth smiths
; trp_smith_edhellond|Ryis Ironbender
trp_smith_edhellond_pl|Kovačnica
; trp_smith_lossarnach|Berin Axemaker
trp_smith_lossarnach_pl|Kovačnica
; trp_smith_tarnost|Harandil Steelhammer
trp_smith_tarnost_pl|Kovačnica
; trp_smith_erech|Lorne the Black
trp_smith_erech_pl|Kovačnica
; trp_smith_pinnath|Tarandil Swordmaker
trp_smith_pinnath_pl|Kovačnica
; trp_smith_eosgiliath|Bzurg the Looter
trp_smith_eosgiliath_pl|Kovačnica
; trp_smith_wosgiliath|Gardil
; trp_smith_wosgiliath_pl|makeshift smithy
; trp_smith_calembel|Agronom
trp_smith_calembel_pl|Kovačnica
; trp_smith_hannun|Fal the Ranger Smith
; trp_smith_hannun_pl|ranger gear stash
; trp_smith_candros|Kalimdor
trp_smith_candros_pl|Kovačnica
; trp_smith_edoras|Eaoden Steelmaster
; trp_smith_edoras_pl|King's smithy
; trp_smith_aldburg|Fulm Ironhoof
trp_smith_aldburg_pl|Kovačnica
; trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|Kovačnica
; trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|Kovačnica
; trp_smith_westfold|Deor Helmmaker
trp_smith_westfold_pl|Kovačnica
; trp_smith_westemnet|Armourer
trp_smith_westemnet_pl|Kovačnica
; trp_smith_eastfold|Eaderan Ironcarver
trp_smith_eastfold_pl|Kovačnica
; trp_smith_morannon|Hurbag Gateforger
trp_smith_morannon_pl|Kovačnica
; trp_smith_mmorgul|Orgurz Firebelcher
trp_smith_mmorgul_pl|Kovačnica
; trp_town_24_smith|Boz Ironspoiler
trp_town_24_smith_pl|Kovačnica
; trp_smith_orc_patrol|Glugz Ironfinger
; trp_smith_orc_patrol_pl|camp smithy
; trp_smith_oscamp|Kugash Ironlover
; trp_smith_oscamp_pl|camp smithy
; trp_smith_isengard|Burz Ironbasher
; trp_smith_isengard_pl|underground smithy
; trp_smith_uoutpost|Gurzuk Irontooth
; trp_smith_uoutpost_pl|outpost smithy
; trp_smith_uhcamp|Rabzug Rusteater
; trp_smith_uhcamp_pl|camp smithy
; trp_smith_urcamp|Glurk
; trp_smith_urcamp_pl|camp smithy
; trp_smith_cgaladhon|Dirufin the Bowyer
; trp_smith_cgaladhon_pl|elven weaponmakers
; trp_smith_cdolen|Dimirian the Fletcher
; trp_smith_cdolen_pl|elven weaponmakers
; trp_smith_camroth|Getasistan
; trp_smith_camroth_pl|elven weaponmakers
; trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|Kovačnica
; trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|Kovačnica
; trp_smith_beorn|Beornalaf Axemaker
trp_smith_beorn_pl|Kovačnica
; trp_smith_moria|Burgak Forger
trp_smith_moria_pl|Kovačnica
; trp_smith_dale|Ardel Firehand
trp_smith_dale_pl|Kovačnica
; trp_smith_esgaroth|Kelegarn The Bowyer
trp_smith_esgaroth_pl|Kovačnica
; trp_smith_erebor|Thror the Hammerer
; trp_smith_erebor_pl|praised Dwarven smiths
; trp_smith_dunland|Dorrowuld Ironpike
trp_smith_dunland_pl|Kovačnica
; trp_smith_harad|Har Steelbender
trp_smith_harad_pl|Kovačnica
; trp_smith_khand|Pushurt The Haggler
trp_smith_khand_pl|Kovačnica
trp_smith_umbar|Kovač Fuinir
trp_smith_umbar_pl|Kovačnica
; trp_smith_imladris|Duifirian
; trp_smith_imladris_pl|elven weaponmakers
; trp_smith_dolguldur|Shtazg Dulbash
trp_smith_dolguldur_pl|Kovačnica
; trp_smith_north_rhun|Ognjemir Kladivo
; trp_smith_north_rhun_pl|makeshift smithy
; trp_smith_gundabad|Blurg Snowseller
trp_smith_gundabad_pl|Kovačnica
; trp_smith_ironhill|Ironhill Smith
; trp_smith_ironhill_pl|Dwarven camp smiths
; trp_town_50_weaponsmith|Shruklug Knife Grinder
trp_town_50_weaponsmith_pl|Kovačnica
; trp_smith_gondor_ac|Bor the Armorer
; trp_smith_gondor_ac_pl|camp smithy
; trp_smith_rohan_ac|Deor Helmmaker
; trp_smith_rohan_ac_pl|camp smithy
; trp_smith_mordor_ac|Hurbag Gateforger
trp_smith_mordor_ac_pl|Kovačnica
; trp_smith_isengard_ac|Burz Ironbasher
; trp_smith_isengard_ac_pl|underground smithy
; trp_smith_lorien_ac|Dimirian the Fletcher
; trp_smith_lorien_ac_pl|elven weaponmakers
; trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|Kovačnica
; trp_smith_dwarf_ac|Ironhill Smith
; trp_smith_dwarf_ac_pl|Dwarven camp smiths
; trp_smith_gundabad_ac|Blurg Snowseller
trp_smith_gundabad_ac_pl|Kovačnica
; trp_smith_rhun_ac|Branimir Bronnik
; trp_smith_rhun_ac_pl|makeshift smithy
; trp_smith_guldur_ac|Shtazg Dulbash
trp_smith_guldur_ac_pl|Kovačnica
; trp_smith_imladris_ac|Duifirian
; trp_smith_imladris_ac_pl|elven weaponmakers
; trp_smith_dunland_ac|Dorrowuld Ironpike
trp_smith_dunland_ac_pl|Kovačnica
; trp_smith_harad_ac|Har Steelbender
trp_smith_harad_ac_pl|Kovačnica
; trp_smith_khand_ac|Pushurt The Haggler
trp_smith_khand_ac_pl|Kovačnica
trp_smith_umbar_ac|Kovač Fuinir
trp_smith_umbar_ac_pl|Kovačnica
trp_barman_mtirith|Krčmar 
trp_barman_mtirith_pl|Citadela
trp_barman_pelargir|Krčmar 
trp_barman_pelargir_pl|Dvorac
trp_barman_linhir|Krčmar 
trp_barman_linhir_pl|Dvorac
trp_barman_dolamroth|Krčmar 
trp_barman_dolamroth_pl|Dvorac
trp_barman_edhellond|Krčmar 
trp_barman_edhellond_pl|Dvorac
trp_barman_lossarnach|Krčmar 
trp_barman_lossarnach_pl|Dvorac
trp_barman_tarnost|Krčmar 
trp_barman_tarnost_pl|Dvorac
trp_barman_erech|Krčmar 
trp_barman_erech_pl|Dvorac
trp_barman_pinnath|Krčmar 
trp_barman_pinnath_pl|Dvorac
trp_barman_hannun|Krčmar 
trp_barman_hannun_pl|Tajna špilja
trp_barman_calembel|Krčmar 
trp_barman_calembel_pl|Dvorac
trp_barman_edoras|Krčmar 
trp_barman_edoras_pl|Meduseld, Zlatne Dveri
trp_barman_aldburg|Krčmar 
trp_barman_aldburg_pl|Dvorac
trp_barman_hornburg|Krčmar 
trp_barman_hornburg_pl|Dveri Vladara
trp_barman_eastemnet|Krčmar 
trp_barman_eastemnet_pl|Dvorac
trp_barman_westfold|Krčmar 
trp_barman_westfold_pl|Dvorac
trp_barman_westemnet|Krčmar 
trp_barman_westemnet_pl|Dvorac
trp_barman_eastfold|Krčmar 
trp_barman_eastfold_pl|Dvorac
trp_barman_baraddur|Krčmar 
trp_barman_baraddur_pl|Dvorac
trp_barman_morannon|Krčmar 
trp_barman_morannon_pl|Špilja od vođe
trp_barman_mmorgul|Krčmar 
trp_barman_mmorgul_pl|Kula
trp_barman_cungol|Krčmar 
trp_barman_cungol_pl|Dvorac
trp_barman_isengard|Krčmar 
trp_barman_isengard_pl|Kula Orthanca
trp_barman_cgaladhon|Krčmar 
trp_barman_cgaladhon_pl|Stableni dvorac
trp_barman_cdolen|Krčmar 
trp_barman_cdolen_pl|Stableni dvorac
trp_barman_camroth|Krčmar 
trp_barman_camroth_pl|Stableni dvorac
trp_barman_thalls|Krčmar 
trp_barman_thalls_pl|Prijestolnica
trp_barman_beorn|Krčmar 
trp_barman_beorn_pl|Kuća Beorna
trp_barman_moria|Krčmar 
trp_barman_moria_pl|Starješina odaja
trp_barman_dale|Krčmar 
trp_barman_dale_pl|Dvorac
trp_barman_esgaroth|Krčmar 
trp_barman_esgaroth_pl|Dvorana
trp_barman_erebor|Krčmar 
trp_barman_erebor_pl|Velika Dvorana Throra
trp_barman_dolguldur|Krčmar 
trp_barman_dolguldur_pl|Dvorac
trp_merchant_mtirith|Opskrbljivač
trp_merchant_mtirith_pl|Štaja i skladište
trp_merchant_pelargir|Opskrbljivač
trp_merchant_pelargir_pl|Štaja i skladište
trp_merchant_linhir|Opskrbljivač
trp_merchant_linhir_pl|Štaja i skladište
trp_merchant_dolamroth|Opskrbljivač
trp_merchant_dolamroth_pl|Štaja i skladište
trp_merchant_edhellond|Opskrbljivač
trp_merchant_edhellond_pl|Štaja i skladište
trp_merchant_lossarnach|Opskrbljivač
trp_merchant_lossarnach_pl|Štaja i skladište
trp_merchant_tarnost|Opskrbljivač
trp_merchant_tarnost_pl|Štaja i skladište
trp_merchant_erech|Opskrbljivač
trp_merchant_erech_pl|Štaja i skladište
trp_merchant_pinnath|Opskrbljivač
trp_merchant_pinnath_pl|Štaja i skladište
trp_merchant_eosgiliath|Opskrbljivač
trp_merchant_eosgiliath_pl|Štaja i skladište
trp_merchant_wosgiliath|Opskrbljivač
trp_merchant_wosgiliath_pl|Štaja i skladište
trp_town_12_horse_merchant|Opskrbljivač
trp_town_12_horse_merchant_pl|Štaja i skladište
trp_town_13_horse_merchant|Opskrbljivač
trp_town_13_horse_merchant_pl|Štaja i skladište
trp_merchant_edoras|Opskrbljivačica
trp_merchant_edoras_pl|Štaja i skladište
trp_merchant_aldburg|Opskrbljivač
trp_merchant_aldburg_pl|Kraljeva štaja i skladište
trp_merchant_hornburg|Opskrbljivač
trp_merchant_hornburg_pl|Štaja i skladište
trp_merchant_eastemnet|Opskrbljivač
trp_merchant_eastemnet_pl|Štaja i skladište
trp_merchant_westfold|Opskrbljivačica
trp_merchant_westfold_pl|Štaja i skladište
trp_merchant_westemnet|Opskrbljivačica
trp_merchant_westemnet_pl|Štaja i skladište
trp_merchant_eastfold|Opskrbljivačica
trp_merchant_eastfold_pl|Štaja i skladište
trp_town_21_horse_merchant|Opskrbljivač
trp_town_21_horse_merchant_pl|Jama i skladište
trp_merchant_morannon|Opskrbljivač
trp_merchant_morannon_pl|Jama i skladište
trp_merchant_mmorgul|Opskrbljivač
trp_merchant_mmorgul_pl|Jama i skladište
trp_town_24_horse_merchant|Opskrbljivač
trp_town_24_horse_merchant_pl|Jama i skladište
trp_merchant_orc_patrol|Opskrbljivač
trp_merchant_orc_patrol_pl|Tajno skladište u kampu
trp_merchant_isengard|Opskrbljivač
trp_merchant_isengard_pl|Tajno skladište u kampu
trp_town_27_horse_merchant|Opskrbljivač
trp_town_27_horse_merchant_pl|Jama za wargove i zalihe
trp_merchant_uoutpost|Opskrbljivač
trp_merchant_uoutpost_pl|Jama za wargove i zalihe
trp_merchant_uhcamp|Opskrbljivač
trp_merchant_uhcamp_pl|Jama za wargove i zalihe
trp_merchant_urcamp|Opskrbljivač
trp_merchant_urcamp_pl|Jama za wargove i zalihe
trp_merchant_cgaladhon|Opskrbljivač
trp_merchant_cgaladhon_pl|Zalihe vilenjaka
trp_merchant_cdolen|Opskrbljivač
trp_merchant_cdolen_pl|Zalihe vilenjaka
trp_merchant_camroth|Opskrbljivač
trp_merchant_camroth_pl|Zalihe vilenjaka
trp_merchant_thranduils_halls|Opskrbljivač
trp_merchant_thranduils_halls_pl|Zalihe vilenjaka
trp_merchant_woodelf_camp|Opskrbljivač
trp_merchant_woodelf_camp_pl|Zalihe vilenjaka
trp_merchant_woodmen|Opskrbljivač
trp_merchant_woodmen_pl|Štaja i skladište
trp_merchant_beorn|Opskrbljivač
trp_merchant_beorn_pl|Štaja i skladište
trp_merchant_moria|Opskrbljivač
trp_merchant_moria_pl|Jama za wargove i zalihe
trp_merchant_dale|Opskrbljivač
trp_merchant_dale_pl|Štaja i skladište
trp_merchant_esgaroth|Opskrbljivač
trp_merchant_esgaroth_pl|Štaja i skladište
trp_merchant_erebor|Opskrbljivač
trp_merchant_erebor_pl|Zalihe patuljaka
trp_merchant_dunland|Dunlandski opskrbljivač
trp_merchant_dunland_pl|Tajno skladište u kampu
trp_merchant_harad|Haradski opskrbljivač
trp_merchant_harad_pl|Tajno skladište u kampu
trp_merchant_khand|Khandski opsrbljivač
trp_merchant_khand_pl|Tajno skladište u kampu
trp_merchant_umbar|Opskrbljivač
trp_merchant_umbar_pl|Tajno skladište u kampu
trp_merchant_imladris|Opskrbljivač
trp_merchant_imladris_pl|Zalihe iz kampa
trp_merchant_dolguldur|Opskrbljivač
trp_merchant_dolguldur_pl|Štaja i skladište
trp_merchant_north_rhun|Opskrbljivač
trp_merchant_north_rhun_pl|Tajno skladište u kampu
trp_merchant_south_rhun|Opskrbljivač
trp_merchant_south_rhun_pl|Tajno skladište u kampu
trp_merchant_gundabad|Opskrbljivač
trp_merchant_gundabad_pl|Tajno skladište u kampu
trp_merchant_ironhill|Opskrbljivač
trp_merchant_ironhill_pl|Zalihe patuljaka
trp_town_50_horse_merchant|Gobrip Žutozubi
trp_town_50_horse_merchant_pl|Jama za wargove i zalihe
trp_merchant_calembel|Opskrbljivač
trp_merchant_calembel_pl|Štaja i skladište
trp_elder_mtirith|Mecena Minas Tiritha
trp_elder_mtirith_pl|Bijeli grad
trp_elder_pelargir|Mornarski nadzornik
trp_elder_pelargir_pl|velegrad
trp_elder_linhir|Mecena iz Linhira
trp_elder_linhir_pl|velegrad
trp_elder_dolamroth|Mecena iz Dol Amortha
trp_elder_dolamroth_pl|velegrad
trp_elder_edhellond|Mecena Edhellonda
trp_elder_edhellond_pl|velegrad
trp_elder_lossarnach|Mecena Lossarnacha
trp_elder_lossarnach_pl|grad
trp_elder_tarnost|Mecena Tarnosta
trp_elder_tarnost_pl|grad
trp_elder_erech|Mecena Erecha
trp_elder_erech_pl|grad
trp_elder_pinnath|Starješina plemena Pinnatha
trp_elder_pinnath_pl|grad
trp_elder_ethring|Mecena Calembel
trp_elder_ethring_pl|grad
; trp_elder_henneth|Ranger Guildmaster
trp_elder_henneth_pl|skrovište
trp_elder_cairandros|Mecena Cair Androsa 
trp_elder_cairandros_pl|otočna tvrđava 
trp_elder_edoras|Plemić Edorasa
trp_elder_edoras_pl|grad
trp_elder_aldburg|Plemić Aldburga
trp_elder_aldburg_pl|grad
; trp_elder_hornburg|Hornburg Thain
trp_elder_hornburg_pl|tvrđava
trp_elder_eastemnet|Plemić Istočnog Emneta
trp_elder_eastemnet_pl|grad
trp_elder_westfold|Plemić Westfolda
trp_elder_westfold_pl|grad
; trp_elder_westemnet|West Emnet Thain
trp_elder_westemnet_pl|grad
; trp_elder_eastfold|Eastfold Thain
trp_elder_eastfold_pl|grad
; trp_elder_morannon|Morannon Chief
; trp_elder_morannon_pl|the caves overlooking the Great Gate
; trp_elder_mmorgul|Morgul Chief
trp_elder_mmorgul_pl|zlokobni grad
; trp_elder_cungol|Camp Chief
trp_elder_cungol_pl|kamp
; trp_elder_isengard|Grima Wormtongue
trp_elder_isengard_pl|grad
; trp_elder_cgaladhon|Lorien Loremaster
; trp_elder_cgaladhon_pl|the elven forest fortress
; trp_elder_cdolen|Lorien Loremaster
; trp_elder_cdolen_pl|the encampment
; trp_elder_camroth|Lorien Loremaster
; trp_elder_camroth_pl|the encampment
; trp_elder_thalls|Mirkwood Elder
; trp_elder_thalls_pl|the elven caves
; trp_elder_imladris|Rivendell Campmaster
trp_elder_imladris_pl|kamp
; trp_elder_wvillage|Pierre Woodman
trp_elder_wvillage_pl|selo
; trp_elder_beorn|Beorn Elder
; trp_elder_beorn_pl|the hamlet
; trp_elder_harad|Harad Camp chief
trp_elder_harad_pl|kamp
; trp_elder_rhun|Rhun Camp Chief
trp_elder_rhun_pl|kamp
; trp_elder_khand|Khand Camp Chief
trp_elder_khand_pl|kamp
; trp_elder_dunland|Dun Camp Chief
trp_elder_dunland_pl|kamp
; trp_elder_umbar|Umbar Quartermaster
; trp_elder_umbar_pl|the fortified camp
; trp_elder_moria|Moria Chief
; trp_elder_moria_pl|the Mines
; trp_elder_gunda|Master of the Caves
; trp_elder_gunda_pl|the caves
; trp_elder_dale|Dale Quartermaster
trp_elder_dale_pl|grad
; trp_elder_esgaroth|Esgaroth Quartermaster
; trp_elder_esgaroth_pl|the lake town
; trp_elder_erebor|Erebor Guildmaster
; trp_elder_erebor_pl|the Halls
; trp_elder_dolguldur|Guldur Chief
; trp_elder_dolguldur_pl|the black castle
; trp_elder_gondor_ac|Campmaster
trp_elder_gondor_ac_pl|kamp
; trp_elder_rohan_ac|Campmaster
trp_elder_rohan_ac_pl|kamp
; trp_elder_mordor_ac|Campmaster
trp_elder_mordor_ac_pl|kamp
; trp_elder_isengard_ac|Campmaster
trp_elder_isengard_ac_pl|kamp
; trp_elder_lorien_ac|Campmaster
trp_elder_lorien_ac_pl|kamp
; trp_elder_woodelf_ac|Campmaster
trp_elder_woodelf_ac_pl|kamp
; trp_elder_imladris_ac|Campmaster
trp_elder_imladris_ac_pl|kamp
; trp_elder_beorn_ac|Campmaster
trp_elder_beorn_ac_pl|kamp
; trp_elder_harad_ac|Harad Camp Chief
trp_elder_harad_ac_pl|kamp
; trp_elder_rhun_ac|Rhun Camp Chief
trp_elder_rhun_ac_pl|kamp
; trp_elder_khand_ac|Khand Camp Chief
trp_elder_khand_ac_pl|kamp
; trp_elder_dunland_ac|Dun Camp Chief
trp_elder_dunland_ac_pl|kamp
; trp_elder_umbar_ac|Umbar Quartermaster
trp_elder_umbar_ac_pl|kamp
; trp_elder_moria_ac|Moria Camp Chief
trp_elder_moria_ac_pl|kamp
; trp_elder_gunda_ac|Gundabad Camp Chief
trp_elder_gunda_ac_pl|kamp
; trp_elder_dale_ac|Dale Quartermaster
trp_elder_dale_ac_pl|kamp
; trp_elder_guldur_ac|Guldur Camp Chief
trp_elder_guldur_ac_pl|kamp
; trp_elder_dwarf_ac|Dwarven Campmaster
trp_elder_dwarf_ac_pl|kamp
; trp_village_1_elder|Lord of the Lash
; trp_village_1_elder_pl|the caves
; trp_tutorial_chest_1|Melee Weapons Chest
; trp_tutorial_chest_2|Ranged Weapons Chest
; trp_bonus_chest_1|Bonus Chest
; trp_bonus_chest_2|Bonus Chest
; trp_bonus_chest_3|Bonus Chest
; trp_camp_chest_faction|Faction Chest
; trp_camp_chest_none|Chest for nones
; trp_player_chest|Your Chest
; trp_local_merchant|Local Merchant
; trp_local_merchant_pl|Local Merchants
trp_tax_rebel|Seljak Pobunjenik
trp_tax_rebel_pl|Seljaci Pubenjenici
trp_trainee_peasant|Seljak
trp_trainee_peasant_pl|Seljaci
trp_fugitive_man|Sumnjiv Čovjek
trp_fugitive_man_pl|Sumnjivi Ljudi
; trp_fugitive_elf|Suspicious Elf
; trp_fugitive_elf_pl|Suspicious Elves
; trp_fugitive_dwarf|Suspicious Dwarf
; trp_fugitive_dwarf_pl|Suspicious Dwarves
; trp_fugitive_orc|Suspicious Orc
; trp_fugitive_orc_pl|Suspicious Orcs
; trp_spy|Shifty-eyed Corsair
; trp_spy_pl|Shifty-eyed Corsairs
; trp_spy_evil|Shifty-eyed Southerner
; trp_spy_evil_pl|Shifty-eyed Southerners
; trp_spy_partner|Spy Handler
; trp_spy_partner_pl|Spy Handlers
; trp_spy_partner_evil|Spy Handler
; trp_spy_partner_evil_pl|Spy Handlers
; trp_easter_egg_troll|The Troll
; trp_treebeard|Treebeard
; trp_ent_1|Bregalad
; trp_ent_2|Finglas
; trp_ent_3|Fladrif
; trp_gandalf|Gandalf
; trp_gandalf_pl|Home-grown Gandalves
; trp_nazgul|Nazgul
; trp_nazgul_pl|Domesticated Nazgul
; trp_barman|Barman
; trp_elder|Center Elder
; trp_gear_merchant|Gear Merchant
; trp_goods_merchant|Goods Merchant
; trp_start_quest_caravaneer|Torbal the Caravaneer
; trp_dorwinion_bandit|Dorwinion Bandit
; trp_dorwinion_bandit_pl|Dorwinion Bandits
; trp_dorwinion_raider|Dorwinion Raider
; trp_dorwinion_raider_pl|Dorwinion Raiders
trp_city_guard|Gradski čuvar
trp_city_guard_pl|gradski čuvar
; trp_orc_sentry|Orc Sentry
; trp_orc_sentry_pl|orc sentry
; trp_uruk_hai_sentry|Uruk-hai Sentry
; trp_uruk_hai_sentry_pl|uruk hai sentry
; trp_black_numenorean_sorcerer|Black Numenorean Sorcerer
; trp_black_numenorean_sorcerer_pl|Black numenorean sorcerer
; trp_black_numenorean_acolyte|Black Numenorean Acolyte
; trp_black_numenorean_acolyte_pl|Black Numenorean Acolytes
; trp_wolf_rider_of_mirkwood|Wolf Rider of Mirkwood
; trp_wolf_rider_of_mirkwood_pl|Wolf Riders of Mirkwood
; trp_warg_rider_of_mirkwood|Warg Rider of Mirkwood
; trp_warg_rider_of_mirkwood_pl|Warg Riders of Mirkwood
; trp_gate_aggravator|Gate Defence
; trp_orc_pretender|Orc Pretender
trp_human_prisoner|Ljudski zarobljenik
trp_spider|Mirkwoodski Pauk
trp_spider_pl|Mirkwoodski Pauci
trp_bear|Medvjed
trp_bear_pl|Medvjedi
trp_wolf|Vuk
trp_wolf_pl|Vukovi
; trp_dorwinion_sack|Dorwinion Sack
; trp_ring_hunter_captain|Ring Hunter Captain
; trp_ring_hunter_lt|Ring Hunter Captain
; trp_ring_hunter_one|Ring Hunter
trp_ring_hunter_one_pl|Lovci na Prsten
; trp_ring_hunter_two|Ring Hunter
trp_ring_hunter_two_pl|Lovci na Prsten
; trp_ring_hunter_three|Ring Hunter
trp_ring_hunter_three_pl|Lovci na Prsten
; trp_ring_hunter_four|Ring Hunter
trp_ring_hunter_four_pl|Lovci na Prsten
; trp_start_quest_uruk|Mordor Uruk Captain
; trp_start_quest_orc|Mordor Orc Lieutenant
; trp_start_quest_orc_pl|Large Orcs of Mordor
; trp_start_quest_woodelf|Galadhrim Royal Marksman
; trp_start_quest_woodelf_pl|Galadhrim Royal Marksmen
; trp_start_quest_mordor_scout|Mordor Guide
; trp_start_quest_mordor_scout_pl|Mordor Guides
; trp_start_quest_beorning|Beorning Carrock Berserker
; trp_start_quest_beorning_pl|Beorning Carrock Berserkers
; trp_i6_beorning_bear_warrior|Bear Warrior
; trp_i6_beorning_bear_warrior_pl|Bear Warriors
; trp_morannon_healer|Okstuk the Healer
; trp_minas_tirith_healer|Ioreth
; trp_edoras_healer|Freya the Healer
; trp_isengard_healer|Nurgal the Patcher
; trp_guldur_healer|Mornagar the Gramaryer
; trp_gundabad_healer|Lurgakh Third Eye
; trp_mirkwood_healer|Corwiel the Soft-Handed
; trp_hungry_uruk|Hungry Uruk
; trp_hungry_orc|Hungry Orc
; trp_longing_lorien|Longing Elf
; trp_longing_woodelf|Longing Elf
; trp_longing_imladris|Longing Elf
; trp_i5_deep_dweller_of_moria|Deep-Dweller of Moria
; trp_i5_deep_dweller_of_moria_pl|Deep-Dwellers of Moria
; trp_i5_orc_chieftain_of_moria|Orc Chieftain of Moria
; trp_i5_orc_chieftain_of_moria_pl|Orc Chieftains of Moria
; trp_c5_rhovanion_noble|Rhovanion Noble
; trp_c5_rhovanion_noble_pl|Rhovanion Noblemen
; trp_npc18|Turmbathu
; trp_npc19|Heidrek
; trp_npc20|Zigûrphel
trp_werewolf|Vukodlak
trp_werewolf_pl|Vukodlaci
trp_mountain_goblin2|Planinski Goblin
trp_mountain_goblin2_pl|Planinski Goblini
trp_tribal_orc2|Plemenski Ork
trp_tribal_orc2_pl|Plemenske Orke 
trp_tribal_orc_warrior2|Plemenski ork ratnik
trp_tribal_orc_warrior2_pl|Plemenski ork ratnici
trp_tribal_orc_chief2|Starješina Plemenskih Orkova
trp_tribal_orc_chief2_pl|Starješine Plemenskih Orkova
