trp_unarmed_troop|Silahsız Birlik
trp_khand_lord_pl|Şeyh
trp_umbar_lord|Amiral Tulmir
trp_umbar_lord_pl|Amiral
trp_lorien_lord|Leydi Galadriel
trp_lorien_lord_pl|Leydi
trp_imladris_lord|Lord Elrond
trp_imladris_lord_pl|Lord
trp_woodelf_lord|Kral Thranduil
trp_woodelf_lord_pl|Kral
trp_moria_lord|Efendi Küçük Bolg
trp_moria_lord_pl|Usta
trp_guldur_lord|Efendi Fuinur
trp_guldur_lord_pl|Usta
trp_gundabad_lord|Efendi Burza Krual
trp_gundabad_lord_pl|Usta
trp_dale_lord|Kral Brand
trp_dale_lord_pl|Kral
trp_dwarf_lord|Kral 2. Dain Ironfoot
trp_dwarf_lord_pl|Kral
trp_dunland_lord|Şef Kara Daeglaf
trp_dunland_lord_pl|Şef
trp_beorn_lord|Şef Yaşlı Grimbeorn
trp_beorn_lord_pl|Şef
trp_lorien_marshall|Celeborn
trp_knight_1_1|Korkusuz Angbor
trp_knight_1_2|Húrin of the Keys
trp_knight_1_3|Prens Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Adil Hirluin
trp_knight_1_7|Faramir
trp_knight_1_8|Şişman Forlong
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Hama
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Yediparmak Mog
trp_knight_1_18|Hushnak Uzunbıçak
trp_knight_1_19|Gridash Agaçısıran
trp_knight_1_20|Adamyiyen Gronk
trp_knight_2_1|Kaptan Mortakh
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Piç Pharakhad
trp_knight_2_5|Grishnakh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Tegmen 
trp_knight_2_6|Kabile Reisi Aslan Karna
trp_knight_2_7|Kabile Reisi Na'man
trp_knight_2_8|Kabile Reisi Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Balcoth'lu Ulwarth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Kaptan Morbir
trp_knight_3_2|Kaptan Angamaitë
trp_knight_3_3|Kaptan Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orophin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohir
trp_knight_3_13|Halbarad
trp_knight_3_16|Miriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Whip Snog
trp_knight_4_2|Whip Snotgor
trp_knight_4_6|General Tuskim
trp_knight_4_7|General Mugslag
trp_knight_4_11|Ruel
trp_knight_4_12|Beranor Karakürk
trp_knight_4_16|Whip Brolgukhsh
trp_knight_4_17|Whip Grumrunt
trp_knight_4_18|Whip Grimsob
trp_knight_5_1|Lord Halward
trp_knight_5_2|Lord Bard
trp_knight_5_3|Lord Esgarain
trp_knight_5_6|Fulgni Uzunsakal
trp_knight_5_7|Thorin Taşmigfer
trp_knight_5_11|Şef Fudreim
trp_knight_5_12|Şef Wulf
trp_knight_6_1|Dervorin
trp_smith_mtirith|Usta Berethor
trp_smith_mtirith_pl|Kahya'nın ustaları
trp_smith_pelargir|Metal Ustası Hallatan
trp_smith_pelargir_pl|Demirci
trp_smith_linhir|Zırhcı Bor
trp_smith_linhir_pl|Demirci 
trp_smith_dolamroth|Demirci Haldad
trp_smith_dolamroth_pl|Amroth Demircileri
trp_smith_edhellond|Demir Bükücü Ryis
trp_smith_edhellond_pl|Demirci
trp_smith_lossarnach|Baltacı Berin
trp_smith_lossarnach_pl|Demirci
trp_smith_tarnost|Harandil Çelikçekiç
trp_smith_tarnost_pl|Demirci 
trp_smith_erech|Kara Lorne
trp_smith_erech_pl|Demirci 
trp_smith_pinnath|Kılıç Ustası Tarandil
trp_smith_pinnath_pl|Demirci
trp_smith_eosgiliath|Yagmacı Bzurg
trp_smith_eosgiliath_pl|Demirci 
trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|Geçici Demirci
trp_smith_calembel|Agronom
trp_smith_calembel_pl|Demirci 
trp_smith_hannun|Demirci Fal
trp_smith_hannun_pl|okçu ekipman kasası
trp_smith_candros|Kalimdor
trp_smith_candros_pl|Demirci
trp_smith_edoras|Çelikustası Eaoden
trp_smith_edoras_pl|Kralın demircisi
trp_smith_aldburg|Fulm Demirtoynak
trp_smith_aldburg_pl|Demirci 
trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|Demirci 
trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|Demirci 
trp_smith_westfold|Migfer Ustası Deor
trp_smith_westfold_pl|Demirci 
trp_smith_westemnet|Zırh Ustası
trp_smith_westemnet_pl|Demirci 
trp_smith_eastfold|Eaderan Demiroyucu
trp_smith_eastfold_pl|Demirci 
trp_smith_morannon|Hurbag Kapıyapıcı
trp_smith_morannon_pl|Demirci 
trp_smith_mmorgul|Orgurz Alevgegiren
trp_smith_mmorgul_pl|Demirci 
trp_town_24_smith|Boz Demirbozan
trp_town_24_smith_pl|Demirci 
trp_smith_orc_patrol|Glugz Demirparmak
trp_smith_orc_patrol_pl|Kamp Demircisi
trp_smith_oscamp|Kugash Demirseven
trp_smith_oscamp_pl|Kamp Demircisi 
trp_smith_isengard|Burz Demirvuran
trp_smith_isengard_pl|Yeraltı Demircisi
trp_smith_uoutpost|Gurzuk Demirdiş
trp_smith_uoutpost_pl|İleri Karakol Demircisi
trp_smith_uhcamp|Rabzug Pasyiyen
trp_smith_uhcamp_pl|Kamp Demircisi 
trp_smith_urcamp|Glurk
trp_smith_urcamp_pl|Kamp Demircisi 
trp_smith_cgaladhon|Yay Ustası Dirufin
trp_smith_cgaladhon_pl|Elf Silah Yapımcıları
trp_smith_cdolen|İgrenç Dimirian
trp_smith_cdolen_pl|Elf Silah Yapımcıları 
trp_smith_camroth|Getasistan
trp_smith_camroth_pl|Elf Silah Yapımcıları 
trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|Demirci 
trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|Demirci 
trp_smith_beorn|Balta Yapımcısı Beornalaf
trp_smith_beorn_pl|Demirci 
trp_smith_moria|Demirci Burgak
trp_smith_moria_pl|Demirci 
trp_smith_dale|Ardel Ateşel
trp_smith_dale_pl|Demirci 
trp_smith_esgaroth|Yay Ustası Kelegarn
trp_smith_esgaroth_pl|Demirci 
trp_smith_erebor|Çekiççi Thror
trp_smith_erebor_pl|Methedilmiş Cüce Demircileri
trp_smith_dunland|Dorrowuld Demirkargı
trp_smith_dunland_pl|Demirci 
trp_smith_harad|Har Çelikbüken
trp_smith_harad_pl|Demirci 
trp_smith_khand|Pazarlıkçı Pushurt
trp_smith_khand_pl|Demirci 
trp_smith_umbar|Demirci Fuinir
trp_smith_umbar_pl|Demirci 
trp_smith_imladris|Duifirian
trp_smith_imladris_pl|Elf Silah Yapımcıları 
trp_smith_dolguldur|Shtazg Dulbash
trp_smith_dolguldur_pl|Demirci 
trp_smith_north_rhun|Ognjemir Kladivo
trp_smith_north_rhun_pl|Geçici Demirci 
trp_smith_gundabad|Blurg Karsatan
trp_smith_gundabad_pl|Demirci 
trp_smith_ironhill|Ironhill Demircisi
trp_smith_ironhill_pl|Cüce Kamp Demircileri
trp_town_50_weaponsmith|Bıçak Ogütücü Shruklug
trp_town_50_weaponsmith_pl|Demirci 
trp_smith_gondor_ac|Zırhcı Bor 
trp_smith_gondor_ac_pl|Kamp Demircisi 
trp_smith_rohan_ac|Migfer Ustası Deor 
trp_smith_rohan_ac_pl|Kamp Demircisi 
trp_smith_mordor_ac|Hurbag Kapıyapıcı 
trp_smith_mordor_ac_pl|Demirci 
trp_smith_isengard_ac|Burz Demirvuran 
trp_smith_isengard_ac_pl|Yeraltı Demircisi 
trp_smith_lorien_ac|İgrenç Dimirian 
trp_smith_lorien_ac_pl|Elf Silah Yapımcıları 
trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|Demirci 
trp_smith_dwarf_ac|Ironhill Demircisi 
trp_smith_dwarf_ac_pl|Cüce Kamp Demircileri 
trp_smith_gundabad_ac|Blurg Karsatan 
trp_smith_gundabad_ac_pl|Demirci 
trp_smith_rhun_ac|Branimir Bronnik
trp_smith_rhun_ac_pl|Geçici Demirci 
trp_smith_guldur_ac|Shtazg Dulbash 
trp_smith_guldur_ac_pl|Demirci 
trp_smith_imladris_ac|Duifirian 
trp_smith_imladris_ac_pl|Elf Silah Yapımcıları 
trp_smith_dunland_ac|Dorrowuld Demirkargı 
trp_smith_dunland_ac_pl|Demirci 
trp_smith_harad_ac|Har Çelikbüken 
trp_smith_harad_ac_pl|Demirci 
trp_smith_khand_ac|Pazarlıkçı Pushurt 
trp_smith_khand_ac_pl|Demirci 
trp_smith_umbar_ac|Demirci Fuinir 
trp_smith_umbar_ac_pl|Demirci 
trp_smith_moria_ac|Demirci Burgak
trp_smith_moria_ac_pl|Demirci 
trp_smith_dale_ac|Ardel Ateşel
trp_smith_dale_ac_pl|Demirci 
trp_smith_beorn_ac|Balta Yapımcısı Beornalaf
trp_smith_beorn_ac_pl|Demirci 
trp_smith_woodelf_west_camp|Dhoelath
trp_smith_woodelf_west_camp_pl|Demirci 
trp_smith_woodmen|Balta Yapımcısı Beornalaf
trp_smith_woodmen_pl|Demirci 
trp_smith_beorn_v|Balta Yapımcısı Beornalaf
trp_smith_beorn_v_pl|Demirci 
trp_smith_troll_cave|Demirci Burgak
trp_smith_troll_cave_pl|Demirci 
trp_smith_dg_outpost|Shtazg Dulbash 
trp_smith_dg_outpost_pl|Demirci 
trp_smith_main_rhun|Branimir Bronnik
trp_smith_main_rhun_pl|Geçici Demirci 
trp_smith_south_rhun|Branimir Bronnik
trp_smith_south_rhun_pl|Geçici Demirci 
trp_smith_gundabad_ne|Blurg Karsatan 
trp_smith_gundabad_ne_pl|Demirci 
trp_smith_gundabad_nw|Blurg Karsatan 
trp_smith_gundabad_nw_pl|Demirci 
trp_smith_gundabad_s|Blurg Karsatan 
trp_smith_gundabad_s_pl|Demirci 
trp_smith_gundabad_m|Blurg Karsatan 
trp_smith_gundabad_m_pl|Demirci 
trp_barman_eastemnet| Hancı
trp_barman_eastemnet_pl|Kale 
trp_barman_westfold| Hancı
trp_barman_westfold_pl|Kale 
trp_barman_westemnet| Hancı
trp_barman_westemnet_pl|Kale 
trp_barman_eastfold| Hancı
trp_barman_eastfold_pl|Kale 
trp_barman_baraddur| Hancı
trp_barman_baraddur_pl|Kale 
trp_barman_morannon| Hancı
trp_barman_morannon_pl|Lider'in Magarası
trp_barman_mmorgul| Hancı
trp_barman_mmorgul_pl|Kule
trp_merchant_main_rhun|Erzak Efendisi 
trp_merchant_main_rhun_pl|kamp kasası 
trp_merchant_dg_outpost|Erzak Efendisi 
trp_merchant_dg_outpost_pl|ahır ve ambar 
trp_merchant_woodelf_west_camp|Erzak Efendisi 
trp_merchant_woodelf_west_camp_pl| elf erzakları
trp_merchant_gundabad_m|Erzak Efendisi 
trp_merchant_gundabad_m_pl|kamp kasası 
trp_merchant_gundabad_s|Erzak Efendisi 
trp_merchant_gundabad_s_pl|kamp kasası 
trp_merchant_gundabad_nw|Erzak Efendisi 
trp_merchant_gundabad_nw_pl|kamp kasası 
trp_merchant_gundabad_ne|Erzak Efendisi 
trp_merchant_gundabad_ne_pl|kamp kasası 
trp_merchant_troll_cave|Erzak Efendisi 
trp_merchant_troll_cave_pl|warg çukuru ve erzaklar 
trp_merchant_beorn_v|Erzak Efendisi 
trp_merchant_beorn_v_pl|ahır ve ambar 
trp_merchant_orc_sentry|Erzak Efendisi 
trp_merchant_orc_sentry_pl|kamp kasası 
trp_merchant_candros|Erzak Efendisi 
trp_merchant_candros_pl|ahır ve ambar 
trp_merchant_hannun|Erzak Efendisi 
trp_merchant_hannun_pl|korucu malzemeleri
trp_merchant_mtirith|Erzak Efendisi
trp_merchant_mtirith_pl|ahır ve ambar
trp_merchant_pelargir|Erzak Efendisi 
trp_merchant_pelargir_pl|ahır ve ambar 
trp_merchant_linhir|Erzak Efendisi 
trp_merchant_linhir_pl|ahır ve ambar 
trp_merchant_dolamroth|Erzak Efendisi 
trp_merchant_dolamroth_pl|ahır ve ambar 
trp_merchant_edhellond|Erzak Efendisi 
trp_merchant_edhellond_pl|ahır ve ambar 
trp_merchant_lossarnach|Erzak Efendisi 
trp_merchant_lossarnach_pl|ahır ve ambar 
trp_merchant_tarnost|Erzak Efendisi 
trp_merchant_tarnost_pl|ahır ve ambar 
trp_merchant_erech|Erzak Efendisi
trp_merchant_erech_pl|ahır ve ambar
trp_merchant_pinnath|Erzak Efendisi 
trp_merchant_pinnath_pl|ahır ve ambar 
trp_merchant_eosgiliath|Erzak Efendisi 
trp_merchant_eosgiliath_pl|ahır ve ambar 
trp_merchant_wosgiliath|Erzak Efendisi 
trp_merchant_wosgiliath_pl|ahır ve ambar 
trp_town_12_horse_merchant|Erzak Efendisi 
trp_town_12_horse_merchant_pl|ahır ve ambar 
trp_town_13_horse_merchant|Erzak Efendisi 
trp_town_13_horse_merchant_pl|ahır ve ambar 
trp_merchant_edoras|Erzak Hanımı
trp_merchant_edoras_pl|ahır ve ambar 
trp_merchant_aldburg|Erzak Efendisi 
trp_merchant_aldburg_pl|Kralın ahır ve ambarı
trp_merchant_hornburg|Erzak Efendisi 
trp_merchant_hornburg_pl|ahır ve ambar 
trp_merchant_eastemnet|Erzak Efendisi 
trp_merchant_eastemnet_pl|ahır ve ambar 
trp_merchant_westfold|Erzak Hanımı 
trp_merchant_westfold_pl|ahır ve ambar 
trp_merchant_westemnet|Erzak Hanımı 
trp_merchant_westemnet_pl|ahır ve ambar 
trp_merchant_eastfold|Erzak Hanımı 
trp_merchant_eastfold_pl|ahır ve ambar 
trp_town_21_horse_merchant|Erzak Efendisi 
trp_town_21_horse_merchant_pl|çukur ve ambar
trp_merchant_morannon|Erzak Efendisi 
trp_merchant_morannon_pl|çukur ve ambar 
trp_merchant_mmorgul|Erzak Efendisi 
trp_merchant_mmorgul_pl|çukur ve ambar 
trp_town_24_horse_merchant|Erzak Efendisi 
trp_town_24_horse_merchant_pl|çukur ve ambar 
trp_merchant_orc_patrol|Erzak Efendisi 
trp_merchant_orc_patrol_pl|kamp kasası
trp_merchant_isengard|Erzak Efendisi 
trp_merchant_isengard_pl|kamp kasası 
trp_town_27_horse_merchant|Erzak Efendisi 
trp_town_27_horse_merchant_pl|warg çukuru ve erzaklar
trp_merchant_uoutpost|Erzak Efendisi 
trp_merchant_uoutpost_pl|warg çukuru ve erzaklar 
trp_merchant_uhcamp|Erzak Efendisi 
trp_merchant_uhcamp_pl|warg çukuru ve erzaklar 
trp_merchant_urcamp|Erzak Efendisi 
trp_merchant_urcamp_pl|warg çukuru ve erzaklar 
trp_merchant_cgaladhon|Erzak Efendisi 
trp_merchant_cgaladhon_pl| elf erzakları
trp_merchant_cdolen|Erzak Efendisi
trp_merchant_cdolen_pl|elf erzakları
trp_merchant_camroth|Erzak Efendisi 
trp_merchant_camroth_pl|elf erzakları
trp_merchant_thranduils_halls|Erzak Efendisi 
trp_merchant_thranduils_halls_pl| elf erzakları
trp_merchant_woodelf_camp|Erzak Efendisi 
trp_merchant_woodelf_camp_pl| elf erzakları
trp_merchant_woodmen|Erzak Efendisi 
trp_merchant_woodmen_pl|ahır ve ambar 
trp_merchant_beorn|Erzak Efendisi 
trp_merchant_beorn_pl|ahır ve ambar 
trp_merchant_moria|Erzak Efendisi 
trp_merchant_moria_pl|warg çukuru ve erzaklar 
trp_merchant_dale|Erzak Efendisi 
trp_merchant_dale_pl|ahır ve ambar 
trp_merchant_esgaroth|Erzak Efendisi 
trp_merchant_esgaroth_pl|ahır ve ambar 
trp_merchant_erebor|Erzak Efendisi 
trp_merchant_erebor_pl|Cüce erzakları
trp_merchant_dunland|Dun Kasa Ustası
trp_merchant_dunland_pl|kamp kasası 
trp_merchant_harad|Harad Kasa Ustası
trp_merchant_harad_pl|kamp kasası 
trp_merchant_khand|Khand Kasa Ustası
trp_merchant_khand_pl|kamp kasası 
trp_merchant_umbar|Erzak Efendisi 
trp_merchant_umbar_pl|kamp kasası 
trp_merchant_imladris|Erzak Efendisi 
trp_merchant_imladris_pl|kamp erzakları
trp_merchant_dolguldur|Erzak Efendisi 
trp_merchant_dolguldur_pl|ahır ve ambar 
trp_merchant_north_rhun|Erzak Efendisi 
trp_merchant_north_rhun_pl|kamp kasası 
trp_merchant_south_rhun|Erzak Efendisi 
trp_merchant_south_rhun_pl|kamp kasası 
trp_merchant_gundabad|Erzak Efendisi 
trp_merchant_gundabad_pl|kamp kasası 
trp_merchant_ironhill|Erzak Efendisi 
trp_merchant_ironhill_pl|Cüce erzakları 
trp_town_50_horse_merchant|YeşilDiş Gobrip
trp_town_50_horse_merchant_pl|warg çukuru ve erzaklar 
trp_merchant_calembel|Erzak Efendisi 
trp_merchant_calembel_pl|ahır ve ambar 
trp_elder_mtirith|Tirith Lonca Başkanı
trp_elder_mtirith_pl|Beyaz Şehir
trp_elder_pelargir|Denizci Loncası Başkanı
trp_elder_pelargir_pl|şehir
trp_elder_linhir|Linhir Lonca Başkanı
trp_elder_linhir_pl|şehir 
trp_elder_dolamroth|Dol Amroth Lonca Başkanı
trp_elder_dolamroth_pl|şehir 
trp_elder_edhellond|Edhellond Lonca Başkanı
trp_elder_edhellond_pl|şehir 
trp_elder_lossarnach|Lossarnach Lonca Başkanı
trp_elder_lossarnach_pl|kasaba
trp_elder_tarnost|Tarnost Lonca Başkanı
trp_elder_tarnost_pl|kasaba
trp_elder_erech|Erech Lonca Başkanı
trp_elder_erech_pl|kasaba
trp_elder_pinnath|Pinnath Kabile Yaşlısı
trp_elder_pinnath_pl|kasaba
trp_elder_ethring|Calembel Lonca Başkanı
trp_elder_ethring_pl|şehir 
trp_elder_henneth|Okçu Lonca Başkanı
trp_elder_henneth_pl|saklanma yeri
trp_elder_cairandros|Cair Andros Lonca Başkanı
trp_elder_cairandros_pl|ada kalesi
trp_elder_edoras|Edoras Thain
trp_elder_edoras_pl|şehir 
trp_elder_aldburg|Aldburg Thain
trp_elder_aldburg_pl|kasaba
trp_elder_hornburg|Hornburg Thain
trp_elder_hornburg_pl|kale
trp_elder_eastemnet|Dogu Emnet Thain
trp_elder_eastemnet_pl|kasaba
trp_elder_westfold|Westfold Thain
trp_elder_westfold_pl|kasaba
trp_elder_westemnet|Batı Emnet Thain
trp_elder_westemnet_pl|kasaba
trp_elder_eastfold|Eastfold Thain
trp_elder_eastfold_pl|kasaba
trp_elder_morannon|Morannon Şefi
trp_elder_morannon_pl|Büyük Kapı'ya bakan magaralar
trp_elder_mmorgul|Morgul Şefi
trp_elder_mmorgul_pl|ugursuz şehir
trp_elder_cungol|Gundanad'lı Kamp Şefi
trp_elder_cungol_pl|kamp
trp_elder_isengard|Grima Solucandil
trp_elder_isengard_pl|şehir 
trp_elder_cgaladhon|Lorien Hikayecisi
trp_elder_cgaladhon_pl|elf orman kalesi
trp_elder_cdolen|Lorien Hikayecisi 
trp_elder_cdolen_pl|kamp alanı
trp_elder_camroth|Lorien Hikayecisi 
trp_elder_camroth_pl|kamp alanı 
trp_elder_thalls|Kuytuorman Yaşlısı
trp_elder_thalls_pl|elf magaraları
trp_elder_imladris|Rivendell Kampefendisi
trp_elder_imladris_pl|kamp
trp_elder_wvillage|Pierre Korucusu
trp_elder_wvillage_pl|köy
trp_elder_beorn|Beorn Yaşlısı
trp_elder_beorn_pl|küçük köy
trp_elder_harad|Harad Kamp şefi
trp_elder_harad_pl|kamp
trp_elder_rhun|Rhun Kamp Şefi
trp_elder_rhun_pl|kamp
trp_elder_khand|Khand Kamp Şefi
trp_elder_khand_pl|kamp
trp_elder_dunland|Dun'lu Kamp Şefi
trp_elder_dunland_pl|kamp
trp_elder_umbar|Umbar'lı Levazım Subayı
trp_elder_umbar_pl|güçlendirilmiş kamp
trp_elder_moria|Moria Şefi
trp_elder_moria_pl|Madenler
trp_elder_gunda|Magaranın Ustası
trp_elder_gunda_pl|magaralar
trp_elder_dale|Dale'lı Levazım Subayı
trp_elder_dale_pl|şehir 
trp_elder_esgaroth|Esgaroth Levazım Subayı
trp_elder_esgaroth_pl|göl kasabası
trp_elder_erebor|Erebor Lonca Başkanı
trp_elder_erebor_pl|Salonlar
trp_elder_dolguldur|Guldur Şefi
trp_elder_dolguldur_pl|kara kale
trp_elder_wosgiliath|Kamp Efendisi 
trp_elder_wosgiliath_pl|kamp
trp_elder_oscamp|Kamp Efendisi 
trp_elder_oscamp_pl|kamp
trp_elder_eosgiliath|Kamp Efendisi 
trp_elder_eosgiliath_pl|kamp
trp_elder_uoutpost|Kamp Efendisi 
trp_elder_uoutpost_pl|kamp
trp_elder_uhcamp|Kamp Efendisi 
trp_elder_uhcamp_pl|kamp
trp_elder_urcamp|Kamp Efendisi 
trp_elder_urcamp_pl|kamp
trp_elder_woodelf_camp|Yaşlı Elf
trp_elder_woodelf_camp_pl|kamp
trp_elder_woodelf_west_camp|Yaşlı Elf
trp_elder_woodelf_west_camp_pl|kamp
trp_elder_beorn_v|Beorn Yaşlısı
trp_elder_beorn_v_pl|köy
trp_elder_troll_cave|Magara Şefi
trp_elder_troll_cave_pl|magaralar
trp_elder_dg_outpost|Kamp Efendisi 
trp_elder_dg_outpost_pl|kamp
trp_elder_rhun_sc|Rhun Kamp Şefi 
trp_elder_rhun_sc_pl|kamp
trp_elder_rhun_nc|Rhun Kamp Şefi 
trp_elder_rhun_nc_pl|kamp
trp_elder_gunda_ne|Ork Yaşlısı
trp_elder_gunda_ne_pl|kamp
trp_elder_gunda_nw|Ork Yaşlısı
trp_elder_gunda_nw_pl|kamp
trp_elder_gunda_s|Ork Yaşlısı
trp_elder_gunda_s_pl|kamp
trp_elder_gunda_m|Ork Yaşlısı
trp_elder_gunda_m_pl|kamp
trp_elder_ironhill|Gundanad'lı Kamp Şefi
trp_elder_ironhill_pl|kamp
trp_village_1_elder|Kirpigin Lordu
trp_village_1_elder_pl|magaralar
trp_tutorial_chest_1|Yakın Silah Sandıgı
trp_tutorial_chest_2|Menzilli Silah Sandıgı
trp_bonus_chest_1|Bonus Sandık
trp_bonus_chest_2|Bonus Sandık
trp_bonus_chest_3|Bonus Sandık
trp_camp_chest_faction|Parti Sandıgı
trp_camp_chest_none|Hiçbir şey olmayan Sandık 
trp_player_chest|Sandıgın
trp_local_merchant|Yerel Tüccar
trp_local_merchant_pl|Yerel Tüccarlar
trp_tax_rebel|Köylü İsyancı
trp_tax_rebel_pl|Köylü İsyancılar
trp_trainee_peasant|Köylü
trp_trainee_peasant_pl|Köylüler
trp_fugitive_man|Şüpheli İnsan
trp_fugitive_man_pl|Şüpheli İnsanlar
trp_fugitive_elf|Şüpheli Elf
trp_fugitive_elf_pl|Şüpheli Elfler
trp_fugitive_dwarf|Şüpheli Cüce
trp_fugitive_dwarf_pl|Şüpheli Cüceler
trp_fugitive_orc|Şüpheli Ork
trp_fugitive_orc_pl|Şüpheli Orklar
trp_spy|Oynakgözlü Korsan
trp_spy_pl|Oynakgözlü Korsanlar
trp_spy_evil|Oynakgözlü Güneyli
trp_spy_evil_pl|Oynakgözlü Güneyliler
trp_spy_partner|Casus Sorumlusu
trp_spy_partner_pl|Casus Sorumluları
trp_spy_partner_evil|Casus Sorumlusu 
trp_spy_partner_evil_pl|Casus Sorumluları 
trp_easter_egg_troll|Trol
trp_treebeard|Agaçsakal
trp_ent_1|Bregalad
trp_ent_2|Finglass
trp_ent_3|Fladrif
trp_gandalf|Gandalf
trp_gandalf_pl|Ev Yapımı Gandalve'lar
trp_nazgul|Nazgul
trp_nazgul_pl|Egitilmiş Nazgul
; trp_radagast|Radagast
trp_barman|Hancı
trp_elder|Deneyimli İhtiyar
trp_gear_merchant|Tehçizat Tüccarı
trp_goods_merchant|Eşya Tüccarı
trp_start_quest_caravaneer|Karavancı Torbal
trp_dorwinion_bandit|Dorwinion'lu Haydut
trp_dorwinion_bandit_pl|Dorwinion'lu Haydutlar
trp_dorwinion_raider|Dorwinion'lu Yagmacı
trp_dorwinion_raider_pl|Dorwinion'lu Yagmacılar
trp_city_guard|Şehir Muhafızı
trp_city_guard_pl|şehir muhafızı
trp_orc_sentry|Ork Gözcüsü
trp_orc_sentry_pl|ork gözcüsü
trp_uruk_hai_sentry|Uruk-hai Gözcüsü
trp_uruk_hai_sentry_pl|uruk-hai gözcüsü
trp_black_numenorean_sorcerer|Kara Numenor'lu Büyücü
trp_black_numenorean_sorcerer_pl|Kara Numenor'lu büyücü
; trp_evil_priest|Evil Priest
; trp_evil_priest_pl|Evil Priests
trp_wolf_rider_of_mirkwood|Kuytuorman'ın Kurt Binicisi
trp_wolf_rider_of_mirkwood_pl|Kuytuorman'ın Kurt Binicileri
trp_warg_rider_of_mirkwood|Kuytuorman'ın Warg Binicisi
trp_warg_rider_of_mirkwood_pl|Kuytuorman'ın Warg Binicileri
trp_gate_aggravator|Kapı Defansı
trp_orc_pretender|Hak Sahibi Ork
trp_human_prisoner|İnsan Mahkum
trp_spider|Kuytuorman Örümcegi
trp_spider_pl|Kuytuorman Örümcekleri
trp_bear|Ayı
trp_bear_pl|Ayılar
trp_wolf|Kurt
trp_wolf_pl|Kurtlar
trp_dorwinion_sack|Dorwinion'lu Yagmacı
trp_ring_hunter_captain|Yüzük Avcısı Kaptanı
trp_ring_hunter_lt|Yüzük Avcısı Kaptanı
trp_ring_hunter_one|Yüzük Avcısı
trp_ring_hunter_one_pl|Yüzük Avcıları
trp_ring_hunter_two|Yüzük Avcısı
trp_ring_hunter_two_pl|Yüzük Avcıları
trp_ring_hunter_three|Yüzük Avcısı
trp_ring_hunter_three_pl|Yüzük Avcıları
trp_ring_hunter_four|Yüzük Avcısı
trp_ring_hunter_four_pl|Yüzük Avcıları
trp_start_quest_uruk|Mordor Uruk Kaptanı
trp_start_quest_orc|Mordor Ork Tegmen
trp_start_quest_orc_pl|Büyük Mordor Orkları
trp_start_quest_woodelf|Galadhrim Kraliyet Nişancısı
trp_start_quest_woodelf_pl|Galadhrim Kraliyet Nişancıları
trp_start_quest_mordor_scout|Mordor Yol Göstericisi
trp_start_quest_mordor_scout_pl|Mordor Yol Göstericileri
trp_start_quest_beorning|Beorning Carrock Delisi
trp_start_quest_beorning_pl|Beorning Carrock Delileri
trp_i6_beorning_bear_warrior|Ayı Savaşçısı
trp_i6_beorning_bear_warrior_pl|Ayı Savaşçıları
trp_morannon_healer|Hekim Okstuk
trp_minas_tirith_healer|Loreth
trp_edoras_healer|Hekim Freya
trp_isengard_healer|Yamalı Nurgal
trp_guldur_healer|Gramer Mornagar
trp_gundabad_healer|Üçüncü göz Lurgakh
trp_mirkwood_healer|Yumuşak-El Corwiel
trp_hungry_uruk|Acıkmış Uruk
trp_hungry_orc|Acıkmış Ork
trp_longing_lorien|Özlemli Elf
trp_longing_woodelf|Özlemli Elf
trp_longing_imladris|Özlemli Elf
trp_i5_moria_deep_dweller|Moria'nın Derin kazıcısı
trp_i5_moria_deep_dweller_pl|Moria'nın Derin kazıcıları
trp_i5_moria_orc_chieftain|Moria Ork Şefi
trp_i5_moria_orc_chieftain_pl|Moria Ork Şefleri
trp_c5_rhovanion_noble|Rhovanion soylusu
trp_c5_rhovanion_noble_pl|Rhovanion Soyluları
trp_npc18|Turmbathu
trp_npc19|Heidrek
trp_npc20|Zigûrphel
trp_werewolf|Kurtadam
trp_werewolf_pl|kurt adamlar
trp_moria_troll|Magara Trolü
trp_moria_troll_pl|Magara Trolleri
trp_moria_vet_troll|Talimli Magara Trolü
