trp_unarmed_troop|Neozbrojený voják
trp_knight_2_3|Skang
trp_knight_2_4|Farachad zvaný Parchant
trp_knight_2_5|Grisnak
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Poručík
trp_knight_2_6|Vůdce Karna zvaný Lev
trp_knight_2_7|Vůdce Na’man
trp_knight_2_8|Vůdce Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Ulwarth zvaný Balchot
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Kapitán Morbir
trp_knight_3_2|Kapitán Angamaitë
trp_knight_3_3|Kapitán Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orofin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohir
trp_knight_3_13|Halbarad
trp_knight_3_16|Miriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Bic Snog
trp_knight_4_2|Bic Soplogor
trp_knight_4_6|General Tuskim
trp_knight_4_7|General Škvarodržka
trp_knight_4_11|Ruel
trp_knight_4_12|Beranor Černohřívý
trp_knight_4_16|Bič Brolguchs
trp_knight_4_17|Bič Mrzutý Prcek
trp_knight_4_18|Bič Vzlykač
trp_knight_5_1|Pán Halward
trp_knight_5_2|Pán Bard
trp_knight_5_3|Pán Esgarain
trp_knight_5_6|Fulgni Dlouhá Brada
trp_knight_5_7|Thorin Kamenná Přilba
trp_knight_5_11|Náčelník Fudreim
trp_knight_5_12|Náčelník Wulf
trp_knight_6_1|Dervorin
trp_smith_mtirith|Kovář Berethor
trp_smith_mtirith_pl|Správcovy kováře
trp_smith_pelargir|Kovomistr Hallatan
trp_smith_pelargir_pl|kovárnu
trp_smith_linhir|Zbrojíř Bor
trp_smith_linhir_pl|kovárnu
trp_smith_dolamroth|Kovář Haldad
trp_smith_dolamroth_pl|Amrothské kováře
trp_smith_edhellond|Ryis Ohýbač Železa
trp_smith_edhellond_pl|kovárnu
trp_smith_lossarnach|Sekerář Berin
trp_smith_lossarnach_pl|kovárnu
trp_smith_tarnost|Harandil Ocelové Kladivo
trp_smith_tarnost_pl|kovárnu
trp_smith_erech|Černý Lorne
trp_smith_erech_pl|kovárnu
trp_smith_pinnath|Mečíř Tarandil
trp_smith_pinnath_pl|kovárnu
trp_smith_eosgiliath|Bzurg Rabovač
trp_smith_eosgiliath_pl|kovárnu
trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|provizorní kovárnu
trp_smith_calembel|Agronom
trp_smith_calembel_pl|kovárnu
trp_smith_hannun|hraničářský kovář Fal
trp_smith_hannun_pl|hraničářský sklad
trp_smith_candros|Kalimdor
trp_smith_candros_pl|kovárnu
trp_smith_edoras|Eaoden Ocelmistr
trp_smith_edoras_pl|Královu kovárnu
trp_smith_aldburg|Fulm Železné Kopyto
trp_smith_aldburg_pl|kovárnu
trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|kovárnu
trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|kovárnu
trp_smith_westfold|Deor Přilbotepec
trp_smith_westfold_pl|kovárnu
trp_smith_westemnet|Zbrojíř
trp_smith_westemnet_pl|kovárnu
trp_smith_eastfold|Eaderan Železorytec
trp_smith_eastfold_pl|kovárnu
trp_smith_morannon|Hurbag Stavěč Bran
trp_smith_morannon_pl|kovárnu
trp_smith_mmorgul|Orgurz Chrlič ohně
trp_smith_mmorgul_pl|kovárnu
trp_town_24_smith|Boz Železomrv
trp_town_24_smith_pl|kovárnu
trp_smith_orc_patrol|Glugz Železný Prst
trp_smith_orc_patrol_pl|táborovou kovárnu
trp_smith_oscamp|Kugash Železomil
trp_smith_oscamp_pl|táborovou kovárnu
trp_smith_isengard|Burz Železomlat
trp_smith_isengard_pl|podzemní kovárnu
trp_smith_uoutpost|Gurzuk Železny Zub
trp_smith_uoutpost_pl|kovárnu na základně
trp_smith_uhcamp|Rabzug Rzižrout
trp_smith_uhcamp_pl|táborovou kovárnu
trp_smith_urcamp|Glurk
trp_smith_urcamp_pl|táborovou kovárnu
trp_smith_cgaladhon|Lukař Dirufin
trp_smith_cgaladhon_pl|elfí výrobce zbraní
trp_smith_cdolen|Šípař Dimirian
trp_smith_cdolen_pl|elfí výrobce zbraní
trp_smith_camroth|Getasistan
trp_smith_camroth_pl|elfí výrobce zbraní
trp_smith_thranduils_halls|Thurinor
trp_smith_thranduils_halls_pl|kovárnu
trp_smith_woodelf_camp|Calechir
trp_smith_woodelf_camp_pl|kovárnu
trp_smith_beorn|Beornalaf Sekyrník
trp_smith_beorn_pl|kovárnu
trp_smith_moria|Všivák Burgak
trp_smith_moria_pl|kovárnu
trp_smith_dale|Ardel Ohnivá Ruka
trp_smith_dale_pl|kovárnu
trp_smith_esgaroth|Lukař Kelegarn
trp_smith_esgaroth_pl|kovárnu
trp_smith_erebor|Thror Kladivář
trp_smith_erebor_pl|ceněné trpasličí kováře
trp_smith_dunland|Dorrowuld Železné Kopí
trp_smith_dunland_pl|kovárnu
trp_smith_harad|Har Lamželezo
trp_smith_harad_pl|kovárnu
trp_smith_khand|Pusurt zvaný Handrkář
trp_smith_khand_pl|kovárnu
trp_smith_umbar|Fuinir Padělatel
trp_smith_umbar_pl|kovárnu
trp_smith_imladris|Duifirian
trp_smith_imladris_pl|elfí výrobce zbraní
trp_smith_dolguldur|Stazg Dulbas
trp_smith_dolguldur_pl|kovárnu
trp_smith_north_rhun|Ognjemir Kladivo
trp_smith_north_rhun_pl|provizorní kovárnu
trp_smith_gundabad|Blurg Sněhový Šmelinář
trp_smith_gundabad_pl|kovárnu
trp_smith_ironhill|Kovář z Železných hor
trp_smith_ironhill_pl|trpasličí táborové kováře
trp_town_50_weaponsmith|Shruklug brousič nožů
trp_town_50_weaponsmith_pl|kovárnu
trp_smith_gondor_ac|Bor Zbrojíř
trp_smith_gondor_ac_pl|táborovou kovárnu
trp_smith_rohan_ac|Deor Přilbotepec
trp_smith_rohan_ac_pl|táborovou kovárnu
trp_smith_mordor_ac|Hurbag Stavěč Bran
trp_smith_mordor_ac_pl|kovárnu
trp_smith_isengard_ac|Burz Železomlat
trp_smith_isengard_ac_pl|podzemní kovárnu
trp_smith_lorien_ac|Dimirian Šípař
trp_smith_lorien_ac_pl|elfí výrobce zbraní
trp_smith_woodelf_ac|Dhoelath
trp_smith_woodelf_ac_pl|kovárnu
trp_smith_dwarf_ac|Kovář ze Železných hor
trp_smith_dwarf_ac_pl|trpasličí táborové kováře
trp_smith_gundabad_ac|Blurg Sněhový Šmelinář
trp_smith_gundabad_ac_pl|kovárnu
trp_smith_rhun_ac|Branimir Bronnik
trp_smith_rhun_ac_pl|provizorní kovárnu
trp_smith_guldur_ac|Shtazg Dulbash
trp_smith_guldur_ac_pl|kovárnu
trp_smith_imladris_ac|Duifirian
trp_smith_imladris_ac_pl|elfí výrobce zbraní
trp_smith_dunland_ac|Dorrowuld Železné Kopí
trp_smith_dunland_ac_pl|kovárnu
trp_smith_harad_ac|Har Lamželezo
trp_smith_harad_ac_pl|kovárnu
trp_smith_khand_ac|Pusurt zvaný Handrkář
trp_smith_khand_ac_pl|kovárnu
trp_smith_umbar_ac|Fuinir Padělatel
trp_smith_umbar_ac_pl|kovárnu
trp_smith_moria_ac|Všivák Burgak
trp_smith_moria_ac_pl|kovárnu
trp_smith_dale_ac|Ardel Ohnivá Ruka
trp_smith_dale_ac_pl|kovárnu
trp_smith_beorn_ac|Beornalaf Sekyrník
trp_smith_beorn_ac_pl|kovárnu
trp_smith_woodelf_west_camp|Dhoelath
trp_smith_woodelf_west_camp_pl|kovárnu
trp_smith_woodmen|Beornalaf Sekyrník
trp_smith_woodmen_pl|kovárnu
trp_smith_beorn_v|Beornalaf Sekyrník
trp_smith_beorn_v_pl|kovárnu
trp_smith_troll_cave|Všivák Burgak
trp_smith_troll_cave_pl|kovárnu
trp_smith_dg_outpost|Shtazg Dulbas
trp_smith_dg_outpost_pl|kovárnu
trp_smith_main_rhun|Branimir Bronnik
trp_smith_main_rhun_pl|provizorní kovárnu
trp_smith_south_rhun|Branimir Bronnik
trp_smith_south_rhun_pl|provizorní kovárnu
trp_smith_gundabad_ne|Blurg Sněhový Šmelinář
trp_smith_gundabad_ne_pl|kovárnu
trp_smith_gundabad_nw|Blurg Sněhový Šmelinář
trp_smith_gundabad_nw_pl|kovárnu
trp_smith_gundabad_s|Blurg Sněhový Šmelinář
trp_smith_gundabad_s_pl|kovárnu
trp_smith_gundabad_m|Blurg Sněhový Šmelinář
trp_smith_gundabad_m_pl|kovárnu
trp_barman_eastemnet|majitel krčmy
trp_barman_eastemnet_pl|hradu
trp_barman_westfold|majitel krčmy
trp_barman_westfold_pl|hradu
trp_barman_westemnet|majitel krčmy
trp_barman_westemnet_pl|hradu
trp_barman_eastfold|majitel krčmy
trp_barman_eastfold_pl|hradu
trp_barman_baraddur|majitel krčmy
trp_barman_baraddur_pl|hradu
trp_barman_morannon|majitel krčmy
trp_barman_morannon_pl|Vůdcovy jeskyně
trp_barman_mmorgul|majitel krčmy
trp_barman_mmorgul_pl|vež
trp_merchant_main_rhun|Správce proviantu
trp_merchant_main_rhun_pl|táborovou skrýš
trp_merchant_dg_outpost|Správce proviantu
trp_merchant_dg_outpost_pl|stáje a skladiště
trp_merchant_woodelf_west_camp|Správce proviantu
trp_merchant_woodelf_west_camp_pl|elfské zásobovače
trp_merchant_gundabad_m|Správce proviantu
trp_merchant_gundabad_m_pl|táborovou skrýš
trp_merchant_gundabad_s|Správce proviantu
trp_merchant_gundabad_s_pl|táborovou skrýš
trp_merchant_gundabad_nw|Správce proviantu
trp_merchant_gundabad_nw_pl|táborovou skrýš
trp_merchant_gundabad_ne|Správce proviantu
trp_merchant_gundabad_ne_pl|táborovou skrýš
trp_merchant_troll_cave|Správce proviantu
trp_merchant_troll_cave_pl|vrčí jámu a sklad
trp_merchant_beorn_v|Správce proviantu
trp_merchant_beorn_v_pl|stáje a skladiště
trp_merchant_orc_sentry|Správce proviantu
trp_merchant_orc_sentry_pl|táborovou skrýš
trp_merchant_candros|Správce proviantu
trp_merchant_candros_pl|stáje a skladiště
trp_merchant_hannun|Správce proviantu
trp_merchant_hannun_pl|hraničářské zásobovače
trp_merchant_mtirith|Správce proviantu
trp_merchant_mtirith_pl|stáje a skladiště
trp_merchant_pelargir|Správce proviantu
trp_merchant_pelargir_pl|stáje a skladiště
trp_merchant_linhir|Správce proviantu
trp_merchant_linhir_pl|stáje a skladiště
trp_merchant_dolamroth|Správce proviantu
trp_merchant_dolamroth_pl|stáje a skladiště
trp_merchant_edhellond|Správce proviantu
trp_merchant_edhellond_pl|stáje a skladiště
trp_merchant_lossarnach|Správce proviantu
trp_merchant_lossarnach_pl|stáje a skladiště
trp_merchant_tarnost|Správce proviantu
trp_merchant_tarnost_pl|stáje a skladiště
trp_merchant_erech|Správce proviantu
trp_merchant_erech_pl|stáje a skladiště
trp_merchant_pinnath|Správce proviantu
trp_merchant_pinnath_pl|stáje a skladiště
trp_merchant_eosgiliath|Správce proviantu
trp_merchant_eosgiliath_pl|stáje a skladiště
trp_merchant_wosgiliath|Správce proviantu
trp_merchant_wosgiliath_pl|stáje a skladiště
trp_town_12_horse_merchant|Správce proviantu
trp_town_12_horse_merchant_pl|stáje a skladiště
trp_town_13_horse_merchant|Správce proviantu
trp_town_13_horse_merchant_pl|stáje a skladiště
trp_merchant_edoras|Správkyně proviantu
trp_merchant_edoras_pl|stáje a skladiště
trp_merchant_aldburg|Správce proviantu
trp_merchant_aldburg_pl|Královské stáje a skladiště
trp_merchant_hornburg|Správce proviantu
trp_merchant_hornburg_pl|stáje a skladiště
trp_merchant_eastemnet|Správce proviantu
trp_merchant_eastemnet_pl|stáje a skladiště
trp_merchant_westfold|Správkyně proviantu
trp_merchant_westfold_pl|stáje a skladiště
trp_merchant_westemnet|Správkyně proviantu
trp_merchant_westemnet_pl|stáje a skladiště
trp_merchant_eastfold|Správkyně proviantu
trp_merchant_eastfold_pl|stáje a skladiště
trp_town_21_horse_merchant|Správce proviantu
trp_town_21_horse_merchant_pl|jámu a sklad
trp_merchant_morannon|Správce proviantu
trp_merchant_morannon_pl|jámu a sklad
trp_merchant_mmorgul|Správce proviantu
trp_merchant_mmorgul_pl|jámu a sklad
trp_town_24_horse_merchant|Správce proviantu
trp_town_24_horse_merchant_pl|jámu a sklad
trp_merchant_orc_patrol|Správce proviantu
trp_merchant_orc_patrol_pl|táborová skrýš
trp_merchant_isengard|Správce proviantu
trp_merchant_isengard_pl|táborová skrýš
trp_town_27_horse_merchant|Správce proviantu
trp_town_27_horse_merchant_pl|vrčí jámu a sklad
trp_merchant_uoutpost|Správce proviantu
trp_merchant_uoutpost_pl|vrčí jámu a sklad
trp_merchant_uhcamp|Správce proviantu
trp_merchant_uhcamp_pl|vrčí jámu a sklad
trp_merchant_urcamp|Správce proviantu
trp_merchant_urcamp_pl|vrčí jámu a sklad
trp_merchant_cgaladhon|Správce proviantu
trp_merchant_cgaladhon_pl|elfské zásobovače
trp_merchant_cdolen|Správce proviantu
trp_merchant_cdolen_pl|elfské zásobovače
trp_merchant_camroth|Správce proviantu
trp_merchant_camroth_pl|elfské zásobovače
trp_merchant_thranduils_halls|Správce proviantu
trp_merchant_thranduils_halls_pl|elfské zásobovače
trp_merchant_woodelf_camp|Správce proviantu
trp_merchant_woodelf_camp_pl|elfské zásobovače
trp_merchant_woodmen|Správce proviantu
trp_merchant_woodmen_pl|stáje a skladiště
trp_merchant_beorn|Správce proviantu
trp_merchant_beorn_pl|stáje a skladiště
trp_merchant_moria|Správce proviantu
trp_merchant_moria_pl|vrčí jáma a sklad
trp_merchant_dale|Správce proviantu
trp_merchant_dale_pl|stáje a skladiště
trp_merchant_esgaroth|Správce proviantu
trp_merchant_esgaroth_pl|stáje a skladiště
trp_merchant_erebor|Správce proviantu
trp_merchant_erebor_pl|trpasličí zásobovače
trp_merchant_dunland|Dunladský pán skrýše
trp_merchant_dunland_pl|táborovou skrýš
trp_merchant_harad|Haradský pán skrýše
trp_merchant_harad_pl|táborovou skrýš
trp_merchant_khand|Khandský pán skrýše
trp_merchant_khand_pl|táborovou skrýš
trp_merchant_umbar|Správce proviantu
trp_merchant_umbar_pl|táborovou skrýš
trp_merchant_imladris|Správce proviantu
trp_merchant_imladris_pl|táborové zásobovače
trp_merchant_dolguldur|Správce proviantu
trp_merchant_dolguldur_pl|stáje a skladiště
trp_merchant_north_rhun|Správce proviantu
trp_merchant_north_rhun_pl|táborovou skrýš
trp_merchant_south_rhun|Správce proviantu
trp_merchant_south_rhun_pl|táborovou skrýš
trp_merchant_gundabad|Správce proviantu
trp_merchant_gundabad_pl|táborovou skrýš
trp_merchant_ironhill|Správce proviantu
trp_merchant_ironhill_pl|trpasličí zásobovače
trp_town_50_horse_merchant|Gobrip Žlutý zub
trp_town_50_horse_merchant_pl|vrčí jámu a sklad
trp_merchant_calembel|Správce proviantu
trp_merchant_calembel_pl|stáje a skladiště
trp_elder_mtirith|Minastirithský cechovní mistr
trp_elder_mtirith_pl|Bílé město
trp_elder_pelargir|Námořnický cechovní mistr
trp_elder_pelargir_pl|město
trp_elder_linhir|Linhirský cechovní mistr
trp_elder_linhir_pl|město
trp_elder_dolamroth|Dol Amrothský cechovní mistr
trp_elder_dolamroth_pl|město
trp_elder_edhellond|Edhellondský cechovní mistr
trp_elder_edhellond_pl|město
trp_elder_lossarnach|Lossarnachský cechovní mistr
trp_elder_lossarnach_pl|městečko
trp_elder_tarnost|Tarnostský cechovní mistr
trp_elder_tarnost_pl|městečko
trp_elder_erech|Erechský cechovní mistr
trp_elder_erech_pl|městečko
trp_elder_pinnath|Pinnathský klanový starší
trp_elder_pinnath_pl|městečko
trp_elder_ethring|Calembelský cechovní mistr
trp_elder_ethring_pl|město
trp_elder_henneth|Hraničářský cechovní mistr
trp_elder_henneth_pl|skrýš
trp_elder_cairandros|Cair Androský cechovní mistr
trp_elder_cairandros_pl|ostrovní pevnost
trp_elder_edoras|Edoraský místodržící
trp_elder_edoras_pl|město
trp_elder_aldburg|Alburgský místodržící
trp_elder_aldburg_pl|městečko
trp_elder_hornburg|Hornburgský místodržící
trp_elder_hornburg_pl|pevnost
trp_elder_eastemnet|Místodržící Východní poloniny
trp_elder_eastemnet_pl|městečko
trp_elder_westfold|Mistodžící Západního Úvalu
trp_elder_westfold_pl|městečko
trp_elder_westemnet|Místodržící Západní poloniny
trp_elder_westemnet_pl|městečko
trp_elder_eastfold|Místodžící Východního Úvalu
trp_elder_eastfold_pl|městečko
trp_elder_morannon|Šéf Černé brány
trp_elder_morannon_pl|jeskyně s výhledem na velkou bránu
trp_elder_mmorgul|Morgulský šéf
trp_elder_mmorgul_pl|zlověstné město
trp_elder_cungol|Náčelník tábora
trp_elder_cungol_pl|tábor
trp_elder_isengard|Grima Červivec
trp_elder_isengard_pl|město
trp_elder_cgaladhon|Lorienský učenec
trp_elder_cgaladhon_pl|elfskou lesní pevnost
trp_elder_cdolen|Lorienský učenec
trp_elder_cdolen_pl|ležení
trp_elder_camroth|Lorienský učenec
trp_elder_camroth_pl|ležení
trp_elder_thalls|Starší z Temného hvozdu
trp_elder_thalls_pl|elfí jeskyně
trp_elder_imladris|Důstojník zásobovací služby z Roklinky
trp_elder_imladris_pl|tábor
trp_elder_wvillage|Pierre Dřevorubec
trp_elder_wvillage_pl|vesnici
trp_elder_beorn|Beornský starší
trp_elder_beorn_pl|osadu
trp_elder_harad|Haradský vůdce tábora
trp_elder_harad_pl|tábor
; trp_elder_rhun|Rhun High Priest
trp_elder_rhun_pl|tábor
trp_elder_khand|Khandský náčelník
trp_elder_khand_pl|tábor
trp_elder_dunland|Dunlandský vůdce tábora
trp_elder_dunland_pl|tábor
trp_elder_umbar|Umbarský důstojník zásobovací služby
trp_elder_umbar_pl|opevněný tábor
trp_elder_moria|Náčelník z Morie
trp_elder_moria_pl|Doly
trp_elder_gunda|Pán jeskyní
trp_elder_gunda_pl|jeskyně
trp_elder_dale|Dolský důstojník zásobovací služby 
trp_elder_dale_pl|město
trp_elder_esgaroth|Esgoratský důstojník zásobovací služby
trp_elder_esgaroth_pl|jezerní město
trp_elder_erebor|Ereborský cechovní mistr
trp_elder_erebor_pl|Síně
trp_elder_dolguldur|Guldurský náčelník
trp_elder_dolguldur_pl|Černého hradu
trp_elder_wosgiliath|Velitel tábora
trp_elder_wosgiliath_pl|tábor
trp_elder_oscamp|Velitel tábora
trp_elder_oscamp_pl|tábor
trp_elder_eosgiliath|Velitel tábora
trp_elder_eosgiliath_pl|tábor
trp_elder_uoutpost|Velitel tábora
trp_elder_uoutpost_pl|tábor
trp_elder_uhcamp|Velitel tábora
trp_elder_uhcamp_pl|tábor
trp_elder_urcamp|Velitel tábora
trp_elder_urcamp_pl|tábor
trp_elder_woodelf_camp|Starší
trp_elder_woodelf_camp_pl|tábor
trp_elder_woodelf_west_camp|Starší
trp_elder_woodelf_west_camp_pl|tábor
trp_elder_beorn_v|Meddědovský Starší
trp_elder_beorn_v_pl|vesnici
trp_elder_troll_cave|Šéf jeskyně
trp_elder_troll_cave_pl|jeskyně
trp_elder_dg_outpost|Velitel tábora
trp_elder_dg_outpost_pl|tábor
trp_elder_rhun_sc|Rhunský vůdce tábora
trp_elder_rhun_sc_pl|tábor
trp_elder_rhun_nc|Rhunský vůdce tábora
trp_elder_rhun_nc_pl|tábor
trp_elder_gunda_ne|Skřetí Starší
trp_elder_gunda_ne_pl|tábor
trp_elder_gunda_nw|Skřetí Starší
trp_elder_gunda_nw_pl|tábor
trp_elder_gunda_s|Skřetí Starší
trp_elder_gunda_s_pl|tábor
trp_elder_gunda_m|Skřetí Starší
trp_elder_gunda_m_pl|tábor
trp_elder_ironhill|Náčelník tábora
trp_elder_ironhill_pl|tábor
trp_village_1_elder|Pán Lashe
trp_village_1_elder_pl|jeskyně
trp_tutorial_chest_1|Truhla se zbraněmi na blízko
trp_tutorial_chest_2|Truhla se střeleckými zbraněmi
trp_bonus_chest_1|Bonusová truhla
trp_bonus_chest_2|Bonusová truhla
trp_bonus_chest_3|Bonusová truhla
trp_camp_chest_faction|Frakční truhla
trp_camp_chest_none|Truhla na poznámky
trp_player_chest|Tvoje truhla
trp_local_merchant|Místní obchodník
trp_local_merchant_pl|Místní obchodníci
trp_tax_rebel|Vzbouřenec rolník
trp_tax_rebel_pl|Vzbouřenci rolníci
trp_trainee_peasant|Rolník
trp_trainee_peasant_pl|Rolníci
trp_fugitive_man|Podezřelý muž
trp_fugitive_man_pl|Podezřelí muži
trp_fugitive_elf|Podezřelý elf
trp_fugitive_elf_pl|Podezřelí elfové
trp_fugitive_dwarf|Podezřelý trpaslík
trp_fugitive_dwarf_pl|Podezřelí trpaslíci
trp_fugitive_orc|Podezřelý skřet
trp_fugitive_orc_pl|Podezřelí skřeti
trp_spy|Zákeřně vyhlížející Korzár
trp_spy_pl|Zákeřně vyhlížející Korzáři
trp_spy_evil|Zákeřně vyhlížející Jižan
trp_spy_evil_pl|Zákeřně vyhlížející Jižani
trp_spy_partner|Handlíř se zvědy
trp_spy_partner_pl|Handlíři se zvědy
trp_spy_partner_evil|Handlíř se zvědy
trp_spy_partner_evil_pl|Handlíři se zvědy
trp_easter_egg_troll|Trol
trp_treebeard|Stromovous
trp_ent_1|Bregalad
trp_ent_2|Finglas
trp_ent_3|Fladrif
trp_gandalf|Gandalf
trp_gandalf_pl|Gandalfové - blbý vtip :)
trp_nazgul|Nazgůl
trp_nazgul_pl|Ochočený Nazgul
; trp_radagast|Radagast
trp_barman|Barman
trp_elder|Starší
trp_gear_merchant|Obchodník s vybavením
trp_goods_merchant|Smíšené zboží
trp_start_quest_caravaneer|Torbal Převozník
trp_dorwinion_bandit|Bandita z Dorwinionu
trp_dorwinion_bandit_pl|Bandité z Dorwinionu
trp_dorwinion_raider|Jezdec z Dorwinionu
trp_dorwinion_raider_pl|Jezdci z Dorwinionu
trp_city_guard|Městská stráž
trp_city_guard_pl|městská stráž
trp_orc_sentry|Skřetí hlídka
trp_orc_sentry_pl|skřetí hlídka
trp_uruk_hai_sentry|Skurut-haiská hlídka
trp_uruk_hai_sentry_pl|Skurut-haiská hlídka
trp_black_numenorean_sorcerer|Černý Numenorejec Černokněžník 
trp_black_numenorean_sorcerer_pl|Černý Numenorejec černokněžník 
; trp_evil_priest|Evil Priest
; trp_evil_priest_pl|Evil Priests
trp_wolf_rider_of_mirkwood|Jezdec na vlku z Temného hvozdu
trp_wolf_rider_of_mirkwood_pl|Jezdci na vlcích z Temného hvozdu
trp_warg_rider_of_mirkwood|Jezdec na Vrku z Temného hvozdu
trp_warg_rider_of_mirkwood_pl|Jezdci na Vrcích z Temného hvozdu
trp_gate_aggravator|Strážce brány
trp_orc_pretender|Skřet uchazeč
trp_human_prisoner|Lidský Vězeň
trp_spider|Pavouk z Temného Hvozdu
trp_spider_pl|Pavouci z Temného Hvozdu
trp_bear|Medvěd
trp_bear_pl|Mědvědi
trp_wolf|Vlk
trp_wolf_pl|Vlci
trp_dorwinion_sack|Dorwionionská kořist
trp_ring_hunter_captain|Kapitán hledačů prstenu
trp_ring_hunter_lt|Kapitán hledačů prstenu
trp_ring_hunter_one|Lovec prstenu
trp_ring_hunter_one_pl|Hledači prstenu
trp_ring_hunter_two|Lovec prstenu
trp_ring_hunter_two_pl|Hledači prstenu
trp_ring_hunter_three|Lovec prstenu
trp_ring_hunter_three_pl|Hledači prstenu
trp_ring_hunter_four|Lovec prstenu
trp_ring_hunter_four_pl|Hledači prstenu
trp_start_quest_uruk|Skurut kapitán z Mordoru
trp_start_quest_orc|Skřetí poručík z Mordoru
trp_start_quest_orc_pl|Velcí skřeti z Mordoru
trp_start_quest_woodelf|Galadhrimský královský ostrostřelec
trp_start_quest_woodelf_pl|Galadhrimští královští ostrostřelci
trp_start_quest_mordor_scout|Průvodce Morodorem
trp_start_quest_mordor_scout_pl|Průvodci Mordorem
trp_start_quest_beorning|Skalbalový berserk Meddědovců
trp_start_quest_beorning_pl|Skalbaloví berserkové Meddědovců
trp_i6_beorning_bear_warrior|Medvědí válečník
trp_i6_beorning_bear_warrior_pl|Medvědí válečníci
trp_morannon_healer|Okstuk Léčitel
trp_minas_tirith_healer|Ioreth
trp_edoras_healer|Freya Léčitelka
trp_isengard_healer|Nurgal Záplata
trp_guldur_healer|Mornagar Gramatik
trp_gundabad_healer|Lurgakh Třetí oko
trp_mirkwood_healer|Corwiel Jemnoruký
trp_hungry_uruk|Hladový Skurut
trp_hungry_orc|Hladový skřet
trp_longing_lorien|Toužící Elf
trp_longing_woodelf|Toužící Elf
trp_longing_imladris|Toužící Elf
trp_i5_moria_deep_dweller|Obyvatel hlubin Morie
trp_i5_moria_deep_dweller_pl|Obyvatelé hlubin Morie
trp_i5_moria_orc_chieftain|Skřet náčelník z Morie
trp_i5_moria_orc_chieftain_pl|Skřeti náčelníci z Morie
trp_c5_rhovanion_noble|Rhovanionský šlechtic
trp_c5_rhovanion_noble_pl|Rhovanionští šlechtici
trp_npc18|Turmbathu
trp_npc19|Heidrek
trp_npc20|Zigûrphel
trp_werewolf|Vlkodlak
trp_werewolf_pl|Vlkodlaci
trp_moria_troll|Jeskynní Trol
trp_moria_troll_pl|Jeskynní Trolové
trp_moria_vet_troll|Trénovaný jeskynní Trol
trp_moria_vet_troll_pl|Trénovaní jeskynní Trolové
trp_moria_armored_troll|Obrněný jeskynní Trol
trp_moria_armored_troll_pl|Obrnění jeskynní Trolové
trp_gunda_troll|Horský Trol
trp_gunda_troll_pl|Horští Trolové
trp_gunda_vet_troll|Trénovaný horský Trol
trp_gunda_vet_troll_pl|Trénovaní horští Trolové
trp_gunda_placeholder|Trénovaný horský Trol
trp_gunda_placeholder_pl|Trénovaní horští Trolové
trp_isen_troll|Trol Železného pasu
trp_isen_troll_pl|Trolové Železného pasu
trp_isen_vet_troll|Trénovaný Trol Železného pasu
trp_isen_vet_troll_pl|Trénovaní Trolové Železného pasu
trp_isen_armored_troll|Obrněný Trol Železného pasu
trp_isen_armored_troll_pl|Obrnění Trolové Železného pasu
trp_mordor_troll|Mordorský Trol
trp_mordor_troll_pl|Mordorští Trolové
trp_mordor_vet_troll|Mordorský trénovaný Trol
trp_mordor_vet_troll_pl|Mordorští trénovaní Trolové
trp_mordor_olog_hai|Mordorský Olog Hai 
trp_mordor_olog_hai_pl|Mordorský Olog Hai 
trp_troll_placeholder_1|Jeskynní Trol
trp_troll_placeholder_1_pl|Jeskynní Trolové
trp_troll_placeholder_2|Jeskynní Trol
trp_troll_placeholder_2_pl|Jeskynní Trolové
trp_troll_placeholder_3|Jeskynní Trol
trp_troll_placeholder_3_pl|Jeskynní Trolové
trp_troll_placeholder_4|Jeskynní Trol
trp_troll_placeholder_4_pl|Jeskynní Trolové
trp_troll_placeholder_5|Jeskynní Trol
trp_troll_placeholder_5_pl|Jeskynní Trolové
trp_troll_placeholder_6|Jeskynní Trol
trp_troll_placeholder_6_pl|Jeskynní Trolové
trp_wild_troll|Divoký jeskynní trol
trp_wild_troll_pl|Divocí jeskynní trolové
trp_ent|Ent
trp_ent_pl|Entové
trp_mountain_goblin|Horský goblin
trp_mountain_goblin_pl|Horští goblini
trp_tribal_orc|Klanový skřet
trp_tribal_orc_pl|Klanoví skřeti
trp_tribal_orc_warrior|Klanový skřetí válečník
trp_tribal_orc_warrior_pl|Klanoví skřetí válečníci
trp_tribal_orc_chief|Náčelník skřetího kmene
trp_tribal_orc_chief_pl|Náčelníci skřetího kmene
trp_a3_dism_skirmisher_of_rohan|Rohanský záškodník
trp_a3_dism_skirmisher_of_rohan_pl|Rohanští záškodníci
trp_a4_dism_veteran_skirmisher_of_rohan|Zkušený Rohanský záškodník
