qstr_Received_{reg0}_dama|Obdrženo {reg0} poškození.
qstr_You_were_defeated_by|Byl jsi poražen stíhací flotilou a nájezd na město byl neúspěšný!
qstr_^^^^^^^You_come_upon|^^^^^^^Narážíš na uprchlíky, kteří odchází z {s2} a jsou na cestě do {s3}. ^^Jsou to většinou staří a slabí, doprovázeni ženami a dětmi.^^ jsou s nimi nějaké stráže, ale ne dost aby ochránili každého před nájezdem.
qstr_^^^^^^^You_come_upon_|^^^^^^^Narážíš na uprchlíky, které stopuješ už od {s2}. Vypadá to že jsou na cestě do {s3} a jsou to většinou staří a nemohoucí. ^^ Je s nimi pár strážců, ale ne dost na to aby tobě a tvým mužům zabránili v tom abys všechny zabil.
qstr_^^At_last_the_Master|^^Konečně, Mistr chystá svůj tah! Pochodně plápolají. Ostří zbraní se leskne. Ty a tví udatní druhové brzy obdržíte rozkazy k pochodu. A bude boj, hodně boje, věhlas pro všechny!^^Máš tu čest být povolán za Mistrem do jeho věže. Pravděpodobně tvé první rozkazy bude práce jako pro snagu - nájezd na vesnici tady-hle, přepadni karavanu tamhle . Ale ty se brzy prosadíš. Kdo řekl že nebudeš hrát významnou roli jako velitel od {s2} z {s3}?^^Válka začala; čas lidí skončil!
qstr_^^Your_head_suddenly|^^V tvé hlavě se z nenadání objevuje vize - Oko v plmenech . Všude kolem tebe se tví válečníci zastaví. Nějak víš že všichni mají tu samou vizi jako ty, to stejné volání. Moc Velkého Oka je obrovká, stejně jako síla Barad-dûr!.^^Nevyslovené vědění vstupuje do každé části tvého těla. Nastal ten čas. Temný Pán přikazuje - všichni budeme pochodovat proti svým nepřátelům v otevřené válce. Rozkazy od {s2} z {s3} přijdou. Ze začátku tvá role nebude velká, ale zanedlouho se prosadíš mnohem více.^^ Válka začala; pád Západu započal!
qstr_{s13}_asked_you_to_j|{s13} tě požádal aby jsi se k němu připojil s alespoň {reg13} vojáky a setkal se s ním u posledního sídla Železného pasu.
qstr_You_defeated_{reg5}_|Zneškodnil jsi {reg5} nepřátel a udělal jsi dojem na svého velitele.
qstr_You_defeated_{reg5}_e|Zneškodnil jsi {reg5} nepřátel.
qstr_You_failed_to_defeat|Nepodařilo se ti zneškodnit žádného nepřítele.
qstr_The_sorcerer_slain_y|Čaroděj byl zabit, ty a tví vojáci chvatně obvážete své rány a vyklouznete do noci. Hnusné hlasy vám ječí v zádech a cítíš jak vás sleduje mnoho hořících očí ve stínech. Brzy se hněv změní na zklamání a zvuky pronásledování jsou tlumené, nahrazené obvyklým silným tichem Temného hvozdu. Utekli jste
qstr_The_sorcerer_slipped|Čaroděj vyklouzl z tvého sevření a hbitě unikl do temnoty jeho říše. Se srdci obtěžkanými neúspěchem, ty a tví vojáci chvatně obvážete své rány a odeberete se do noci. Uštěpačné hlasy ti křičí v zádech a cítíš jak se bezpočet plápolajících očí snaží proniknout stínem. Smích a urážky jsou za chvíli utlumeny a nahrazeny obvyklým silným tichem Temného hvozdu. Utekli jste.
; qstr_You_approach_a_heavi|You approach a heavily guarded region of the forest... ^^ You have to decide whether you venture forward on your own, or take some troops with you.
; qstr_You_have_a_good_chan|You have a good chance of avoiding the guards and slipping through unnoticed.
qstr_You_may_have_a_chanc|Máš šanci proklouznou mezi střážemi.
qstr_You_will_probably_ha|Pravděpodobně budeš muset bojovat se strážníky.
qstr_You_wait_for_darknes|Čekáš až padne tma...
qstr_You_are_quickly_disc|Jsi rychle objeven nepřáteli.
qstr_You_advance_stealthi|Postupuješ kradmě dál do lesa.
qstr_You_have_evaded_the_|Vyhnul jsi se hlídkám a plazíš se blíž k ruinám!
qstr_You_have_found_the_s|Našel jsi čaroděje!
qstr_You_cannot_leave_unt|Nemůžeš odejít dokud nesetřeseš stráže!
qstr_Kill_him_quickly_bef|Zabij ho, rychle než uteče!
qstr_Enraged_by_the_death|Rozzuřen smrtí {s4}, pronesl jsi přísahu pomsty vůči silám {s3}. V následujících dnech musíš zlikvidovat tolik jednotek {s3}, kolik je možné. Jsi si jasně vědom toho, že tví následovnici byli svědky tvé přísahy a nechceš aby tě považovali za křivopřísažníka. Krveprolití může začít!
qstr_flooded._Somebody_or|zaplaveno. Někdo musel zničit přehrady na Želízu.
qstr_destroyed._Only_smol|zničeno. Zbyly pouze doutnající ruiny.
qstr_^^^You_lost_your_fig|^^^Prohrál jsi boj proti vzbouřenci! ^Vypadá to že tví skřeti mají nyní nového velitele.
qstr_^^^You_have_slain_th|^^^Zabil jsi provinilce a ostatní skřeti rychle zapadli zpátky do řady. ^Na nějakou dobu budou ti červi jistě potichu.
qstr_You_cover_up_your_tr|Zakryj stopy a běž kupředu.
qstr_Breaking_camp...|Rozbíjíš tábor...
qstr_Party_morale_is_low.|Morálka družiny je nízka. Jednotky utíkají od tvé družiny.
qstr_Desertion|Dezerce
qstr_{s1}_has_deserted_fr|{s1} utekl z tvé družiny.
qstr_You_have_left_{s1}.|Opustil jsi oblast {s1}.
qstr_You_are_entering_{s1|Vstupuješ do oblasti {s1} ({s2}).
qstr_You_are_entering_{s1}|Vstupuješ do oblasti {s1}.
qstr_The_war_expands_comm|Válka se rozšiřuje, velitelé jsou odvážnější! (požadavky na obléhání sníženy)
qstr_Your_party_is_spotte|Tvá družina byla spatřena {s1}.
; qstr_The_effects_of_the_O|The effects of the Orc Brew have dissipated.
qstr_The_effects_of_the_M|Účinky Miruvoru vyprchaly.
qstr_Athelas_used_up.|Athelas byl spotřebován.
qstr_Party_has_nothing_to|Družina nemá co jíst!
qstr_You_pay_for_accommod|Platíš za ubytování.
qstr_The_troll_outside_{s|Trol v okolí {s2} byl zabit. Mise zrušena.
qstr_{s1}_was_killed_on_t|{s1} byl zabit na bitevním poli. Mise zrušena.
qstr_{s1}_has_been_defeat|{s1} byl poražen. Mise zrušena.
qstr_You_must_follow_{s1}|Musíš následovat {s1}!
qstr_You_must_follow_{s1}!|Musíš následovat {s1}! Toto je tvé poslední varování!
qstr_{s1}_parties_defeate|Poražené skupiny {s1}: {reg1} ze {reg2}
qstr_{reg65}_Moria_and/or|{reg65} jednotek z Morie a/nebo Gundabadu zabito. (Přepočítává se každou hodinu)
qstr_{reg65}_{s3}_troops_|{reg65} jednotek z {s3} zabito. (Přepočítává se každou hodinu)
qstr_{reg66}_{s5}_troops_|{reg66} jednotek z {s5} zabito. (Přepočítává se každou hodinu)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} jednotek {s8} z {s7} zabito. (Přepočítává se každou hodinu)
; qstr_{s8}_in_{s9}_asked_y|{s8} in {s9} asked you to slay {reg67} {s10}.^ {reg68} {s11} killed. (Counter refreshes every hour)
qstr_{s1}_is_scouted.|{s1} je prozkoumáván.
qstr_{s2}_was_defeated!|{s2} byl poražen!
qstr_The_Age_of_Men_has_f|Éra lidí konečně skončila. Nyní Dvě věže shromáždí své vládce a spojence, aby rozhodli kdo bude jediným vládcem Středozemě!
qstr_The_War_of_the_Two_T|Válka Dvou věží začala!
qstr_The_forces_of_{s22}_|Síly od {s22} se přeskupily! {s22} je teď {s23}.
qstr_The_might_of_{s22}_h|Síla {s22} se snížila! {s22} je nyní {s23}.
qstr_In_a_desperate_attem|V zoufalém pokusu bránit se proti nepřátelům vysílá Sauron své Mordorské legie!
qstr_Guardians_of_{s6}|Ochránci z {s6}
qstr_Guard_Legion_of_{s6}|Legie ochránců z {s6}
qstr_Scouts_report_that_{|Zvědové hlásí že {s6} shromáždil obrovskou armádu v okolí {s7}, jako poslední naději jak zabránit postupu na hlavní město.
; qstr_The_forces_of_{s2}_e|The forces of {s2} established an Advance Camp in {s15}!
qstr_The_hosts_of_{s2}_ma|Hordy z {s2} pochodují zpět aby bránili své domovy!
qstr_{playername}_s_Reser|Rezervy od {playername}
qstr_Gondor_has_called_fo|Gondor žádal o pomoc!
qstr_Gondor_is_accompanyi|Gondor doprovází svého maršála!
qstr_{s5}_has_stopped_fol|{s5} tě přestali následovat.
qstr_You_have_{reg69}_all|{reg69} spojenecká skupina tě následuje
qstr_You_have_{reg69}_ally|{reg69} spojeneckých skupin tě následuje
qstr_The_forces_of_{s2}_h|Síly z {s2} se přeskupily a pochodují na {s15}!
; qstr_Your_scouts_report_s|Your scouts report signs of a {s2} nearby.
qstr_{s1}_from_{s2}|{s1} z {s2}
qstr_When_dealing_with_lo|Když jednáš s místními z frakce {s11}, pamatuj že tě neznají a nemusí nutně uznávat zásluhy, které máš u frakce {s10}.^^(Resource Pointy, s kterými můžeš nakládat mezi lidmi z frakce {s11} nejsou ty, které jsi získal v {s10}, ale jsou to ty, které získáš v {s11} -- přehled najdeš v sekci Hlášení)
qstr_Info|Info
qstr_You_came_into_a_poss|Dostal jsi podivnou, nadměrně velkou mísu čerstvě vypadající vody. Trochu voní jako pižmo.
qstr_Obtained:_Ent_water.|Získána: Entí voda.
qstr_A_little_after_you_f|Chvíli po tom co jsi se zotavil po vypití otrávené vody, kterou jsi dostal od chodících stromů,  začínáš si všímat podivných vedlejších účinků. Ti červi z tvé skupiny vypadají jako... by měli k tobě větší respekt a více se tě bojí, protože jsi najednou... vyšší. A ty přísaháš že vskutku jsi a něco vyšší. Je to vůbec možné?
qstr_Ent_water_effect.|Efekt Entí vody.
qstr_The_water_you_drank_|Voda od Entů, kterou jsi vypil, má zvláštní efekt na tvé tělo. Zpočátku jsi nevěřil že je to možné, ale teď musíš uznat, že jsi nějaký vyšší! Nicméně, málem tě ten jed zabil. Už nikdy to nebudeš riskovat znovu.
qstr_Ent_water_effect:_in|Efekt Entí vody: vyšší postava!
qstr__+1_to_Strength__per| +1 k Síle (permanentně)
qstr__+1_to_Charisma__per| +1 k Charisma (permanentně)
qstr_The_dark_shadow_fina|Temný stín se konečně proměnil na bouři a hordy zla započaly jejich pochod na svobodné lidi Středozemě. Mordo proti Gondoru na jihu, Železný pas proti Rohanu na západě, Dol Guldur proti Elfům... Dokonce daleko na Severu je válka taky.
qstr_The_War_has_started!|Válka začala!
qstr_The_forest_seems_pea|Les vypadá mírumilovně.
qstr_There_is_a_sense_of_|Ve vzduchu je cítit nebezpečí.
qstr_You_have_a_feeling_y|Máš pocit že jsi vyrušoval les už dost dlouho.
qstr_Get_out_now!|Vypadni, hned!
qstr_You_are_inside_Fango|Jsi uvnitř Fangornu. {s11}
qstr_Your_party_witnessed|Tvá družina je svědkem pojídání vězňů skřety.
qstr_Your_party_s_morale_|Morálka tvé skupiny se zvýšila kvůli nenávisti.
qstr_Your_party_s_morale_h|Morálka tvé skupiny klesla kvůli strachu.
qstr_{s27}:_Influence_wit|{s27}: Vliv s {s1} zvýšen z {reg2} na {reg1}.
qstr_{s27}:_Influence_with|{s27}: Vliv s {s1} snížen z {reg2} na {reg1}.
qstr_{s27}:_Party_morale_|{s27}: Morálka družiny zvýšena.
qstr_{s27}:_Party_morale_d|{s27}: Morálka družiny snížena.
qstr_You_have_failed_to_f|Nezvládl jsi naplnit přísahu pomsty za Balina a jeho družinu!
qstr_You_have_failed_to_fu|Nezvládl jsi splnit přísahu pomsty za hrdinskou smrt {s1}!
; qstr_Your_troops_value_yo|Your troops value your effort to fulfill your oath, but acknowledge that events unfolded too quickly. As a result, 
qstr_{s22}You_have_fulfil|{s22} jsi naplnil přísahu pomsty za Balina a jeho družinu!
qstr_{s22}You_have_fulfill|{s22} jsi naplnil přísahu pomsty za hrdinskou smrt {s1}!
qstr_Reinforcements|Posily
qstr_Refugees_Escaped:_{r|Uprchlíků uniklo: {reg10} --- Uprchlíků zabito: {reg11}
qstr_Raider_Parties_Kille|Zabito skupin nájezdníků: {reg12}
qstr_One_of_the_target_ce|Jedno z měst, kde chtěli uprchlíci dovést bylo zničeno. Uprchlíci se rozutekli a nejsou k nalezení.
qstr_As_an_Orc_or_a_Dwarf|Jakožto skřet nebo trpaslík můžeš využít výhod Vlastní kamery, kterou jsme implementovali abychom zlepšili zážitek při hraní za menší rasy. Podívej se do Herních konceptů pro více informací jak kameru používat.
qstr_Custom_Camera|Vlastní kamera
qstr_{reg65?my_Lady:my_Lo|{reg65?má Paní:můj Pane}
qstr_{reg65?My_Lady:My_Lo|{reg65?Má Pani:Můj Pane}
qstr_{reg65?mistress:mast|{reg65?paní:mistře}
qstr_{reg65?Mistress:Mast|{reg65?Paní:Mistře}
qstr_{reg65?madame:sir}|{reg65?madam:sire}
qstr_{reg65?Madame:Sir}|{reg65?Madam:Sire}
qstr_How_do_magnets_work?|Jak fungují magnety?
qstr_Um..._by_enchanting_|Um... očarováním železa?
qstr_Magnets_are_made_of_|Magnety jsou z kovu, který se těží ze země. Jsou magnetické, protože unitř obsahují kousky gravitace.
qstr_i_wont_a_bonerlrord_|chci bonerlrord port nao!!11!
qstr_Install_TLD_in_your_|Nainstaluj TLD do složky Bannerlord Modules, přidej 'compatible_with_wfas = 1' do module.ini, a můžeš hrát na obojím Warband A Warrider 0.202!
qstr_Bannerlord_runs_on_a|Bannerlord běží na jiném enginu. Nebudeme schopni převést TLD do Bannerlordu jako jsme to udělaly ve Warbandu.
qstr_dis_mod_takes_2_long|tenhle mód trvá moc dlouho na pochopení! sakra!!11!
qstr_Well_there_s_a_lot_o|Je tady spousta nové grafiky a ostatních věcí, myslím že to chce čas.
qstr_It_has_been_recently|Nedávno byl vzdaný, jestli jsi přehlédl link, můžeš to stáhnout z lemonparty.org.
qstr_i_wont_decapitated_e|chci sekat hlavy olifantům v mulťáku, nao!!11!
qstr_I_don_t_think_there_|Nemyslím si že je multiplayer v TLD, ale olifanti by byli cool.
qstr_There_is_a_hidden_el|Je tady skrytý olifant v deadmatchi v TLD, ale nejdříve musíš vymazat všechny uložené hry, hrát 100 dní bez uložení, pak jdi na stránku charakteru a zmáčkni Alt+F4. Stojí to za to!
qstr_Y_NO_ChINESE??|COŽE ŽÁDNÁ ČÍNŠKÁ JAZYK??
qstr_Just_to_troll_you_tr|Jen tě trolím, trole!
qstr_Thanks_to_our_volunt|Díky dobrovolníkům překladatelům je dostupný překlad do tradiční i zjednodušené čínštiny. Ale budeš muset postupovat podle našeho návodu na Steam Workshopu, aby fungovala.
qstr_Wai_no_plate_armour_|Co? žádná plechová brnění v módu???
qstr_What_is_plate_armour|Co je plátové brnění? Nikdy jsem o tom neslyšel.
qstr_Wai_no_female_trolls|Co? Žádná ženská trol? Eh? Eh? Ty moje děvka!
qstr_WHEN_U_REALSE_MOD?!!|KDY VY VYDAT MÓD?!!?
qstr_But_we_did_release._|Ale my ho vydali. Vždyť jsi v něm. A proč křičíš?
qstr_YES!_ALSO_SOMETIMES_|JO! TAKY NĚKDY JE!
qstr_Wai_u_no_work_wiht_o|Počkat ty nepracovat s ostatní módy aby udělat super Pán prstenů mód?
qstr_Every_mod_team_works|Každý tým každého módu pracuje podle své představy, nelze udělat módy tak aby spolupracovaly, když je každá vize odlišná.
qstr_Because_we_don_t_hav|Protože my nemáme smysl pro humor a většina z nich je pro nás moc vtipná.
qstr_In_movies_trolls_are|Ve film jsou trolové veliký a tlustý, proč vy mě udělat hubený?
qstr_We_interpreted_Tolki|V tomto jsme tlumočili Tolkiena.
qstr_But_we_did_make_you_|Ale udělali jsme tě stejně hloupého jako ve filmech. To se počítá.
qstr_What_is_news?_Got_an|Co je nového? Máš nějaké screenshoty?
qstr_Well_just_look_aroun|Vždyť se kolem sebe rozhlédni, proč potřebuješ screenshoty?
qstr_Say_cheese!|Řekni sýr!
qstr_Why_did_you_make_mod|Proč jste udělali mód instalaci tak složitou?
qstr_Well_if_you_are_here|No, tím že jsi tady a mluvíš na mně, musel jsi provést RTFM přece správně
qstr_You_just_got_windyfl|Právě tě ozdobil vítr!
qstr_Merry|Smíšek
qstr_Pippin|Pipin
qstr_the_Citadel|Citadela
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Správce Denethor
qstr_the_Golden_Hall|Zlatá síň
qstr_Edoras|Edoras
qstr_King_Theoden|Král Theoden
qstr_Merry_asked_you_to_d|Smíšek tě poprosil abys doručil zprávu jeho bratranci Pipinovi do Minas Tirith.
qstr_Pippin_asked_you_to_|Pipin tě poprosil abys doručil zprávu jeho bratranci Smíškovi do Edorasu.
qstr_Tell_him_I_ve_grown_|Řekni mu že jsem vyrostl o další palec!
qstr_Tell_Pip_he_smokes_t|Řekni Pipinovi že moc kouří!
qstr_Tell_him_I_can_ride_|Řekni mu že už můžu jezdit na velkém koni!
qstr_Ask_him_if_he_has_an|Zeptej se ho jestli mu zbyl nějaký tabák do dýmky!
qstr_Tell_him_I_ll_be_the|Řekni mu že já budu ten vyšší až se znovu uvidíme!
qstr_Ask_if_he_s_seen_Gan|Zeptejte se, jestli viděl Gandalfa!
qstr_You_gained_250_exper|Dostal jsi 250 zkušeností.
qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm... Kdo jsi?
qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm... Oh, to jsi zase ty, {playername}.
qstr_Treebeard_wants_you_|Stromovous chce aby si našel a porazil skřety, kteří kácí stromy ve Fangornu.
qstr_Something_wrong_not_e|Něco je špatně, nedostatek jednotek pro průzkumnou skupinu
qstr_my_home_town|mé domovské město
qstr_I_am_in_perfect_heal|Jsem perfektně zdravý.
qstr_I_am_suffering_from_|Trpím {s1}.
qstr_I_am_suffering_from_{|Trpím {s1} a {s2}.
qstr_I_am_suffering_from_{s|Trpím {s1}, {s2}, a {s3}.
qstr_I_am_suffering_from_{s1|Trpím {s1}, {s2}, {s3} a {s4}.
qstr_I_don_t_have_any_ser|Nejsem vážně zraněn, děkuji.
qstr_Good_day_to_you.|Dobrý den.
qstr_Ah_it_s_you_again._G|To jsi zase ty. Sbohem.
qstr_My_apologies_if_I_wa|Omlouvám se pokud jsem byl dříve hrubý. Jaký byl tvůj příběh znovu?
qstr_I_was_reconsidering_|Přemýšlel jsem o naší poslední konverzaci. Jaký byl tvůj příběh znovu?
qstr_Zigrphel_gained_{reg|Zigûrphel získal {reg78} zkušeností.
qstr_Greetings_{s23}_{s24|Vítej, {s23}, {s24}.
qstr_Greetings_{s23}.|Vítej, {s23}.
qstr_So_you_are_{s23}._I_|Takže ty jsi {s23}. Slyšel jsem že bojuješ za přátele z {s25}, takže hádám že bych tě měl považoval za spojence.
qstr_I_need_volunteers_wi|Potřebuji dobrovolníky ochotné mě následovat na nebezpečných misích.
qstr_I_need_some_soldiers|Potřebuju nějaké vojáky, kteří nahradí ty mrtvé.
qstr_Maybe_the_weaklings_|Možná ti slaboši z jihu dávají na své měké Trolly brnění. My ne - naši Trolly jsou Dokonalí!
qstr_Do_I_look_like_a_smi|Připadám ti jako kovář? Pff. Běž si s nějakým promluvit.
qstr_Excellent_job_{s23}!|Skvělá práce, {s23}! Přál bych si aby všichni naši velitelé byli tak oddaní jako ty.^
qstr_Nicely_done_{s23}.|Hezky uděláno, {s23}.
qstr_Good_work_{s23}.|Dobrá práce, {s23}.
qstr_The_more_you_capture|Čím víc zajmeš, tím lépe, {s23}.
qstr_Caught_a_few_straggl|Chytil jsi nějaké pobudy, {s23}?
qstr_I_am_sorry_no_one_el|Omlouvám se, ale nikdo jiný není připravený.^Ostatní slouží pro {s22} tím, že budou držet obranně pozice zde.
qstr_Tough_luck_but_we_do|Smůla, ale nikoho nemáme. Přijď později.
qstr_There_are_brave_sold|Jsou tady odvážní vojáci ochotní riskovat své životy, ale v těchto temných dobách si nemůžu dovolit, aby opustili zdejší obranné pozice.^^^[nedostatek Resource Pointů]
qstr_We_have_some_spare_t|Máme nějaké postradatelné jednotky, ale nemůžeme si je dovolit ztratit pro někoho jako jsi ty. ^^^[nedostatek Resource Pointů]
qstr_There_are_brave_soldi|Tady jsou odvážní vojáci, kteří se dobrovolně hlásí do služby.^^Myslím že můžu pár z nich nechat jít s tebou.
qstr_There_are_spare_troo|Tohle jsou postradatelní vojáci, kterým nebude vadit ztráta trochy krve.^^Můžu pár z nich nechat s tebou jít.
qstr_Strenghten_defences_|Posílit obranu v {s21}? To je samozřejmě vítané. Nezapomeň že můžeme přijmout pouze naše vlastní lidi.
qstr_Strenghten_defences_i|Posílit obranu v {s21}? No, pokud to nejsou mrzáci tak proč ne. Jen se ujisti že to jsou naši vlastní vojáci, pro cizince tady není místo.
qstr_Please_return_them_i|Prosím vrať je v jednom kuse. Já osobně znám cenu každého z nich. A my tady potřebujeme každou duši.
qstr_Don_t_let_them_all_d|Nenech je všechny chcípnou na jednom místě. Kromě zbabělců. Ty dej do předních řad, už víš jak se to dělá.
qstr_Thank_you_commander.|Děkuji, veliteli.^
qstr_^{s22}_is_grateful_t|^{s22} je ti vděčný, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Tito odvážní:Tento odvážný} {reg28?vojáci nám určitě pomohou:voják nám určitě pomůže} bránit {s21}.{s32}^^[získáno {reg14} Resource Pointů s {s14}]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Tihle užiteční:Tento užitečný} {reg28?vojáci nám pomohou:voják nám pomůže} udržet {s21}.{s32}^^[získáno {reg14} Resource Pointů s {s14}]
qstr_{s4}_^Oh_and_take_ba|{s4} ^Jo, a vem si zpátky ty vojáky, kteří nejsou našeho druhu.
qstr_You_have_reinforced_|Podpořil jsi {s8} {reg55} jednotkami.
qstr_I_don_t_need_them_an|Stejně je nepotřebuju, tak si je nech.
qstr_It_is_my_duty_to_pro|Mou povinností je ochránit naše lidi. 
qstr_It_is_my_duty_to_prot|Mou povinností je ochránit naše spojence.
qstr_I_am_{s4}_{s15}_of_{|Já jsem {s4}, {s15} z {s6}
qstr_I_am_{s4}_a_commande|Já jsem {s4}, velitelz {s6}u
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? a vládce frakce {s8}.:.
qstr__{s3}_gained_{reg78}|{s3} získal {reg78} zkušeností.
qstr_{playername}_our_sco|{playername}, naši zvědové přináší slova o tvém úspěchu. Kéž budeš žít po tomto dni v letech požehnání! Velký postup nepřátel z frakce {s7} ztroskotal. Můžeme doufat, že v jejich řadách nastaly hádky, dokonce i mezi kapitány. A taky se tě teď doufejme trochu bojí! Vyhrál jsi nám alespoň trochu času na odpočinek.
qstr_Well_{playername}_yo|Ale, {playername}, se vrátil, a s dobrýma zprávama, jak se zdá. Koukám že nejsi jen chvátoun - ah, kdybych tak mohl vidět pád frakce {s7} na vlastní oči! Naši nepřátelé jsou teď nepochybně sklíčení. Zaručeně teď ztratí hlavu. JAk se říká, uřízni hadovi hlavu a dohoda je zpečetěna. Nyní musím vést své hordy k opravdovému vítězství. Tvůj příspěvek bude nahlášen naším představeným, {playername}. O to se nemusíš bát.
qstr_Alas_that_I_could_no|Bohužel nedokázal jsem to s {s7} z {s8} dotáhnout až do konce, ale pokud bychom se měli potkat znovu, měl by si dát pozor.
qstr__I_should_rather_mak|Měl bych raději podat zprávu o svém vítězství nad {s7} z {s8} sám - hlavní sláva je moje, a vy na to nezapomenete!
qstr_Very_well_done_{play|Dobrá práce, {playername}! Zajal jsi jak špeha tak jeho pána, přesně jak jsem doufal a oba jsou pod zámkem, připraveni na výslech. Budou mít co vysvětlovat! V každém případě, jsem velmi potěšen tvým úspěchem, {playername}, a tady ti dávám tuto sumu jako projev mého uznání.
qstr_Beautiful_work_{play|Skvělá práce, {playername}! Zajal jsi jak špeha tak jeho pána, přesně jak jsi říkal. Oba jsou není zavření v mém sklepení a čeká je výslech. Mí mučitelé budou mít dnes v noci spoustu práce! V každém případě, jsem velmi potěšen tvým úspěchem, {playername}, a tady ti dávám tuto sumu jako projev mého uznání.
qstr_Foiling_the_enemy_s_|Odvrácení nepřátelských útočných pokusů na uprchlické karavany oslabilo jejich odhodlání ({s1} ztrácí {reg19} síly frakce, kvůli tvému vítězství nad {reg18} nájezdníky).
qstr_The_slaughter_and_lo|Porážka a rabování uprchlické karavany posílilo nepřítele ({s1} získává 50 k síle frakce).
qstr_You_did_however_defe|Porazil jsi {reg18} nájezdníků, to oslabilo odhodlání nepřítele ({s1} ztrácí {reg19} síly frakce).
qstr_The_slaughter_and_loo|Porážka a rabování uprchlické karavany posílilo nepřítele ({s1} získává {reg20} k síle frakce).
qstr_Killing_the_refugees|Zabití uprchlíků z {s1} a zotročení těch co přežili demoralizovalo jejich lid ({s1} ztrácí {reg19} síly frakce).
qstr_{reg20}_refugee_trai|{reg20} uprchlických karavan uniklo a posílilo morálku nepřítele ({s1} získává {reg22} k síle frakce).
qstr_You_did_however_defea|Porazil jsi {reg18} kolon uprchlíků, to oslabilo odhodlání nepřítele ({s1} ztrácí {reg19} síly frakce).
qstr_My_lord_{s12}_is_saf|Můj Pane, {s12} je v bezpečí. Korzáři byli poraženi.
qstr_My_lord_Esgaroth_is_|Můj Pane, Esgaroth je v bezpečí. Lidé z Rhûnu byli poraženi.
qstr_The_surroundings_of_|Okolí {s12} hoří. Drancování bylo opravdu skvělé!
qstr_The_surroundings_of_E|Okolí Esgaroth hoří. Drancování bylo opravdu skvělé!
qstr_This_is_welcome_news|To je skutečně vítaná zpráva, {playername}. Byli jsme špatně připraveni na tak odvážnou akci Korzárů. Ale díky tobě byly černé plachty alespoň na chvíli zahnány a můžeme alespoň doufat, že jsme jim dnes zasadili ránu. Máš naše díky.
qstr__Good_work_{playerna|Dobrá práce, {playername}! Ukázali více lstivosti než bychom čekali, to musím uznat. Ale zdá se, že tito východňané, nebojují na svých lodích tak doře jako na svých koních! Možná bychom měli zvážit  založení vlastní flotily... V každém případě, děkujeme ti, {playername}, jménem Esgarothu a všech lidí Dolu.
qstr_Even_from_here_we_co|Dokonce i odtud, můžeme vidět plameny a cítit zoufalství našich nepřátel! Vedl sis skvěle, {playername}. Ať strach nyní zasáhne srdce každého muže, ženy a dítěte v Gondoru, protože nyní vědí, že ani jejich nejmocnější pevnosti nejsou mimo náš dosah!
qstr_Even_from_here_we_cou|Dokonce i odtud, můžeme vidět plameny a cítit zoufalství našich nepřátel! Vedl sis skvěle, {playername}. Ať strach nyní zasáhne srdce každého muže, ženy a dítěte v Dolu, protože nyní vědí, že ani jejich nejmocnější pevnosti nejsou mimo náš dosah!
qstr_My_lord_they_fell_up|Můj pane, napadli nás s obrovskou silou. Nemohli jsme Korzáry odrazit.
qstr_My_lord_they_fell_upo|Můj pane, napadli nás s obrovskou silou. Nemohli jsme válečníky Rhûnu odrazit.
qstr_The_raid_on_{s12}_fa|Nájezd na {s12} neuspěl, díky neschopnosti našich spojenců!
qstr_This_raid_was_ill_fa|Tento nájezd byl od začátku nešťastný. Nikdy jsme se neměli dostat na ty vratké vory!
qstr_This_is_evil_news_yo|Toto jsou špatné zprávy, které přinášíš. Černé plachty jsou stále odvážněji a celý Belfalas nyní leží pod jejich stínem. Nedávám ti za vinu to, že jsi byl neúspěšný, {playername}, ale byl nám zasažen vskutku bolestivý úder, velmi bolestivý úder. Teď jdi. Naděje pro Gondor se zmenšuje, ale my musíme bojovat abychom to co zbylo, udrželi při životě.
qstr_This_is_evil_news_you|Toto jsou špatné zprávy, které přinášíš. Východňané jsou stále odvážnější a Esgaroth hoří. Neviním tě, {playername}, za tvůj neúspěch, ale byl nám zasažen vskutku bolestivý úder, velmi bolestivý úder. Teď jdi. Naděje pro naše království se zmenšuje, ale my musíme bojovat abychom to co zbylo, udrželi při životě.
qstr_Pah!_It_seems_you_we|Pah! Vypadá to že jsi neschopný suchozemský tvor, {playername}. Gondorští muži teď sedí ve svých věžích jako králové a smějí se při pohledu na hořící černé plachty! Možná by měli tví vojáci za trest sedět za vesly galery; škoda že jsou pod tvým velením a ne pod mým. Velké Oko nebude potěšeno. A teď zmiz. 
qstr_Have_you_nothing_bet|Nemáš nic jiného než chabé omluvy svého neúspěchu, {playername}? Možná nejsi tak silný jak jsme věřili. V budoucnu bys raději měl našemu záměru sloužit lépe, {playername}. Nebude žádné slitováni se slabochy!
