
str_yes|是
str_rhun_rumor_7|我们以前击败过刚铎军团，这次也一样！
str_rhun_rumor_8|我们的战斗至死方休！从不撤退，从不返回！从不逃跑！即使一步也不退！
str_rhun_rumor_9|血色黎明正升起于东方。 而血色黄昏正等待着西方！
str_rhun_rumor_10|精灵女性？不，太弱不禁风！
str_rhun_rumor_11|我的每一个儿子都给我带回了一个敌人的头颅。而我的女儿则是每人一个睾丸。哈哈哈！
str_rhun_rumor_12|半兽人是一种没有技巧勇气的肮脏野兽。他们在战场上没有一席之地。
str_rhun_rumor_13|生命中最美好的一刻是什么？彻底打败你的对手，亲眼看着他们被解决，亲耳倾听他们妻女的悲鸣。
str_dunland_rumor_begin|我们不会停止对稻草人（对洛汗人的贬义称呼）的复仇，直到他们国破族灭！
str_dunland_rumor_2|那群洛汗混蛋晚上和他们的马关系可好了！哈哈哈！
; str_dunland_rumor_3|Night Wolfs can see in the darkness. Even at night, their throwing spears never miss their target.
str_dunland_rumor_4|去死吧佛戈伊尔！去死吧稻草人！去死吧北方来的强盗！（注：佛戈伊尔和稻草人都是登兰德对于洛汗人的贬义称呼，佛戈伊尔是唯一已知登兰德语词汇）
str_dunland_rumor_5|哈！他们现在自称洛汗王国！但那里是我们祖上传下来的土地！我们会以祖先为名复仇并且碾碎这群偷地贼！
str_dunland_rumor_6|别让那群佛戈伊尔（对洛汗人的贬义称呼）抓到你，他们会虐待并且活焚了你！
str_dunland_rumor_7|我们是狼群之嗜血，野猪之巨力！
str_dunland_rumor_8|佛戈伊尔（对洛汗人的贬义称呼）觉得我们是愚蠢的。让我们猜猜看，当他们的骑手遇到我们的长柄枪手的时候，他们会如何做想？
str_dunland_rumor_9|艾辛格的乌鸦将会啄瞎稻草人（对洛汗人的贬义称呼）的双眼，而登兰德的狼群将会撕碎他们的喉咙。
str_dunland_rumor_10|我空手宰了一头狼。下一次我会像扭断一根树枝一样掰断驯马佬（对洛汗人的贬义称呼）的脖子！咯嘣！
str_dunland_rumor_11|我们的酋长在古冢里发现了一把青铜古剑。他把剑空手掰弯，并扔在了沼泽里。群山的精灵肯定会站在我们这边，这是我们的传统。
str_dunland_rumor_12|我的祖先曾先跟费瑞卡，再跟沃夫与佛戈伊尔（对洛汗人的贬义称呼）战斗。我们永远铭记他们的勇武。（注：费瑞卡曾经是洛汗领主，因挑战洛汗第九任国王圣盔·锤手被打死，其子沃夫宣誓复仇，并导致圣盔·锤手冻死于圣盔谷号角堡）
str_beorn_rumor_begin|树林是广阔的，各种各样的生物都住在里面。
str_beorn_rumor_2|野蜜蜂产最好的蜜！
str_beorn_rumor_3|森林精灵善良但难以捉摸。山上的矮人快乐且吵闹。河谷镇的人们很勤劳。
str_beorn_rumor_4|我们见过许多奇怪的野兽途径我们的土地。
str_beorn_rumor_5|我整夜睡觉，我整天工作！
str_beorn_rumor_6|邪恶从山的另一边爬来。
str_beorn_rumor_7|大森林不再是他以前那个样子了！
str_beorn_rumor_8|决定斧头好坏的不是刃而是把手。
str_beorn_rumor_9|我们去年睡了一整个冬天。什么？没错，你需要在秋天吃很多东西，这样才能挺得下来。
str_beorn_rumor_10|洛汗人是我们的表亲，熊是我们的血液，半兽人是我们的猎物！
str_beorn_rumor_11|变成熊？当然不会！你这都是从哪里听说来的？哈哈哈！
str_beorn_rumor_12|比翁曾是一个伟人。哦，说错了，他并不是一位人类，他是巨人！
; str_beorn_rumor_13|The best and boldest woodmen warriors do not fear the shadows of the forest. They can fight in the darkness just as well as orcs and other filth who stalk the woods.
str_beorn_rumor_14|不要单独在山上徘徊！熊和狼会远离大群人。但饥饿，或者某些人口中黑暗中的邪恶，可能会驱使它们靠近并攻击你。
str_lorien_rumor_begin|啊，罗瑞恩！寒冬降临，这荒凉萧索的时日，木叶落入激流，大河滔滔而逝。（摘自邓嘉宛译，魔戒魔戒同盟卷二第八章）
str_lorien_rumor_2|不要污蔑凯兰崔尔女士！你不知道自己在说什么。在她身上和这片土地上，绝无邪恶，除非一个人自己将邪恶带来，而若是这样的话，他才要当心！（摘自邓嘉宛译，魔戒魔戒同盟卷二第七章）
str_lorien_rumor_3|这世界的确充满了危险，其中也有不少黑暗之处。但是，也仍有许多美丽的事物，尽管如今在所有的地方，爱都交织着悲伤，但或许还是爱占了上风。（摘自邓嘉宛译，魔戒魔戒同盟卷二第六章）
str_lorien_rumor_4|善恶从来都不曾改变。它们在精灵和矮人当中，与在人类当中并无不同。人有责任辨别善恶，无论他是身在金色森林中，还是在自己家园里。（摘自邓嘉宛译，魔戒双塔殊途卷三第二章）
str_lorien_rumor_5|憎恨通常伤害的是自身！（摘自邓嘉宛译，魔戒双塔殊途卷三第十章）
str_lorien_rumor_6|古代魔法保护着罗斯洛立安，这力量是如此的强大，以至于黑暗还不敢挑战它。
str_lorien_rumor_7|Nathlo i nathal（辛达林语：欢迎你的到来，客人！）你在金色森林里是安全的。Posto vae（辛达林语：休息）—请安心休息、进食和饮水。如果你接下来要离开，请带走你在罗斯洛立安的美好回忆。
str_lorien_rumor_8|据说大海在呼唤着每个人，或早或晚。终将有一天，我也会听到海鸥的鸣叫，永远的离开Laurelindórenan（辛达林语：歌唱的黄金谷；罗斯洛立安别称）。 I Harthon an lend and（辛达林语：我希望这将是一个漫长的旅程）
str_lorien_rumor_9|Av-'osto，用通用语说就是：不要害怕！我们不仅仅被灰色斗篷所保护。
str_imladris_rumor_begin|愿精灵、人类并所有自由子民的祝福与你们同在！（摘自邓嘉宛译，魔戒魔戒同盟卷二第三章）
str_imladris_rumor_2|愿星光照耀你们的脸庞！（摘自邓嘉宛译，魔戒魔戒同盟卷二第三章）
str_imladris_rumor_3|倘若借由破坏事物来发掘其本质，那就已经背离了智慧之道。（摘自邓嘉宛译，魔戒魔戒同盟卷二第二章）
str_imladris_rumor_4|我们必须选一条艰难的路，一条无人料到的路。那才是我们的希望所在—假使那是希望的话。（摘自邓嘉宛译，魔戒魔戒同盟卷二第二章）
str_imladris_rumor_5|这并不是绝望，因为只有笃定无疑地预见结局的人才会绝望，而我们并非如此。（摘自邓嘉宛译，魔戒魔戒同盟卷二第二章）
str_imladris_rumor_6|再冷的寒冬鲜花依旧在来年盛开，再长的黑夜太阳依旧在明日升起。
str_imladris_rumor_7|上次骑马去战场的时候，很多人就已经聚集起来了。我们利剑的闪光就好像原野上的星火一样，所以现在很少有人离开瑞文戴尔。
str_imladris_rumor_8|Áva rucë（辛达林语：不必害怕！）艾尔达已经穿上盔甲又一次站在了伊甸人的身边。这也可能是最后一次了，又有谁能知道呢？我们将唱起战争与火焰的歌谣，结束这漫漫长夜。（注：艾尔达是精灵的别称，星辰的子民；伊甸人是第一纪元精灵盟友，登丹人和努曼诺尔人的祖先）
str_imladris_rumor_9|我看到从东方来的人类带着黑暗魔君的战旗，就好像又一次看到了他们的祖先一样—无数的骑手破碎在最后同盟的闪耀盾墙之前。真希望伊甸人的记忆和我们的一样长。（注：伊甸人是第一纪元精灵盟友，登丹人和努曼诺尔人的祖先；最后同盟又称为精灵及人类最后同盟，是第二纪元末人类与精灵反抗索伦的同盟）
str_woodelf_rumor_begin|从前有位精灵少女，犹如晴日一颗明星，白色披肩金黄饰边，脚下所履灿灿灰银。（摘自邓嘉宛译，魔戒魔戒同盟卷二第六章）
str_woodelf_rumor_2|时间从不停留，但是生长和变化的情况，并不是万物各地千篇一律。对精灵而言，世界在运行，运行得既非常迅速又极其缓慢。迅速，是因为他们自身几乎不变，但其他一切都如白驹过隙：这令他们十分悲伤。缓慢，是因为他们不需要计算流逝的岁月，起码不为自己计算。四季的更替不过是时间长河里永无休止重复的涟漪而已。（摘自邓嘉宛译，魔戒魔戒同盟卷二第九章）
str_woodelf_rumor_3|黑暗和邪恶正在逐渐玷污这片森林。阻止被阻止，他们将毁灭所有希望和光明。
str_woodelf_rumor_4|快速且灵巧，安静且精确，我们目前还能把黑暗挡在外面，但这又能维持多长时间？
str_woodelf_rumor_5|嘘！no dhínen（辛达林语：保持安静）！这周围有可能有半兽人潜伏，我们需要时刻保持警惕！
str_woodelf_rumor_6|*一动不动的瞪着你，显然你的出现惹恼了他*
str_woodelf_rumor_7|Oduleg hi am man theled？用通用语来说就是：你来这里的目的是什么？我们必须知道，因为萨鲁曼的间谍到处都是。
str_woodelf_rumor_8|河谷镇的伊甸人这年头会做不少新奇的小玩意儿！看起来他们从Naugrim（辛达林语：矮人）那里学了很多东西。（注：伊甸人是第一纪元精灵盟友，登丹人和努曼诺尔人的祖先）
str_woodelf_rumor_9|多尔哥多的邪恶阴影正在扩散。邪恶造物据报出现在了森林里。我们的前哨遭到攻击，猎人们消失并不见踪影。我们的每支巡逻队只有不超过35名士兵，很显然我们放纵了邪恶的成长！
str_dale_rumor_begin|之前是龙，现在又是这个…
str_dale_rumor_2|来自北方的半兽人威胁已经够受的了，现在东方人部落又跑来凑热闹！
str_dale_rumor_3|自从打败了龙以后，我们学会了如何寻找敌人的弱点。
str_dale_rumor_4|我们和矮人盟友绝对不会让东方人越雷池一步的。
str_dale_rumor_5|你在长湖看过日出么？那种美景简直无法形容。但是现在我只能看到天边的血色。这可不是什么好兆头。
str_dale_rumor_6|矮人太过执着于宝藏了。到现在我们都不知道应该如何评价索林橡木盾。
str_dale_rumor_7|洛汗人与我们是表亲，他们的语言和我们的很相似。
str_dale_rumor_8|你知道吗？长湖镇的名字来自于精灵语的“芦苇”，因为这的河岸长满了芦苇。
str_dale_rumor_9|龙是一种可怕的怪物，没人希望再次遇见它。
str_dale_rumor_10|我们的经济来源于和精灵，矮人的贸易。不过你要知道，和矮人讨价还价简直自讨苦吃，所以和矮人交易获利很少。
str_harad_rumor_begin|黑蛇将迅速发起致命的攻击。
str_harad_rumor_2|大蛇在上！我们的野兽将把刚铎人踏进泥里。
str_harad_rumor_3|Odum vermajál otí verthaba av daranaja-e-jatánus！（为了萨鲁曼的赏金烧杀掳掠！）
str_harad_rumor_4|刚铎有大量的黄金与宝石，刚铎后面的土地则有更多。
str_harad_rumor_5|我们会捕捉很多西方的懦夫，并把他们献祭给蛇神。
str_harad_rumor_6|海盗有他们的用处，他们航海技术高超，但是举止粗暴、外观肮脏、且行为鬼祟。
; str_harad_rumor_7|The Panthers from Far Harad hunt their prey in the cover of the night. Our enemies will not see them coming.
str_harad_rumor_8|侃德的战士是凶猛且无畏，就是头脑太简单了点。
str_harad_rumor_9|我期望的是来自西方优质的战利品，因为酋长已经做了保票了。然后我可以回家安安静静的开我的地毯店了。
str_harad_rumor_10|你最好离猛犸远一点，他们是性子恶劣的野兽，会压扁你的。
str_harad_rumor_11|在哈拉德，我们有沙漠和丛林，山脉和海洋。我们的人民和土地一样多样化，人种和沙种一样多。
str_harad_rumor_12|在哈隆铎，许多骑兵都喜欢马刀胜于长剑。因为他们相当有利于砍倒逃跑的农民，但你需要一支长枪或一把好剑来穿透重甲。
str_harad_rumor_13|我的亲弟弟选择成为了一名Karka—也就是斥候。‘獠牙’的骑手可不是一件很轻松的活儿，但对热血青年来说却是很好的经历。
str_harad_rumor_14|不要试图与狮子兄弟会战斗！他们的声誉可不是白来的。
str_harad_rumor_15|我希望我们能有更多的黑铁制武器，因为很多人还在用青铜。甚至还有人手持木棍和黑玻璃标枪，赤身裸体加入战斗。
str_gunda_rumor_begin|把温暖土地从人类手中夺过来！
str_gunda_rumor_2|Sharkû承诺了温暖的洞穴。（注：Sharkû在黑语中等于老头子，这里特指萨鲁曼）
str_gunda_rumor_3|在冰冷山脉中躲藏的日子以及受够啦！现在我们要进入人类温暖的土地。
str_gunda_rumor_4|我们在山道里看到了一位滑溜的躲藏者，还没等我们靠近他就消失的无影无踪了。
str_gunda_rumor_5|艾辛格的渣滓们觉得他们比我们更特别，那只不过是因为老头儿（这里特指萨鲁曼）给他们的装备好。
str_gunda_rumor_6|我们要把人类的村庄点燃用于取暖。
str_gunda_rumor_7|人类会体会到我们带来的冻伤的，之后则是烧伤火。哈哈哈！
str_gunda_rumor_8|阿佐格和波尔格当初差点就击败矮人精灵和人类的联军了，要不是鸟怪（对巨鹰的贬义称呼）和熊佬（对波宁人的贬义称呼）救了他们。*呕*（注：阿佐格和波尔格是霍比特人中出现的半兽人反派）
str_gunda_rumor_9|矮人肉又硬又多筋。人肉更好吃。
str_gunda_rumor_10|来自森林的熊佬（对波宁人的贬义称呼）把波大石给吃了。不走运的波大石！哈哈哈！
str_gunda_rumor_11|有些伙计跑到了摩瑞亚，毕竟那里地方挺大的。但Ghâsh（半兽人语中的摩瑞亚炎魔）在深处。你…最…好…躲…远…点！
str_moria_rumor_begin|当你听到鼓声—快点离开并躲藏起来！
str_moria_rumor_2|Ghâsh（半兽人语中的摩瑞亚炎魔）在深处！
str_moria_rumor_3|咚！咚！咚！深处传来的鼓声。
str_moria_rumor_4|摩瑞亚很大，但没有任何矮人在这里躲着。
str_moria_rumor_5|矮人挖得太深，结果却便宜了我们。哈哈哈！
str_moria_rumor_6|摩瑞亚的隧道真是太多了！我们还没探索全部。
str_moria_rumor_7|一些人类和矮人前段时间悄悄通过了我们位于矿洞的哨所。 我从那时起就不相信哨兵了。
str_moria_rumor_8|矮人将永远不能踏足这里！永远！
str_moria_rumor_9|当我们聚集了足够的部队，我们会去烧毁精灵的树林。
str_moria_rumor_10|摩瑞亚食物不多了。饿！必须抓一些人类和精灵！
str_moria_rumor_11|有些家伙去了南方的森林。没一个出来。
str_umbar_rumor_begin|诸海将臣服于黑帆！
str_umbar_rumor_2|刚铎已经没有船让我们抢了，让我们去岸上掠夺！
; str_umbar_rumor_3|Our Night Raiders can fight in the dark just as well as in broad daylight. They lead our scouting parties far inland.
str_umbar_rumor_4|刚铎人不会航海！他们都是旱鸭子。
str_umbar_rumor_5|我们曾经把刚铎国王杀了。哈哈，现在他们连给我们杀的国王都没啦！
str_umbar_rumor_6|卑鄙的刚铎人前些年把我们的船队烧了。现在到了该偿还的时候啦！
str_umbar_rumor_7|海上可从来没东西能够吓倒海盗的。 但我们听到一些令人不安的有关地上可憎之物的谣言。
str_umbar_rumor_8|老子们会像巨浪一样席卷刚铎，夺回之前失守的岛屿。
str_umbar_rumor_9|你知道么？哈拉德林人竟然不喜欢喝朗姆酒！不过，咱倒是喜欢的很，喝完之后握鱼叉的手都稳当了！
str_umbar_rumor_10|我曾见过侃德的维瑞亚人战斗。说实话，我可不想在战场上遇到他们。幸好我们是一伙的。
str_khand_rumor_begin|无论多么血腥，战斗就是战斗。但撤退却是最大的耻辱！
str_khand_rumor_2|剑一旦拔出，不见血绝不归鞘！
str_khand_rumor_3|大地在我们重骑兵的脚下颤抖，而敌人只是提到我们就会颤抖。
str_khand_rumor_4|这次我们把战车留在后面了，这样我们就能在敌人没有防备的情况下突袭他们了。
str_khand_rumor_5|我们来自侃德的维瑞亚，在任何地方都是最英勇的战士！
str_khand_rumor_6|卢恩战士也很凶猛，但他们在马背上进攻，而我们则倾向于步行击倒敌人。
str_khand_rumor_7|我们曾跟刚铎人打过几场，这次我们会永远的解决掉他们的。
str_khand_rumor_8|西方人的国度既脆弱又腐朽。他们并没有战士之魂。他们会很快倒在我们的剑斧之下。
str_khand_rumor_9|我们不是为了金子和奴隶，而是为荣誉和荣耀奋战！
str_khand_rumor_10|西方人都很傲慢，他们不知道将面对的是什么！
str_khand_rumor_11|我们和卢恩，魔多，还有哈拉德交易，有的时候我们也攻击他们。这就是我们的生存方式。
str_khand_rumor_12|你准备战士面具了么？你很快就要用到它了！如果敌人看不到你的脸的话，他的灵魂是没法找到你的。
str_good_rumor_begin|真金未必闪亮，浪子未必迷途；老而弥坚不会凋萎，深根隐埋不惧严霜。冷灰中热火苏醒，暗影中光明跳荡；青锋断刃将重铸，无冕者再临为王。（摘自邓嘉宛译，魔戒魔戒同盟卷二第十章）
str_good_rumor_2|半兽人夜战很强，但白天虚弱。
str_good_rumor_3|强兽人是半兽人中的一种特殊品种，他们并不畏惧阳光！
str_good_rumor_4|在每一次失败和喘息之后，魔多阴影都会使用另一种形态，并再一次壮大起来。
str_good_rumor_5|死亡沼泽…一个污秽害病且超越一切治愈手段的地方
str_good_rumor_6|魔多阴影只会模仿，不会自己做：它并没有一样东西是真正属于自己的。我并不认为它给了那些半兽人生命，只不过是扭曲了他们罢了。
str_good_rumor_7|当这里还住满精灵的时候，人们称她为巨绿森。她是整个中土世界北方最伟大的森林，但现在所有人都称呼这里为幽暗密林，各式各样的邪恶生物在这里游荡。
str_good_rumor_8|阿苟纳斯之门，诸王之柱，刚铎古代北方边境的巨型守卫。
str_good_rumor_9|阿蒙汉山是南希索湖周围三个山峰中最靠西的那个。
str_neutral_rumor_begin|任何事都有可能在一夜之间改变...
str_neutral_rumor_2|死亡沼泽…一个污秽且害病的地方。
str_neutral_rumor_3|这片大地曾经历了巨大的变化。
; str_neutral_rumor_4|Men fight weaker at night. But there are some who are used to seeing in the dark.
str_evil_rumor_begin|兽人擅长夜战，人类喜欢白天。
str_evil_rumor_2|长柄枪克骑兵，弓箭克步兵，盾墙克射手。
str_evil_rumor_3|大河上懦夫们的巨型雕像存在不了多长时间啦!
str_legendary_rumor_begin|传说中法贡森林里面的树见面会说话。
str_legendary_rumor_amonhen|有人说在安都因河流域有一处特殊的地点，那里巨型雕像屹立。
str_legendary_rumor_deadmarshes|据传死亡沼泽里的死人复活了。
str_legendary_rumor_mirkwood|有一群迥异于半兽人的生灵在幽暗密林周围徘徊。
str_legendary_rumor_fangorn|最好不要轻易踏足法贡森林，那里经常发生一些奇怪的事情。
str_last_rumor|我最近没听到过任何有趣的事情。
str_ent_rumor_begin|现在不要着急…
str_ent_rumor_2|且把世间活物之名记心头！先表四个自由行走的民族：最年长的是精灵，凿山矮人居暗穴，土里生长是恩特（树人音译），寿比山岭，终有一死是凡人，驯马好手；（摘自邓嘉宛译，魔戒双塔殊途卷三第四章）
str_ent_rumor_3|古树人语是一种很可爱的语言，但是想用它说什么事情都需要很长时间。所以我们一般不说话，除非这件事值得花费我们很长时间去听和说。
str_gondor_rank_0|刚铎平民
str_gondor_rank_1|刚铎士兵
str_gondor_rank_2|刚铎军士
str_gondor_rank_3|刚铎骑士
str_gondor_rank_4|刚铎圣白塔守卫
str_gondor_rank_5|刚铎圣白塔骑士
str_gondor_rank_6|刚铎摄政王护卫
str_gondor_rank_7|刚铎队长
str_gondor_rank_8|刚铎冠军
str_gondor_rank_9|刚铎英雄
str_dwarf_rank_0|绿须矮人
str_dwarf_rank_1|矮人矿工
str_dwarf_rank_2|矮人战士
str_dwarf_rank_3|长须矮人
str_dwarf_rank_4|矮人斧手
str_dwarf_rank_5|矮人斧手大师
str_dwarf_rank_6|灰须矮人
str_dwarf_rank_7|矮人队长
str_dwarf_rank_8|矮人酋长
str_dwarf_rank_9|大殿英雄
str_rohan_rank_0|Ceorl，洛汗平民
str_rohan_rank_1|Thain，洛汗马仆
str_rohan_rank_2|Léod，洛汗自由民
str_rohan_rank_3|Rohir，洛汗骑兵
str_rohan_rank_4|Scyldbora，洛汗携盾者
str_rohan_rank_5|Swéordbora，洛汗携剑者
str_rohan_rank_6|Frumgar，洛汗枪首
str_rohan_rank_7|Bealdoraed，洛汗高级顾问
str_rohan_rank_8|Eorl，洛汗贵族
str_rohan_rank_9|Haleth，洛汗英雄
str_mordor_rank_0|蛆虫
str_mordor_rank_1|下仆
str_mordor_rank_2|葛哥洛斯背刺者
str_mordor_rank_3|西力斯昂哥哨兵
str_mordor_rank_4|乌顿监工
str_mordor_rank_5|德桑掠夺者
str_mordor_rank_6|黑门看守
str_mordor_rank_7|米纳斯魔窟队长
str_mordor_rank_8|邪黑塔指挥官
str_mordor_rank_9|人类之灾
str_isengard_rank_0|耗子
str_isengard_rank_1|下仆
str_isengard_rank_2|车工
str_isengard_rank_3|焚树者
str_isengard_rank_4|座狼饲养者
str_isengard_rank_5|炼铁者
str_isengard_rank_6|锻造主
str_isengard_rank_7|奥桑克塔队长
str_isengard_rank_8|军团指挥官
str_isengard_rank_9|巫师的另一只白掌
str_lorien_rank_0|Sador，罗斯洛立安忠诚者
str_lorien_rank_1|Tauron，罗斯洛立安森林行者
str_lorien_rank_2|Mifaron，罗斯洛立安灰色猎手
str_lorien_rank_3|Thindirith，罗斯洛立安灰卫
str_lorien_rank_4|Thangyl，罗斯洛立安携盾者
str_lorien_rank_5|Maglagyl，罗斯洛立安携剑者
str_lorien_rank_6|Tiribrannon，罗斯洛立安守护者
str_lorien_rank_7|Glaurchir，罗斯洛立安大师
str_lorien_rank_8|Galadhîr，罗斯洛立安光明王
str_lorien_rank_9|Thalion，罗斯洛立安英雄
str_imladris_rank_0|Háno，瑞文戴尔兄弟
str_imladris_rank_1|Macar，瑞文戴尔战士
str_imladris_rank_2|Sindacollo，瑞文戴尔灰色斗篷
str_imladris_rank_3|Luinëcollo，瑞文戴尔蓝色斗篷
str_imladris_rank_4|Turmacolindo，瑞文戴尔携盾者
str_imladris_rank_5|Langocolindo，瑞文戴尔携剑者
str_imladris_rank_6|Aráto，瑞文戴尔冠军
str_imladris_rank_7|Hesto，瑞文戴尔队长
str_imladris_rank_8|Runando，瑞文戴尔救星
str_imladris_rank_9|Callo，瑞文戴尔英雄
str_woodelf_rank_0|Sador，幽暗密林忠诚者
str_woodelf_rank_1|Tauron，幽暗密林森林行者
str_woodelf_rank_2|Hirfaron，幽暗密林猎手大师
str_woodelf_rank_3|Calendirith，幽暗密林碧绿守卫
str_woodelf_rank_4|Thangyl，幽暗密林携盾者
str_woodelf_rank_5|Maglagyl，幽暗密林携剑者
str_woodelf_rank_6|Tiribrannon，幽暗密林守护者
str_woodelf_rank_7|Pengherdir，幽暗密林射手大师
str_woodelf_rank_8|Armagor，幽暗密林皇家剑士
str_woodelf_rank_9|Thalion，幽暗密林英雄
str_dale_rank_0|河谷镇平民
str_dale_rank_1|河谷自由民
str_dale_rank_2|河谷镇士兵
str_dale_rank_3|河谷镇船民
str_dale_rank_4|河谷镇携盾者
str_dale_rank_5|河谷镇携剑者
str_dale_rank_6|Barding，河谷镇射手
str_dale_rank_7|河谷镇队长
str_dale_rank_8|河谷镇湖主
str_dale_rank_9|河谷镇英雄
str_harad_rank_0|部落新人
str_harad_rank_1|部落成年人
str_harad_rank_2|部落战士
str_harad_rank_3|猎狮者
str_harad_rank_4|蛇巫
str_harad_rank_5|猛犸管理员
str_harad_rank_6|黑蛇卫
str_harad_rank_7|哈隆铎队长
str_harad_rank_8|大沙漠将军
str_harad_rank_9|金蛇
str_rhun_rank_0|卢恩平原民
str_rhun_rank_1|卢恩农奴
str_rhun_rank_2|卢恩战士
str_rhun_rank_3|卢恩公牛战士
str_rhun_rank_4|卢恩携盾者
str_rhun_rank_5|卢恩携剑者
str_rhun_rank_6|卢恩骑手大师
str_rhun_rank_7|卢恩军阀
str_rhun_rank_8|草原氏族酋长
str_rhun_rank_9|戒灵克哈穆尔的右手
str_khand_rank_0|侃德平原民
str_khand_rank_1|侃德农奴
str_khand_rank_2|侃德战士
str_khand_rank_3|侃德雄鹰战士
str_khand_rank_4|侃德携盾者
str_khand_rank_5|侃德携剑者
str_khand_rank_6|侃德骑手大师
str_khand_rank_7|维瑞亚军阀
str_khand_rank_8|维瑞亚氏族酋长
str_khand_rank_9|传奇征服者
str_umbar_rank_0|旱鸭子
str_umbar_rank_1|力工
str_umbar_rank_2|水手
str_umbar_rank_3|渔猎手
str_umbar_rank_4|割喉者
str_umbar_rank_5|掠夺者
str_umbar_rank_6|航海大师
str_umbar_rank_7|昂巴队长
str_umbar_rank_8|舰队指挥官
str_umbar_rank_9|海军上将
str_moria_rank_0|渣滓
str_moria_rank_1|奴隶
str_moria_rank_2|坑道鼠
str_moria_rank_3|洞穴猎手
str_moria_rank_4|矿井劫掠者
str_moria_rank_5|大厅劫掠者
str_moria_rank_6|矮人克星
str_moria_rank_7|半兽人军阀
str_moria_rank_8|半兽人酋长
str_moria_rank_9|深渊恐惧
str_guldur_rank_0|蛆虫
str_guldur_rank_1|奴隶
str_guldur_rank_2|葛哥洛斯背刺者
str_guldur_rank_3|西力斯昂哥哨兵
str_guldur_rank_4|乌顿监工
str_guldur_rank_5|德桑掠夺者
str_guldur_rank_6|黑门看守
str_guldur_rank_7|米纳斯魔窟队长
str_guldur_rank_8|邪黑塔指挥官
str_guldur_rank_9|人类之灾
str_gundabad_rank_0|粪便
str_gundabad_rank_1|奴隶
str_gundabad_rank_2|坑道鼠
str_gundabad_rank_3|洞穴猎手
str_gundabad_rank_4|丘陵劫掠者
str_gundabad_rank_5|山脉劫掠者
str_gundabad_rank_6|矮人克星
str_gundabad_rank_7|骑狼军阀
str_gundabad_rank_8|巨型半兽人
str_gundabad_rank_9|北方掠夺者
str_dunland_rank_0|小狗
str_dunland_rank_1|狗
str_dunland_rank_2|军犬
str_dunland_rank_3|狼
str_dunland_rank_4|壮狼
str_dunland_rank_5|恐狼
str_dunland_rank_6|巨狼
str_dunland_rank_7|头狼
str_dunland_rank_8|氏族酋长
str_dunland_rank_9|费瑞卡复仇者
str_beorn_rank_0|森林小子
str_beorn_rank_1|森林追踪者
str_beorn_rank_2|森林猎人
str_beorn_rank_3|森林游侠
str_beorn_rank_4|森林携盾者
str_beorn_rank_5|森林携斧者
str_beorn_rank_6|森林熊
str_beorn_rank_7|森林巨熊
str_beorn_rank_8|森林巨人
str_beorn_rank_9|森林英雄
str_tld_introduction|最后之日介绍—你应该前往伊多拉斯。
str_tld_erebor_dungeon|这附近有死亡的气息，我应该小心一些。
str_tld_spear_hit|噢！
str_fullname_region_unknown|不名之地，中土世界的某地
str_fullname_region_pelennor|帕兰诺平原，米那斯提力斯周边平原，刚铎王国王都
str_fullname_region_subfac_pelargir|兰班宁领，刚铎王国之地
str_fullname_region_subfac_dol_amroth|贝尔法拉斯，刚铎南部的沿海地区
str_fullname_region_subfac_ethring|林罗谷，刚铎王国的一个山谷
str_fullname_region_subfac_lossarnach|罗萨那奇领，又称鲜花谷，刚铎王国之地
str_fullname_region_subfac_pinnath_gelin|皮纳斯杰林，又称绿丘，刚铎王国之地
str_fullname_region_subfac_blackroot|拉密顿领，刚铎王国之地
str_fullname_region_n_ithilien|北伊西利安，刚铎王国极东之地
str_fullname_region_c_ithilien|艾明亚南，伊西力安中部丘陵，与米那斯提力斯隔大河（安都因河别称）相望
str_fullname_region_s_ithilien|南伊西利安，刚铎王国极东之地
str_fullname_region_druadan_forest|督伊顿森林，Drúedain（伊甸人后裔，野人）位于刚铎的家
str_fullname_region_firien_wood|费理安森林，耳语森林，刚铎的橡树林
str_fullname_region_anorien|安诺瑞安，辛达林语中的太阳之地，安都因河和白色山脉之间的山谷
str_fullname_region_rohan0|中谷，洛汗之心
str_fullname_region_rohan1|东洛汗，洛汗骠骑之地
str_fullname_region_rohan2|西洛汗，洛汗骠骑之地
str_fullname_region_rohan3|东谷，洛汗骠骑之地
str_fullname_region_rohan4|西谷，洛汗骠骑之地
str_fullname_region_rohan5|圣盔谷，白色山脉中的山谷，洛汗领地
str_fullname_region_the_wold|沃德，洛汗东北部的骠骑之地
; str_fullname_region_gap_of_rohan|the Gap of Rohan, the westernmost border of Rohan, a contested area between the Rohirrim and the Dunlendings.
str_fullname_region_entwash|树沐河三角洲，流经洛汗的树沐河在这里与安都因河交汇
str_fullname_region_wetwang|宁道夫沼泽，别名威顿。
str_fullname_region_dead_marshes|死亡沼泽，达哥拉之战发生的地方，而现在则是诅咒之地
str_fullname_region_isengard|艾辛格周边平原
str_fullname_region_fangorn|法贡森林，据说这里的树会说话
str_fullname_region_brown_lands|褐地，艾明莫尔与幽暗密林之间
str_fullname_region_dagorlad|战争平原，黑门前的一片无树大平原
str_fullname_region_n_undeep|南河套，安都因河第一次转向之地
str_fullname_region_s_undeep|南河套，安都因河第二次转向之地
