str_yes|Oui.
str_comment_you_helped_villagers_unfriendly_spiteful|I heard that you gave charity to my tenants in the village of {s51}. As amusing as it is to see you grubbing for favor among my vassals, I would ask you to mind your own business.
str_comment_you_helped_villagers_cruel|I heard that you gave charity to my tenants in the village of {s51}. As the peasants' lord and protector, it is most properly my duty to assist them in times of hardship. You may mean well, but your actions still undercut my authority. I would thank you to leave them alone.
str_comment_you_helped_villagers_default|I heard that you gave charity to my tenants in the village of {s51}. Times are hard, and I know that you mean well, but try not to make a habit of it. I am their lord and protector, and I would rather not have them go looking to strangers for assistance.
str_comment_you_captured_a_castle_allied_friendly|I heard that you have besieged and taken {s51}. That was a great dead, and I am proud to call you my friend!
str_comment_you_captured_a_castle_allied_spiteful|I heard that you have besieged and taken {s51}. Good work! Soon, we will have all their fortresses to despoil, their treasuries to ransack, their grieving widows to serve us our wine.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|I heard that you have besieged and taken {s51}. Well, every dog has his day, or so they say. Enjoy it while you can, until your betters kick you back out in the cold where you belong.
str_comment_you_captured_a_castle_allied_unfriendly|I heard that you have besieged and taken {s51}. Whatever our differences in the past, I must offer you my congratulations.
str_comment_you_captured_a_castle_allied|I heard that you have besieged and taken {s51}. We have them on the run!
str_comment_you_captured_my_castle_enemy_spiteful|I hear that you have broken into my home at {s51}. I hope the dungeon is to your liking, as you will be spending much time there in the years to come.
str_comment_you_captured_my_castle_enemy_chivalrous|You hold {s51}, my rightful fief. I hope you will give me the chance to win it back!
str_comment_you_captured_my_castle_enemy|You have something that belongs to me -- {s51}. I will make you relinquish it.
str_comment_we_defeated_a_lord_unfriendly_spiteful|I suppose you will want to drink to the memory of our victory over {s54}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_defeated_a_lord_unfriendly|I will not forget how we fought together against {s54}, but I can also not forget the other matters that lie between us.
str_comment_we_defeated_a_lord_cruel|That was a great victory over {s54}, wasn't it? We made of his army a feast for the crows!
str_comment_we_defeated_a_lord_quarrelsome|I won't forget how we whipped {s54}? I enjoyed that.
str_comment_we_defeated_a_lord_upstanding|I will not forget our victory over {s54}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_defeated_a_lord_default|That was a great victory over {s54}, wasn't it? I am honoured to have fought by your side.
str_comment_we_fought_in_siege_unfriendly_spiteful|I suppose you will want to drink to the memory of our capture of {s51}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_siege_unfriendly|I will not forget how we together we stormed {s51}, but I can also not forget the other matters that lie between us.
str_comment_we_fought_in_siege_cruel|I won't forget how we broke through the walls of {s51} and put its defenders to the sword. It is a sweet memory.
str_comment_we_fought_in_siege_quarrelsome|Remember how the enemy squealed when we came over the walls of {s51}? They had thought they were safe! We wiped the smug smiles of their faces!
str_comment_we_fought_in_siege_upstanding|I will not forget our capture of {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_siege_default|I will not forget how together we captured {s51}. I am honoured to have fought by your side.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|I suppose you will want to drink to the memory of our great victory near {s51}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_major_battle_unfriendly|I will not forget how we fought together in the great battle near {s51}, but I can also not forget the other matters that lie between us.
str_comment_we_fought_in_major_battle_cruel|I won't forget the great battle near {s51}, when we broke through the enemy lines and they ran screaming before us. It is a sweet memory.
str_comment_we_fought_in_major_battle_quarrelsome|That was a fine fight near {s51}, when we made those bastards run!
str_comment_we_fought_in_major_battle_upstanding|I will not forget how we fought side by side at the great battle near {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_major_battle_default|I will not forget how we fought side by side at the great battle near {s51}. I am honoured to have fought by your side.
str_comment_you_defeated_a_lord_allied_liege|So, you crossed swords with that rascal they call {s54}, and emerged victorious. I am very happy to hear that.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|I heard that you fought and defeated {s54}. Every dog has its day, I suppose.
str_comment_you_defeated_a_lord_allied_spiteful|I heard that you fought and defeated that dog {s54}. Ah, if only I could have heard him whimpering for mercy.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|I heard that you fought and defeated {s54}. I hope that you did not use dishonourable means to do so.
str_comment_you_defeated_a_lord_allied|I heard that you fought and defeated {s54}. I wish you joy of your victory.
str_comment_you_defeated_me_enemy_chivalrous|I will not begrudge you your victory the last time that we met, but I am anxious for another round!
str_comment_you_defeated_me_enemy_spiteful|I have been looking forward to meeting you again. Your tricks will not deceive me a second time, and I will relish hearing your cries for mercy.
str_comment_you_defeated_me_enemy|When last we met, {playername}, you had the better of me. But I assure you that it will not happen again!
str_comment_i_defeated_you_enemy_spiteful|Back for more? Make me fight you again, and I'll feed your bowels to my hounds.
str_comment_i_defeated_you_enemy_chivalrous|Come to test your valor against me again, {playername}?
str_comment_i_defeated_you_enemy_benevolent|So once again you come at me? Will you ever learn?
str_comment_i_defeated_you_enemy_coldblooded|You are persistent, but a nuisance.
str_comment_i_defeated_you_enemy|How many times must I chastise you before you learn to keep your distance?
str_comment_we_were_defeated_unfriendly_spiteful|Last I saw you, you had been struck down by the men of {s54}. I blame you for that disaster. What a pity to see that you survived.
str_comment_we_were_defeated_unfriendly|Last I saw you, you had been struck down by the men of {s54}. Well, I see that you survived.
str_comment_we_were_defeated_cruel|Last I saw you, you had been struck down by the men of {s54}. Don't worry -- we'll find him, and make him choke on his victory.
str_comment_we_were_defeated_default|Last I saw you, you had been struck down by the men of {s54}. It is good to see you alive and well.
str_comment_you_were_defeated_allied_friendly_spiteful|I heard that {s54} gave you a hard time. Don't worry, friend -- I'll find him for you, and make you a gift of his head.
str_comment_you_were_defeated_allied_unfriendly_cruel|I had heard that {s54} slaughtered your men like sheep. But here you are, alive. Such a disappointment!
str_comment_you_were_defeated_allied_spiteful|I heard that {s54} crushed you underfoot like an ant. Hah! Children should not play games made for grown-ups, little {boy/girl}!
str_comment_you_were_defeated_allied_pitiless|I heard that {s54} defeated you, and scattered your forces. That is most disappointing...
str_comment_you_were_defeated_allied_unfriendly_upstanding|I heard that {s54} defeated you. Perhaps you should consider if you have considered any misdeeds, that might cause heaven to rebuke you in this way.
str_comment_you_were_defeated_allied_unfriendly|I heard that {s54} defeated you. Look, try not to get too many of our men killed, will you?
str_comment_you_were_defeated_allied|I heard that {s54} defeated you. But take heart -- the tables will soon be turned!
str_comment_you_helped_my_ally_unfriendly_chivalrous|I heard that you saved {s54} from likely defeat. Whatever else I may think of you, I must at least commend you for that.
str_comment_you_helped_my_ally_unfriendly|[revelance should be zero, and this message should not appear]
str_comment_you_helped_my_ally_liege|I heard that you saved my vassal {s54} from likely defeat. 
str_comment_you_helped_my_ally_unfriendly_spiteful|I heard that you rode to the rescue of our poor {s54}. Did you think him a damsel in distress? No matter -- it's a common mistake.
str_comment_you_helped_my_ally_spiteful|I heard that you saved {s54} from a whipping. You should have let him learn his lesson, in my opinion.
str_comment_you_helped_my_ally_chivalrous|I heard that you got {s54} out of a tight spot. That was a noble deed.
str_comment_you_helped_my_ally_default|I heard that you got {s54} out of a tight spot. Good work!
str_comment_you_abandoned_us_unfriendly_spiteful|You worm! You left us alone to face {s54}, didn't you? I spit at you.
str_comment_you_abandoned_us_unfriendly_pitiless|Well... You abandoned me in the middle of a battle with {s54}, didn't you? I'll see you buried in a traitor's grave.
str_comment_you_abandoned_us_spiteful|You disappeared in the middle of that battle with {s54}... I hope you have a good explanation. Did your bowels give out? Were you shaking too hard with fear to hold your weapon?
str_comment_you_abandoned_us_chivalrous|What happened? You disappeared in the middle of that battle against {s54}. I can only hope that you were too badly wounded to stand, for I would be ashamed to have gone into battle alongside a coward.
str_comment_you_abandoned_us_benefitofdoubt|What happened? You disappeared in the middle of that battle against {s54}. I assume that you must have been wounded, but it did look suspicious.
str_comment_you_abandoned_us_default|What happened? One moment you were fighting with us against {s54}, the next moment you were nowhere to be found?
str_comment_you_ran_from_me_enemy_spiteful|Last time we met, you ran from me like a whipped dog. Have you come back to bark at me again, or to whine for mercy?
str_comment_you_ran_from_me_enemy_chivalrous|Last time we met, you fled from me. Learn to stand and fight like a gentleman!
str_comment_you_ran_from_me_enemy_benevolent|When I saw you flee the last time that we met, I had hoped that I would not have to fight you again.
str_comment_you_ran_from_me_enemy_coldblooded|Last time we met, you fled from me. That was a wise decision
str_comment_you_ran_from_me_enemy|You may have been able to escape the last time we crossed paths, but the next time I doubt that you be so lucky.
str_comment_you_ran_from_foe_allied_chivalrous|They say that you fled from {s54}, leaving your men behind. I pray that this is not true, for such conduct does dishonour to us all.
str_comment_you_ran_from_foe_allied_upstanding|They say that you fled from {s54}, leaving your men behind. I do not always believe such rumors, and I also know that desperate straits call for desperate measures. But I beg you to take more care of your good name, for men will not fight in our armies if they hear that we abandon them on the field of battle.
str_comment_you_ran_from_foe_allied_spiteful|By the way, they said that you ran away from {s54} like a quaking little rabbit, leaving your men behind to be butchered. Ha! What a sight that would have been to see!
str_comment_you_defeated_my_friend_enemy_pragmatic|You may have bested {s54}, but you cannot defeat us all.
str_comment_you_defeated_my_friend_enemy_chivalrous|I have heard that you defeated {s54}, and ever since have been anxious to cross swords with you.
str_comment_you_defeated_my_friend_enemy_spiteful|Your fame runs before you, {playername}. {s54} may have fallen for your tricks, but if you fight me, you'll find a me a much more slippery foe.
str_comment_you_defeated_my_friend_enemy|They say that you have defeated {s54}. But I will be a truer test of your skill at arms.
str_comment_you_captured_a_lord_allied_friendly_spiteful|I heard that you captured {s54}. I hope that you squeezed him for every denar.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|I heard that you captured {s54}. Your coffers must be well-bloated with ransom by now. Such a pity that money cannot transform a low-born cur into a gentleman!
str_comment_you_captured_a_lord_allied_chivalrous|I heard that you captured {s54}. Well done. I assume, of course, that he has been been treated with the honours due his rank.
str_comment_you_captured_a_lord_allied|I heard that you captured {s54}. Well done. His ransom must be worth quite something.
str_comment_you_let_go_a_lord_allied_chivalrous|I heard that you captured {s54}, but then let him go. Such chivalry does a credit to our cause.
str_comment_you_let_go_a_lord_allied_upstanding|I heard that you captured {s54}, but then let him go. Well, that was an honourable course of action, if possibly also a dangerous one.
str_comment_you_let_go_a_lord_allied_coldblooded|I heard that you captured {s54}, but then let him go. That was most chivalrous of you, but chivalry does not win wars.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|I heard that you captured {s54}, but then let him go. How very chivalrous of you! No doubt the widows and orphans he leaves in his wake will want to commend you in person.
str_comment_you_let_go_a_lord_allied|I heard that you captured {s54}, but then let him go. Well, I will not tell you what to do with your own prisoners.
str_comment_you_let_me_go_spiteful|When last we met, you had me at your mercy and allowed me to go free. I hope you enjoyed toying with me, like a cat with a mouse, because soon I will have you at my mercy, to slay or humiliate according to my fancy.
str_comment_you_let_me_go_enemy_chivalrous|When last we met, you had me at your mercy and allowed me to go free. That was most chivalrous of you, and I will not forget. But I also must remember my oath to my liege, and our kingdoms are still at war.
str_comment_you_let_me_go_enemy_coldblooded|When last we met, you had me at your mercy and allowed me to go free. But we are still enemies, and I cannot promise to repay your mercy in kind.
str_comment_you_let_me_go_enemy|When last we met, you had me at your mercy and allowed me to go free. That was kind of you. But we are still at war.
str_comment_you_let_me_go_default|When last we met, you had me at your mercy and allowed me to go free. That was kind of you, and I am glad that our kingdoms are no longer at war.
str_comment_pledged_allegiance_allied_martial_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. Pray do not disgrace us by behaving in a cowardly fashion.
str_comment_pledged_allegiance_allied_martial|I heard that you have pledged allegiance to our lord, {s54}. I look forward to fighting alongside you against our foes.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. Bah. Do yourself a favor, and stay out of my way.
str_comment_pledged_allegiance_allied_quarrelsome|I heard that you have pledged allegiance to our lord, {s54}. Fight hard against our foes, respect your betters, and don't cross me, and we'll get along fine.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. If I were he, I would not trust you to clean the sculleries.
str_comment_pledged_allegiance_allied_selfrighteous|I heard that you have pledged allegiance to our lord, {s54}. Fight bravely and you will be well-rewarded. Betray us, and we shall make of you the kind of example that will not soon be forgotten.
str_comment_pledged_allegiance_allied_cunning_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. I do not pretend to be happy about his decision, but perhaps it is better to have you inside our tent pissing out, than the other way around.
str_comment_pledged_allegiance_allied_cunning|I heard that you have pledged allegiance to our lord, {s54}. That is good. The more skilled fighters we have with us in these troubled times, the better. I shall be watching your progress.
str_comment_pledged_allegiance_allied_debauched_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. No doubt you will soon betray him, and I will have the pleasure of watching you die a traitor's death.
str_comment_pledged_allegiance_allied_debauched|I heard that you have pledged allegiance to our lord, {s54}. Excellent... I am sure that you and I will become very good friends. But remember -- if you betray us, it will be the biggest mistake you will ever make.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. Well, I can't say that I would have trusted you, but perhaps you deserve the benefit of the doubt.
str_comment_pledged_allegiance_allied_goodnatured|I heard that you have pledged allegiance to our lord, {s54}. Good {man/woman}! Our lord is a noble soul, and rewards loyalty and valor with kindness and generosity.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|I heard that you have pledged allegiance to our lord, {s54}. Alas, from what I know of you I fear that you will disgrace us, but I will be happy if you prove me wrong.
str_comment_pledged_allegiance_allied_upstanding|I heard that you have pledged allegiance to our lord, {s54}. Fight against our foes with valor, but also with honour and compassion. A good name is as valuable as a sharp sword or a swift horse in affairs of arms.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|I heard that {s54} granted you {s51} as a fief. Don't forget -- spare the whip and spoil the peasant!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|I heard that {s54} granted you {s51} as a fief. I am glad to see you prosper -- but be careful. Men are vipers, envious and covetous of their neighbours' wealth. Stay close to me, and I'll watch your back.
str_comment_our_king_granted_you_a_fief_allied_friendly|I heard that {s54} granted you {s51} as a fief. May your new lands prosper.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|I heard that {s54} granted you {s51} as a fief. But keep in mind that pride goes before a fall.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|I heard that {s54} granted you {s51} as a fief. I suspect, however, that fortune is only raising you up so as to humble you even more, when it casts you back into the dung from whence you came.
str_comment_our_king_granted_you_a_fief_allied_spiteful|I heard that {s54} granted you {s51} as a fief. Let's hope you are indeed deserving of our lord's favor.
str_comment_our_king_granted_you_a_fief_allied|I heard that {s54} granted you {s51} as a fief. You seem to be doing very well for yourself.
str_comment_you_renounced_your_alliegance_enemy_friendly|I heard that you renounced your allegiance to our lord, {s54}. It grieves me that we must now meet on the field of battle.
str_comment_you_renounced_your_alliegance_friendly|I heard that you renounced your allegiance to our lord, {s54}. Let us pray that we may not come to blows.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|I always had you figured for a traitor to {s54}, and now it seems I was proven right. I hope you are prepared to die a traitor's death!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|I heard that you renounced your allegiance to our lord, {s54}. I am forced to consider you a traitor.
str_comment_you_renounced_your_alliegance_enemy|I heard that you renounced your allegiance to our lord, {s54}. Well, it is the way of the world for old comrades to become enemies.
str_comment_you_renounced_your_alliegance_default|I heard that you renounced your allegiance to our lord, {s54}. Well, that is your decision, but do not expect me to go easy on you when we meet on the battlefield.
str_personality_archetypes|liege
str_martial|martial
str_quarrelsome|bad-tempered
str_selfrighteous|pitiless
str_cunning|cunning
str_debauched|sadistic
str_goodnatured|good-natured
str_upstanding|upstanding
str_surrender_demand_default|Yield or die!
str_surrender_demand_martial|The odds are not in your favor today. You may fight us, but there is also no shame if you yield now.
str_surrender_demand_quarrelsome|I've got you cornered. Give up, or I'll ride you down like a dog.
str_surrender_demand_pitiless|You cannot defeat me, and I'll teach you a painful lesson if you try. Yield!
str_surrender_demand_cunning|You are outmatched today. Give up -- if not for your own sake, then think of your men!
str_surrender_demand_sadistic|Surrender or I'll gut you like a fish!
str_surrender_demand_goodnatured|We have the advantage of you. Yield, and you will be well-treated.
str_surrender_demand_upstanding|You may fight us, but many of your men will be killed, and you will probably lose. Yield, and spare us both the unnecessary bloodshed.
str_surrender_offer_default|Stop! I yield!
str_surrender_offer_martial|Stop! I yield!
str_surrender_offer_quarrelsome|Enough! You win today, you dog! Ach, the shame of it!
str_surrender_offer_pitiless|I yield! You have won. Cursed be this day!
str_surrender_offer_cunning|Stop! I yield to you!
str_surrender_offer_sadistic|I give up! I give up! Call back your dogs!
str_surrender_offer_goodnatured|I yield! Congratulations on your victory, {sir/madame}!
str_surrender_offer_upstanding|I yield! Grant me the honours of war, and do yourself credit!
str_prisoner_released_default|You have my gratitude, {sir/madame}. I shall not forget your kindness.
str_prisoner_released_martial|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_prisoner_released_quarrelsome|I'm free? Well... Good bye, then.
str_prisoner_released_pitiless|Thank you. When you are finally defeated, I will request for your death to be swift and merciful. Unless, that is, you care to join us... Good bye, for now.
str_prisoner_released_cunning|Am I? You are a good {man/woman}. I will try to find a way to repay you.
str_prisoner_released_sadistic|Am I? So refined is your cruelty, that you would rather see me free and humiliated, than in chains. Enjoy your triumph!
str_prisoner_released_goodnatured|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_prisoner_released_upstanding|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_enemy_meet_default|Who are you, that comes in arms against me?
str_enemy_meet_martial|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.
str_enemy_meet_quarrelsome|Who the hell are you?
str_enemy_meet_pitiless|Who are you? Speak, so that I may know whom I slay.
str_enemy_meet_cunning|Tell me your name. It is always good to know your enemy.
str_enemy_meet_sadistic|Who are you? Speak quick, before I cut your tongue out.
str_enemy_meet_goodnatured|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.
str_enemy_meet_upstanding|Who are you, who would come in arms to dispute our righteous cause?
str_battle_won_default|You have proven yourself a most valued ally, today.
str_battle_won_martial|There is no greater fortune than the chance to show one's valor on the field of arms!
str_battle_won_quarrelsome|Hah! We showed those bastards a thing or two, there, didn't we?
str_battle_won_pitiless|Together, we will make the foe learn to fear our names, and to quail at our coming!
str_battle_won_cunning|Now, we must be sure to press our advantage, so that the blood shed today is not wasted.
str_battle_won_sadistic|Now let us strip their dead and leave them for the crows, so that all will know the fate of those who come against us.
str_battle_won_goodnatured|That was a good scrap! No joy like the joy of victory, eh?
str_battle_won_upstanding|Now, let us give thanks to the heavens for our victory, and mourn the many fine men who have fallen today.
str_battle_won_grudging_default|You helped turn the tide on the field, today. Whatever I may think of you, I cannot fault you for your valor.
str_battle_won_grudging_martial|{playername} -- you have shown yourself a worthy {man/woman} today, whatever your misdeeds in the past.
str_battle_won_grudging_quarrelsome|Hmf. Yours is not a face which I normally like to see, but I suppose today I should thank you for your help.
str_battle_won_grudging_pitiless|Your help was most valuable today. I would not imagine that you came to help me out of kindness, but I nonetheless thank you.
str_battle_won_grudging_cunning|It would be unwise of me not to thank you for coming to help me in my hour of need. So... You have my gratitude.
str_battle_won_grudging_sadistic|Well! How touching! {playername} has come to rescue me.
str_battle_won_grudging_goodnatured|{playername}! I can't say that we've always gotten along in the past, but you fought well today. My thanks to you!
str_battle_won_grudging_upstanding|Perhaps I was wrong about you. Your arrival was most timely. You have my gratitude.
str_battle_won_unfriendly_default|So you're here. Well, better late than never, I suppose.
str_battle_won_unfriendly_martial|We have hard harsh words in the past, but for now let us simply enjoy our victory.
str_battle_won_unfriendly_quarrelsome|If you're standing there waiting for thanks, you can keep waiting. Your help wasn't really needed, but I guess you had nothing better to do, right?
str_battle_won_unfriendly_pitiless|You have come here, like a jackal to a lion's kill. Very well then, help yourself to the spoils. I shall not stop you.
str_battle_won_unfriendly_cunning|{playername}... Well, I suppose your arrival didn't hurt, although I won't pretend that I'm happy to see you.
str_battle_won_unfriendly_sadistic|Back off, carrion fowl! This was my victory, however hard you try to steal the glory for yourself.
str_battle_won_unfriendly_goodnatured|Oh, it's you. Well, I suppose I should thank you for your help.
str_battle_won_unfriendly_upstanding|Thank you for coming to my support. Now I will be off, before I say something that I regret.
str_troop_train_request_default|I need someone like you to knock them into shape.
str_troop_train_request_martial|They need someone to show them the meaning of valor.
str_troop_train_request_quarrelsome|Fat lazy bastards. They make me puke.
str_troop_train_request_pitiless|They are more afraid of the enemy than they are of me, and this will not do.
str_troop_train_request_cunning|But men, like swords, are tempered and hardened by fire.
str_troop_train_request_sadistic|They need someone with steel in his back to flog some courage into them, or kill them trying.
str_troop_train_request_goodnatured|They're good enough lads, but I am afraid that they are not quite ready for a battle just yet.
str_troop_train_request_upstanding|It would be tantamount to murder for me to lead them into combat in their current state.
str_unprovoked_attack_default|What? Why do you attack us? Speak, you rascal!
str_unprovoked_attack_martial|I have no objection to a trial of arms, but I would ask you for what reason you attack us?
str_unprovoked_attack_quarrelsome|You're making a big mistake, {boy/girl}. What do you think you're doing?
str_unprovoked_attack_pitiless|Indeed? If you really want to die today, I'd be more than happy to oblige you, but I am curious as to what you hope to accomplish.
str_unprovoked_attack_cunning|Really? I think that you are acting most unwisely. What do you hope to gain by this?
str_unprovoked_attack_sadistic|What's this? Do you enjoy having your eyes put out?
str_unprovoked_attack_goodnatured|Why do you do this? We've got no quarrel, {sir/madame}.
str_unprovoked_attack_upstanding|I consider this an unprovoked assault, and will protest to your king. Why do you do this?
str_unnecessary_attack_default|I will not hesitate to cut you down if pressed, but I will offer you the chance to ride away from this.
str_unnecessary_attack_martial|I am eager to take you up on your challenge, {sir/madame}, although I will give you a minute to reconsider.
str_unnecessary_attack_quarrelsome|Bah! I'm in no mood for this nonsense today. Get out of my way.
str_unnecessary_attack_pitiless|I am in a merciful mood today. I will pretend that I did not hear you.
str_unnecessary_attack_cunning|I don't see what you have to gain by making an enemy of me. Maybe you should just ride away.
str_unnecessary_attack_sadistic|I have no time to waste on a worm like you. Get out of my way.
str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight, {sir/madame}. You can still ride away.
str_unnecessary_attack_upstanding|If a fight is what you wish, {sir/madame}, then you will have one, but I will yet offer you the chance to back down.
str_lord_challenged_default|As you wish. Prepare to die!
str_lord_challenged_martial|So be it. Defend yourself!
str_lord_challenged_quarrelsome|You impudent whelp! I'll crush you!
str_lord_challenged_pitiless|If you so badly wish to die, then I have no choice but to oblige you.
str_lord_challenged_cunning|Well, if you leave me no choice...
str_lord_challenged_sadistic|You heap of filth! I'll make you wish you'd never been born.
str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that have no choice.
str_lord_challenged_upstanding|So be it. It saddens me that you cannot be made to see reason.
str_lord_mission_failed_default|Well, I am disappointed, but I am sure that you will have many chances to redeem yourself.
str_lord_mission_failed_martial|There is no honour in failing a quest which you endeavoured to take, but I will accept your word on it.
str_lord_mission_failed_quarrelsome|You failed? Bah. I should have expected as much from the likes of you.
str_lord_mission_failed_pitiless|You failed? Well. You disappoint me. That is a most unwise thing to do.
str_lord_mission_failed_cunning|Well, I am disappointed, but no one can guarantee that the winds of fortune will always blow their way.
str_lord_mission_failed_sadistic|Indeed? Those who fail me do not always live to regret it.
str_lord_mission_failed_goodnatured|Oh well. It was a long shot, anyway. Thank you for making an effort.
str_lord_mission_failed_upstanding|Very well. I am sure that you gave it your best effort.
str_lord_follow_refusal_default|Follow you? You forget your station, {sir/madame}.
str_lord_follow_refusal_martial|Perhaps if you one day prove yourself a valorous and honourable warrior, then I would follow you. But not today.
str_lord_follow_refusal_quarrelsome|Follow someone like you? I don't think so.
str_lord_follow_refusal_pitiless|Lords like me do not follow people like you, {sir/madame}.
str_lord_follow_refusal_cunning|First show me that you are the type of {man/woman} who will not lead me into disaster, and then perhaps I will follow you.
str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {his/her} master.
str_lord_follow_refusal_goodnatured|Um, I am a bit pressed with errands right now. Perhaps at a later date.
str_lord_follow_refusal_upstanding|First show me that you are worthy to lead, and then perhaps I will follow.
str_lord_insult_default|base varlot
str_lord_insult_martial|dishonourable knave
str_lord_insult_quarrelsome|filth-swilling bastard
str_lord_insult_pitiless|low-born worm
str_lord_insult_cunning|careless oaf
str_lord_insult_sadistic|sniveling cur
str_lord_insult_goodnatured|unpleasant fellow
str_lord_insult_upstanding|disgraceful scoundrel
str_rebellion_dilemma_default|[liege]
str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his throne illegally.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself .
str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. That is good -- it absolves me of my oath to {s46}. But still I must weight my decision carefully.
str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, yet the powerful are not bound by their oaths as our ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.
str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what's in it for me?
str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I don't know if I am still bound.
str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my homage to {s46} to be null and void, and dissolve the bonds which keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
str_rebellion_dilemma_2_default|[liege]
str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in war and peace, and I am loathe to renounce my allegiance.
str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on the bastard I know, in favor of {reg3?a woman:the bastard} I don't know?
str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would make {reg3?ruler:king} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!
str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the throne by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.
str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but perhaps if I bring {s46} your head he will give me an even greater reward.
str_rebellion_dilemma_2_goodnatured|{s46} has always treated me decently, yet it's true that he did wrong to {s45}. I hesitate to renounce my homage to {s46}, yet I also don't think it's right to support injustice.
str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm, to avoid it being laid waste by civil war and ravaged by its enemies.
str_rebellion_prior_argument_very_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I do not find them convincing.
str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I disagree with most of them.
str_rebellion_rival_default|[liege]
str_rebellion_rival_martial|{s49} your ally {s44} once questioned my honour and my bravery. It's not often I get the chance to face him in battle, and make him retract his statement.
str_rebellion_rival_quarrelsome|{s49} you're working with {s44}. He's a crafty weasel, and I don't trust him one bit.
str_rebellion_rival_pitiless|{s49} you seem to have enlisted the support of {s44} -- who is soft, and weak, and not fit to govern a fief, and whom I have always detested.
